stat, rank, value, (percentage) 
minecraft.mined.weathered_copper_trapdoor: #1, 375(27%)
minecraft.used.dead_bush: #2, 370(30%)
minecraft.picked_up.melon_seeds: #1, 291(19%)
minecraft.picked_up.light_blue_dye: #2, 253(27%)
minecraft.used.smooth_quartz_stairs: #1, 1174(19%)
minecraft.picked_up.birch_fence_gate: #1, 182(40%)
minecraft.picked_up.pink_bed: #1, 118(36%)
minecraft.mined.potatoes: #2, 1458(21%)
minecraft.picked_up.gray_concrete: #2, 7051(23%)
minecraft.picked_up.orange_dye: #2, 185(20%)
minecraft.mined.pink_stained_glass_pane: #1, 76(62%)
minecraft.dropped.melon_slice: #2, 5498(20%)
minecraft.picked_up.pale_oak_button: #1, 128(54%)
minecraft.mined.copper_bulb: #1, 84(24%)
minecraft.picked_up.golden_apple: #1, 159(18%)
minecraft.mined.light_blue_concrete: #1, 4063(24%)
minecraft.mined.acacia_fence_gate: #1, 31(35%)
minecraft.dropped.smooth_quartz_stairs: #1, 65(60%)
minecraft.mined.nether_bricks: #1, 1215(21%)
minecraft.picked_up.polished_tuff_wall: #1, 612(18%)
minecraft.picked_up.polished_deepslate_stairs: #1, 468(20%)
minecraft.used.brush: #1, 633(32%)
minecraft.used.closed_eyeblossom: #1, 32(32%)
minecraft.crafted.red_terracotta: #1, 2479(24%)
minecraft.picked_up.pink_stained_glass_pane: #1, 151(59%)
minecraft.mined.exposed_copper_trapdoor: #2, 382(28%)
minecraft.picked_up.acacia_fence_gate: #1, 49(34%)
minecraft.used.smooth_quartz_slab: #1, 2080(19%)
minecraft.picked_up.exposed_copper_trapdoor: #2, 382(28%)
minecraft.crafted.orange_stained_glass_pane: #1, 2008(29%)
minecraft.used.golden_helmet: #1, 21(40%)
minecraft.dropped.orange_carpet: #1, 91(81%)
minecraft.picked_up.light_blue_concrete: #1, 4063(22%)
minecraft.picked_up.lime_stained_glass_pane: #1, 266(36%)
minecraft.crafted.waxed_cut_copper_slab: #1, 146(66%)
minecraft.crafted.brown_terracotta: #1, 962(22%)
minecraft.picked_up.music_disc_relic: #1, 18(43%)
minecraft.used.experience_bottle: #2, 3430(23%)
minecraft.dropped.shroomlight: #1, 45(38%)
minecraft.crafted.end_stone_brick_wall: #1, 252(96%)
minecraft.used.acacia_button: #2, 129(32%)
minecraft.dropped.pale_oak_sapling: #1, 44(76%)
minecraft.dropped.end_rod: #1, 215(34%)
minecraft.dropped.red_sandstone: #1, 1663(76%)
minecraft.dropped.large_amethyst_bud: #1, 30(75%)
