stat, rank, value, (percentage) 
minecraft.mined.stonecutter: #4, 107(7%)
minecraft.mined.smooth_red_sandstone: #3, 119(7%)
minecraft.mined.amethyst_block: #4, 1049(7%)
minecraft.picked_up.coal_block: #4, 434(10%)
minecraft.mined.beetroots: #4, 333(7%)
minecraft.dropped.gray_bed: #3, 1(7%)
minecraft.used.diamond_pickaxe: #4, 351691(5%)
minecraft.picked_up.copper_door: #3, 9(6%)
minecraft.used.pointed_dripstone: #4, 903(7%)
minecraft.crafted.light_blue_concrete_powder: #4, 2560(9%)
minecraft.picked_up.furnace: #4, 232(7%)
minecraft.crafted.resin_block: #4, 448(10%)
minecraft.mined.black_glazed_terracotta: #3, 37(7%)
minecraft.picked_up.soul_soil: #5, 2940(11%)
minecraft.used.nether_gold_ore: #3, 35(8%)
minecraft.crafted.rail: #4, 2304(7%)
minecraft.mined.green_candle: #3, 2(11%)
minecraft.used.stripped_mangrove_log: #3, 389(4%)
minecraft.used.birch_sign: #4, 90(7%)
minecraft.crafted.acacia_boat: #3, 3(10%)
minecraft.dropped.crying_obsidian: #3, 70(4%)
minecraft.picked_up.cyan_terracotta: #4, 727(7%)
minecraft.mined.cherry_leaves: #4, 2598(7%)
minecraft.dropped.dark_oak_sapling: #4, 27(10%)
minecraft.mined.waxed_copper_door: #3, 1(10%)
minecraft.picked_up.waxed_copper_door: #3, 1(10%)
minecraft.picked_up.waxed_cut_copper: #3, 67(4%)
minecraft.dropped.stick: #4, 4789(6%)
minecraft.picked_up.acacia_fence: #4, 58(8%)
minecraft.used.spider_eye: #3, 4(11%)
minecraft.dropped.dead_horn_coral_block: #3, 1(14%)
minecraft.picked_up.cut_copper_slab: #4, 89(13%)
minecraft.dropped.lime_stained_glass_pane: #3, 3(14%)
minecraft.killed_by.wither: #3, 1(9%)
minecraft.mined.white_concrete: #4, 5837(6%)
minecraft.picked_up.cyan_harness: #3, 2(8%)
minecraft.mined.deepslate_tile_stairs: #4, 175(8%)
minecraft.picked_up.cooked_cod: #4, 356(6%)
minecraft.dropped.red_sand: #3, 137(3%)
minecraft.picked_up.smooth_sandstone: #4, 542(8%)
minecraft.dropped.cyan_shulker_box: #3, 2(5%)
minecraft.mined.blue_terracotta: #3, 107(3%)
minecraft.crafted.deepslate_tile_wall: #4, 64(12%)
minecraft.dropped.diamond_horse_armor: #3, 1(17%)
minecraft.used.pink_concrete: #4, 732(11%)
minecraft.mined.polished_deepslate: #4, 306(6%)
minecraft.picked_up.porkchop: #4, 262(5%)
minecraft.dropped.spruce_sign: #4, 37(6%)
minecraft.crafted.chiseled_resin_bricks: #3, 3(12%)
minecraft.mined.creaking_heart: #4, 53(10%)
minecraft.dropped.spruce_sapling: #4, 164(6%)
minecraft.mined.soul_wall_torch: #3, 2(11%)
minecraft.used.waxed_oxidized_cut_copper_stairs: #4, 234(9%)
minecraft.mined.small_amethyst_bud: #3, 81(4%)
minecraft.used.rail: #4, 3388(6%)
minecraft.used.poppy: #4, 706(7%)
minecraft.mined.acacia_sapling: #4, 58(9%)
minecraft.used.pumpkin: #4, 366(6%)
minecraft.picked_up.rabbit: #4, 25(8%)
minecraft.dropped.brown_egg: #3, 4(14%)
minecraft.dropped.pale_moss_block: #4, 66(11%)
minecraft.dropped.stripped_bamboo_block: #3, 2(10%)
minecraft.dropped.blue_egg: #3, 2(10%)
minecraft.dropped.purple_candle: #3, 1(10%)
minecraft.mined.sandstone_stairs: #3, 36(5%)
minecraft.mined.potted_mangrove_propagule: #3, 1(8%)
minecraft.used.light_blue_carpet: #3, 243(3%)
minecraft.dropped.diorite_stairs: #3, 7(9%)
minecraft.dropped.deepslate_redstone_ore: #4, 64(9%)
minecraft.dropped.blaze_powder: #3, 3(3%)
minecraft.crafted.gray_banner: #4, 38(11%)
minecraft.picked_up.brown_egg: #3, 14(7%)
minecraft.dropped.firework_rocket: #5, 2785(7%)
minecraft.mined.bamboo_sapling: #5, 29(11%)
minecraft.mined.potted_cherry_sapling: #3, 2(4%)
minecraft.mined.mangrove_propagule: #4, 136(6%)
minecraft.dropped.weeping_vines: #4, 11(10%)
minecraft.crafted.purple_terracotta: #4, 669(8%)
minecraft.dropped.jungle_wood: #3, 9(7%)
minecraft.picked_up.cherry_button: #3, 1(11%)
minecraft.picked_up.birch_boat: #4, 24(9%)
minecraft.used.orange_concrete: #4, 1516(10%)
minecraft.picked_up.large_amethyst_bud: #3, 52(4%)
minecraft.picked_up.cyan_candle: #4, 25(11%)
minecraft.mined.potted_warped_roots: #3, 1(6%)
minecraft.dropped.jack_o_lantern: #3, 7(5%)
minecraft.picked_up.blue_ice: #4, 376(7%)
minecraft.picked_up.jack_o_lantern: #4, 64(12%)
minecraft.dropped.golden_boots: #4, 27(6%)
minecraft.dropped.heart_of_the_sea: #3, 1(7%)
minecraft.used.red_bed: #4, 32(7%)
minecraft.used.brain_coral: #4, 15(13%)
minecraft.picked_up.brush: #4, 5(14%)
minecraft.crafted.smooth_red_sandstone_slab: #4, 46(12%)
minecraft.crafted.stone_pickaxe: #4, 8(5%)
minecraft.dropped.gray_shulker_box: #3, 1(2%)
minecraft.dropped.pearlescent_froglight: #3, 115(3%)
minecraft.crafted.orange_wool: #4, 183(6%)
minecraft.picked_up.white_concrete_powder: #4, 3552(6%)
minecraft.dropped.blue_ice: #3, 30(2%)
minecraft.crafted.emerald_block: #4, 1683(6%)
minecraft.picked_up.light_gray_banner: #3, 7(4%)
minecraft.dropped.brown_candle: #3, 4(4%)
minecraft.dropped.coarse_dirt: #4, 174(7%)
minecraft.mined.twisting_vines_plant: #4, 29(8%)
minecraft.dropped.creaking_heart: #3, 5(4%)
minecraft.dropped.orange_terracotta: #4, 138(7%)
minecraft.used.torchflower: #4, 39(9%)
minecraft.picked_up.orange_glazed_terracotta: #4, 27(12%)
minecraft.killed.strider: #3, 2(6%)
minecraft.dropped.experience_bottle: #3, 431(2%)
minecraft.used.magma_block: #5, 2517(9%)
minecraft.picked_up.waxed_oxidized_cut_copper_slab: #4, 43(9%)
minecraft.used.sweet_berries: #4, 796(5%)
minecraft.used.gray_stained_glass_pane: #4, 367(8%)
minecraft.used.deepslate_coal_ore: #3, 1(3%)
minecraft.picked_up.oxidized_copper_trapdoor: #4, 336(6%)
minecraft.dropped.polished_diorite_slab: #3, 5(4%)
minecraft.used.smooth_red_sandstone: #4, 495(10%)
minecraft.used.large_amethyst_bud: #3, 29(3%)
minecraft.crafted.golden_carrot: #4, 7218(5%)
minecraft.crafted.cherry_button: #4, 3(16%)
minecraft.dropped.blue_terracotta: #3, 7(2%)
minecraft.dropped.item_frame: #4, 27(6%)
minecraft.picked_up.tube_coral_fan: #4, 136(6%)
minecraft.mined.orange_concrete: #4, 1071(7%)
minecraft.crafted.orange_stained_glass: #4, 1600(6%)
minecraft.used.orange_stained_glass: #4, 1129(7%)
minecraft.mined.polished_granite: #4, 92(5%)
minecraft.dropped.red_shulker_box: #4, 6(8%)
minecraft.crafted.pink_glazed_terracotta: #3, 24(1%)
minecraft.mined.bubble_coral_block: #4, 208(9%)
minecraft.crafted.snout_armor_trim_smithing_template: #3, 2(2%)
minecraft.picked_up.chainmail_chestplate: #4, 6(5%)
minecraft.crafted.weathered_cut_copper: #3, 4(2%)
minecraft.used.birch_boat: #4, 18(8%)
minecraft.picked_up.dead_brain_coral_block: #4, 90(8%)
minecraft.dropped.cherry_button: #3, 1(2%)
minecraft.dropped.raw_iron: #4, 97(5%)
minecraft.picked_up.mangrove_boat: #4, 5(13%)
minecraft.used.deepslate_tile_slab: #4, 1938(4%)
minecraft.mined.short_dry_grass: #4, 105(9%)
minecraft.used.pufferfish_bucket: #4, 12(7%)
minecraft.dropped.brown_stained_glass: #3, 1(0%)
minecraft.crafted.resin_brick_stairs: #3, 1(0%)
minecraft.crafted.acacia_pressure_plate: #4, 12(10%)
minecraft.crafted.air: #3, 0(0%)
minecraft.dropped.rotten_flesh: #5, 8469(7%)
minecraft.crafted.pale_oak_sign: #4, 84(7%)
minecraft.picked_up.elytra: #5, 100(5%)
minecraft.mined.cracked_stone_bricks: #4, 178(5%)
minecraft.used.lapis_ore: #4, 59(5%)
minecraft.used.shroomlight: #5, 284(9%)
minecraft.crafted.acacia_hanging_sign: #4, 12(8%)
minecraft.dropped.sweet_berries: #4, 183(6%)
minecraft.used.dead_brain_coral_block: #4, 61(7%)
minecraft.mined.tube_coral_wall_fan: #4, 103(5%)
minecraft.picked_up.carrot: #5, 5276(7%)
minecraft.mined.pink_petals: #5, 603(9%)
minecraft.crafted.cherry_sign: #4, 9(7%)
minecraft.crafted.light_blue_stained_glass: #4, 1920(5%)
minecraft.mined.cyan_candle: #4, 8(8%)
minecraft.used.wooden_hoe: #4, 79(13%)
minecraft.mined.crafter: #5, 125(8%)
minecraft.mined.end_stone_bricks: #5, 164(9%)
minecraft.crafted.polished_granite: #4, 567(4%)
minecraft.crafted.stone_sword: #5, 31(8%)
minecraft.dropped.oak_boat: #4, 9(4%)
minecraft.mined.orange_banner: #4, 3(12%)
minecraft.mined.cartography_table: #4, 15(5%)
minecraft.picked_up.cartography_table: #4, 17(5%)
minecraft.mined.dead_tube_coral_block: #4, 57(9%)
minecraft.dropped.warped_wart_block: #4, 144(6%)
minecraft.dropped.deepslate_copper_ore: #4, 5(12%)
minecraft.dropped.spruce_boat: #4, 4(9%)
minecraft.crafted.copper_door: #4, 18(6%)
minecraft.crafted.crimson_button: #4, 4(12%)
minecraft.mined.brain_coral_wall_fan: #4, 115(4%)
minecraft.picked_up.horn_coral_block: #4, 143(6%)
minecraft.picked_up.pink_candle: #4, 16(9%)
minecraft.mined.light_blue_banner: #4, 4(11%)
minecraft.dropped.cherry_planks: #4, 19(6%)
minecraft.picked_up.wooden_axe: #4, 1(8%)
minecraft.dropped.minecart: #4, 29(4%)
minecraft.picked_up.diamond_sword: #5, 92(7%)
minecraft.picked_up.short_dry_grass: #4, 100(7%)
minecraft.picked_up.fire_coral_fan: #4, 127(4%)
minecraft.picked_up.smooth_red_sandstone: #4, 148(6%)
minecraft.crafted.orange_terracotta: #4, 396(6%)
minecraft.picked_up.brain_coral_fan: #4, 147(5%)
minecraft.mined.horn_coral_block: #4, 158(6%)
minecraft.killed.ghast: #5, 83(8%)
minecraft.crafted.wooden_hoe: #4, 3(10%)
minecraft.mined.tall_seagrass: #5, 427(7%)
minecraft.mined.cobbled_deepslate_wall: #4, 23(6%)
minecraft.crafted.gold_block: #4, 255(4%)
minecraft.dropped.cake: #4, 3(13%)
minecraft.picked_up.stonecutter: #5, 112(7%)
minecraft.crafted.orange_banner: #4, 36(7%)
minecraft.custom.fly_one_cm: #6, 126157072(5%)
minecraft.mined.gray_terracotta: #4, 74(5%)
minecraft.picked_up.bubble_coral_fan: #4, 141(5%)
minecraft.used.jungle_log: #5, 921(7%)
minecraft.dropped.tnt_minecart: #4, 6(11%)
minecraft.crafted.polished_diorite: #5, 558(8%)
minecraft.mined.piston_head: #5, 17(9%)
minecraft.mined.sweet_berry_bush: #5, 102(8%)
minecraft.dropped.diamond_pickaxe: #5, 31(7%)
minecraft.dropped.obsidian: #5, 130(8%)
minecraft.used.netherite_hoe: #4, 28419(7%)
minecraft.used.bowl: #4, 2(8%)
minecraft.custom.sleep_in_bed: #5, 2199(5%)
minecraft.dropped.campfire: #4, 5(6%)
minecraft.picked_up.iron_boots: #5, 20(7%)
minecraft.dropped.map: #4, 14(9%)
minecraft.picked_up.leather_leggings: #5, 28(5%)
minecraft.crafted.orange_carpet: #4, 240(5%)
minecraft.picked_up.cut_copper: #4, 31(5%)
minecraft.picked_up.bucket: #5, 251(7%)
minecraft.dropped.pale_oak_planks: #4, 30(10%)
minecraft.crafted.light_blue_dye: #5, 1862(7%)
minecraft.custom.sprint_one_cm: #6, 227978098(6%)
minecraft.killed_by.pufferfish: #4, 1(11%)
minecraft.dropped.bolt_armor_trim_smithing_template: #4, 1(17%)
minecraft.dropped.ghast_tear: #4, 27(4%)
minecraft.mined.bubble_coral_wall_fan: #4, 102(4%)
minecraft.picked_up.bubble_coral: #4, 33(5%)
minecraft.mined.mangrove_leaves: #5, 12112(7%)
minecraft.used.netherrack: #5, 4399(6%)
minecraft.dropped.mossy_cobblestone_slab: #4, 10(9%)
minecraft.picked_up.dead_tube_coral_block: #4, 70(5%)
minecraft.picked_up.emerald: #5, 2841(7%)
minecraft.picked_up.mangrove_pressure_plate: #4, 4(8%)
minecraft.mined.potted_fern: #4, 1(12%)
minecraft.mined.fire_coral_wall_fan: #4, 95(4%)
minecraft.dropped.netherite_hoe: #4, 1(6%)
minecraft.picked_up.black_glazed_terracotta: #4, 37(6%)
minecraft.dropped.purpur_pillar: #4, 35(4%)
minecraft.mined.mossy_cobblestone_wall: #4, 3(7%)
minecraft.dropped.fire_coral_block: #4, 1(10%)
minecraft.mined.mangrove_log: #5, 2179(6%)
minecraft.crafted.resin_brick: #4, 20(10%)
minecraft.dropped.tube_coral_fan: #4, 1(8%)
minecraft.mined.pale_oak_fence: #4, 15(5%)
minecraft.picked_up.creaking_heart: #5, 81(11%)
minecraft.mined.purpur_block: #4, 314(2%)
minecraft.dropped.warped_trapdoor: #4, 12(5%)
minecraft.mined.potted_torchflower: #4, 1(9%)
minecraft.dropped.mossy_cobblestone: #4, 75(3%)
minecraft.custom.enchant_item: #5, 224(6%)
minecraft.dropped.gold_ore: #4, 5(5%)
minecraft.crafted.torch: #5, 7840(6%)
minecraft.mined.cut_copper: #4, 22(4%)
minecraft.dropped.polished_blackstone_slab: #4, 16(7%)
minecraft.mined.light_blue_concrete_powder: #4, 16(4%)
minecraft.picked_up.music_disc_5: #4, 1(6%)
minecraft.used.iron_pickaxe: #5, 3151(6%)
minecraft.dropped.bamboo_sign: #4, 36(4%)
minecraft.dropped.deepslate: #5, 2036(6%)
minecraft.mined.jungle_log: #5, 2531(6%)
minecraft.dropped.polished_blackstone_stairs: #4, 16(12%)
minecraft.used.dead_tube_coral_block: #4, 52(7%)
minecraft.dropped.diorite_wall: #4, 12(8%)
minecraft.dropped.pumpkin: #4, 828(2%)
minecraft.picked_up.golden_carrot: #6, 4017(6%)
minecraft.crafted.fermented_spider_eye: #4, 99(2%)
minecraft.dropped.glow_item_frame: #4, 4(3%)
minecraft.dropped.acacia_slab: #4, 6(6%)
minecraft.mined.tuff_slab: #5, 49(8%)
minecraft.picked_up.blue_terracotta: #4, 106(3%)
minecraft.crafted.light_blue_bed: #4, 3(4%)
minecraft.dropped.spectral_arrow: #4, 560(3%)
minecraft.used.egg: #5, 2089(5%)
minecraft.used.pink_candle: #4, 16(5%)
minecraft.mined.copper_grate: #5, 45(9%)
minecraft.dropped.light_blue_stained_glass_pane: #4, 5(8%)
minecraft.used.dead_brain_coral: #4, 4(10%)
minecraft.picked_up.honey_block: #5, 1375(6%)
minecraft.mined.dead_brain_coral: #4, 5(10%)
minecraft.mined.chest: #5, 945(6%)
minecraft.picked_up.goat_horn: #4, 14(2%)
minecraft.dropped.brewing_stand: #4, 1(4%)
minecraft.mined.mossy_stone_brick_wall: #4, 1(6%)
minecraft.picked_up.gray_bundle: #4, 1(6%)
minecraft.killed_by.iron_golem: #4, 1(8%)
minecraft.used.redstone_ore: #4, 30(2%)
minecraft.mined.mangrove_button: #4, 1(5%)
minecraft.picked_up.pale_oak_fence_gate: #4, 3(8%)
minecraft.broken.stone_sword: #4, 6(5%)
minecraft.picked_up.coal: #5, 14113(5%)
minecraft.dropped.flow_armor_trim_smithing_template: #4, 1(7%)
minecraft.crafted.light_blue_carpet: #4, 304(3%)
minecraft.crafted.lead: #5, 164(7%)
minecraft.dropped.sea_lantern: #4, 3(3%)
minecraft.picked_up.light_blue_carpet: #4, 79(3%)
minecraft.picked_up.dead_brain_coral: #4, 5(8%)
minecraft.used.oxidized_copper_door: #5, 7(9%)
minecraft.dropped.nether_bricks: #4, 20(4%)
minecraft.used.bubble_coral_block: #4, 16(4%)
minecraft.picked_up.sandstone_stairs: #4, 27(4%)
minecraft.mined.bamboo_sign: #5, 16(6%)
minecraft.dropped.magenta_concrete_powder: #4, 1(5%)
minecraft.picked_up.mangrove_log: #5, 2170(5%)
minecraft.crafted.baked_potato: #4, 63(2%)
minecraft.used.chiseled_copper: #5, 70(11%)
minecraft.dropped.dandelion: #5, 249(5%)
minecraft.dropped.golden_leggings: #5, 14(6%)
minecraft.used.flint_and_steel: #5, 383(5%)
minecraft.used.weathered_cut_copper_stairs: #4, 1(6%)
minecraft.picked_up.charcoal: #5, 423(7%)
minecraft.mined.large_amethyst_bud: #4, 27(2%)
minecraft.dropped.waxed_cut_copper: #4, 3(3%)
minecraft.picked_up.bubble_coral_block: #5, 202(10%)
minecraft.crafted.waxed_oxidized_cut_copper_slab: #5, 72(9%)
minecraft.picked_up.mossy_stone_brick_wall: #4, 1(3%)
minecraft.picked_up.purple_glazed_terracotta: #4, 3(3%)
minecraft.dropped.orange_shulker_box: #4, 1(3%)
minecraft.picked_up.end_stone_bricks: #5, 167(5%)
minecraft.used.gunpowder: #5, 29(6%)
minecraft.dropped.crimson_fungus: #4, 5(2%)
minecraft.picked_up.oak_chest_boat: #4, 1(3%)
minecraft.dropped.warped_stem: #5, 72(12%)
minecraft.used.waxed_copper_block: #5, 178(6%)
minecraft.used.smooth_sandstone: #5, 1246(6%)
minecraft.used.dark_oak_button: #4, 36(1%)
minecraft.mined.purple_glazed_terracotta: #4, 3(3%)
minecraft.mined.acacia_wall_sign: #5, 11(7%)
minecraft.dropped.stone_stairs: #5, 27(8%)
minecraft.used.dead_brain_coral_fan: #4, 1(3%)
minecraft.picked_up.spore_blossom: #5, 61(7%)
minecraft.mined.redstone_wall_torch: #5, 67(5%)
minecraft.dropped.stripped_jungle_wood: #4, 3(3%)
minecraft.dropped.stone_hoe: #4, 2(1%)
minecraft.picked_up.purple_concrete_powder: #4, 20(1%)
minecraft.dropped.light_blue_terracotta: #4, 3(2%)
minecraft.used.coarse_dirt: #5, 3782(5%)
minecraft.crafted.wooden_pickaxe: #5, 2(5%)
minecraft.used.green_terracotta: #5, 390(6%)
minecraft.picked_up.white_stained_glass: #5, 261(5%)
minecraft.picked_up.soul_torch: #5, 46(9%)
minecraft.mined.light_blue_carpet: #4, 32(1%)
minecraft.killed_by.vex: #4, 1(2%)
minecraft.mined.orange_terracotta: #5, 2138(4%)
minecraft.picked_up.exposed_chiseled_copper: #4, 1(1%)
minecraft.dropped.magenta_stained_glass_pane: #4, 1(2%)
minecraft.used.blue_egg: #4, 4(2%)
minecraft.crafted.lime_stained_glass: #5, 1128(7%)
minecraft.mined.light_weighted_pressure_plate: #4, 2(3%)
minecraft.picked_up.warped_roots: #5, 1630(5%)
minecraft.dropped.calibrated_sculk_sensor: #4, 1(2%)
minecraft.picked_up.orange_terracotta: #5, 2282(5%)
minecraft.crafted.resin_brick_wall: #4, 2(2%)
minecraft.crafted.tuff_brick_wall: #5, 39(6%)
minecraft.picked_up.brick_stairs: #5, 29(7%)
minecraft.crafted.resin_bricks: #5, 291(13%)
minecraft.used.pumpkin_pie: #4, 15(1%)
minecraft.custom.aviate_one_cm: #6, 873823431(5%)
minecraft.mined.resin_brick_wall: #4, 1(1%)
minecraft.dropped.nautilus_shell: #5, 4(12%)
minecraft.crafted.resin_brick_slab: #4, 2(1%)
minecraft.mined.diorite_slab: #5, 31(7%)
minecraft.crafted.bowl: #4, 4(1%)
minecraft.custom.minecart_one_cm: #5, 5462803(4%)
minecraft.used.waxed_cut_copper: #4, 23(0%)
minecraft.dropped.pink_concrete_powder: #4, 2(0%)
minecraft.used.resin_brick_wall: #4, 2(0%)
minecraft.dropped.pink_concrete: #4, 4(0%)
minecraft.killed.husk: #5, 111(5%)
minecraft.picked_up.copper_grate: #5, 45(6%)
minecraft.used.diamond_chestplate: #5, 30(5%)
minecraft.used.red_terracotta: #5, 993(5%)
minecraft.crafted.mangrove_fence: #5, 234(5%)
minecraft.dropped.wooden_pickaxe: #5, 2(6%)
minecraft.used.fire_coral_fan: #5, 15(7%)
minecraft.used.open_eyeblossom: #5, 7(9%)
minecraft.used.lime_stained_glass: #5, 484(5%)
minecraft.picked_up.sunflower: #6, 1253(7%)
minecraft.crafted.pink_shulker_box: #5, 6(5%)
minecraft.picked_up.gold_ingot: #5, 1076(3%)
minecraft.picked_up.mud_bricks: #6, 585(8%)
minecraft.crafted.ender_eye: #5, 117(4%)
minecraft.dropped.andesite_slab: #5, 34(6%)
minecraft.killed_by.silverfish: #5, 5(8%)
minecraft.used.copper_door: #5, 16(6%)
minecraft.mined.deepslate_tile_slab: #5, 154(4%)
minecraft.mined.granite_wall: #5, 9(7%)
minecraft.picked_up.orange_banner: #5, 8(5%)
minecraft.used.beetroot_seeds: #6, 487(7%)
minecraft.picked_up.rotten_flesh: #6, 10025(6%)
minecraft.dropped.lily_pad: #5, 17(5%)
minecraft.killed.rabbit: #5, 8(5%)
minecraft.used.cyan_candle: #5, 32(6%)
minecraft.picked_up.firework_rocket: #6, 8008(5%)
minecraft.dropped.deepslate_brick_slab: #5, 20(8%)
minecraft.picked_up.quartz_pillar: #5, 23(5%)
minecraft.used.white_concrete_powder: #6, 7603(8%)
minecraft.custom.interact_with_stonecutter: #6, 775(7%)
minecraft.picked_up.bricks: #6, 476(7%)
minecraft.crafted.polished_deepslate_wall: #5, 40(5%)
minecraft.picked_up.leather_boots: #6, 38(5%)
minecraft.dropped.iron_ingot: #5, 868(3%)
minecraft.crafted.charcoal: #5, 450(3%)
minecraft.mined.diamond_ore: #6, 21(9%)
minecraft.used.cooked_cod: #5, 171(3%)
minecraft.dropped.sculk_vein: #5, 16(4%)
minecraft.dropped.iron_door: #5, 5(6%)
minecraft.picked_up.gray_terracotta: #5, 73(4%)
minecraft.mined.carrots: #6, 706(6%)
minecraft.mined.coarse_dirt: #6, 1466(7%)
minecraft.mined.diorite_wall: #5, 18(5%)
minecraft.used.jack_o_lantern: #5, 76(6%)
minecraft.used.dirt: #6, 55989(6%)
minecraft.used.spruce_sapling: #5, 1018(3%)
minecraft.dropped.raw_copper_block: #5, 63(8%)
minecraft.dropped.leather: #5, 206(3%)
minecraft.used.mossy_stone_brick_wall: #5, 6(5%)
minecraft.used.nether_bricks: #6, 253(9%)
minecraft.mined.soul_sand: #6, 1498(7%)
minecraft.dropped.potato: #6, 1425(6%)
minecraft.picked_up.twisting_vines: #5, 136(3%)
minecraft.picked_up.iron_hoe: #5, 2(4%)
minecraft.picked_up.stripped_birch_log: #6, 480(7%)
minecraft.used.sea_lantern: #5, 150(3%)
minecraft.crafted.orange_concrete_powder: #5, 856(4%)
minecraft.picked_up.hopper_minecart: #5, 29(2%)
minecraft.crafted.quartz_stairs: #5, 60(4%)
minecraft.dropped.spruce_fence_gate: #5, 7(6%)
minecraft.dropped.crafting_table: #6, 28(7%)
minecraft.mined.dark_oak_log: #6, 5190(6%)
minecraft.picked_up.mangrove_propagule: #5, 462(2%)
minecraft.killed_by.blaze: #5, 3(9%)
minecraft.used.writable_book: #6, 409(5%)
minecraft.mined.pink_concrete_powder: #5, 12(6%)
minecraft.used.gold_ingot: #5, 3(5%)
minecraft.dropped.terracotta: #6, 134(7%)
minecraft.picked_up.fire_coral_block: #5, 121(4%)
minecraft.used.oak_chest_boat: #5, 1(9%)
minecraft.dropped.cooked_chicken: #5, 86(2%)
minecraft.picked_up.guster_banner_pattern: #5, 2(4%)
minecraft.crafted.waxed_oxidized_copper_grate: #5, 20(4%)
minecraft.picked_up.amethyst_block: #6, 1039(6%)
minecraft.dropped.name_tag: #6, 22(7%)
minecraft.crafted.wind_charge: #5, 2696(4%)
minecraft.picked_up.ominous_bottle: #6, 44(7%)
minecraft.broken.diamond_pickaxe: #5, 1(4%)
minecraft.crafted.polished_granite_slab: #5, 14(6%)
minecraft.dropped.acacia_stairs: #5, 9(7%)
minecraft.picked_up.brick: #6, 1303(6%)
minecraft.crafted.white_shulker_box: #5, 30(2%)
minecraft.mined.fire_coral_block: #5, 122(3%)
minecraft.picked_up.cake: #5, 4(5%)
minecraft.mined.closed_eyeblossom: #5, 20(3%)
minecraft.picked_up.heart_of_the_sea: #5, 2(6%)
minecraft.picked_up.bamboo_sign: #6, 102(6%)
minecraft.used.diamond_shovel: #6, 239077(6%)
minecraft.mined.brown_stained_glass: #5, 21(4%)
minecraft.mined.oak_slab: #6, 129(6%)
minecraft.crafted.grindstone: #6, 195(6%)
minecraft.used.snowball: #6, 297(4%)
minecraft.used.rotten_flesh: #6, 123(6%)
minecraft.picked_up.bone_block: #5, 1190(2%)
minecraft.used.diorite_stairs: #5, 23(4%)
minecraft.picked_up.orange_shulker_box: #6, 294(5%)
minecraft.crafted.soul_campfire: #5, 50(4%)
minecraft.dropped.bubble_coral_fan: #5, 1(8%)
minecraft.dropped.smithing_table: #5, 1(6%)
minecraft.mined.acacia_wall_hanging_sign: #5, 1(6%)
minecraft.dropped.lead: #6, 55(6%)
minecraft.used.furnace: #6, 294(5%)
minecraft.picked_up.purpur_block: #5, 283(2%)
minecraft.dropped.mud_bricks: #5, 10(3%)
minecraft.used.oak_slab: #6, 484(6%)
minecraft.crafted.waxed_copper_block: #5, 248(5%)
minecraft.used.beacon: #6, 41(6%)
minecraft.used.grindstone: #6, 140(6%)
minecraft.crafted.waxed_exposed_chiseled_copper: #5, 12(3%)
minecraft.picked_up.dark_oak_button: #5, 15(3%)
minecraft.crafted.crafting_table: #6, 282(5%)
minecraft.picked_up.light_blue_concrete_powder: #5, 25(2%)
minecraft.picked_up.leather_chestplate: #6, 28(4%)
minecraft.picked_up.moss_carpet: #6, 4229(5%)
minecraft.killed.hoglin: #6, 14(8%)
minecraft.crafted.waxed_exposed_cut_copper: #5, 20(4%)
minecraft.picked_up.dark_oak_leaves: #5, 154(1%)
minecraft.mined.orange_shulker_box: #6, 291(6%)
minecraft.used.deepslate_copper_ore: #5, 51(2%)
minecraft.picked_up.iron_bars: #6, 406(5%)
minecraft.used.waxed_chiseled_copper: #5, 84(2%)
minecraft.dropped.brown_shulker_box: #5, 1(3%)
minecraft.dropped.oxidized_copper_trapdoor: #5, 2(3%)
minecraft.mined.cyan_glazed_terracotta: #5, 2(4%)
minecraft.used.light_gray_banner: #5, 11(3%)
minecraft.used.crimson_button: #5, 6(5%)
minecraft.dropped.shield: #6, 10(6%)
minecraft.picked_up.blue_egg: #5, 6(3%)
minecraft.dropped.tuff_wall: #5, 1(5%)
minecraft.picked_up.suspicious_stew: #5, 2(6%)
minecraft.dropped.dark_oak_stairs: #5, 4(3%)
minecraft.picked_up.spruce_boat: #6, 34(6%)
minecraft.picked_up.dripstone_block: #6, 2151(5%)
minecraft.picked_up.light_gray_glazed_terracotta: #5, 12(3%)
minecraft.mined.torchflower: #5, 23(2%)
minecraft.crafted.packed_ice: #5, 63(2%)
minecraft.mined.light_gray_glazed_terracotta: #5, 12(3%)
minecraft.crafted.polished_deepslate_slab: #6, 212(6%)
minecraft.used.spruce_boat: #6, 30(5%)
minecraft.crafted.deepslate_tile_stairs: #6, 39(6%)
minecraft.crafted.ladder: #6, 615(5%)
minecraft.picked_up.polished_andesite: #6, 329(5%)
minecraft.mined.resin_bricks: #5, 2(3%)
minecraft.picked_up.iron_shovel: #6, 16(5%)
minecraft.picked_up.dead_brain_coral_fan: #5, 1(2%)
minecraft.picked_up.pumpkin: #6, 3865(5%)
minecraft.custom.interact_with_beacon: #6, 67(5%)
minecraft.dropped.pitcher_plant: #5, 4(2%)
minecraft.killed.shulker: #6, 240(5%)
minecraft.used.pitcher_plant: #6, 29(7%)
minecraft.picked_up.stone_pickaxe: #6, 6(6%)
minecraft.dropped.fire_coral_fan: #5, 2(2%)
minecraft.mined.cyan_terracotta: #6, 414(5%)
minecraft.dropped.brain_coral_block: #5, 2(3%)
