stat, rank, value, (percentage) 
minecraft.mined.yellow_stained_glass: #4, 53(9%)
minecraft.used.green_stained_glass_pane: #4, 155(7%)
minecraft.mined.wildflowers: #4, 45(7%)
minecraft.used.bush: #4, 104(10%)
minecraft.picked_up.cooked_beef: #5, 1252(6%)
minecraft.picked_up.spruce_wood: #4, 85(5%)
minecraft.picked_up.pink_tulip: #4, 159(4%)
minecraft.crafted.yellow_stained_glass: #4, 1792(7%)
minecraft.picked_up.oak_door: #5, 28(9%)
minecraft.picked_up.red_sand: #5, 14564(9%)
minecraft.used.stone: #5, 63047(7%)
minecraft.picked_up.horn_coral_fan: #4, 156(6%)
minecraft.picked_up.cherry_leaves: #5, 2567(9%)
minecraft.picked_up.fire_charge: #4, 135(5%)
minecraft.used.waxed_oxidized_copper_bulb: #4, 38(7%)
minecraft.mined.mossy_cobblestone_stairs: #4, 10(7%)
minecraft.mined.tuff_bricks: #5, 2496(8%)
minecraft.used.smooth_red_sandstone_slab: #4, 231(8%)
minecraft.mined.chorus_flower: #4, 13(8%)
minecraft.crafted.brown_dye: #4, 718(4%)
minecraft.picked_up.white_tulip: #4, 219(4%)
minecraft.picked_up.birch_leaves: #4, 4554(4%)
minecraft.crafted.spruce_stairs: #5, 1072(7%)
minecraft.picked_up.polished_blackstone_bricks: #4, 337(5%)
minecraft.picked_up.wheat: #5, 13707(7%)
minecraft.mined.polished_blackstone_brick_stairs: #4, 19(7%)
minecraft.crafted.polished_tuff: #5, 3124(8%)
minecraft.mined.deepslate_gold_ore: #4, 855(3%)
minecraft.picked_up.magenta_shulker_box: #5, 173(10%)
minecraft.mined.magenta_shulker_box: #5, 171(10%)
minecraft.used.podzol: #4, 236(4%)
minecraft.killed_by.bogged: #4, 1(17%)
minecraft.mined.jack_o_lantern: #4, 17(6%)
minecraft.used.magenta_shulker_box: #5, 172(10%)
minecraft.custom.play_noteblock: #5, 354(6%)
minecraft.used.allium: #4, 28(6%)
minecraft.picked_up.brain_coral: #4, 35(5%)
minecraft.picked_up.cut_sandstone: #4, 110(4%)
minecraft.used.mangrove_trapdoor: #5, 395(8%)
minecraft.used.iron_hoe: #5, 513(9%)
minecraft.used.tuff: #5, 5361(7%)
minecraft.picked_up.andesite_slab: #5, 165(8%)
minecraft.used.wooden_pickaxe: #5, 39(7%)
minecraft.picked_up.light_gray_shulker_box: #5, 353(8%)
minecraft.mined.light_gray_shulker_box: #5, 347(8%)
minecraft.crafted.acacia_planks: #5, 4516(7%)
minecraft.picked_up.pink_petals: #5, 3295(7%)
minecraft.dropped.cooked_porkchop: #4, 342(3%)
minecraft.picked_up.jungle_button: #4, 17(7%)
minecraft.used.white_shulker_box: #5, 574(7%)
minecraft.killed_by.spider: #4, 1(12%)
minecraft.picked_up.hanging_roots: #4, 83(6%)
minecraft.picked_up.shulker_shell: #5, 1330(7%)
minecraft.dropped.cherry_sapling: #4, 36(5%)
minecraft.picked_up.netherite_helmet: #5, 22(8%)
minecraft.dropped.acacia_planks: #4, 33(5%)
minecraft.used.purpur_pillar: #4, 16(4%)
minecraft.dropped.orange_wool: #4, 21(7%)
minecraft.picked_up.nether_bricks: #5, 635(8%)
minecraft.killed.player: #5, 147(5%)
minecraft.mined.stone_slab: #5, 543(7%)
minecraft.used.mangrove_roots: #4, 1021(3%)
minecraft.used.jungle_hanging_sign: #4, 10(9%)
minecraft.dropped.salmon: #4, 39(3%)
minecraft.used.music_disc_5: #4, 1(11%)
minecraft.crafted.bamboo_mosaic_slab: #4, 48(6%)
minecraft.dropped.ink_sac: #5, 64(7%)
minecraft.picked_up.end_crystal: #4, 7(11%)
minecraft.used.rooted_dirt: #5, 1191(9%)
minecraft.mined.chiseled_sandstone: #4, 21(4%)
minecraft.mined.jungle_pressure_plate: #4, 3(11%)
minecraft.crafted.polished_blackstone_button: #4, 57(3%)
minecraft.used.yellow_candle: #4, 30(6%)
minecraft.mined.polished_granite_slab: #4, 16(8%)
minecraft.picked_up.tube_coral: #4, 30(4%)
minecraft.used.cobbled_deepslate: #5, 6308(6%)
minecraft.crafted.enchanting_table: #5, 3(8%)
minecraft.picked_up.oak_slab: #5, 279(6%)
minecraft.picked_up.beacon: #5, 34(6%)
minecraft.picked_up.fire_coral: #4, 30(4%)
minecraft.picked_up.mossy_stone_brick_stairs: #4, 10(4%)
minecraft.used.smooth_red_sandstone_stairs: #4, 116(5%)
minecraft.dropped.tuff_bricks: #5, 316(8%)
minecraft.dropped.purple_wool: #4, 12(5%)
minecraft.custom.crouch_one_cm: #6, 34990920(6%)
minecraft.mined.flower_pot: #5, 21(7%)
minecraft.picked_up.oxeye_daisy: #4, 217(2%)
minecraft.used.note_block: #5, 386(7%)
minecraft.mined.oak_sign: #5, 16(6%)
minecraft.picked_up.polished_andesite_slab: #4, 64(3%)
minecraft.picked_up.waxed_exposed_cut_copper_stairs: #4, 14(6%)
minecraft.mined.oak_door: #5, 14(9%)
minecraft.crafted.warped_door: #4, 3(6%)
minecraft.mined.waxed_exposed_cut_copper_stairs: #4, 14(6%)
minecraft.picked_up.dead_brain_coral_fan: #4, 3(7%)
minecraft.dropped.blue_wool: #4, 17(5%)
minecraft.mined.redstone_lamp: #5, 52(7%)
minecraft.used.stick: #4, 1(9%)
minecraft.used.cherry_planks: #4, 133(3%)
minecraft.mined.copper_bulb: #5, 30(9%)
minecraft.picked_up.warped_door: #4, 3(11%)
minecraft.used.polished_granite_slab: #4, 155(6%)
minecraft.mined.red_terracotta: #5, 2593(7%)
minecraft.mined.heavy_core: #4, 2(11%)
minecraft.picked_up.sculk_catalyst: #4, 28(3%)
minecraft.crafted.birch_planks: #5, 5460(6%)
minecraft.picked_up.glass_pane: #5, 189(7%)
minecraft.picked_up.smooth_red_sandstone_stairs: #4, 33(5%)
minecraft.used.light_gray_shulker_box: #5, 346(7%)
minecraft.picked_up.light_blue_shulker_box: #5, 372(6%)
minecraft.used.beacon: #5, 44(6%)
minecraft.mined.hanging_roots: #4, 51(4%)
minecraft.mined.iron_block: #5, 2378(6%)
minecraft.killed_by.ravager: #5, 300(6%)
minecraft.mined.diamond_block: #4, 64(2%)
minecraft.mined.weathered_copper_bulb: #4, 6(6%)
minecraft.picked_up.weathered_copper_bulb: #4, 6(6%)
minecraft.used.dried_ghast: #4, 49(6%)
minecraft.used.cobbled_deepslate_wall: #5, 374(9%)
minecraft.crafted.suspicious_stew: #4, 7(7%)
minecraft.used.oxidized_cut_copper: #4, 212(3%)
minecraft.dropped.dark_oak_log: #5, 256(9%)
minecraft.picked_up.turtle_helmet: #4, 1(9%)
minecraft.picked_up.acacia_pressure_plate: #4, 3(6%)
minecraft.mined.azalea: #5, 150(6%)
minecraft.mined.acacia_pressure_plate: #4, 3(7%)
minecraft.used.light_blue_shulker_box: #5, 367(6%)
minecraft.used.warped_roots: #5, 83(8%)
minecraft.crafted.acacia_trapdoor: #5, 548(7%)
minecraft.picked_up.deepslate_emerald_ore: #4, 1(6%)
minecraft.crafted.red_sandstone: #5, 2429(8%)
minecraft.crafted.iron_pickaxe: #5, 20(6%)
minecraft.used.mangrove_log: #5, 956(6%)
minecraft.picked_up.diamond_block: #5, 330(5%)
minecraft.used.iron_door: #5, 51(6%)
minecraft.mined.peony: #5, 37(6%)
minecraft.mined.emerald_ore: #4, 19(2%)
minecraft.mined.light_blue_shulker_box: #5, 370(6%)
minecraft.dropped.music_disc_cat: #4, 3(4%)
minecraft.dropped.pufferfish_bucket: #4, 1(10%)
minecraft.mined.light_gray_glazed_terracotta: #4, 20(5%)
minecraft.used.pale_oak_fence: #4, 158(3%)
minecraft.picked_up.waxed_exposed_copper: #4, 64(3%)
minecraft.picked_up.exposed_cut_copper: #4, 5(3%)
minecraft.used.bamboo_mosaic_stairs: #4, 24(5%)
minecraft.mined.dandelion: #5, 389(5%)
minecraft.picked_up.music_disc_blocks: #5, 8(12%)
minecraft.broken.stone_hoe: #4, 2(3%)
minecraft.used.diorite_wall: #4, 280(2%)
minecraft.picked_up.brown_shulker_box: #5, 240(6%)
minecraft.mined.mud_brick_slab: #5, 62(7%)
minecraft.mined.deepslate_tile_stairs: #5, 150(7%)
minecraft.mined.potted_warped_roots: #4, 1(6%)
minecraft.used.crossbow: #5, 225(8%)
minecraft.crafted.waxed_cut_copper: #4, 24(6%)
minecraft.used.waxed_oxidized_chiseled_copper: #4, 35(3%)
minecraft.dropped.filled_map: #5, 154(5%)
minecraft.crafted.oak_door: #5, 21(6%)
minecraft.used.lime_concrete_powder: #5, 905(8%)
minecraft.picked_up.mud_brick_slab: #5, 99(8%)
minecraft.crafted.white_terracotta: #5, 528(6%)
minecraft.picked_up.cobbled_deepslate_wall: #5, 61(9%)
minecraft.picked_up.bee_nest: #5, 42(6%)
minecraft.used.warped_door: #4, 2(3%)
minecraft.mined.green_concrete: #5, 378(8%)
minecraft.picked_up.brain_coral_block: #5, 329(9%)
minecraft.picked_up.purple_candle: #4, 3(3%)
minecraft.crafted.green_carpet: #4, 180(2%)
minecraft.picked_up.yellow_shulker_box: #5, 263(5%)
minecraft.picked_up.birch_button: #5, 13(6%)
minecraft.crafted.cyan_concrete_powder: #5, 904(7%)
minecraft.mined.jungle_wall_hanging_sign: #4, 1(4%)
minecraft.mined.spruce_button: #4, 26(2%)
minecraft.mined.waxed_exposed_cut_copper: #4, 30(4%)
minecraft.dropped.red_sand: #4, 65(2%)
minecraft.picked_up.waxed_exposed_cut_copper: #4, 30(4%)
minecraft.picked_up.polished_tuff_stairs: #5, 141(6%)
minecraft.killed.bee: #5, 20(10%)
minecraft.mined.red_sandstone_stairs: #4, 17(3%)
minecraft.crafted.deepslate_brick_stairs: #4, 61(1%)
minecraft.picked_up.green_terracotta: #5, 110(7%)
minecraft.picked_up.brown_stained_glass: #4, 35(2%)
minecraft.used.light_weighted_pressure_plate: #4, 5(4%)
minecraft.mined.brown_shulker_box: #5, 236(6%)
minecraft.picked_up.brown_wool: #5, 274(5%)
minecraft.picked_up.lime_terracotta: #5, 213(8%)
minecraft.mined.yellow_shulker_box: #5, 255(5%)
minecraft.crafted.map: #4, 477(1%)
minecraft.custom.fish_caught: #5, 1071(5%)
minecraft.used.warped_stairs: #5, 201(7%)
minecraft.dropped.cod: #4, 333(1%)
minecraft.mined.warped_door: #4, 1(5%)
minecraft.picked_up.sweet_berries: #5, 1175(4%)
minecraft.mined.cornflower: #5, 91(5%)
minecraft.used.stripped_acacia_log: #4, 89(1%)
minecraft.killed.parrot: #4, 1(4%)
minecraft.picked_up.green_banner: #5, 16(12%)
minecraft.mined.mossy_stone_brick_stairs: #5, 7(8%)
minecraft.used.birch_slab: #5, 499(6%)
minecraft.crafted.white_stained_glass: #5, 2432(6%)
minecraft.used.brown_shulker_box: #5, 235(5%)
minecraft.crafted.light_gray_concrete_powder: #5, 1880(5%)
minecraft.used.warped_sign: #5, 61(7%)
minecraft.picked_up.orange_glazed_terracotta: #5, 26(11%)
minecraft.crafted.chiseled_tuff: #5, 35(6%)
minecraft.picked_up.blue_shulker_box: #5, 351(5%)
minecraft.picked_up.cyan_banner: #5, 8(9%)
minecraft.used.polished_blackstone_brick_stairs: #4, 11(1%)
minecraft.crafted.cartography_table: #5, 17(6%)
minecraft.picked_up.flowering_azalea_leaves: #5, 2231(6%)
minecraft.dropped.tropical_fish_bucket: #4, 1(3%)
minecraft.dropped.cracked_deepslate_tiles: #4, 3(1%)
minecraft.mined.tall_dry_grass: #5, 47(7%)
minecraft.dropped.bamboo_mosaic: #4, 1(1%)
minecraft.mined.stripped_bamboo_block: #5, 125(6%)
minecraft.dropped.basalt: #5, 76(6%)
minecraft.mined.blue_shulker_box: #5, 348(5%)
minecraft.crafted.weathered_cut_copper: #4, 4(2%)
minecraft.mined.player_wall_head: #5, 29(5%)
minecraft.picked_up.daylight_detector: #5, 26(7%)
minecraft.crafted.spruce_button: #4, 182(0%)
minecraft.used.blue_shulker_box: #5, 345(5%)
minecraft.used.spruce_button: #4, 162(0%)
minecraft.used.magenta_candle: #4, 1(1%)
minecraft.used.waxed_exposed_copper: #5, 177(8%)
minecraft.picked_up.oak_leaves: #5, 7165(4%)
minecraft.picked_up.red_sandstone: #5, 87(6%)
minecraft.picked_up.cyan_stained_glass_pane: #5, 29(9%)
minecraft.mined.spruce_fence_gate: #6, 99(10%)
minecraft.mined.polished_tuff_stairs: #5, 97(5%)
minecraft.crafted.magma_cream: #4, 4(0%)
minecraft.crafted.firework_star: #4, 76(0%)
minecraft.mined.spruce_slab: #6, 826(8%)
minecraft.killed.phantom: #5, 54(5%)
minecraft.picked_up.purple_harness: #5, 1(17%)
minecraft.picked_up.bone_meal: #6, 10130(7%)
minecraft.picked_up.netherite_leggings: #6, 34(8%)
minecraft.used.waxed_exposed_copper_bulb: #5, 26(7%)
minecraft.dropped.oak_trapdoor: #5, 15(5%)
minecraft.mined.cherry_planks: #5, 46(6%)
minecraft.crafted.tripwire_hook: #5, 104(4%)
minecraft.picked_up.pale_oak_sign: #5, 13(6%)
minecraft.dropped.spruce_pressure_plate: #5, 3(8%)
minecraft.picked_up.cactus_flower: #5, 19(8%)
minecraft.picked_up.brown_banner: #5, 25(7%)
minecraft.used.brown_carpet: #5, 171(5%)
minecraft.mined.pearlescent_froglight: #5, 243(5%)
minecraft.used.waxed_exposed_cut_copper_slab: #5, 51(8%)
minecraft.mined.yellow_concrete_powder: #5, 23(6%)
minecraft.dropped.sunflower: #5, 84(4%)
minecraft.crafted.magenta_glazed_terracotta: #5, 6(13%)
minecraft.crafted.polished_granite_stairs: #5, 20(11%)
minecraft.mined.pitcher_plant: #5, 8(5%)
minecraft.used.netherite_shovel: #5, 118611(6%)
minecraft.crafted.warped_planks: #6, 2832(8%)
minecraft.picked_up.spruce_sapling: #5, 1379(4%)
minecraft.crafted.magenta_shulker_box: #5, 3(6%)
minecraft.dropped.writable_book: #5, 17(3%)
minecraft.custom.player_kills: #6, 78(6%)
minecraft.dropped.birch_trapdoor: #5, 10(9%)
minecraft.mined.red_shulker_box: #6, 1019(7%)
minecraft.mined.waxed_oxidized_copper_bulb: #5, 8(5%)
minecraft.crafted.field_masoned_banner_pattern: #5, 1(12%)
minecraft.mined.sticky_piston: #6, 228(7%)
minecraft.used.grass_block: #5, 16312(3%)
minecraft.crafted.bamboo_hanging_sign: #5, 12(7%)
minecraft.mined.iron_bars: #6, 314(7%)
minecraft.picked_up.red_shulker_box: #6, 1035(7%)
minecraft.crafted.bamboo_mosaic_stairs: #5, 24(10%)
minecraft.mined.jungle_sign: #5, 2(7%)
minecraft.picked_up.spruce_slab: #6, 1133(7%)
minecraft.picked_up.cobblestone_slab: #6, 506(8%)
minecraft.picked_up.flower_pot: #6, 84(7%)
minecraft.used.acacia_leaves: #5, 92(5%)
minecraft.picked_up.birch_log: #6, 4245(7%)
minecraft.killed_by.slime: #6, 31(6%)
minecraft.used.waxed_oxidized_cut_copper: #5, 308(5%)
minecraft.used.diamond_block: #5, 241(4%)
minecraft.picked_up.dead_brain_coral_block: #5, 68(6%)
minecraft.used.white_terracotta: #5, 386(3%)
minecraft.crafted.waxed_oxidized_copper_trapdoor: #5, 81(11%)
minecraft.used.brown_concrete: #5, 72(7%)
minecraft.mined.snow_block: #5, 927(3%)
minecraft.used.dragon_head: #5, 2(6%)
minecraft.picked_up.sniffer_egg: #5, 8(10%)
minecraft.dropped.red_wool: #5, 13(5%)
minecraft.picked_up.black_stained_glass: #5, 207(3%)
minecraft.crafted.green_concrete_powder: #5, 584(4%)
minecraft.dropped.red_terracotta: #5, 68(5%)
minecraft.mined.barrel: #6, 270(7%)
minecraft.mined.andesite_wall: #5, 31(4%)
minecraft.picked_up.repeater: #6, 668(7%)
minecraft.custom.sneak_time: #7, 6025788(5%)
minecraft.picked_up.raw_gold: #5, 1241(3%)
minecraft.picked_up.red_tulip: #5, 268(3%)
minecraft.picked_up.blue_concrete: #5, 113(4%)
minecraft.mined.gray_wool: #5, 311(4%)
minecraft.used.light_gray_concrete_powder: #6, 1779(7%)
minecraft.mined.light_blue_terracotta: #5, 80(3%)
minecraft.picked_up.packed_ice: #5, 5600(3%)
minecraft.dropped.note_block: #5, 10(4%)
minecraft.used.oxidized_copper_bulb: #5, 28(5%)
minecraft.dropped.short_grass: #5, 108(4%)
minecraft.used.spruce_sign: #6, 421(6%)
minecraft.used.netherite_leggings: #5, 17(5%)
minecraft.mined.spruce_trapdoor: #6, 712(7%)
minecraft.crafted.smooth_red_sandstone: #5, 289(6%)
minecraft.mined.green_wall_banner: #5, 3(8%)
minecraft.crafted.orange_shulker_box: #5, 12(3%)
minecraft.picked_up.orange_tulip: #5, 221(3%)
minecraft.picked_up.music_disc_13: #6, 28(7%)
minecraft.used.red_sand: #5, 140(3%)
minecraft.picked_up.rabbit_foot: #5, 2(5%)
minecraft.mined.spruce_sapling: #6, 42(7%)
minecraft.dropped.diamond_helmet: #6, 6(7%)
minecraft.mined.short_grass: #6, 7472(6%)
minecraft.crafted.mangrove_trapdoor: #6, 328(7%)
minecraft.crafted.crimson_button: #5, 3(9%)
minecraft.used.ender_chest: #6, 1089(6%)
minecraft.dropped.dragon_head: #5, 4(7%)
minecraft.dropped.rooted_dirt: #5, 64(4%)
minecraft.killed.tropical_fish: #5, 19(6%)
minecraft.picked_up.oak_hanging_sign: #5, 8(4%)
minecraft.dropped.waxed_oxidized_cut_copper: #5, 9(5%)
minecraft.killed.dolphin: #5, 2(9%)
minecraft.picked_up.polished_granite_slab: #5, 21(8%)
minecraft.mined.waxed_copper_door: #5, 1(10%)
minecraft.picked_up.waxed_copper_door: #5, 1(10%)
minecraft.custom.interact_with_blast_furnace: #6, 266(5%)
minecraft.picked_up.netherite_sword: #6, 26(8%)
minecraft.mined.birch_log: #6, 3168(6%)
minecraft.used.brain_coral: #5, 7(6%)
minecraft.crafted.smithing_table: #6, 306(7%)
minecraft.mined.ender_chest: #6, 1072(6%)
minecraft.crafted.granite_wall: #5, 46(5%)
minecraft.picked_up.friend_pottery_sherd: #5, 2(7%)
minecraft.mined.cocoa: #6, 141(7%)
minecraft.picked_up.red_dye: #6, 103(6%)
minecraft.picked_up.bamboo_door: #5, 18(3%)
minecraft.mined.potted_torchflower: #5, 1(9%)
minecraft.mined.orange_glazed_terracotta: #5, 13(8%)
minecraft.picked_up.warped_button: #5, 6(6%)
minecraft.crafted.iron_axe: #6, 9(7%)
minecraft.used.bow: #6, 5079(6%)
minecraft.mined.comparator: #6, 158(6%)
minecraft.crafted.brush: #5, 6(4%)
minecraft.picked_up.jack_o_lantern: #5, 25(5%)
minecraft.crafted.brown_banner: #5, 27(4%)
minecraft.used.pale_hanging_moss: #5, 69(5%)
minecraft.picked_up.wildflowers: #5, 212(3%)
minecraft.used.brick_stairs: #6, 58(9%)
minecraft.picked_up.emerald_ore: #5, 14(2%)
minecraft.picked_up.ender_eye: #5, 5(4%)
minecraft.picked_up.cracked_polished_blackstone_bricks: #5, 162(3%)
minecraft.picked_up.netherrack: #6, 17438(6%)
minecraft.crafted.end_stone_bricks: #5, 44(5%)
minecraft.picked_up.brown_concrete_powder: #5, 126(3%)
minecraft.used.birch_sapling: #5, 416(2%)
minecraft.crafted.blue_ice: #5, 135(3%)
minecraft.mined.cherry_leaves: #6, 2299(6%)
minecraft.used.blue_ice: #5, 93(2%)
minecraft.picked_up.lime_concrete: #6, 356(8%)
minecraft.used.short_dry_grass: #5, 28(6%)
minecraft.mined.chest: #6, 941(6%)
minecraft.used.brain_coral_fan: #5, 11(3%)
minecraft.picked_up.pale_oak_fence: #5, 33(3%)
minecraft.used.waxed_exposed_copper_grate: #5, 71(3%)
minecraft.used.smooth_quartz_slab: #6, 697(6%)
minecraft.mined.polished_tuff_slab: #6, 155(5%)
minecraft.dropped.amethyst_shard: #5, 67(2%)
minecraft.dropped.sculk_sensor: #5, 4(4%)
minecraft.mined.waxed_weathered_copper: #5, 22(3%)
minecraft.used.red_mushroom: #5, 9(3%)
minecraft.used.red_concrete_powder: #5, 275(2%)
minecraft.custom.clean_shulker_box: #5, 3(5%)
minecraft.used.armor_stand: #6, 308(5%)
minecraft.picked_up.music_disc_tears: #5, 1(6%)
minecraft.killed.creeper: #5, 263(1%)
minecraft.dropped.netherite_pickaxe: #6, 9(5%)
minecraft.picked_up.snow_block: #5, 1595(2%)
minecraft.picked_up.terracotta: #6, 9358(5%)
minecraft.mined.oxidized_cut_copper: #5, 62(2%)
minecraft.mined.suspicious_sand: #5, 3(3%)
minecraft.dropped.stripped_oak_log: #5, 4(3%)
minecraft.mined.smooth_sandstone: #6, 216(7%)
minecraft.used.weathered_cut_copper: #5, 4(3%)
minecraft.crafted.stone_brick_stairs: #6, 180(6%)
minecraft.used.orange_wool: #6, 228(6%)
minecraft.picked_up.green_carpet: #5, 123(1%)
minecraft.picked_up.cyan_harness: #5, 1(4%)
minecraft.picked_up.stripped_acacia_log: #5, 122(1%)
minecraft.used.milk_bucket: #6, 10(7%)
minecraft.picked_up.wither_rose: #6, 491(7%)
minecraft.used.deepslate_redstone_ore: #6, 759(5%)
minecraft.picked_up.waxed_exposed_chiseled_copper: #5, 4(3%)
minecraft.mined.gilded_blackstone: #5, 13(4%)
minecraft.mined.waxed_exposed_chiseled_copper: #5, 4(3%)
minecraft.picked_up.gray_shulker_box: #6, 308(5%)
minecraft.used.written_book: #6, 262(5%)
minecraft.used.obsidian: #6, 891(5%)
minecraft.mined.stripped_acacia_log: #5, 112(1%)
minecraft.dropped.ancient_debris: #5, 3(3%)
minecraft.crafted.red_sandstone_wall: #5, 10(3%)
minecraft.mined.terracotta: #6, 8575(5%)
minecraft.crafted.bucket: #6, 356(5%)
minecraft.used.chiseled_bookshelf: #6, 129(6%)
minecraft.killed.wolf: #5, 2(3%)
minecraft.used.bricks: #6, 878(5%)
minecraft.mined.cobblestone: #6, 2517(5%)
minecraft.picked_up.brown_carpet: #6, 112(6%)
minecraft.mined.stripped_spruce_log: #6, 924(5%)
minecraft.picked_up.yellow_concrete: #6, 1192(5%)
minecraft.dropped.goat_horn: #6, 8(6%)
minecraft.picked_up.soul_soil: #6, 1318(5%)
minecraft.picked_up.cyan_bed: #6, 62(5%)
minecraft.dropped.raw_copper: #6, 702(6%)
minecraft.used.yellow_stained_glass_pane: #5, 113(2%)
minecraft.mined.cyan_bed: #6, 60(5%)
minecraft.picked_up.cracked_deepslate_bricks: #5, 22(2%)
minecraft.picked_up.waxed_copper_grate: #6, 180(7%)
minecraft.used.yellow_shulker_box: #6, 253(4%)
minecraft.dropped.stripped_dark_oak_wood: #5, 1(3%)
minecraft.killed.frog: #5, 2(2%)
minecraft.picked_up.stripped_spruce_log: #6, 968(4%)
minecraft.mined.gray_shulker_box: #6, 275(5%)
minecraft.mined.waxed_copper_grate: #6, 185(6%)
minecraft.dropped.netherite_leggings: #6, 4(7%)
minecraft.mined.mossy_cobblestone_slab: #6, 12(7%)
minecraft.picked_up.spruce_button: #5, 29(1%)
minecraft.used.emerald_ore: #5, 5(1%)
minecraft.dropped.polished_andesite_stairs: #5, 4(2%)
minecraft.mined.mud: #6, 11544(5%)
minecraft.killed.polar_bear: #5, 1(2%)
minecraft.picked_up.waxed_weathered_copper: #5, 22(1%)
minecraft.used.magenta_dye: #5, 2(1%)
minecraft.crafted.bricks: #6, 1364(5%)
minecraft.picked_up.tuff_brick_wall: #6, 85(6%)
minecraft.mined.white_bed: #6, 270(4%)
minecraft.used.red_sandstone_wall: #5, 124(1%)
minecraft.custom.drop: #7, 16793(5%)
minecraft.used.stripped_spruce_log: #6, 688(4%)
minecraft.dropped.netherite_boots: #6, 4(7%)
minecraft.picked_up.white_bed: #6, 271(4%)
minecraft.used.bubble_coral: #5, 2(1%)
minecraft.dropped.light_blue_stained_glass_pane: #5, 1(2%)
minecraft.used.redstone: #6, 3592(4%)
minecraft.used.stone_brick_wall: #6, 205(5%)
minecraft.mined.cut_red_sandstone: #5, 17(1%)
minecraft.mined.big_dripleaf_stem: #6, 12(7%)
minecraft.used.wheat_seeds: #6, 9079(4%)
minecraft.picked_up.orange_wool: #6, 338(5%)
minecraft.picked_up.pink_concrete_powder: #5, 15(0%)
minecraft.mined.chiseled_red_sandstone: #5, 1(1%)
minecraft.crafted.dark_prismarine: #6, 992(9%)
minecraft.used.waxed_cut_copper: #5, 20(0%)
minecraft.mined.lime_concrete_powder: #5, 1(0%)
minecraft.used.sandstone_stairs: #5, 10(0%)
minecraft.mined.cut_sandstone_slab: #5, 1(0%)
minecraft.used.chiseled_red_sandstone: #5, 1(0%)
minecraft.mined.infested_stone_bricks: #5, 1(0%)
minecraft.used.mossy_stone_bricks: #6, 315(5%)
minecraft.crafted.light_blue_candle: #5, 1(0%)
minecraft.crafted.spruce_sign: #6, 291(4%)
minecraft.crafted.flower_banner_pattern: #6, 1(11%)
minecraft.mined.bamboo_sapling: #6, 12(4%)
minecraft.custom.open_enderchest: #7, 6211(5%)
minecraft.dropped.barrel: #6, 25(6%)
minecraft.picked_up.grass_block: #6, 46795(4%)
minecraft.picked_up.polished_deepslate_slab: #6, 173(4%)
minecraft.crafted.netherite_upgrade_smithing_template: #6, 30(5%)
minecraft.crafted.lime_concrete_powder: #6, 904(5%)
minecraft.mined.polished_deepslate: #6, 188(4%)
minecraft.picked_up.detector_rail: #6, 27(5%)
minecraft.dropped.black_concrete: #6, 32(6%)
minecraft.picked_up.gravel: #6, 18558(4%)
minecraft.picked_up.birch_slab: #6, 68(5%)
minecraft.custom.aviate_one_cm: #7, 803173944(5%)
minecraft.picked_up.white_shulker_box: #7, 520(7%)
minecraft.used.green_concrete_powder: #6, 467(5%)
minecraft.picked_up.deepslate_brick_slab: #6, 196(5%)
minecraft.used.cornflower: #6, 7(5%)
minecraft.mined.cyan_stained_glass_pane: #6, 16(7%)
minecraft.picked_up.bamboo_stairs: #6, 36(5%)
minecraft.used.warped_slab: #6, 386(5%)
minecraft.crafted.warped_slab: #6, 366(5%)
minecraft.dropped.honeycomb: #6, 587(6%)
minecraft.picked_up.deepslate_diamond_ore: #6, 1017(3%)
minecraft.custom.total_world_time: #8, 114951823(5%)
minecraft.custom.play_time: #8, 114951823(5%)
minecraft.picked_up.polished_tuff_slab: #7, 360(7%)
minecraft.crafted.nether_brick_fence: #6, 90(7%)
minecraft.picked_up.acacia_hanging_sign: #6, 5(8%)
minecraft.mined.deepslate_diamond_ore: #6, 2054(3%)
minecraft.picked_up.sculk_shrieker: #6, 33(5%)
minecraft.picked_up.rabbit_hide: #6, 15(6%)
minecraft.picked_up.stripped_warped_stem: #6, 157(4%)
minecraft.picked_up.warped_fence: #6, 36(5%)
minecraft.picked_up.feather: #6, 451(3%)
minecraft.used.polished_andesite_stairs: #6, 99(4%)
minecraft.killed.guardian: #6, 12(6%)
minecraft.used.cyan_banner: #6, 10(6%)
minecraft.used.red_shulker_box: #7, 1019(7%)
minecraft.mined.oak_leaves: #6, 6302(3%)
minecraft.picked_up.birch_sapling: #6, 490(3%)
minecraft.dropped.cherry_planks: #6, 18(6%)
minecraft.used.oxidized_copper: #6, 393(4%)
minecraft.crafted.netherite_axe: #6, 1(7%)
minecraft.mined.packed_mud: #6, 1482(3%)
minecraft.picked_up.filled_map: #7, 1225(7%)
minecraft.picked_up.white_concrete_powder: #6, 2252(4%)
minecraft.picked_up.diamond: #6, 2591(3%)
minecraft.picked_up.waxed_cut_copper_slab: #6, 18(5%)
minecraft.dropped.coarse_dirt: #6, 110(5%)
minecraft.picked_up.packed_mud: #6, 1790(3%)
minecraft.dropped.magma_block: #6, 49(5%)
minecraft.used.dead_brain_coral_block: #6, 48(6%)
minecraft.crafted.netherite_hoe: #6, 1(8%)
minecraft.mined.red_candle: #6, 6(6%)
minecraft.dropped.cocoa_beans: #6, 38(4%)
minecraft.picked_up.lava_bucket: #6, 24(3%)
