stat, rank, value, (percentage) 
minecraft.picked_up.purple_dye: #2, 459(22%)
minecraft.picked_up.beetroot_soup: #1, 126(36%)
minecraft.dropped.gray_dye: #1, 93(25%)
minecraft.dropped.rotten_flesh: #2, 20973(16%)
minecraft.dropped.cyan_concrete: #1, 163(56%)
minecraft.mined.jungle_log: #1, 6633(16%)
minecraft.mined.bone_block: #2, 1400(19%)
minecraft.picked_up.acacia_stairs: #1, 156(26%)
minecraft.crafted.jungle_planks: #1, 14640(17%)
minecraft.picked_up.wind_charge: #1, 2594(14%)
minecraft.picked_up.mangrove_planks: #1, 733(17%)
minecraft.mined.decorated_pot: #2, 1135(19%)
minecraft.picked_up.gray_dye: #2, 421(22%)
minecraft.mined.purpur_stairs: #2, 495(27%)
minecraft.picked_up.orange_shulker_box: #2, 990(18%)
minecraft.mined.jungle_fence_gate: #1, 29(24%)
minecraft.crafted.acacia_pressure_plate: #1, 45(38%)
minecraft.used.writable_book: #2, 1244(16%)
minecraft.picked_up.birch_pressure_plate: #1, 29(37%)
minecraft.picked_up.sunflower: #1, 2416(13%)
minecraft.mined.end_stone_bricks: #2, 403(21%)
minecraft.mined.waxed_oxidized_copper_door: #1, 22(52%)
minecraft.mined.granite_wall: #1, 38(28%)
minecraft.picked_up.bucket: #2, 687(18%)
minecraft.mined.mangrove_slab: #2, 340(19%)
minecraft.picked_up.ominous_bottle: #1, 105(16%)
minecraft.used.ominous_trial_key: #1, 158(21%)
minecraft.picked_up.netherite_chestplate: #1, 16(19%)
minecraft.used.mangrove_planks: #2, 3315(21%)
minecraft.used.small_dripleaf: #1, 80(33%)
minecraft.used.bowl: #1, 10(40%)
minecraft.picked_up.cake: #1, 30(35%)
minecraft.picked_up.polished_granite: #2, 426(21%)
minecraft.crafted.oxidized_copper_grate: #1, 176(22%)
minecraft.crafted.light_gray_terracotta: #2, 1512(22%)
minecraft.mined.netherrack: #1, 60025(14%)
minecraft.mined.jungle_slab: #2, 252(20%)
minecraft.picked_up.deepslate: #1, 38307(14%)
minecraft.crafted.jungle_fence_gate: #2, 312(26%)
minecraft.picked_up.ominous_trial_key: #1, 190(20%)
minecraft.used.jungle_fence_gate: #2, 234(25%)
minecraft.picked_up.dragon_breath: #1, 162(57%)
minecraft.mined.spruce_door: #1, 24(16%)
minecraft.picked_up.fern: #2, 3569(24%)
minecraft.dropped.acacia_fence: #1, 64(48%)
minecraft.used.yellow_terracotta: #2, 1805(21%)
minecraft.picked_up.bolt_armor_trim_smithing_template: #1, 16(28%)
minecraft.picked_up.music_disc_creator: #1, 35(24%)
minecraft.killed.sheep: #2, 734(17%)
minecraft.mined.spruce_pressure_plate: #2, 31(27%)
minecraft.picked_up.mud_brick_wall: #1, 247(19%)
minecraft.used.light_gray_dye: #1, 24(33%)
minecraft.used.brown_stained_glass: #1, 1520(33%)
minecraft.picked_up.oak_pressure_plate: #1, 16(19%)
minecraft.dropped.carrot: #2, 6306(16%)
minecraft.used.oxidized_copper_trapdoor: #1, 845(17%)
minecraft.mined.cave_vines_plant: #1, 53(15%)
minecraft.broken.stone_axe: #1, 18(25%)
minecraft.mined.acacia_door: #1, 8(40%)
minecraft.used.jungle_sign: #1, 164(18%)
minecraft.mined.magenta_concrete: #2, 1423(28%)
minecraft.custom.trigger_trapped_chest: #2, 202(16%)
minecraft.mined.cyan_concrete: #2, 937(22%)
minecraft.dropped.poisonous_potato: #1, 22(21%)
minecraft.mined.rose_bush: #1, 184(14%)
minecraft.picked_up.horn_coral: #2, 235(26%)
minecraft.used.brown_dye: #2, 64(21%)
minecraft.mined.oak_trapdoor: #1, 234(13%)
minecraft.used.cartography_table: #2, 84(23%)
minecraft.picked_up.porkchop: #2, 728(15%)
minecraft.used.jungle_door: #1, 34(35%)
minecraft.used.acacia_sign: #2, 170(20%)
minecraft.picked_up.music_disc_precipice: #1, 18(26%)
minecraft.picked_up.mud_bricks: #2, 1259(17%)
minecraft.dropped.black_dye: #2, 90(27%)
minecraft.mined.acacia_slab: #1, 69(19%)
minecraft.used.jungle_log: #2, 2121(17%)
minecraft.crafted.jungle_pressure_plate: #1, 17(30%)
minecraft.mined.polished_granite: #2, 333(19%)
minecraft.picked_up.light_gray_concrete_powder: #2, 1256(16%)
minecraft.dropped.ominous_trial_key: #1, 20(18%)
minecraft.dropped.red_sandstone_wall: #1, 42(48%)
minecraft.used.granite_stairs: #2, 153(24%)
minecraft.used.dark_prismarine_slab: #1, 521(24%)
minecraft.used.terracotta: #2, 7124(17%)
minecraft.used.acacia_door: #1, 22(35%)
minecraft.used.birch_pressure_plate: #1, 21(28%)
minecraft.picked_up.closed_eyeblossom: #2, 424(26%)
minecraft.used.honeycomb: #2, 3039(16%)
minecraft.used.acacia_stairs: #2, 536(21%)
minecraft.used.daylight_detector: #2, 553(21%)
minecraft.crafted.oak_sign: #1, 249(10%)
minecraft.mined.birch_button: #1, 11(25%)
minecraft.picked_up.smooth_red_sandstone: #2, 686(29%)
minecraft.crafted.loom: #2, 328(16%)
minecraft.used.mud_brick_stairs: #2, 369(22%)
minecraft.mined.fern: #2, 859(15%)
minecraft.mined.horn_coral: #2, 224(25%)
minecraft.mined.jungle_stairs: #2, 141(17%)
minecraft.crafted.jungle_sign: #1, 132(14%)
minecraft.crafted.spruce_fence_gate: #2, 971(15%)
minecraft.picked_up.light_gray_concrete: #2, 1710(16%)
minecraft.picked_up.jungle_pressure_plate: #1, 15(29%)
minecraft.used.mangrove_slab: #2, 1957(17%)
minecraft.crafted.acacia_door: #1, 18(26%)
minecraft.mined.light_gray_concrete: #2, 1788(16%)
minecraft.crafted.daylight_detector: #2, 724(20%)
minecraft.picked_up.diamond_horse_armor: #1, 8(26%)
minecraft.used.magenta_concrete: #2, 1107(24%)
minecraft.used.dark_prismarine: #1, 1142(17%)
minecraft.picked_up.hay_block: #2, 1199(15%)
minecraft.crafted.oak_pressure_plate: #2, 36(24%)
minecraft.mined.spruce_sign: #2, 23(17%)
minecraft.mined.birch_pressure_plate: #1, 13(25%)
minecraft.dropped.purple_dye: #2, 80(25%)
minecraft.mined.jungle_trapdoor: #2, 167(17%)
minecraft.dropped.mangrove_stairs: #1, 67(42%)
minecraft.crafted.lectern: #2, 339(17%)
minecraft.picked_up.jungle_sign: #2, 77(18%)
minecraft.used.rotten_flesh: #2, 302(15%)
minecraft.picked_up.item_frame: #2, 997(12%)
minecraft.picked_up.poisonous_potato: #2, 81(19%)
minecraft.picked_up.ender_pearl: #2, 34036(10%)
minecraft.picked_up.coarse_dirt: #2, 3492(14%)
minecraft.dropped.cherry_fence: #1, 44(49%)
minecraft.used.cyan_concrete: #2, 682(22%)
minecraft.picked_up.mossy_cobblestone_slab: #2, 120(21%)
minecraft.mined.orange_shulker_box: #3, 974(18%)
minecraft.used.beetroot: #2, 66(23%)
minecraft.mined.note_block: #2, 261(14%)
minecraft.used.campfire: #2, 532(14%)
minecraft.mined.bamboo_wall_hanging_sign: #1, 9(47%)
minecraft.mined.large_fern: #3, 1351(19%)
minecraft.picked_up.honey_bottle: #2, 267(16%)
