stat, rank, value, (percentage) 
minecraft.used.kelp: #5, 1149(7%)
minecraft.used.lapis_block: #4, 192(3%)
minecraft.mined.dark_oak_log: #5, 5335(6%)
minecraft.used.ice: #4, 717(3%)
minecraft.used.diorite_slab: #4, 251(4%)
minecraft.dropped.pale_oak_sign: #4, 3(12%)
minecraft.killed.happy_ghast: #4, 20(4%)
minecraft.crafted.smooth_sandstone_slab: #4, 134(6%)
minecraft.picked_up.red_sandstone_wall: #4, 57(8%)
minecraft.killed.bat: #5, 14(9%)
minecraft.picked_up.blaze_powder: #5, 31(9%)
minecraft.killed.pig: #4, 27(2%)
minecraft.picked_up.resin_bricks: #4, 7(7%)
minecraft.crafted.cactus: #4, 4(13%)
minecraft.killed.zombified_piglin: #4, 49947(2%)
minecraft.used.deepslate_brick_wall: #5, 217(9%)
minecraft.dropped.iron_horse_armor: #4, 2(6%)
minecraft.mined.dirt_path: #5, 1294(6%)
minecraft.crafted.chest: #5, 4183(6%)
minecraft.picked_up.snow_block: #4, 2616(3%)
minecraft.mined.white_concrete: #5, 5662(6%)
minecraft.crafted.black_bed: #4, 5(4%)
minecraft.dropped.cyan_carpet: #4, 3(6%)
minecraft.crafted.cut_copper: #5, 100(11%)
minecraft.crafted.composter: #5, 441(6%)
minecraft.used.waxed_cut_copper_stairs: #4, 29(6%)
minecraft.dropped.flow_banner_pattern: #4, 1(7%)
minecraft.used.amethyst_cluster: #4, 63(2%)
minecraft.mined.terracotta: #5, 9766(6%)
minecraft.crafted.cyan_terracotta: #5, 5504(6%)
minecraft.crafted.copper_trapdoor: #5, 1042(7%)
minecraft.used.polished_deepslate_slab: #5, 1084(7%)
minecraft.dropped.gray_concrete: #4, 64(4%)
minecraft.picked_up.terracotta: #5, 9819(5%)
minecraft.mined.redstone_block: #5, 270(5%)
minecraft.dropped.netherite_ingot: #4, 1(7%)
minecraft.dropped.pale_oak_trapdoor: #4, 4(5%)
minecraft.picked_up.stone_brick_slab: #5, 611(6%)
minecraft.used.deepslate_redstone_ore: #5, 782(5%)
minecraft.dropped.red_sandstone_wall: #4, 4(5%)
minecraft.used.white_carpet: #5, 377(5%)
minecraft.picked_up.gray_bed: #4, 13(1%)
minecraft.used.deepslate_gold_ore: #5, 367(6%)
minecraft.crafted.lime_shulker_box: #5, 8(6%)
minecraft.dropped.cracked_stone_bricks: #4, 102(2%)
minecraft.mined.gray_bed: #4, 12(1%)
minecraft.used.polished_diorite: #5, 486(6%)
minecraft.dropped.azalea: #5, 412(5%)
minecraft.picked_up.stone_brick_wall: #5, 77(7%)
minecraft.mined.coal_ore: #5, 8859(5%)
minecraft.used.orange_stained_glass_pane: #5, 368(8%)
minecraft.dropped.deepslate_gold_ore: #4, 10(1%)
minecraft.picked_up.cobbled_deepslate: #5, 36013(4%)
minecraft.crafted.resin_clump: #5, 1737(9%)
minecraft.used.mossy_stone_bricks: #5, 346(6%)
minecraft.dropped.bowl: #5, 19(7%)
minecraft.dropped.flowering_azalea: #5, 264(5%)
minecraft.crafted.netherite_shovel: #5, 2(9%)
minecraft.used.gray_concrete_powder: #6, 6788(9%)
minecraft.crafted.spruce_fence_gate: #5, 287(5%)
minecraft.mined.deepslate_redstone_ore: #5, 2295(4%)
minecraft.dropped.cobbled_deepslate: #5, 5901(4%)
minecraft.dropped.deepslate_redstone_ore: #5, 48(6%)
minecraft.used.cake: #5, 6(6%)
minecraft.crafted.dried_ghast: #4, 1(0%)
minecraft.dropped.diamond_ore: #5, 1(14%)
minecraft.mined.tinted_glass: #5, 146(5%)
minecraft.picked_up.deepslate_brick_slab: #5, 220(5%)
minecraft.picked_up.lapis_block: #5, 192(5%)
minecraft.used.orange_stained_glass: #5, 998(6%)
minecraft.used.deepslate: #6, 6338(8%)
minecraft.used.deepslate_diamond_ore: #5, 827(4%)
minecraft.used.soul_campfire: #5, 36(8%)
minecraft.picked_up.deepslate_diamond_ore: #5, 1111(4%)
minecraft.dropped.white_carpet: #5, 32(6%)
minecraft.dropped.sand: #5, 2027(4%)
minecraft.mined.copper_block: #5, 130(4%)
minecraft.mined.deepslate_gold_ore: #5, 846(3%)
minecraft.picked_up.purple_wool: #5, 338(4%)
minecraft.used.magma_block: #6, 2100(8%)
minecraft.picked_up.moss_block: #5, 11609(3%)
minecraft.used.andesite_stairs: #5, 87(4%)
minecraft.crafted.orange_stained_glass: #5, 1152(5%)
minecraft.mined.orange_carpet: #5, 20(5%)
minecraft.mined.orange_stained_glass_pane: #5, 30(5%)
minecraft.used.raw_copper_block: #5, 14(5%)
minecraft.mined.rail: #6, 2368(7%)
minecraft.used.deepslate_lapis_ore: #5, 68(4%)
minecraft.mined.cracked_stone_bricks: #5, 127(3%)
minecraft.crafted.mossy_stone_brick_wall: #5, 11(8%)
minecraft.mined.polished_diorite: #6, 52(7%)
minecraft.picked_up.tinted_glass: #5, 143(4%)
minecraft.used.chiseled_stone_bricks: #5, 110(4%)
minecraft.dropped.deepslate_iron_ore: #5, 25(4%)
minecraft.crafted.warped_door: #5, 3(6%)
minecraft.used.chest_minecart: #5, 14(4%)
minecraft.mined.open_eyeblossom: #5, 13(4%)
minecraft.mined.tuff_stairs: #5, 8(4%)
minecraft.picked_up.snow: #5, 2199(3%)
minecraft.crafted.deepslate_brick_slab: #5, 174(3%)
minecraft.crafted.gray_bed: #5, 5(4%)
minecraft.picked_up.open_eyeblossom: #5, 13(3%)
minecraft.mined.stone_stairs: #6, 106(6%)
minecraft.crafted.recovery_compass: #5, 1(7%)
minecraft.mined.lapis_ore: #6, 302(6%)
minecraft.mined.pale_oak_wood: #5, 10(5%)
minecraft.killed.wandering_trader: #6, 12(6%)
minecraft.used.waxed_cut_copper_slab: #5, 20(4%)
minecraft.picked_up.diamond_boots: #6, 49(4%)
minecraft.dropped.oak_door: #5, 7(4%)
minecraft.crafted.gray_dye: #6, 2102(6%)
minecraft.mined.birch_sapling: #6, 19(8%)
minecraft.crafted.sponge: #5, 54(7%)
minecraft.custom.swim_one_cm: #7, 10543659(6%)
minecraft.dropped.gray_dye: #6, 32(8%)
minecraft.picked_up.echo_shard: #5, 8(3%)
minecraft.used.blue_dye: #5, 2(4%)
minecraft.used.hopper: #6, 2160(5%)
minecraft.mined.black_carpet: #5, 108(2%)
minecraft.crafted.cyan_harness: #5, 1(7%)
minecraft.used.pink_dye: #5, 5(3%)
minecraft.used.dark_oak_log: #6, 1416(5%)
minecraft.dropped.furnace: #5, 6(2%)
minecraft.crafted.melon_seeds: #6, 121(8%)
