stat, rank, value, (percentage) 
minecraft.picked_up.brown_bed: #1, 22(43%)
minecraft.dropped.oak_fence: #1, 113(29%)
minecraft.dropped.white_carpet: #1, 182(32%)
minecraft.mined.dragon_wall_head: #1, 43(27%)
minecraft.picked_up.diorite_stairs: #1, 149(51%)
minecraft.crafted.raw_iron: #1, 3393(34%)
minecraft.picked_up.white_carpet: #1, 803(23%)
minecraft.picked_up.brown_terracotta: #1, 6820(27%)
minecraft.crafted.scaffolding: #1, 11340(21%)
minecraft.killed.snow_golem: #1, 71(42%)
minecraft.used.spruce_hanging_sign: #1, 125(26%)
minecraft.crafted.cooked_porkchop: #2, 605(29%)
minecraft.mined.brown_terracotta: #1, 6775(26%)
minecraft.picked_up.glow_ink_sac: #1, 925(18%)
minecraft.crafted.mossy_stone_brick_slab: #1, 774(62%)
minecraft.mined.purple_shulker_box: #1, 699(20%)
minecraft.picked_up.netherite_sword: #1, 81(24%)
minecraft.picked_up.purple_shulker_box: #1, 702(20%)
minecraft.crafted.yellow_concrete_powder: #2, 9232(30%)
minecraft.picked_up.yellow_carpet: #1, 409(33%)
minecraft.crafted.iron_leggings: #1, 32(20%)
minecraft.dropped.dark_oak_sign: #1, 32(54%)
minecraft.picked_up.orange_carpet: #1, 265(29%)
minecraft.used.lime_carpet: #1, 2612(44%)
minecraft.picked_up.red_bed: #2, 129(29%)
minecraft.picked_up.brown_dye: #2, 312(23%)
minecraft.mined.end_stone_bricks: #1, 413(22%)
minecraft.picked_up.spruce_trapdoor: #1, 3117(19%)
minecraft.picked_up.dark_oak_fence_gate: #1, 159(32%)
minecraft.dropped.spruce_trapdoor: #1, 561(24%)
minecraft.mined.stone_brick_wall: #1, 237(28%)
minecraft.picked_up.tinted_glass: #2, 1222(30%)
minecraft.used.hanging_roots: #1, 133(39%)
minecraft.crafted.diorite_slab: #1, 732(36%)
minecraft.crafted.coal: #2, 16536(24%)
minecraft.picked_up.stone_brick_wall: #1, 306(29%)
minecraft.mined.red_bed: #2, 123(29%)
minecraft.mined.spruce_trapdoor: #1, 2000(19%)
minecraft.crafted.end_stone_brick_slab: #1, 480(93%)
minecraft.used.item_frame: #1, 1690(17%)
minecraft.used.purple_shulker_box: #1, 685(19%)
minecraft.mined.spruce_pressure_plate: #1, 33(29%)
minecraft.used.cartography_table: #1, 94(26%)
minecraft.dropped.netherite_upgrade_smithing_template: #1, 13(42%)
minecraft.picked_up.nether_bricks: #1, 1717(22%)
minecraft.dropped.gray_stained_glass: #1, 55(51%)
minecraft.picked_up.netherite_axe: #1, 67(23%)
minecraft.dropped.pale_oak_log: #1, 282(51%)
minecraft.dropped.spruce_stairs: #1, 218(30%)
minecraft.mined.red_candle: #1, 36(35%)
minecraft.custom.trigger_trapped_chest: #1, 217(17%)
minecraft.dropped.end_stone_bricks: #1, 201(35%)
minecraft.dropped.phantom_membrane: #1, 56(24%)
minecraft.mined.flowering_azalea: #2, 387(23%)
minecraft.dropped.crimson_planks: #1, 94(56%)
minecraft.picked_up.oak_slab: #1, 770(18%)
minecraft.used.gold_block: #1, 2058(19%)
minecraft.crafted.netherite_upgrade_smithing_template: #1, 144(22%)
minecraft.crafted.iron_boots: #2, 41(22%)
minecraft.used.quartz_stairs: #2, 2042(27%)
minecraft.mined.green_carpet: #1, 168(22%)
minecraft.dropped.cobblestone_slab: #1, 408(24%)
minecraft.mined.green_stained_glass: #2, 307(33%)
minecraft.used.carved_pumpkin: #2, 130(20%)
minecraft.dropped.calcite: #1, 366(24%)
minecraft.picked_up.ghast_tear: #2, 405(23%)
minecraft.picked_up.spire_armor_trim_smithing_template: #1, 16(62%)
minecraft.used.yellow_carpet: #1, 972(25%)
minecraft.crafted.polished_blackstone_brick_slab: #1, 388(48%)
minecraft.dropped.brown_terracotta: #1, 92(47%)
minecraft.killed.ghast: #1, 196(18%)
minecraft.used.cracked_polished_blackstone_bricks: #1, 201(39%)
minecraft.mined.bamboo_sapling: #1, 52(19%)
minecraft.picked_up.netherite_shovel: #1, 68(21%)
minecraft.used.brown_candle: #1, 207(42%)
minecraft.dropped.breeze_rod: #1, 684(42%)
minecraft.picked_up.lapis_block: #2, 1026(27%)
minecraft.used.flowering_azalea: #1, 299(20%)
minecraft.broken.fishing_rod: #1, 26(21%)
minecraft.used.red_wool: #2, 1393(22%)
minecraft.picked_up.spruce_stairs: #1, 1005(16%)
minecraft.picked_up.echo_shard: #1, 95(41%)
minecraft.picked_up.netherite_ingot: #1, 22(69%)
minecraft.used.tinted_glass: #1, 2203(22%)
minecraft.custom.clean_shulker_box: #1, 38(58%)
minecraft.killed_by.zombie: #2, 74(19%)
minecraft.used.brown_concrete: #1, 373(37%)
minecraft.dropped.quartz_slab: #1, 186(58%)
minecraft.picked_up.spruce_sign: #1, 339(14%)
minecraft.picked_up.deepslate_bricks: #2, 2344(22%)
minecraft.dropped.fire_coral_fan: #1, 50(57%)
minecraft.mined.spruce_hanging_sign: #1, 17(31%)
minecraft.picked_up.jungle_button: #1, 89(36%)
minecraft.used.spore_blossom: #2, 100(33%)
minecraft.picked_up.mossy_stone_brick_wall: #1, 17(57%)
minecraft.dropped.raw_iron_block: #1, 95(79%)
minecraft.dropped.dragon_head: #1, 25(44%)
minecraft.dropped.creaking_heart: #1, 97(79%)
minecraft.picked_up.pink_carpet: #1, 101(30%)
minecraft.dropped.dark_oak_sapling: #1, 66(25%)
minecraft.dropped.purple_carpet: #1, 44(79%)
minecraft.used.purple_carpet: #2, 1768(41%)
minecraft.dropped.yellow_bed: #1, 10(43%)
minecraft.crafted.popped_chorus_fruit: #1, 541(30%)
minecraft.dropped.andesite: #1, 4045(16%)
minecraft.picked_up.creaking_heart: #1, 199(28%)
minecraft.mined.warped_fence: #1, 126(28%)
minecraft.dropped.tuff: #2, 4337(19%)
minecraft.picked_up.gilded_blackstone: #1, 329(35%)
minecraft.used.jungle_boat: #1, 48(20%)
minecraft.dropped.rabbit_hide: #1, 31(35%)
minecraft.picked_up.magenta_banner: #1, 65(96%)
minecraft.dropped.grindstone: #1, 34(38%)
minecraft.dropped.oak_planks: #2, 550(18%)
minecraft.picked_up.furnace: #1, 525(15%)
minecraft.dropped.snow_block: #1, 721(24%)
minecraft.picked_up.spruce_door: #1, 41(17%)
minecraft.dropped.dead_bush: #2, 420(37%)
minecraft.killed.axolotl: #1, 66(94%)
minecraft.crafted.green_wool: #1, 764(25%)
minecraft.picked_up.sculk_sensor: #2, 1074(21%)
minecraft.used.brown_carpet: #2, 863(25%)
minecraft.dropped.stone_brick_wall: #1, 85(47%)
minecraft.dropped.netherite_sword: #1, 17(23%)
minecraft.mined.brown_bed: #1, 13(31%)
minecraft.mined.light_blue_wool: #1, 261(22%)
minecraft.mined.brown_candle: #1, 49(46%)
minecraft.dropped.flint: #2, 1659(20%)
minecraft.used.beef: #1, 35(61%)
minecraft.dropped.netherite_shovel: #1, 11(26%)
minecraft.used.end_stone_brick_slab: #1, 170(73%)
minecraft.dropped.andesite_wall: #1, 100(40%)
minecraft.mined.purple_concrete: #1, 940(28%)
minecraft.dropped.pale_oak_trapdoor: #1, 43(52%)
minecraft.dropped.white_bed: #1, 24(16%)
minecraft.mined.azalea: #2, 476(18%)
minecraft.killed.parrot: #1, 20(71%)
minecraft.killed.husk: #2, 501(24%)
minecraft.used.firework_rocket: #2, 77848(11%)
minecraft.picked_up.dark_oak_slab: #2, 884(18%)
minecraft.mined.lantern: #1, 221(14%)
minecraft.used.stone: #1, 112145(13%)
minecraft.used.spruce_stairs: #1, 2313(13%)
minecraft.mined.diamond_block: #2, 590(20%)
minecraft.picked_up.firefly_bush: #1, 584(22%)
minecraft.dropped.torch: #1, 1204(14%)
minecraft.picked_up.dark_oak_boat: #1, 33(28%)
minecraft.mined.cartography_table: #2, 75(26%)
minecraft.used.spruce_trapdoor: #1, 7866(13%)
minecraft.used.mutton: #1, 53(67%)
minecraft.mined.spruce_stairs: #1, 614(13%)
minecraft.dropped.quartz_stairs: #1, 120(66%)
minecraft.dropped.leather: #2, 1336(20%)
minecraft.killed.bee: #1, 53(25%)
minecraft.used.lantern: #1, 935(13%)
minecraft.picked_up.cooked_mutton: #2, 1455(19%)
minecraft.picked_up.cartography_table: #2, 84(25%)
minecraft.killed_by.enderman: #1, 8(30%)
minecraft.dropped.gilded_blackstone: #1, 100(81%)
minecraft.picked_up.music_disc_mall: #1, 23(40%)
minecraft.dropped.green_carpet: #1, 84(53%)
minecraft.mined.brown_wool: #2, 250(21%)
minecraft.mined.green_candle: #1, 10(53%)
minecraft.picked_up.warped_fence: #1, 139(21%)
minecraft.killed_by.zombified_piglin: #1, 6(29%)
minecraft.mined.purpur_pillar: #2, 392(21%)
minecraft.killed.polar_bear: #1, 24(52%)
minecraft.picked_up.iron_leggings: #1, 27(12%)
minecraft.dropped.ender_eye: #1, 9(35%)
minecraft.dropped.ominous_bottle: #1, 11(21%)
minecraft.used.dark_oak_sign: #2, 206(20%)
minecraft.killed.piglin: #1, 148(15%)
minecraft.dropped.smooth_basalt: #1, 111(19%)
minecraft.dropped.deepslate_brick_wall: #1, 150(62%)
minecraft.dropped.oak_log: #2, 1622(19%)
minecraft.picked_up.coast_armor_trim_smithing_template: #1, 12(34%)
minecraft.mined.hopper: #1, 1284(12%)
minecraft.dropped.tuff_brick_stairs: #1, 256(51%)
minecraft.picked_up.crimson_sign: #1, 31(24%)
minecraft.used.green_candle: #1, 101(38%)
minecraft.picked_up.pale_oak_stairs: #1, 76(24%)
minecraft.killed.camel: #1, 13(76%)
minecraft.crafted.polished_blackstone_bricks: #1, 638(25%)
minecraft.crafted.smooth_stone: #2, 5762(17%)
minecraft.dropped.sculk_sensor: #1, 36(34%)
minecraft.picked_up.player_head: #2, 4990(12%)
minecraft.mined.hay_block: #2, 730(18%)
minecraft.mined.diorite_stairs: #1, 49(28%)
minecraft.picked_up.white_stained_glass: #2, 925(19%)
minecraft.dropped.gold_ingot: #2, 1682(16%)
minecraft.mined.oak_sapling: #2, 91(19%)
minecraft.picked_up.hopper: #1, 1474(12%)
minecraft.dropped.sculk_catalyst: #1, 17(50%)
minecraft.used.purple_concrete: #1, 901(30%)
minecraft.dropped.snow: #2, 652(22%)
minecraft.dropped.flowering_azalea_leaves: #2, 1198(31%)
minecraft.dropped.yellow_concrete: #1, 1915(33%)
minecraft.used.scaffolding: #1, 23260(12%)
minecraft.picked_up.scaffolding: #1, 22487(11%)
minecraft.mined.stone_brick_stairs: #2, 487(17%)
minecraft.picked_up.pale_oak_leaves: #2, 1776(19%)
minecraft.picked_up.enchanted_golden_apple: #2, 90(22%)
minecraft.dropped.rabbit: #2, 59(25%)
minecraft.picked_up.fletching_table: #1, 28(33%)
minecraft.dropped.lilac: #1, 99(24%)
minecraft.dropped.mangrove_planks: #2, 165(28%)
minecraft.picked_up.glass_pane: #2, 485(17%)
minecraft.used.enchanted_golden_apple: #1, 18(32%)
minecraft.mined.barrel: #1, 445(12%)
minecraft.dropped.chainmail_helmet: #1, 15(21%)
minecraft.dropped.purple_stained_glass: #1, 129(95%)
minecraft.picked_up.dark_oak_fence: #2, 682(15%)
minecraft.picked_up.black_carpet: #2, 5611(21%)
minecraft.picked_up.end_stone_brick_slab: #1, 102(70%)
minecraft.dropped.green_bed: #1, 29(94%)
minecraft.dropped.sandstone_stairs: #1, 47(70%)
minecraft.custom.damage_absorbed: #2, 5635(22%)
minecraft.mined.crimson_sign: #1, 7(70%)
minecraft.picked_up.deepslate_brick_wall: #2, 268(22%)
minecraft.dropped.green_banner: #1, 15(56%)
minecraft.picked_up.ward_armor_trim_smithing_template: #1, 9(35%)
minecraft.picked_up.music_disc_strad: #1, 22(34%)
minecraft.mined.spruce_wall_sign: #2, 81(14%)
minecraft.picked_up.stone_axe: #1, 7(17%)
minecraft.picked_up.piglin_banner_pattern: #1, 7(39%)
