stat, rank, value, (percentage) 
minecraft.dropped.music_disc_ward: #2, 3(18%)
minecraft.dropped.cooked_rabbit: #2, 4(17%)
minecraft.dropped.trial_key: #3, 26(11%)
minecraft.mined.player_wall_head: #3, 41(7%)
minecraft.killed.zombie_villager: #4, 27(10%)
minecraft.used.stripped_birch_wood: #4, 856(18%)
minecraft.dropped.crimson_sign: #3, 9(25%)
minecraft.mined.potted_allium: #2, 1(25%)
minecraft.picked_up.orange_bed: #3, 17(8%)
minecraft.custom.pot_flower: #4, 190(10%)
minecraft.dropped.iron_chestplate: #3, 10(6%)
minecraft.used.diamond_ore: #3, 9(16%)
minecraft.mined.cobweb: #3, 947(6%)
minecraft.picked_up.melon_slice: #4, 5715(9%)
minecraft.picked_up.gray_dye: #3, 128(7%)
minecraft.dropped.wooden_pickaxe: #3, 3(9%)
minecraft.dropped.nether_brick_fence: #3, 27(16%)
minecraft.picked_up.gold_ore: #3, 117(7%)
minecraft.used.cooked_porkchop: #4, 1749(8%)
minecraft.mined.sugar_cane: #4, 10999(10%)
minecraft.killed_by.drowned: #4, 36(14%)
minecraft.picked_up.skeleton_skull: #3, 12(18%)
minecraft.mined.blackstone_wall: #3, 9(14%)
minecraft.killed.tropical_fish: #3, 44(13%)
minecraft.picked_up.oak_trapdoor: #4, 260(10%)
minecraft.picked_up.pale_oak_hanging_sign: #2, 2(11%)
minecraft.mined.green_bed: #3, 46(11%)
minecraft.used.diorite_slab: #3, 579(8%)
minecraft.picked_up.red_tulip: #3, 520(6%)
minecraft.crafted.recovery_compass: #3, 3(20%)
minecraft.mined.shulker_box: #4, 6602(8%)
minecraft.picked_up.purpur_stairs: #4, 257(13%)
minecraft.used.polished_blackstone_brick_slab: #3, 222(17%)
minecraft.crafted.arrow: #3, 356(15%)
minecraft.dropped.music_disc_13: #3, 4(10%)
minecraft.mined.coal_ore: #3, 10254(5%)
minecraft.used.golden_pickaxe: #2, 32(12%)
minecraft.picked_up.stone_pickaxe: #3, 7(7%)
minecraft.picked_up.wooden_pickaxe: #3, 3(10%)
minecraft.dropped.brick: #3, 396(6%)
minecraft.dropped.dark_prismarine: #2, 47(7%)
minecraft.used.bush: #3, 140(13%)
minecraft.picked_up.creeper_head: #2, 1(11%)
minecraft.mined.packed_mud: #3, 2509(5%)
minecraft.picked_up.stone_stairs: #4, 240(9%)
minecraft.dropped.nautilus_shell: #3, 5(15%)
minecraft.used.andesite_stairs: #4, 254(13%)
minecraft.dropped.glass_bottle: #4, 2037(8%)
minecraft.mined.chiseled_polished_blackstone: #3, 8(12%)
minecraft.picked_up.cooked_salmon: #4, 191(10%)
minecraft.picked_up.dead_brain_coral_fan: #3, 7(16%)
minecraft.dropped.crimson_trapdoor: #2, 5(7%)
minecraft.dropped.pitcher_pod: #2, 36(2%)
minecraft.picked_up.diamond_horse_armor: #3, 4(13%)
minecraft.killed.ocelot: #2, 6(10%)
minecraft.dropped.cod_bucket: #2, 3(14%)
minecraft.crafted.diamond_block: #3, 707(5%)
minecraft.picked_up.gold_ingot: #3, 1525(5%)
minecraft.mined.potted_azalea_bush: #3, 3(16%)
minecraft.killed.vex: #4, 39(13%)
minecraft.mined.stripped_birch_wood: #4, 574(13%)
minecraft.picked_up.lilac: #4, 726(9%)
minecraft.dropped.netherite_scrap: #2, 5(12%)
minecraft.mined.sniffer_egg: #2, 1(12%)
minecraft.crafted.dark_oak_fence_gate: #4, 184(12%)
minecraft.picked_up.soul_sand: #4, 2561(9%)
minecraft.used.dead_brain_coral_fan: #3, 7(21%)
minecraft.dropped.tuff_bricks: #4, 445(11%)
minecraft.picked_up.nether_brick: #3, 300(10%)
minecraft.mined.lime_banner: #2, 3(4%)
minecraft.dropped.nether_brick_stairs: #2, 4(11%)
minecraft.picked_up.nether_brick_stairs: #3, 10(17%)
minecraft.mined.chorus_plant: #3, 82(6%)
minecraft.mined.dead_brain_coral_fan: #3, 8(20%)
minecraft.dropped.birch_slab: #3, 42(15%)
minecraft.used.diamond_block: #3, 355(5%)
minecraft.picked_up.raw_iron: #4, 6072(9%)
minecraft.picked_up.purpur_block: #3, 815(5%)
minecraft.dropped.oak_boat: #3, 12(5%)
minecraft.dropped.tube_coral_fan: #3, 2(17%)
minecraft.dropped.charcoal: #2, 5(2%)
minecraft.dropped.waxed_copper_bulb: #3, 6(12%)
minecraft.mined.cobbled_deepslate: #3, 924(5%)
minecraft.used.pumpkin_pie: #2, 29(2%)
minecraft.used.soul_lantern: #3, 136(7%)
minecraft.mined.obsidian: #4, 1553(9%)
minecraft.crafted.cod_bucket: #2, 4(7%)
minecraft.picked_up.cobblestone_slab: #4, 583(9%)
minecraft.crafted.spyglass: #3, 6(8%)
minecraft.used.leather_boots: #4, 18(7%)
minecraft.used.chicken: #3, 9(12%)
minecraft.picked_up.magenta_wool: #3, 278(6%)
minecraft.picked_up.stripped_birch_wood: #4, 574(12%)
minecraft.dropped.dark_oak_stairs: #3, 16(11%)
minecraft.crafted.coal_block: #4, 2078(8%)
minecraft.used.fire_coral_fan: #4, 33(15%)
minecraft.mined.red_carpet: #3, 317(6%)
minecraft.mined.glow_lichen: #4, 2017(8%)
minecraft.used.exposed_cut_copper: #2, 2(2%)
minecraft.mined.purpur_block: #3, 609(5%)
minecraft.dropped.waxed_oxidized_cut_copper: #3, 16(8%)
minecraft.mined.nether_brick_stairs: #3, 8(15%)
minecraft.mined.oak_log: #4, 8233(8%)
minecraft.crafted.birch_planks: #4, 7428(8%)
minecraft.used.jukebox: #4, 48(9%)
minecraft.crafted.leather_helmet: #4, 26(13%)
minecraft.mined.prismarine_slab: #3, 35(15%)
minecraft.used.podzol: #3, 296(5%)
minecraft.mined.cobbled_deepslate_stairs: #3, 50(5%)
minecraft.dropped.redstone_ore: #3, 12(13%)
minecraft.used.glow_ink_sac: #4, 393(8%)
minecraft.crafted.cartography_table: #4, 31(11%)
minecraft.picked_up.smooth_red_sandstone_stairs: #3, 64(10%)
minecraft.picked_up.netherite_hoe: #3, 12(8%)
minecraft.picked_up.purple_harness: #3, 1(17%)
minecraft.used.chipped_anvil: #4, 25(9%)
minecraft.mined.bush: #3, 169(10%)
minecraft.dropped.kelp: #4, 1523(8%)
minecraft.picked_up.cyan_shulker_box: #5, 493(10%)
minecraft.mined.blackstone_stairs: #4, 23(13%)
minecraft.custom.interact_with_grindstone: #4, 157(8%)
minecraft.used.furnace: #4, 412(8%)
minecraft.custom.fly_one_cm: #5, 134978303(5%)
minecraft.picked_up.andesite_wall: #4, 125(10%)
minecraft.used.cobweb: #3, 244(5%)
minecraft.used.skeleton_skull: #3, 5(19%)
minecraft.used.iron_hoe: #4, 562(9%)
minecraft.picked_up.golden_horse_armor: #3, 5(7%)
minecraft.picked_up.diamond: #4, 6473(7%)
minecraft.crafted.glass_pane: #4, 1184(8%)
minecraft.dropped.chiseled_deepslate: #3, 6(12%)
minecraft.dropped.mangrove_sign: #3, 12(12%)
minecraft.mined.soul_sand: #4, 1789(8%)
minecraft.killed_by.blaze: #3, 5(16%)
minecraft.crafted.yellow_dye: #4, 2750(8%)
minecraft.mined.sculk_shrieker: #4, 75(11%)
minecraft.dropped.white_wool: #4, 499(8%)
minecraft.dropped.red_wool: #3, 16(6%)
minecraft.picked_up.music_disc_stal: #3, 8(19%)
minecraft.dropped.white_shulker_box: #3, 15(6%)
minecraft.picked_up.sugar_cane: #4, 37008(7%)
minecraft.dropped.armor_stand: #4, 34(9%)
minecraft.used.dark_oak_trapdoor: #4, 940(8%)
minecraft.picked_up.oak_hanging_sign: #3, 12(6%)
minecraft.picked_up.tide_armor_trim_smithing_template: #3, 2(18%)
minecraft.dropped.map: #3, 18(11%)
minecraft.picked_up.diamond_boots: #4, 65(6%)
minecraft.crafted.smooth_sandstone_stairs: #3, 60(10%)
minecraft.picked_up.light_blue_wool: #4, 778(9%)
minecraft.dropped.ink_sac: #4, 73(8%)
minecraft.mined.short_grass: #4, 8569(7%)
minecraft.custom.enchant_item: #4, 274(8%)
minecraft.custom.leave_game: #5, 1775(5%)
minecraft.used.glow_berries: #4, 178(9%)
minecraft.picked_up.orange_dye: #4, 65(7%)
minecraft.mined.oak_sign: #4, 19(7%)
minecraft.dropped.crimson_stem: #3, 23(12%)
minecraft.dropped.prismarine: #3, 128(9%)
minecraft.used.brown_wool: #4, 333(9%)
minecraft.mined.prismarine: #3, 547(5%)
minecraft.used.hopper: #4, 3005(7%)
minecraft.dropped.campfire: #3, 6(7%)
minecraft.mined.jungle_pressure_plate: #3, 4(14%)
minecraft.mined.player_head: #4, 223(7%)
minecraft.dropped.feather: #3, 544(4%)
minecraft.dropped.gravel: #4, 3874(7%)
minecraft.picked_up.oak_log: #4, 8777(7%)
minecraft.mined.cyan_shulker_box: #5, 478(9%)
minecraft.crafted.diamond_helmet: #4, 8(7%)
minecraft.crafted.diamond_leggings: #4, 8(7%)
minecraft.dropped.bubble_coral_fan: #3, 2(17%)
minecraft.dropped.purple_wool: #3, 17(7%)
minecraft.picked_up.spruce_button: #3, 165(4%)
minecraft.used.horn_coral_block: #3, 56(6%)
minecraft.picked_up.redstone_ore: #3, 85(4%)
minecraft.picked_up.end_rod: #4, 572(7%)
minecraft.dropped.oak_slab: #4, 78(9%)
minecraft.dropped.polished_blackstone_stairs: #3, 27(20%)
minecraft.dropped.yellow_banner: #3, 1(20%)
minecraft.crafted.lodestone: #3, 103(9%)
minecraft.dropped.pale_oak_planks: #3, 34(11%)
minecraft.dropped.pink_tulip: #3, 24(7%)
minecraft.crafted.magenta_bed: #3, 1(11%)
minecraft.used.purpur_slab: #3, 48(6%)
minecraft.used.milk_bucket: #4, 14(9%)
minecraft.used.polished_blackstone_button: #3, 51(3%)
minecraft.mined.dead_horn_coral_block: #3, 49(8%)
minecraft.dropped.polished_blackstone_button: #3, 4(10%)
minecraft.used.water_bucket: #4, 4055(7%)
minecraft.used.orange_wool: #4, 315(9%)
minecraft.dropped.diamond_shovel: #4, 17(8%)
minecraft.dropped.scrape_pottery_sherd: #3, 3(9%)
minecraft.picked_up.blue_bed: #3, 32(5%)
minecraft.mined.calcite: #4, 2440(7%)
minecraft.killed_by.warden: #4, 11(14%)
minecraft.mined.prismarine_bricks: #3, 749(4%)
minecraft.used.dark_oak_hanging_sign: #3, 21(7%)
minecraft.dropped.yellow_terracotta: #3, 27(7%)
minecraft.crafted.dark_oak_hanging_sign: #3, 18(7%)
minecraft.used.shulker_box: #5, 6694(8%)
minecraft.dropped.waxed_weathered_copper_bulb: #3, 1(14%)
minecraft.dropped.stone_pickaxe: #4, 7(8%)
minecraft.mined.red_mushroom_block: #4, 679(11%)
minecraft.picked_up.feather: #4, 940(7%)
minecraft.used.spruce_leaves: #4, 2271(8%)
minecraft.custom.drop: #5, 21437(7%)
minecraft.mined.smooth_quartz_slab: #4, 199(8%)
minecraft.picked_up.spruce_fence_gate: #4, 159(8%)
minecraft.picked_up.name_tag: #4, 68(7%)
minecraft.custom.boat_one_cm: #4, 6975498(7%)
minecraft.dropped.string: #4, 1079(7%)
minecraft.picked_up.diamond_chestplate: #5, 42(11%)
minecraft.picked_up.torch: #4, 7821(6%)
minecraft.used.purple_stained_glass: #4, 2770(10%)
minecraft.killed_by.elder_guardian: #3, 1(17%)
minecraft.picked_up.stone_shovel: #3, 8(4%)
minecraft.picked_up.beacon: #4, 35(7%)
minecraft.used.barrel: #4, 671(7%)
minecraft.crafted.glow_item_frame: #4, 301(9%)
minecraft.crafted.brown_candle: #3, 78(8%)
minecraft.dropped.brown_mushroom: #4, 55(9%)
minecraft.used.leather_leggings: #4, 10(6%)
minecraft.mined.mossy_cobblestone_slab: #4, 17(10%)
minecraft.dropped.purpur_pillar: #3, 36(4%)
minecraft.dropped.soul_lantern: #3, 17(12%)
minecraft.picked_up.birch_fence: #4, 115(8%)
minecraft.used.white_carpet: #4, 482(7%)
minecraft.mined.verdant_froglight: #4, 758(8%)
minecraft.dropped.cracked_stone_bricks: #3, 263(5%)
minecraft.crafted.stick: #4, 27069(6%)
minecraft.used.cyan_shulker_box: #5, 475(9%)
minecraft.dropped.pale_oak_boat: #3, 1(20%)
minecraft.used.torch: #4, 12119(6%)
minecraft.picked_up.red_mushroom_block: #4, 591(11%)
minecraft.mined.raw_iron_block: #3, 66(3%)
minecraft.picked_up.glow_berries: #4, 379(7%)
minecraft.picked_up.blackstone_stairs: #4, 24(11%)
minecraft.mined.slime_block: #4, 424(6%)
minecraft.dropped.waxed_chiseled_copper: #3, 5(5%)
minecraft.used.netherite_axe: #4, 43323(11%)
minecraft.mined.black_wool: #4, 843(8%)
minecraft.mined.tall_grass: #4, 1482(6%)
minecraft.crafted.cherry_trapdoor: #4, 184(8%)
minecraft.picked_up.orange_wool: #4, 505(7%)
minecraft.dropped.waxed_cut_copper: #3, 7(8%)
minecraft.picked_up.brown_banner: #4, 41(12%)
minecraft.picked_up.white_banner: #4, 204(6%)
minecraft.dropped.waxed_oxidized_cut_copper_slab: #3, 6(11%)
minecraft.mined.pale_oak_sign: #3, 1(9%)
minecraft.mined.red_tulip: #4, 147(7%)
minecraft.picked_up.amethyst_shard: #4, 3261(7%)
minecraft.dropped.orange_concrete_powder: #3, 6(11%)
minecraft.dropped.mangrove_slab: #4, 44(11%)
minecraft.dropped.iron_horse_armor: #3, 2(6%)
minecraft.mined.bell: #4, 17(9%)
minecraft.dropped.chiseled_quartz_block: #3, 7(13%)
minecraft.crafted.slime_ball: #3, 1737(3%)
minecraft.dropped.gray_wool: #3, 72(3%)
minecraft.dropped.sculk: #3, 122(4%)
minecraft.dropped.amethyst_shard: #3, 98(3%)
minecraft.dropped.cobbled_deepslate: #4, 8348(6%)
minecraft.dropped.red_mushroom_block: #3, 81(8%)
minecraft.picked_up.spruce_boat: #4, 40(7%)
minecraft.picked_up.spectral_arrow: #4, 1168(8%)
minecraft.picked_up.prismarine_crystals: #3, 106(3%)
minecraft.picked_up.pitcher_pod: #4, 138(8%)
minecraft.picked_up.ominous_trial_key: #4, 82(9%)
minecraft.dropped.spruce_fence: #4, 69(9%)
minecraft.used.chiseled_quartz_block: #3, 208(5%)
minecraft.crafted.end_stone_brick_stairs: #3, 7(7%)
minecraft.picked_up.blade_pottery_sherd: #3, 2(12%)
minecraft.mined.lodestone: #3, 18(9%)
minecraft.picked_up.heavy_core: #4, 9(10%)
minecraft.picked_up.magenta_bed: #3, 4(6%)
minecraft.mined.blue_orchid: #4, 61(12%)
minecraft.picked_up.turtle_helmet: #3, 1(9%)
minecraft.used.end_stone_bricks: #4, 39(8%)
minecraft.picked_up.iron_axe: #4, 29(6%)
minecraft.picked_up.exposed_cut_copper: #3, 6(3%)
minecraft.picked_up.dead_horn_coral_block: #3, 50(4%)
minecraft.mined.white_tulip: #4, 104(7%)
minecraft.crafted.rib_armor_trim_smithing_template: #3, 6(7%)
minecraft.picked_up.yellow_bed: #4, 72(7%)
minecraft.used.netherite_shovel: #4, 188560(10%)
minecraft.crafted.blue_bundle: #3, 1(14%)
minecraft.used.blue_stained_glass_pane: #3, 15(5%)
minecraft.picked_up.loom: #4, 21(7%)
minecraft.used.slime_block: #4, 834(6%)
minecraft.dropped.iron_shovel: #4, 13(6%)
minecraft.used.magenta_bed: #3, 5(7%)
minecraft.used.red_candle: #3, 86(6%)
minecraft.mined.magenta_bed: #3, 4(6%)
minecraft.dropped.stone_button: #5, 105(10%)
minecraft.picked_up.fern: #4, 1138(8%)
minecraft.crafted.oak_boat: #3, 30(2%)
minecraft.dropped.firefly_bush: #3, 3(12%)
minecraft.used.bubble_coral_fan: #3, 6(3%)
minecraft.killed_by.creeper: #4, 8(7%)
minecraft.crafted.firework_rocket: #4, 22906(6%)
minecraft.dropped.comparator: #4, 70(10%)
minecraft.used.dead_horn_coral_block: #3, 21(4%)
minecraft.dropped.diamond: #4, 591(5%)
minecraft.custom.jump: #5, 622162(5%)
minecraft.picked_up.cobbled_deepslate: #4, 43402(5%)
minecraft.picked_up.flow_armor_trim_smithing_template: #4, 18(9%)
minecraft.picked_up.pale_oak_pressure_plate: #3, 2(7%)
minecraft.dropped.iron_pickaxe: #4, 8(8%)
minecraft.mined.yellow_bed: #4, 68(6%)
minecraft.dropped.verdant_froglight: #3, 233(2%)
minecraft.picked_up.blue_dye: #5, 92(9%)
minecraft.killed.wither: #3, 7(2%)
minecraft.mined.large_amethyst_bud: #3, 33(2%)
minecraft.picked_up.bee_nest: #4, 43(7%)
minecraft.used.wither_skeleton_skull: #3, 23(2%)
minecraft.picked_up.music_disc_ward: #4, 11(19%)
minecraft.crafted.note_block: #4, 307(6%)
minecraft.used.deepslate_iron_ore: #4, 346(6%)
minecraft.picked_up.nether_star: #3, 7(2%)
minecraft.dropped.dark_oak_hanging_sign: #3, 1(7%)
minecraft.mined.bee_nest: #4, 37(6%)
minecraft.dropped.magma_block: #4, 83(8%)
minecraft.mined.orange_bed: #4, 14(8%)
minecraft.crafted.compass: #3, 593(1%)
minecraft.dropped.glass_pane: #5, 167(13%)
minecraft.dropped.pink_wool: #3, 105(3%)
minecraft.dropped.chiseled_polished_blackstone: #3, 4(5%)
minecraft.dropped.ladder: #4, 129(7%)
minecraft.crafted.pale_oak_boat: #3, 1(7%)
minecraft.picked_up.warped_pressure_plate: #3, 1(7%)
minecraft.dropped.brown_carpet: #4, 29(16%)
minecraft.picked_up.pale_oak_boat: #3, 2(6%)
minecraft.picked_up.cooked_rabbit: #3, 2(6%)
minecraft.killed.goat: #3, 20(6%)
minecraft.used.light_blue_wool: #4, 552(7%)
minecraft.dropped.birch_trapdoor: #4, 14(12%)
minecraft.dropped.orange_banner: #3, 1(6%)
minecraft.crafted.cobblestone_slab: #4, 834(6%)
minecraft.killed_by.vindicator: #3, 1(5%)
minecraft.picked_up.zombie_head: #3, 11(6%)
minecraft.picked_up.deepslate_iron_ore: #4, 404(5%)
minecraft.dropped.stone_hoe: #3, 3(2%)
minecraft.mined.crimson_wall_sign: #4, 5(12%)
minecraft.dropped.blackstone_slab: #3, 7(4%)
minecraft.picked_up.lime_banner: #3, 4(3%)
minecraft.picked_up.sunflower: #5, 1433(8%)
minecraft.dropped.cobblestone: #4, 10491(5%)
minecraft.used.polished_blackstone_stairs: #4, 141(8%)
minecraft.picked_up.pink_wool: #4, 544(6%)
minecraft.used.music_disc_otherside: #4, 13(12%)
minecraft.picked_up.torchflower_seeds: #4, 129(6%)
minecraft.used.cherry_trapdoor: #4, 146(6%)
minecraft.mined.dark_oak_hanging_sign: #3, 2(4%)
minecraft.dropped.granite_slab: #3, 8(6%)
minecraft.dropped.loom: #3, 1(2%)
minecraft.mined.snow: #4, 33589(5%)
minecraft.picked_up.birch_door: #4, 6(10%)
minecraft.used.spruce_button: #3, 462(1%)
minecraft.dropped.flint_and_steel: #3, 11(1%)
minecraft.dropped.stone_axe: #4, 5(6%)
minecraft.mined.acacia_sign: #4, 3(10%)
minecraft.used.sculk_catalyst: #3, 21(2%)
minecraft.dropped.prismarine_bricks: #3, 111(1%)
minecraft.picked_up.glistering_melon_slice: #4, 54(6%)
minecraft.picked_up.polished_blackstone_stairs: #4, 32(7%)
minecraft.dropped.spore_blossom: #4, 4(11%)
minecraft.dropped.stonecutter: #4, 6(9%)
minecraft.crafted.spruce_button: #3, 300(1%)
minecraft.dropped.netherite_boots: #4, 4(7%)
minecraft.picked_up.verdant_froglight: #4, 2592(6%)
minecraft.used.sandstone_stairs: #3, 59(1%)
minecraft.dropped.cracked_deepslate_tiles: #3, 3(1%)
minecraft.picked_up.chorus_fruit: #4, 1127(4%)
minecraft.used.lime_wool: #4, 467(6%)
minecraft.dropped.big_dripleaf: #4, 17(8%)
minecraft.picked_up.smooth_quartz_slab: #5, 285(9%)
minecraft.used.moss_block: #5, 14783(8%)
minecraft.used.yellow_bed: #4, 56(5%)
minecraft.dropped.lily_pad: #4, 22(7%)
minecraft.dropped.light_gray_wool: #4, 129(6%)
minecraft.killed.cow: #5, 917(8%)
minecraft.mined.bookshelf: #5, 357(9%)
minecraft.dropped.nether_quartz_ore: #4, 24(9%)
minecraft.used.soul_torch: #4, 31(13%)
minecraft.dropped.iron_sword: #5, 30(10%)
minecraft.dropped.pale_oak_button: #3, 1(1%)
minecraft.picked_up.wither_skeleton_skull: #4, 36(5%)
minecraft.picked_up.lime_shulker_box: #5, 303(8%)
minecraft.picked_up.iron_pickaxe: #5, 21(8%)
minecraft.picked_up.flower_pot: #5, 90(8%)
minecraft.mined.purple_concrete_powder: #4, 7(16%)
minecraft.used.black_wool: #4, 1659(4%)
minecraft.used.lime_shulker_box: #5, 298(8%)
minecraft.dropped.lectern: #4, 3(10%)
minecraft.dropped.tropical_fish: #4, 17(6%)
minecraft.crafted.dark_oak_planks: #5, 12656(8%)
minecraft.crafted.silence_armor_trim_smithing_template: #4, 20(12%)
minecraft.used.birch_fence_gate: #4, 63(7%)
minecraft.used.rose_bush: #5, 103(9%)
minecraft.mined.granite_stairs: #4, 7(6%)
minecraft.dropped.light_gray_stained_glass: #4, 20(6%)
minecraft.used.flower_pot: #5, 205(8%)
minecraft.crafted.gray_carpet: #4, 603(5%)
minecraft.crafted.iron_nugget: #5, 13096(8%)
minecraft.dropped.magenta_wool: #4, 29(10%)
minecraft.crafted.polished_deepslate_slab: #5, 330(10%)
minecraft.picked_up.dead_bush: #5, 571(10%)
minecraft.dropped.white_stained_glass_pane: #4, 43(11%)
minecraft.dropped.magenta_stained_glass: #4, 3(13%)
minecraft.mined.lime_shulker_box: #5, 298(8%)
minecraft.picked_up.gray_carpet: #5, 460(8%)
minecraft.used.cobblestone_stairs: #4, 425(4%)
minecraft.used.glass_pane: #5, 294(8%)
minecraft.crafted.jungle_boat: #4, 13(6%)
minecraft.dropped.gold_block: #4, 63(9%)
minecraft.crafted.lapis_block: #4, 424(4%)
minecraft.picked_up.sniffer_egg: #4, 9(11%)
minecraft.picked_up.oak_fence: #5, 377(8%)
minecraft.used.green_bed: #4, 41(7%)
minecraft.picked_up.diamond_helmet: #5, 34(6%)
minecraft.picked_up.prismarine: #4, 664(5%)
minecraft.mined.chipped_anvil: #5, 26(7%)
minecraft.used.magenta_banner: #4, 1(14%)
minecraft.killed.turtle: #4, 22(7%)
minecraft.crafted.leather_boots: #5, 119(9%)
minecraft.mined.tripwire_hook: #5, 12(9%)
minecraft.crafted.iron_block: #4, 1053(4%)
minecraft.picked_up.gunpowder: #4, 5743(3%)
minecraft.used.fern: #4, 711(6%)
minecraft.mined.white_wool: #5, 258(8%)
minecraft.custom.walk_on_water_one_cm: #6, 7739162(5%)
minecraft.custom.swim_one_cm: #6, 12552376(7%)
minecraft.dropped.glowstone: #4, 205(6%)
minecraft.picked_up.mangrove_slab: #5, 265(8%)
minecraft.used.painting: #5, 409(7%)
minecraft.dropped.pufferfish: #4, 19(4%)
minecraft.mined.sculk_catalyst: #4, 59(5%)
minecraft.picked_up.beef: #5, 2211(7%)
minecraft.mined.smithing_table: #5, 38(8%)
minecraft.mined.blue_bed: #4, 31(5%)
minecraft.dropped.purpur_block: #4, 77(4%)
minecraft.used.slime_ball: #4, 599(6%)
minecraft.dropped.ice: #4, 80(5%)
minecraft.picked_up.cobblestone_stairs: #4, 128(3%)
minecraft.picked_up.smithing_table: #5, 42(8%)
minecraft.crafted.mossy_stone_brick_wall: #4, 12(8%)
minecraft.picked_up.light_gray_wool: #5, 458(7%)
minecraft.picked_up.cobbled_deepslate_stairs: #5, 161(8%)
minecraft.crafted.paper: #5, 14652(7%)
minecraft.crafted.cooked_beef: #5, 919(7%)
minecraft.used.dark_oak_slab: #5, 1316(7%)
minecraft.used.lime_concrete: #5, 548(11%)
minecraft.picked_up.arrow: #5, 6647(6%)
minecraft.dropped.pale_oak_leaves: #4, 21(9%)
minecraft.picked_up.anvil: #5, 92(6%)
minecraft.dropped.terracotta: #5, 147(8%)
minecraft.crafted.dark_oak_slab: #5, 1734(7%)
minecraft.used.apple: #4, 34(4%)
minecraft.mined.anvil: #5, 63(7%)
minecraft.dropped.oak_sapling: #5, 325(7%)
minecraft.dropped.stone_pressure_plate: #4, 13(4%)
minecraft.picked_up.lodestone: #4, 28(10%)
minecraft.used.quartz_pillar: #4, 102(5%)
minecraft.dropped.wind_charge: #5, 485(9%)
minecraft.picked_up.rib_armor_trim_smithing_template: #4, 1(17%)
minecraft.mined.green_wall_banner: #4, 3(8%)
minecraft.picked_up.pink_bed: #4, 18(6%)
minecraft.dropped.green_wool: #4, 74(4%)
minecraft.dropped.dark_oak_door: #4, 5(9%)
minecraft.dropped.polished_diorite: #4, 35(7%)
minecraft.custom.eat_cake_slice: #4, 16(5%)
minecraft.used.jungle_pressure_plate: #4, 4(6%)
minecraft.dropped.diamond_leggings: #5, 9(6%)
minecraft.picked_up.bell: #5, 20(8%)
minecraft.dropped.soul_torch: #4, 12(9%)
minecraft.picked_up.nether_brick_fence: #5, 47(8%)
minecraft.crafted.birch_boat: #4, 5(6%)
minecraft.crafted.spruce_boat: #5, 19(7%)
minecraft.crafted.leather_leggings: #5, 119(8%)
minecraft.crafted.cobblestone_stairs: #4, 176(3%)
minecraft.dropped.red_glazed_terracotta: #4, 10(9%)
minecraft.used.snowball: #5, 332(5%)
minecraft.picked_up.raw_gold_block: #4, 34(5%)
minecraft.mined.dark_oak_trapdoor: #5, 144(6%)
minecraft.dropped.green_concrete_powder: #4, 12(6%)
minecraft.crafted.raw_iron_block: #5, 403(8%)
minecraft.dropped.yellow_wool: #4, 107(4%)
minecraft.picked_up.potion: #5, 259(6%)
minecraft.mined.light_gray_wool: #5, 127(8%)
minecraft.dropped.shulker_shell: #4, 132(4%)
minecraft.killed.ender_dragon: #4, 2(9%)
minecraft.mined.lapis_block: #4, 50(4%)
minecraft.mined.granite_slab: #5, 27(12%)
minecraft.mined.stripped_spruce_log: #5, 1173(6%)
minecraft.used.goat_horn: #4, 13(3%)
minecraft.picked_up.nether_brick_slab: #4, 12(5%)
minecraft.picked_up.cooked_cod: #5, 353(6%)
minecraft.dropped.light_blue_concrete: #4, 63(6%)
minecraft.custom.walk_one_cm: #6, 196972639(6%)
minecraft.used.coal_ore: #5, 3109(6%)
minecraft.dropped.horn_coral: #4, 1(10%)
minecraft.mined.polished_blackstone_brick_slab: #4, 21(7%)
minecraft.picked_up.ancient_debris: #5, 118(7%)
minecraft.crafted.polished_deepslate_stairs: #5, 100(8%)
minecraft.picked_up.polished_blackstone_brick_slab: #4, 18(6%)
minecraft.used.end_stone_brick_stairs: #4, 7(6%)
minecraft.custom.damage_resisted: #6, 25890(6%)
minecraft.picked_up.brown_concrete_powder: #4, 128(3%)
minecraft.dropped.crimson_fence: #4, 1(9%)
minecraft.dropped.gray_bundle: #4, 1(9%)
minecraft.mined.beacon: #5, 29(6%)
minecraft.picked_up.angler_pottery_sherd: #4, 3(5%)
minecraft.used.pink_bed: #4, 16(4%)
minecraft.picked_up.raw_copper_block: #5, 146(7%)
minecraft.dropped.coal: #4, 470(2%)
minecraft.picked_up.andesite: #5, 14816(5%)
minecraft.mined.rooted_dirt: #5, 1135(7%)
minecraft.used.cod: #5, 18(8%)
minecraft.mined.oak_button: #5, 16(7%)
minecraft.dropped.cut_sandstone: #4, 22(2%)
minecraft.killed_by.pillager: #4, 1(8%)
minecraft.used.dark_oak_log: #5, 1508(6%)
minecraft.picked_up.brewing_stand: #5, 57(6%)
minecraft.picked_up.stripped_spruce_log: #5, 1168(5%)
minecraft.picked_up.purple_bed: #5, 32(9%)
minecraft.crafted.pink_carpet: #4, 96(2%)
minecraft.picked_up.polished_diorite_stairs: #5, 51(11%)
minecraft.crafted.light_blue_wool: #4, 156(3%)
minecraft.dropped.target: #4, 13(5%)
minecraft.picked_up.oak_fence_gate: #5, 27(7%)
minecraft.picked_up.gold_nugget: #5, 3788(5%)
