stat, rank, value, (percentage) 
minecraft.picked_up.dark_oak_wood: #1, 104(22%)
minecraft.used.waxed_weathered_cut_copper_stairs: #1, 433(32%)
minecraft.killed.cod: #1, 50(23%)
minecraft.mined.acacia_log: #2, 8321(19%)
minecraft.used.cherry_fence: #2, 282(36%)
minecraft.mined.attached_melon_stem: #1, 31(17%)
minecraft.dropped.pink_dye: #2, 73(24%)
minecraft.picked_up.stripped_dark_oak_wood: #2, 540(23%)
minecraft.crafted.redstone_torch: #2, 11682(18%)
minecraft.dropped.bamboo_planks: #2, 1750(21%)
minecraft.killed.donkey: #1, 55(71%)
minecraft.crafted.iron_helmet: #1, 22(14%)
minecraft.picked_up.melon: #1, 5099(14%)
minecraft.used.piston: #1, 2166(14%)
minecraft.killed.zombified_piglin: #2, 427304(21%)
minecraft.crafted.trapped_chest: #1, 38(44%)
minecraft.crafted.waxed_weathered_cut_copper_stairs: #1, 155(44%)
minecraft.used.brown_wool: #2, 806(23%)
minecraft.custom.sneak_time: #2, 9869673(8%)
minecraft.crafted.blast_furnace: #2, 519(18%)
minecraft.picked_up.netherite_axe: #2, 65(22%)
minecraft.used.bamboo_raft: #1, 58(21%)
minecraft.picked_up.cherry_trapdoor: #2, 187(23%)
minecraft.used.cherry_sign: #1, 32(26%)
minecraft.picked_up.redstone_torch: #2, 1689(17%)
minecraft.crafted.dropper: #2, 1708(18%)
minecraft.mined.birch_wood: #1, 71(55%)
minecraft.picked_up.acacia_log: #2, 7990(17%)
minecraft.crafted.diamond_chestplate: #1, 13(14%)
minecraft.picked_up.birch_wood: #1, 69(54%)
minecraft.picked_up.minecart: #1, 490(13%)
minecraft.used.glass: #2, 32952(17%)
minecraft.picked_up.netherite_sword: #2, 69(20%)
minecraft.mined.acacia_wood: #1, 140(17%)
minecraft.picked_up.stripped_oak_log: #2, 1419(18%)
minecraft.used.cherry_slab: #2, 460(35%)
minecraft.mined.stripped_oak_log: #2, 1429(18%)
minecraft.crafted.waxed_weathered_copper: #1, 462(35%)
minecraft.mined.stripped_dark_oak_wood: #2, 538(21%)
minecraft.crafted.light_gray_dye: #2, 4899(17%)
minecraft.used.cobblestone: #1, 11591(12%)
minecraft.mined.infested_stone: #2, 349(23%)
minecraft.dropped.waxed_copper_block: #1, 111(18%)
minecraft.dropped.pumpkin_seeds: #2, 2417(17%)
minecraft.crafted.comparator: #2, 1069(17%)
minecraft.crafted.yellow_wool: #2, 1406(24%)
minecraft.crafted.cherry_boat: #1, 12(33%)
minecraft.used.cherry_trapdoor: #2, 495(21%)
minecraft.crafted.note_block: #2, 941(17%)
minecraft.used.ominous_bottle: #1, 46(19%)
minecraft.mined.jukebox: #1, 53(12%)
minecraft.mined.white_wool: #2, 559(16%)
minecraft.used.yellow_carpet: #2, 887(23%)
minecraft.crafted.rib_armor_trim_smithing_template: #1, 40(49%)
minecraft.dropped.cobblestone_slab: #2, 366(22%)
minecraft.killed.zombie_villager: #2, 42(15%)
minecraft.crafted.composter: #2, 1173(15%)
minecraft.crafted.dune_armor_trim_smithing_template: #1, 26(57%)
minecraft.used.soul_soil: #2, 1513(17%)
minecraft.killed.ghast: #2, 176(17%)
minecraft.used.wooden_pickaxe: #1, 62(11%)
minecraft.used.composter: #2, 1189(15%)
minecraft.mined.dark_oak_log: #1, 9133(11%)
minecraft.dropped.gold_nugget: #2, 2328(15%)
minecraft.crafted.cobblestone_wall: #2, 451(21%)
minecraft.dropped.mangrove_leaves: #2, 1498(25%)
minecraft.used.gray_stained_glass: #2, 2812(23%)
minecraft.picked_up.tuff_bricks: #2, 4739(14%)
minecraft.crafted.resin_brick_slab: #1, 114(67%)
minecraft.picked_up.soul_soil: #2, 4079(15%)
minecraft.dropped.cobblestone_stairs: #1, 53(27%)
minecraft.used.fire_coral_fan: #1, 42(19%)
minecraft.crafted.spire_armor_trim_smithing_template: #1, 32(67%)
minecraft.mined.trapped_chest: #1, 8(44%)
