stat, rank, value, (percentage) 
minecraft.used.rotten_flesh: #15, 13(1%)
minecraft.mined.birch_sapling: #15, 2(1%)
minecraft.mined.cobblestone_wall: #15, 6(1%)
minecraft.picked_up.beetroot_seeds: #15, 158(1%)
minecraft.used.jungle_log: #15, 72(1%)
minecraft.mined.granite_stairs: #15, 1(1%)
minecraft.crafted.jungle_stairs: #15, 20(1%)
minecraft.picked_up.light_gray_concrete_powder: #15, 38(0%)
minecraft.dropped.jungle_planks: #15, 4(1%)
minecraft.used.brick_wall: #15, 6(1%)
minecraft.crafted.bamboo_sign: #15, 30(1%)
minecraft.picked_up.granite_stairs: #15, 1(1%)
minecraft.crafted.cobblestone_wall: #15, 13(1%)
minecraft.mined.emerald_ore: #15, 5(1%)
minecraft.used.tuff_brick_stairs: #15, 57(1%)
minecraft.used.jungle_fence: #15, 21(1%)
minecraft.crafted.tnt: #15, 176(0%)
minecraft.crafted.smooth_stone_slab: #15, 150(0%)
minecraft.picked_up.polished_basalt: #15, 10(1%)
minecraft.crafted.jungle_fence: #15, 21(0%)
minecraft.used.bamboo_fence: #15, 24(0%)
minecraft.dropped.dark_oak_planks: #15, 7(0%)
minecraft.mined.purple_bed: #15, 2(1%)
minecraft.picked_up.smooth_stone: #15, 224(0%)
minecraft.used.magma_block: #15, 105(0%)
minecraft.used.andesite_wall: #15, 33(1%)
minecraft.picked_up.pale_moss_carpet: #15, 41(0%)
minecraft.used.deepslate_tiles: #15, 283(0%)
minecraft.dropped.iron_bars: #15, 12(0%)
minecraft.crafted.birch_button: #15, 2(0%)
minecraft.picked_up.purple_wool: #15, 30(0%)
minecraft.picked_up.birch_fence: #15, 5(0%)
minecraft.used.pink_banner: #15, 1(0%)
minecraft.mined.gray_concrete: #15, 115(0%)
minecraft.picked_up.mud_brick_slab: #15, 5(0%)
minecraft.used.warped_button: #15, 1(0%)
minecraft.crafted.brewing_stand: #15, 4(0%)
minecraft.used.netherite_pickaxe: #15, 18419(0%)
minecraft.dropped.tropical_fish: #15, 1(0%)
minecraft.used.polished_granite: #15, 24(0%)
minecraft.picked_up.birch_slab: #15, 4(0%)
minecraft.mined.mangrove_fence: #15, 3(0%)
minecraft.used.gray_concrete: #15, 115(0%)
minecraft.picked_up.red_banner: #15, 1(0%)
minecraft.used.cooked_cod: #15, 9(0%)
minecraft.crafted.dark_oak_fence_gate: #15, 3(0%)
minecraft.mined.emerald_block: #15, 11(0%)
minecraft.used.purple_bed: #15, 1(0%)
minecraft.picked_up.ice: #15, 245(0%)
minecraft.used.polished_andesite_slab: #15, 11(0%)
minecraft.crafted.jungle_fence_gate: #15, 2(0%)
minecraft.dropped.mossy_stone_bricks: #15, 3(0%)
minecraft.dropped.golden_sword: #15, 2(0%)
minecraft.dropped.spruce_stairs: #15, 1(0%)
minecraft.picked_up.charcoal: #15, 6(0%)
minecraft.used.pink_wool: #15, 2(0%)
minecraft.used.tuff_wall: #15, 4(0%)
minecraft.picked_up.green_carpet: #15, 7(0%)
minecraft.dropped.beetroot: #15, 17(0%)
minecraft.mined.gray_stained_glass: #15, 1(0%)
minecraft.used.seagrass: #15, 1(0%)
minecraft.custom.interact_with_furnace: #16, 1895(3%)
minecraft.used.honey_bottle: #15, 3(0%)
minecraft.crafted.end_rod: #15, 4(0%)
minecraft.used.activator_rail: #15, 3(0%)
minecraft.crafted.gold_nugget: #15, 39(0%)
minecraft.mined.sculk_vein: #15, 7(0%)
minecraft.dropped.mangrove_leaves: #15, 1(0%)
minecraft.used.snow_block: #15, 22(0%)
minecraft.custom.pig_one_cm: #15, 66747(0%)
minecraft.picked_up.elytra: #16, 32(2%)
minecraft.picked_up.stone: #16, 98539(2%)
minecraft.picked_up.carved_pumpkin: #16, 187(2%)
minecraft.custom.interact_with_grindstone: #16, 48(3%)
minecraft.picked_up.grindstone: #16, 22(3%)
minecraft.used.ladder: #16, 291(2%)
minecraft.mined.red_shulker_box: #16, 317(2%)
minecraft.picked_up.red_shulker_box: #16, 316(2%)
minecraft.used.red_shulker_box: #16, 319(2%)
minecraft.picked_up.torch: #16, 2594(2%)
minecraft.picked_up.netherrack: #16, 6535(2%)
minecraft.used.furnace: #16, 114(2%)
minecraft.picked_up.smooth_basalt: #16, 263(2%)
minecraft.picked_up.diamond_axe: #16, 24(2%)
minecraft.picked_up.barrel: #16, 116(2%)
minecraft.used.hopper_minecart: #16, 20(2%)
minecraft.mined.cobblestone: #16, 1022(2%)
minecraft.picked_up.diamond_shovel: #16, 20(2%)
minecraft.picked_up.scaffolding: #16, 3605(2%)
minecraft.picked_up.redstone_block: #16, 234(2%)
minecraft.used.shield: #16, 106(2%)
minecraft.picked_up.calcite: #16, 685(2%)
minecraft.picked_up.powered_rail: #16, 217(2%)
minecraft.crafted.netherite_pickaxe: #16, 1(3%)
minecraft.crafted.powered_rail: #16, 336(2%)
minecraft.used.elytra: #16, 27(1%)
minecraft.picked_up.baked_potato: #16, 144(1%)
minecraft.dropped.baked_potato: #16, 53(1%)
minecraft.dropped.iron_shovel: #16, 3(1%)
minecraft.picked_up.copper_ore: #16, 776(1%)
minecraft.picked_up.bamboo_sign: #16, 22(1%)
minecraft.custom.happy_ghast_one_cm: #16, 264411(1%)
minecraft.used.redstone_lamp: #16, 31(1%)
minecraft.dropped.oak_boat: #16, 3(1%)
minecraft.picked_up.bread: #16, 85(1%)
minecraft.picked_up.vine: #16, 79(1%)
minecraft.crafted.ender_chest: #16, 12(1%)
minecraft.mined.iron_trapdoor: #16, 14(1%)
minecraft.custom.animals_bred: #16, 191(1%)
minecraft.crafted.stone_slab: #16, 322(1%)
minecraft.picked_up.cooked_cod: #16, 52(1%)
minecraft.mined.fern: #16, 51(1%)
minecraft.crafted.bamboo_block: #16, 352(1%)
minecraft.picked_up.hay_block: #16, 70(1%)
minecraft.used.mace: #16, 132(1%)
minecraft.mined.cave_vines_plant: #16, 3(1%)
minecraft.used.dark_oak_stairs: #16, 54(1%)
minecraft.crafted.sandstone: #16, 52(1%)
minecraft.picked_up.cocoa_beans: #16, 271(1%)
minecraft.picked_up.pink_banner: #16, 1(1%)
minecraft.picked_up.nether_wart: #16, 286(1%)
minecraft.used.black_concrete: #16, 188(1%)
minecraft.mined.black_concrete: #16, 190(1%)
minecraft.used.birch_button: #16, 2(1%)
minecraft.crafted.bread: #16, 180(1%)
minecraft.mined.polished_basalt: #16, 9(1%)
minecraft.mined.powder_snow: #16, 6(1%)
minecraft.used.air: #16, 238(0%)
minecraft.used.orange_shulker_box: #16, 27(0%)
minecraft.mined.orange_shulker_box: #16, 24(0%)
minecraft.picked_up.orange_shulker_box: #16, 22(0%)
minecraft.picked_up.light_gray_concrete: #16, 49(0%)
minecraft.used.detector_rail: #16, 3(1%)
minecraft.mined.budding_amethyst: #16, 2(0%)
minecraft.used.mangrove_button: #16, 1(1%)
minecraft.crafted.lime_dye: #16, 66(0%)
minecraft.crafted.bamboo_fence: #16, 21(0%)
minecraft.crafted.birch_fence: #16, 12(0%)
minecraft.picked_up.amethyst_cluster: #16, 21(0%)
minecraft.crafted.oak_boat: #16, 7(0%)
minecraft.dropped.shulker_box: #16, 9(0%)
minecraft.picked_up.gray_concrete: #16, 115(0%)
minecraft.dropped.gunpowder: #16, 96(0%)
minecraft.dropped.glass_bottle: #16, 71(0%)
minecraft.mined.jungle_stairs: #16, 3(0%)
minecraft.picked_up.music_disc_otherside: #16, 1(0%)
minecraft.mined.acacia_leaves: #16, 96(0%)
minecraft.used.pink_tulip: #16, 1(0%)
minecraft.crafted.target: #16, 12(0%)
minecraft.crafted.wheat: #16, 306(0%)
minecraft.picked_up.dark_oak_sign: #16, 2(0%)
minecraft.crafted.warped_button: #16, 1(0%)
minecraft.dropped.potato: #16, 55(0%)
minecraft.picked_up.lime_dye: #16, 4(0%)
minecraft.picked_up.cut_sandstone: #16, 8(0%)
minecraft.dropped.smooth_basalt: #16, 2(0%)
minecraft.used.brick_stairs: #16, 2(0%)
minecraft.picked_up.crying_obsidian: #16, 11(0%)
minecraft.dropped.blackstone: #16, 20(0%)
minecraft.mined.light_blue_stained_glass: #16, 6(0%)
minecraft.dropped.sandstone: #16, 13(0%)
minecraft.used.smooth_stone: #16, 140(0%)
minecraft.used.granite_stairs: #16, 1(0%)
minecraft.used.mud_brick_stairs: #16, 2(0%)
minecraft.picked_up.sculk_catalyst: #16, 1(0%)
minecraft.used.mangrove_propagule: #16, 9(0%)
minecraft.mined.polished_andesite_slab: #16, 1(0%)
minecraft.dropped.sweet_berries: #16, 3(0%)
minecraft.used.birch_slab: #16, 6(0%)
minecraft.mined.sculk_catalyst: #16, 1(0%)
minecraft.picked_up.gray_stained_glass: #16, 1(0%)
minecraft.used.poppy: #16, 4(0%)
minecraft.crafted.ladder: #17, 252(2%)
minecraft.crafted.torch: #17, 2524(2%)
minecraft.mined.lapis_ore: #17, 99(2%)
minecraft.picked_up.spruce_sign: #17, 40(2%)
minecraft.mined.netherrack: #17, 7668(2%)
minecraft.picked_up.oak_log: #17, 1945(2%)
minecraft.picked_up.rail: #17, 763(2%)
minecraft.picked_up.wind_charge: #17, 265(1%)
minecraft.crafted.bow: #17, 33(1%)
minecraft.crafted.iron_bars: #17, 496(2%)
minecraft.custom.inspect_dispenser: #17, 390(1%)
minecraft.picked_up.birch_planks: #17, 95(1%)
minecraft.picked_up.mace: #17, 4(1%)
minecraft.mined.nether_quartz_ore: #17, 641(1%)
minecraft.dropped.bundle: #17, 2(1%)
minecraft.used.white_shulker_box: #17, 102(1%)
minecraft.mined.spruce_sign: #17, 2(1%)
minecraft.custom.time_since_death: #17, 640199(1%)
minecraft.mined.deepslate_iron_ore: #17, 248(1%)
minecraft.dropped.rotten_flesh: #17, 1269(1%)
minecraft.used.hopper: #17, 474(1%)
minecraft.used.writable_book: #17, 76(1%)
minecraft.used.dark_oak_log: #17, 303(1%)
minecraft.used.oak_door: #17, 3(1%)
minecraft.crafted.minecart: #17, 39(1%)
minecraft.custom.interact_with_brewingstand: #17, 148(1%)
minecraft.picked_up.ender_chest: #17, 204(1%)
minecraft.mined.oak_slab: #17, 22(1%)
minecraft.picked_up.dispenser: #17, 39(1%)
minecraft.crafted.hopper: #17, 272(1%)
minecraft.dropped.crafting_table: #17, 4(1%)
minecraft.crafted.cooked_beef: #17, 115(1%)
minecraft.picked_up.jungle_planks: #17, 52(1%)
minecraft.used.lava_bucket: #17, 38(1%)
minecraft.used.stone_button: #17, 61(1%)
minecraft.used.nether_wart: #17, 100(1%)
minecraft.mined.dark_oak_stairs: #17, 12(1%)
minecraft.crafted.chiseled_tuff_bricks: #17, 7(1%)
minecraft.mined.oak_button: #17, 2(1%)
minecraft.used.brewing_stand: #17, 7(1%)
minecraft.picked_up.dark_oak_sapling: #17, 185(1%)
minecraft.dropped.phantom_membrane: #17, 2(1%)
minecraft.used.moss_carpet: #17, 215(1%)
minecraft.mined.brewing_stand: #17, 5(1%)
minecraft.mined.rose_bush: #17, 8(1%)
minecraft.picked_up.brown_wool: #17, 30(1%)
minecraft.crafted.hay_block: #17, 122(1%)
minecraft.crafted.lectern: #17, 12(1%)
minecraft.used.mud_bricks: #17, 100(1%)
minecraft.picked_up.cookie: #17, 23(1%)
minecraft.used.black_shulker_box: #17, 25(1%)
minecraft.picked_up.polished_tuff_stairs: #17, 12(1%)
minecraft.crafted.polished_diorite: #17, 32(0%)
minecraft.used.sweet_berries: #17, 68(0%)
minecraft.mined.light_gray_concrete: #17, 49(0%)
minecraft.picked_up.black_shulker_box: #17, 21(0%)
minecraft.mined.acacia_fence: #17, 2(1%)
minecraft.mined.black_shulker_box: #17, 20(0%)
minecraft.used.white_terracotta: #17, 44(0%)
minecraft.picked_up.packed_ice: #17, 667(0%)
minecraft.mined.snow_block: #17, 97(0%)
minecraft.picked_up.snowball: #17, 448(0%)
minecraft.crafted.red_dye: #17, 200(0%)
minecraft.picked_up.bamboo_fence: #17, 7(0%)
minecraft.crafted.brick: #17, 368(0%)
minecraft.picked_up.detector_rail: #17, 2(0%)
minecraft.mined.mushroom_stem: #17, 32(0%)
minecraft.crafted.gray_stained_glass: #17, 80(0%)
minecraft.custom.use_cauldron: #17, 21(0%)
minecraft.mined.birch_wall_sign: #17, 1(0%)
minecraft.crafted.copper_bulb: #17, 4(0%)
minecraft.used.jungle_trapdoor: #17, 15(0%)
minecraft.picked_up.jungle_stairs: #17, 3(0%)
minecraft.picked_up.seagrass: #17, 14(0%)
minecraft.used.mangrove_slab: #17, 27(0%)
minecraft.mined.magenta_stained_glass: #17, 1(0%)
minecraft.used.bamboo_block: #17, 20(0%)
minecraft.used.jungle_slab: #17, 14(0%)
minecraft.crafted.mud_brick_slab: #17, 8(0%)
minecraft.mined.smooth_sandstone: #17, 6(0%)
minecraft.mined.deepslate_tile_stairs: #17, 4(0%)
minecraft.dropped.stone_sword: #17, 4(0%)
minecraft.picked_up.black_wool: #17, 37(0%)
minecraft.crafted.red_wool: #17, 8(0%)
minecraft.used.polished_tuff_stairs: #17, 9(0%)
minecraft.picked_up.mangrove_fence: #17, 2(0%)
minecraft.dropped.cut_sandstone: #17, 1(0%)
minecraft.picked_up.polished_andesite_slab: #17, 2(0%)
minecraft.picked_up.sugar: #17, 7(0%)
minecraft.picked_up.light_blue_stained_glass: #17, 6(0%)
minecraft.picked_up.smooth_sandstone: #17, 6(0%)
minecraft.used.green_carpet: #17, 7(0%)
minecraft.used.light_blue_stained_glass: #17, 13(0%)
minecraft.picked_up.oak_wood: #17, 1(0%)
minecraft.used.crafting_table: #18, 197(2%)
minecraft.used.powered_rail: #18, 501(2%)
minecraft.picked_up.diamond_helmet: #18, 9(2%)
minecraft.mined.barrel: #18, 72(2%)
minecraft.used.cobblestone: #18, 1711(2%)
minecraft.used.torch: #18, 3133(2%)
minecraft.mined.vine: #18, 254(2%)
minecraft.picked_up.polished_tuff: #18, 205(2%)
minecraft.dropped.leather_leggings: #18, 4(1%)
minecraft.mined.beacon: #18, 7(1%)
minecraft.mined.rail: #18, 463(1%)
minecraft.used.tuff_bricks: #18, 834(1%)
minecraft.mined.stone: #18, 87763(1%)
minecraft.used.beacon: #18, 9(1%)
minecraft.mined.white_shulker_box: #18, 81(1%)
minecraft.mined.torch: #18, 495(1%)
minecraft.mined.composter: #18, 26(1%)
minecraft.crafted.writable_book: #18, 15(1%)
minecraft.mined.dirt_path: #18, 229(1%)
minecraft.mined.ender_chest: #18, 177(1%)
minecraft.picked_up.oak_slab: #18, 44(1%)
minecraft.picked_up.composter: #18, 28(1%)
minecraft.mined.anvil: #18, 9(1%)
minecraft.mined.deepslate_lapis_ore: #18, 85(1%)
minecraft.custom.damage_dealt: #18, 378767(1%)
minecraft.custom.target_hit: #18, 54(1%)
minecraft.used.andesite: #18, 815(1%)
minecraft.picked_up.mossy_cobblestone: #18, 87(1%)
minecraft.mined.crafter: #18, 14(1%)
minecraft.crafted.stone_button: #18, 76(1%)
minecraft.picked_up.basalt: #18, 234(1%)
minecraft.picked_up.crafter: #18, 14(1%)
minecraft.picked_up.oak_button: #18, 5(1%)
minecraft.used.oak_button: #18, 5(1%)
minecraft.used.white_dye: #18, 8(1%)
minecraft.mined.ancient_debris: #18, 10(1%)
minecraft.used.diamond_sword: #18, 4828(0%)
minecraft.used.brown_dye: #18, 2(1%)
minecraft.picked_up.ancient_debris: #18, 10(1%)
minecraft.picked_up.brewing_stand: #18, 5(1%)
minecraft.mined.stone_bricks: #18, 199(0%)
minecraft.picked_up.stone_sword: #18, 6(0%)
minecraft.dropped.iron_block: #18, 41(0%)
minecraft.picked_up.sweet_berries: #18, 113(0%)
minecraft.mined.mangrove_roots: #18, 332(0%)
minecraft.crafted.coal_block: #18, 102(0%)
minecraft.crafted.ender_eye: #18, 13(0%)
minecraft.picked_up.andesite_slab: #18, 9(0%)
minecraft.used.rose_bush: #18, 5(0%)
minecraft.dropped.gold_nugget: #18, 58(0%)
minecraft.crafted.tuff_slab: #18, 16(0%)
minecraft.crafted.mangrove_button: #18, 1(0%)
minecraft.dropped.minecart: #18, 3(0%)
minecraft.used.oxeye_daisy: #18, 1(0%)
minecraft.mined.detector_rail: #18, 1(0%)
minecraft.crafted.polished_tuff: #18, 132(0%)
minecraft.used.cooked_salmon: #18, 14(0%)
minecraft.used.melon_slice: #18, 14(0%)
minecraft.picked_up.mud_bricks: #18, 23(0%)
minecraft.used.polished_andesite_stairs: #18, 9(0%)
minecraft.mined.jungle_slab: #18, 4(0%)
minecraft.mined.beetroots: #18, 13(0%)
minecraft.killed_by.drowned: #18, 1(0%)
minecraft.dropped.oak_button: #18, 1(0%)
minecraft.used.light_gray_concrete: #18, 32(0%)
minecraft.used.white_wool: #18, 49(0%)
minecraft.mined.packed_ice: #18, 667(0%)
minecraft.mined.jungle_trapdoor: #18, 3(0%)
minecraft.used.bone_block: #18, 52(0%)
minecraft.picked_up.jungle_sapling: #18, 27(0%)
minecraft.dropped.crossbow: #18, 4(0%)
minecraft.mined.cut_sandstone: #18, 8(0%)
minecraft.crafted.andesite_slab: #18, 16(0%)
minecraft.mined.mangrove_slab: #18, 4(0%)
minecraft.used.acacia_log: #18, 41(0%)
minecraft.dropped.obsidian: #18, 4(0%)
minecraft.crafted.detector_rail: #18, 6(0%)
minecraft.dropped.kelp: #18, 40(0%)
minecraft.used.jungle_stairs: #18, 8(0%)
minecraft.picked_up.jungle_trapdoor: #18, 3(0%)
minecraft.crafted.light_gray_terracotta: #18, 16(0%)
minecraft.used.light_gray_terracotta: #18, 15(0%)
minecraft.used.bricks: #18, 32(0%)
minecraft.crafted.jungle_trapdoor: #18, 12(0%)
minecraft.crafted.birch_slab: #18, 24(0%)
minecraft.picked_up.golden_sword: #18, 3(0%)
minecraft.mined.light_gray_shulker_box: #18, 7(0%)
minecraft.used.light_gray_shulker_box: #18, 8(0%)
minecraft.used.gray_concrete_powder: #18, 112(0%)
minecraft.picked_up.deepslate_tile_stairs: #18, 4(0%)
minecraft.used.emerald_block: #18, 11(0%)
minecraft.killed.stray: #18, 5(0%)
minecraft.picked_up.green_wool: #18, 36(0%)
minecraft.picked_up.mangrove_slab: #18, 4(0%)
minecraft.mined.mud_brick_slab: #18, 1(0%)
minecraft.used.copper_bulb: #18, 1(0%)
minecraft.dropped.bread: #18, 15(0%)
minecraft.killed.husk: #18, 2(0%)
minecraft.mined.activator_rail: #18, 1(0%)
minecraft.crafted.polished_blackstone: #18, 8(0%)
minecraft.used.birch_sapling: #18, 16(0%)
minecraft.crafted.tuff_bricks: #18, 12(0%)
minecraft.used.yellow_terracotta: #18, 6(0%)
minecraft.picked_up.sculk_sensor: #18, 3(0%)
minecraft.picked_up.lime_wool: #18, 4(0%)
minecraft.crafted.yellow_terracotta: #18, 8(0%)
minecraft.picked_up.fire_charge: #18, 1(0%)
minecraft.used.deepslate_tile_stairs: #18, 3(0%)
minecraft.crafted.dark_oak_button: #18, 1(0%)
minecraft.dropped.mud: #18, 1(0%)
minecraft.used.sponge: #18, 3(0%)
minecraft.dropped.sugar: #18, 2(0%)
minecraft.picked_up.sponge: #18, 1(0%)
minecraft.used.acacia_sapling: #18, 1(0%)
minecraft.picked_up.sculk: #18, 5(0%)
minecraft.mined.chest: #19, 323(2%)
minecraft.picked_up.stick: #19, 2335(2%)
minecraft.picked_up.bow: #19, 85(2%)
minecraft.picked_up.granite: #19, 4057(2%)
minecraft.dropped.firework_rocket: #19, 518(1%)
minecraft.custom.interact_with_anvil: #19, 207(2%)
minecraft.custom.boat_one_cm: #19, 1805252(2%)
minecraft.crafted.rail: #19, 592(2%)
minecraft.used.rail: #19, 954(2%)
minecraft.custom.inspect_hopper: #19, 1184(2%)
minecraft.picked_up.firework_rocket: #19, 1674(1%)
minecraft.mined.birch_log: #19, 746(1%)
minecraft.picked_up.chainmail_boots: #19, 3(2%)
minecraft.picked_up.beacon: #19, 7(1%)
minecraft.picked_up.golden_helmet: #19, 5(1%)
minecraft.picked_up.salmon: #19, 98(1%)
minecraft.broken.iron_axe: #19, 1(2%)
minecraft.mined.coal_ore: #19, 2179(1%)
minecraft.picked_up.rotten_flesh: #19, 1570(1%)
minecraft.mined.deepslate_redstone_ore: #19, 607(1%)
minecraft.custom.deaths: #19, 163(1%)
minecraft.used.ender_chest: #19, 182(1%)
minecraft.crafted.copper_ingot: #19, 1649(1%)
minecraft.crafted.birch_planks: #19, 948(1%)
minecraft.used.deepslate: #19, 743(1%)
minecraft.crafted.book: #19, 77(1%)
minecraft.picked_up.raw_iron: #19, 612(1%)
minecraft.killed_by.zombie: #19, 3(1%)
minecraft.used.glass_bottle: #19, 399(1%)
minecraft.picked_up.sunflower: #19, 131(1%)
minecraft.picked_up.brown_mushroom: #19, 80(1%)
minecraft.picked_up.stone_bricks: #19, 305(1%)
minecraft.used.iron_door: #19, 6(1%)
minecraft.picked_up.flower_pot: #19, 7(1%)
minecraft.mined.peony: #19, 4(1%)
minecraft.picked_up.acacia_planks: #19, 11(1%)
minecraft.picked_up.black_dye: #19, 10(1%)
minecraft.mined.green_wool: #19, 16(1%)
minecraft.picked_up.iron_door: #19, 4(1%)
minecraft.picked_up.iron_trapdoor: #19, 12(1%)
minecraft.crafted.netherite_ingot: #19, 2(1%)
minecraft.picked_up.magma_cream: #19, 19(1%)
minecraft.mined.soul_fire: #19, 9(0%)
minecraft.killed.piglin: #19, 5(0%)
minecraft.crafted.jungle_planks: #19, 380(0%)
minecraft.crafted.mud_bricks: #19, 124(0%)
minecraft.crafted.white_concrete_powder: #19, 512(0%)
minecraft.dropped.iron_nugget: #19, 69(0%)
minecraft.picked_up.mangrove_roots: #19, 327(0%)
minecraft.used.iron_trapdoor: #19, 35(0%)
minecraft.dropped.ender_chest: #19, 3(0%)
minecraft.picked_up.bricks: #19, 23(0%)
minecraft.killed.zombie: #19, 475(0%)
minecraft.killed.magma_cube: #19, 22(0%)
minecraft.crafted.yellow_dye: #19, 113(0%)
minecraft.picked_up.torchflower: #19, 6(0%)
minecraft.picked_up.glass_bottle: #19, 101(0%)
minecraft.crafted.polished_andesite: #19, 60(0%)
minecraft.used.deepslate_diamond_ore: #19, 60(0%)
minecraft.mined.warped_stem: #19, 50(0%)
minecraft.crafted.firework_rocket: #19, 1059(0%)
minecraft.dropped.stripped_spruce_log: #19, 1(0%)
minecraft.crafted.green_dye: #19, 32(0%)
minecraft.crafted.iron_trapdoor: #19, 25(0%)
minecraft.picked_up.pink_petals: #19, 102(0%)
minecraft.picked_up.deepslate_tiles: #19, 34(0%)
minecraft.mined.cobblestone_slab: #19, 8(0%)
minecraft.crafted.mangrove_slab: #19, 24(0%)
minecraft.used.birch_fence: #19, 6(0%)
minecraft.used.beetroot_seeds: #19, 11(0%)
minecraft.used.white_concrete: #19, 172(0%)
minecraft.mined.sandstone: #19, 235(0%)
minecraft.mined.polished_granite: #19, 3(0%)
minecraft.used.cobblestone_slab: #19, 39(0%)
minecraft.picked_up.light_gray_shulker_box: #19, 7(0%)
minecraft.dropped.azalea: #19, 12(0%)
minecraft.crafted.light_gray_concrete_powder: #19, 56(0%)
minecraft.dropped.cookie: #19, 7(0%)
minecraft.picked_up.polished_granite: #19, 3(0%)
minecraft.crafted.gray_concrete_powder: #19, 112(0%)
minecraft.crafted.jungle_slab: #19, 12(0%)
minecraft.picked_up.acacia_fence: #19, 1(0%)
minecraft.mined.polished_tuff_stairs: #19, 2(0%)
minecraft.crafted.moss_carpet: #19, 27(0%)
minecraft.picked_up.acacia_sapling: #19, 18(0%)
minecraft.used.mangrove_roots: #19, 29(0%)
minecraft.used.mud_brick_slab: #19, 5(0%)
minecraft.picked_up.packed_mud: #19, 45(0%)
minecraft.picked_up.beetroot: #19, 21(0%)
minecraft.used.blackstone: #19, 19(0%)
minecraft.used.cobweb: #19, 4(0%)
minecraft.crafted.activator_rail: #19, 6(0%)
minecraft.dropped.chain: #19, 1(0%)
minecraft.mined.white_terracotta: #19, 12(0%)
minecraft.picked_up.white_terracotta: #19, 12(0%)
minecraft.dropped.jungle_log: #19, 1(0%)
minecraft.dropped.armadillo_scute: #19, 4(0%)
minecraft.dropped.light_gray_wool: #19, 1(0%)
minecraft.dropped.birch_leaves: #19, 1(0%)
minecraft.picked_up.breeze_rod: #19, 3(0%)
minecraft.dropped.cactus: #19, 3(0%)
minecraft.mined.yellow_wool: #19, 2(0%)
minecraft.used.yellow_wool: #19, 2(0%)
minecraft.used.trident: #19, 2(0%)
minecraft.mined.sculk: #19, 7(0%)
minecraft.crafted.enchanting_table: #20, 1(3%)
minecraft.used.stone: #20, 15649(2%)
minecraft.mined.wall_torch: #20, 182(2%)
minecraft.picked_up.birch_log: #20, 828(1%)
minecraft.mined.iron_bars: #20, 60(1%)
minecraft.custom.interact_with_stonecutter: #20, 150(1%)
minecraft.crafted.iron_axe: #20, 2(1%)
minecraft.custom.interact_with_lectern: #20, 129(1%)
minecraft.custom.play_noteblock: #20, 61(1%)
minecraft.picked_up.white_shulker_box: #20, 84(1%)
minecraft.crafted.oak_sign: #20, 27(1%)
minecraft.picked_up.iron_nugget: #20, 115(1%)
minecraft.used.golden_carrot: #20, 612(1%)
minecraft.picked_up.bone: #20, 1093(1%)
minecraft.picked_up.saddle: #20, 8(1%)
minecraft.dropped.carved_pumpkin: #20, 11(1%)
minecraft.custom.fill_cauldron: #20, 9(1%)
minecraft.picked_up.cauldron: #20, 4(1%)
minecraft.used.wheat_seeds: #20, 1997(1%)
minecraft.mined.moss_carpet: #20, 78(1%)
minecraft.custom.interact_with_beacon: #20, 13(1%)
minecraft.picked_up.minecart: #20, 34(1%)
minecraft.mined.spruce_stairs: #20, 41(1%)
minecraft.mined.moss_block: #20, 572(1%)
minecraft.picked_up.porkchop: #20, 39(1%)
minecraft.picked_up.quartz: #20, 585(1%)
minecraft.picked_up.diamond_chestplate: #20, 3(1%)
minecraft.used.oak_trapdoor: #20, 49(1%)
minecraft.crafted.redstone_block: #20, 240(1%)
minecraft.mined.sugar_cane: #20, 775(1%)
minecraft.mined.cauldron: #20, 2(1%)
minecraft.killed.pig: #20, 8(1%)
minecraft.broken.fishing_rod: #20, 1(1%)
minecraft.used.potion: #20, 250(0%)
minecraft.used.wind_charge: #20, 50(1%)
minecraft.used.spruce_stairs: #20, 104(1%)
minecraft.used.chiseled_tuff_bricks: #20, 106(1%)
minecraft.used.dispenser: #20, 30(1%)
minecraft.used.crafter: #20, 16(1%)
minecraft.crafted.oak_trapdoor: #20, 28(0%)
minecraft.crafted.polished_tuff_slab: #20, 16(0%)
minecraft.dropped.potion: #20, 16(0%)
minecraft.picked_up.golden_apple: #20, 4(0%)
minecraft.crafted.copper_block: #20, 152(0%)
minecraft.crafted.gold_ingot: #20, 737(0%)
minecraft.picked_up.sugar_cane: #20, 1708(0%)
minecraft.crafted.white_dye: #20, 335(0%)
minecraft.used.copper_ore: #20, 131(0%)
minecraft.picked_up.red_mushroom: #20, 6(0%)
minecraft.used.dark_oak_sign: #20, 4(0%)
minecraft.used.tuff: #20, 219(0%)
minecraft.killed.shulker: #20, 14(0%)
minecraft.mined.melon_stem: #20, 1(0%)
minecraft.mined.mud_bricks: #20, 12(0%)
minecraft.crafted.netherite_upgrade_smithing_template: #20, 2(0%)
minecraft.mined.birch_planks: #20, 10(0%)
minecraft.crafted.coal: #20, 162(0%)
minecraft.picked_up.soul_soil: #20, 62(0%)
minecraft.crafted.bricks: #20, 67(0%)
minecraft.used.white_concrete_powder: #20, 232(0%)
minecraft.mined.pale_moss_carpet: #20, 5(0%)
minecraft.crafted.light_gray_shulker_box: #20, 1(0%)
minecraft.used.red_banner: #20, 1(0%)
minecraft.used.andesite_slab: #20, 19(0%)
minecraft.mined.cocoa: #20, 4(0%)
minecraft.picked_up.potato: #20, 73(0%)
minecraft.crafted.crafter: #20, 5(0%)
