stat, rank, value, (percentage) 
minecraft.crafted.blaze_powder: #6, 1020(6%)
minecraft.dropped.polished_tuff_wall: #5, 9(3%)
minecraft.picked_up.purpur_pillar: #5, 68(2%)
minecraft.picked_up.oak_planks: #6, 757(5%)
minecraft.dropped.brick_wall: #5, 1(6%)
minecraft.used.nether_brick_slab: #5, 24(3%)
minecraft.picked_up.oak_pressure_plate: #6, 6(7%)
minecraft.used.light_weighted_pressure_plate: #5, 5(4%)
minecraft.crafted.blast_furnace: #6, 141(5%)
minecraft.mined.nether_brick_slab: #5, 4(2%)
minecraft.crafted.arrow: #5, 40(2%)
minecraft.crafted.lapis_lazuli: #6, 1011(5%)
minecraft.dropped.charcoal: #5, 4(2%)
minecraft.dropped.lantern: #6, 29(6%)
minecraft.dropped.tuff_brick_stairs: #5, 9(2%)
minecraft.picked_up.apple: #6, 249(4%)
minecraft.crafted.red_nether_brick_wall: #5, 5(1%)
minecraft.picked_up.dark_oak_stairs: #6, 92(5%)
minecraft.picked_up.fermented_spider_eye: #5, 1(1%)
minecraft.picked_up.nether_gold_ore: #6, 61(5%)
minecraft.dropped.basalt: #6, 73(5%)
minecraft.picked_up.cut_sandstone_slab: #5, 3(0%)
minecraft.used.blast_furnace: #6, 116(4%)
minecraft.picked_up.blast_furnace: #6, 24(4%)
minecraft.picked_up.golden_boots: #6, 25(4%)
minecraft.crafted.pink_shulker_box: #6, 6(5%)
minecraft.crafted.glistering_melon_slice: #6, 78(7%)
minecraft.picked_up.gold_ingot: #6, 1012(3%)
minecraft.dropped.sunflower: #6, 76(3%)
minecraft.used.melon_seeds: #7, 115(8%)
minecraft.used.stone_pressure_plate: #6, 118(4%)
minecraft.picked_up.target: #6, 51(4%)
minecraft.picked_up.tnt: #6, 405(4%)
minecraft.used.yellow_carpet: #6, 175(5%)
minecraft.killed_by.spider: #6, 1(12%)
minecraft.mined.pointed_dripstone: #7, 475(7%)
minecraft.picked_up.repeater: #7, 648(7%)
minecraft.custom.talked_to_villager: #7, 3731(6%)
minecraft.mined.bamboo_stairs: #6, 18(3%)
minecraft.dropped.polished_diorite: #6, 32(6%)
minecraft.mined.sticky_piston: #7, 194(6%)
minecraft.dropped.green_dye: #6, 88(2%)
minecraft.dropped.red_mushroom: #6, 6(3%)
minecraft.crafted.dripstone_block: #6, 98(5%)
minecraft.dropped.tuff_slab: #6, 16(5%)
minecraft.dropped.oak_planks: #7, 173(6%)
minecraft.mined.dark_oak_slab: #7, 190(6%)
minecraft.dropped.red_dye: #7, 66(7%)
minecraft.dropped.shears: #6, 38(2%)
minecraft.mined.oak_planks: #7, 456(6%)
minecraft.mined.dark_oak_pressure_plate: #6, 3(5%)
minecraft.picked_up.nether_brick_slab: #6, 10(4%)
minecraft.mined.black_stained_glass: #6, 102(2%)
minecraft.picked_up.leather_chestplate: #7, 28(4%)
minecraft.crafted.jungle_boat: #6, 5(2%)
minecraft.dropped.enchanted_book: #7, 42(6%)
minecraft.used.bookshelf: #7, 199(6%)
minecraft.dropped.purpur_pillar: #6, 18(2%)
minecraft.crafted.fermented_spider_eye: #6, 69(2%)
minecraft.picked_up.clay_ball: #7, 4082(5%)
minecraft.picked_up.book: #7, 596(6%)
minecraft.used.glow_ink_sac: #7, 251(5%)
minecraft.crafted.slime_ball: #6, 959(1%)
minecraft.mined.nether_brick_stairs: #6, 2(4%)
minecraft.used.sugar: #6, 2(3%)
minecraft.mined.black_carpet: #6, 75(1%)
minecraft.used.piston: #7, 738(5%)
minecraft.picked_up.string: #7, 3740(4%)
minecraft.dropped.red_carpet: #6, 4(2%)
minecraft.crafted.cut_sandstone_slab: #6, 12(2%)
minecraft.crafted.melon: #6, 452(1%)
minecraft.dropped.end_stone: #6, 15(1%)
minecraft.mined.light_blue_stained_glass_pane: #6, 5(1%)
minecraft.broken.wooden_shovel: #6, 1(2%)
minecraft.mined.dark_oak_button: #6, 2(1%)
minecraft.dropped.brick_stairs: #6, 1(2%)
minecraft.used.cut_sandstone_slab: #6, 15(1%)
minecraft.used.iron_pickaxe: #7, 2281(4%)
minecraft.dropped.oxidized_copper: #6, 3(1%)
minecraft.picked_up.tuff_brick_wall: #7, 81(5%)
minecraft.crafted.bookshelf: #7, 262(4%)
minecraft.dropped.black_carpet: #6, 2(1%)
minecraft.crafted.stone_sword: #7, 17(4%)
minecraft.picked_up.chicken: #7, 359(4%)
minecraft.mined.mangrove_planks: #7, 122(5%)
minecraft.dropped.snowball: #7, 178(4%)
minecraft.mined.bookshelf: #7, 175(4%)
minecraft.used.pumpkin: #7, 249(4%)
minecraft.crafted.bamboo_slab: #7, 2784(5%)
minecraft.picked_up.slime_ball: #7, 1331(4%)
minecraft.dropped.dispenser: #7, 25(6%)
minecraft.picked_up.redstone: #7, 9690(3%)
minecraft.dropped.melon_slice: #7, 899(3%)
minecraft.mined.bamboo_trapdoor: #7, 79(4%)
minecraft.crafted.slime_block: #7, 246(4%)
minecraft.used.damaged_anvil: #7, 7(4%)
minecraft.picked_up.blaze_powder: #7, 16(4%)
minecraft.crafted.polished_andesite_slab: #7, 72(5%)
minecraft.dropped.barrel: #7, 19(5%)
minecraft.dropped.campfire: #7, 5(6%)
minecraft.picked_up.lava_bucket: #7, 22(3%)
minecraft.crafted.chiseled_tuff: #7, 21(4%)
minecraft.used.oak_pressure_plate: #7, 6(4%)
minecraft.crafted.heavy_weighted_pressure_plate: #7, 12(3%)
minecraft.killed.cave_spider: #7, 1874(2%)
minecraft.dropped.dripstone_block: #7, 118(3%)
minecraft.crafted.oak_pressure_plate: #7, 5(3%)
minecraft.used.stripped_jungle_wood: #7, 67(4%)
minecraft.used.dark_oak_planks: #8, 1474(6%)
minecraft.crafted.bamboo_planks: #8, 18272(6%)
minecraft.crafted.quartz_block: #7, 1787(2%)
minecraft.dropped.dark_oak_trapdoor: #7, 19(3%)
minecraft.used.blue_ice: #7, 84(2%)
minecraft.mined.stripped_jungle_wood: #7, 42(2%)
minecraft.picked_up.stripped_jungle_wood: #7, 42(2%)
minecraft.used.chest_minecart: #7, 9(3%)
minecraft.crafted.black_stained_glass: #7, 896(2%)
minecraft.killed.wandering_trader: #8, 11(6%)
minecraft.picked_up.beetroot_soup: #7, 10(3%)
minecraft.crafted.polished_blackstone_wall: #7, 18(3%)
minecraft.crafted.clay: #7, 74(2%)
minecraft.crafted.dark_oak_slab: #8, 1326(5%)
minecraft.mined.lever: #8, 143(5%)
minecraft.dropped.gray_stained_glass: #7, 3(3%)
minecraft.crafted.sugar: #7, 133(1%)
minecraft.dropped.mud_bricks: #7, 6(2%)
minecraft.crafted.apple: #7, 112(2%)
minecraft.picked_up.cooked_mutton: #7, 75(1%)
minecraft.dropped.bone: #8, 879(5%)
minecraft.picked_up.light_weighted_pressure_plate: #7, 5(3%)
minecraft.used.yellow_concrete: #7, 194(1%)
minecraft.used.amethyst_cluster: #7, 24(1%)
minecraft.dropped.birch_slab: #7, 4(1%)
minecraft.picked_up.bamboo_trapdoor: #8, 138(5%)
minecraft.dropped.polished_tuff: #8, 57(5%)
minecraft.dropped.blue_ice: #7, 8(1%)
minecraft.used.dark_oak_fence: #8, 349(4%)
minecraft.dropped.golden_boots: #8, 20(4%)
minecraft.picked_up.heavy_weighted_pressure_plate: #8, 8(6%)
minecraft.crafted.piston: #8, 665(4%)
minecraft.mined.observer: #8, 342(4%)
minecraft.used.sticky_piston: #8, 346(4%)
minecraft.crafted.dark_oak_fence: #8, 282(4%)
minecraft.custom.enchant_item: #8, 130(4%)
minecraft.killed_by.skeleton: #8, 11(4%)
minecraft.dropped.bucket: #8, 67(3%)
minecraft.picked_up.redstone_torch: #8, 301(3%)
minecraft.dropped.wind_charge: #8, 215(4%)
minecraft.dropped.slime_ball: #8, 448(3%)
minecraft.picked_up.golden_carrot: #9, 2766(4%)
minecraft.dropped.ladder: #8, 64(3%)
minecraft.picked_up.black_stained_glass: #8, 166(3%)
minecraft.used.stripped_dark_oak_log: #8, 197(2%)
minecraft.mined.stripped_dark_oak_log: #8, 234(2%)
minecraft.picked_up.clock: #8, 3(3%)
minecraft.picked_up.stripped_dark_oak_log: #8, 236(2%)
minecraft.crafted.cookie: #8, 306(3%)
minecraft.picked_up.water_bucket: #9, 57(5%)
minecraft.dropped.purpur_stairs: #8, 6(4%)
minecraft.mined.slime_block: #8, 133(2%)
minecraft.dropped.composter: #8, 5(3%)
minecraft.picked_up.pink_dye: #8, 12(2%)
minecraft.crafted.lead: #8, 48(2%)
minecraft.dropped.emerald_block: #8, 64(3%)
minecraft.killed_by.silverfish: #8, 2(3%)
minecraft.dropped.soul_soil: #8, 18(2%)
minecraft.crafted.yellow_carpet: #8, 114(2%)
minecraft.dropped.end_stone_bricks: #8, 12(2%)
minecraft.picked_up.lectern: #9, 330(6%)
minecraft.mined.lectern: #9, 327(6%)
minecraft.crafted.stone_hoe: #8, 3(1%)
minecraft.crafted.andesite_wall: #8, 43(1%)
minecraft.picked_up.mutton: #8, 142(1%)
minecraft.dropped.chiseled_stone_bricks: #8, 48(2%)
minecraft.dropped.powered_rail: #8, 6(1%)
minecraft.picked_up.diamond_pickaxe: #9, 73(4%)
minecraft.crafted.blue_ice: #8, 63(1%)
