stat, rank, value, (percentage) 
minecraft.crafted.gray_shulker_box: #5, 14(6%)
minecraft.used.exposed_cut_copper_stairs: #4, 11(3%)
minecraft.used.blackstone_wall: #4, 75(2%)
minecraft.dropped.brown_dye: #4, 8(3%)
minecraft.mined.deepslate_brick_slab: #5, 157(6%)
minecraft.picked_up.deepslate_bricks: #6, 1719(8%)
minecraft.mined.deepslate_brick_stairs: #5, 188(5%)
minecraft.mined.exposed_cut_copper_stairs: #4, 13(3%)
minecraft.used.dark_oak_log: #5, 2313(4%)
minecraft.picked_up.jungle_leaves: #5, 683(7%)
minecraft.crafted.blue_stained_glass: #5, 448(7%)
minecraft.used.golden_axe: #4, 18(2%)
minecraft.picked_up.blue_bed: #5, 30(6%)
minecraft.mined.trapped_chest: #4, 1(4%)
minecraft.mined.blue_bed: #5, 29(6%)
minecraft.used.music_disc_otherside: #5, 9(6%)
minecraft.crafted.green_shulker_box: #5, 14(5%)
minecraft.picked_up.miner_pottery_sherd: #4, 1(3%)
minecraft.crafted.glass_pane: #5, 1280(5%)
minecraft.picked_up.lime_bed: #4, 7(2%)
minecraft.crafted.deepslate_brick_stairs: #5, 97(5%)
minecraft.used.blue_bed: #5, 31(6%)
minecraft.crafted.conduit: #5, 2(11%)
minecraft.mined.lime_bed: #4, 7(2%)
minecraft.dropped.sculk_sensor: #4, 3(2%)
minecraft.used.golden_shovel: #4, 8(1%)
minecraft.mined.raw_gold_block: #4, 16(1%)
minecraft.mined.deepslate_tile_slab: #5, 89(5%)
minecraft.picked_up.blue_carpet: #4, 13(0%)
minecraft.dropped.cyan_stained_glass_pane: #4, 1(1%)
minecraft.mined.torch: #6, 1532(5%)
minecraft.used.orange_glazed_terracotta: #4, 2(1%)
minecraft.used.sugar_cane: #5, 471(4%)
minecraft.mined.lime_concrete_powder: #5, 11(6%)
minecraft.dropped.poppy: #6, 7157(7%)
minecraft.mined.glass: #6, 1342(7%)
minecraft.crafted.netherite_shovel: #5, 2(12%)
minecraft.crafted.purple_shulker_box: #5, 6(5%)
minecraft.used.emerald_ore: #5, 15(7%)
minecraft.dropped.poisonous_potato: #5, 3(6%)
minecraft.dropped.deepslate_gold_ore: #5, 26(8%)
minecraft.crafted.smoker: #5, 10(5%)
minecraft.used.cyan_dye: #5, 28(6%)
minecraft.mined.blackstone_slab: #5, 34(6%)
minecraft.mined.cobbled_deepslate_wall: #5, 20(6%)
minecraft.mined.magenta_stained_glass: #5, 23(5%)
minecraft.dropped.elytra: #6, 19(5%)
minecraft.dropped.purpur_block: #5, 33(6%)
minecraft.mined.sculk_vein: #5, 900(6%)
minecraft.crafted.end_crystal: #5, 8(8%)
minecraft.mined.black_stained_glass_pane: #5, 27(6%)
minecraft.dropped.spruce_button: #5, 14(5%)
minecraft.used.raw_copper_block: #5, 81(5%)
minecraft.crafted.netherite_sword: #5, 1(7%)
minecraft.mined.spruce_fence: #6, 216(6%)
minecraft.dropped.red_bed: #5, 2(6%)
minecraft.dropped.arrow: #6, 8835(5%)
minecraft.mined.blue_stained_glass: #5, 19(7%)
minecraft.used.blue_dye: #5, 3(5%)
minecraft.killed.villager: #5, 8(5%)
minecraft.dropped.sea_pickle: #5, 64(6%)
minecraft.used.oak_slab: #6, 558(6%)
minecraft.dropped.white_wool: #5, 134(2%)
minecraft.mined.spruce_sign: #6, 7(7%)
minecraft.dropped.cocoa_beans: #5, 18(4%)
minecraft.picked_up.iron_ore: #6, 1353(5%)
minecraft.used.jungle_door: #5, 5(6%)
minecraft.crafted.diamond: #6, 1890(5%)
minecraft.used.bell: #5, 13(4%)
minecraft.picked_up.painting: #6, 107(7%)
minecraft.mined.red_candle: #5, 5(6%)
minecraft.mined.coal_block: #6, 47(8%)
minecraft.used.sandstone_stairs: #5, 65(4%)
minecraft.mined.oxidized_cut_copper_stairs: #6, 75(8%)
minecraft.crafted.raw_iron: #6, 2313(6%)
