stat, rank, value, (percentage) 
minecraft.picked_up.birch_sapling: #2, 3935(15%)
minecraft.picked_up.red_concrete: #2, 3748(16%)
minecraft.dropped.poppy: #2, 16244(17%)
minecraft.crafted.exposed_cut_copper: #1, 148(70%)
minecraft.killed.vex: #1, 77(25%)
minecraft.used.stripped_spruce_wood: #2, 832(26%)
minecraft.dropped.acacia_slab: #1, 66(38%)
minecraft.mined.crimson_fungus: #2, 337(22%)
minecraft.dropped.white_dye: #2, 771(22%)
minecraft.mined.mud_bricks: #1, 288(15%)
minecraft.picked_up.weathered_copper: #2, 666(20%)
minecraft.used.stripped_dark_oak_wood: #2, 759(29%)
minecraft.crafted.oak_fence: #1, 663(12%)
minecraft.used.beef: #1, 27(42%)
minecraft.crafted.andesite_wall: #2, 1513(27%)
minecraft.mined.jungle_door: #1, 17(41%)
minecraft.mined.exposed_copper: #2, 457(20%)
minecraft.crafted.andesite_stairs: #1, 277(22%)
minecraft.crafted.brown_banner: #1, 26(41%)
minecraft.mined.spruce_log: #2, 32657(14%)
minecraft.dropped.glass_bottle: #3, 1451(17%)
minecraft.mined.weathered_copper: #2, 672(20%)
minecraft.picked_up.spruce_log: #2, 33960(13%)
minecraft.mined.dead_brain_coral_fan: #1, 8(53%)
minecraft.picked_up.dead_brain_coral_fan: #1, 8(53%)
minecraft.dropped.white_shulker_box: #1, 9(29%)
minecraft.crafted.magenta_banner: #1, 72(64%)
minecraft.dropped.purpur_stairs: #1, 27(23%)
minecraft.mined.lightning_rod: #1, 145(14%)
minecraft.used.dead_bush: #2, 260(31%)
minecraft.used.mud_brick_slab: #2, 1220(27%)
minecraft.crafted.end_rod: #2, 4280(44%)
minecraft.crafted.bamboo_sign: #1, 54(38%)
minecraft.dropped.golden_pickaxe: #1, 6(43%)
minecraft.picked_up.acacia_log: #3, 6732(18%)
minecraft.picked_up.music_disc_pigstep: #1, 25(42%)
minecraft.crafted.cobblestone_wall: #2, 1176(18%)
minecraft.picked_up.iron_trapdoor: #2, 309(19%)
minecraft.dropped.jungle_leaves: #1, 117(29%)
minecraft.crafted.yellow_concrete: #1, 352(37%)
minecraft.crafted.glass_pane: #2, 4448(18%)
minecraft.picked_up.gray_banner: #1, 38(32%)
minecraft.crafted.green_concrete: #1, 168(58%)
minecraft.dropped.mud_brick_stairs: #1, 49(42%)
minecraft.mined.acacia_stairs: #1, 45(41%)
minecraft.dropped.acacia_log: #2, 435(30%)
minecraft.picked_up.spider_eye: #2, 9886(13%)
