stat, rank, value, (percentage) 
minecraft.dropped.cyan_wool: #4, 1(0%)
minecraft.crafted.detector_rail: #5, 72(8%)
minecraft.picked_up.detector_rail: #5, 28(6%)
minecraft.used.cyan_terracotta: #6, 4606(7%)
minecraft.dropped.netherite_sword: #5, 4(7%)
minecraft.used.lime_stained_glass: #5, 758(5%)
minecraft.custom.boat_one_cm: #6, 20065943(5%)
minecraft.crafted.weathered_cut_copper: #5, 20(10%)
minecraft.crafted.lead: #6, 84(10%)
minecraft.dropped.smooth_quartz_stairs: #5, 7(11%)
minecraft.mined.nether_brick_fence: #5, 64(6%)
minecraft.crafted.dark_prismarine_stairs: #5, 32(8%)
minecraft.picked_up.acacia_door: #5, 4(11%)
minecraft.broken.golden_shovel: #5, 1(17%)
minecraft.picked_up.arrow: #6, 4499(5%)
minecraft.dropped.magma_block: #5, 41(4%)
minecraft.mined.polished_deepslate_stairs: #5, 77(4%)
minecraft.crafted.netherite_leggings: #5, 3(8%)
minecraft.dropped.seagrass: #5, 14(7%)
minecraft.mined.jungle_log: #6, 3430(8%)
minecraft.dropped.light_gray_terracotta: #5, 71(5%)
minecraft.used.dark_oak_fence: #6, 847(6%)
minecraft.mined.jungle_leaves: #6, 2578(8%)
minecraft.used.birch_boat: #6, 18(6%)
minecraft.crafted.netherite_boots: #5, 3(6%)
minecraft.crafted.diamond_pickaxe: #6, 21(5%)
minecraft.picked_up.crimson_door: #5, 2(8%)
minecraft.used.blackstone: #5, 3820(3%)
minecraft.dropped.soul_soil: #5, 146(4%)
minecraft.crafted.white_stained_glass_pane: #5, 368(4%)
minecraft.picked_up.oak_trapdoor: #6, 102(6%)
minecraft.mined.brain_coral_block: #5, 170(6%)
minecraft.mined.redstone_torch: #5, 80(3%)
minecraft.mined.dark_oak_log: #6, 9886(6%)
minecraft.used.granite_stairs: #5, 20(6%)
minecraft.crafted.recovery_compass: #5, 1(10%)
minecraft.killed_by.drowned: #6, 9(6%)
minecraft.picked_up.blackstone_stairs: #5, 23(7%)
minecraft.dropped.lime_terracotta: #5, 58(6%)
minecraft.mined.bubble_coral_block: #5, 125(5%)
minecraft.used.diorite: #6, 1267(5%)
minecraft.crafted.green_wool: #5, 153(7%)
minecraft.picked_up.fire_coral: #5, 18(4%)
minecraft.picked_up.rotten_flesh: #6, 4169(4%)
minecraft.crafted.jungle_trapdoor: #5, 352(5%)
minecraft.mined.conduit: #5, 2(7%)
minecraft.mined.oak_door: #6, 8(8%)
minecraft.mined.potted_dead_bush: #5, 1(10%)
minecraft.crafted.stone_slab: #6, 2996(6%)
minecraft.mined.spawner: #5, 8(5%)
minecraft.used.waxed_exposed_cut_copper: #5, 15(6%)
minecraft.crafted.brown_stained_glass_pane: #5, 32(8%)
minecraft.mined.brown_mushroom: #6, 273(7%)
minecraft.used.cyan_banner: #5, 8(6%)
minecraft.killed.tropical_fish: #5, 10(4%)
minecraft.crafted.brown_stained_glass: #5, 320(6%)
minecraft.mined.weeping_vines: #5, 32(3%)
minecraft.crafted.smooth_stone_slab: #6, 852(6%)
minecraft.dropped.black_dye: #5, 49(4%)
minecraft.crafted.daylight_detector: #5, 44(4%)
minecraft.used.green_concrete_powder: #5, 1049(2%)
minecraft.dropped.mud_bricks: #5, 32(5%)
minecraft.crafted.yellow_shulker_box: #6, 19(7%)
minecraft.picked_up.cooked_porkchop: #5, 1301(1%)
minecraft.crafted.polished_andesite_slab: #5, 158(2%)
minecraft.mined.deepslate_iron_ore: #6, 1018(5%)
minecraft.used.spore_blossom: #6, 26(7%)
minecraft.crafted.waxed_cut_copper: #5, 36(7%)
minecraft.used.jungle_fence: #5, 50(5%)
minecraft.used.gray_concrete: #6, 2750(7%)
minecraft.crafted.nether_bricks: #5, 927(3%)
minecraft.dropped.black_stained_glass: #5, 37(4%)
minecraft.mined.peony: #6, 17(6%)
minecraft.mined.gray_stained_glass_pane: #5, 21(4%)
minecraft.crafted.blue_wool: #5, 35(3%)
minecraft.picked_up.golden_hoe: #5, 1(8%)
minecraft.mined.packed_mud: #6, 129(7%)
minecraft.picked_up.jungle_fence: #5, 16(4%)
minecraft.picked_up.horn_coral_fan: #5, 42(2%)
minecraft.crafted.red_sandstone_wall: #5, 13(6%)
minecraft.picked_up.crimson_nylium: #5, 491(2%)
minecraft.used.glow_ink_sac: #6, 183(5%)
minecraft.picked_up.grass: #6, 809(6%)
minecraft.used.waxed_cut_copper: #5, 29(4%)
minecraft.used.tnt_minecart: #5, 3(7%)
minecraft.custom.talked_to_villager: #7, 6475(8%)
minecraft.dropped.gray_shulker_box: #5, 1(8%)
minecraft.mined.end_rod: #6, 129(5%)
minecraft.dropped.glass_pane: #5, 33(2%)
minecraft.picked_up.dead_brain_coral_block: #5, 109(4%)
minecraft.custom.swim_one_cm: #7, 7533176(6%)
minecraft.picked_up.bamboo_block: #5, 23(3%)
minecraft.crafted.spruce_fence: #6, 1098(5%)
minecraft.mined.bubble_coral_fan: #5, 13(2%)
minecraft.used.sweet_berries: #7, 1503(7%)
minecraft.picked_up.smooth_stone: #6, 793(6%)
minecraft.picked_up.stone_button: #6, 262(5%)
minecraft.mined.fern: #6, 663(5%)
minecraft.dropped.dark_oak_trapdoor: #5, 24(2%)
minecraft.dropped.cherry_log: #5, 9(6%)
minecraft.dropped.sea_lantern: #5, 71(2%)
minecraft.picked_up.mangrove_fence_gate: #5, 1(7%)
minecraft.mined.acacia_door: #5, 1(7%)
minecraft.dropped.polished_andesite_stairs: #5, 7(2%)
minecraft.mined.lily_of_the_valley: #6, 20(6%)
minecraft.mined.nether_brick_slab: #5, 17(5%)
minecraft.dropped.kelp: #6, 566(5%)
minecraft.dropped.stripped_spruce_log: #5, 8(3%)
minecraft.crafted.acacia_pressure_plate: #5, 4(3%)
minecraft.dropped.white_concrete_powder: #5, 121(3%)
minecraft.dropped.anvil: #5, 6(2%)
minecraft.mined.waxed_cut_copper: #5, 8(3%)
minecraft.dropped.soul_sand: #5, 219(2%)
minecraft.mined.sticky_piston: #6, 194(5%)
minecraft.mined.bookshelf: #6, 1003(5%)
minecraft.crafted.cartography_table: #5, 16(2%)
minecraft.picked_up.bubble_coral_fan: #5, 37(1%)
minecraft.used.spruce_door: #6, 29(5%)
minecraft.used.nether_brick_slab: #5, 65(3%)
minecraft.dropped.flint_and_steel: #6, 9(6%)
minecraft.crafted.orange_wool: #5, 60(3%)
minecraft.dropped.cracked_polished_blackstone_bricks: #5, 36(2%)
minecraft.used.weathered_cut_copper: #5, 9(2%)
minecraft.used.copper_block: #6, 2110(4%)
minecraft.mined.smooth_quartz_slab: #6, 114(6%)
minecraft.picked_up.white_candle: #5, 5(2%)
minecraft.picked_up.granite_wall: #5, 11(2%)
minecraft.picked_up.yellow_concrete: #6, 583(5%)
minecraft.mined.warped_hyphae: #5, 41(2%)
minecraft.mined.diorite_slab: #6, 9(10%)
minecraft.used.brown_carpet: #5, 167(1%)
minecraft.dropped.pearlescent_froglight: #5, 4(4%)
minecraft.used.smooth_stone: #6, 1285(5%)
minecraft.picked_up.warped_fungus_on_a_stick: #5, 1(3%)
minecraft.picked_up.end_stone_brick_slab: #5, 1(4%)
minecraft.crafted.jungle_planks: #6, 5484(5%)
minecraft.crafted.light_gray_concrete: #5, 24(4%)
minecraft.crafted.paper: #6, 24107(4%)
minecraft.crafted.cut_sandstone_slab: #5, 60(3%)
minecraft.mined.observer: #6, 395(4%)
minecraft.used.spruce_stairs: #6, 792(4%)
minecraft.mined.cracked_polished_blackstone_bricks: #5, 334(1%)
minecraft.picked_up.white_glazed_terracotta: #5, 27(2%)
minecraft.dropped.honeycomb: #5, 54(2%)
minecraft.dropped.cooked_porkchop: #5, 367(1%)
minecraft.mined.stripped_cherry_wood: #5, 1(3%)
minecraft.picked_up.cut_red_sandstone_slab: #5, 2(4%)
minecraft.picked_up.lime_candle: #5, 4(3%)
minecraft.dropped.oak_door: #6, 4(9%)
minecraft.dropped.birch_planks: #6, 105(5%)
minecraft.crafted.brick_slab: #5, 180(1%)
minecraft.dropped.gold_block: #5, 66(1%)
minecraft.crafted.polished_deepslate_stairs: #6, 173(6%)
minecraft.dropped.birch_leaves: #6, 181(6%)
minecraft.mined.waxed_oxidized_cut_copper_stairs: #5, 6(2%)
minecraft.used.bubble_coral: #5, 4(2%)
minecraft.dropped.music_disc_11: #5, 1(3%)
minecraft.picked_up.chainmail_chestplate: #6, 7(7%)
minecraft.crafted.yellow_glazed_terracotta: #5, 36(2%)
minecraft.used.brown_stained_glass_pane: #5, 6(2%)
minecraft.used.yellow_concrete: #6, 770(5%)
minecraft.picked_up.stripped_cherry_wood: #5, 1(2%)
minecraft.crafted.light_blue_wool: #5, 64(2%)
minecraft.crafted.white_glazed_terracotta: #5, 35(2%)
minecraft.crafted.jungle_button: #5, 5(1%)
minecraft.crafted.nether_brick_slab: #5, 78(2%)
minecraft.mined.black_stained_glass: #6, 266(5%)
minecraft.dropped.white_concrete: #5, 78(1%)
minecraft.used.waxed_weathered_cut_copper_slab: #5, 72(2%)
minecraft.mined.mangrove_slab: #6, 56(5%)
minecraft.crafted.light_gray_wool: #6, 383(6%)
minecraft.dropped.fishing_rod: #6, 6(7%)
minecraft.picked_up.green_concrete: #6, 541(4%)
minecraft.dropped.paper: #5, 394(0%)
minecraft.dropped.clay_ball: #5, 153(1%)
minecraft.mined.blue_carpet: #5, 3(1%)
minecraft.dropped.light_gray_concrete_powder: #5, 45(1%)
minecraft.crafted.cherry_slab: #5, 6(1%)
minecraft.mined.dead_bubble_coral_block: #5, 18(1%)
minecraft.used.red_sandstone: #5, 6(2%)
minecraft.crafted.bamboo_mosaic: #5, 4(1%)
minecraft.mined.cave_vines: #6, 87(4%)
minecraft.mined.bamboo_slab: #5, 3(1%)
minecraft.picked_up.tinted_glass: #6, 310(5%)
minecraft.used.dead_bubble_coral_block: #5, 8(1%)
minecraft.picked_up.bookshelf: #6, 110(4%)
minecraft.picked_up.red_sandstone_wall: #5, 2(1%)
minecraft.dropped.stripped_dark_oak_wood: #5, 1(1%)
minecraft.crafted.diamond_chestplate: #6, 11(4%)
minecraft.dropped.polished_blackstone_brick_stairs: #5, 6(1%)
minecraft.picked_up.bamboo_mosaic: #5, 1(1%)
minecraft.crafted.cherry_fence: #5, 3(1%)
minecraft.dropped.scaffolding: #6, 606(5%)
minecraft.used.lime_carpet: #5, 111(0%)
minecraft.used.bamboo_mosaic: #5, 1(1%)
minecraft.dropped.stripped_warped_stem: #5, 5(0%)
minecraft.used.sculk_catalyst: #5, 24(0%)
minecraft.dropped.stripped_jungle_log: #5, 2(0%)
minecraft.picked_up.sweet_berries: #7, 2000(6%)
minecraft.crafted.bamboo_fence: #5, 3(0%)
minecraft.mined.light_blue_carpet: #5, 2(0%)
minecraft.crafted.light_gray_stained_glass_pane: #6, 240(6%)
minecraft.used.mangrove_sign: #6, 27(6%)
minecraft.dropped.oxidized_copper: #5, 1(0%)
minecraft.used.wither_rose: #5, 9(0%)
minecraft.crafted.chiseled_stone_bricks: #6, 853(5%)
minecraft.crafted.cyan_bed: #6, 3(7%)
minecraft.used.birch_stairs: #6, 113(5%)
minecraft.picked_up.yellow_bed: #6, 39(5%)
minecraft.mined.stripped_jungle_wood: #6, 35(7%)
minecraft.picked_up.poppy: #6, 914(3%)
minecraft.killed.spider: #7, 173(6%)
minecraft.mined.warped_wall_sign: #6, 17(6%)
minecraft.picked_up.diamond_pickaxe: #7, 89(5%)
minecraft.picked_up.diamond_sword: #7, 71(5%)
minecraft.mined.crimson_door: #6, 2(11%)
minecraft.picked_up.lectern: #7, 636(7%)
minecraft.used.oak_pressure_plate: #6, 5(6%)
minecraft.crafted.lime_stained_glass: #6, 960(5%)
minecraft.mined.yellow_concrete: #6, 597(4%)
minecraft.used.bamboo_planks: #6, 10(8%)
minecraft.crafted.light_gray_carpet: #6, 419(4%)
minecraft.crafted.cobblestone_slab: #6, 546(4%)
minecraft.killed_by.ravager: #7, 84(6%)
minecraft.dropped.iron_door: #6, 6(6%)
minecraft.crafted.white_bed: #6, 31(3%)
minecraft.dropped.iron_bars: #6, 176(6%)
minecraft.used.oak_stairs: #7, 234(7%)
minecraft.crafted.red_shulker_box: #6, 21(4%)
minecraft.mined.lectern: #7, 640(7%)
minecraft.mined.fire_coral_fan: #6, 23(6%)
minecraft.crafted.warped_hyphae: #6, 381(5%)
minecraft.mined.light_blue_concrete: #6, 154(5%)
minecraft.dropped.wooden_shovel: #6, 9(5%)
minecraft.used.red_stained_glass: #6, 651(4%)
minecraft.crafted.dripstone_block: #6, 708(5%)
minecraft.picked_up.light_blue_concrete: #6, 154(5%)
minecraft.mined.nether_quartz_ore: #7, 3883(6%)
minecraft.crafted.oak_sign: #7, 186(6%)
minecraft.picked_up.stripped_jungle_wood: #6, 35(5%)
minecraft.used.lectern: #7, 655(7%)
minecraft.picked_up.andesite_slab: #6, 55(4%)
minecraft.picked_up.spruce_chest_boat: #6, 2(10%)
minecraft.picked_up.acacia_wood: #6, 38(4%)
minecraft.dropped.netherite_shovel: #6, 3(6%)
minecraft.used.orange_concrete: #6, 565(5%)
minecraft.used.nether_wart_block: #6, 151(3%)
minecraft.dropped.quartz_slab: #6, 26(10%)
minecraft.mined.warped_roots: #6, 178(3%)
minecraft.used.warped_hyphae: #6, 380(5%)
minecraft.dropped.cobblestone_stairs: #6, 29(5%)
minecraft.dropped.grass: #6, 24(4%)
minecraft.dropped.smooth_basalt: #6, 79(4%)
minecraft.used.green_dye: #6, 12(6%)
minecraft.used.gray_stained_glass_pane: #6, 130(5%)
minecraft.used.diorite_wall: #6, 172(5%)
minecraft.custom.walk_under_water_one_cm: #8, 12261755(4%)
minecraft.dropped.end_stone_bricks: #6, 21(5%)
minecraft.mined.black_banner: #6, 2(9%)
minecraft.used.acacia_fence: #6, 33(6%)
minecraft.used.white_stained_glass_pane: #6, 267(3%)
minecraft.picked_up.gunpowder: #6, 2619(2%)
minecraft.crafted.polished_diorite: #6, 737(4%)
minecraft.picked_up.rabbit_foot: #6, 3(6%)
minecraft.mined.brain_coral: #6, 16(4%)
minecraft.picked_up.allium: #6, 104(3%)
minecraft.crafted.bone_block: #7, 13935(7%)
minecraft.dropped.golden_chestplate: #6, 12(3%)
minecraft.mined.acacia_wall_sign: #6, 7(5%)
minecraft.dropped.netherite_ingot: #6, 3(4%)
minecraft.mined.bubble_coral: #6, 16(4%)
minecraft.picked_up.brain_coral_block: #6, 136(5%)
minecraft.used.horn_coral_fan: #6, 10(5%)
minecraft.used.orange_stained_glass: #6, 618(4%)
minecraft.picked_up.loom: #7, 24(7%)
minecraft.dropped.calcite: #6, 87(3%)
minecraft.mined.green_concrete: #6, 548(3%)
minecraft.picked_up.bubble_coral: #6, 14(4%)
minecraft.dropped.music_disc_cat: #6, 5(5%)
minecraft.crafted.diamond_boots: #7, 10(6%)
minecraft.crafted.acacia_fence: #6, 48(6%)
minecraft.mined.spruce_wall_hanging_sign: #6, 1(10%)
minecraft.mined.lever: #7, 87(6%)
minecraft.crafted.netherite_helmet: #6, 2(5%)
minecraft.picked_up.bubble_coral_block: #6, 124(4%)
minecraft.used.bricks: #6, 380(3%)
minecraft.mined.chiseled_quartz_block: #6, 8(5%)
minecraft.picked_up.book: #7, 3604(5%)
minecraft.dropped.snowball: #6, 454(2%)
minecraft.dropped.golden_carrot: #7, 475(4%)
minecraft.crafted.deepslate_tile_stairs: #6, 54(3%)
minecraft.picked_up.brain_coral: #6, 13(4%)
minecraft.picked_up.iron_ore: #7, 1331(5%)
minecraft.dropped.enchanted_golden_apple: #6, 1(9%)
minecraft.dropped.golden_horse_armor: #6, 1(9%)
minecraft.mined.potted_azalea_bush: #6, 1(9%)
minecraft.used.nether_gold_ore: #6, 42(5%)
minecraft.mined.smooth_sandstone: #6, 202(3%)
minecraft.dropped.nether_bricks: #6, 48(3%)
minecraft.dropped.amethyst_block: #6, 46(3%)
minecraft.dropped.cocoa_beans: #6, 16(4%)
minecraft.mined.acacia_leaves: #6, 827(2%)
minecraft.dropped.white_wool: #6, 115(2%)
minecraft.picked_up.diamond_helmet: #7, 22(4%)
minecraft.crafted.iron_block: #7, 7648(5%)
minecraft.crafted.granite_slab: #6, 72(3%)
minecraft.mined.slime_block: #6, 305(2%)
minecraft.picked_up.recovery_compass: #6, 1(8%)
minecraft.used.brain_coral_fan: #6, 20(3%)
minecraft.picked_up.light_gray_concrete_powder: #6, 445(2%)
minecraft.used.oak_fence: #7, 269(5%)
minecraft.crafted.polished_andesite_stairs: #6, 49(3%)
minecraft.used.cooked_porkchop: #7, 1621(4%)
minecraft.picked_up.end_rod: #7, 226(5%)
minecraft.used.gray_concrete_powder: #7, 3467(7%)
minecraft.used.golden_carrot: #8, 3022(5%)
minecraft.mined.brain_coral_fan: #6, 11(3%)
minecraft.used.firework_rocket: #8, 47474(5%)
minecraft.mined.daylight_detector: #6, 8(4%)
minecraft.mined.stripped_birch_wood: #6, 46(3%)
minecraft.crafted.spruce_sign: #7, 126(5%)
minecraft.mined.fire_coral_block: #6, 140(4%)
minecraft.picked_up.fire_coral_block: #6, 137(3%)
minecraft.custom.drop: #7, 13570(3%)
minecraft.dropped.stripped_birch_log: #6, 5(4%)
minecraft.dropped.crimson_planks: #6, 13(3%)
minecraft.used.black_stained_glass: #6, 2790(2%)
minecraft.used.splash_potion: #7, 57(5%)
minecraft.mined.polished_blackstone_bricks: #6, 810(2%)
minecraft.used.red_sand: #6, 40(2%)
minecraft.used.brown_banner: #6, 2(6%)
minecraft.mined.light_gray_wall_banner: #6, 1(6%)
minecraft.used.daylight_detector: #6, 23(3%)
minecraft.picked_up.granite_stairs: #6, 5(4%)
minecraft.mined.nether_sprouts: #6, 76(2%)
minecraft.used.purple_stained_glass_pane: #6, 154(4%)
minecraft.picked_up.jungle_log: #7, 3652(6%)
minecraft.picked_up.black_stained_glass: #7, 372(6%)
minecraft.custom.interact_with_campfire: #6, 14(4%)
minecraft.picked_up.cyan_banner: #6, 4(4%)
minecraft.picked_up.dark_oak_log: #7, 9665(4%)
minecraft.dropped.rooted_dirt: #6, 15(3%)
minecraft.mined.dragon_head: #6, 1(6%)
minecraft.used.purple_banner: #6, 1(6%)
minecraft.custom.interact_with_loom: #7, 41(5%)
minecraft.picked_up.goat_horn: #7, 14(5%)
minecraft.picked_up.brain_coral_fan: #6, 37(2%)
minecraft.picked_up.stripped_birch_wood: #6, 46(3%)
minecraft.used.birch_wood: #6, 59(2%)
minecraft.used.green_stained_glass: #6, 177(2%)
minecraft.picked_up.weeping_vines: #7, 212(6%)
minecraft.picked_up.waxed_cut_copper: #6, 8(3%)
minecraft.mined.brain_coral_wall_fan: #6, 32(2%)
minecraft.dropped.black_carpet: #6, 17(3%)
minecraft.crafted.birch_slab: #7, 462(5%)
minecraft.picked_up.cooked_mutton: #6, 13(2%)
minecraft.picked_up.clay: #7, 2843(6%)
minecraft.picked_up.fire_coral_fan: #6, 41(2%)
minecraft.dropped.white_stained_glass: #6, 41(2%)
minecraft.dropped.sand: #7, 1649(5%)
minecraft.crafted.stripped_spruce_wood: #6, 36(3%)
minecraft.mined.mangrove_propagule: #6, 37(2%)
minecraft.picked_up.clay_ball: #6, 2089(1%)
minecraft.killed.hoglin: #7, 26(6%)
minecraft.used.cracked_polished_blackstone_bricks: #6, 139(2%)
minecraft.picked_up.music_disc_11: #6, 2(4%)
minecraft.dropped.gray_dye: #6, 18(4%)
minecraft.used.brick_stairs: #6, 21(2%)
minecraft.mined.spruce_stairs: #7, 179(5%)
minecraft.dropped.stripped_oak_wood: #6, 2(4%)
minecraft.crafted.cyan_wool: #6, 70(2%)
minecraft.used.honeycomb: #7, 616(6%)
minecraft.crafted.waxed_cut_copper_slab: #6, 18(4%)
minecraft.dropped.polished_deepslate_stairs: #6, 28(2%)
minecraft.picked_up.yellow_banner: #6, 3(4%)
minecraft.mined.yellow_wall_banner: #6, 2(4%)
minecraft.crafted.bamboo_button: #6, 1(3%)
minecraft.used.bamboo_slab: #6, 13(3%)
minecraft.picked_up.horn_coral_block: #6, 66(2%)
minecraft.custom.aviate_one_cm: #8, 1143013521(5%)
minecraft.picked_up.blue_orchid: #6, 66(2%)
minecraft.mined.horn_coral_block: #6, 69(2%)
minecraft.picked_up.gray_concrete: #7, 1745(5%)
minecraft.picked_up.blue_concrete: #7, 147(6%)
minecraft.mined.brick_slab: #6, 17(1%)
minecraft.picked_up.nether_brick_slab: #6, 13(3%)
minecraft.used.carrot_on_a_stick: #6, 1(3%)
minecraft.dropped.bricks: #6, 34(1%)
minecraft.picked_up.waxed_oxidized_cut_copper_stairs: #6, 6(2%)
minecraft.used.basalt: #7, 3377(4%)
minecraft.used.dark_oak_trapdoor: #7, 739(4%)
minecraft.used.stripped_birch_wood: #6, 43(2%)
minecraft.crafted.golden_helmet: #7, 5(6%)
minecraft.dropped.target: #6, 1(2%)
minecraft.dropped.stripped_acacia_log: #6, 2(2%)
minecraft.dropped.dark_oak_planks: #7, 161(4%)
minecraft.mined.glowstone: #7, 378(4%)
minecraft.used.dried_kelp: #6, 7(1%)
minecraft.dropped.horn_coral_fan: #6, 2(2%)
minecraft.mined.waxed_weathered_cut_copper_stairs: #6, 7(1%)
minecraft.used.brown_stained_glass: #6, 24(2%)
minecraft.dropped.crimson_hyphae: #6, 4(2%)
minecraft.picked_up.cracked_polished_blackstone_bricks: #6, 253(1%)
minecraft.picked_up.orange_tulip: #6, 20(1%)
minecraft.crafted.end_stone_brick_slab: #6, 6(1%)
minecraft.used.waxed_cut_copper_slab: #6, 9(1%)
minecraft.dropped.jungle_sign: #6, 1(2%)
minecraft.dropped.cherry_sapling: #6, 1(1%)
minecraft.mined.red_concrete_powder: #6, 8(1%)
minecraft.mined.diorite: #7, 8600(3%)
minecraft.dropped.light_blue_stained_glass: #6, 2(1%)
minecraft.used.brick_slab: #6, 76(1%)
minecraft.dropped.magma_cream: #7, 29(7%)
minecraft.dropped.fire_coral_fan: #6, 1(1%)
minecraft.crafted.netherite_pickaxe: #7, 3(7%)
minecraft.mined.brewing_stand: #7, 18(5%)
minecraft.crafted.brown_glazed_terracotta: #6, 24(1%)
minecraft.dropped.brain_coral_fan: #6, 1(1%)
minecraft.dropped.spruce_fence: #7, 34(6%)
minecraft.picked_up.waxed_weathered_cut_copper_slab: #6, 7(0%)
minecraft.picked_up.bamboo_slab: #6, 1(0%)
minecraft.picked_up.green_carpet: #6, 33(0%)
minecraft.dropped.black_wool: #6, 27(0%)
minecraft.mined.raw_iron_block: #6, 18(0%)
minecraft.dropped.ancient_debris: #6, 2(0%)
minecraft.dropped.bookshelf: #6, 3(0%)
minecraft.crafted.orange_carpet: #6, 18(0%)
minecraft.picked_up.observer: #7, 422(4%)
minecraft.crafted.bread: #7, 1628(5%)
minecraft.custom.use_cauldron: #6, 6(0%)
minecraft.used.wooden_shovel: #6, 5(0%)
minecraft.used.compass: #6, 2(0%)
minecraft.mined.spore_blossom: #7, 18(4%)
minecraft.mined.coal_block: #7, 31(6%)
minecraft.used.tripwire_hook: #7, 27(5%)
minecraft.picked_up.sticky_piston: #7, 200(4%)
minecraft.dropped.dark_oak_sapling: #7, 89(4%)
minecraft.mined.vine: #7, 433(3%)
minecraft.picked_up.dragon_head: #7, 9(5%)
minecraft.mined.red_wool: #7, 183(4%)
minecraft.crafted.cut_copper: #7, 100(6%)
minecraft.crafted.diamond_leggings: #7, 10(3%)
minecraft.dropped.golden_apple: #7, 17(5%)
minecraft.custom.interact_with_crafting_table: #8, 4266(5%)
minecraft.used.gray_wool: #7, 707(4%)
minecraft.used.bookshelf: #7, 662(3%)
minecraft.used.crimson_trapdoor: #7, 136(4%)
minecraft.picked_up.golden_chestplate: #7, 13(3%)
minecraft.mined.redstone_wire: #7, 451(3%)
minecraft.mined.light_gray_concrete: #7, 997(4%)
minecraft.mined.jungle_stairs: #7, 19(8%)
minecraft.dropped.phantom_membrane: #7, 12(4%)
minecraft.crafted.cobbled_deepslate_slab: #7, 378(3%)
minecraft.crafted.quartz_slab: #7, 216(5%)
minecraft.used.cooked_mutton: #7, 29(4%)
minecraft.picked_up.deepslate_copper_ore: #7, 58(4%)
minecraft.picked_up.cobblestone_wall: #7, 101(3%)
minecraft.used.yellow_bed: #7, 39(4%)
minecraft.picked_up.andesite_wall: #7, 107(5%)
minecraft.dropped.flower_pot: #7, 19(6%)
minecraft.used.observer: #7, 762(3%)
minecraft.mined.pearlescent_froglight: #7, 35(3%)
minecraft.picked_up.bell: #7, 15(4%)
minecraft.custom.damage_dealt: #7, 1403063(2%)
minecraft.mined.carrots: #7, 351(2%)
minecraft.mined.oak_fence_gate: #7, 7(4%)
minecraft.used.loom: #7, 27(3%)
minecraft.picked_up.candle: #7, 30(4%)
minecraft.crafted.cake: #7, 9(5%)
minecraft.mined.tube_coral_fan: #7, 19(4%)
minecraft.mined.cyan_carpet: #7, 28(4%)
minecraft.crafted.cooked_mutton: #7, 24(3%)
minecraft.custom.jump: #9, 464857(5%)
minecraft.mined.smooth_stone: #7, 184(3%)
minecraft.used.grindstone: #8, 82(6%)
minecraft.used.oxidized_copper: #7, 544(3%)
minecraft.crafted.quartz_stairs: #7, 40(4%)
minecraft.crafted.lime_dye: #7, 1054(3%)
minecraft.mined.birch_wall_sign: #7, 28(2%)
minecraft.used.milk_bucket: #7, 6(3%)
minecraft.crafted.yellow_stained_glass: #7, 704(4%)
minecraft.mined.fire_coral: #7, 18(4%)
minecraft.crafted.birch_wood: #7, 138(3%)
minecraft.dropped.beef: #7, 38(3%)
minecraft.crafted.white_banner: #7, 55(4%)
minecraft.picked_up.golden_carrot: #8, 1423(4%)
minecraft.crafted.black_stained_glass: #7, 4008(3%)
minecraft.dropped.acacia_planks: #7, 18(3%)
minecraft.used.light_gray_concrete: #7, 624(3%)
minecraft.custom.traded_with_villager: #8, 39105(6%)
minecraft.mined.cobblestone_wall: #7, 36(2%)
minecraft.mined.mossy_cobblestone_stairs: #7, 5(4%)
minecraft.mined.spruce_fence: #8, 194(6%)
minecraft.mined.horn_coral: #7, 11(3%)
minecraft.crafted.green_concrete_powder: #7, 1216(3%)
minecraft.dropped.twisting_vines: #7, 8(4%)
minecraft.used.oak_sign: #8, 181(5%)
minecraft.dropped.flint: #7, 174(2%)
minecraft.crafted.netherite_shovel: #7, 1(6%)
minecraft.used.jungle_sign: #7, 15(4%)
minecraft.dropped.light_gray_bed: #7, 1(7%)
minecraft.dropped.smooth_stone_slab: #7, 18(3%)
minecraft.used.mangrove_button: #7, 4(4%)
minecraft.picked_up.tadpole_bucket: #7, 4(6%)
minecraft.crafted.bamboo_slab: #7, 72(5%)
minecraft.mined.waxed_weathered_copper: #7, 57(3%)
minecraft.used.small_dripleaf: #7, 4(4%)
minecraft.dropped.chipped_anvil: #7, 1(6%)
minecraft.picked_up.chiseled_quartz_block: #7, 8(3%)
minecraft.used.birch_leaves: #7, 564(2%)
minecraft.used.cherry_log: #7, 62(2%)
minecraft.picked_up.raw_iron: #8, 4432(4%)
minecraft.custom.interact_with_smoker: #7, 13(2%)
minecraft.crafted.acacia_sign: #7, 21(3%)
minecraft.used.jungle_boat: #7, 4(4%)
minecraft.used.white_candle: #7, 5(4%)
minecraft.picked_up.horn_coral: #7, 8(2%)
minecraft.dropped.shulker_shell: #7, 89(3%)
minecraft.dropped.oak_planks: #8, 159(5%)
minecraft.custom.play_record: #8, 65(5%)
minecraft.crafted.cobbled_deepslate_wall: #7, 36(3%)
minecraft.dropped.golden_boots: #7, 10(2%)
minecraft.dropped.packed_ice: #7, 128(2%)
minecraft.crafted.spyglass: #7, 2(3%)
minecraft.picked_up.nether_brick_fence: #7, 51(3%)
minecraft.used.yellow_banner: #7, 8(3%)
minecraft.custom.sprint_one_cm: #9, 126238134(4%)
