stat, rank, value, (percentage) 
minecraft.crafted.piston: #1, 4503(16%)
minecraft.picked_up.spruce_fence: #1, 955(16%)
minecraft.mined.obsidian: #2, 11340(19%)
minecraft.used.golden_carrot: #2, 6619(12%)
minecraft.picked_up.spruce_door: #1, 69(16%)
minecraft.dropped.moss_carpet: #2, 3226(20%)
minecraft.crafted.note_block: #2, 1086(19%)
minecraft.mined.rooted_dirt: #2, 3494(22%)
minecraft.used.note_block: #2, 989(19%)
minecraft.dropped.potion: #2, 534(20%)
minecraft.used.stone_slab: #2, 15749(19%)
minecraft.custom.aviate_one_cm: #1, 2147483647(9%)
minecraft.crafted.observer: #2, 4797(20%)
minecraft.picked_up.rooted_dirt: #2, 3437(21%)
minecraft.used.stripped_oak_wood: #2, 717(30%)
minecraft.mined.oxidized_cut_copper_slab: #2, 389(30%)
minecraft.picked_up.sand: #2, 317477(17%)
minecraft.mined.gold_ore: #2, 1283(20%)
minecraft.mined.nether_quartz_ore: #1, 8785(14%)
minecraft.dropped.stone_axe: #1, 22(18%)
minecraft.mined.pumpkin: #2, 1760(17%)
minecraft.picked_up.potion: #2, 569(16%)
minecraft.custom.fall_one_cm: #2, 24348416(10%)
minecraft.used.deepslate: #2, 28587(18%)
minecraft.crafted.birch_trapdoor: #2, 664(22%)
minecraft.picked_up.exposed_cut_copper_slab: #1, 112(55%)
minecraft.crafted.oxidized_cut_copper: #1, 628(26%)
minecraft.crafted.waxed_weathered_cut_copper_stairs: #1, 372(76%)
minecraft.picked_up.cobweb: #1, 973(21%)
minecraft.used.ladder: #1, 1118(12%)
minecraft.dropped.mangrove_wood: #1, 59(75%)
minecraft.used.yellow_concrete: #2, 3172(23%)
minecraft.used.blue_wool: #2, 842(29%)
minecraft.killed.warden: #1, 38(36%)
minecraft.picked_up.bamboo: #2, 45779(17%)
minecraft.used.brown_terracotta: #2, 4632(22%)
minecraft.dropped.sandstone_stairs: #1, 192(90%)
minecraft.crafted.stone_axe: #1, 23(14%)
minecraft.used.waxed_oxidized_copper: #1, 515(33%)
minecraft.used.sandstone_stairs: #1, 452(30%)
minecraft.mined.pink_concrete: #2, 1968(29%)
minecraft.dropped.smooth_sandstone: #2, 509(38%)
minecraft.crafted.waxed_oxidized_cut_copper_stairs: #1, 646(88%)
minecraft.crafted.chiseled_red_sandstone: #1, 14(70%)
minecraft.mined.warped_fence_gate: #1, 17(39%)
minecraft.used.oak_fence: #1, 641(12%)
minecraft.picked_up.dripstone_block: #2, 2778(19%)
minecraft.dropped.rooted_dirt: #1, 137(25%)
minecraft.dropped.diamond_ore: #1, 24(49%)
minecraft.crafted.waxed_exposed_cut_copper_stairs: #1, 413(68%)
minecraft.picked_up.gold_ingot: #2, 5862(18%)
minecraft.used.yellow_concrete_powder: #2, 3888(20%)
minecraft.mined.cobweb: #2, 986(17%)
minecraft.killed_by.slime: #1, 10(48%)
minecraft.picked_up.warped_fence_gate: #1, 17(37%)
minecraft.picked_up.tinted_glass: #2, 1261(21%)
minecraft.crafted.acacia_trapdoor: #2, 2590(25%)
minecraft.mined.stripped_jungle_log: #2, 971(22%)
minecraft.mined.magma_block: #2, 7059(15%)
minecraft.picked_up.waxed_exposed_cut_copper: #1, 89(32%)
minecraft.crafted.white_stained_glass: #2, 10320(18%)
minecraft.dropped.yellow_concrete: #1, 65(46%)
minecraft.used.oxidized_cut_copper: #2, 644(23%)
minecraft.killed_by.creeper: #2, 18(16%)
minecraft.picked_up.target: #2, 147(21%)
minecraft.picked_up.copper_ore: #1, 3190(12%)
minecraft.mined.smooth_sandstone_stairs: #2, 470(28%)
minecraft.dropped.azalea_leaves: #2, 854(26%)
minecraft.picked_up.honey_block: #2, 636(16%)
minecraft.picked_up.note_block: #2, 284(16%)
minecraft.mined.birch_fence_gate: #1, 35(22%)
minecraft.picked_up.stripped_oak_wood: #2, 490(20%)
minecraft.mined.stripped_oak_wood: #2, 500(21%)
minecraft.picked_up.polished_deepslate_slab: #2, 993(16%)
minecraft.used.redstone_block: #2, 3462(15%)
minecraft.mined.mossy_cobblestone_stairs: #1, 29(25%)
minecraft.used.powered_rail: #2, 6192(15%)
minecraft.used.ochre_froglight: #2, 1985(21%)
minecraft.mined.dead_fire_coral_wall_fan: #1, 139(99%)
minecraft.crafted.waxed_oxidized_cut_copper_slab: #1, 894(74%)
minecraft.used.dead_fire_coral_fan: #1, 131(98%)
minecraft.picked_up.diamond_ore: #1, 53(16%)
minecraft.picked_up.flowering_azalea_leaves: #2, 4062(14%)
minecraft.crafted.warped_fence_gate: #1, 85(27%)
minecraft.dropped.oak_fence_gate: #1, 18(37%)
minecraft.picked_up.smooth_sandstone_stairs: #2, 452(26%)
minecraft.picked_up.tuff: #2, 20532(12%)
minecraft.mined.white_stained_glass: #2, 1432(18%)
minecraft.mined.iron_trapdoor: #2, 195(19%)
minecraft.dropped.oxidized_cut_copper_slab: #1, 58(48%)
minecraft.mined.powered_rail: #2, 1465(15%)
minecraft.mined.oxidized_copper: #2, 4922(16%)
minecraft.picked_up.green_stained_glass: #2, 638(25%)
minecraft.picked_up.stripped_jungle_log: #3, 1392(25%)
minecraft.used.hopper_minecart: #2, 285(15%)
minecraft.crafted.sticky_piston: #3, 2666(19%)
minecraft.killed_by.zombie: #1, 12(15%)
minecraft.mined.black_concrete: #2, 10442(15%)
minecraft.dropped.sandstone: #2, 1516(17%)
minecraft.crafted.powered_rail: #2, 4888(16%)
minecraft.used.weathered_cut_copper_slab: #1, 104(31%)
minecraft.crafted.black_concrete: #1, 1024(46%)
minecraft.picked_up.netherite_pickaxe: #2, 114(13%)
minecraft.crafted.oak_fence_gate: #2, 191(20%)
minecraft.picked_up.magma_block: #2, 5843(13%)
minecraft.picked_up.deepslate: #2, 59086(13%)
minecraft.picked_up.powered_rail: #2, 2123(14%)
minecraft.picked_up.brown_mushroom: #2, 1479(15%)
minecraft.crafted.stripped_oak_wood: #1, 201(38%)
minecraft.mined.quartz_slab: #2, 449(19%)
minecraft.picked_up.cherry_planks: #2, 120(37%)
minecraft.dropped.tinted_glass: #1, 946(44%)
minecraft.crafted.black_dye: #2, 15128(13%)
minecraft.dropped.muddy_mangrove_roots: #2, 427(45%)
minecraft.mined.bamboo_block: #2, 139(33%)
minecraft.crafted.waxed_weathered_copper: #1, 735(52%)
minecraft.crafted.oak_slab: #3, 4610(16%)
minecraft.picked_up.white_stained_glass: #2, 2099(17%)
minecraft.mined.deepslate: #2, 155460(12%)
minecraft.used.repeater: #2, 2656(13%)
minecraft.mined.white_bed: #2, 280(12%)
minecraft.dropped.dripstone_block: #2, 511(19%)
minecraft.picked_up.charcoal: #2, 1185(16%)
minecraft.used.iron_door: #2, 92(14%)
minecraft.used.waxed_cut_copper_stairs: #1, 135(28%)
minecraft.mined.anvil: #2, 155(14%)
minecraft.used.warped_fence: #1, 300(15%)
minecraft.dropped.damaged_anvil: #1, 5(31%)
minecraft.dropped.smooth_sandstone_slab: #1, 20(62%)
minecraft.used.netherite_axe: #1, 75195(18%)
minecraft.crafted.acacia_fence: #1, 195(22%)
minecraft.used.honey_block: #2, 1358(14%)
minecraft.mined.scaffolding: #2, 13362(14%)
minecraft.picked_up.white_bed: #2, 294(12%)
minecraft.killed.pillager: #2, 395231(13%)
minecraft.custom.tune_noteblock: #2, 3667(10%)
minecraft.crafted.acacia_planks: #2, 8664(13%)
minecraft.used.cut_copper_stairs: #2, 1000(18%)
minecraft.used.firework_rocket: #3, 85091(10%)
minecraft.mined.flowering_azalea_leaves: #2, 3580(13%)
minecraft.mined.mangrove_stairs: #1, 36(17%)
minecraft.used.rail: #2, 8362(12%)
minecraft.crafted.stripped_acacia_wood: #1, 69(57%)
minecraft.dropped.nether_wart_block: #2, 1178(17%)
minecraft.picked_up.tube_coral_fan: #2, 392(17%)
minecraft.crafted.waxed_oxidized_cut_copper: #1, 255(46%)
minecraft.picked_up.mossy_stone_bricks: #2, 272(14%)
minecraft.custom.leave_game: #4, 2663(7%)
minecraft.crafted.netherite_axe: #1, 3(19%)
minecraft.picked_up.oxidized_cut_copper_stairs: #2, 178(16%)
minecraft.crafted.sponge: #2, 1640(32%)
minecraft.killed_by.skeleton: #2, 15(14%)
minecraft.used.emerald_block: #2, 2599(12%)
minecraft.mined.warped_trapdoor: #2, 160(18%)
minecraft.picked_up.ochre_froglight: #3, 601(20%)
minecraft.picked_up.amethyst_block: #2, 3215(13%)
minecraft.picked_up.mangrove_wood: #2, 165(26%)
minecraft.used.green_bed: #2, 181(16%)
minecraft.picked_up.blue_concrete: #2, 385(17%)
minecraft.crafted.minecart: #2, 769(12%)
minecraft.crafted.waxed_cut_copper_stairs: #1, 140(36%)
minecraft.used.obsidian: #3, 6346(15%)
minecraft.crafted.stripped_birch_wood: #1, 828(70%)
minecraft.used.warped_fence_gate: #1, 72(23%)
minecraft.picked_up.white_glazed_terracotta: #2, 424(34%)
minecraft.mined.rail: #3, 6335(14%)
minecraft.mined.gray_stained_glass: #2, 132(19%)
minecraft.crafted.weathered_cut_copper: #1, 44(22%)
minecraft.used.anvil: #2, 360(10%)
minecraft.mined.tube_coral_wall_fan: #2, 351(17%)
minecraft.picked_up.redstone_block: #2, 2346(11%)
minecraft.crafted.coarse_dirt: #3, 6600(14%)
minecraft.mined.quartz_stairs: #2, 80(17%)
minecraft.picked_up.mangrove_propagule: #2, 1507(15%)
minecraft.dropped.dark_oak_button: #2, 157(25%)
minecraft.mined.oxidized_cut_copper_stairs: #2, 148(17%)
minecraft.killed_by.warden: #2, 33(13%)
minecraft.picked_up.acacia_wood: #2, 144(15%)
minecraft.used.gray_stained_glass: #2, 4584(16%)
minecraft.picked_up.netherite_helmet: #2, 46(16%)
minecraft.picked_up.oxidized_copper: #3, 5024(15%)
minecraft.mined.mossy_stone_bricks: #2, 220(12%)
minecraft.killed.witch: #2, 85357(13%)
minecraft.crafted.fletching_table: #2, 32(21%)
minecraft.used.grass: #2, 1366(15%)
minecraft.crafted.stripped_mangrove_wood: #1, 237(37%)
minecraft.used.light_blue_concrete_powder: #2, 608(16%)
minecraft.dropped.brown_terracotta: #2, 136(16%)
minecraft.killed_by.drowned: #2, 15(10%)
minecraft.dropped.cobbled_deepslate: #2, 4213(10%)
minecraft.custom.play_time: #4, 157556109(7%)
minecraft.custom.total_world_time: #4, 157556109(7%)
minecraft.crafted.pink_wool: #2, 768(26%)
minecraft.mined.rose_bush: #2, 50(10%)
minecraft.custom.target_hit: #2, 275(9%)
minecraft.mined.azalea_leaves: #2, 8473(10%)
minecraft.crafted.end_stone_brick_wall: #2, 80(35%)
minecraft.used.cut_sandstone_slab: #2, 3642(40%)
minecraft.used.coarse_dirt: #3, 6242(13%)
minecraft.used.bread: #2, 936(13%)
minecraft.killed.llama: #1, 7(88%)
minecraft.mined.birch_slab: #2, 91(16%)
minecraft.dropped.pink_concrete: #1, 125(86%)
minecraft.used.daylight_detector: #3, 207(25%)
minecraft.crafted.oak_fence: #2, 537(10%)
minecraft.picked_up.turtle_helmet: #1, 8(42%)
minecraft.picked_up.netherite_axe: #2, 44(13%)
minecraft.used.birch_wood: #3, 634(20%)
minecraft.dropped.bamboo_raft: #2, 8(30%)
minecraft.used.blue_concrete: #2, 318(17%)
minecraft.picked_up.white_concrete: #3, 10098(14%)
minecraft.mined.cobblestone_stairs: #3, 204(16%)
minecraft.crafted.lead: #2, 116(13%)
minecraft.mined.dead_tube_coral_wall_fan: #1, 27(82%)
minecraft.used.mangrove_propagule: #2, 1221(15%)
minecraft.custom.jump: #3, 634371(6%)
minecraft.picked_up.netherite_sword: #2, 42(14%)
minecraft.crafted.netherite_hoe: #1, 3(23%)
minecraft.picked_up.magenta_concrete: #2, 266(19%)
minecraft.picked_up.wet_sponge: #2, 2595(14%)
minecraft.used.sandstone: #3, 5889(15%)
minecraft.picked_up.netherite_shovel: #2, 46(15%)
minecraft.crafted.diamond_sword: #2, 12(8%)
minecraft.used.beacon: #2, 80(10%)
minecraft.crafted.repeater: #3, 2336(13%)
minecraft.mined.amethyst_block: #2, 2234(10%)
minecraft.mined.tuff: #2, 13553(8%)
minecraft.used.sponge: #2, 2557(15%)
minecraft.picked_up.iron_ingot: #2, 4636(7%)
minecraft.used.chiseled_nether_bricks: #2, 29(28%)
minecraft.crafted.gray_stained_glass: #2, 4872(13%)
minecraft.custom.open_shulker_box: #3, 82929(7%)
minecraft.used.villager_spawn_egg: #1, 3(75%)
minecraft.killed_by.spider: #1, 2(25%)
minecraft.mined.infested_mossy_stone_bricks: #1, 3(30%)
minecraft.mined.birch_trapdoor: #2, 77(13%)
minecraft.picked_up.elytra: #3, 150(8%)
minecraft.picked_up.birch_trapdoor: #2, 129(11%)
minecraft.mined.daylight_detector: #2, 44(24%)
minecraft.picked_up.poppy: #3, 3176(11%)
minecraft.mined.pointed_dripstone: #3, 452(15%)
minecraft.mined.wet_sponge: #2, 2447(14%)
minecraft.mined.redstone_block: #2, 1473(9%)
minecraft.picked_up.bamboo_block: #3, 211(26%)
minecraft.dropped.pointed_dripstone: #3, 332(15%)
minecraft.crafted.wild_armor_trim_smithing_template: #1, 6(27%)
minecraft.used.furnace_minecart: #2, 25(18%)
minecraft.picked_up.coal_block: #2, 554(10%)
minecraft.mined.emerald_block: #3, 1798(12%)
minecraft.killed.villager: #2, 30(19%)
minecraft.picked_up.gray_concrete: #3, 4768(13%)
