stat, rank, value, (percentage) 
minecraft.used.acacia_fence: #4, 38(7%)
minecraft.mined.stripped_bamboo_block: #4, 24(8%)
minecraft.mined.note_block: #5, 86(7%)
minecraft.picked_up.stripped_bamboo_block: #4, 24(8%)
minecraft.used.oak_boat: #5, 73(6%)
minecraft.mined.dispenser: #5, 119(7%)
minecraft.picked_up.redstone: #5, 12243(6%)
minecraft.used.netherite_sword: #4, 25489(7%)
minecraft.crafted.polished_granite_stairs: #4, 29(9%)
minecraft.crafted.netherite_leggings: #4, 3(8%)
minecraft.dropped.warped_fungus: #4, 28(6%)
minecraft.crafted.birch_stairs: #5, 240(9%)
minecraft.picked_up.spruce_wood: #5, 275(8%)
minecraft.broken.golden_axe: #4, 2(10%)
minecraft.mined.fletching_table: #4, 10(8%)
minecraft.used.waxed_cut_copper: #4, 55(7%)
minecraft.crafted.spruce_trapdoor: #5, 1418(5%)
minecraft.crafted.gray_concrete_powder: #5, 5232(9%)
minecraft.crafted.black_glazed_terracotta: #4, 192(6%)
minecraft.mined.smooth_basalt: #5, 1366(7%)
minecraft.picked_up.weathered_cut_copper_stairs: #4, 3(9%)
minecraft.used.nether_gold_ore: #4, 54(7%)
minecraft.crafted.cobbled_deepslate_wall: #4, 63(6%)
minecraft.dropped.slime_ball: #5, 958(9%)
minecraft.crafted.waxed_copper_block: #4, 217(10%)
minecraft.mined.blue_concrete_powder: #4, 2(8%)
minecraft.crafted.smooth_sandstone_slab: #4, 126(6%)
minecraft.used.crimson_fungus: #4, 225(4%)
minecraft.picked_up.deepslate_copper_ore: #5, 123(9%)
minecraft.used.birch_sign: #5, 296(5%)
minecraft.crafted.end_stone_bricks: #4, 222(8%)
minecraft.crafted.glowstone: #5, 1820(7%)
minecraft.used.pink_wool: #5, 961(10%)
minecraft.mined.lightning_rod: #5, 75(7%)
minecraft.mined.diamond_ore: #5, 31(7%)
minecraft.used.chiseled_sandstone: #4, 23(5%)
minecraft.used.brain_coral_fan: #4, 27(4%)
minecraft.mined.andesite_stairs: #5, 35(9%)
minecraft.dropped.tuff: #5, 1468(6%)
minecraft.picked_up.dragon_head: #5, 15(8%)
minecraft.picked_up.oak_planks: #5, 972(5%)
minecraft.dropped.axolotl_bucket: #4, 1(7%)
minecraft.mined.lily_of_the_valley: #5, 24(7%)
minecraft.picked_up.small_dripleaf: #4, 18(5%)
minecraft.crafted.black_concrete_powder: #5, 12944(7%)
minecraft.dropped.deepslate_iron_ore: #4, 14(4%)
minecraft.used.lime_wool: #4, 172(3%)
minecraft.crafted.name_tag: #4, 134(3%)
minecraft.used.cake: #4, 4(3%)
minecraft.dropped.netherite_hoe: #4, 1(4%)
minecraft.picked_up.dark_oak_leaves: #5, 1199(7%)
minecraft.crafted.iron_trapdoor: #5, 397(7%)
minecraft.crafted.waxed_weathered_cut_copper_slab: #4, 50(13%)
minecraft.mined.activator_rail: #4, 27(4%)
minecraft.mined.cherry_planks: #4, 12(8%)
minecraft.dropped.waxed_weathered_cut_copper_slab: #4, 1(10%)
minecraft.picked_up.oak_boat: #5, 66(5%)
minecraft.mined.oak_stairs: #5, 94(6%)
minecraft.dropped.end_stone: #4, 47(4%)
minecraft.custom.deaths: #6, 358(5%)
minecraft.dropped.stone_sword: #4, 18(2%)
minecraft.picked_up.cake: #4, 4(5%)
minecraft.used.red_sandstone_wall: #4, 23(6%)
minecraft.crafted.pumpkin_pie: #4, 1440(3%)
minecraft.crafted.sandstone_slab: #4, 218(5%)
minecraft.used.trapped_chest: #4, 2(6%)
minecraft.dropped.red_mushroom_block: #4, 105(4%)
minecraft.crafted.waxed_exposed_cut_copper: #4, 48(9%)
minecraft.used.dispenser: #5, 360(6%)
minecraft.dropped.oxidized_cut_copper_stairs: #4, 1(9%)
minecraft.picked_up.lapis_ore: #5, 125(6%)
minecraft.crafted.golden_carrot: #5, 4515(6%)
minecraft.mined.end_stone: #4, 1331(2%)
minecraft.crafted.purple_bed: #4, 3(5%)
minecraft.dropped.chipped_anvil: #4, 1(6%)
minecraft.mined.lime_glazed_terracotta: #4, 3(7%)
minecraft.dropped.raw_iron: #5, 120(5%)
minecraft.broken.stone_hoe: #4, 1(4%)
minecraft.used.moss_block: #5, 9213(5%)
minecraft.used.heavy_weighted_pressure_plate: #4, 226(2%)
minecraft.crafted.exposed_cut_copper_slab: #4, 8(6%)
minecraft.crafted.chest: #6, 5310(7%)
minecraft.picked_up.dark_oak_button: #5, 59(8%)
minecraft.mined.polished_granite_stairs: #4, 13(8%)
minecraft.used.lime_terracotta: #5, 3119(5%)
minecraft.dropped.lime_carpet: #4, 18(5%)
minecraft.used.vine: #5, 71(8%)
minecraft.picked_up.light_gray_stained_glass_pane: #5, 74(7%)
minecraft.used.raw_gold_block: #4, 90(2%)
minecraft.crafted.sandstone_wall: #4, 62(3%)
minecraft.used.red_concrete_powder: #5, 1778(6%)
minecraft.mined.exposed_copper: #5, 143(6%)
minecraft.picked_up.pink_wool: #4, 109(2%)
minecraft.crafted.netherite_chestplate: #4, 1(4%)
minecraft.picked_up.damaged_anvil: #5, 13(6%)
minecraft.picked_up.crimson_fence_gate: #4, 4(4%)
minecraft.mined.crimson_fence_gate: #4, 4(5%)
minecraft.dropped.andesite: #5, 1114(5%)
minecraft.picked_up.coal: #6, 11867(7%)
minecraft.mined.red_nether_bricks: #4, 11(4%)
minecraft.mined.green_stained_glass_pane: #4, 13(3%)
minecraft.mined.warped_hanging_sign: #4, 1(4%)
minecraft.used.white_dye: #5, 99(6%)
minecraft.dropped.lime_wool: #4, 60(4%)
minecraft.dropped.brown_mushroom: #5, 71(7%)
minecraft.dropped.oak_log: #5, 644(5%)
minecraft.picked_up.player_head: #6, 1699(6%)
minecraft.picked_up.birch_fence: #5, 144(6%)
minecraft.crafted.enchanting_table: #5, 4(6%)
minecraft.picked_up.lectern: #6, 734(8%)
minecraft.crafted.oxidized_cut_copper_slab: #5, 206(9%)
minecraft.picked_up.diamond_leggings: #6, 63(6%)
minecraft.dropped.iron_hoe: #4, 1(3%)
minecraft.mined.wither_skeleton_wall_skull: #4, 1(3%)
minecraft.picked_up.warped_hanging_sign: #4, 1(3%)
minecraft.used.red_concrete: #5, 1262(5%)
minecraft.picked_up.waxed_oxidized_copper: #4, 23(2%)
minecraft.picked_up.gray_concrete_powder: #5, 877(6%)
minecraft.used.cobbled_deepslate_slab: #5, 1423(5%)
minecraft.used.weathered_cut_copper_stairs: #4, 5(2%)
minecraft.used.clay: #5, 1666(5%)
minecraft.dropped.white_concrete: #4, 119(2%)
minecraft.used.acacia_wood: #5, 409(7%)
minecraft.dropped.coal_block: #5, 32(9%)
minecraft.crafted.purpur_pillar: #4, 2(3%)
minecraft.used.black_stained_glass_pane: #5, 326(8%)
minecraft.picked_up.powder_snow_bucket: #4, 8(1%)
minecraft.crafted.cherry_planks: #5, 264(6%)
minecraft.crafted.purpur_block: #4, 20(3%)
minecraft.picked_up.flowering_azalea: #6, 631(8%)
minecraft.killed.stray: #4, 1(2%)
minecraft.mined.lectern: #6, 731(8%)
minecraft.used.cobbled_deepslate_wall: #5, 225(7%)
minecraft.picked_up.cut_copper_stairs: #6, 54(9%)
minecraft.mined.mushroom_stem: #5, 2047(4%)
minecraft.dropped.brain_coral_fan: #4, 2(2%)
minecraft.used.dark_oak_wood: #5, 358(5%)
minecraft.crafted.andesite_stairs: #5, 92(7%)
minecraft.mined.acacia_wood: #5, 27(6%)
minecraft.used.light_blue_glazed_terracotta: #4, 2(2%)
minecraft.crafted.cherry_wood: #4, 15(1%)
minecraft.crafted.red_nether_brick_stairs: #4, 1(2%)
minecraft.dropped.hopper_minecart: #4, 2(1%)
minecraft.used.lectern: #6, 750(8%)
minecraft.mined.calibrated_sculk_sensor: #4, 1(1%)
minecraft.killed.wither_skeleton: #4, 296(0%)
minecraft.dropped.raw_copper_block: #4, 3(1%)
minecraft.crafted.hopper_minecart: #5, 194(4%)
minecraft.crafted.lodestone: #4, 2(1%)
minecraft.dropped.dried_kelp: #4, 11(0%)
minecraft.crafted.spruce_wood: #5, 969(5%)
minecraft.crafted.charcoal: #5, 625(5%)
minecraft.used.cherry_wood: #4, 5(0%)
minecraft.picked_up.diamond_shovel: #6, 61(6%)
minecraft.dropped.melon: #4, 1(1%)
minecraft.used.dandelion: #5, 19(4%)
minecraft.mined.cobbled_deepslate_stairs: #5, 40(5%)
minecraft.picked_up.calibrated_sculk_sensor: #4, 1(1%)
minecraft.crafted.firework_star: #4, 256(0%)
minecraft.crafted.coal_block: #5, 1027(4%)
minecraft.used.honeycomb: #6, 982(9%)
minecraft.crafted.white_bed: #5, 35(4%)
minecraft.dropped.green_wool: #4, 8(0%)
minecraft.used.black_bed: #5, 50(7%)
minecraft.picked_up.sandstone_slab: #5, 157(8%)
minecraft.picked_up.diamond_sword: #6, 73(5%)
minecraft.dropped.basalt: #5, 1139(4%)
minecraft.crafted.dark_oak_wood: #5, 375(5%)
minecraft.killed.spider: #6, 174(6%)
minecraft.used.jungle_wood: #5, 114(7%)
minecraft.mined.oxidized_cut_copper: #5, 26(6%)
minecraft.picked_up.oak_wood: #5, 67(6%)
minecraft.used.diamond_shovel: #6, 230685(6%)
minecraft.used.end_rod: #5, 223(4%)
minecraft.mined.light_blue_concrete: #5, 171(5%)
minecraft.picked_up.muddy_mangrove_roots: #5, 443(6%)
minecraft.dropped.copper_ore: #5, 107(4%)
minecraft.used.deepslate_brick_wall: #5, 407(5%)
minecraft.used.light_blue_concrete: #5, 153(6%)
minecraft.picked_up.polished_deepslate_wall: #6, 319(9%)
minecraft.picked_up.crimson_fungus: #5, 372(4%)
minecraft.used.spruce_leaves: #6, 3339(7%)
minecraft.used.brown_concrete: #5, 96(6%)
minecraft.picked_up.light_blue_concrete: #5, 168(5%)
minecraft.dropped.stone_slab: #5, 286(4%)
minecraft.picked_up.iron_horse_armor: #5, 3(6%)
minecraft.dropped.diamond_pickaxe: #6, 21(5%)
minecraft.picked_up.bundle: #6, 94(8%)
minecraft.crafted.oak_sign: #6, 192(6%)
minecraft.picked_up.chicken: #5, 1311(3%)
minecraft.picked_up.shroomlight: #6, 420(7%)
minecraft.custom.interact_with_smithing_table: #6, 93(6%)
minecraft.crafted.cobbled_deepslate_stairs: #5, 102(5%)
minecraft.broken.diamond_shovel: #5, 4(6%)
minecraft.used.spruce_trapdoor: #6, 1586(6%)
minecraft.broken.stone_axe: #5, 2(5%)
minecraft.crafted.comparator: #6, 876(7%)
minecraft.picked_up.stone_sword: #5, 23(3%)
minecraft.picked_up.axolotl_bucket: #5, 6(5%)
minecraft.used.purple_wool: #5, 277(5%)
minecraft.used.prismarine_bricks: #5, 399(4%)
minecraft.picked_up.golden_sword: #5, 47(3%)
minecraft.dropped.lapis_lazuli: #5, 151(3%)
minecraft.used.fern: #5, 88(4%)
minecraft.used.andesite_slab: #5, 363(4%)
minecraft.used.diamond_chestplate: #5, 6(5%)
minecraft.used.dropper: #6, 614(6%)
minecraft.dropped.iron_nugget: #5, 1257(2%)
minecraft.used.purple_concrete_powder: #5, 344(4%)
minecraft.picked_up.nether_brick: #5, 583(5%)
minecraft.mined.ladder: #6, 112(6%)
minecraft.used.birch_pressure_plate: #5, 9(7%)
minecraft.picked_up.fletching_table: #5, 9(7%)
minecraft.mined.chorus_plant: #5, 21(4%)
minecraft.mined.spruce_fence_gate: #5, 28(3%)
minecraft.mined.poppy: #6, 200(6%)
minecraft.used.mangrove_roots: #5, 240(3%)
minecraft.dropped.lily_pad: #5, 8(6%)
minecraft.dropped.golden_sword: #5, 43(3%)
minecraft.dropped.spruce_wood: #5, 59(8%)
minecraft.used.sandstone_slab: #5, 398(6%)
minecraft.crafted.waxed_cut_copper_slab: #5, 42(9%)
minecraft.used.oak_sign: #6, 197(5%)
minecraft.crafted.stone_shovel: #5, 20(2%)
minecraft.used.leather_chestplate: #5, 2(4%)
minecraft.dropped.cyan_shulker_box: #6, 6(6%)
minecraft.crafted.oak_trapdoor: #6, 518(6%)
minecraft.used.warped_planks: #6, 2007(7%)
minecraft.crafted.jungle_wood: #5, 123(4%)
minecraft.mined.lime_terracotta: #5, 205(2%)
minecraft.crafted.gray_dye: #6, 1996(6%)
minecraft.picked_up.white_banner: #6, 309(6%)
minecraft.used.gray_terracotta: #5, 1298(3%)
minecraft.used.magenta_wool: #5, 176(4%)
minecraft.used.black_concrete_powder: #6, 13101(7%)
minecraft.crafted.birch_pressure_plate: #5, 9(5%)
minecraft.picked_up.warped_button: #6, 56(7%)
minecraft.dropped.golden_helmet: #5, 13(3%)
minecraft.crafted.dark_prismarine: #5, 1280(5%)
minecraft.used.poppy: #6, 36(6%)
minecraft.crafted.iron_block: #6, 7739(5%)
minecraft.crafted.brown_terracotta: #6, 408(9%)
minecraft.mined.cornflower: #6, 32(6%)
minecraft.used.birch_button: #5, 29(3%)
minecraft.dropped.jungle_sapling: #5, 16(5%)
minecraft.mined.green_concrete_powder: #5, 60(3%)
minecraft.mined.orange_terracotta: #6, 3900(6%)
minecraft.picked_up.green_banner: #5, 7(5%)
minecraft.used.pearlescent_froglight: #6, 328(7%)
minecraft.crafted.bow: #6, 282(5%)
minecraft.picked_up.feather: #6, 2017(5%)
minecraft.crafted.sandstone_stairs: #5, 25(4%)
minecraft.dropped.ochre_froglight: #5, 17(6%)
minecraft.used.lightning_rod: #6, 243(6%)
minecraft.picked_up.hopper_minecart: #5, 106(2%)
minecraft.used.bubble_coral_fan: #5, 24(3%)
minecraft.picked_up.ice: #6, 10434(5%)
minecraft.crafted.netherite_scrap: #5, 100(3%)
minecraft.crafted.stripped_spruce_wood: #5, 48(3%)
minecraft.picked_up.end_stone: #5, 1225(2%)
minecraft.crafted.polished_granite_slab: #5, 78(3%)
minecraft.crafted.anvil: #6, 219(5%)
minecraft.picked_up.hopper: #6, 592(5%)
minecraft.mined.mossy_stone_brick_wall: #5, 4(5%)
minecraft.used.purple_concrete: #5, 226(3%)
minecraft.dropped.sculk_catalyst: #5, 9(4%)
minecraft.picked_up.birch_log: #6, 5350(4%)
minecraft.dropped.polished_andesite: #5, 75(2%)
minecraft.mined.brown_concrete: #6, 220(7%)
minecraft.dropped.spruce_stairs: #5, 13(3%)
minecraft.crafted.mangrove_fence_gate: #5, 4(3%)
minecraft.used.end_stone_brick_stairs: #5, 27(5%)
minecraft.used.green_banner: #5, 15(3%)
minecraft.crafted.dark_oak_planks: #6, 15104(4%)
minecraft.used.waxed_cut_copper_slab: #5, 30(4%)
minecraft.crafted.blue_concrete_powder: #5, 320(2%)
minecraft.killed.phantom: #6, 47(5%)
minecraft.dropped.birch_button: #5, 4(4%)
minecraft.custom.inspect_dropper: #6, 1328(4%)
minecraft.picked_up.orange_terracotta: #6, 3777(5%)
minecraft.mined.water_cauldron: #5, 4(2%)
minecraft.mined.black_terracotta: #5, 168(2%)
minecraft.mined.pink_terracotta: #5, 24(2%)
minecraft.crafted.granite_wall: #5, 27(3%)
minecraft.dropped.jukebox: #5, 1(4%)
minecraft.dropped.comparator: #5, 16(2%)
minecraft.picked_up.pink_terracotta: #6, 147(7%)
minecraft.picked_up.gray_stained_glass: #6, 105(7%)
minecraft.crafted.cookie: #5, 216(3%)
minecraft.mined.light_blue_concrete_powder: #5, 8(3%)
minecraft.crafted.acacia_wood: #6, 549(7%)
minecraft.mined.purple_wool: #5, 13(2%)
minecraft.dropped.deepslate: #6, 3581(4%)
minecraft.crafted.yellow_carpet: #5, 198(1%)
minecraft.used.orange_terracotta: #6, 598(6%)
minecraft.used.carved_pumpkin: #7, 55(7%)
minecraft.picked_up.gray_terracotta: #5, 363(1%)
minecraft.picked_up.brown_concrete: #6, 229(7%)
minecraft.mined.ice: #6, 11827(4%)
minecraft.dropped.bamboo_block: #5, 10(3%)
minecraft.picked_up.exposed_copper: #6, 143(5%)
minecraft.crafted.cracked_polished_blackstone_bricks: #5, 68(2%)
minecraft.mined.red_concrete: #6, 1482(4%)
minecraft.dropped.warped_trapdoor: #5, 3(2%)
minecraft.used.brown_glazed_terracotta: #5, 42(2%)
minecraft.picked_up.raw_gold_block: #5, 32(1%)
minecraft.picked_up.stripped_acacia_wood: #5, 9(2%)
minecraft.used.rotten_flesh: #5, 24(1%)
minecraft.crafted.jungle_pressure_plate: #5, 2(2%)
minecraft.crafted.gray_glazed_terracotta: #5, 92(2%)
minecraft.picked_up.polished_granite_stairs: #5, 11(2%)
minecraft.crafted.brown_glazed_terracotta: #5, 65(2%)
minecraft.used.mangrove_fence_gate: #5, 2(2%)
minecraft.custom.interact_with_crafting_table: #7, 4791(5%)
minecraft.picked_up.splash_potion: #6, 34(4%)
minecraft.used.deepslate_coal_ore: #5, 1(2%)
minecraft.crafted.stone_button: #6, 1199(4%)
minecraft.mined.big_dripleaf: #6, 17(5%)
minecraft.crafted.glistering_melon_slice: #5, 25(1%)
minecraft.dropped.purple_bed: #5, 1(2%)
minecraft.mined.coal_ore: #7, 8035(6%)
minecraft.picked_up.stripped_spruce_log: #6, 518(4%)
minecraft.dropped.green_stained_glass: #5, 1(1%)
minecraft.picked_up.waxed_weathered_cut_copper: #5, 6(1%)
minecraft.used.calibrated_sculk_sensor: #5, 2(1%)
minecraft.mined.brown_glazed_terracotta: #5, 8(1%)
minecraft.dropped.birch_trapdoor: #5, 2(1%)
minecraft.picked_up.heavy_weighted_pressure_plate: #5, 47(0%)
minecraft.crafted.diamond_shovel: #6, 11(4%)
minecraft.crafted.warped_pressure_plate: #5, 3(1%)
minecraft.dropped.netherite_axe: #6, 5(6%)
minecraft.picked_up.honeycomb_block: #5, 20(1%)
minecraft.dropped.bubble_coral_fan: #5, 1(1%)
minecraft.crafted.chiseled_sandstone: #5, 2(1%)
minecraft.picked_up.black_concrete_powder: #6, 2355(5%)
minecraft.mined.hopper: #6, 387(4%)
minecraft.dropped.nether_brick: #5, 12(0%)
minecraft.picked_up.stone: #7, 186887(6%)
minecraft.picked_up.golden_helmet: #6, 19(4%)
minecraft.dropped.black_stained_glass_pane: #5, 1(1%)
minecraft.used.red_nether_brick_stairs: #5, 1(1%)
minecraft.crafted.calibrated_sculk_sensor: #5, 1(0%)
minecraft.picked_up.lime_carpet: #5, 100(0%)
minecraft.mined.waxed_weathered_cut_copper: #5, 2(0%)
minecraft.used.lodestone: #5, 2(0%)
minecraft.dropped.nether_brick_stairs: #5, 1(0%)
minecraft.used.light_gray_glazed_terracotta: #5, 8(0%)
minecraft.crafted.cracked_deepslate_tiles: #5, 2(0%)
minecraft.used.dead_brain_coral_block: #5, 5(0%)
minecraft.mined.redstone_wire: #6, 553(4%)
minecraft.dropped.mycelium: #5, 2(0%)
minecraft.used.spruce_button: #6, 47(4%)
minecraft.picked_up.chorus_fruit: #6, 349(3%)
minecraft.used.dead_tube_coral_block: #5, 1(0%)
minecraft.killed.zombified_piglin: #5, 1844(0%)
minecraft.mined.dead_horn_coral_block: #5, 3(0%)
minecraft.used.dead_horn_coral_block: #5, 2(0%)
minecraft.picked_up.dead_horn_coral_block: #5, 3(0%)
minecraft.mined.dead_tube_coral_block: #5, 1(0%)
minecraft.crafted.light_gray_glazed_terracotta: #5, 1(0%)
minecraft.crafted.firework_rocket: #6, 45504(4%)
minecraft.crafted.black_stained_glass_pane: #6, 384(7%)
minecraft.crafted.blast_furnace: #6, 39(5%)
minecraft.mined.netherrack: #6, 56463(3%)
minecraft.picked_up.golden_leggings: #6, 12(4%)
minecraft.crafted.clock: #6, 12(5%)
minecraft.mined.comparator: #6, 84(3%)
minecraft.mined.oak_pressure_plate: #6, 2(6%)
minecraft.broken.fishing_rod: #6, 3(7%)
minecraft.picked_up.mushroom_stem: #6, 1778(4%)
minecraft.mined.stone: #7, 276419(5%)
minecraft.picked_up.red_concrete: #7, 1547(6%)
minecraft.picked_up.lime_wool: #6, 179(4%)
minecraft.dropped.spruce_trapdoor: #6, 44(4%)
minecraft.used.furnace: #7, 259(5%)
minecraft.used.beehive: #6, 130(5%)
minecraft.used.diamond_sword: #6, 23925(2%)
minecraft.dropped.totem_of_undying: #6, 37(3%)
minecraft.picked_up.iron_axe: #6, 32(4%)
minecraft.mined.glass: #7, 1237(6%)
minecraft.picked_up.crimson_roots: #6, 1704(3%)
minecraft.picked_up.diamond_horse_armor: #6, 4(6%)
minecraft.used.spruce_wood: #6, 696(4%)
minecraft.crafted.oak_pressure_plate: #6, 6(5%)
minecraft.dropped.hopper: #6, 44(5%)
minecraft.mined.acacia_button: #6, 2(9%)
minecraft.picked_up.light_gray_stained_glass: #6, 264(4%)
minecraft.mined.cracked_stone_bricks: #6, 119(4%)
minecraft.used.jungle_leaves: #6, 236(5%)
minecraft.picked_up.fishing_rod: #6, 5(4%)
minecraft.dropped.white_banner: #6, 264(4%)
minecraft.used.light_blue_wool: #6, 390(3%)
minecraft.dropped.feather: #6, 145(3%)
minecraft.used.leather_leggings: #6, 2(5%)
minecraft.dropped.powered_rail: #6, 46(4%)
minecraft.crafted.crafting_table: #7, 139(5%)
minecraft.crafted.iron_boots: #6, 8(2%)
minecraft.crafted.furnace_minecart: #6, 4(5%)
minecraft.dropped.netherite_sword: #6, 3(5%)
minecraft.picked_up.waxed_weathered_copper: #6, 125(4%)
minecraft.crafted.experience_bottle: #6, 3584(5%)
minecraft.used.diamond_leggings: #7, 15(7%)
minecraft.crafted.polished_blackstone_stairs: #6, 30(4%)
minecraft.used.chest: #7, 1973(5%)
minecraft.crafted.loom: #6, 66(4%)
minecraft.dropped.slime_block: #6, 124(4%)
minecraft.used.birch_slab: #6, 150(3%)
minecraft.crafted.beehive: #6, 91(3%)
minecraft.dropped.raw_copper: #6, 328(3%)
minecraft.dropped.gunpowder: #6, 1065(2%)
minecraft.crafted.quartz_stairs: #6, 40(4%)
minecraft.used.shulker_box: #7, 3663(5%)
minecraft.picked_up.magenta_wool: #6, 177(4%)
minecraft.used.tuff: #7, 2551(5%)
minecraft.crafted.stone_pressure_plate: #6, 96(3%)
minecraft.mined.stone_slab: #7, 947(6%)
minecraft.used.end_stone_bricks: #6, 86(4%)
minecraft.picked_up.iron_nugget: #7, 3720(5%)
minecraft.mined.waxed_weathered_copper: #6, 72(4%)
minecraft.dropped.rabbit: #6, 2(4%)
minecraft.crafted.dropper: #7, 599(6%)
minecraft.picked_up.cobbled_deepslate_wall: #6, 37(4%)
minecraft.used.green_wool: #6, 190(3%)
minecraft.killed.squid: #7, 444(6%)
minecraft.picked_up.pumpkin: #6, 538(2%)
minecraft.crafted.white_dye: #7, 5599(5%)
minecraft.dropped.cobblestone: #7, 3779(5%)
minecraft.killed_by.piglin: #6, 1(4%)
minecraft.picked_up.cracked_stone_bricks: #6, 150(3%)
minecraft.crafted.magenta_shulker_box: #6, 2(3%)
minecraft.dropped.netherrack: #6, 9943(2%)
minecraft.mined.bamboo_sapling: #6, 4(2%)
minecraft.picked_up.light_blue_terracotta: #6, 162(3%)
minecraft.crafted.oak_stairs: #7, 288(6%)
minecraft.dropped.seagrass: #6, 8(4%)
minecraft.picked_up.chest: #7, 1024(4%)
minecraft.picked_up.composter: #7, 115(6%)
minecraft.dropped.yellow_terracotta: #6, 16(3%)
minecraft.picked_up.grass_block: #7, 31386(4%)
minecraft.used.leather_helmet: #6, 1(4%)
minecraft.killed_by.vex: #7, 12(6%)
minecraft.used.music_disc_blocks: #6, 3(4%)
minecraft.dropped.deepslate_gold_ore: #6, 12(4%)
minecraft.crafted.magenta_concrete_powder: #6, 224(3%)
minecraft.mined.cobblestone: #7, 2242(4%)
minecraft.picked_up.birch_pressure_plate: #6, 4(5%)
minecraft.mined.stripped_mangrove_wood: #6, 24(3%)
minecraft.used.granite_wall: #6, 80(4%)
minecraft.picked_up.smooth_stone_slab: #7, 235(6%)
minecraft.mined.waxed_cut_copper_stairs: #6, 6(4%)
minecraft.used.brown_concrete_powder: #7, 255(6%)
minecraft.picked_up.honey_bottle: #6, 39(3%)
minecraft.crafted.black_carpet: #6, 1179(3%)
minecraft.dropped.red_sand: #6, 12(3%)
minecraft.picked_up.golden_horse_armor: #6, 2(4%)
minecraft.picked_up.stripped_mangrove_wood: #6, 21(3%)
minecraft.dropped.oak_slab: #7, 29(7%)
minecraft.mined.oak_fence: #7, 94(5%)
minecraft.crafted.tnt_minecart: #6, 2(4%)
minecraft.used.enchanted_golden_apple: #6, 1(4%)
minecraft.used.orange_stained_glass_pane: #6, 27(2%)
minecraft.broken.flint_and_steel: #6, 4(2%)
minecraft.picked_up.waxed_cut_copper_stairs: #6, 6(3%)
minecraft.mined.deepslate_redstone_ore: #7, 1695(4%)
minecraft.crafted.lightning_rod: #7, 205(6%)
minecraft.used.ender_chest: #7, 766(4%)
minecraft.dropped.brown_mushroom_block: #6, 62(2%)
minecraft.used.acacia_button: #7, 15(7%)
minecraft.crafted.honeycomb_block: #6, 288(2%)
minecraft.crafted.gold_nugget: #6, 1363(2%)
minecraft.used.tnt_minecart: #6, 2(4%)
minecraft.mined.ender_chest: #7, 732(4%)
minecraft.mined.birch_pressure_plate: #6, 2(4%)
minecraft.used.wooden_axe: #7, 50(6%)
minecraft.picked_up.bamboo_trapdoor: #6, 5(2%)
minecraft.used.exposed_cut_copper_stairs: #6, 8(2%)
minecraft.used.gray_glazed_terracotta: #6, 70(3%)
minecraft.mined.yellow_carpet: #6, 27(1%)
minecraft.picked_up.nether_star: #6, 5(1%)
minecraft.dropped.redstone: #7, 633(5%)
minecraft.mined.chipped_anvil: #7, 18(5%)
minecraft.dropped.gold_block: #6, 64(1%)
minecraft.mined.bamboo_trapdoor: #6, 4(2%)
minecraft.crafted.acacia_pressure_plate: #6, 2(2%)
minecraft.used.yellow_carpet: #6, 165(1%)
minecraft.crafted.mossy_stone_brick_wall: #6, 4(2%)
minecraft.killed.zombie: #6, 968(0%)
minecraft.used.blast_furnace: #7, 50(5%)
minecraft.used.golden_axe: #6, 12(1%)
minecraft.killed.blaze: #6, 96(1%)
minecraft.used.black_carpet: #6, 1122(1%)
minecraft.crafted.mossy_stone_brick_stairs: #6, 4(2%)
minecraft.used.quartz_block: #6, 224(0%)
minecraft.dropped.blackstone: #6, 202(1%)
minecraft.killed.wither: #6, 2(1%)
minecraft.used.beef: #6, 1(2%)
minecraft.mined.waxed_cut_copper_slab: #6, 4(1%)
minecraft.picked_up.acacia_trapdoor: #7, 118(6%)
minecraft.dropped.light_blue_shulker_box: #6, 2(1%)
minecraft.crafted.beacon: #6, 3(1%)
minecraft.used.map: #7, 36(5%)
minecraft.dropped.blue_wool: #6, 13(1%)
minecraft.mined.white_banner: #6, 1(1%)
minecraft.picked_up.waxed_cut_copper_slab: #6, 3(1%)
minecraft.crafted.nether_brick_fence: #6, 30(1%)
minecraft.dropped.green_concrete_powder: #6, 4(1%)
minecraft.dropped.kelp: #7, 463(4%)
minecraft.used.stripped_bamboo_block: #6, 1(1%)
minecraft.mined.red_sandstone_wall: #6, 1(1%)
minecraft.mined.dead_brain_coral_block: #6, 10(1%)
minecraft.crafted.green_candle: #6, 17(1%)
minecraft.used.dripstone_block: #7, 284(5%)
minecraft.dropped.pearlescent_froglight: #6, 1(1%)
minecraft.mined.stripped_acacia_wood: #6, 2(0%)
minecraft.crafted.purpur_slab: #6, 2(1%)
minecraft.used.warped_trapdoor: #7, 210(5%)
minecraft.picked_up.black_glazed_terracotta: #6, 6(0%)
minecraft.used.warped_hanging_sign: #6, 1(0%)
minecraft.dropped.sandstone_slab: #6, 2(0%)
minecraft.mined.blue_carpet: #6, 1(0%)
minecraft.dropped.jungle_slab: #6, 1(0%)
minecraft.crafted.stripped_crimson_hyphae: #6, 3(0%)
minecraft.crafted.lime_glazed_terracotta: #6, 2(0%)
minecraft.used.yellow_glazed_terracotta: #6, 2(0%)
minecraft.mined.stripped_spruce_log: #7, 461(4%)
minecraft.used.fishing_rod: #7, 159(5%)
