stat, rank, value, (percentage) 
minecraft.crafted.iron_sword: #25, 1(0%)
minecraft.crafted.oak_planks: #25, 828(0%)
minecraft.used.stone_axe: #25, 29(0%)
minecraft.picked_up.porkchop: #25, 8(0%)
minecraft.mined.redstone_ore: #25, 4(0%)
minecraft.picked_up.iron_door: #25, 1(0%)
minecraft.mined.vine: #25, 8(0%)
minecraft.mined.oak_stairs: #25, 1(0%)
minecraft.dropped.netherrack: #25, 313(0%)
minecraft.killed.salmon: #25, 1(0%)
minecraft.used.deepslate_tile_slab: #25, 14(0%)
minecraft.mined.rail: #25, 22(0%)
minecraft.picked_up.rail: #25, 24(0%)
minecraft.used.cobbled_deepslate_slab: #25, 14(0%)
minecraft.mined.chain: #25, 1(0%)
minecraft.picked_up.cooked_beef: #25, 2(0%)
minecraft.used.copper_block: #25, 15(0%)
minecraft.mined.deepslate_bricks: #25, 4(0%)
minecraft.mined.redstone_block: #25, 4(0%)
minecraft.used.birch_planks: #25, 36(0%)
minecraft.crafted.acacia_planks: #25, 16(0%)
minecraft.mined.powered_rail: #25, 2(0%)
minecraft.mined.cocoa: #25, 1(0%)
minecraft.picked_up.cocoa_beans: #25, 3(0%)
minecraft.mined.polished_blackstone_bricks: #25, 4(0%)
minecraft.picked_up.redstone: #26, 1620(1%)
minecraft.custom.interact_with_furnace: #26, 295(1%)
minecraft.crafted.diamond_helmet: #26, 1(1%)
minecraft.crafted.iron_shovel: #26, 3(1%)
minecraft.mined.deepslate_gold_ore: #26, 96(1%)
minecraft.picked_up.cobbled_deepslate: #26, 4677(1%)
minecraft.picked_up.furnace: #26, 16(0%)
minecraft.used.furnace: #26, 22(0%)
minecraft.crafted.stone_axe: #26, 1(1%)
minecraft.picked_up.pumpkin_pie: #26, 64(0%)
minecraft.picked_up.birch_boat: #26, 1(0%)
minecraft.mined.dark_oak_stairs: #26, 4(0%)
minecraft.picked_up.iron_chestplate: #26, 1(0%)
minecraft.crafted.dark_oak_stairs: #26, 16(0%)
minecraft.used.dark_oak_stairs: #26, 16(0%)
minecraft.killed.cow: #26, 8(0%)
minecraft.crafted.hopper: #26, 31(0%)
minecraft.used.oak_trapdoor: #26, 7(0%)
minecraft.killed.magma_cube: #26, 10(0%)
minecraft.used.birch_sign: #26, 4(0%)
minecraft.picked_up.netherrack: #26, 645(0%)
minecraft.crafted.glass: #26, 192(0%)
minecraft.used.hopper: #26, 21(0%)
minecraft.dropped.gravel: #26, 25(0%)
minecraft.used.dark_oak_log: #26, 20(0%)
minecraft.dropped.andesite: #26, 8(0%)
minecraft.mined.podzol: #26, 13(0%)
minecraft.picked_up.oak_stairs: #26, 1(0%)
minecraft.mined.birch_planks: #26, 4(0%)
minecraft.used.birch_sapling: #26, 5(0%)
minecraft.used.dark_oak_fence: #26, 3(0%)
minecraft.crafted.dark_oak_fence: #26, 3(0%)
minecraft.picked_up.magma_cream: #26, 1(0%)
minecraft.dropped.moss_block: #26, 2(0%)
minecraft.mined.acacia_log: #26, 4(0%)
minecraft.mined.white_wool: #26, 1(0%)
minecraft.picked_up.powered_rail: #26, 2(0%)
minecraft.crafted.gold_ingot: #26, 94(0%)
minecraft.mined.cobbled_deepslate_slab: #26, 1(0%)
minecraft.mined.glow_lichen: #26, 3(0%)
minecraft.dropped.emerald: #26, 5(0%)
minecraft.mined.packed_ice: #26, 8(0%)
minecraft.picked_up.oxidized_copper: #26, 1(0%)
minecraft.picked_up.gold_nugget: #26, 10(0%)
minecraft.crafted.diamond_boots: #27, 1(1%)
minecraft.mined.deepslate: #27, 6286(0%)
minecraft.crafted.torch: #27, 728(0%)
minecraft.used.birch_boat: #27, 1(0%)
minecraft.crafted.iron_axe: #27, 1(0%)
minecraft.crafted.diamond_leggings: #27, 1(0%)
minecraft.crafted.iron_boots: #27, 1(0%)
minecraft.picked_up.raw_gold: #27, 98(0%)
minecraft.mined.oak_log: #27, 234(0%)
minecraft.used.cobbled_deepslate: #27, 195(0%)
minecraft.crafted.iron_ingot: #27, 815(0%)
minecraft.custom.crouch_one_cm: #27, 566512(0%)
minecraft.picked_up.birch_log: #27, 155(0%)
minecraft.mined.white_bed: #27, 3(0%)
minecraft.used.oak_fence: #27, 7(0%)
minecraft.picked_up.white_bed: #27, 3(0%)
minecraft.used.dirt: #27, 637(0%)
minecraft.crafted.oak_fence: #27, 6(0%)
minecraft.mined.oak_leaves: #27, 126(0%)
minecraft.crafted.white_bed: #27, 1(0%)
minecraft.picked_up.beef: #27, 15(0%)
minecraft.crafted.birch_planks: #27, 260(0%)
minecraft.picked_up.dark_oak_stairs: #27, 4(0%)
minecraft.mined.cobbled_deepslate: #27, 17(0%)
minecraft.mined.copper_ore: #27, 49(0%)
minecraft.picked_up.azalea: #27, 11(0%)
minecraft.picked_up.raw_copper: #27, 181(0%)
minecraft.crafted.oak_trapdoor: #27, 6(0%)
minecraft.mined.oak_fence: #27, 1(0%)
minecraft.used.chain: #27, 5(0%)
minecraft.dropped.flint: #27, 4(0%)
minecraft.crafted.chain: #27, 4(0%)
minecraft.used.oak_slab: #27, 3(0%)
minecraft.picked_up.minecart: #27, 1(0%)
minecraft.mined.netherrack: #27, 477(0%)
minecraft.dropped.diorite: #27, 6(0%)
minecraft.mined.wheat: #27, 7(0%)
minecraft.mined.nether_gold_ore: #27, 2(0%)
minecraft.picked_up.deepslate_bricks: #27, 4(0%)
minecraft.used.azalea: #27, 1(0%)
minecraft.mined.sand: #27, 264(0%)
minecraft.dropped.bone: #27, 6(0%)
minecraft.killed.zombie: #27, 31(0%)
minecraft.picked_up.wheat: #27, 7(0%)
minecraft.mined.calcite: #27, 7(0%)
minecraft.picked_up.sand: #27, 228(0%)
minecraft.picked_up.gunpowder: #27, 12(0%)
minecraft.picked_up.acacia_log: #27, 4(0%)
minecraft.killed.creeper: #27, 8(0%)
minecraft.mined.basalt: #27, 31(0%)
minecraft.used.deepslate_tiles: #27, 6(0%)
minecraft.picked_up.hopper: #27, 1(0%)
minecraft.picked_up.cobbled_deepslate_slab: #27, 1(0%)
minecraft.dropped.bone_meal: #27, 2(0%)
minecraft.dropped.moss_carpet: #27, 1(0%)
minecraft.picked_up.black_wool: #27, 1(0%)
minecraft.crafted.air: #27, 0(0%)
minecraft.crafted.stone_pickaxe: #28, 1(1%)
minecraft.crafted.crafting_table: #28, 11(0%)
minecraft.used.crafting_table: #28, 30(0%)
minecraft.mined.wall_torch: #28, 41(0%)
minecraft.used.torch: #28, 736(0%)
minecraft.dropped.torch: #28, 43(0%)
minecraft.picked_up.crafting_table: #28, 23(0%)
minecraft.crafted.iron_helmet: #28, 1(0%)
minecraft.mined.crafting_table: #28, 19(0%)
minecraft.custom.fall_one_cm: #28, 488689(0%)
minecraft.picked_up.leather_helmet: #28, 1(0%)
minecraft.picked_up.diamond: #28, 98(0%)
minecraft.killed.zombie_villager: #28, 1(0%)
minecraft.custom.interact_with_crafting_table: #28, 192(0%)
minecraft.mined.tuff: #28, 398(0%)
minecraft.crafted.stick: #28, 724(0%)
minecraft.mined.deepslate_diamond_ore: #28, 68(0%)
minecraft.used.cobblestone: #28, 181(0%)
minecraft.picked_up.oak_log: #28, 219(0%)
minecraft.used.white_bed: #28, 4(0%)
minecraft.picked_up.oak_planks: #28, 22(0%)
minecraft.crafted.chest: #28, 75(0%)
minecraft.dropped.dirt: #28, 76(0%)
minecraft.picked_up.birch_sapling: #28, 21(0%)
minecraft.mined.flowering_azalea: #28, 2(0%)
minecraft.dropped.iron_ingot: #28, 15(0%)
minecraft.crafted.lantern: #28, 9(0%)
minecraft.dropped.diamond: #28, 4(0%)
minecraft.picked_up.flint: #28, 10(0%)
minecraft.picked_up.white_wool: #28, 9(0%)
minecraft.picked_up.bone: #28, 21(0%)
minecraft.picked_up.poppy: #28, 7(0%)
minecraft.used.cyan_terracotta: #28, 16(0%)
minecraft.picked_up.flowering_azalea: #28, 2(0%)
minecraft.mined.deepslate_tiles: #28, 2(0%)
minecraft.used.netherrack: #28, 36(0%)
minecraft.picked_up.redstone_block: #28, 4(0%)
minecraft.picked_up.deepslate_tiles: #28, 2(0%)
minecraft.killed.skeleton: #28, 14(0%)
minecraft.picked_up.basalt: #28, 29(0%)
minecraft.picked_up.pointed_dripstone: #28, 2(0%)
minecraft.picked_up.book: #28, 7(0%)
minecraft.used.water_bucket: #28, 7(0%)
minecraft.dropped.rotten_flesh: #28, 18(0%)
minecraft.used.deepslate_bricks: #28, 6(0%)
minecraft.crafted.stone_bricks: #28, 8(0%)
minecraft.used.basalt: #28, 3(0%)
minecraft.mined.clay: #28, 4(0%)
minecraft.custom.player_kills: #29, 5(1%)
minecraft.mined.deepslate_lapis_ore: #29, 21(0%)
minecraft.crafted.furnace: #29, 9(0%)
minecraft.dropped.water_bucket: #29, 1(0%)
minecraft.custom.sneak_time: #29, 122368(0%)
minecraft.used.diamond_pickaxe: #29, 10545(0%)
minecraft.picked_up.iron_leggings: #29, 1(0%)
minecraft.mined.cobblestone: #29, 72(0%)
minecraft.used.chest: #29, 49(0%)
minecraft.picked_up.cobblestone: #29, 1254(0%)
minecraft.picked_up.dirt: #29, 778(0%)
minecraft.mined.grass_block: #29, 620(0%)
minecraft.mined.oak_trapdoor: #29, 1(0%)
minecraft.picked_up.oak_sapling: #29, 27(0%)
minecraft.picked_up.leather_boots: #29, 1(0%)
minecraft.mined.gravel: #29, 231(0%)
minecraft.mined.moss_carpet: #29, 5(0%)
minecraft.dropped.wheat_seeds: #29, 33(0%)
minecraft.picked_up.oak_fence: #29, 1(0%)
minecraft.used.birch_log: #29, 10(0%)
minecraft.picked_up.leather: #29, 7(0%)
minecraft.picked_up.rotten_flesh: #29, 24(0%)
minecraft.crafted.iron_nugget: #29, 99(0%)
minecraft.mined.stone: #29, 1154(0%)
minecraft.crafted.oak_slab: #29, 6(0%)
minecraft.mined.fire: #29, 4(0%)
minecraft.picked_up.chain: #29, 1(0%)
minecraft.picked_up.moss_block: #29, 26(0%)
minecraft.mined.dark_oak_log: #29, 29(0%)
minecraft.used.dark_oak_planks: #29, 5(0%)
minecraft.picked_up.calcite: #29, 7(0%)
minecraft.mined.cyan_terracotta: #29, 2(0%)
minecraft.used.grass_block: #29, 63(0%)
minecraft.crafted.bucket: #29, 1(0%)
minecraft.mined.snow_block: #29, 10(0%)
minecraft.picked_up.cyan_terracotta: #29, 2(0%)
minecraft.picked_up.dandelion: #29, 3(0%)
minecraft.picked_up.clay_ball: #29, 16(0%)
minecraft.mined.andesite: #29, 11(0%)
minecraft.used.moss_block: #29, 7(0%)
minecraft.picked_up.andesite: #29, 9(0%)
minecraft.used.white_wool: #29, 1(0%)
minecraft.used.iron_block: #29, 1(0%)
minecraft.picked_up.spider_eye: #29, 1(0%)
minecraft.picked_up.bone_meal: #29, 2(0%)
minecraft.crafted.iron_block: #29, 1(0%)
minecraft.crafted.diamond_sword: #30, 1(1%)
minecraft.crafted.diamond_shovel: #30, 1(0%)
minecraft.custom.jump: #30, 16545(0%)
minecraft.custom.enchant_item: #30, 4(0%)
minecraft.custom.walk_one_cm: #30, 3143247(0%)
minecraft.picked_up.torch: #30, 141(0%)
minecraft.picked_up.tuff: #30, 213(0%)
minecraft.used.lantern: #30, 10(0%)
minecraft.killed.spider: #30, 3(0%)
minecraft.custom.boat_one_cm: #30, 275861(0%)
minecraft.picked_up.oak_trapdoor: #30, 1(0%)
minecraft.used.writable_book: #30, 3(0%)
minecraft.mined.grass: #30, 30(0%)
minecraft.mined.nether_quartz_ore: #30, 29(0%)
minecraft.mined.tall_grass: #30, 7(0%)
minecraft.picked_up.iron_ingot: #30, 22(0%)
minecraft.used.oak_log: #30, 12(0%)
minecraft.picked_up.gravel: #30, 136(0%)
minecraft.custom.damage_dealt: #30, 16021(0%)
minecraft.used.diamond_shovel: #30, 781(0%)
minecraft.mined.birch_log: #30, 23(0%)
minecraft.picked_up.wheat_seeds: #30, 40(0%)
minecraft.used.granite: #30, 4(0%)
minecraft.used.moss_carpet: #30, 3(0%)
minecraft.mined.moss_block: #30, 17(0%)
minecraft.mined.dark_oak_planks: #30, 1(0%)
minecraft.picked_up.snowball: #30, 44(0%)
minecraft.mined.diorite: #30, 18(0%)
minecraft.used.tuff: #30, 3(0%)
minecraft.used.bone_meal: #30, 18(0%)
minecraft.mined.granite: #30, 9(0%)
minecraft.picked_up.granite: #30, 7(0%)
minecraft.picked_up.feather: #30, 1(0%)
minecraft.crafted.bone_meal: #30, 36(0%)
minecraft.dropped.diamond_pickaxe: #31, 2(0%)
minecraft.crafted.diamond_axe: #31, 1(1%)
minecraft.dropped.diamond_sword: #31, 1(1%)
