stat, rank, value, (percentage) 
minecraft.crafted.spruce_planks: #30, 212(0%)
minecraft.picked_up.lever: #30, 1(0%)
minecraft.mined.fire: #30, 4(0%)
minecraft.crafted.iron_nugget: #30, 63(0%)
minecraft.picked_up.moss_carpet: #30, 6(0%)
minecraft.picked_up.white_wool: #30, 2(0%)
minecraft.custom.inspect_hopper: #30, 4(0%)
minecraft.mined.spruce_planks: #30, 2(0%)
minecraft.crafted.paper: #30, 3(0%)
minecraft.mined.crafting_table: #31, 6(0%)
minecraft.used.furnace: #31, 3(0%)
minecraft.picked_up.oak_sign: #31, 1(0%)
minecraft.used.diamond_axe: #31, 382(0%)
minecraft.picked_up.spruce_trapdoor: #31, 3(0%)
minecraft.crafted.dark_oak_planks: #31, 108(0%)
minecraft.used.diamond_sword: #31, 203(0%)
minecraft.used.cobbled_deepslate: #31, 24(0%)
minecraft.used.gravel: #31, 6(0%)
minecraft.mined.shulker_box: #31, 6(0%)
minecraft.picked_up.shulker_box: #31, 6(0%)
minecraft.used.pumpkin_pie: #31, 2(0%)
minecraft.mined.birch_planks: #31, 1(0%)
minecraft.used.birch_planks: #31, 4(0%)
minecraft.mined.birch_log: #31, 2(0%)
minecraft.mined.spruce_log: #31, 1(0%)
minecraft.dropped.stone: #31, 1(0%)
minecraft.crafted.diamond_axe: #32, 1(1%)
minecraft.used.crafting_table: #32, 7(0%)
minecraft.picked_up.crafting_table: #32, 6(0%)
minecraft.custom.walk_one_cm: #32, 1714497(0%)
minecraft.mined.player_head: #32, 1(0%)
minecraft.crafted.furnace: #32, 3(0%)
minecraft.picked_up.pumpkin_pie: #32, 10(0%)
minecraft.custom.drop: #32, 134(0%)
minecraft.mined.cobblestone: #32, 21(0%)
minecraft.custom.open_shulker_box: #32, 262(0%)
minecraft.mined.torch: #32, 7(0%)
minecraft.picked_up.spruce_planks: #32, 2(0%)
minecraft.used.shulker_box: #32, 4(0%)
minecraft.picked_up.flint: #32, 1(0%)
minecraft.picked_up.gunpowder: #32, 4(0%)
minecraft.mined.deepslate_diamond_ore: #32, 1(0%)
minecraft.custom.inspect_dispenser: #32, 1(0%)
minecraft.mined.diorite: #32, 6(0%)
minecraft.dropped.dirt: #32, 1(0%)
minecraft.picked_up.gravel: #32, 5(0%)
minecraft.picked_up.golden_carrot: #33, 73(0%)
minecraft.custom.time_since_death: #33, 161973(0%)
minecraft.custom.interact_with_smithing_table: #33, 1(0%)
minecraft.custom.aviate_one_cm: #33, 9436084(0%)
minecraft.mined.wall_torch: #33, 4(0%)
minecraft.custom.time_since_rest: #33, 44030(0%)
minecraft.used.lantern: #33, 2(0%)
minecraft.used.writable_book: #33, 1(0%)
minecraft.crafted.birch_planks: #33, 28(0%)
minecraft.used.diamond_pickaxe: #33, 221(0%)
minecraft.picked_up.diorite: #33, 4(0%)
minecraft.mined.gravel: #33, 6(0%)
minecraft.killed.creeper: #33, 1(0%)
minecraft.picked_up.spruce_log: #33, 1(0%)
minecraft.custom.open_chest: #34, 564(0%)
minecraft.killed_by.player: #34, 2(0%)
minecraft.dropped.carved_pumpkin: #34, 2(0%)
minecraft.used.firework_rocket: #34, 296(0%)
minecraft.custom.open_enderchest: #34, 9(0%)
minecraft.picked_up.cobblestone: #34, 102(0%)
minecraft.custom.damage_dealt: #34, 3179(0%)
minecraft.picked_up.birch_planks: #34, 1(0%)
minecraft.mined.dirt: #34, 26(0%)
minecraft.dropped.stick: #34, 2(0%)
minecraft.mined.stone: #34, 87(0%)
minecraft.picked_up.birch_log: #34, 2(0%)
minecraft.killed.zombie: #34, 3(0%)
minecraft.dropped.rotten_flesh: #34, 1(0%)
minecraft.picked_up.diamond_leggings: #35, 1(0%)
minecraft.used.cobblestone: #35, 21(0%)
minecraft.crafted.stick: #35, 52(0%)
minecraft.custom.sleep_in_bed: #35, 4(0%)
minecraft.picked_up.dirt: #35, 41(0%)
minecraft.used.torch: #35, 6(0%)
minecraft.custom.damage_resisted: #35, 4(0%)
minecraft.mined.grass_block: #35, 18(0%)
minecraft.picked_up.diamond_sword: #36, 1(0%)
minecraft.crafted.crafting_table: #36, 2(0%)
minecraft.custom.sprint_one_cm: #36, 1031112(0%)
minecraft.custom.interact_with_crafting_table: #36, 37(0%)
minecraft.custom.interact_with_anvil: #36, 4(0%)
minecraft.custom.boat_one_cm: #36, 39716(0%)
minecraft.picked_up.torch: #36, 11(0%)
minecraft.custom.interact_with_furnace: #36, 4(0%)
minecraft.crafted.oak_planks: #36, 8(0%)
minecraft.picked_up.stick: #36, 2(0%)
minecraft.dropped.diamond_pickaxe: #37, 1(0%)
minecraft.picked_up.elytra: #37, 2(0%)
minecraft.picked_up.diamond_pickaxe: #37, 2(0%)
minecraft.custom.jump: #37, 3192(0%)
minecraft.picked_up.carved_pumpkin: #37, 5(0%)
minecraft.picked_up.player_head: #37, 5(0%)
minecraft.custom.crouch_one_cm: #37, 70551(0%)
minecraft.custom.fall_one_cm: #38, 71082(0%)
minecraft.custom.damage_taken: #38, 2811(0%)
minecraft.custom.swim_one_cm: #38, 18165(0%)
minecraft.custom.deaths: #39, 3(0%)
minecraft.custom.interact_with_lectern: #39, 2(0%)
minecraft.picked_up.firework_rocket: #40, 55(0%)
minecraft.picked_up.rotten_flesh: #40, 1(0%)
minecraft.custom.walk_under_water_one_cm: #48, 58844(0%)
minecraft.custom.sneak_time: #50, 24328(0%)
minecraft.custom.fly_one_cm: #52, 1491458(0%)
minecraft.custom.leave_game: #53, 15(0%)
minecraft.custom.walk_on_water_one_cm: #53, 10295(0%)
minecraft.custom.play_time: #54, 691712(0%)
minecraft.custom.total_world_time: #54, 691712(0%)
