stat, rank, value, (percentage) 
minecraft.crafted.crimson_slab: #2, 6884(19%)
minecraft.picked_up.golden_helmet: #2, 77(16%)
minecraft.broken.shears: #1, 51(12%)
minecraft.used.air: #2, 996(24%)
minecraft.picked_up.tropical_fish_bucket: #1, 43(62%)
minecraft.crafted.dark_oak_fence: #2, 2244(16%)
minecraft.crafted.blue_ice: #2, 3245(26%)
minecraft.picked_up.end_stone_brick_wall: #1, 33(39%)
minecraft.mined.birch_wall_sign: #2, 186(15%)
minecraft.picked_up.iron_pickaxe: #1, 19(12%)
minecraft.mined.bamboo_slab: #1, 133(62%)
minecraft.picked_up.red_shulker_box: #2, 1428(12%)
minecraft.picked_up.dead_fire_coral: #1, 10(77%)
minecraft.crafted.light_gray_shulker_box: #2, 43(20%)
minecraft.mined.redstone_ore: #1, 203(12%)
minecraft.picked_up.snowball: #2, 67166(12%)
minecraft.picked_up.polished_andesite_slab: #2, 1003(16%)
minecraft.picked_up.chainmail_helmet: #2, 25(20%)
minecraft.mined.dead_fire_coral: #1, 9(75%)
minecraft.mined.red_shulker_box: #2, 1412(12%)
minecraft.picked_up.pink_terracotta: #2, 469(22%)
minecraft.crafted.bucket: #2, 1206(12%)
minecraft.broken.golden_helmet: #1, 4(36%)
minecraft.picked_up.lapis_lazuli: #2, 10883(12%)
minecraft.used.scaffolding: #2, 37289(15%)
minecraft.dropped.black_concrete: #2, 921(27%)
minecraft.crafted.prismarine_stairs: #1, 24(71%)
minecraft.picked_up.pink_concrete: #2, 1191(22%)
minecraft.mined.polished_andesite_stairs: #2, 296(14%)
minecraft.crafted.prismarine_slab: #1, 396(56%)
minecraft.used.dead_horn_coral_block: #1, 608(46%)
minecraft.crafted.baked_potato: #2, 1181(20%)
minecraft.picked_up.pink_wool: #2, 1186(24%)
minecraft.mined.copper_ore: #2, 8038(12%)
minecraft.used.red_shulker_box: #2, 1436(12%)
minecraft.mined.vine: #2, 1669(13%)
minecraft.mined.end_stone_brick_wall: #1, 37(39%)
minecraft.mined.stone: #3, 697242(13%)
minecraft.used.brown_concrete: #2, 397(26%)
minecraft.mined.cut_copper: #2, 118(18%)
minecraft.used.coal_block: #2, 778(18%)
minecraft.used.chainmail_leggings: #1, 26(67%)
minecraft.dropped.cherry_sapling: #1, 30(44%)
minecraft.used.warped_sign: #2, 287(17%)
minecraft.crafted.stone_hoe: #1, 13(13%)
minecraft.used.wooden_hoe: #1, 235(37%)
minecraft.picked_up.chainmail_boots: #2, 22(16%)
minecraft.mined.packed_ice: #2, 34144(13%)
minecraft.custom.interact_with_brewingstand: #2, 1383(13%)
