stat, rank, value, (percentage) 
minecraft.mined.green_stained_glass: #6, 27(2%)
minecraft.used.mutton: #6, 2(4%)
minecraft.used.soul_soil: #6, 156(1%)
minecraft.mined.crimson_wall_sign: #6, 1(4%)
minecraft.mined.black_terracotta: #6, 144(2%)
minecraft.picked_up.green_stained_glass_pane: #6, 14(3%)
minecraft.picked_up.wooden_shovel: #6, 3(2%)
minecraft.used.brick_wall: #6, 18(2%)
minecraft.crafted.nether_brick: #6, 377(2%)
minecraft.picked_up.porkchop: #7, 107(4%)
minecraft.crafted.lime_bed: #6, 1(2%)
minecraft.dropped.birch_button: #6, 3(3%)
minecraft.mined.polished_blackstone_brick_stairs: #6, 54(1%)
minecraft.crafted.granite_stairs: #6, 4(2%)
minecraft.dropped.carrot_on_a_stick: #6, 1(3%)
minecraft.crafted.jungle_boat: #6, 2(3%)
minecraft.used.red_carpet: #6, 240(1%)
minecraft.mined.blue_terracotta: #6, 57(1%)
minecraft.picked_up.birch_fence: #7, 140(6%)
minecraft.crafted.cartography_table: #6, 12(1%)
minecraft.used.pink_stained_glass: #6, 161(2%)
minecraft.crafted.cherry_sign: #6, 3(3%)
minecraft.picked_up.orange_terracotta: #7, 3459(5%)
minecraft.mined.deepslate_diamond_ore: #7, 1243(4%)
minecraft.used.green_banner: #6, 9(2%)
minecraft.crafted.granite_wall: #6, 18(2%)
minecraft.crafted.shulker_box: #7, 618(4%)
minecraft.picked_up.blue_candle: #6, 3(2%)
minecraft.used.blackstone_wall: #6, 43(1%)
minecraft.picked_up.writable_book: #7, 13(4%)
minecraft.dropped.spider_eye: #7, 5561(4%)
minecraft.crafted.white_concrete: #6, 32(2%)
minecraft.picked_up.gray_terracotta: #6, 230(1%)
minecraft.crafted.sugar: #6, 193(1%)
minecraft.picked_up.paper: #6, 377(0%)
minecraft.picked_up.red_concrete_powder: #6, 99(1%)
minecraft.killed.sheep: #7, 42(4%)
minecraft.crafted.yellow_concrete_powder: #7, 1192(5%)
minecraft.crafted.bone_meal: #7, 117579(4%)
minecraft.mined.light_blue_terracotta: #6, 22(1%)
minecraft.crafted.written_book: #6, 4(1%)
minecraft.mined.light_blue_bed: #6, 1(1%)
minecraft.mined.white_concrete_powder: #6, 41(0%)
minecraft.crafted.jack_o_lantern: #6, 68(0%)
minecraft.crafted.glistering_melon_slice: #6, 10(1%)
minecraft.dropped.honeycomb: #6, 14(0%)
minecraft.picked_up.deepslate_coal_ore: #7, 13(8%)
minecraft.dropped.light_blue_concrete_powder: #6, 1(1%)
minecraft.used.pink_carpet: #6, 37(0%)
minecraft.crafted.black_concrete: #6, 16(1%)
minecraft.broken.iron_shovel: #7, 12(4%)
minecraft.picked_up.green_dye: #6, 271(0%)
minecraft.picked_up.lime_carpet: #6, 83(0%)
minecraft.used.dead_brain_coral_block: #6, 5(0%)
minecraft.used.dead_tube_coral_block: #6, 1(0%)
minecraft.crafted.polished_andesite: #7, 2113(4%)
minecraft.used.cherry_wood: #6, 1(0%)
minecraft.mined.lily_pad: #7, 22(7%)
minecraft.used.bamboo_raft: #7, 16(7%)
minecraft.mined.light_blue_shulker_box: #7, 523(3%)
minecraft.crafted.crimson_planks: #7, 3804(4%)
minecraft.picked_up.light_blue_shulker_box: #7, 526(3%)
minecraft.mined.piston: #7, 271(4%)
minecraft.picked_up.slime_block: #7, 732(4%)
minecraft.picked_up.brown_terracotta: #7, 3889(4%)
minecraft.picked_up.amethyst_shard: #7, 5168(4%)
minecraft.picked_up.stone_hoe: #7, 3(5%)
minecraft.mined.brown_terracotta: #7, 3725(4%)
minecraft.used.black_bed: #7, 41(6%)
minecraft.mined.orange_terracotta: #7, 2160(3%)
minecraft.custom.leave_game: #9, 1416(4%)
minecraft.picked_up.filled_map: #8, 5242(5%)
minecraft.used.yellow_concrete: #7, 522(4%)
minecraft.crafted.light_blue_stained_glass_pane: #7, 128(5%)
minecraft.picked_up.blue_stained_glass: #7, 49(6%)
minecraft.dropped.torch: #8, 652(5%)
minecraft.mined.red_stained_glass: #7, 64(4%)
minecraft.picked_up.black_concrete_powder: #7, 1687(3%)
minecraft.picked_up.lily_pad: #7, 25(4%)
minecraft.crafted.mangrove_slab: #7, 144(4%)
minecraft.mined.grass: #8, 3766(5%)
minecraft.dropped.cyan_terracotta: #7, 84(4%)
minecraft.used.chorus_fruit: #7, 11(3%)
minecraft.picked_up.brown_concrete: #7, 127(4%)
minecraft.mined.mossy_cobblestone: #7, 188(3%)
minecraft.picked_up.diamond_axe: #8, 48(5%)
minecraft.used.yellow_terracotta: #7, 470(3%)
minecraft.mined.red_tulip: #7, 7(4%)
minecraft.picked_up.shroomlight: #8, 354(6%)
minecraft.crafted.slime_ball: #7, 833(3%)
minecraft.mined.lime_concrete: #7, 381(3%)
minecraft.mined.warped_fence: #7, 19(3%)
minecraft.crafted.oak_fence: #8, 309(6%)
minecraft.mined.dark_oak_fence_gate: #7, 10(4%)
minecraft.picked_up.light_blue_stained_glass_pane: #7, 53(3%)
minecraft.crafted.stone_stairs: #7, 268(2%)
minecraft.picked_up.bundle: #8, 75(6%)
minecraft.used.prismarine_bricks: #7, 258(2%)
minecraft.picked_up.cut_copper_slab: #7, 26(3%)
minecraft.crafted.white_terracotta: #7, 304(3%)
minecraft.crafted.wooden_axe: #7, 3(2%)
minecraft.mined.deepslate_brick_wall: #7, 26(3%)
minecraft.used.packed_ice: #7, 2182(2%)
minecraft.mined.amethyst_block: #8, 1275(6%)
minecraft.picked_up.prismarine_crystals: #7, 109(2%)
minecraft.used.green_dye: #7, 7(3%)
minecraft.crafted.tinted_glass: #7, 1176(2%)
minecraft.picked_up.music_disc_chirp: #7, 4(3%)
minecraft.mined.blue_wool: #7, 32(3%)
minecraft.picked_up.waxed_weathered_copper: #7, 69(2%)
minecraft.broken.golden_axe: #7, 1(5%)
minecraft.used.verdant_froglight: #7, 141(2%)
minecraft.picked_up.amethyst_block: #8, 1380(5%)
minecraft.used.mangrove_leaves: #7, 186(2%)
minecraft.mined.sandstone: #8, 14586(5%)
minecraft.picked_up.mutton: #8, 110(5%)
minecraft.custom.mob_kills: #7, 123785(1%)
minecraft.mined.jungle_log: #8, 2611(6%)
minecraft.used.gray_bed: #7, 4(4%)
minecraft.picked_up.chest: #8, 937(4%)
minecraft.dropped.sea_lantern: #7, 64(2%)
minecraft.mined.stone_slab: #8, 772(5%)
minecraft.mined.cobblestone_slab: #7, 92(1%)
minecraft.mined.cut_copper_slab: #7, 15(2%)
minecraft.crafted.white_wool: #8, 3572(5%)
minecraft.mined.magenta_terracotta: #7, 15(3%)
minecraft.picked_up.diamond_boots: #8, 34(4%)
minecraft.dropped.wooden_shovel: #7, 3(2%)
minecraft.used.netherite_leggings: #7, 8(2%)
minecraft.crafted.magenta_concrete_powder: #7, 144(2%)
minecraft.crafted.cooked_salmon: #7, 17(2%)
minecraft.mined.verdant_froglight: #7, 27(1%)
minecraft.used.blue_stained_glass_pane: #7, 7(2%)
minecraft.dropped.black_carpet: #7, 12(2%)
minecraft.picked_up.cyan_bed: #7, 11(2%)
minecraft.picked_up.blue_terracotta: #7, 75(1%)
minecraft.used.waxed_weathered_copper: #7, 29(2%)
minecraft.dropped.black_banner: #7, 2(3%)
minecraft.picked_up.purple_bed: #7, 11(1%)
minecraft.picked_up.chorus_flower: #7, 15(1%)
minecraft.picked_up.polished_blackstone_brick_stairs: #7, 54(1%)
minecraft.mined.dark_oak_trapdoor: #8, 92(4%)
minecraft.picked_up.acacia_leaves: #7, 122(1%)
minecraft.used.blue_orchid: #7, 3(2%)
minecraft.used.pumpkin_seeds: #7, 41(1%)
minecraft.dropped.diamond_ore: #7, 1(2%)
minecraft.used.netherite_helmet: #7, 4(1%)
minecraft.mined.quartz_block: #7, 94(1%)
minecraft.crafted.yellow_carpet: #7, 114(1%)
minecraft.used.cut_copper_slab: #7, 116(1%)
minecraft.used.yellow_carpet: #7, 115(1%)
minecraft.used.quartz_block: #7, 182(0%)
minecraft.picked_up.magenta_terracotta: #7, 17(1%)
minecraft.crafted.lead: #8, 48(5%)
minecraft.picked_up.granite_stairs: #7, 1(1%)
minecraft.crafted.red_glazed_terracotta: #7, 18(1%)
minecraft.picked_up.light_blue_bed: #7, 1(1%)
minecraft.mined.purple_carpet: #7, 4(1%)
minecraft.used.chorus_flower: #7, 6(0%)
minecraft.mined.gray_shulker_box: #8, 147(4%)
minecraft.mined.dead_brain_coral_block: #7, 5(0%)
minecraft.mined.mangrove_planks: #8, 41(6%)
minecraft.used.crimson_sign: #7, 8(0%)
minecraft.used.end_stone_brick_stairs: #7, 2(0%)
minecraft.used.honeycomb_block: #7, 5(0%)
minecraft.picked_up.dried_kelp: #7, 7(0%)
minecraft.crafted.tnt: #8, 5728(4%)
minecraft.picked_up.honeycomb_block: #7, 5(0%)
minecraft.crafted.ender_eye: #8, 57(4%)
minecraft.picked_up.gray_shulker_box: #8, 148(4%)
minecraft.mined.light_weighted_pressure_plate: #7, 7(0%)
minecraft.used.dragon_egg: #7, 1(0%)
minecraft.used.gray_shulker_box: #8, 148(4%)
minecraft.picked_up.jungle_log: #8, 2580(4%)
minecraft.mined.polished_andesite: #8, 173(4%)
minecraft.killed_by.zombie: #8, 4(5%)
minecraft.crafted.charcoal: #8, 559(4%)
minecraft.picked_up.hay_block: #8, 227(4%)
minecraft.custom.interact_with_furnace: #9, 2542(5%)
minecraft.picked_up.birch_trapdoor: #8, 43(4%)
minecraft.crafted.pink_dye: #8, 1058(3%)
minecraft.picked_up.cherry_sapling: #8, 135(4%)
minecraft.picked_up.diamond_hoe: #8, 12(4%)
minecraft.dropped.birch_leaves: #8, 118(4%)
minecraft.picked_up.piston: #8, 286(3%)
minecraft.picked_up.obsidian: #8, 1280(3%)
minecraft.picked_up.orange_wool: #8, 137(4%)
minecraft.used.leather_leggings: #8, 2(5%)
minecraft.crafted.flint_and_steel: #8, 14(3%)
minecraft.picked_up.pink_petals: #8, 303(4%)
minecraft.picked_up.glow_ink_sac: #8, 331(3%)
minecraft.mined.deepslate_lapis_ore: #9, 320(5%)
minecraft.crafted.cyan_shulker_box: #8, 11(3%)
minecraft.picked_up.polished_basalt: #8, 241(3%)
minecraft.picked_up.red_stained_glass: #8, 185(3%)
minecraft.picked_up.shulker_box: #9, 3805(5%)
minecraft.mined.dark_oak_planks: #9, 449(5%)
minecraft.mined.chiseled_stone_bricks: #8, 50(3%)
minecraft.mined.white_terracotta: #8, 605(2%)
minecraft.picked_up.red_glazed_terracotta: #8, 37(5%)
minecraft.picked_up.red_mushroom_block: #8, 1348(2%)
minecraft.mined.enchanting_table: #8, 2(4%)
minecraft.picked_up.ladder: #9, 375(6%)
minecraft.dropped.totem_of_undying: #8, 26(2%)
minecraft.crafted.mud_bricks: #8, 468(3%)
minecraft.crafted.blaze_powder: #8, 184(2%)
minecraft.custom.inspect_hopper: #9, 2299(4%)
minecraft.picked_up.enchanting_table: #8, 2(4%)
minecraft.mined.mud_brick_slab: #8, 29(3%)
minecraft.picked_up.acacia_boat: #8, 5(3%)
minecraft.picked_up.iron_leggings: #8, 11(2%)
minecraft.custom.trigger_trapped_chest: #8, 18(2%)
minecraft.picked_up.black_terracotta: #8, 337(3%)
minecraft.crafted.brick: #8, 2599(2%)
minecraft.mined.brown_concrete: #8, 83(3%)
minecraft.picked_up.white_terracotta: #8, 673(2%)
minecraft.used.deepslate_copper_ore: #8, 29(3%)
minecraft.mined.green_concrete: #8, 417(2%)
minecraft.picked_up.bricks: #8, 223(2%)
minecraft.picked_up.warped_fence: #8, 18(2%)
minecraft.dropped.sunflower: #8, 27(2%)
minecraft.used.polished_basalt: #8, 572(2%)
minecraft.crafted.pumpkin_seeds: #8, 40(3%)
minecraft.picked_up.milk_bucket: #8, 2(3%)
minecraft.crafted.hay_block: #8, 329(2%)
minecraft.used.medium_amethyst_bud: #8, 20(3%)
minecraft.used.netherite_boots: #8, 9(2%)
minecraft.used.stone_shovel: #8, 331(2%)
minecraft.used.ochre_froglight: #8, 200(2%)
minecraft.picked_up.stick: #9, 5171(4%)
minecraft.mined.blackstone_stairs: #8, 9(4%)
minecraft.mined.waxed_weathered_copper: #8, 47(2%)
minecraft.mined.redstone_block: #8, 232(1%)
minecraft.crafted.furnace_minecart: #8, 2(3%)
minecraft.used.allium: #8, 4(2%)
minecraft.mined.blackstone_slab: #8, 13(2%)
minecraft.dropped.cooked_salmon: #8, 7(3%)
minecraft.used.nether_wart: #8, 156(1%)
minecraft.mined.nether_wart: #8, 134(1%)
minecraft.mined.red_wall_banner: #8, 6(2%)
minecraft.picked_up.green_wool: #8, 154(2%)
minecraft.used.jungle_boat: #8, 3(3%)
minecraft.used.mud_brick_wall: #8, 28(2%)
minecraft.crafted.polished_andesite_stairs: #8, 32(2%)
minecraft.used.granite_slab: #8, 67(1%)
minecraft.dropped.shulker_shell: #8, 64(2%)
minecraft.picked_up.sandstone: #9, 14128(5%)
minecraft.used.cooked_chicken: #8, 31(1%)
minecraft.used.dark_oak_leaves: #8, 99(2%)
minecraft.dropped.raw_gold: #8, 16(2%)
minecraft.used.red_bed: #8, 20(1%)
minecraft.mined.warped_sign: #8, 1(3%)
minecraft.mined.granite_slab: #8, 19(2%)
minecraft.mined.red_bed: #8, 16(1%)
minecraft.custom.player_kills: #9, 34(4%)
minecraft.picked_up.jungle_boat: #8, 2(2%)
minecraft.mined.acacia_leaves: #8, 364(1%)
minecraft.picked_up.magenta_wool: #8, 64(1%)
minecraft.crafted.green_banner: #8, 15(2%)
minecraft.dropped.crimson_slab: #8, 8(2%)
minecraft.mined.quartz_bricks: #8, 5(1%)
minecraft.used.cod_bucket: #8, 1(2%)
minecraft.crafted.diamond: #9, 1458(4%)
minecraft.picked_up.gray_carpet: #8, 271(1%)
minecraft.crafted.prismarine_wall: #8, 6(2%)
minecraft.picked_up.granite_slab: #8, 19(1%)
minecraft.used.green_bed: #8, 10(1%)
minecraft.broken.stone_shovel: #8, 2(2%)
minecraft.used.brain_coral: #8, 2(1%)
minecraft.mined.cyan_concrete_powder: #8, 5(1%)
minecraft.dropped.cooked_porkchop: #8, 228(0%)
minecraft.used.brain_coral_fan: #8, 5(1%)
minecraft.dropped.milk_bucket: #8, 1(1%)
minecraft.dropped.light_blue_shulker_box: #8, 2(1%)
minecraft.used.magenta_terracotta: #8, 17(1%)
minecraft.used.polished_blackstone_wall: #8, 66(1%)
minecraft.crafted.mud_brick_stairs: #8, 4(1%)
minecraft.picked_up.red_carpet: #8, 50(0%)
minecraft.used.light_blue_terracotta: #8, 68(0%)
minecraft.mined.pink_carpet: #8, 7(1%)
minecraft.used.jack_o_lantern: #8, 27(0%)
minecraft.used.cherry_planks: #8, 2(0%)
minecraft.picked_up.dead_brain_coral_block: #8, 8(0%)
minecraft.used.sunflower: #9, 12(4%)
minecraft.crafted.crimson_sign: #8, 6(0%)
minecraft.picked_up.gold_nugget: #8, 1427(0%)
minecraft.dropped.soul_torch: #8, 1(0%)
minecraft.picked_up.light_weighted_pressure_plate: #8, 8(0%)
minecraft.crafted.sponge: #8, 7(0%)
minecraft.used.deepslate_iron_ore: #9, 159(5%)
minecraft.dropped.black_concrete_powder: #8, 8(0%)
minecraft.picked_up.pointed_dripstone: #9, 631(3%)
minecraft.used.netherite_pickaxe: #9, 221143(4%)
minecraft.mined.deepslate_copper_ore: #9, 115(4%)
minecraft.used.dandelion: #9, 17(4%)
minecraft.used.dripstone_block: #9, 245(4%)
minecraft.custom.deaths: #10, 274(4%)
minecraft.dropped.glow_ink_sac: #9, 56(5%)
minecraft.used.brown_mushroom_block: #9, 248(4%)
minecraft.used.bamboo: #9, 331(3%)
minecraft.used.white_stained_glass: #9, 1757(4%)
minecraft.picked_up.polished_deepslate_wall: #9, 144(4%)
minecraft.mined.brown_shulker_box: #9, 121(4%)
minecraft.picked_up.brown_shulker_box: #9, 122(4%)
minecraft.used.brown_shulker_box: #9, 123(4%)
minecraft.dropped.ender_chest: #9, 10(3%)
minecraft.crafted.bone_block: #9, 6447(3%)
minecraft.mined.dark_oak_door: #9, 4(4%)
minecraft.used.gold_ore: #9, 35(4%)
minecraft.mined.amethyst_cluster: #9, 666(3%)
minecraft.picked_up.big_dripleaf: #9, 130(3%)
minecraft.picked_up.blue_concrete: #9, 85(4%)
minecraft.custom.play_record: #9, 32(2%)
minecraft.picked_up.cobweb: #9, 174(4%)
minecraft.dropped.dark_oak_planks: #9, 95(2%)
minecraft.used.mud_bricks: #9, 315(3%)
minecraft.killed.ghast: #9, 34(2%)
minecraft.mined.soul_sand: #9, 1134(2%)
minecraft.mined.cobblestone_stairs: #9, 34(3%)
minecraft.used.flint_and_steel: #9, 389(2%)
minecraft.crafted.wheat: #9, 2583(3%)
minecraft.picked_up.powered_rail: #9, 329(2%)
minecraft.crafted.leather_helmet: #9, 4(4%)
minecraft.mined.polished_deepslate_wall: #9, 42(3%)
minecraft.used.bamboo_planks: #9, 6(5%)
minecraft.dropped.diamond_hoe: #9, 2(3%)
minecraft.dropped.rail: #9, 128(2%)
minecraft.picked_up.cod: #9, 89(2%)
minecraft.mined.pumpkin: #9, 179(2%)
minecraft.used.blue_shulker_box: #9, 115(2%)
minecraft.picked_up.soul_sand: #9, 1065(2%)
minecraft.picked_up.blue_shulker_box: #9, 113(2%)
minecraft.picked_up.black_bed: #9, 21(3%)
minecraft.picked_up.deepslate_copper_ore: #9, 37(3%)
minecraft.mined.blue_shulker_box: #9, 114(2%)
minecraft.custom.interact_with_crafting_table: #10, 3316(4%)
minecraft.custom.jump: #11, 432414(4%)
minecraft.crafted.bricks: #9, 589(2%)
minecraft.mined.black_bed: #9, 20(3%)
minecraft.picked_up.iron_axe: #9, 18(2%)
minecraft.picked_up.polished_andesite: #9, 184(2%)
minecraft.dropped.flint: #9, 152(1%)
minecraft.crafted.lime_concrete_powder: #9, 352(2%)
minecraft.used.blast_furnace: #9, 17(2%)
minecraft.mined.tnt: #9, 50(2%)
minecraft.used.glass_pane: #9, 104(2%)
minecraft.crafted.cut_copper: #9, 40(3%)
minecraft.dropped.oak_log: #9, 192(1%)
minecraft.used.dark_prismarine_slab: #9, 124(2%)
minecraft.used.quartz_pillar: #9, 181(2%)
minecraft.mined.beacon: #10, 27(6%)
minecraft.picked_up.compass: #10, 159(4%)
minecraft.custom.boat_one_cm: #10, 14000947(4%)
minecraft.used.cobbled_deepslate: #10, 4594(4%)
minecraft.used.pink_dye: #9, 4(2%)
minecraft.picked_up.dandelion: #9, 374(1%)
minecraft.picked_up.red_banner: #9, 7(2%)
minecraft.mined.acacia_sapling: #9, 11(3%)
minecraft.used.white_terracotta: #9, 295(1%)
minecraft.picked_up.nether_wart: #9, 476(1%)
minecraft.picked_up.blackstone_stairs: #9, 9(3%)
minecraft.used.dark_oak_pressure_plate: #9, 2(3%)
minecraft.used.conduit: #9, 1(2%)
minecraft.mined.stripped_jungle_log: #9, 57(1%)
minecraft.crafted.orange_terracotta: #9, 104(2%)
minecraft.picked_up.deepslate_brick_wall: #9, 26(1%)
minecraft.picked_up.red_bed: #9, 17(1%)
minecraft.crafted.mangrove_planks: #10, 1492(5%)
minecraft.used.orange_terracotta: #9, 115(1%)
minecraft.used.orange_concrete: #9, 162(1%)
minecraft.picked_up.end_stone: #9, 619(1%)
minecraft.mined.end_stone: #9, 613(1%)
minecraft.picked_up.dark_oak_fence_gate: #9, 10(1%)
minecraft.picked_up.stripped_jungle_log: #9, 57(1%)
minecraft.crafted.iron_leggings: #9, 4(1%)
minecraft.dropped.polished_andesite_slab: #9, 12(1%)
minecraft.broken.flint_and_steel: #9, 2(1%)
minecraft.picked_up.diamond_helmet: #10, 17(3%)
minecraft.used.prismarine_wall: #9, 10(1%)
minecraft.crafted.acacia_boat: #9, 1(1%)
minecraft.used.exposed_cut_copper: #9, 1(1%)
minecraft.used.purple_bed: #9, 7(1%)
minecraft.used.polished_granite_slab: #9, 46(1%)
minecraft.mined.sandstone_wall: #9, 6(1%)
minecraft.crafted.crimson_fence: #9, 15(1%)
minecraft.used.respawn_anchor: #9, 2(1%)
minecraft.used.chiseled_polished_blackstone: #9, 16(0%)
minecraft.used.golden_axe: #9, 6(1%)
minecraft.picked_up.red_tulip: #9, 8(0%)
minecraft.picked_up.powder_snow_bucket: #9, 3(0%)
minecraft.dropped.acacia_leaves: #9, 5(1%)
minecraft.used.oak_fence: #10, 195(4%)
minecraft.dropped.stripped_spruce_log: #9, 1(0%)
minecraft.dropped.mangrove_propagule: #9, 1(0%)
minecraft.used.polished_blackstone_brick_wall: #9, 16(0%)
minecraft.used.green_glazed_terracotta: #9, 1(0%)
minecraft.used.beacon: #10, 32(4%)
minecraft.crafted.heavy_weighted_pressure_plate: #9, 4(0%)
minecraft.dropped.cod: #9, 9(0%)
minecraft.mined.raw_iron_block: #9, 11(0%)
minecraft.crafted.honeycomb_block: #9, 16(0%)
minecraft.used.chipped_anvil: #10, 11(4%)
minecraft.dropped.dragon_egg: #9, 1(0%)
minecraft.picked_up.dragon_egg: #9, 2(0%)
minecraft.picked_up.pink_carpet: #9, 7(0%)
minecraft.crafted.sea_lantern: #9, 7(0%)
minecraft.dropped.birch_log: #10, 120(4%)
minecraft.crafted.air: #9, 0(0%)
minecraft.picked_up.netherite_pickaxe: #10, 30(3%)
minecraft.mined.player_head: #10, 36(3%)
minecraft.picked_up.pumpkin_pie: #10, 451(3%)
minecraft.picked_up.iron_sword: #10, 9(4%)
minecraft.dropped.diamond_shovel: #10, 6(3%)
minecraft.mined.moss_carpet: #10, 315(3%)
minecraft.picked_up.deepslate_iron_ore: #10, 171(3%)
minecraft.used.sweet_berries: #10, 558(3%)
minecraft.used.lava_bucket: #10, 337(3%)
minecraft.mined.budding_amethyst: #10, 14(3%)
minecraft.crafted.yellow_dye: #10, 1543(3%)
minecraft.mined.lever: #10, 42(3%)
minecraft.mined.player_wall_head: #10, 19(3%)
minecraft.mined.nether_gold_ore: #10, 243(3%)
minecraft.picked_up.deepslate_redstone_ore: #10, 401(3%)
minecraft.dropped.goat_horn: #10, 3(3%)
minecraft.used.dark_oak_stairs: #10, 322(2%)
minecraft.mined.cobbled_deepslate: #10, 504(2%)
minecraft.mined.cactus: #10, 65(3%)
minecraft.mined.terracotta: #10, 5060(2%)
minecraft.used.damaged_anvil: #10, 5(3%)
minecraft.crafted.white_stained_glass: #10, 1584(3%)
minecraft.picked_up.dark_oak_trapdoor: #10, 103(2%)
minecraft.killed_by.enderman: #10, 1(4%)
minecraft.used.cobbled_deepslate_stairs: #10, 126(3%)
minecraft.picked_up.peony: #10, 282(2%)
minecraft.mined.red_wool: #10, 113(3%)
minecraft.crafted.gray_terracotta: #10, 688(3%)
minecraft.picked_up.dripstone_block: #10, 360(2%)
minecraft.crafted.lapis_lazuli: #10, 972(2%)
minecraft.mined.dripstone_block: #10, 287(2%)
minecraft.picked_up.vine: #10, 186(2%)
minecraft.picked_up.bread: #10, 275(2%)
minecraft.dropped.shulker_box: #10, 22(2%)
minecraft.picked_up.amethyst_cluster: #10, 149(2%)
minecraft.dropped.scaffolding: #10, 291(2%)
minecraft.picked_up.emerald_block: #10, 700(2%)
minecraft.mined.light_blue_concrete: #10, 87(3%)
minecraft.picked_up.deepslate_diamond_ore: #10, 384(2%)
minecraft.picked_up.grass: #10, 274(2%)
minecraft.picked_up.cyan_terracotta: #10, 341(2%)
minecraft.picked_up.dark_oak_leaves: #10, 364(2%)
minecraft.picked_up.light_blue_concrete: #10, 87(3%)
minecraft.used.sugar_cane: #10, 215(2%)
minecraft.used.cobblestone_stairs: #10, 107(2%)
minecraft.dropped.potion: #10, 45(2%)
minecraft.dropped.pumpkin_pie: #10, 100(2%)
minecraft.mined.red_mushroom_block: #10, 1293(2%)
minecraft.used.milk_bucket: #10, 4(2%)
minecraft.dropped.coal: #10, 97(1%)
minecraft.dropped.iron_nugget: #10, 594(1%)
minecraft.picked_up.blackstone_slab: #10, 16(2%)
minecraft.dropped.iron_door: #10, 2(2%)
minecraft.crafted.green_bed: #10, 1(2%)
minecraft.dropped.green_terracotta: #10, 32(2%)
minecraft.used.rooted_dirt: #10, 107(1%)
minecraft.picked_up.sculk_catalyst: #10, 16(2%)
minecraft.mined.medium_amethyst_bud: #10, 28(1%)
minecraft.used.cherry_log: #10, 37(1%)
minecraft.killed.husk: #10, 3(2%)
minecraft.crafted.birch_fence_gate: #10, 17(2%)
minecraft.picked_up.lime_concrete_powder: #10, 10(1%)
minecraft.picked_up.tnt: #10, 696(1%)
minecraft.picked_up.yellow_stained_glass_pane: #10, 15(2%)
minecraft.picked_up.light_gray_terracotta: #10, 161(1%)
minecraft.used.orange_wool: #10, 141(1%)
minecraft.mined.deepslate_brick_stairs: #10, 34(1%)
minecraft.picked_up.medium_amethyst_bud: #10, 27(1%)
minecraft.custom.sprint_one_cm: #12, 119082276(4%)
minecraft.picked_up.verdant_froglight: #10, 27(1%)
minecraft.mined.small_dripleaf: #10, 4(1%)
minecraft.picked_up.light_gray_concrete: #10, 258(1%)
minecraft.crafted.lime_stained_glass: #10, 200(1%)
minecraft.picked_up.orange_concrete: #10, 101(1%)
minecraft.crafted.spyglass: #10, 1(1%)
minecraft.crafted.light_gray_terracotta: #10, 112(1%)
minecraft.used.light_blue_concrete: #10, 31(1%)
minecraft.mined.oak_fence: #11, 81(4%)
minecraft.picked_up.tube_coral_block: #10, 29(1%)
minecraft.picked_up.quartz_bricks: #10, 5(1%)
minecraft.crafted.gray_wool: #10, 61(1%)
minecraft.picked_up.music_disc_mall: #10, 1(1%)
minecraft.mined.light_gray_terracotta: #10, 100(1%)
minecraft.used.red_stained_glass: #10, 123(1%)
minecraft.mined.orange_concrete: #10, 103(1%)
minecraft.used.red_banner: #10, 10(1%)
minecraft.used.green_terracotta: #10, 330(1%)
minecraft.used.player_head: #11, 113(3%)
minecraft.dropped.firework_rocket: #10, 1290(0%)
minecraft.used.detector_rail: #10, 5(1%)
minecraft.used.netherite_hoe: #10, 2369(1%)
minecraft.used.blackstone_slab: #10, 36(1%)
minecraft.mined.carved_pumpkin: #10, 89(0%)
minecraft.used.dirt: #11, 21858(3%)
minecraft.used.muddy_mangrove_roots: #10, 12(1%)
minecraft.used.lever: #11, 242(4%)
minecraft.mined.green_terracotta: #10, 60(0%)
minecraft.crafted.cooked_cod: #10, 8(1%)
minecraft.used.crimson_fence: #10, 14(1%)
minecraft.used.tube_coral_block: #10, 11(1%)
minecraft.picked_up.music_disc_far: #10, 1(1%)
minecraft.dropped.polished_diorite: #10, 8(1%)
minecraft.used.furnace_minecart: #10, 1(1%)
minecraft.picked_up.white_concrete_powder: #10, 161(0%)
minecraft.picked_up.honey_bottle: #10, 9(1%)
minecraft.used.mud_brick_slab: #10, 27(1%)
minecraft.picked_up.dark_oak_planks: #11, 636(3%)
minecraft.crafted.brick_stairs: #10, 4(1%)
minecraft.picked_up.light_gray_concrete_powder: #10, 71(0%)
minecraft.used.tube_coral: #10, 1(1%)
minecraft.used.blue_terracotta: #10, 99(1%)
minecraft.used.black_banner: #10, 3(1%)
minecraft.used.granite_stairs: #10, 2(1%)
minecraft.picked_up.polished_granite_slab: #10, 6(0%)
minecraft.crafted.nether_bricks: #10, 94(0%)
minecraft.used.gray_banner: #10, 1(0%)
minecraft.crafted.gray_banner: #10, 1(0%)
minecraft.mined.granite_wall: #10, 1(0%)
minecraft.used.mud_brick_stairs: #10, 6(0%)
minecraft.crafted.sandstone_wall: #10, 6(0%)
minecraft.picked_up.small_dripleaf: #10, 1(0%)
minecraft.dropped.jungle_sapling: #10, 1(0%)
minecraft.used.purple_terracotta: #10, 10(0%)
minecraft.mined.jack_o_lantern: #10, 5(0%)
minecraft.used.granite_wall: #10, 5(0%)
minecraft.picked_up.granite_wall: #10, 1(0%)
