stat, rank, value, (percentage) 
minecraft.used.oak_boat: #26, 1(0%)
minecraft.crafted.birch_sign: #26, 3(0%)
minecraft.used.composter: #26, 4(0%)
minecraft.picked_up.diamond_block: #26, 3(0%)
minecraft.used.iron_block: #26, 36(0%)
minecraft.mined.bone_block: #26, 1(0%)
minecraft.used.iron_bars: #26, 2(0%)
minecraft.mined.iron_block: #26, 2(0%)
minecraft.picked_up.paper: #26, 6(0%)
minecraft.picked_up.crimson_stem: #26, 2(0%)
minecraft.used.scaffolding: #26, 1(0%)
minecraft.dropped.elytra: #27, 3(1%)
minecraft.picked_up.elytra: #27, 12(1%)
minecraft.used.barrel: #27, 19(0%)
minecraft.picked_up.bow: #27, 9(0%)
minecraft.picked_up.spruce_sign: #27, 2(0%)
minecraft.picked_up.spruce_boat: #27, 1(0%)
minecraft.picked_up.anvil: #27, 2(0%)
minecraft.dropped.player_head: #27, 9(0%)
minecraft.mined.oak_trapdoor: #27, 1(0%)
minecraft.mined.oak_planks: #27, 7(0%)
minecraft.custom.time_since_rest: #27, 69787(0%)
minecraft.picked_up.azure_bluet: #27, 3(0%)
minecraft.picked_up.red_concrete: #27, 10(0%)
minecraft.mined.end_rod: #27, 1(0%)
minecraft.picked_up.emerald: #27, 44(0%)
minecraft.picked_up.iron_block: #27, 13(0%)
minecraft.crafted.shears: #27, 2(0%)
minecraft.dropped.paper: #27, 1(0%)
minecraft.dropped.diamond_pickaxe: #28, 2(0%)
minecraft.custom.horse_one_cm: #28, 220478(0%)
minecraft.picked_up.barrel: #28, 9(0%)
minecraft.crafted.iron_shovel: #28, 1(0%)
minecraft.used.writable_book: #28, 11(0%)
minecraft.picked_up.firework_rocket: #28, 766(0%)
minecraft.picked_up.flowering_azalea_leaves: #28, 30(0%)
minecraft.picked_up.arrow: #28, 58(0%)
minecraft.used.armor_stand: #28, 2(0%)
minecraft.mined.white_bed: #28, 1(0%)
minecraft.picked_up.sugar_cane: #28, 65(0%)
minecraft.mined.poppy: #28, 1(0%)
minecraft.crafted.anvil: #28, 1(0%)
minecraft.picked_up.chorus_fruit: #28, 2(0%)
minecraft.used.oak_planks: #28, 2(0%)
minecraft.picked_up.bone_block: #28, 1(0%)
minecraft.used.shears: #28, 8(0%)
minecraft.killed_by.player: #29, 7(0%)
minecraft.picked_up.water_bucket: #29, 3(0%)
minecraft.custom.open_chest: #29, 956(0%)
minecraft.custom.time_since_death: #29, 210043(0%)
minecraft.picked_up.player_head: #29, 30(0%)
minecraft.used.bow: #29, 81(0%)
minecraft.picked_up.oak_log: #29, 129(0%)
minecraft.used.white_bed: #29, 3(0%)
minecraft.used.ladder: #29, 7(0%)
minecraft.picked_up.ender_pearl: #29, 195(0%)
minecraft.killed.enderman: #29, 426(0%)
minecraft.picked_up.white_bed: #29, 1(0%)
minecraft.picked_up.pumpkin: #29, 11(0%)
minecraft.picked_up.diorite: #29, 60(0%)
minecraft.used.anvil: #29, 1(0%)
minecraft.dropped.ender_pearl: #29, 80(0%)
minecraft.mined.moss_block: #29, 17(0%)
minecraft.used.iron_sword: #29, 1(0%)
minecraft.picked_up.poppy: #29, 1(0%)
minecraft.used.andesite: #29, 1(0%)
minecraft.used.crafting_table: #30, 13(0%)
minecraft.mined.crafting_table: #30, 7(0%)
minecraft.custom.target_hit: #30, 2(0%)
minecraft.picked_up.birch_planks: #30, 11(0%)
minecraft.picked_up.oak_planks: #30, 7(0%)
minecraft.custom.inspect_dropper: #30, 9(0%)
minecraft.picked_up.birch_sign: #30, 1(0%)
minecraft.dropped.bow: #30, 1(0%)
minecraft.used.item_frame: #30, 2(0%)
minecraft.dropped.diamond: #30, 1(0%)
minecraft.used.birch_planks: #30, 4(0%)
minecraft.dropped.rotten_flesh: #30, 5(0%)
minecraft.picked_up.string: #30, 2(0%)
minecraft.dropped.gunpowder: #30, 1(0%)
minecraft.picked_up.andesite: #30, 1(0%)
minecraft.mined.andesite: #30, 1(0%)
minecraft.picked_up.diamond_pickaxe: #31, 5(0%)
minecraft.crafted.crafting_table: #31, 6(0%)
minecraft.mined.wall_torch: #31, 14(0%)
minecraft.custom.interact_with_lectern: #31, 12(0%)
minecraft.picked_up.carved_pumpkin: #31, 24(0%)
minecraft.picked_up.crafting_table: #31, 7(0%)
minecraft.custom.interact_with_anvil: #31, 6(0%)
minecraft.killed.spider: #31, 1(0%)
minecraft.picked_up.chest: #31, 8(0%)
minecraft.dropped.torch: #31, 4(0%)
minecraft.mined.torch: #31, 8(0%)
minecraft.used.ender_pearl: #31, 2(0%)
minecraft.picked_up.lead: #31, 1(0%)
minecraft.mined.chest: #31, 4(0%)
minecraft.dropped.firework_rocket: #31, 73(0%)
minecraft.picked_up.ender_chest: #31, 2(0%)
minecraft.used.shulker_box: #31, 5(0%)
minecraft.custom.inspect_hopper: #31, 2(0%)
minecraft.picked_up.egg: #31, 1(0%)
minecraft.custom.inspect_dispenser: #31, 1(0%)
minecraft.custom.open_barrel: #32, 145(0%)
minecraft.custom.interact_with_crafting_table: #32, 69(0%)
minecraft.custom.aviate_one_cm: #32, 11350785(0%)
minecraft.crafted.birch_planks: #32, 148(0%)
minecraft.used.chest: #32, 10(0%)
minecraft.picked_up.birch_log: #32, 16(0%)
minecraft.used.diamond_sword: #32, 93(0%)
minecraft.picked_up.moss_block: #32, 11(0%)
minecraft.mined.shulker_box: #32, 5(0%)
minecraft.picked_up.shulker_box: #32, 5(0%)
minecraft.picked_up.bone: #32, 4(0%)
minecraft.killed.zombie: #32, 6(0%)
minecraft.used.water_bucket: #32, 2(0%)
minecraft.used.diamond_shovel: #32, 10(0%)
minecraft.custom.sprint_one_cm: #33, 2007799(0%)
minecraft.custom.damage_taken: #33, 7967(0%)
minecraft.custom.climb_one_cm: #33, 44983(0%)
minecraft.used.firework_rocket: #33, 297(0%)
minecraft.crafted.stick: #33, 120(0%)
minecraft.custom.open_shulker_box: #33, 243(0%)
minecraft.custom.sleep_in_bed: #33, 5(0%)
minecraft.crafted.chest: #33, 9(0%)
minecraft.custom.damage_dealt: #33, 3451(0%)
minecraft.used.torch: #33, 9(0%)
minecraft.custom.mob_kills: #33, 434(0%)
minecraft.mined.oak_leaves: #33, 3(0%)
minecraft.killed.skeleton: #33, 1(0%)
minecraft.mined.diorite: #33, 2(0%)
minecraft.custom.deaths: #34, 9(0%)
minecraft.custom.jump: #34, 5239(0%)
minecraft.custom.fall_one_cm: #34, 139160(0%)
minecraft.custom.walk_one_cm: #34, 1404947(0%)
minecraft.custom.boat_one_cm: #34, 103339(0%)
minecraft.picked_up.torch: #34, 26(0%)
minecraft.custom.drop: #34, 79(0%)
minecraft.picked_up.coal: #34, 37(0%)
minecraft.picked_up.red_shulker_box: #34, 1(0%)
minecraft.used.diamond_axe: #34, 91(0%)
minecraft.used.bucket: #34, 2(0%)
minecraft.picked_up.iron_ingot: #34, 1(0%)
minecraft.mined.oak_log: #34, 1(0%)
minecraft.picked_up.rotten_flesh: #35, 5(0%)
minecraft.picked_up.diamond: #35, 2(0%)
minecraft.custom.tune_noteblock: #35, 1(0%)
minecraft.picked_up.stick: #35, 3(0%)
minecraft.custom.walk_under_water_one_cm: #36, 172867(0%)
minecraft.custom.swim_one_cm: #36, 29065(0%)
minecraft.mined.dirt: #36, 4(0%)
minecraft.used.dirt: #36, 2(0%)
minecraft.crafted.oak_planks: #37, 4(0%)
minecraft.picked_up.dirt: #38, 2(0%)
minecraft.custom.crouch_one_cm: #39, 46334(0%)
minecraft.custom.open_enderchest: #40, 2(0%)
minecraft.used.golden_carrot: #43, 1(0%)
minecraft.custom.fly_one_cm: #53, 1445770(0%)
minecraft.custom.play_time: #53, 777696(0%)
minecraft.custom.total_world_time: #53, 777696(0%)
minecraft.custom.leave_game: #54, 13(0%)
minecraft.custom.sneak_time: #54, 15175(0%)
minecraft.custom.walk_on_water_one_cm: #64, 809(0%)
