stat, rank, value, (percentage) 
minecraft.used.smooth_quartz_slab: #4, 1370(9%)
minecraft.used.cherry_boat: #3, 19(17%)
minecraft.dropped.music_disc_otherside: #3, 3(17%)
minecraft.used.black_bed: #3, 57(8%)
minecraft.dropped.cod: #2, 80(1%)
minecraft.dropped.golden_chestplate: #3, 21(5%)
minecraft.used.chiseled_stone_bricks: #4, 733(10%)
minecraft.mined.sponge: #3, 709(7%)
minecraft.mined.prismarine_brick_slab: #2, 97(1%)
minecraft.dropped.cod_bucket: #2, 1(5%)
minecraft.used.wet_sponge: #3, 734(7%)
minecraft.used.warped_roots: #3, 81(9%)
minecraft.picked_up.smooth_quartz_stairs: #4, 143(8%)
minecraft.picked_up.cyan_glazed_terracotta: #2, 6(1%)
minecraft.mined.spruce_leaves: #4, 7567(6%)
minecraft.broken.golden_chestplate: #3, 1(33%)
minecraft.used.spruce_stairs: #4, 1298(7%)
minecraft.used.cooked_salmon: #4, 105(10%)
minecraft.used.cherry_sign: #3, 11(18%)
minecraft.used.glow_lichen: #4, 3004(7%)
minecraft.mined.pink_stained_glass: #4, 59(15%)
minecraft.used.iron_pickaxe: #4, 5511(6%)
minecraft.used.golden_chestplate: #3, 1(14%)
minecraft.dropped.blue_shulker_box: #3, 1(14%)
minecraft.killed.salmon: #4, 121(7%)
minecraft.crafted.cherry_sign: #3, 12(14%)
minecraft.mined.spruce_sign: #4, 8(8%)
minecraft.used.painting: #4, 156(8%)
minecraft.used.sea_lantern: #4, 678(7%)
minecraft.used.stone_sword: #4, 348(8%)
minecraft.mined.potted_allium: #3, 3(14%)
minecraft.picked_up.cherry_sign: #3, 2(12%)
minecraft.killed.guardian: #4, 27(13%)
minecraft.picked_up.birch_wood: #4, 52(10%)
minecraft.picked_up.painting: #4, 115(7%)
minecraft.dropped.dragon_head: #3, 1(12%)
minecraft.used.cod_bucket: #3, 3(6%)
minecraft.crafted.iron_pickaxe: #4, 23(6%)
minecraft.picked_up.dark_prismarine: #4, 314(7%)
minecraft.dropped.blue_carpet: #3, 7(6%)
minecraft.picked_up.gray_glazed_terracotta: #3, 54(5%)
minecraft.picked_up.deepslate_tile_wall: #4, 164(7%)
minecraft.mined.polished_diorite: #3, 76(3%)
minecraft.used.birch_planks: #3, 2795(2%)
minecraft.crafted.pink_bed: #3, 3(5%)
minecraft.mined.cherry_stairs: #3, 3(12%)
minecraft.crafted.cyan_glazed_terracotta: #3, 40(4%)
minecraft.broken.wooden_sword: #3, 2(10%)
minecraft.used.sunflower: #4, 16(6%)
minecraft.used.cherry_planks: #4, 81(15%)
minecraft.crafted.cyan_bed: #4, 4(9%)
minecraft.picked_up.suspicious_stew: #4, 15(7%)
minecraft.picked_up.light_blue_banner: #3, 4(7%)
minecraft.used.pink_stained_glass_pane: #3, 32(5%)
minecraft.used.cooked_cod: #4, 59(6%)
minecraft.broken.stone_axe: #4, 3(8%)
minecraft.custom.fly_one_cm: #6, 132006838(5%)
minecraft.used.light_gray_glazed_terracotta: #3, 55(3%)
minecraft.used.prismarine_wall: #4, 72(10%)
minecraft.dropped.disc_fragment_5: #3, 1(3%)
minecraft.crafted.globe_banner_pattern: #3, 1(3%)
minecraft.mined.pink_concrete_powder: #3, 52(2%)
minecraft.picked_up.prismarine_brick_slab: #3, 82(1%)
minecraft.dropped.leather_leggings: #4, 21(5%)
minecraft.mined.diorite_stairs: #4, 9(11%)
minecraft.crafted.mushroom_stew: #4, 26(15%)
minecraft.picked_up.cauldron: #4, 35(5%)
minecraft.used.pitcher_pod: #4, 22(9%)
minecraft.picked_up.pink_carpet: #3, 43(0%)
minecraft.picked_up.pitcher_plant: #4, 22(8%)
minecraft.mined.pitcher_crop: #4, 18(8%)
minecraft.picked_up.red_nether_bricks: #4, 55(8%)
minecraft.crafted.diorite_slab: #4, 72(9%)
minecraft.crafted.sandstone_stairs: #4, 52(8%)
minecraft.crafted.prismarine_brick_slab: #4, 42(14%)
minecraft.crafted.polished_diorite_slab: #4, 96(9%)
minecraft.crafted.cherry_stairs: #4, 24(12%)
minecraft.used.blue_stained_glass_pane: #4, 28(9%)
minecraft.mined.pink_petals: #4, 117(5%)
minecraft.mined.dark_oak_wood: #4, 33(6%)
minecraft.crafted.stone_hoe: #5, 9(9%)
minecraft.crafted.flower_banner_pattern: #4, 1(11%)
minecraft.crafted.cyan_stained_glass_pane: #4, 64(5%)
minecraft.mined.mossy_stone_bricks: #5, 133(7%)
minecraft.picked_up.sheaf_pottery_sherd: #4, 2(8%)
minecraft.dropped.hanging_roots: #4, 22(11%)
minecraft.broken.stone_sword: #4, 2(7%)
minecraft.picked_up.black_dye: #5, 304(9%)
minecraft.crafted.painting: #5, 47(7%)
minecraft.used.soul_soil: #4, 382(3%)
minecraft.used.player_head: #5, 163(5%)
minecraft.mined.pink_wool: #4, 78(5%)
minecraft.crafted.spruce_stairs: #5, 1180(6%)
minecraft.picked_up.pink_glazed_terracotta: #4, 20(6%)
minecraft.used.polished_diorite_stairs: #4, 66(5%)
minecraft.crafted.cartography_table: #4, 32(3%)
minecraft.crafted.pink_stained_glass_pane: #4, 64(6%)
minecraft.dropped.mushroom_stew: #4, 6(7%)
minecraft.picked_up.salmon: #5, 140(6%)
minecraft.used.music_disc_5: #4, 2(6%)
minecraft.picked_up.cherry_stairs: #4, 3(9%)
minecraft.mined.acacia_planks: #4, 61(3%)
minecraft.dropped.pink_shulker_box: #4, 1(10%)
minecraft.used.sweet_berries: #6, 1578(8%)
minecraft.picked_up.yellow_wool: #5, 447(6%)
minecraft.used.diorite_slab: #5, 127(11%)
minecraft.picked_up.recovery_compass: #4, 1(8%)
minecraft.mined.light_blue_stained_glass: #4, 34(3%)
minecraft.crafted.blue_bed: #4, 1(4%)
minecraft.picked_up.nether_sprouts: #4, 38(5%)
