stat, rank, value, (percentage) 
minecraft.used.birch_planks: #18, 137(0%)
minecraft.used.warped_stairs: #18, 4(0%)
minecraft.mined.cyan_concrete: #18, 8(0%)
minecraft.used.rotten_flesh: #18, 1(0%)
minecraft.mined.quartz_block: #18, 5(0%)
minecraft.dropped.pumpkin_seeds: #18, 8(0%)
minecraft.picked_up.warped_slab: #18, 1(0%)
minecraft.used.stripped_birch_log: #18, 1(0%)
minecraft.picked_up.carved_pumpkin: #19, 156(1%)
minecraft.crafted.dark_oak_fence: #19, 117(1%)
minecraft.crafted.copper_ingot: #19, 503(1%)
minecraft.crafted.quartz_block: #19, 372(0%)
minecraft.mined.stripped_spruce_log: #19, 39(0%)
minecraft.picked_up.stripped_spruce_log: #19, 39(0%)
minecraft.used.gold_block: #19, 17(0%)
minecraft.picked_up.warped_stem: #19, 58(0%)
minecraft.used.warped_planks: #19, 45(0%)
minecraft.mined.oxidized_copper: #19, 45(0%)
minecraft.picked_up.oxidized_copper: #19, 45(0%)
minecraft.picked_up.dripstone_block: #19, 18(0%)
minecraft.picked_up.acacia_planks: #19, 4(0%)
minecraft.used.cobblestone_stairs: #19, 6(0%)
minecraft.mined.warped_planks: #19, 10(0%)
minecraft.crafted.stone_stairs: #19, 12(0%)
minecraft.picked_up.soul_lantern: #19, 1(0%)
minecraft.dropped.sweet_berries: #19, 3(0%)
minecraft.mined.warped_wart_block: #19, 28(0%)
minecraft.crafted.warped_stairs: #19, 4(0%)
minecraft.mined.white_concrete_powder: #19, 1(0%)
minecraft.used.pointed_dripstone: #19, 3(0%)
minecraft.dropped.diamond_shovel: #20, 3(2%)
minecraft.picked_up.oak_fence: #20, 20(1%)
minecraft.used.spruce_log: #20, 386(1%)
minecraft.mined.oak_fence: #20, 17(1%)
minecraft.dropped.goat_horn: #20, 1(1%)
minecraft.crafted.diamond_hoe: #20, 1(1%)
minecraft.crafted.spruce_fence: #20, 144(1%)
minecraft.crafted.ender_eye: #20, 10(1%)
minecraft.crafted.dark_oak_door: #20, 3(1%)
minecraft.used.granite: #20, 107(0%)
minecraft.dropped.oak_log: #20, 64(0%)
minecraft.picked_up.saddle: #20, 2(0%)
minecraft.mined.stone_stairs: #20, 11(0%)
minecraft.dropped.tuff: #20, 92(0%)
minecraft.picked_up.armor_stand: #20, 7(0%)
minecraft.used.dark_oak_door: #20, 1(0%)
minecraft.crafted.spruce_sign: #20, 6(0%)
minecraft.used.peony: #20, 1(0%)
minecraft.picked_up.red_concrete: #20, 48(0%)
minecraft.picked_up.cooked_porkchop: #20, 144(0%)
minecraft.picked_up.white_terracotta: #20, 45(0%)
minecraft.mined.exposed_copper: #20, 3(0%)
minecraft.picked_up.exposed_copper: #20, 3(0%)
minecraft.used.oak_leaves: #20, 42(0%)
minecraft.used.sandstone: #20, 18(0%)
minecraft.picked_up.red_dye: #20, 1(0%)
minecraft.mined.green_concrete: #20, 5(0%)
minecraft.mined.smooth_sandstone: #20, 2(0%)
minecraft.picked_up.paper: #20, 17(0%)
minecraft.picked_up.smooth_sandstone: #20, 2(0%)
minecraft.crafted.emerald_block: #20, 7(0%)
minecraft.killed.witch: #20, 1(0%)
minecraft.picked_up.written_book: #21, 5(1%)
minecraft.dropped.iron_shovel: #21, 1(1%)
minecraft.used.carved_pumpkin: #21, 5(1%)
minecraft.mined.birch_leaves: #21, 425(0%)
minecraft.used.spruce_fence: #21, 99(0%)
minecraft.custom.bell_ring: #21, 13(0%)
minecraft.used.diamond_hoe: #21, 1890(0%)
minecraft.picked_up.dark_oak_sign: #21, 4(0%)
minecraft.used.splash_potion: #21, 3(0%)
minecraft.used.spruce_sign: #21, 5(0%)
minecraft.dropped.item_frame: #21, 1(0%)
minecraft.dropped.filled_map: #21, 120(0%)
minecraft.mined.farmland: #21, 2(0%)
minecraft.picked_up.stone_stairs: #21, 11(0%)
minecraft.mined.dark_oak_fence: #21, 4(0%)
minecraft.used.dark_oak_sapling: #21, 14(0%)
minecraft.crafted.dark_oak_sign: #21, 3(0%)
minecraft.dropped.snowball: #21, 28(0%)
minecraft.crafted.blaze_powder: #21, 10(0%)
minecraft.picked_up.smooth_quartz: #21, 10(0%)
minecraft.mined.spruce_fence_gate: #21, 1(0%)
minecraft.mined.smooth_quartz_slab: #21, 2(0%)
minecraft.mined.red_concrete: #21, 26(0%)
minecraft.mined.sandstone: #21, 185(0%)
minecraft.picked_up.sandstone: #21, 178(0%)
minecraft.dropped.oak_leaves: #21, 2(0%)
minecraft.picked_up.warped_wart_block: #21, 28(0%)
minecraft.picked_up.mangrove_trapdoor: #21, 1(0%)
minecraft.used.spyglass: #21, 2(0%)
minecraft.crafted.jungle_planks: #21, 32(0%)
minecraft.mined.large_fern: #21, 1(0%)
minecraft.mined.jungle_log: #21, 9(0%)
minecraft.picked_up.quartz_block: #21, 5(0%)
minecraft.dropped.diamond_axe: #22, 3(2%)
minecraft.picked_up.diamond_leggings: #22, 9(1%)
minecraft.dropped.diamond_helmet: #22, 1(1%)
minecraft.dropped.golden_carrot: #22, 65(1%)
minecraft.custom.boat_one_cm: #22, 1993813(1%)
minecraft.custom.horse_one_cm: #22, 274688(0%)
minecraft.dropped.netherite_pickaxe: #22, 1(0%)
minecraft.picked_up.nether_quartz_ore: #22, 59(0%)
minecraft.used.birch_log: #22, 57(0%)
minecraft.mined.snow: #22, 1344(0%)
minecraft.picked_up.filled_map: #22, 132(0%)
minecraft.used.poppy: #22, 1(0%)
minecraft.dropped.bundle: #22, 1(0%)
minecraft.used.bundle: #22, 3(0%)
minecraft.used.copper_block: #22, 59(0%)
minecraft.mined.soul_soil: #22, 39(0%)
minecraft.crafted.warped_planks: #22, 120(0%)
minecraft.used.smooth_quartz_stairs: #22, 8(0%)
minecraft.crafted.copper_block: #22, 55(0%)
minecraft.mined.cobweb: #22, 4(0%)
minecraft.picked_up.emerald: #22, 82(0%)
minecraft.picked_up.spruce_fence_gate: #22, 1(0%)
minecraft.used.copper_ore: #22, 7(0%)
minecraft.mined.gray_concrete: #22, 12(0%)
minecraft.picked_up.copper_ingot: #22, 16(0%)
minecraft.custom.traded_with_villager: #22, 144(0%)
minecraft.picked_up.gray_concrete: #22, 8(0%)
minecraft.used.white_concrete: #22, 13(0%)
minecraft.picked_up.jungle_log: #22, 8(0%)
minecraft.used.clay: #22, 2(0%)
minecraft.dropped.spectral_arrow: #22, 1(0%)
minecraft.mined.jungle_leaves: #22, 1(0%)
minecraft.picked_up.diamond_boots: #23, 9(1%)
minecraft.custom.player_kills: #23, 9(1%)
minecraft.custom.interact_with_lectern: #23, 77(1%)
minecraft.picked_up.iron_shovel: #23, 2(1%)
minecraft.dropped.torch: #23, 64(1%)
