stat, rank, value, (percentage) 
minecraft.picked_up.shield: #1, 43(15%)
minecraft.dropped.stripped_crimson_hyphae: #1, 42(89%)
minecraft.picked_up.acacia_log: #2, 7388(20%)
minecraft.picked_up.acacia_fence: #1, 33(37%)
minecraft.mined.acacia_slab: #1, 114(40%)
minecraft.mined.brown_mushroom: #1, 771(19%)
minecraft.custom.interact_with_blast_furnace: #1, 877(16%)
minecraft.picked_up.purple_banner: #1, 20(62%)
minecraft.mined.loom: #1, 49(21%)
minecraft.mined.purpur_slab: #1, 85(24%)
minecraft.used.pink_shulker_box: #1, 400(18%)
minecraft.used.acacia_log: #2, 2783(23%)
minecraft.picked_up.sweet_berries: #1, 4255(13%)
minecraft.used.red_sandstone: #1, 342(86%)
minecraft.dropped.pitcher_pod: #1, 847(61%)
minecraft.used.jungle_leaves: #1, 1305(25%)
minecraft.crafted.orange_stained_glass_pane: #1, 576(32%)
minecraft.crafted.light_gray_bed: #1, 13(35%)
minecraft.mined.pink_shulker_box: #1, 375(18%)
minecraft.dropped.blue_wool: #1, 569(47%)
minecraft.picked_up.pink_shulker_box: #1, 380(17%)
minecraft.picked_up.crimson_nylium: #2, 6365(22%)
minecraft.used.pitcher_plant: #1, 67(38%)
minecraft.used.sweet_berries: #1, 2640(13%)
minecraft.picked_up.polished_diorite_slab: #1, 144(46%)
minecraft.crafted.light_blue_bed: #1, 26(38%)
minecraft.mined.large_fern: #1, 651(20%)
minecraft.used.pink_stained_glass_pane: #1, 526(83%)
minecraft.picked_up.smooth_stone_slab: #1, 697(17%)
minecraft.picked_up.purple_concrete_powder: #1, 240(37%)
minecraft.picked_up.purple_carpet: #1, 7499(51%)
minecraft.mined.warped_roots: #2, 1179(20%)
minecraft.used.purpur_slab: #1, 255(51%)
minecraft.picked_up.stripped_crimson_hyphae: #1, 523(45%)
minecraft.picked_up.purpur_slab: #1, 83(22%)
minecraft.crafted.copper_ingot: #2, 15960(19%)
minecraft.used.warped_hyphae: #1, 1992(27%)
minecraft.dropped.warped_hyphae: #1, 192(57%)
minecraft.crafted.leather_helmet: #1, 28(25%)
minecraft.used.orange_terracotta: #2, 2429(22%)
minecraft.used.jungle_stairs: #1, 423(39%)
minecraft.dropped.orange_carpet: #1, 640(98%)
minecraft.used.mangrove_door: #1, 36(30%)
minecraft.mined.podzol: #3, 8124(19%)
minecraft.crafted.birch_wood: #1, 888(20%)
minecraft.picked_up.mangrove_door: #1, 22(31%)
minecraft.picked_up.lime_concrete: #2, 2898(23%)
minecraft.picked_up.brown_stained_glass: #1, 422(54%)
minecraft.picked_up.blue_carpet: #2, 1144(32%)
minecraft.picked_up.cyan_banner: #1, 39(41%)
