stat, rank, value, (percentage) 
minecraft.picked_up.stone_shovel: #5, 10(9%)
minecraft.used.gray_terracotta: #4, 2170(6%)
minecraft.mined.stripped_acacia_log: #4, 105(5%)
minecraft.used.warped_wart_block: #4, 810(5%)
minecraft.picked_up.daylight_detector: #4, 24(9%)
minecraft.picked_up.oak_trapdoor: #5, 113(6%)
minecraft.picked_up.spore_blossom: #5, 48(8%)
minecraft.crafted.oak_stairs: #5, 376(8%)
minecraft.picked_up.enchanted_golden_apple: #4, 7(10%)
minecraft.mined.purple_shulker_box: #5, 140(9%)
minecraft.used.light_blue_wool: #4, 470(4%)
minecraft.mined.horn_coral: #4, 20(5%)
minecraft.mined.warped_fence: #4, 31(6%)
minecraft.picked_up.chiseled_sandstone: #4, 12(6%)
minecraft.crafted.pink_shulker_box: #4, 8(4%)
minecraft.crafted.orange_bed: #4, 3(11%)
minecraft.used.light_gray_concrete_powder: #5, 4382(9%)
minecraft.used.sculk_shrieker: #4, 51(7%)
minecraft.crafted.orange_dye: #5, 2478(8%)
minecraft.picked_up.dark_prismarine_stairs: #4, 69(12%)
minecraft.picked_up.green_stained_glass: #4, 145(6%)
minecraft.mined.yellow_wall_banner: #4, 7(14%)
minecraft.used.oak_slab: #5, 650(7%)
minecraft.picked_up.end_stone_brick_wall: #4, 9(11%)
minecraft.mined.torchflower: #4, 19(6%)
minecraft.picked_up.acacia_door: #4, 4(11%)
minecraft.mined.dead_bush: #5, 336(7%)
minecraft.mined.dried_kelp_block: #4, 23(12%)
minecraft.used.twisting_vines: #4, 59(6%)
minecraft.mined.weathered_cut_copper: #4, 4(8%)
minecraft.picked_up.wither_skeleton_skull: #4, 131(5%)
minecraft.killed.bee: #4, 7(5%)
minecraft.crafted.acacia_button: #5, 36(10%)
minecraft.used.acacia_fence_gate: #4, 7(11%)
minecraft.picked_up.gray_concrete: #5, 2577(7%)
minecraft.used.yellow_banner: #4, 17(7%)
minecraft.killed.phantom: #5, 63(7%)
minecraft.picked_up.end_rod: #5, 276(6%)
minecraft.mined.cake: #4, 5(8%)
minecraft.picked_up.white_concrete_powder: #4, 1302(4%)
minecraft.picked_up.iron_door: #5, 35(7%)
minecraft.used.chainmail_chestplate: #4, 1(12%)
minecraft.mined.red_terracotta: #5, 2568(7%)
minecraft.mined.stripped_jungle_log: #4, 170(4%)
minecraft.crafted.polished_blackstone: #5, 2730(8%)
minecraft.picked_up.spruce_fence_gate: #5, 105(8%)
minecraft.picked_up.flowering_azalea_leaves: #5, 1773(6%)
minecraft.mined.granite: #5, 15358(6%)
minecraft.used.mud_brick_slab: #4, 219(5%)
minecraft.crafted.yellow_dye: #5, 3368(7%)
minecraft.used.stripped_acacia_log: #4, 95(6%)
minecraft.crafted.magenta_concrete_powder: #4, 384(6%)
minecraft.mined.yellow_terracotta: #5, 1103(7%)
minecraft.dropped.andesite_wall: #4, 32(10%)
minecraft.picked_up.torchflower: #4, 19(5%)
minecraft.crafted.jungle_trapdoor: #4, 372(5%)
minecraft.picked_up.mushroom_stem: #5, 3433(7%)
minecraft.crafted.magenta_wool: #4, 55(8%)
minecraft.dropped.netherite_leggings: #5, 5(9%)
minecraft.mined.end_stone_brick_wall: #4, 9(9%)
minecraft.used.magenta_dye: #4, 3(6%)
minecraft.crafted.brown_stained_glass: #4, 392(7%)
minecraft.mined.orange_wool: #5, 171(8%)
minecraft.used.brown_concrete_powder: #5, 303(8%)
minecraft.mined.stone_pressure_plate: #5, 26(9%)
minecraft.used.mangrove_sign: #5, 44(10%)
minecraft.used.warped_fence: #5, 195(10%)
minecraft.dropped.white_banner: #5, 574(9%)
minecraft.used.acacia_leaves: #4, 40(7%)
minecraft.crafted.blue_banner: #4, 10(11%)
minecraft.used.smooth_stone: #5, 1702(6%)
minecraft.mined.warped_slab: #4, 106(4%)
minecraft.used.polished_granite_stairs: #4, 85(9%)
minecraft.mined.yellow_stained_glass_pane: #4, 22(5%)
minecraft.used.torchflower: #4, 7(6%)
minecraft.used.gray_stained_glass: #4, 940(3%)
minecraft.mined.deepslate_emerald_ore: #4, 3(8%)
minecraft.picked_up.heart_pottery_sherd: #4, 2(7%)
minecraft.picked_up.nether_star: #4, 16(3%)
minecraft.picked_up.andesite: #5, 13860(5%)
minecraft.picked_up.stripped_jungle_log: #4, 169(3%)
minecraft.picked_up.diamond_hoe: #5, 24(8%)
minecraft.dropped.sand: #5, 1988(6%)
minecraft.used.copper_ore: #5, 1128(7%)
minecraft.used.dark_prismarine_stairs: #4, 164(6%)
minecraft.dropped.pink_dye: #4, 18(7%)
minecraft.dropped.black_bed: #4, 1(14%)
minecraft.picked_up.goat_horn: #5, 16(6%)
minecraft.crafted.lightning_rod: #5, 247(7%)
minecraft.crafted.brown_stained_glass_pane: #4, 32(8%)
minecraft.used.azalea_leaves: #5, 2411(6%)
minecraft.dropped.deepslate_lapis_ore: #4, 6(7%)
minecraft.picked_up.azalea_leaves: #5, 4610(6%)
minecraft.crafted.bamboo_hanging_sign: #4, 6(11%)
minecraft.used.filled_map: #4, 3(11%)
minecraft.dropped.ender_chest: #5, 20(7%)
minecraft.picked_up.deepslate_emerald_ore: #4, 3(7%)
minecraft.mined.lapis_ore: #5, 261(5%)
minecraft.mined.flower_pot: #5, 15(7%)
minecraft.used.glass_bottle: #5, 629(6%)
minecraft.crafted.raw_copper_block: #5, 1059(7%)
minecraft.used.end_stone_brick_wall: #4, 14(7%)
minecraft.used.polished_granite: #5, 1009(9%)
minecraft.used.warped_slab: #5, 887(8%)
minecraft.used.tnt_minecart: #4, 4(9%)
minecraft.used.tripwire_hook: #5, 41(8%)
minecraft.picked_up.glass_pane: #5, 197(7%)
minecraft.used.stone_axe: #5, 457(6%)
minecraft.picked_up.birch_wood: #5, 47(9%)
minecraft.used.stripped_jungle_log: #4, 121(5%)
minecraft.used.lingering_potion: #4, 2(5%)
minecraft.used.black_dye: #4, 1(12%)
minecraft.mined.red_wool: #5, 288(7%)
minecraft.crafted.light_gray_concrete_powder: #5, 4336(8%)
minecraft.used.spore_blossom: #5, 26(7%)
minecraft.crafted.end_stone_brick_wall: #4, 14(6%)
minecraft.picked_up.weeping_vines: #5, 235(6%)
minecraft.dropped.podzol: #5, 38(8%)
minecraft.used.iron_chestplate: #5, 5(7%)
minecraft.crafted.beacon: #4, 13(3%)
minecraft.mined.rooted_dirt: #5, 980(6%)
minecraft.mined.polished_deepslate: #5, 549(6%)
minecraft.crafted.grindstone: #6, 136(9%)
minecraft.dropped.gold_ingot: #4, 572(2%)
minecraft.mined.waxed_cut_copper_slab: #4, 15(5%)
minecraft.crafted.magenta_banner: #4, 10(9%)
minecraft.picked_up.disc_fragment_5: #4, 13(6%)
minecraft.picked_up.waxed_cut_copper_slab: #4, 15(5%)
minecraft.mined.light_gray_stained_glass: #4, 163(2%)
minecraft.used.warped_trapdoor: #5, 286(7%)
minecraft.crafted.oak_button: #5, 45(7%)
minecraft.mined.yellow_concrete_powder: #4, 64(4%)
minecraft.crafted.smooth_sandstone: #5, 640(8%)
minecraft.mined.light_gray_wall_banner: #4, 1(6%)
minecraft.mined.andesite: #5, 14009(5%)
minecraft.used.crimson_stem: #5, 2080(5%)
minecraft.picked_up.golden_apple: #5, 53(6%)
minecraft.dropped.cut_copper_stairs: #4, 3(6%)
minecraft.mined.polished_diorite_slab: #4, 6(4%)
minecraft.used.mangrove_trapdoor: #5, 214(6%)
minecraft.used.stone_brick_stairs: #5, 528(6%)
minecraft.picked_up.jungle_fence_gate: #4, 9(4%)
minecraft.used.spruce_sign: #6, 198(7%)
minecraft.mined.polished_diorite: #4, 57(2%)
minecraft.picked_up.dark_oak_door: #5, 22(7%)
minecraft.mined.cyan_glazed_terracotta: #4, 1(9%)
minecraft.used.waxed_weathered_cut_copper: #4, 29(4%)
minecraft.mined.birch_pressure_plate: #4, 3(6%)
minecraft.dropped.netherite_pickaxe: #5, 12(6%)
minecraft.mined.piston_head: #5, 32(7%)
minecraft.used.mangrove_slab: #5, 227(6%)
minecraft.picked_up.stone_pressure_plate: #5, 38(6%)
minecraft.used.netherite_hoe: #5, 25119(9%)
minecraft.picked_up.mangrove_fence: #5, 22(9%)
minecraft.dropped.red_mushroom: #5, 67(6%)
minecraft.crafted.popped_chorus_fruit: #4, 101(4%)
minecraft.dropped.coarse_dirt: #5, 210(6%)
minecraft.crafted.stone_pickaxe: #5, 9(5%)
minecraft.crafted.blue_shulker_box: #5, 6(7%)
minecraft.picked_up.soul_lantern: #5, 66(6%)
minecraft.picked_up.copper_ingot: #4, 663(1%)
minecraft.used.cartography_table: #5, 18(8%)
minecraft.crafted.mangrove_slab: #5, 252(6%)
minecraft.crafted.mangrove_fence: #5, 135(7%)
minecraft.crafted.amethyst_block: #5, 644(11%)
minecraft.picked_up.bricks: #5, 607(6%)
minecraft.mined.big_dripleaf: #5, 19(5%)
minecraft.mined.big_dripleaf_stem: #5, 20(6%)
minecraft.used.bamboo_hanging_sign: #4, 4(7%)
minecraft.mined.warped_hyphae: #4, 45(2%)
minecraft.crafted.lime_banner: #4, 10(4%)
minecraft.dropped.red_dye: #5, 64(7%)
minecraft.picked_up.green_dye: #4, 1776(2%)
minecraft.picked_up.waxed_weathered_cut_copper_stairs: #4, 12(2%)
minecraft.picked_up.orange_bed: #5, 38(8%)
minecraft.picked_up.big_dripleaf: #5, 229(5%)
minecraft.mined.light_blue_shulker_box: #5, 655(4%)
minecraft.picked_up.green_candle: #5, 6(10%)
minecraft.mined.waxed_weathered_cut_copper_stairs: #4, 12(2%)
minecraft.picked_up.jungle_hanging_sign: #4, 1(5%)
minecraft.picked_up.light_blue_shulker_box: #5, 662(4%)
minecraft.picked_up.trapped_chest: #4, 1(4%)
minecraft.used.jungle_fence_gate: #5, 38(11%)
minecraft.used.netherite_shovel: #5, 186863(13%)
minecraft.mined.potted_azure_bluet: #4, 1(5%)
minecraft.crafted.glistering_melon_slice: #4, 36(2%)
minecraft.used.mud: #5, 2980(5%)
minecraft.mined.purple_carpet: #4, 16(2%)
minecraft.picked_up.shears: #6, 84(8%)
minecraft.picked_up.bookshelf: #5, 124(5%)
minecraft.picked_up.polished_blackstone_wall: #5, 146(9%)
minecraft.mined.andesite_wall: #5, 89(8%)
minecraft.picked_up.cobbled_deepslate: #6, 63275(7%)
minecraft.mined.gray_concrete_powder: #5, 55(6%)
minecraft.picked_up.red_mushroom: #5, 415(5%)
minecraft.used.chorus_flower: #4, 27(2%)
minecraft.picked_up.andesite_stairs: #5, 46(6%)
minecraft.mined.stripped_crimson_stem: #5, 166(5%)
minecraft.mined.sculk_catalyst: #4, 127(1%)
minecraft.picked_up.dead_bush: #5, 242(6%)
minecraft.mined.mangrove_fence: #5, 20(9%)
minecraft.dropped.polished_granite_slab: #4, 5(1%)
minecraft.picked_up.diorite_wall: #5, 101(8%)
minecraft.picked_up.dead_fire_coral_block: #4, 51(2%)
minecraft.picked_up.spruce_sign: #6, 105(7%)
minecraft.dropped.disc_fragment_5: #4, 1(3%)
minecraft.picked_up.oak_sapling: #5, 1561(4%)
minecraft.mined.glow_lichen: #5, 1256(4%)
minecraft.used.deepslate_copper_ore: #5, 66(7%)
minecraft.mined.pink_carpet: #4, 15(1%)
minecraft.dropped.jungle_fence: #4, 2(3%)
minecraft.mined.honeycomb_block: #4, 13(1%)
minecraft.dropped.brown_stained_glass: #4, 2(2%)
minecraft.picked_up.golden_helmet: #5, 20(4%)
minecraft.picked_up.azalea: #6, 1064(7%)
minecraft.picked_up.lime_carpet: #4, 257(1%)
minecraft.crafted.nether_brick_wall: #4, 6(1%)
minecraft.picked_up.white_stained_glass_pane: #5, 102(6%)
minecraft.dropped.cracked_deepslate_tiles: #4, 3(2%)
minecraft.killed.snow_golem: #5, 7(6%)
minecraft.dropped.granite_slab: #4, 3(1%)
minecraft.dropped.golden_carrot: #6, 630(6%)
minecraft.killed.polar_bear: #4, 1(1%)
minecraft.picked_up.fishing_rod: #5, 7(6%)
minecraft.crafted.cyan_shulker_box: #5, 17(5%)
minecraft.crafted.glow_item_frame: #5, 78(5%)
minecraft.mined.deepslate_brick_wall: #5, 58(7%)
minecraft.custom.pot_flower: #6, 115(7%)
minecraft.picked_up.weathered_cut_copper: #5, 5(9%)
minecraft.crafted.green_stained_glass_pane: #5, 160(7%)
minecraft.crafted.light_gray_candle: #4, 9(0%)
minecraft.mined.bamboo_planks: #5, 4(9%)
minecraft.picked_up.cyan_stained_glass: #5, 114(6%)
minecraft.custom.use_cauldron: #4, 15(0%)
minecraft.used.orange_carpet: #4, 59(0%)
minecraft.picked_up.cyan_glazed_terracotta: #4, 1(0%)
minecraft.used.item_frame: #6, 733(7%)
minecraft.dropped.stonecutter: #5, 4(8%)
minecraft.picked_up.polished_blackstone_stairs: #5, 170(6%)
minecraft.picked_up.furnace: #6, 201(6%)
minecraft.mined.brain_coral: #5, 23(6%)
minecraft.mined.acacia_sapling: #5, 35(8%)
minecraft.used.stripped_mangrove_wood: #5, 140(11%)
minecraft.crafted.gray_banner: #5, 22(9%)
minecraft.picked_up.warped_door: #5, 5(9%)
minecraft.dropped.wooden_shovel: #5, 10(6%)
minecraft.mined.bubble_coral: #5, 23(6%)
minecraft.used.oak_planks: #6, 1457(7%)
minecraft.used.bamboo_planks: #5, 10(8%)
minecraft.mined.azalea: #6, 266(6%)
minecraft.crafted.purple_wool: #5, 130(9%)
minecraft.picked_up.diamond_block: #6, 307(6%)
minecraft.used.ender_eye: #5, 16(11%)
minecraft.broken.iron_sword: #5, 2(7%)
minecraft.picked_up.gray_dye: #5, 96(8%)
minecraft.dropped.totem_of_undying: #5, 40(4%)
minecraft.crafted.player_head: #5, 576(6%)
minecraft.used.decorated_pot: #5, 43(6%)
minecraft.broken.iron_leggings: #5, 1(12%)
minecraft.mined.mangrove_roots: #5, 783(4%)
minecraft.mined.chorus_flower: #5, 11(7%)
minecraft.used.polished_blackstone_bricks: #5, 2728(4%)
minecraft.mined.smooth_stone: #5, 247(4%)
minecraft.picked_up.iron_leggings: #5, 18(3%)
minecraft.picked_up.stripped_acacia_log: #5, 105(5%)
minecraft.crafted.iron_helmet: #5, 8(3%)
minecraft.mined.brain_coral_fan: #5, 21(6%)
minecraft.used.barrel: #6, 533(6%)
minecraft.crafted.chest_minecart: #5, 5(5%)
minecraft.used.piston: #6, 1104(7%)
minecraft.picked_up.music_disc_cat: #6, 34(7%)
minecraft.used.gray_stained_glass_pane: #5, 142(6%)
minecraft.used.torch: #6, 10248(5%)
minecraft.picked_up.mangrove_roots: #5, 1453(4%)
minecraft.picked_up.light_gray_stained_glass: #5, 268(4%)
minecraft.mined.prismarine_bricks: #5, 267(3%)
minecraft.crafted.pink_stained_glass: #5, 744(5%)
minecraft.used.jukebox: #6, 60(7%)
minecraft.mined.furnace: #6, 168(6%)
minecraft.killed_by.stray: #5, 1(8%)
minecraft.mined.fire_coral: #5, 23(5%)
minecraft.custom.interact_with_stonecutter: #6, 652(6%)
minecraft.picked_up.oak_slab: #6, 187(7%)
minecraft.picked_up.brown_dye: #5, 59(7%)
minecraft.picked_up.spruce_wood: #6, 274(8%)
minecraft.used.black_terracotta: #5, 875(4%)
minecraft.picked_up.bubble_coral: #5, 17(4%)
minecraft.picked_up.hanging_roots: #5, 131(5%)
minecraft.picked_up.prismarine_wall: #5, 4(9%)
minecraft.used.andesite_wall: #5, 641(4%)
minecraft.custom.open_chest: #7, 48464(6%)
minecraft.mined.ender_chest: #6, 1010(6%)
minecraft.used.chorus_fruit: #5, 12(3%)
minecraft.dropped.stone: #6, 17202(6%)
minecraft.crafted.andesite: #5, 1920(7%)
minecraft.dropped.jungle_leaves: #5, 29(7%)
minecraft.broken.golden_helmet: #5, 1(9%)
minecraft.used.crimson_fence: #5, 103(5%)
minecraft.picked_up.warped_stem: #6, 2196(7%)
minecraft.mined.shulker_box: #6, 3953(5%)
minecraft.picked_up.purple_wool: #5, 173(5%)
minecraft.picked_up.spruce_slab: #6, 790(6%)
minecraft.mined.gold_block: #5, 167(3%)
minecraft.mined.stripped_bamboo_block: #5, 21(7%)
minecraft.picked_up.stripped_bamboo_block: #5, 21(7%)
minecraft.picked_up.chest: #6, 1217(5%)
minecraft.picked_up.book: #6, 3906(5%)
minecraft.used.oak_trapdoor: #6, 513(6%)
minecraft.used.ender_chest: #6, 1013(6%)
minecraft.mined.spruce_pressure_plate: #5, 4(5%)
minecraft.picked_up.netherite_boots: #6, 33(7%)
minecraft.picked_up.brain_coral: #5, 16(5%)
minecraft.picked_up.water_bucket: #6, 67(5%)
minecraft.picked_up.magenta_wool: #5, 192(4%)
minecraft.used.dead_bush: #5, 42(5%)
minecraft.used.polished_andesite_stairs: #6, 831(6%)
minecraft.picked_up.horn_coral: #5, 13(4%)
minecraft.picked_up.barrel: #6, 210(5%)
minecraft.crafted.wooden_axe: #5, 4(3%)
minecraft.used.peony: #5, 10(3%)
minecraft.used.iron_pickaxe: #6, 4724(5%)
minecraft.mined.cut_copper_slab: #5, 31(5%)
minecraft.picked_up.cut_copper_slab: #5, 32(4%)
minecraft.mined.smooth_stone_slab: #6, 186(6%)
minecraft.used.diamond_hoe: #6, 29266(6%)
minecraft.killed.cat: #5, 1(8%)
minecraft.picked_up.red_banner: #6, 34(8%)
minecraft.crafted.spruce_sign: #6, 138(6%)
minecraft.picked_up.gilded_blackstone: #5, 32(3%)
minecraft.picked_up.iron_helmet: #6, 10(6%)
minecraft.used.cyan_wool: #5, 297(3%)
minecraft.crafted.yellow_terracotta: #6, 1096(8%)
minecraft.mined.horn_coral_wall_fan: #5, 49(3%)
minecraft.picked_up.mutton: #6, 126(6%)
minecraft.used.polished_granite_slab: #6, 636(9%)
minecraft.crafted.crimson_hyphae: #5, 186(4%)
minecraft.used.netherite_pickaxe: #6, 358573(6%)
minecraft.dropped.white_stained_glass: #5, 70(4%)
minecraft.mined.tripwire: #6, 146(6%)
minecraft.used.purple_terracotta: #5, 175(4%)
minecraft.mined.polished_blackstone_slab: #5, 59(3%)
minecraft.used.cut_copper_slab: #5, 487(3%)
minecraft.picked_up.dried_kelp_block: #5, 23(5%)
minecraft.mined.brain_coral_wall_fan: #5, 50(3%)
minecraft.crafted.bamboo_trapdoor: #5, 40(5%)
minecraft.mined.diamond_block: #6, 215(6%)
minecraft.used.light_gray_carpet: #5, 362(2%)
minecraft.picked_up.cooked_mutton: #5, 20(3%)
minecraft.mined.sea_lantern: #6, 125(6%)
minecraft.picked_up.mossy_cobblestone_wall: #5, 8(4%)
minecraft.picked_up.iron_block: #6, 2312(5%)
minecraft.crafted.polished_blackstone_wall: #5, 34(4%)
minecraft.used.music_disc_cat: #6, 21(9%)
minecraft.picked_up.gold_ingot: #5, 608(2%)
minecraft.picked_up.light_gray_concrete: #6, 1852(7%)
minecraft.crafted.blackstone_wall: #5, 19(4%)
minecraft.dropped.bowl: #6, 17(7%)
minecraft.used.tube_coral_fan: #5, 21(3%)
minecraft.dropped.mangrove_log: #5, 16(3%)
minecraft.picked_up.brain_coral_fan: #5, 47(2%)
minecraft.dropped.lantern: #5, 50(2%)
minecraft.used.pink_stained_glass: #5, 335(3%)
minecraft.mined.deepslate_bricks: #6, 832(6%)
minecraft.killed.player: #6, 88(4%)
minecraft.used.light_blue_banner: #5, 4(7%)
minecraft.mined.cobblestone_slab: #5, 129(2%)
minecraft.used.brown_banner: #5, 2(6%)
minecraft.used.bamboo_trapdoor: #5, 35(4%)
minecraft.used.light_gray_candle: #5, 9(5%)
minecraft.mined.cracked_deepslate_tiles: #5, 4(5%)
minecraft.mined.acacia_stairs: #5, 6(6%)
minecraft.mined.orange_glazed_terracotta: #5, 5(5%)
minecraft.mined.light_gray_concrete_powder: #5, 101(2%)
minecraft.picked_up.sheaf_pottery_sherd: #5, 1(4%)
minecraft.crafted.birch_hanging_sign: #5, 6(6%)
minecraft.picked_up.purple_candle: #5, 7(4%)
minecraft.crafted.warped_fence: #6, 165(8%)
minecraft.used.shield: #6, 279(6%)
minecraft.mined.farmland: #6, 56(6%)
minecraft.picked_up.brush: #5, 1(6%)
minecraft.used.crimson_fungus: #5, 120(2%)
minecraft.mined.glass_pane: #6, 61(6%)
minecraft.picked_up.crimson_fence_gate: #5, 4(4%)
minecraft.used.crimson_hyphae: #5, 188(3%)
minecraft.crafted.mangrove_trapdoor: #6, 224(6%)
minecraft.mined.deepslate_copper_ore: #6, 163(6%)
minecraft.mined.hanging_roots: #5, 120(2%)
minecraft.picked_up.waxed_exposed_cut_copper: #5, 9(3%)
minecraft.mined.bubble_coral_wall_fan: #5, 36(2%)
minecraft.dropped.light_gray_stained_glass: #5, 15(3%)
minecraft.used.magenta_stained_glass: #5, 199(2%)
minecraft.used.polished_blackstone_wall: #5, 255(2%)
minecraft.used.air: #5, 77(2%)
minecraft.used.golden_boots: #5, 1(5%)
minecraft.used.cyan_stained_glass: #5, 218(2%)
minecraft.crafted.brewing_stand: #6, 33(6%)
minecraft.picked_up.spruce_pressure_plate: #6, 16(8%)
minecraft.used.mossy_stone_bricks: #6, 252(6%)
minecraft.used.prismarine_brick_stairs: #5, 15(5%)
minecraft.used.bone_meal: #6, 14137(4%)
minecraft.mined.spruce_planks: #6, 965(4%)
minecraft.picked_up.oxidized_cut_copper: #6, 42(7%)
minecraft.mined.granite_wall: #5, 7(3%)
minecraft.crafted.magenta_stained_glass_pane: #5, 16(3%)
minecraft.picked_up.cut_sandstone_slab: #5, 43(5%)
minecraft.picked_up.green_stained_glass_pane: #5, 15(3%)
minecraft.crafted.purple_terracotta: #6, 832(7%)
minecraft.mined.white_tulip: #5, 3(3%)
minecraft.mined.bamboo_wall_sign: #5, 1(5%)
minecraft.mined.potted_flowering_azalea_bush: #5, 1(4%)
minecraft.used.exposed_cut_copper_stairs: #5, 9(3%)
minecraft.picked_up.suspicious_stew: #6, 14(6%)
minecraft.used.mycelium: #5, 129(3%)
minecraft.mined.potted_allium: #5, 1(5%)
minecraft.mined.weathered_cut_copper_stairs: #5, 1(3%)
minecraft.dropped.green_concrete: #5, 5(3%)
minecraft.used.white_tulip: #5, 3(4%)
minecraft.killed.goat: #5, 1(4%)
minecraft.crafted.netherite_upgrade_smithing_template: #5, 4(4%)
minecraft.crafted.polished_granite_stairs: #5, 8(2%)
minecraft.mined.purple_glazed_terracotta: #5, 2(4%)
minecraft.picked_up.stripped_crimson_stem: #6, 170(5%)
minecraft.dropped.ice: #5, 66(1%)
minecraft.used.weathered_cut_copper_stairs: #5, 5(2%)
minecraft.crafted.end_rod: #5, 224(2%)
minecraft.picked_up.jungle_trapdoor: #5, 115(2%)
minecraft.mined.frosted_ice: #5, 2(2%)
minecraft.dropped.light_gray_shulker_box: #5, 1(3%)
minecraft.dropped.writable_book: #6, 8(6%)
minecraft.mined.polished_andesite: #6, 214(5%)
minecraft.crafted.orange_stained_glass: #6, 1832(8%)
minecraft.picked_up.wither_rose: #5, 64(1%)
minecraft.picked_up.heart_of_the_sea: #5, 2(3%)
minecraft.dropped.birch_wood: #5, 3(2%)
minecraft.picked_up.paper: #5, 550(0%)
minecraft.killed.sheep: #6, 44(4%)
minecraft.crafted.smooth_sandstone_stairs: #5, 9(2%)
minecraft.crafted.shield: #6, 14(5%)
minecraft.crafted.golden_helmet: #6, 5(6%)
minecraft.mined.green_banner: #5, 1(2%)
minecraft.dropped.purple_wool: #5, 37(2%)
minecraft.used.polished_blackstone_brick_slab: #5, 110(2%)
minecraft.picked_up.tripwire_hook: #6, 22(5%)
minecraft.crafted.smooth_basalt: #5, 136(2%)
minecraft.mined.waxed_exposed_cut_copper: #5, 2(1%)
minecraft.picked_up.lime_glazed_terracotta: #5, 5(2%)
minecraft.used.end_stone_brick_slab: #5, 3(2%)
minecraft.used.nether_sprouts: #5, 4(2%)
minecraft.dropped.warped_button: #6, 25(9%)
minecraft.mined.soul_torch: #5, 3(1%)
minecraft.used.flowering_azalea: #6, 86(5%)
minecraft.picked_up.brown_candle: #5, 3(1%)
minecraft.dropped.cactus: #5, 95(0%)
minecraft.crafted.magenta_glazed_terracotta: #5, 17(1%)
minecraft.custom.open_enderchest: #7, 5214(4%)
minecraft.crafted.orange_carpet: #5, 66(1%)
minecraft.dropped.beacon: #5, 1(1%)
minecraft.mined.gray_terracotta: #5, 103(0%)
minecraft.crafted.tripwire_hook: #6, 104(5%)
minecraft.crafted.warped_trapdoor: #6, 242(5%)
minecraft.crafted.warped_slab: #6, 792(5%)
minecraft.mined.polished_granite_stairs: #5, 2(1%)
minecraft.mined.dead_tube_coral_fan: #5, 3(1%)
minecraft.picked_up.cyan_candle: #5, 1(1%)
minecraft.dropped.glow_ink_sac: #6, 67(6%)
minecraft.mined.acacia_wood: #6, 26(6%)
minecraft.mined.dark_prismarine_stairs: #5, 3(1%)
minecraft.killed.endermite: #6, 8(6%)
minecraft.crafted.purple_carpet: #5, 21(0%)
minecraft.used.cut_sandstone_slab: #5, 49(1%)
minecraft.mined.lodestone: #5, 1(0%)
minecraft.mined.orange_concrete_powder: #5, 4(0%)
minecraft.used.magenta_stained_glass_pane: #5, 1(0%)
minecraft.dropped.crossbow: #6, 106(5%)
minecraft.crafted.stripped_mangrove_wood: #5, 3(0%)
minecraft.mined.orange_carpet: #5, 15(0%)
minecraft.mined.cut_sandstone_slab: #5, 2(0%)
minecraft.used.yellow_dye: #6, 15(6%)
minecraft.mined.copper_ore: #7, 4304(6%)
minecraft.mined.prismarine_brick_slab: #5, 7(0%)
minecraft.mined.grass_block: #7, 52488(6%)
minecraft.mined.campfire: #6, 40(4%)
minecraft.killed_by.ender_dragon: #6, 2(9%)
minecraft.dropped.gray_carpet: #6, 65(7%)
minecraft.picked_up.raw_copper: #7, 17317(6%)
minecraft.mined.weeping_vines_plant: #6, 39(5%)
minecraft.picked_up.crimson_planks: #6, 180(4%)
minecraft.crafted.mangrove_sign: #6, 33(7%)
minecraft.picked_up.chain: #7, 337(7%)
minecraft.picked_up.lapis_lazuli: #7, 5547(6%)
minecraft.used.glow_item_frame: #6, 112(4%)
minecraft.picked_up.deepslate_copper_ore: #6, 70(5%)
minecraft.dropped.golden_apple: #6, 17(5%)
minecraft.mined.tall_seagrass: #6, 198(4%)
minecraft.crafted.spruce_wood: #6, 858(4%)
minecraft.picked_up.mud_brick_wall: #6, 14(8%)
minecraft.used.diamond_block: #6, 152(4%)
minecraft.picked_up.ender_chest: #7, 1069(6%)
minecraft.used.crimson_slab: #6, 1384(4%)
minecraft.used.music_disc_otherside: #6, 7(4%)
minecraft.mined.amethyst_cluster: #6, 797(4%)
minecraft.dropped.deepslate_tiles: #6, 43(6%)
minecraft.used.deepslate_brick_wall: #6, 388(4%)
minecraft.picked_up.dark_oak_sapling: #6, 671(3%)
minecraft.picked_up.black_banner: #6, 22(6%)
minecraft.custom.play_record: #7, 87(6%)
minecraft.picked_up.soul_soil: #6, 994(4%)
minecraft.crafted.crimson_fence: #6, 156(5%)
minecraft.mined.chiseled_sandstone: #6, 9(6%)
minecraft.used.bow: #7, 3786(5%)
minecraft.dropped.spruce_sign: #7, 25(8%)
minecraft.picked_up.wooden_sword: #6, 34(3%)
minecraft.used.big_dripleaf: #6, 33(4%)
minecraft.picked_up.nether_bricks: #6, 756(3%)
minecraft.picked_up.deepslate_bricks: #7, 1375(6%)
minecraft.picked_up.beetroot_seeds: #6, 238(4%)
minecraft.picked_up.moss_carpet: #7, 2576(5%)
minecraft.mined.dirt: #7, 45861(5%)
minecraft.mined.cauldron: #6, 14(4%)
minecraft.picked_up.shulker_box: #7, 4123(5%)
minecraft.mined.waxed_exposed_cut_copper_stairs: #6, 12(8%)
minecraft.crafted.purple_shulker_box: #6, 5(4%)
minecraft.picked_up.leather_chestplate: #6, 20(3%)
minecraft.mined.decorated_pot: #6, 16(6%)
