stat, rank, value, (percentage) 
minecraft.used.pointed_dripstone: #1, 91050(95%)
minecraft.used.honey_block: #1, 3316(34%)
minecraft.mined.turtle_egg: #1, 843(70%)
minecraft.picked_up.cornflower: #1, 22946(33%)
minecraft.crafted.respawn_anchor: #1, 244(74%)
minecraft.used.writable_book: #1, 1652(25%)
minecraft.mined.small_dripleaf: #1, 156(37%)
minecraft.mined.water_cauldron: #1, 105(61%)
minecraft.crafted.glistering_melon_slice: #1, 1435(79%)
minecraft.crafted.crimson_fence_gate: #1, 971(71%)
minecraft.crafted.deepslate_tile_stairs: #1, 756(37%)
minecraft.picked_up.birch_stairs: #1, 296(41%)
minecraft.mined.deepslate_redstone_ore: #1, 10073(25%)
minecraft.picked_up.bamboo_trapdoor: #1, 172(77%)
minecraft.mined.dark_oak_fence: #1, 726(32%)
minecraft.picked_up.dark_prismarine: #1, 1500(32%)
minecraft.picked_up.vine: #1, 2745(35%)
minecraft.crafted.deepslate_bricks: #1, 13156(32%)
minecraft.used.cookie: #1, 247(42%)
minecraft.crafted.red_dye: #1, 27353(28%)
minecraft.picked_up.lime_stained_glass_pane: #1, 899(58%)
minecraft.crafted.cobblestone_slab: #2, 5104(34%)
minecraft.mined.crafting_table: #1, 1405(20%)
minecraft.used.cobweb: #1, 767(47%)
minecraft.mined.deepslate_iron_ore: #1, 5109(23%)
minecraft.used.turtle_egg: #1, 843(75%)
minecraft.crafted.dispenser: #1, 2120(32%)
minecraft.picked_up.glowstone_dust: #1, 4865(30%)
minecraft.used.respawn_anchor: #1, 210(68%)
minecraft.dropped.seagrass: #1, 131(62%)
minecraft.used.light_blue_concrete_powder: #1, 1570(41%)
minecraft.used.anvil: #1, 877(24%)
minecraft.crafted.cut_copper_slab: #1, 394(52%)
minecraft.picked_up.crafting_table: #1, 1507(19%)
minecraft.used.lingering_potion: #1, 29(66%)
minecraft.used.netherite_boots: #1, 161(40%)
minecraft.picked_up.redstone: #1, 48753(22%)
minecraft.mined.polished_andesite_stairs: #1, 556(26%)
minecraft.dropped.golden_leggings: #1, 150(35%)
minecraft.dropped.golden_chestplate: #2, 147(34%)
minecraft.mined.bamboo_trapdoor: #1, 173(78%)
minecraft.used.dark_oak_leaves: #1, 2604(47%)
minecraft.mined.player_wall_head: #1, 181(25%)
minecraft.dropped.amethyst_shard: #1, 2522(38%)
minecraft.mined.ochre_froglight: #1, 596(40%)
minecraft.used.end_rod: #1, 1620(26%)
minecraft.used.player_head: #1, 681(20%)
minecraft.picked_up.goat_horn: #1, 70(24%)
minecraft.crafted.cyan_dye: #1, 11124(27%)
minecraft.used.crafting_table: #1, 1500(18%)
minecraft.picked_up.filled_map: #2, 22742(21%)
minecraft.used.elytra: #1, 238(19%)
minecraft.used.netherrack: #1, 40729(23%)
minecraft.dropped.magenta_glazed_terracotta: #1, 1336(84%)
minecraft.mined.anvil: #1, 296(26%)
minecraft.mined.carved_pumpkin: #2, 5713(27%)
minecraft.picked_up.peony: #1, 3168(27%)
minecraft.mined.oxidized_cut_copper_slab: #1, 506(39%)
minecraft.picked_up.diamond: #1, 7262(19%)
minecraft.picked_up.music_disc_otherside: #1, 73(29%)
minecraft.picked_up.dark_oak_leaves: #1, 5176(30%)
minecraft.picked_up.amethyst_cluster: #1, 1954(29%)
minecraft.crafted.deepslate_tiles: #2, 6820(32%)
minecraft.used.cyan_dye: #1, 206(47%)
minecraft.mined.rail: #1, 10329(23%)
minecraft.used.crimson_slab: #1, 9983(30%)
minecraft.mined.deepslate_tile_wall: #1, 312(31%)
minecraft.used.glow_berries: #1, 950(22%)
minecraft.custom.interact_with_smithing_table: #1, 327(20%)
minecraft.used.chicken: #1, 34(40%)
minecraft.dropped.blue_carpet: #1, 82(72%)
minecraft.picked_up.honey_bottle: #1, 648(43%)
minecraft.mined.vine: #1, 2867(22%)
minecraft.mined.sugar_cane: #2, 19764(27%)
minecraft.used.glow_item_frame: #1, 745(29%)
minecraft.custom.interact_with_lectern: #2, 1957(18%)
minecraft.mined.deepslate_gold_ore: #1, 3487(21%)
minecraft.picked_up.sculk_catalyst: #1, 393(40%)
minecraft.picked_up.smooth_stone: #1, 3681(26%)
minecraft.used.light_weighted_pressure_plate: #1, 6318(53%)
minecraft.used.lodestone: #1, 424(79%)
minecraft.mined.glowstone: #1, 2102(23%)
minecraft.picked_up.cracked_deepslate_tiles: #1, 407(63%)
minecraft.used.light_blue_concrete: #1, 1054(40%)
minecraft.picked_up.diamond_block: #1, 1022(19%)
minecraft.killed.phantom: #1, 224(23%)
minecraft.picked_up.light_blue_concrete: #1, 1185(35%)
minecraft.mined.white_wall_banner: #1, 47(42%)
minecraft.crafted.deepslate_tile_wall: #1, 395(39%)
minecraft.mined.jack_o_lantern: #1, 1086(45%)
minecraft.crafted.lodestone: #1, 311(89%)
minecraft.mined.light_blue_concrete: #1, 1126(34%)
minecraft.mined.end_rod: #1, 578(22%)
minecraft.used.netherite_helmet: #1, 177(56%)
minecraft.used.polished_andesite_slab: #1, 6658(26%)
minecraft.crafted.crimson_slab: #1, 9771(27%)
minecraft.used.diamond_block: #1, 1021(24%)
minecraft.mined.green_stained_glass_pane: #1, 256(68%)
minecraft.killed.turtle: #1, 925(87%)
minecraft.used.lime_glazed_terracotta: #1, 314(68%)
minecraft.used.red_candle: #1, 602(43%)
minecraft.custom.open_shulker_box: #1, 144076(13%)
minecraft.mined.gray_wool: #2, 2124(32%)
minecraft.picked_up.ochre_froglight: #1, 864(29%)
minecraft.custom.fly_one_cm: #1, 248425842(9%)
minecraft.used.red_banner: #1, 408(33%)
minecraft.picked_up.dark_oak_pressure_plate: #1, 139(86%)
minecraft.mined.lava_cauldron: #1, 28(67%)
minecraft.crafted.deepslate_tile_slab: #1, 1188(28%)
minecraft.picked_up.cyan_shulker_box: #1, 1342(18%)
minecraft.killed.axolotl: #1, 1263(99%)
minecraft.picked_up.iron_helmet: #1, 38(21%)
minecraft.used.netherite_leggings: #1, 168(45%)
minecraft.used.dried_kelp_block: #1, 306(59%)
minecraft.crafted.sticky_piston: #1, 3221(23%)
minecraft.used.deepslate_tile_stairs: #1, 3216(25%)
minecraft.mined.smooth_quartz_stairs: #1, 269(23%)
minecraft.mined.deepslate_lapis_ore: #1, 1083(18%)
minecraft.used.melon_slice: #1, 277(64%)
minecraft.used.dark_oak_trapdoor: #2, 4277(22%)
minecraft.mined.tnt: #2, 883(31%)
minecraft.mined.big_dripleaf: #1, 85(23%)
minecraft.used.shulker_box: #1, 12795(17%)
minecraft.picked_up.lilac: #1, 2735(22%)
minecraft.crafted.bucket: #1, 1723(18%)
minecraft.used.lime_stained_glass_pane: #1, 901(40%)
minecraft.dropped.iron_helmet: #1, 33(31%)
minecraft.crafted.chiseled_nether_bricks: #1, 96(80%)
minecraft.picked_up.sunflower: #1, 4345(20%)
minecraft.crafted.silence_armor_trim_smithing_template: #1, 194(70%)
minecraft.picked_up.glow_berries: #1, 1270(18%)
minecraft.used.mangrove_planks: #2, 1200(30%)
minecraft.custom.swim_one_cm: #1, 17649926(13%)
minecraft.picked_up.rail: #1, 10568(20%)
minecraft.mined.cyan_shulker_box: #1, 1340(18%)
minecraft.custom.walk_one_cm: #1, 339347049(10%)
minecraft.used.damaged_anvil: #1, 42(25%)
minecraft.crafted.chiseled_deepslate: #1, 165(39%)
minecraft.mined.shulker_box: #1, 12641(17%)
minecraft.picked_up.shulker_box: #1, 12718(17%)
minecraft.mined.chiseled_stone_bricks: #2, 524(29%)
minecraft.dropped.orange_concrete: #1, 182(61%)
minecraft.dropped.powder_snow_bucket: #1, 37(61%)
minecraft.mined.smooth_sandstone_stairs: #1, 619(36%)
minecraft.mined.polished_blackstone_wall: #1, 394(42%)
minecraft.mined.white_banner: #1, 57(54%)
minecraft.used.rail: #1, 13644(19%)
minecraft.crafted.iron_sword: #1, 47(20%)
minecraft.used.smooth_stone: #1, 5677(22%)
minecraft.mined.white_stained_glass_pane: #1, 187(30%)
minecraft.mined.damaged_anvil: #1, 45(22%)
minecraft.picked_up.smooth_sandstone_stairs: #1, 620(36%)
minecraft.crafted.cake: #1, 71(41%)
minecraft.mined.lever: #1, 292(18%)
minecraft.custom.jump: #1, 935265(10%)
minecraft.picked_up.jungle_leaves: #1, 2934(28%)
minecraft.mined.lantern: #1, 209(18%)
minecraft.used.splash_potion: #1, 214(19%)
minecraft.used.snowball: #1, 1211(17%)
minecraft.mined.lodestone: #1, 185(89%)
minecraft.crafted.bamboo_button: #1, 22(76%)
minecraft.used.crimson_trapdoor: #1, 811(24%)
minecraft.used.cyan_shulker_box: #1, 1507(16%)
minecraft.used.blue_bed: #1, 148(29%)
minecraft.picked_up.explorer_pottery_sherd: #1, 39(66%)
minecraft.used.bamboo_trapdoor: #1, 458(53%)
minecraft.mined.pearlescent_froglight: #2, 305(30%)
minecraft.picked_up.nether_star: #2, 167(33%)
minecraft.mined.chiseled_sandstone: #1, 57(38%)
minecraft.custom.sprint_one_cm: #1, 282249870(10%)
minecraft.dropped.leather_leggings: #1, 102(26%)
minecraft.picked_up.polished_andesite_stairs: #1, 536(19%)
minecraft.used.cobblestone_slab: #2, 4131(23%)
minecraft.dropped.golden_helmet: #2, 149(30%)
minecraft.used.crimson_fence_gate: #1, 839(74%)
minecraft.picked_up.raw_gold: #1, 6357(17%)
minecraft.picked_up.jack_o_lantern: #1, 954(32%)
minecraft.mined.weeping_vines_plant: #1, 203(25%)
minecraft.picked_up.damaged_anvil: #1, 50(22%)
minecraft.crafted.dark_oak_trapdoor: #2, 4250(21%)
minecraft.dropped.filled_map: #2, 13515(22%)
minecraft.custom.inspect_dropper: #2, 6188(18%)
minecraft.used.pumpkin: #2, 6201(23%)
minecraft.picked_up.large_amethyst_bud: #1, 356(30%)
minecraft.picked_up.dark_oak_fence: #2, 955(23%)
minecraft.crafted.polished_andesite_slab: #1, 1626(24%)
minecraft.custom.fall_one_cm: #1, 25002439(10%)
minecraft.mined.dispenser: #1, 337(20%)
minecraft.mined.tuff: #1, 27089(16%)
minecraft.killed.skeleton: #2, 17636(17%)
minecraft.mined.gray_concrete_powder: #1, 237(27%)
minecraft.used.birch_sign: #2, 1092(18%)
minecraft.crafted.cut_copper_stairs: #1, 270(34%)
minecraft.used.potion: #3, 1836(21%)
minecraft.picked_up.dispenser: #1, 709(19%)
minecraft.mined.sandstone_wall: #1, 277(34%)
minecraft.picked_up.pointed_dripstone: #1, 3238(17%)
minecraft.mined.big_dripleaf_stem: #1, 79(24%)
minecraft.mined.deepslate_bricks: #1, 2910(19%)
minecraft.mined.oak_button: #1, 40(45%)
minecraft.custom.damage_blocked_by_shield: #1, 50351(22%)
minecraft.used.glass_bottle: #1, 2029(21%)
minecraft.picked_up.pumpkin_seeds: #2, 15626(22%)
minecraft.picked_up.end_rod: #1, 773(18%)
minecraft.dropped.dark_prismarine: #1, 257(41%)
minecraft.used.decorated_pot: #1, 243(33%)
minecraft.crafted.nether_wart_block: #1, 545(99%)
minecraft.dropped.chainmail_leggings: #1, 34(31%)
minecraft.mined.brick_stairs: #1, 66(31%)
minecraft.picked_up.small_dripleaf: #1, 151(41%)
minecraft.mined.chain: #1, 408(18%)
minecraft.mined.glow_lichen: #2, 6469(22%)
minecraft.crafted.glow_item_frame: #1, 361(23%)
minecraft.mined.mangrove_planks: #1, 192(27%)
minecraft.used.cooked_chicken: #2, 669(28%)
minecraft.used.ochre_froglight: #1, 2404(25%)
minecraft.custom.play_noteblock: #2, 1161(20%)
minecraft.mined.quartz_bricks: #2, 138(26%)
minecraft.used.music_disc_5: #1, 18(53%)
minecraft.mined.diamond_block: #1, 680(20%)
minecraft.used.redstone_lamp: #1, 747(20%)
minecraft.killed.stray: #1, 37(79%)
minecraft.mined.cobweb: #1, 1065(19%)
minecraft.mined.blue_bed: #2, 143(29%)
minecraft.picked_up.lodestone: #1, 191(67%)
minecraft.killed.spider: #1, 413(14%)
minecraft.used.hanging_roots: #1, 225(34%)
minecraft.mined.mossy_stone_brick_slab: #1, 35(36%)
minecraft.picked_up.green_stained_glass_pane: #1, 256(52%)
minecraft.mined.deepslate_tiles: #2, 1826(20%)
minecraft.picked_up.oxidized_cut_copper_slab: #2, 612(31%)
minecraft.picked_up.blue_bed: #2, 143(28%)
minecraft.used.nether_gold_ore: #1, 365(46%)
minecraft.used.acacia_leaves: #1, 294(52%)
minecraft.used.crossbow: #2, 243(20%)
minecraft.picked_up.chiseled_sandstone: #1, 62(33%)
minecraft.dropped.dark_oak_pressure_plate: #1, 131(92%)
minecraft.crafted.jack_o_lantern: #1, 5566(38%)
minecraft.used.end_crystal: #1, 36(42%)
minecraft.crafted.decorated_pot: #1, 190(31%)
minecraft.mined.bamboo_block: #1, 177(42%)
minecraft.mined.sandstone_slab: #1, 442(42%)
minecraft.used.lever: #1, 1005(15%)
minecraft.crafted.raw_gold_block: #1, 639(23%)
minecraft.mined.tripwire_hook: #1, 38(23%)
minecraft.custom.open_barrel: #1, 17088(10%)
minecraft.crafted.bamboo_trapdoor: #1, 352(41%)
minecraft.used.orange_dye: #1, 81(30%)
minecraft.dropped.writable_book: #1, 30(23%)
minecraft.dropped.golden_boots: #2, 144(25%)
minecraft.crafted.deepslate_brick_slab: #2, 1080(26%)
minecraft.picked_up.fern: #2, 3201(26%)
minecraft.mined.light_blue_concrete_powder: #1, 151(49%)
minecraft.picked_up.music_disc_5: #1, 21(49%)
minecraft.dropped.blue_ice: #1, 420(63%)
minecraft.mined.mossy_stone_brick_wall: #1, 46(55%)
minecraft.crafted.polished_andesite_stairs: #1, 475(27%)
minecraft.used.bundle: #2, 443(21%)
minecraft.mined.pink_tulip: #1, 47(48%)
minecraft.used.diamond_leggings: #1, 39(17%)
minecraft.crafted.iron_helmet: #2, 50(18%)
minecraft.used.diamond_chestplate: #1, 36(31%)
minecraft.picked_up.deepslate_tiles: #2, 2097(19%)
minecraft.mined.polished_blackstone_slab: #2, 604(28%)
minecraft.mined.deepslate: #1, 187777(14%)
minecraft.used.shield: #1, 889(19%)
minecraft.picked_up.birch_sign: #2, 664(17%)
minecraft.used.white_banner: #2, 173(25%)
minecraft.picked_up.blade_pottery_sherd: #1, 48(72%)
minecraft.picked_up.lapis_lazuli: #1, 12127(13%)
minecraft.killed.ender_dragon: #1, 10(48%)
minecraft.picked_up.glass_bottle: #2, 3312(16%)
minecraft.crafted.oxidized_cut_copper_slab: #1, 706(30%)
minecraft.mined.birch_sign: #1, 64(18%)
minecraft.used.dragon_head: #1, 19(39%)
minecraft.mined.decorated_pot: #1, 88(30%)
minecraft.crafted.cut_copper: #1, 448(28%)
minecraft.mined.white_candle: #1, 26(53%)
minecraft.killed.goat: #1, 19(70%)
minecraft.custom.play_time: #2, 170595914(7%)
minecraft.custom.total_world_time: #2, 170595914(7%)
minecraft.picked_up.brick_wall: #1, 85(52%)
minecraft.used.flowering_azalea: #2, 407(22%)
minecraft.mined.crimson_fence_gate: #1, 52(60%)
minecraft.mined.conduit: #1, 13(46%)
minecraft.picked_up.lever: #1, 657(14%)
minecraft.mined.iron_bars: #1, 480(18%)
minecraft.mined.brick_wall: #1, 86(52%)
minecraft.mined.brown_shulker_box: #1, 595(19%)
minecraft.picked_up.sugar_cane: #2, 33892(18%)
minecraft.used.glow_lichen: #2, 8169(20%)
minecraft.custom.interact_with_crafting_table: #1, 9241(10%)
minecraft.picked_up.brown_mushroom: #1, 1656(17%)
minecraft.picked_up.brown_shulker_box: #1, 596(19%)
minecraft.used.pearlescent_froglight: #1, 920(19%)
minecraft.picked_up.crimson_fence_gate: #1, 49(52%)
minecraft.crafted.blaze_powder: #2, 1704(19%)
minecraft.mined.player_head: #2, 195(15%)
minecraft.used.large_amethyst_bud: #1, 106(27%)
minecraft.picked_up.music_disc_cat: #1, 77(16%)
minecraft.picked_up.light_blue_concrete_powder: #1, 173(29%)
minecraft.crafted.lapis_lazuli: #2, 8784(20%)
minecraft.used.verdant_froglight: #2, 1942(25%)
minecraft.picked_up.rabbit: #1, 61(23%)
minecraft.custom.open_chest: #1, 71727(8%)
minecraft.mined.crimson_fence: #1, 73(31%)
minecraft.picked_up.crimson_sign: #1, 29(29%)
minecraft.picked_up.gray_wool: #2, 2371(20%)
minecraft.crafted.cherry_trapdoor: #1, 140(50%)
minecraft.picked_up.tuff: #1, 21066(13%)
minecraft.crafted.netherite_boots: #1, 16(31%)
minecraft.used.conduit: #1, 16(40%)
minecraft.mined.granite_stairs: #1, 37(50%)
minecraft.picked_up.lingering_potion: #1, 11(50%)
minecraft.picked_up.prize_pottery_sherd: #1, 16(67%)
minecraft.dropped.chainmail_boots: #2, 49(33%)
minecraft.crafted.firework_rocket: #2, 227907(18%)
minecraft.mined.oxidized_cut_copper: #1, 107(25%)
minecraft.crafted.dark_oak_pressure_plate: #2, 78(33%)
minecraft.picked_up.magenta_glazed_terracotta: #2, 526(33%)
minecraft.used.acacia_boat: #1, 46(33%)
minecraft.crafted.purpur_pillar: #1, 45(66%)
minecraft.picked_up.cake: #1, 33(44%)
minecraft.dropped.cut_copper_slab: #1, 19(79%)
minecraft.used.sticky_piston: #3, 3641(22%)
minecraft.used.deepslate_copper_ore: #1, 231(25%)
minecraft.crafted.mangrove_fence_gate: #1, 47(36%)
minecraft.used.mangrove_fence_gate: #1, 53(44%)
minecraft.used.brown_shulker_box: #1, 595(18%)
minecraft.mined.white_tulip: #1, 44(39%)
minecraft.crafted.crimson_planks: #2, 19259(18%)
minecraft.picked_up.glow_item_frame: #2, 356(20%)
minecraft.crafted.crimson_door: #1, 30(28%)
minecraft.used.leather_helmet: #1, 9(32%)
minecraft.killed.guardian: #1, 61(30%)
minecraft.used.chipped_anvil: #1, 42(17%)
minecraft.picked_up.bamboo_block: #1, 240(30%)
minecraft.picked_up.lime_glazed_terracotta: #1, 150(48%)
minecraft.custom.interact_with_loom: #1, 115(15%)
minecraft.mined.red_wall_banner: #1, 72(26%)
minecraft.picked_up.oak_button: #2, 48(24%)
minecraft.picked_up.firework_star: #1, 382(96%)
minecraft.used.red_stained_glass_pane: #1, 448(29%)
minecraft.used.iron_chestplate: #1, 13(17%)
minecraft.used.chiseled_nether_bricks: #1, 44(42%)
minecraft.mined.deepslate_emerald_ore: #1, 19(48%)
minecraft.picked_up.deepslate_tile_wall: #2, 517(22%)
minecraft.crafted.red_banner: #2, 708(28%)
minecraft.dropped.bundle: #2, 126(20%)
minecraft.picked_up.dragon_head: #1, 35(20%)
minecraft.used.brick_stairs: #2, 354(34%)
minecraft.picked_up.sheaf_pottery_sherd: #1, 10(42%)
minecraft.crafted.gray_wool: #1, 1356(25%)
minecraft.crafted.end_crystal: #1, 36(34%)
minecraft.mined.fern: #2, 2309(19%)
minecraft.dropped.pumpkin_pie: #2, 1102(18%)
minecraft.killed.zombie_villager: #1, 42(13%)
minecraft.dropped.deepslate_gold_ore: #1, 108(34%)
minecraft.mined.lime_glazed_terracotta: #1, 26(62%)
minecraft.used.crimson_door: #1, 29(34%)
minecraft.used.bamboo_button: #1, 62(93%)
minecraft.used.cooked_rabbit: #1, 69(62%)
minecraft.picked_up.magma_cream: #2, 873(18%)
minecraft.picked_up.blue_stained_glass: #1, 235(28%)
minecraft.mined.redstone_lamp: #1, 140(17%)
minecraft.crafted.iron_boots: #2, 52(16%)
minecraft.used.tnt: #2, 14484(20%)
minecraft.mined.deepslate_diamond_ore: #2, 4802(15%)
minecraft.picked_up.deepslate_emerald_ore: #1, 20(45%)
minecraft.crafted.polished_deepslate: #2, 17220(18%)
minecraft.crafted.lapis_block: #1, 1330(16%)
minecraft.crafted.white_dye: #1, 13162(12%)
minecraft.used.shears: #1, 27744(13%)
minecraft.picked_up.item_frame: #1, 723(12%)
minecraft.crafted.music_disc_5: #1, 9(45%)
minecraft.mined.suspicious_sand: #1, 54(40%)
minecraft.crafted.orange_concrete: #1, 704(60%)
minecraft.used.brush: #1, 714(28%)
minecraft.picked_up.spyglass: #2, 28(24%)
minecraft.used.glow_ink_sac: #2, 597(16%)
minecraft.crafted.cobblestone_stairs: #2, 520(23%)
minecraft.used.oxidized_cut_copper_slab: #2, 2929(24%)
minecraft.dropped.magma_cream: #1, 95(22%)
minecraft.crafted.golden_leggings: #1, 16(27%)
minecraft.picked_up.conduit: #1, 14(39%)
minecraft.dropped.chainmail_chestplate: #2, 33(30%)
minecraft.dropped.ochre_froglight: #1, 133(44%)
minecraft.used.music_disc_otherside: #2, 35(22%)
minecraft.picked_up.grass: #2, 2597(19%)
minecraft.crafted.netherite_ingot: #2, 482(21%)
minecraft.used.bucket: #2, 15358(12%)
minecraft.mined.yellow_glazed_terracotta: #1, 66(35%)
minecraft.used.weeping_vines: #2, 319(41%)
minecraft.used.sculk: #2, 6657(21%)
minecraft.mined.dragon_wall_head: #1, 19(19%)
minecraft.picked_up.quartz: #1, 12823(11%)
minecraft.crafted.rail: #1, 4960(13%)
minecraft.picked_up.quartz_bricks: #2, 131(19%)
minecraft.custom.pot_flower: #1, 193(12%)
minecraft.picked_up.deepslate_gold_ore: #1, 820(15%)
minecraft.dropped.end_rod: #1, 134(24%)
minecraft.mined.cracked_deepslate_tiles: #1, 35(43%)
minecraft.used.deepslate_iron_ore: #1, 537(16%)
minecraft.mined.purple_stained_glass_pane: #1, 107(34%)
minecraft.dropped.sculk_catalyst: #1, 83(34%)
minecraft.used.purple_banner: #1, 9(56%)
minecraft.mined.large_amethyst_bud: #2, 329(23%)
minecraft.mined.ancient_debris: #2, 1584(17%)
minecraft.used.melon_seeds: #1, 70(28%)
minecraft.picked_up.rose_bush: #2, 5872(15%)
minecraft.picked_up.acacia_button: #1, 11(20%)
minecraft.mined.polished_deepslate_wall: #2, 323(20%)
minecraft.dropped.tropical_fish_bucket: #1, 15(83%)
minecraft.dropped.netherite_leggings: #1, 10(18%)
minecraft.used.nether_bricks: #2, 1909(18%)
minecraft.used.golden_apple: #2, 58(22%)
minecraft.used.leather_chestplate: #1, 11(22%)
minecraft.used.chorus_fruit: #2, 70(18%)
minecraft.picked_up.orange_shulker_box: #2, 683(16%)
minecraft.used.vine: #1, 170(19%)
minecraft.mined.deepslate_copper_ore: #2, 525(18%)
minecraft.killed.husk: #2, 50(27%)
minecraft.dropped.pumpkin_seeds: #2, 5471(20%)
minecraft.used.music_disc_13: #1, 44(16%)
minecraft.mined.bamboo_sapling: #2, 35(21%)
minecraft.picked_up.phantom_membrane: #2, 197(16%)
minecraft.picked_up.bundle: #1, 163(13%)
minecraft.picked_up.ghast_tear: #2, 101(17%)
minecraft.dropped.firework_star: #1, 65(81%)
minecraft.mined.blue_stained_glass_pane: #1, 13(41%)
minecraft.crafted.polished_deepslate_stairs: #1, 479(16%)
minecraft.crafted.crimson_trapdoor: #2, 784(18%)
minecraft.used.orange_shulker_box: #2, 681(16%)
minecraft.picked_up.cookie: #2, 266(17%)
minecraft.dropped.peony: #2, 415(38%)
minecraft.dropped.netherite_boots: #1, 11(15%)
minecraft.crafted.golden_helmet: #1, 14(17%)
minecraft.dropped.cracked_deepslate_tiles: #1, 126(64%)
minecraft.picked_up.anvil: #2, 341(15%)
