stat, rank, value, (percentage) 
minecraft.picked_up.flint_and_steel: #3, 99(8%)
minecraft.picked_up.pink_stained_glass_pane: #2, 31(23%)
minecraft.killed.wandering_trader: #3, 15(10%)
minecraft.dropped.pink_candle: #2, 33(28%)
minecraft.used.jukebox: #3, 72(8%)
minecraft.picked_up.bamboo_stairs: #2, 3(38%)
minecraft.dropped.deepslate: #4, 9148(11%)
minecraft.picked_up.lava_bucket: #2, 60(7%)
minecraft.killed_by.witch: #2, 2(22%)
minecraft.used.chipped_anvil: #3, 23(9%)
minecraft.used.leather_chestplate: #3, 7(14%)
minecraft.mined.oak_fence_gate: #3, 21(12%)
minecraft.picked_up.turtle_egg: #2, 98(8%)
minecraft.crafted.cooked_chicken: #3, 318(13%)
minecraft.crafted.leather_chestplate: #3, 113(12%)
minecraft.picked_up.brown_stained_glass_pane: #2, 55(26%)
minecraft.picked_up.name_tag: #2, 117(5%)
minecraft.mined.dead_fire_coral_fan: #2, 1(50%)
minecraft.killed_by.husk: #2, 1(50%)
minecraft.dropped.sheaf_pottery_sherd: #2, 1(50%)
minecraft.dropped.beetroot_soup: #2, 1(50%)
minecraft.dropped.coast_armor_trim_smithing_template: #2, 1(50%)
minecraft.killed_by.trader_llama: #2, 1(50%)
minecraft.crafted.jungle_chest_boat: #2, 1(50%)
minecraft.picked_up.beetroot_soup: #2, 1(50%)
minecraft.dropped.snort_pottery_sherd: #2, 1(50%)
minecraft.dropped.shelter_pottery_sherd: #2, 1(50%)
minecraft.dropped.angler_pottery_sherd: #2, 1(50%)
minecraft.dropped.dune_armor_trim_smithing_template: #2, 1(50%)
minecraft.dropped.scute: #2, 3(50%)
minecraft.crafted.creeper_banner_pattern: #2, 1(50%)
minecraft.crafted.bamboo_mosaic_stairs: #2, 4(50%)
minecraft.picked_up.piglin_head: #2, 1(50%)
minecraft.picked_up.mojang_banner_pattern: #2, 3(50%)
minecraft.killed_by.shulker: #2, 1(50%)
minecraft.crafted.pufferfish_bucket: #2, 1(50%)
minecraft.picked_up.mangrove_chest_boat: #2, 2(50%)
minecraft.dropped.end_stone_brick_slab: #2, 1(50%)
minecraft.picked_up.cherry_button: #2, 1(50%)
minecraft.dropped.cut_red_sandstone_slab: #2, 1(50%)
minecraft.dropped.green_stained_glass_pane: #2, 23(33%)
minecraft.picked_up.flower_banner_pattern: #2, 2(33%)
minecraft.picked_up.arrow: #4, 7367(8%)
minecraft.picked_up.music_disc_cat: #4, 56(12%)
minecraft.picked_up.music_disc_chirp: #3, 19(15%)
minecraft.crafted.green_shulker_box: #3, 24(9%)
minecraft.custom.eat_cake_slice: #3, 21(9%)
minecraft.dropped.cobweb: #2, 7(47%)
minecraft.dropped.writable_book: #3, 13(10%)
minecraft.dropped.grass_block: #3, 2032(7%)
minecraft.dropped.magenta_stained_glass_pane: #2, 14(30%)
minecraft.dropped.brown_mushroom_block: #3, 439(14%)
minecraft.dropped.clock: #2, 10(11%)
minecraft.custom.pig_one_cm: #3, 252627(11%)
minecraft.picked_up.netherite_scrap: #2, 6(11%)
minecraft.picked_up.oak_fence_gate: #3, 23(10%)
minecraft.killed.pig: #4, 59(10%)
minecraft.used.fishing_rod: #3, 287(9%)
minecraft.picked_up.zombie_head: #2, 3(27%)
minecraft.picked_up.explorer_pottery_sherd: #2, 6(10%)
minecraft.picked_up.music_disc_stal: #2, 12(9%)
minecraft.dropped.bamboo_door: #2, 4(27%)
minecraft.mined.light_gray_stained_glass: #2, 306(4%)
minecraft.dropped.spruce_hanging_sign: #2, 6(26%)
minecraft.picked_up.prize_pottery_sherd: #2, 3(12%)
minecraft.picked_up.skull_pottery_sherd: #2, 4(18%)
minecraft.dropped.bamboo_sign: #2, 4(36%)
minecraft.dropped.dropper: #2, 19(5%)
minecraft.dropped.horn_coral_fan: #2, 11(12%)
minecraft.mined.brick_stairs: #3, 23(11%)
minecraft.picked_up.miner_pottery_sherd: #2, 5(17%)
minecraft.mined.yellow_glazed_terracotta: #3, 32(17%)
minecraft.mined.smooth_quartz_slab: #4, 244(12%)
minecraft.picked_up.cherry_pressure_plate: #2, 1(33%)
minecraft.crafted.mangrove_chest_boat: #2, 1(33%)
minecraft.used.spyglass: #3, 451(7%)
minecraft.used.diorite_wall: #3, 390(10%)
minecraft.picked_up.enchanting_table: #3, 6(12%)
minecraft.broken.shield: #3, 4(15%)
minecraft.picked_up.cherry_hanging_sign: #2, 5(21%)
minecraft.picked_up.red_dye: #4, 417(12%)
minecraft.dropped.brown_stained_glass_pane: #2, 35(31%)
minecraft.used.music_disc_ward: #2, 5(15%)
minecraft.used.music_disc_wait: #3, 24(27%)
minecraft.picked_up.golden_axe: #2, 3(7%)
minecraft.picked_up.writable_book: #4, 29(10%)
minecraft.picked_up.brewer_pottery_sherd: #2, 3(19%)
minecraft.dropped.exposed_cut_copper: #2, 3(19%)
minecraft.killed_by.pufferfish: #2, 3(11%)
minecraft.crafted.smooth_quartz: #3, 1609(7%)
minecraft.picked_up.wither_skeleton_skull: #3, 244(9%)
minecraft.dropped.iron_door: #3, 10(11%)
minecraft.picked_up.vex_armor_trim_smithing_template: #2, 1(25%)
minecraft.killed_by.ender_dragon: #3, 3(14%)
minecraft.picked_up.heart_pottery_sherd: #3, 5(17%)
minecraft.killed.turtle: #2, 74(7%)
minecraft.dropped.oak_sign: #3, 42(7%)
minecraft.mined.jungle_fence: #3, 17(13%)
minecraft.mined.light_blue_concrete_powder: #3, 50(16%)
minecraft.dropped.cherry_trapdoor: #2, 4(22%)
minecraft.crafted.cake: #3, 19(11%)
minecraft.dropped.yellow_stained_glass_pane: #2, 16(7%)
minecraft.dropped.yellow_candle: #2, 1(20%)
minecraft.dropped.explorer_pottery_sherd: #2, 1(20%)
minecraft.dropped.iron_chestplate: #2, 11(2%)
minecraft.picked_up.egg: #4, 2511(7%)
minecraft.picked_up.oak_sign: #4, 188(8%)
minecraft.dropped.diamond_sword: #4, 14(7%)
minecraft.picked_up.arms_up_pottery_sherd: #2, 2(18%)
minecraft.mined.pumpkin_stem: #3, 14(12%)
minecraft.dropped.stone_pressure_plate: #3, 44(8%)
minecraft.used.deepslate_redstone_ore: #4, 773(10%)
minecraft.crafted.lily_pad: #2, 2(17%)
minecraft.used.brush: #3, 260(10%)
minecraft.dropped.brain_coral_fan: #2, 6(5%)
minecraft.picked_up.netherite_ingot: #4, 15(12%)
minecraft.dropped.golden_carrot: #4, 698(7%)
minecraft.crafted.podzol: #2, 3(14%)
minecraft.dropped.gilded_blackstone: #2, 10(10%)
minecraft.picked_up.fishing_rod: #4, 15(13%)
minecraft.dropped.light_blue_candle: #2, 10(14%)
minecraft.dropped.acacia_sapling: #4, 61(13%)
minecraft.crafted.jungle_boat: #3, 11(14%)
minecraft.dropped.beetroot: #2, 9(6%)
minecraft.custom.traded_with_villager: #4, 56787(9%)
minecraft.dropped.brick: #3, 282(9%)
minecraft.mined.oak_sign: #4, 20(9%)
minecraft.dropped.red_nether_bricks: #2, 4(4%)
minecraft.dropped.oak_hanging_sign: #3, 5(24%)
minecraft.used.pumpkin_seeds: #3, 339(7%)
minecraft.crafted.kelp: #2, 1(9%)
minecraft.dropped.quartz_bricks: #3, 6(15%)
minecraft.mined.note_block: #4, 103(9%)
minecraft.dropped.repeater: #3, 73(7%)
minecraft.mined.magenta_stained_glass_pane: #2, 1(8%)
minecraft.picked_up.water_bucket: #4, 86(6%)
minecraft.picked_up.music_disc_far: #3, 12(10%)
minecraft.killed.trader_llama: #4, 30(9%)
minecraft.dropped.smooth_quartz_stairs: #3, 9(14%)
minecraft.picked_up.bamboo_mosaic_slab: #2, 5(6%)
minecraft.mined.green_candle: #3, 2(22%)
minecraft.used.nether_gold_ore: #3, 87(11%)
minecraft.crafted.golden_carrot: #4, 6549(9%)
minecraft.picked_up.suspicious_sand: #2, 2(4%)
minecraft.dropped.stone_hoe: #4, 9(15%)
minecraft.crafted.bamboo_mosaic_slab: #2, 12(5%)
minecraft.picked_up.splash_potion: #4, 62(7%)
minecraft.dropped.gray_stained_glass_pane: #3, 30(22%)
minecraft.used.suspicious_sand: #2, 1(4%)
minecraft.dropped.sandstone: #4, 834(9%)
minecraft.picked_up.glass_pane: #4, 268(9%)
minecraft.dropped.cooked_salmon: #3, 22(9%)
minecraft.picked_up.burn_pottery_sherd: #3, 4(17%)
minecraft.used.ender_pearl: #5, 714(9%)
minecraft.used.enchanted_golden_apple: #3, 3(12%)
minecraft.picked_up.enchanted_golden_apple: #3, 8(11%)
minecraft.mined.activator_rail: #3, 54(9%)
minecraft.mined.dispenser: #4, 134(8%)
minecraft.killed_by.wither_skeleton: #3, 1(33%)
minecraft.killed_by.dolphin: #3, 1(33%)
minecraft.dropped.wild_armor_trim_smithing_template: #3, 1(33%)
minecraft.dropped.white_terracotta: #3, 95(5%)
minecraft.mined.red_stained_glass: #4, 164(10%)
minecraft.killed_by.skeleton: #4, 9(8%)
minecraft.dropped.azalea_leaves: #4, 400(12%)
minecraft.picked_up.netherite_chestplate: #3, 3(10%)
minecraft.dropped.mud_brick_stairs: #3, 15(13%)
minecraft.picked_up.weathered_copper: #4, 290(9%)
minecraft.picked_up.plenty_pottery_sherd: #3, 5(15%)
minecraft.picked_up.mourner_pottery_sherd: #3, 5(12%)
minecraft.dropped.iron_helmet: #4, 11(10%)
minecraft.used.smooth_quartz: #5, 3315(11%)
minecraft.mined.weathered_copper: #4, 290(9%)
minecraft.used.redstone_ore: #4, 33(11%)
minecraft.used.stone_shovel: #3, 672(4%)
minecraft.dropped.sweet_berries: #3, 141(4%)
minecraft.picked_up.cyan_dye: #4, 195(15%)
minecraft.used.poppy: #4, 42(7%)
minecraft.dropped.mossy_stone_bricks: #3, 51(6%)
minecraft.mined.warped_wall_sign: #4, 31(11%)
minecraft.killed.allay: #3, 1(25%)
minecraft.crafted.crimson_hanging_sign: #3, 6(25%)
minecraft.crafted.cherry_hanging_sign: #3, 6(25%)
minecraft.picked_up.white_bed: #5, 236(9%)
minecraft.dropped.crimson_door: #3, 2(18%)
