stat, rank, value, (percentage) 
minecraft.picked_up.exposed_cut_copper: #6, 6(4%)
minecraft.dropped.oak_trapdoor: #6, 9(3%)
minecraft.mined.acacia_slab: #6, 13(5%)
minecraft.picked_up.white_banner: #7, 295(6%)
minecraft.mined.gray_carpet: #6, 203(2%)
minecraft.dropped.cobbled_deepslate_stairs: #6, 19(4%)
minecraft.crafted.wayfinder_armor_trim_smithing_template: #6, 2(8%)
minecraft.picked_up.brick_stairs: #6, 16(3%)
minecraft.dropped.netherite_boots: #7, 5(7%)
minecraft.dropped.purpur_pillar: #6, 7(3%)
minecraft.picked_up.leather_helmet: #7, 15(5%)
minecraft.custom.interact_with_smoker: #6, 14(2%)
minecraft.crafted.mossy_cobblestone_wall: #6, 13(4%)
minecraft.crafted.apple: #6, 120(5%)
minecraft.used.acacia_slab: #6, 37(3%)
minecraft.crafted.pink_stained_glass: #6, 408(3%)
minecraft.used.netherite_leggings: #6, 12(3%)
minecraft.crafted.brown_stained_glass_pane: #6, 24(6%)
minecraft.mined.carved_pumpkin: #6, 309(1%)
minecraft.dropped.golden_boots: #6, 11(2%)
minecraft.mined.sandstone_slab: #6, 40(4%)
minecraft.crafted.crossbow: #6, 5(3%)
minecraft.picked_up.jungle_planks: #6, 208(2%)
minecraft.mined.ladder: #7, 93(5%)
minecraft.mined.dead_brain_coral_fan: #6, 1(7%)
minecraft.picked_up.dead_brain_coral_fan: #6, 1(7%)
minecraft.killed_by.creeper: #7, 6(5%)
minecraft.picked_up.gold_ingot: #6, 500(2%)
minecraft.crafted.birch_hanging_sign: #6, 6(6%)
minecraft.mined.respawn_anchor: #6, 2(5%)
minecraft.picked_up.snow: #7, 2562(5%)
minecraft.picked_up.dead_horn_coral_fan: #6, 1(6%)
minecraft.crafted.suspicious_stew: #6, 14(4%)
minecraft.mined.green_concrete_powder: #6, 43(2%)
minecraft.dropped.polished_blackstone_bricks: #6, 113(3%)
minecraft.crafted.copper_ingot: #7, 4225(5%)
minecraft.picked_up.nether_brick_stairs: #6, 4(3%)
minecraft.picked_up.bow: #7, 214(3%)
minecraft.picked_up.respawn_anchor: #6, 2(4%)
minecraft.dropped.white_carpet: #6, 21(2%)
minecraft.used.blue_stained_glass_pane: #6, 9(3%)
minecraft.mined.polished_andesite_stairs: #7, 101(5%)
minecraft.crafted.stone_sword: #6, 5(1%)
minecraft.killed_by.zombified_piglin: #6, 1(5%)
minecraft.picked_up.melon: #6, 22(2%)
minecraft.picked_up.chiseled_nether_bricks: #6, 1(4%)
minecraft.mined.gilded_blackstone: #6, 11(2%)
minecraft.dropped.birch_fence: #6, 8(2%)
minecraft.custom.deaths: #8, 324(5%)
minecraft.crafted.golden_pickaxe: #6, 1(4%)
minecraft.mined.redstone_ore: #7, 83(5%)
minecraft.crafted.rib_armor_trim_smithing_template: #6, 2(4%)
minecraft.picked_up.dispenser: #7, 174(5%)
minecraft.picked_up.map: #6, 25(1%)
minecraft.picked_up.magenta_banner: #6, 1(4%)
minecraft.picked_up.melon_slice: #6, 190(1%)
minecraft.used.glass: #7, 3771(4%)
minecraft.picked_up.red_nether_bricks: #6, 12(2%)
minecraft.picked_up.lime_stained_glass_pane: #6, 26(2%)
minecraft.crafted.bow: #7, 234(4%)
minecraft.dropped.magenta_stained_glass: #6, 7(2%)
minecraft.picked_up.mossy_stone_bricks: #7, 101(5%)
minecraft.mined.furnace: #7, 115(4%)
minecraft.crafted.vex_armor_trim_smithing_template: #6, 2(4%)
minecraft.dropped.soul_lantern: #6, 5(2%)
minecraft.mined.infested_stone_bricks: #6, 5(2%)
minecraft.picked_up.basalt: #7, 9381(4%)
minecraft.picked_up.white_carpet: #6, 397(1%)
minecraft.dropped.note_block: #6, 4(2%)
minecraft.custom.interact_with_beacon: #7, 50(4%)
minecraft.dropped.dark_oak_slab: #6, 49(1%)
minecraft.used.composter: #7, 224(4%)
minecraft.dropped.dead_bush: #6, 3(3%)
minecraft.used.azalea_leaves: #7, 1864(4%)
minecraft.dropped.coarse_dirt: #7, 191(6%)
minecraft.mined.jungle_wall_sign: #6, 3(2%)
minecraft.mined.stripped_cherry_wood: #6, 1(3%)
minecraft.picked_up.light_blue_glazed_terracotta: #6, 1(3%)
minecraft.crafted.stone: #7, 646(5%)
minecraft.dropped.diorite_slab: #6, 1(3%)
minecraft.crafted.warped_hanging_sign: #6, 6(3%)
minecraft.dropped.brown_dye: #6, 5(2%)
minecraft.crafted.yellow_bed: #6, 4(1%)
minecraft.dropped.bell: #6, 1(3%)
minecraft.dropped.yellow_dye: #6, 8(2%)
minecraft.killed.piglin_brute: #6, 10(2%)
minecraft.mined.light_blue_stained_glass_pane: #6, 13(1%)
minecraft.crafted.brown_stained_glass: #6, 96(2%)
minecraft.used.smooth_quartz_slab: #7, 726(5%)
minecraft.mined.melon: #6, 41(1%)
minecraft.picked_up.stripped_cherry_wood: #6, 1(2%)
minecraft.dropped.campfire: #6, 4(2%)
minecraft.picked_up.copper_ingot: #6, 308(1%)
minecraft.picked_up.lapis_ore: #7, 98(5%)
minecraft.dropped.gray_stained_glass: #6, 5(2%)
minecraft.killed.pufferfish: #6, 3(1%)
minecraft.crafted.yellow_carpet: #6, 117(1%)
minecraft.used.iron_hoe: #6, 649(1%)
minecraft.used.nether_quartz_ore: #7, 725(5%)
minecraft.picked_up.rabbit_stew: #6, 1(2%)
minecraft.used.brown_stained_glass_pane: #6, 4(1%)
minecraft.dropped.yellow_stained_glass: #6, 8(1%)
minecraft.crafted.orange_banner: #6, 1(2%)
minecraft.dropped.brick_slab: #6, 3(1%)
minecraft.used.acacia_leaves: #6, 6(1%)
minecraft.dropped.peony: #6, 9(1%)
minecraft.crafted.purple_wool: #6, 13(1%)
minecraft.picked_up.magenta_concrete_powder: #6, 6(1%)
minecraft.crafted.purpur_pillar: #6, 1(1%)
minecraft.crafted.lime_wool: #6, 13(1%)
minecraft.used.vine: #7, 56(6%)
minecraft.used.oak_fence_gate: #7, 44(6%)
minecraft.dropped.orange_glazed_terracotta: #6, 2(1%)
minecraft.custom.horse_one_cm: #7, 2419684(3%)
minecraft.crafted.cherry_slab: #6, 6(1%)
minecraft.picked_up.music_disc_13: #7, 25(5%)
minecraft.used.acacia_planks: #6, 73(0%)
minecraft.mined.cracked_polished_blackstone_bricks: #6, 114(0%)
minecraft.dropped.bucket: #7, 40(4%)
minecraft.mined.waxed_oxidized_cut_copper: #6, 1(1%)
minecraft.crafted.blue_banner: #6, 1(1%)
minecraft.crafted.weathered_cut_copper_stairs: #6, 2(1%)
minecraft.dropped.prismarine_crystals: #6, 17(0%)
minecraft.dropped.polished_granite_slab: #6, 2(1%)
minecraft.picked_up.cyan_candle: #6, 1(1%)
minecraft.crafted.chiseled_sandstone: #6, 2(1%)
minecraft.picked_up.waxed_oxidized_cut_copper: #6, 1(1%)
minecraft.mined.moss_carpet: #7, 371(3%)
minecraft.dropped.fern: #6, 2(1%)
minecraft.picked_up.waxed_oxidized_copper: #6, 5(0%)
minecraft.picked_up.lime_candle: #6, 1(1%)
minecraft.dropped.nether_brick: #6, 10(0%)
minecraft.crafted.golden_boots: #7, 8(7%)
minecraft.dropped.black_stained_glass_pane: #6, 1(1%)
minecraft.dropped.ink_sac: #6, 48(0%)
minecraft.crafted.smooth_red_sandstone_stairs: #6, 1(1%)
minecraft.crafted.cherry_fence: #6, 3(1%)
minecraft.crafted.cherry_wood: #6, 6(0%)
minecraft.mined.lodestone: #6, 1(0%)
minecraft.used.magenta_stained_glass_pane: #6, 1(0%)
minecraft.crafted.diamond_block: #7, 224(4%)
minecraft.dropped.jack_o_lantern: #6, 1(0%)
minecraft.picked_up.stripped_crimson_hyphae: #6, 3(0%)
minecraft.broken.iron_hoe: #6, 1(0%)
minecraft.dropped.white_concrete_powder: #6, 6(0%)
minecraft.crafted.nether_brick_wall: #6, 1(0%)
minecraft.crafted.cracked_deepslate_tiles: #6, 1(0%)
minecraft.crafted.bamboo_fence: #6, 3(0%)
minecraft.dropped.pink_stained_glass: #6, 1(0%)
minecraft.picked_up.cyan_glazed_terracotta: #6, 1(0%)
minecraft.dropped.glow_ink_sac: #7, 64(5%)
minecraft.dropped.black_glazed_terracotta: #6, 1(0%)
minecraft.crafted.bookshelf: #7, 1102(4%)
minecraft.dropped.light_weighted_pressure_plate: #6, 1(0%)
minecraft.mined.crying_obsidian: #7, 34(5%)
minecraft.crafted.smooth_red_sandstone: #6, 3(0%)
minecraft.crafted.light_gray_candle: #6, 1(0%)
minecraft.crafted.terracotta: #6, 1(0%)
minecraft.mined.repeater: #7, 183(4%)
minecraft.picked_up.magenta_carpet: #6, 1(0%)
minecraft.picked_up.vine: #7, 356(5%)
minecraft.used.green_shulker_box: #7, 104(3%)
minecraft.crafted.jukebox: #7, 18(4%)
minecraft.picked_up.carved_pumpkin: #7, 628(2%)
minecraft.mined.bamboo: #7, 921(4%)
minecraft.crafted.mossy_cobblestone_slab: #7, 98(5%)
minecraft.picked_up.azalea_leaves: #7, 2845(4%)
minecraft.used.stone_sword: #7, 189(4%)
minecraft.dropped.raw_iron: #7, 80(4%)
minecraft.picked_up.green_shulker_box: #7, 100(3%)
minecraft.mined.stone_pressure_plate: #7, 15(5%)
minecraft.picked_up.diamond_shovel: #8, 58(6%)
minecraft.picked_up.red_stained_glass: #7, 259(5%)
minecraft.crafted.clock: #7, 12(5%)
minecraft.dropped.andesite: #7, 761(3%)
minecraft.picked_up.bread: #7, 480(4%)
minecraft.custom.tune_noteblock: #7, 970(3%)
minecraft.used.written_book: #7, 958(3%)
minecraft.picked_up.dropper: #7, 127(3%)
minecraft.picked_up.shelter_pottery_sherd: #7, 4(8%)
minecraft.crafted.oak_fence_gate: #7, 42(4%)
minecraft.crafted.birch_boat: #7, 5(4%)
minecraft.used.glass_bottle: #7, 318(3%)
minecraft.crafted.flower_banner_pattern: #7, 1(11%)
minecraft.mined.peony: #7, 9(3%)
minecraft.mined.bookshelf: #7, 588(3%)
minecraft.crafted.lapis_lazuli: #7, 1260(3%)
minecraft.crafted.leather_helmet: #7, 5(4%)
minecraft.crafted.recovery_compass: #7, 1(10%)
minecraft.broken.stone_pickaxe: #7, 3(4%)
minecraft.used.moss_block: #7, 4397(2%)
minecraft.picked_up.sugar_cane: #7, 4381(2%)
minecraft.mined.acacia_fence: #7, 4(6%)
minecraft.picked_up.carrot: #7, 1894(2%)
minecraft.used.tadpole_bucket: #7, 7(6%)
minecraft.dropped.piston: #7, 30(5%)
minecraft.picked_up.iron_leggings: #7, 13(2%)
minecraft.crafted.smooth_quartz_stairs: #7, 129(4%)
minecraft.mined.pumpkin: #7, 211(2%)
minecraft.dropped.light_gray_terracotta: #7, 56(4%)
minecraft.picked_up.tall_grass: #7, 1(8%)
minecraft.dropped.diamond_horse_armor: #7, 2(6%)
minecraft.killed.guardian: #7, 9(4%)
minecraft.mined.red_stained_glass_pane: #7, 16(6%)
minecraft.crafted.netherite_hoe: #7, 1(8%)
minecraft.dropped.golden_pickaxe: #7, 1(7%)
minecraft.dropped.lectern: #7, 3(5%)
minecraft.picked_up.pumpkin_seeds: #7, 1286(2%)
minecraft.mined.chest: #8, 788(4%)
minecraft.dropped.coal_ore: #7, 72(2%)
minecraft.used.music_disc_strad: #7, 3(4%)
minecraft.dropped.seagrass: #7, 8(4%)
minecraft.used.purple_stained_glass: #7, 441(3%)
minecraft.picked_up.yellow_stained_glass: #7, 129(3%)
minecraft.dropped.yellow_terracotta: #7, 16(3%)
minecraft.mined.small_dripleaf: #7, 8(2%)
minecraft.mined.allium: #7, 13(2%)
minecraft.crafted.iron_sword: #8, 12(5%)
minecraft.picked_up.warped_door: #7, 2(4%)
minecraft.used.deepslate_brick_wall: #7, 165(2%)
minecraft.picked_up.furnace: #8, 138(4%)
minecraft.picked_up.nether_wart: #7, 597(2%)
minecraft.dropped.elytra: #8, 14(4%)
minecraft.picked_up.cake: #7, 3(4%)
minecraft.dropped.azure_bluet: #7, 13(2%)
minecraft.used.beacon: #8, 42(5%)
minecraft.killed_by.slime: #7, 1(5%)
minecraft.used.fire_charge: #7, 1(5%)
minecraft.picked_up.host_armor_trim_smithing_template: #7, 1(5%)
minecraft.mined.bell: #7, 6(2%)
minecraft.picked_up.glass: #8, 3048(5%)
minecraft.crafted.ender_pearl: #7, 20(4%)
minecraft.crafted.acacia_boat: #7, 2(3%)
minecraft.dropped.mushroom_stem: #7, 7(3%)
minecraft.mined.lapis_ore: #8, 218(4%)
minecraft.dropped.experience_bottle: #7, 64(3%)
minecraft.crafted.jungle_fence: #7, 39(2%)
minecraft.crafted.bamboo_raft: #7, 2(2%)
minecraft.dropped.mossy_cobblestone_slab: #7, 5(3%)
minecraft.crafted.bamboo_button: #7, 1(3%)
minecraft.picked_up.gray_carpet: #7, 332(1%)
minecraft.mined.stripped_bamboo_block: #7, 7(2%)
minecraft.picked_up.stripped_bamboo_block: #7, 7(2%)
minecraft.dropped.spore_blossom: #7, 1(3%)
minecraft.picked_up.warped_fungus_on_a_stick: #7, 1(3%)
minecraft.mined.blue_terracotta: #7, 56(1%)
minecraft.crafted.red_bed: #7, 4(1%)
minecraft.dropped.loom: #7, 1(3%)
minecraft.picked_up.orange_glazed_terracotta: #7, 5(2%)
minecraft.crafted.chainmail_chestplate: #7, 1(3%)
minecraft.used.copper_ore: #8, 855(5%)
minecraft.picked_up.pumpkin_pie: #8, 569(4%)
minecraft.crafted.stone_pickaxe: #8, 8(4%)
minecraft.killed.player: #8, 72(3%)
minecraft.dropped.bricks: #7, 30(1%)
minecraft.crafted.blue_wool: #7, 13(1%)
minecraft.picked_up.skeleton_skull: #7, 1(2%)
minecraft.mined.big_dripleaf_stem: #8, 18(5%)
minecraft.dropped.flint_and_steel: #8, 8(5%)
minecraft.mined.beetroots: #7, 18(1%)
minecraft.picked_up.brown_banner: #7, 1(2%)
minecraft.used.gold_block: #8, 359(5%)
minecraft.custom.interact_with_grindstone: #8, 54(4%)
minecraft.dropped.lime_concrete: #7, 4(1%)
minecraft.dropped.purple_dye: #7, 2(1%)
minecraft.picked_up.purple_candle: #7, 2(1%)
minecraft.crafted.exposed_cut_copper_slab: #7, 2(1%)
minecraft.picked_up.powder_snow_bucket: #7, 5(1%)
minecraft.dropped.green_stained_glass: #7, 1(1%)
minecraft.mined.lilac: #8, 24(4%)
minecraft.crafted.rabbit_stew: #7, 1(1%)
minecraft.dropped.cobbled_deepslate_wall: #7, 5(1%)
minecraft.picked_up.yellow_banner: #7, 1(1%)
minecraft.crafted.diamond_helmet: #8, 5(4%)
minecraft.dropped.gray_terracotta: #7, 9(1%)
minecraft.dropped.gray_dye: #7, 4(1%)
minecraft.dropped.light_gray_dye: #7, 3(1%)
minecraft.picked_up.polished_blackstone_brick_slab: #7, 11(1%)
minecraft.picked_up.blue_candle: #7, 1(1%)
minecraft.crafted.chiseled_nether_bricks: #7, 1(1%)
minecraft.picked_up.red_sandstone: #7, 6(1%)
minecraft.mined.lime_stained_glass_pane: #7, 5(0%)
minecraft.mined.waxed_oxidized_copper: #7, 5(1%)
minecraft.used.elytra: #8, 37(3%)
minecraft.crafted.pink_wool: #7, 13(0%)
minecraft.dropped.kelp: #8, 450(4%)
minecraft.crafted.purpur_slab: #7, 2(1%)
minecraft.dropped.honeycomb: #7, 13(0%)
minecraft.crafted.prismarine_brick_slab: #7, 2(1%)
minecraft.used.jack_o_lantern: #7, 36(0%)
minecraft.crafted.popped_chorus_fruit: #7, 14(1%)
minecraft.dropped.paper: #7, 184(0%)
minecraft.crafted.mushroom_stew: #7, 1(1%)
minecraft.crafted.cyan_dye: #8, 1686(4%)
minecraft.crafted.red_sandstone_wall: #7, 1(0%)
minecraft.picked_up.bamboo_slab: #7, 1(0%)
minecraft.crafted.smooth_red_sandstone_slab: #7, 2(0%)
minecraft.crafted.lime_banner: #7, 1(0%)
minecraft.dropped.purpur_slab: #8, 8(7%)
minecraft.picked_up.lodestone: #7, 1(0%)
minecraft.dropped.quartz_pillar: #7, 7(0%)
minecraft.dropped.granite_slab: #7, 1(0%)
minecraft.picked_up.yellow_carpet: #7, 34(0%)
minecraft.crafted.lodestone: #7, 1(0%)
minecraft.mined.dead_tube_coral_fan: #7, 1(0%)
minecraft.dropped.lapis_block: #7, 1(0%)
minecraft.dropped.blue_ice: #7, 1(0%)
minecraft.crafted.lime_glazed_terracotta: #7, 1(0%)
minecraft.crafted.light_blue_carpet: #7, 9(0%)
minecraft.mined.waxed_oxidized_cut_copper_slab: #7, 1(0%)
minecraft.crafted.magenta_glazed_terracotta: #7, 1(0%)
minecraft.crafted.yellow_candle: #7, 2(0%)
minecraft.picked_up.waxed_oxidized_cut_copper_slab: #7, 1(0%)
minecraft.crafted.pink_glazed_terracotta: #7, 1(0%)
minecraft.crafted.lime_candle: #7, 1(0%)
minecraft.mined.dead_fire_coral_block: #7, 1(0%)
minecraft.used.light_blue_carpet: #7, 4(0%)
minecraft.used.wither_rose: #7, 2(0%)
minecraft.crafted.smooth_basalt: #7, 1(0%)
minecraft.picked_up.honeycomb: #8, 334(4%)
minecraft.picked_up.string: #9, 6027(6%)
minecraft.mined.brewing_stand: #8, 16(5%)
minecraft.crafted.glowstone: #8, 1035(4%)
minecraft.mined.green_shulker_box: #8, 99(3%)
minecraft.dropped.oak_boat: #8, 6(5%)
minecraft.picked_up.flowering_azalea_leaves: #8, 906(3%)
minecraft.picked_up.book: #8, 1965(3%)
minecraft.picked_up.golden_apple: #8, 32(4%)
minecraft.mined.stripped_crimson_stem: #8, 119(3%)
minecraft.used.bookshelf: #8, 603(3%)
minecraft.dropped.podzol: #8, 21(5%)
minecraft.killed_by.evoker: #8, 1(10%)
minecraft.crafted.jungle_planks: #8, 3592(3%)
minecraft.mined.smooth_stone_slab: #8, 93(3%)
minecraft.used.mossy_stone_bricks: #8, 154(4%)
minecraft.crafted.dispenser: #8, 223(3%)
minecraft.used.music_disc_otherside: #8, 6(4%)
minecraft.dropped.mossy_cobblestone: #8, 52(3%)
minecraft.picked_up.netherite_helmet: #8, 12(4%)
minecraft.picked_up.emerald_block: #8, 1077(3%)
minecraft.picked_up.quartz_slab: #8, 122(4%)
minecraft.mined.netherrack: #8, 46383(3%)
minecraft.mined.packed_mud: #8, 68(4%)
minecraft.dropped.stone_axe: #8, 4(3%)
minecraft.picked_up.elytra: #9, 74(4%)
minecraft.dropped.hopper: #8, 39(4%)
minecraft.custom.play_noteblock: #8, 138(2%)
minecraft.dropped.smooth_basalt: #8, 69(3%)
minecraft.crafted.writable_book: #8, 35(3%)
minecraft.picked_up.brown_mushroom_block: #8, 1388(3%)
minecraft.used.mossy_cobblestone_slab: #8, 98(3%)
minecraft.picked_up.cooked_salmon: #8, 23(4%)
minecraft.mined.oak_stairs: #8, 39(2%)
minecraft.crafted.cherry_door: #8, 3(8%)
minecraft.picked_up.brick: #8, 134(3%)
minecraft.used.diamond_chestplate: #8, 5(4%)
minecraft.picked_up.wooden_sword: #8, 25(2%)
minecraft.picked_up.redstone_block: #8, 451(2%)
minecraft.mined.tuff: #9, 8396(5%)
minecraft.used.bread: #8, 193(3%)
minecraft.crafted.yellow_stained_glass: #8, 656(3%)
minecraft.used.carrot: #8, 565(2%)
minecraft.picked_up.acacia_fence: #8, 4(4%)
minecraft.custom.boat_one_cm: #9, 15761014(4%)
minecraft.dropped.player_head: #8, 186(1%)
minecraft.picked_up.comparator: #8, 93(2%)
minecraft.crafted.lapis_block: #9, 545(6%)
minecraft.crafted.coal_block: #8, 485(2%)
minecraft.crafted.spruce_hanging_sign: #8, 6(6%)
minecraft.used.flowering_azalea_leaves: #8, 252(2%)
minecraft.crafted.netherite_shovel: #8, 1(6%)
minecraft.used.obsidian: #8, 720(2%)
minecraft.mined.chiseled_sandstone: #8, 5(3%)
minecraft.dropped.ladder: #8, 30(3%)
minecraft.picked_up.orange_dye: #8, 42(3%)
minecraft.mined.oak_wood: #8, 22(4%)
minecraft.dropped.wooden_axe: #8, 2(3%)
minecraft.crafted.white_carpet: #8, 468(2%)
minecraft.dropped.redstone_ore: #8, 3(5%)
minecraft.killed.cod: #8, 24(2%)
minecraft.crafted.music_disc_5: #8, 1(5%)
minecraft.killed.villager: #8, 5(3%)
minecraft.crafted.jungle_fence_gate: #8, 13(3%)
minecraft.killed_by.player: #9, 87(3%)
minecraft.mined.cracked_stone_bricks: #8, 58(2%)
minecraft.picked_up.minecart: #9, 166(5%)
minecraft.dropped.white_stained_glass_pane: #8, 15(3%)
minecraft.custom.drop: #9, 12713(3%)
minecraft.crafted.bucket: #9, 409(4%)
minecraft.crafted.enchanted_book: #8, 288(2%)
minecraft.picked_up.tnt: #8, 951(1%)
minecraft.crafted.acacia_slab: #8, 48(2%)
minecraft.dropped.rooted_dirt: #8, 13(2%)
minecraft.used.red_stained_glass: #8, 250(2%)
minecraft.dropped.leather: #8, 83(1%)
minecraft.used.cobweb: #8, 31(2%)
minecraft.picked_up.chiseled_sandstone: #8, 4(2%)
minecraft.crafted.orange_bed: #8, 1(4%)
minecraft.mined.oak_trapdoor: #9, 56(4%)
minecraft.dropped.pufferfish: #8, 2(3%)
minecraft.mined.blue_stained_glass_pane: #8, 1(3%)
minecraft.used.jungle_sapling: #8, 38(2%)
minecraft.picked_up.sandstone_slab: #8, 38(2%)
minecraft.mined.detector_rail: #8, 4(2%)
minecraft.picked_up.blue_terracotta: #8, 69(1%)
minecraft.dropped.jungle_log: #8, 37(1%)
minecraft.used.orange_stained_glass: #8, 194(1%)
minecraft.picked_up.poisonous_potato: #9, 10(6%)
minecraft.picked_up.light_blue_dye: #8, 9(2%)
minecraft.dropped.glow_lichen: #8, 17(1%)
minecraft.crafted.tnt_minecart: #8, 1(2%)
minecraft.dropped.polished_andesite: #8, 38(1%)
minecraft.used.golden_pickaxe: #8, 10(1%)
minecraft.crafted.bamboo_sign: #8, 3(2%)
minecraft.dropped.pink_petals: #8, 5(2%)
minecraft.crafted.gray_bed: #8, 1(2%)
minecraft.dropped.cocoa_beans: #8, 5(1%)
minecraft.dropped.warped_wart_block: #8, 77(1%)
minecraft.crafted.cherry_stairs: #8, 4(2%)
minecraft.picked_up.polished_andesite_stairs: #9, 118(4%)
minecraft.killed_by.wither: #8, 1(2%)
minecraft.used.white_carpet: #8, 364(1%)
minecraft.used.netherite_helmet: #8, 4(1%)
minecraft.picked_up.cyan_stained_glass_pane: #8, 4(1%)
minecraft.mined.cut_sandstone: #8, 51(1%)
minecraft.crafted.brown_banner: #8, 1(2%)
minecraft.picked_up.cut_sandstone: #8, 60(1%)
minecraft.crafted.polished_blackstone_pressure_plate: #8, 11(1%)
minecraft.used.stripped_crimson_stem: #9, 55(4%)
minecraft.picked_up.light_gray_banner: #8, 1(1%)
minecraft.picked_up.beetroot: #8, 20(1%)
minecraft.dropped.stripped_spruce_log: #8, 3(1%)
minecraft.dropped.warped_slab: #8, 5(1%)
minecraft.used.weathered_cut_copper: #8, 4(1%)
minecraft.crafted.light_blue_banner: #8, 1(1%)
minecraft.used.yellow_carpet: #8, 114(1%)
minecraft.picked_up.birch_pressure_plate: #8, 1(1%)
minecraft.dropped.gold_nugget: #8, 211(0%)
minecraft.dropped.mushroom_stew: #8, 1(1%)
minecraft.crafted.blue_stained_glass_pane: #8, 24(1%)
minecraft.picked_up.birch_door: #8, 1(1%)
minecraft.dropped.ice: #8, 25(1%)
minecraft.dropped.deepslate_brick_slab: #8, 6(1%)
minecraft.picked_up.light_blue_bed: #8, 1(1%)
minecraft.crafted.purpur_stairs: #8, 1(1%)
minecraft.crafted.silence_armor_trim_smithing_template: #8, 2(1%)
minecraft.crafted.green_wool: #8, 13(1%)
minecraft.used.light_blue_candle: #8, 1(1%)
minecraft.used.iron_boots: #9, 4(5%)
minecraft.dropped.deepslate_brick_wall: #8, 5(1%)
minecraft.crafted.pink_carpet: #8, 35(0%)
minecraft.crafted.deepslate: #8, 12(1%)
minecraft.mined.sweet_berry_bush: #9, 18(4%)
minecraft.crafted.stripped_dark_oak_wood: #8, 6(0%)
minecraft.dropped.stone_stairs: #8, 10(0%)
minecraft.mined.polished_blackstone_brick_slab: #8, 3(0%)
minecraft.picked_up.stone_axe: #9, 4(5%)
minecraft.used.green_candle: #8, 4(0%)
minecraft.dropped.oak_stairs: #8, 2(1%)
minecraft.dropped.lime_stained_glass: #8, 1(1%)
minecraft.crafted.light_blue_wool: #8, 19(0%)
minecraft.used.exposed_cut_copper_slab: #8, 1(1%)
minecraft.dropped.hopper_minecart: #8, 1(0%)
minecraft.dropped.red_wool: #8, 11(0%)
minecraft.crafted.calibrated_sculk_sensor: #8, 1(0%)
minecraft.crafted.mossy_stone_brick_wall: #8, 1(0%)
minecraft.crafted.end_stone_brick_wall: #8, 1(0%)
minecraft.used.gravel: #9, 1142(3%)
minecraft.picked_up.raw_copper: #9, 8951(3%)
minecraft.crafted.bell: #8, 1(0%)
minecraft.crafted.jack_o_lantern: #8, 37(0%)
minecraft.crafted.cherry_trapdoor: #8, 1(0%)
minecraft.picked_up.light_gray_candle: #8, 1(0%)
minecraft.used.polished_blackstone_brick_stairs: #8, 40(0%)
minecraft.dropped.polished_deepslate_stairs: #8, 3(0%)
minecraft.crafted.magenta_carpet: #8, 3(0%)
minecraft.picked_up.lime_glazed_terracotta: #8, 1(0%)
minecraft.mined.purple_carpet: #8, 2(0%)
minecraft.picked_up.dead_tube_coral_fan: #8, 1(0%)
minecraft.picked_up.purple_glazed_terracotta: #8, 1(0%)
minecraft.picked_up.lime_bed: #8, 1(0%)
minecraft.used.lodestone: #8, 1(0%)
minecraft.picked_up.white_glazed_terracotta: #8, 2(0%)
minecraft.crafted.nether_brick_stairs: #8, 2(0%)
minecraft.crafted.packed_ice: #8, 16(0%)
minecraft.dropped.purple_stained_glass: #8, 1(0%)
minecraft.crafted.bundle: #8, 1(0%)
minecraft.dropped.muddy_mangrove_roots: #8, 1(0%)
minecraft.used.cherry_wood: #8, 1(0%)
minecraft.crafted.nether_brick_slab: #8, 4(0%)
minecraft.crafted.cut_sandstone_slab: #8, 2(0%)
minecraft.mined.dead_tube_coral_block: #8, 1(0%)
minecraft.mined.dead_bubble_coral_block: #8, 1(0%)
minecraft.crafted.white_candle: #8, 1(0%)
minecraft.crafted.white_glazed_terracotta: #8, 1(0%)
minecraft.crafted.green_candle: #8, 1(0%)
minecraft.crafted.cyan_candle: #8, 1(0%)
minecraft.picked_up.diamond_ore: #9, 18(6%)
minecraft.used.magenta_glazed_terracotta: #8, 3(0%)
minecraft.crafted.cracked_polished_blackstone_bricks: #8, 1(0%)
minecraft.crafted.end_stone_bricks: #8, 1(0%)
minecraft.picked_up.dead_fire_coral_block: #8, 1(0%)
minecraft.picked_up.dead_horn_coral_block: #8, 1(0%)
minecraft.used.purple_carpet: #8, 2(0%)
minecraft.crafted.gray_glazed_terracotta: #8, 1(0%)
minecraft.picked_up.purple_carpet: #8, 3(0%)
minecraft.custom.walk_under_water_one_cm: #10, 8977965(3%)
minecraft.crafted.shield: #9, 12(4%)
minecraft.used.iron_helmet: #9, 4(4%)
minecraft.used.deepslate: #9, 5529(3%)
minecraft.crafted.stone_slab: #9, 1708(3%)
minecraft.killed.shulker: #9, 158(4%)
minecraft.picked_up.packed_mud: #9, 88(4%)
minecraft.mined.deepslate_diamond_ore: #9, 897(3%)
minecraft.dropped.diorite: #9, 728(3%)
minecraft.picked_up.netherite_leggings: #9, 15(4%)
minecraft.picked_up.brewing_stand: #9, 16(4%)
minecraft.picked_up.rotten_flesh: #9, 2019(2%)
minecraft.picked_up.apple: #9, 205(3%)
minecraft.used.redstone_torch: #9, 402(3%)
minecraft.used.repeater: #9, 564(3%)
minecraft.picked_up.shears: #9, 29(3%)
minecraft.killed_by.phantom: #9, 1(8%)
