stat, rank, value, (percentage) 
minecraft.crafted.bookshelf: #2, 4093(16%)
minecraft.dropped.pearlescent_froglight: #1, 47(46%)
minecraft.dropped.lime_glazed_terracotta: #1, 60(91%)
minecraft.mined.smooth_quartz_slab: #2, 339(17%)
minecraft.crafted.light_gray_terracotta: #2, 2210(23%)
minecraft.dropped.green_concrete_powder: #1, 133(33%)
minecraft.dropped.smooth_quartz_stairs: #1, 21(33%)
minecraft.mined.piston: #2, 1061(14%)
minecraft.custom.interact_with_furnace: #1, 3619(7%)
minecraft.mined.crying_obsidian: #2, 123(19%)
minecraft.used.andesite: #2, 8643(12%)
minecraft.dropped.dark_oak_planks: #2, 514(13%)
minecraft.picked_up.fermented_spider_eye: #1, 128(66%)
minecraft.killed_by.iron_golem: #1, 9(38%)
minecraft.dropped.red_terracotta: #2, 471(17%)
minecraft.mined.cherry_stairs: #1, 17(65%)
minecraft.dropped.raw_copper_block: #1, 173(65%)
minecraft.mined.red_sandstone_wall: #1, 37(43%)
minecraft.picked_up.waxed_oxidized_cut_copper: #1, 49(43%)
minecraft.dropped.shears: #2, 156(14%)
minecraft.picked_up.stripped_jungle_wood: #2, 154(24%)
minecraft.picked_up.chiseled_stone_bricks: #2, 1592(15%)
minecraft.custom.talked_to_villager: #2, 9639(12%)
minecraft.mined.cherry_planks: #1, 60(42%)
minecraft.picked_up.cherry_sapling: #2, 591(18%)
minecraft.used.quartz_pillar: #2, 1728(17%)
minecraft.crafted.dripstone_block: #2, 3012(23%)
minecraft.mined.cherry_sapling: #2, 101(32%)
minecraft.picked_up.azalea_leaves: #2, 10382(13%)
minecraft.used.smooth_quartz: #3, 5241(17%)
minecraft.used.deepslate_copper_ore: #2, 204(22%)
minecraft.dropped.jungle_wood: #1, 97(83%)
minecraft.picked_up.glowstone: #2, 1688(13%)
minecraft.crafted.magenta_dye: #2, 3792(14%)
minecraft.crafted.chainmail_chestplate: #1, 12(35%)
minecraft.mined.bone_block: #2, 1046(13%)
minecraft.crafted.brown_carpet: #2, 744(18%)
minecraft.picked_up.lime_terracotta: #3, 2031(16%)
minecraft.crafted.raw_copper: #2, 17986(18%)
minecraft.dropped.light_gray_concrete_powder: #2, 1861(38%)
minecraft.picked_up.lime_stained_glass_pane: #2, 404(26%)
minecraft.picked_up.coal_ore: #2, 5816(12%)
minecraft.dropped.spruce_leaves: #2, 568(15%)
minecraft.mined.diamond_ore: #1, 45(11%)
minecraft.crafted.light_blue_stained_glass: #2, 1840(20%)
minecraft.dropped.stripped_jungle_wood: #1, 54(59%)
minecraft.mined.dried_kelp_block: #1, 64(33%)
minecraft.crafted.white_dye: #2, 12105(11%)
minecraft.crafted.chainmail_leggings: #1, 12(46%)
minecraft.picked_up.cobbled_deepslate_wall: #2, 218(22%)
minecraft.crafted.yellow_concrete_powder: #2, 3664(17%)
minecraft.mined.mangrove_planks: #2, 131(18%)
minecraft.picked_up.diamond_axe: #2, 95(10%)
minecraft.dropped.birch_fence_gate: #1, 36(57%)
minecraft.crafted.glowstone: #3, 4757(18%)
minecraft.mined.piston_head: #2, 77(16%)
minecraft.crafted.lime_concrete_powder: #2, 2952(18%)
minecraft.used.waxed_oxidized_copper: #2, 468(30%)
minecraft.dropped.birch_log: #2, 388(14%)
minecraft.used.packed_mud: #2, 1876(16%)
minecraft.used.chicken: #2, 17(20%)
minecraft.mined.dark_oak_planks: #2, 892(11%)
minecraft.dropped.yellow_dye: #2, 156(29%)
minecraft.dropped.warped_planks: #2, 185(23%)
minecraft.crafted.mangrove_slab: #2, 626(15%)
minecraft.used.copper_block: #2, 5402(11%)
minecraft.used.lime_terracotta: #2, 7250(12%)
minecraft.mined.crimson_fence: #2, 58(25%)
minecraft.mined.gravel: #2, 46028(10%)
minecraft.used.birch_fence_gate: #2, 229(21%)
minecraft.picked_up.pufferfish: #2, 74(17%)
minecraft.used.cherry_sapling: #2, 311(19%)
minecraft.crafted.blue_glazed_terracotta: #1, 656(72%)
minecraft.mined.waxed_oxidized_cut_copper: #1, 34(36%)
minecraft.picked_up.packed_mud: #2, 305(14%)
minecraft.picked_up.deepslate_diamond_ore: #2, 2540(12%)
minecraft.picked_up.jungle_log: #2, 8181(14%)
minecraft.used.copper_ore: #2, 2231(13%)
minecraft.picked_up.coal: #2, 15897(9%)
