stat, rank, value, (percentage) 
minecraft.mined.redstone_lamp: #14, 13(2%)
minecraft.picked_up.shulker_shell: #14, 280(1%)
minecraft.dropped.redstone: #14, 173(1%)
minecraft.picked_up.dark_oak_door: #14, 5(1%)
minecraft.dropped.granite: #14, 306(1%)
minecraft.crafted.note_block: #14, 64(1%)
minecraft.used.iron_door: #14, 8(1%)
minecraft.mined.polished_andesite_stairs: #14, 24(1%)
minecraft.crafted.redstone: #14, 3867(1%)
minecraft.mined.sea_pickle: #14, 15(1%)
minecraft.used.polished_andesite: #14, 454(1%)
minecraft.used.glass_pane: #14, 78(1%)
minecraft.crafted.diamond_chestplate: #14, 3(1%)
minecraft.used.lime_shulker_box: #14, 36(1%)
minecraft.picked_up.lime_shulker_box: #14, 34(1%)
minecraft.crafted.sticky_piston: #14, 150(1%)
minecraft.mined.lime_shulker_box: #14, 33(1%)
minecraft.used.oak_trapdoor: #14, 81(1%)
minecraft.used.stone_pressure_plate: #14, 12(1%)
minecraft.picked_up.dark_oak_stairs: #14, 41(1%)
minecraft.dropped.leather_helmet: #14, 3(1%)
minecraft.used.cobblestone_stairs: #14, 61(1%)
minecraft.crafted.piston: #14, 267(1%)
minecraft.crafted.oak_trapdoor: #14, 84(1%)
minecraft.used.smooth_stone_slab: #14, 245(1%)
minecraft.mined.stone_pressure_plate: #14, 4(1%)
minecraft.used.dark_oak_trapdoor: #14, 156(1%)
minecraft.picked_up.stone_button: #14, 47(1%)
minecraft.picked_up.polished_andesite_stairs: #14, 24(1%)
minecraft.mined.nether_wart_block: #14, 350(1%)
minecraft.picked_up.cherry_sapling: #14, 38(1%)
minecraft.dropped.netherite_axe: #14, 1(1%)
minecraft.used.cooked_cod: #14, 10(1%)
minecraft.mined.cyan_terracotta: #14, 108(1%)
minecraft.mined.purpur_slab: #14, 4(1%)
minecraft.used.andesite_slab: #14, 99(1%)
minecraft.mined.coarse_dirt: #14, 126(1%)
minecraft.crafted.gray_concrete_powder: #14, 592(1%)
minecraft.picked_up.purpur_slab: #14, 4(1%)
minecraft.crafted.iron_block: #14, 982(1%)
minecraft.mined.smooth_stone: #14, 55(1%)
minecraft.mined.spruce_pressure_plate: #14, 1(1%)
minecraft.dropped.stone_slab: #14, 49(1%)
minecraft.picked_up.emerald_block: #14, 191(0%)
minecraft.mined.sea_lantern: #14, 11(1%)
minecraft.dropped.purpur_slab: #14, 1(1%)
minecraft.dropped.spruce_sapling: #14, 17(1%)
minecraft.crafted.stone_button: #14, 129(0%)
minecraft.dropped.calcite: #14, 17(1%)
minecraft.used.ochre_froglight: #14, 61(1%)
minecraft.mined.bricks: #14, 16(0%)
minecraft.crafted.target: #14, 16(1%)
minecraft.crafted.brown_carpet: #14, 24(1%)
minecraft.picked_up.prismarine_bricks: #14, 45(0%)
minecraft.dropped.charcoal: #14, 4(1%)
minecraft.picked_up.brown_terracotta: #14, 410(0%)
minecraft.used.cyan_concrete: #14, 71(0%)
minecraft.picked_up.light_gray_stained_glass_pane: #14, 5(0%)
minecraft.picked_up.exposed_cut_copper: #14, 1(1%)
minecraft.used.cyan_carpet: #14, 18(0%)
minecraft.killed.zombie: #14, 486(0%)
minecraft.used.cyan_concrete_powder: #14, 78(0%)
minecraft.picked_up.melon_slice: #14, 48(0%)
minecraft.used.green_wool: #14, 19(0%)
minecraft.used.brown_terracotta: #14, 55(0%)
minecraft.used.oxidized_cut_copper: #14, 8(0%)
minecraft.killed.creeper: #14, 145(0%)
minecraft.dropped.dripstone_block: #14, 7(0%)
minecraft.used.azure_bluet: #14, 3(0%)
minecraft.mined.light_gray_stained_glass: #14, 16(0%)
minecraft.picked_up.polished_granite: #14, 11(0%)
minecraft.crafted.birch_wood: #14, 9(0%)
minecraft.used.cut_copper: #14, 9(0%)
minecraft.used.cyan_dye: #14, 1(0%)
minecraft.crafted.oxidized_cut_copper: #14, 4(0%)
minecraft.dropped.nether_wart_block: #14, 8(0%)
minecraft.dropped.glow_lichen: #14, 2(0%)
minecraft.used.oxidized_cut_copper_slab: #14, 14(0%)
minecraft.dropped.poppy: #14, 73(0%)
minecraft.crafted.yellow_carpet: #14, 18(0%)
minecraft.used.lime_concrete: #14, 11(0%)
minecraft.dropped.comparator: #14, 1(0%)
minecraft.used.red_mushroom_block: #14, 7(0%)
minecraft.picked_up.nether_brick_fence: #14, 2(0%)
minecraft.picked_up.prismarine_shard: #14, 9(0%)
minecraft.used.jungle_leaves: #14, 4(0%)
minecraft.picked_up.diorite_wall: #14, 1(0%)
minecraft.crafted.green_stained_glass: #14, 8(0%)
minecraft.used.crimson_fungus: #14, 2(0%)
minecraft.dropped.cactus: #14, 4(0%)
minecraft.mined.sculk_vein: #14, 2(0%)
minecraft.used.acacia_planks: #14, 2(0%)
minecraft.custom.use_cauldron: #14, 1(0%)
minecraft.used.cut_copper_slab: #14, 1(0%)
minecraft.dropped.black_wool: #14, 1(0%)
minecraft.mined.wall_torch: #15, 286(3%)
minecraft.picked_up.spruce_door: #15, 14(3%)
minecraft.used.item_frame: #15, 245(2%)
minecraft.custom.interact_with_grindstone: #15, 30(2%)
minecraft.used.writable_book: #15, 123(2%)
minecraft.crafted.chest: #15, 1327(2%)
minecraft.picked_up.diorite: #15, 3648(2%)
minecraft.picked_up.granite: #15, 4286(2%)
minecraft.picked_up.redstone_ore: #15, 18(3%)
minecraft.killed_by.drowned: #15, 3(2%)
minecraft.picked_up.andesite: #15, 4687(2%)
minecraft.picked_up.stone_axe: #15, 2(2%)
minecraft.mined.chipped_anvil: #15, 8(2%)
minecraft.dropped.dirt: #15, 1370(2%)
minecraft.custom.interact_with_beacon: #15, 21(2%)
minecraft.dropped.iron_pickaxe: #15, 2(2%)
minecraft.picked_up.iron_helmet: #15, 3(2%)
minecraft.picked_up.glass: #15, 1068(2%)
minecraft.used.spruce_planks: #15, 1031(1%)
minecraft.picked_up.lever: #15, 72(2%)
minecraft.dropped.cobbled_deepslate: #15, 661(2%)
minecraft.used.wooden_sword: #15, 74(2%)
minecraft.mined.lilac: #15, 9(2%)
minecraft.picked_up.oak_door: #15, 3(2%)
minecraft.used.glow_berries: #15, 59(1%)
minecraft.picked_up.polished_deepslate_slab: #15, 92(1%)
minecraft.picked_up.birch_planks: #15, 232(1%)
minecraft.crafted.netherite_pickaxe: #15, 1(2%)
minecraft.picked_up.oak_sapling: #15, 473(1%)
minecraft.dropped.birch_planks: #15, 30(1%)
minecraft.picked_up.golden_boots: #15, 7(1%)
minecraft.picked_up.powered_rail: #15, 189(1%)
minecraft.picked_up.chainmail_boots: #15, 2(1%)
minecraft.used.repeater: #15, 226(1%)
minecraft.used.birch_sign: #15, 54(1%)
minecraft.mined.redstone_wire: #15, 157(1%)
minecraft.picked_up.smooth_stone_slab: #15, 47(1%)
minecraft.mined.lily_of_the_valley: #15, 4(1%)
minecraft.mined.red_terracotta: #15, 382(1%)
minecraft.picked_up.dropper: #15, 39(1%)
minecraft.dropped.spruce_log: #15, 89(1%)
minecraft.mined.note_block: #15, 12(1%)
minecraft.used.netherite_pickaxe: #15, 56456(1%)
minecraft.used.pumpkin_pie: #15, 211(1%)
minecraft.mined.blast_furnace: #15, 4(1%)
minecraft.picked_up.polished_andesite: #15, 93(1%)
minecraft.picked_up.coarse_dirt: #15, 157(1%)
minecraft.crafted.cyan_terracotta: #15, 528(1%)
minecraft.used.powered_rail: #15, 314(1%)
minecraft.crafted.oak_boat: #15, 3(1%)
minecraft.picked_up.grass: #15, 115(1%)
minecraft.mined.observer: #15, 65(1%)
minecraft.dropped.golden_boots: #15, 5(1%)
minecraft.used.leather_boots: #15, 1(1%)
minecraft.used.honey_block: #15, 70(1%)
minecraft.picked_up.honey_block: #15, 27(1%)
minecraft.picked_up.dark_oak_button: #15, 7(1%)
minecraft.mined.glow_lichen: #15, 183(1%)
minecraft.picked_up.dark_oak_slab: #15, 57(1%)
minecraft.mined.jungle_log: #15, 308(1%)
minecraft.picked_up.fishing_rod: #15, 1(1%)
minecraft.crafted.stonecutter: #15, 7(1%)
minecraft.used.cooked_mutton: #15, 5(1%)
minecraft.used.spyglass: #15, 36(1%)
minecraft.crafted.green_terracotta: #15, 264(1%)
minecraft.picked_up.acacia_boat: #15, 1(1%)
minecraft.dropped.spruce_slab: #15, 11(0%)
minecraft.mined.oak_fence_gate: #15, 1(1%)
minecraft.used.lime_concrete_powder: #15, 69(0%)
minecraft.mined.cut_copper: #15, 3(0%)
minecraft.dropped.spruce_fence: #15, 3(0%)
minecraft.used.cut_copper_stairs: #15, 27(0%)
minecraft.picked_up.cobblestone_slab: #15, 48(0%)
minecraft.dropped.iron_leggings: #15, 2(0%)
minecraft.used.amethyst_cluster: #15, 11(0%)
minecraft.used.bell: #15, 2(1%)
minecraft.used.cocoa_beans: #15, 38(0%)
minecraft.picked_up.oak_fence_gate: #15, 1(0%)
minecraft.picked_up.sculk: #15, 162(0%)
minecraft.used.target: #15, 9(0%)
minecraft.crafted.cyan_carpet: #15, 12(0%)
minecraft.picked_up.cut_copper: #15, 3(0%)
minecraft.crafted.bamboo_block: #15, 64(0%)
minecraft.used.red_dye: #15, 2(0%)
minecraft.dropped.repeater: #15, 4(0%)
minecraft.picked_up.mushroom_stem: #15, 129(0%)
minecraft.dropped.stone_bricks: #15, 17(0%)
minecraft.crafted.torch: #16, 5595(3%)
minecraft.picked_up.blaze_powder: #15, 4(0%)
minecraft.mined.lime_concrete: #15, 38(0%)
minecraft.mined.green_wool: #15, 4(0%)
minecraft.used.polished_granite: #15, 30(0%)
minecraft.picked_up.cooked_chicken: #15, 9(0%)
minecraft.mined.gray_concrete_powder: #15, 2(0%)
minecraft.mined.twisting_vines: #15, 2(0%)
minecraft.used.mossy_cobblestone_stairs: #15, 4(0%)
minecraft.picked_up.magenta_wool: #15, 11(0%)
minecraft.used.birch_wood: #15, 6(0%)
minecraft.used.cooked_chicken: #15, 4(0%)
minecraft.picked_up.birch_wood: #15, 1(0%)
minecraft.mined.birch_slab: #15, 1(0%)
minecraft.used.diorite_wall: #15, 5(0%)
minecraft.crafted.purple_terracotta: #15, 12(0%)
minecraft.mined.purple_stained_glass: #15, 2(0%)
minecraft.used.stripped_birch_log: #15, 5(0%)
minecraft.mined.sculk_shrieker: #15, 1(0%)
minecraft.used.crimson_nylium: #15, 9(0%)
minecraft.used.air: #15, 3(0%)
minecraft.crafted.player_head: #15, 8(0%)
minecraft.used.yellow_carpet: #15, 11(0%)
minecraft.mined.waxed_weathered_copper: #15, 1(0%)
minecraft.mined.white_concrete_powder: #15, 5(0%)
minecraft.crafted.clay: #15, 7(0%)
minecraft.crafted.sandstone: #15, 8(0%)
minecraft.picked_up.sculk_vein: #15, 2(0%)
minecraft.used.purple_stained_glass: #15, 2(0%)
minecraft.picked_up.yellow_carpet: #15, 2(0%)
minecraft.picked_up.acacia_leaves: #15, 1(0%)
minecraft.used.dirt: #16, 18412(3%)
minecraft.killed.spider: #16, 70(2%)
minecraft.crafted.oak_fence: #16, 147(3%)
minecraft.picked_up.coal: #16, 3630(2%)
minecraft.used.diamond_axe: #16, 24207(2%)
minecraft.mined.deepslate_gold_ore: #16, 352(2%)
minecraft.custom.player_kills: #16, 17(2%)
minecraft.picked_up.item_frame: #16, 117(2%)
minecraft.picked_up.red_shulker_box: #16, 198(2%)
minecraft.used.spruce_stairs: #16, 370(2%)
minecraft.used.spruce_trapdoor: #16, 475(2%)
minecraft.picked_up.glow_berries: #16, 124(2%)
minecraft.dropped.grass_block: #16, 572(2%)
minecraft.crafted.spruce_trapdoor: #16, 424(2%)
minecraft.mined.andesite: #16, 4926(2%)
minecraft.mined.spruce_trapdoor: #16, 102(2%)
minecraft.picked_up.chipped_anvil: #16, 8(2%)
minecraft.used.iron_block: #16, 903(2%)
minecraft.crafted.coal: #16, 948(2%)
minecraft.dropped.iron_shovel: #16, 2(2%)
minecraft.picked_up.blaze_rod: #16, 71(2%)
minecraft.picked_up.flowering_azalea: #16, 118(1%)
minecraft.picked_up.pointed_dripstone: #16, 254(1%)
minecraft.used.composter: #16, 73(1%)
minecraft.picked_up.leather_leggings: #16, 7(2%)
minecraft.used.oak_sign: #16, 46(1%)
minecraft.mined.sunflower: #16, 7(1%)
minecraft.mined.budding_amethyst: #16, 6(1%)
minecraft.killed.ghast: #16, 18(1%)
minecraft.used.cyan_terracotta: #16, 724(1%)
minecraft.crafted.oak_slab: #16, 300(1%)
minecraft.used.note_block: #16, 56(1%)
minecraft.picked_up.golden_apple: #16, 11(1%)
minecraft.mined.oak_planks: #16, 141(1%)
minecraft.mined.nether_gold_ore: #16, 92(1%)
minecraft.used.dropper: #16, 92(1%)
minecraft.dropped.spruce_trapdoor: #16, 13(1%)
minecraft.crafted.dark_oak_sign: #16, 21(1%)
minecraft.crafted.lapis_block: #16, 93(1%)
minecraft.mined.tripwire_hook: #16, 2(1%)
minecraft.crafted.shulker_box: #16, 122(1%)
minecraft.dropped.coal_ore: #16, 35(1%)
minecraft.picked_up.vine: #16, 82(1%)
minecraft.mined.cobblestone_stairs: #16, 12(1%)
minecraft.used.obsidian: #16, 314(1%)
minecraft.dropped.cooked_cod: #16, 2(1%)
minecraft.picked_up.blast_furnace: #16, 4(1%)
minecraft.mined.iron_door: #16, 5(1%)
minecraft.picked_up.leather_chestplate: #16, 5(1%)
minecraft.used.dark_oak_sign: #16, 14(1%)
minecraft.picked_up.nether_wart_block: #16, 349(1%)
minecraft.mined.oxidized_copper: #16, 230(1%)
minecraft.picked_up.honeycomb: #16, 59(1%)
minecraft.used.black_wool: #16, 83(1%)
minecraft.used.iron_trapdoor: #16, 42(1%)
minecraft.mined.spruce_sapling: #16, 5(1%)
minecraft.picked_up.chainmail_helmet: #16, 1(1%)
minecraft.mined.iron_trapdoor: #16, 8(1%)
minecraft.mined.sticky_piston: #16, 23(1%)
minecraft.crafted.deepslate_brick_stairs: #16, 13(1%)
minecraft.dropped.oak_boat: #16, 1(1%)
minecraft.picked_up.podzol: #16, 121(1%)
minecraft.mined.birch_sapling: #16, 3(1%)
minecraft.mined.cocoa: #16, 35(1%)
minecraft.crafted.polished_andesite_slab: #16, 42(1%)
minecraft.killed.endermite: #16, 1(1%)
minecraft.crafted.mossy_stone_bricks: #16, 68(1%)
minecraft.used.peony: #16, 2(1%)
minecraft.mined.snow_block: #16, 440(0%)
minecraft.picked_up.stone_stairs: #16, 30(0%)
minecraft.crafted.lime_dye: #16, 188(0%)
minecraft.picked_up.glow_lichen: #16, 168(0%)
minecraft.dropped.minecart: #16, 3(1%)
minecraft.crafted.raw_copper_block: #16, 71(0%)
minecraft.dropped.leather_leggings: #16, 2(1%)
minecraft.dropped.netherrack: #16, 2016(0%)
minecraft.crafted.stone_pressure_plate: #16, 16(0%)
minecraft.crafted.cooked_beef: #16, 24(0%)
minecraft.used.gray_shulker_box: #16, 14(0%)
minecraft.mined.gray_shulker_box: #16, 13(0%)
minecraft.picked_up.gray_shulker_box: #16, 13(0%)
minecraft.crafted.yellow_terracotta: #16, 60(0%)
minecraft.mined.quartz_bricks: #16, 2(0%)
minecraft.crafted.cobblestone_wall: #16, 24(0%)
minecraft.dropped.rotten_flesh: #16, 568(0%)
minecraft.used.birch_leaves: #16, 96(0%)
minecraft.picked_up.pearlescent_froglight: #16, 7(0%)
minecraft.used.weathered_copper: #16, 4(0%)
minecraft.dropped.weeping_vines: #16, 3(0%)
minecraft.picked_up.rabbit: #16, 1(0%)
minecraft.used.mangrove_log: #16, 48(0%)
minecraft.picked_up.lime_concrete: #16, 38(0%)
minecraft.dropped.redstone_torch: #16, 4(0%)
minecraft.used.gray_carpet: #16, 122(0%)
minecraft.used.packed_ice: #16, 266(0%)
minecraft.picked_up.light_gray_stained_glass: #16, 16(0%)
minecraft.used.ice: #16, 81(0%)
minecraft.used.oxidized_cut_copper_stairs: #16, 12(0%)
minecraft.mined.red_bed: #16, 3(0%)
minecraft.used.experience_bottle: #16, 65(0%)
minecraft.used.oak_leaves: #16, 117(0%)
minecraft.picked_up.ochre_froglight: #16, 5(0%)
minecraft.dropped.dark_oak_trapdoor: #16, 2(0%)
minecraft.crafted.hay_block: #16, 23(0%)
minecraft.picked_up.cooked_salmon: #16, 1(0%)
minecraft.crafted.cyan_concrete_powder: #16, 64(0%)
minecraft.crafted.light_gray_concrete_powder: #16, 64(0%)
minecraft.mined.packed_mud: #16, 2(0%)
minecraft.crafted.netherite_scrap: #16, 4(0%)
minecraft.mined.light_gray_carpet: #16, 3(0%)
minecraft.picked_up.purple_stained_glass: #16, 2(0%)
minecraft.used.cobweb: #16, 1(0%)
minecraft.picked_up.white_carpet: #16, 14(0%)
minecraft.picked_up.waxed_weathered_copper: #16, 1(0%)
minecraft.crafted.bamboo_planks: #16, 4(0%)
minecraft.mined.polished_blackstone_brick_stairs: #16, 1(0%)
minecraft.picked_up.polished_blackstone_brick_stairs: #16, 1(0%)
minecraft.dropped.cornflower: #16, 1(0%)
minecraft.picked_up.heavy_weighted_pressure_plate: #16, 1(0%)
minecraft.dropped.compass: #17, 96(3%)
minecraft.picked_up.compass: #17, 102(3%)
minecraft.picked_up.spruce_slab: #17, 328(2%)
minecraft.mined.red_shulker_box: #17, 190(2%)
minecraft.picked_up.dark_oak_planks: #17, 313(2%)
minecraft.custom.jump: #18, 266347(3%)
minecraft.mined.granite: #17, 4660(2%)
minecraft.dropped.wooden_pickaxe: #17, 1(2%)
minecraft.picked_up.moss_carpet: #17, 732(2%)
minecraft.dropped.redstone_block: #17, 47(2%)
minecraft.crafted.oak_sign: #17, 48(2%)
minecraft.crafted.spruce_planks: #17, 7320(1%)
minecraft.custom.inspect_dropper: #17, 341(1%)
minecraft.picked_up.end_rod: #17, 51(1%)
minecraft.picked_up.birch_sign: #17, 39(1%)
minecraft.broken.shears: #17, 5(1%)
minecraft.mined.kelp: #17, 71(1%)
minecraft.dropped.netherite_boots: #17, 1(1%)
minecraft.picked_up.mossy_cobblestone: #17, 102(1%)
minecraft.picked_up.red_terracotta: #17, 379(1%)
minecraft.mined.end_stone_bricks: #17, 26(1%)
minecraft.mined.piston: #17, 62(1%)
minecraft.mined.birch_leaves: #17, 569(1%)
minecraft.mined.tripwire: #17, 18(1%)
minecraft.picked_up.end_stone_bricks: #17, 25(1%)
minecraft.dropped.chest: #17, 10(1%)
minecraft.picked_up.chainmail_leggings: #17, 1(1%)
minecraft.used.cobblestone_slab: #17, 119(1%)
minecraft.picked_up.oxidized_copper: #17, 227(1%)
minecraft.crafted.white_bed: #17, 6(1%)
minecraft.used.dark_oak_slab: #17, 229(1%)
minecraft.picked_up.leather_boots: #17, 10(1%)
minecraft.crafted.coal_block: #17, 165(1%)
minecraft.used.flint_and_steel: #17, 106(1%)
minecraft.dropped.pumpkin_pie: #17, 38(1%)
minecraft.picked_up.iron_chestplate: #17, 4(1%)
minecraft.picked_up.observer: #17, 65(1%)
minecraft.dropped.stick: #17, 405(0%)
minecraft.crafted.red_shulker_box: #17, 3(1%)
minecraft.crafted.brewing_stand: #17, 3(1%)
minecraft.picked_up.jungle_log: #17, 307(1%)
minecraft.crafted.white_concrete_powder: #17, 512(1%)
minecraft.picked_up.iron_trapdoor: #17, 9(1%)
minecraft.picked_up.wooden_axe: #17, 1(1%)
minecraft.crafted.pink_shulker_box: #17, 1(1%)
minecraft.crafted.cooked_mutton: #17, 4(0%)
minecraft.crafted.scaffolding: #17, 384(0%)
minecraft.mined.allium: #17, 3(0%)
minecraft.picked_up.cocoa_beans: #17, 122(0%)
minecraft.picked_up.brown_mushroom_block: #17, 201(0%)
minecraft.used.birch_sapling: #17, 66(0%)
minecraft.crafted.gray_carpet: #17, 96(0%)
minecraft.picked_up.book: #17, 185(0%)
minecraft.crafted.gray_stained_glass_pane: #17, 16(0%)
minecraft.mined.mushroom_stem: #17, 135(0%)
minecraft.picked_up.gunpowder: #17, 264(0%)
minecraft.dropped.oak_sign: #17, 2(0%)
minecraft.used.azalea_leaves: #17, 107(0%)
minecraft.picked_up.quartz_bricks: #17, 2(0%)
minecraft.used.purple_shulker_box: #17, 5(0%)
minecraft.used.polished_andesite_slab: #17, 67(0%)
minecraft.mined.dark_oak_sapling: #17, 1(0%)
minecraft.used.smooth_basalt: #17, 59(0%)
minecraft.picked_up.stripped_birch_log: #17, 17(0%)
minecraft.dropped.dark_oak_sign: #17, 1(0%)
minecraft.used.bread: #17, 16(0%)
minecraft.used.sculk_sensor: #17, 1(0%)
minecraft.used.yellow_terracotta: #17, 34(0%)
minecraft.mined.stripped_birch_log: #17, 20(0%)
minecraft.used.spruce_pressure_plate: #17, 1(0%)
minecraft.used.white_stained_glass_pane: #17, 16(0%)
minecraft.picked_up.red_bed: #17, 3(0%)
minecraft.mined.deepslate_brick_slab: #17, 5(0%)
minecraft.dropped.gunpowder: #17, 66(0%)
minecraft.crafted.dark_oak_wood: #17, 15(0%)
minecraft.mined.crimson_roots: #17, 13(0%)
minecraft.picked_up.allium: #17, 5(0%)
minecraft.dropped.powered_rail: #17, 2(0%)
minecraft.mined.melon: #17, 8(0%)
minecraft.picked_up.twisting_vines: #17, 4(0%)
minecraft.mined.twisting_vines_plant: #17, 1(0%)
minecraft.picked_up.lime_wool: #17, 5(0%)
minecraft.killed.cave_spider: #17, 87(0%)
minecraft.crafted.blast_furnace: #17, 1(0%)
minecraft.picked_up.deepslate_brick_slab: #17, 5(0%)
minecraft.picked_up.lily_of_the_valley: #17, 4(0%)
minecraft.picked_up.light_gray_wool: #17, 10(0%)
minecraft.used.dark_oak_wood: #17, 6(0%)
minecraft.dropped.bamboo: #17, 24(0%)
minecraft.picked_up.sculk_shrieker: #17, 1(0%)
minecraft.dropped.iron_axe: #17, 1(0%)
minecraft.mined.brick_slab: #17, 1(0%)
minecraft.crafted.light_blue_terracotta: #17, 12(0%)
minecraft.picked_up.birch_slab: #17, 1(0%)
minecraft.dropped.polished_deepslate: #17, 1(0%)
minecraft.picked_up.jungle_planks: #17, 4(0%)
minecraft.mined.sculk_sensor: #17, 2(0%)
minecraft.used.mangrove_wood: #17, 2(0%)
minecraft.picked_up.light_gray_carpet: #17, 3(0%)
minecraft.dropped.warped_roots: #17, 1(0%)
minecraft.picked_up.white_concrete_powder: #17, 5(0%)
minecraft.used.heavy_weighted_pressure_plate: #17, 1(0%)
minecraft.mined.black_concrete_powder: #17, 1(0%)
minecraft.crafted.air: #17, 0(0%)
minecraft.picked_up.gravel: #18, 9830(2%)
minecraft.mined.gravel: #18, 8779(2%)
minecraft.picked_up.arrow: #18, 1507(2%)
minecraft.picked_up.stone: #18, 51512(2%)
minecraft.used.red_shulker_box: #18, 191(2%)
minecraft.picked_up.diamond: #18, 538(1%)
minecraft.crafted.spruce_stairs: #18, 356(2%)
minecraft.mined.tuff: #18, 2598(2%)
minecraft.picked_up.diamond_helmet: #18, 7(1%)
minecraft.used.tuff: #18, 731(2%)
minecraft.picked_up.golden_carrot: #18, 414(1%)
minecraft.used.ladder: #18, 135(1%)
minecraft.crafted.ladder: #18, 168(1%)
minecraft.picked_up.oak_trapdoor: #18, 25(1%)
minecraft.picked_up.azalea: #18, 215(1%)
minecraft.crafted.oak_planks: #18, 3112(1%)
minecraft.picked_up.spruce_trapdoor: #18, 114(1%)
minecraft.crafted.diamond_shovel: #18, 4(1%)
minecraft.mined.cornflower: #18, 8(2%)
minecraft.dropped.stone_axe: #18, 2(2%)
minecraft.used.sunflower: #18, 4(1%)
minecraft.picked_up.hopper: #18, 141(1%)
minecraft.custom.minecart_one_cm: #18, 770688(1%)
minecraft.picked_up.stone_pickaxe: #18, 2(1%)
minecraft.used.sweet_berries: #18, 191(1%)
minecraft.picked_up.iron_door: #18, 6(1%)
minecraft.used.andesite: #18, 694(1%)
minecraft.picked_up.leather_helmet: #18, 3(1%)
minecraft.picked_up.obsidian: #18, 452(1%)
minecraft.picked_up.oak_planks: #18, 162(1%)
minecraft.picked_up.birch_sapling: #18, 230(1%)
minecraft.mined.emerald_ore: #18, 9(1%)
minecraft.used.spruce_slab: #18, 425(1%)
minecraft.mined.oxeye_daisy: #18, 3(1%)
minecraft.dropped.carved_pumpkin: #18, 18(1%)
minecraft.used.iron_helmet: #18, 1(1%)
minecraft.picked_up.oak_sign: #18, 19(1%)
minecraft.killed.sheep: #18, 9(1%)
minecraft.mined.azure_bluet: #18, 7(1%)
minecraft.used.oak_boat: #18, 9(1%)
minecraft.picked_up.music_disc_cat: #18, 4(1%)
minecraft.picked_up.poppy: #18, 189(1%)
minecraft.picked_up.netherite_pickaxe: #18, 6(1%)
minecraft.crafted.spruce_fence_gate: #18, 21(1%)
minecraft.picked_up.note_block: #18, 12(1%)
minecraft.mined.soul_sand: #18, 301(1%)
minecraft.used.bamboo: #18, 62(1%)
minecraft.mined.copper_block: #18, 27(1%)
minecraft.picked_up.spyglass: #18, 1(1%)
minecraft.mined.obsidian: #18, 341(1%)
minecraft.mined.stone_slab: #18, 93(1%)
minecraft.picked_up.flint_and_steel: #18, 7(1%)
minecraft.mined.dark_oak_wall_sign: #18, 3(1%)
minecraft.picked_up.iron_leggings: #18, 3(0%)
minecraft.picked_up.cyan_terracotta: #18, 95(0%)
minecraft.used.spruce_fence_gate: #18, 16(1%)
minecraft.picked_up.jukebox: #18, 3(1%)
minecraft.mined.brown_mushroom_block: #18, 246(1%)
minecraft.dropped.bone_meal: #18, 126(0%)
minecraft.mined.jukebox: #18, 3(1%)
minecraft.mined.brewing_stand: #18, 2(1%)
minecraft.used.stone_stairs: #18, 61(0%)
minecraft.crafted.writable_book: #18, 6(0%)
minecraft.used.sticky_piston: #18, 62(0%)
minecraft.picked_up.white_concrete: #18, 276(0%)
minecraft.dropped.coal: #18, 28(0%)
minecraft.picked_up.pink_shulker_box: #18, 9(0%)
minecraft.used.pink_shulker_box: #18, 9(0%)
minecraft.picked_up.bell: #18, 2(0%)
minecraft.used.spruce_sapling: #18, 69(0%)
minecraft.mined.pink_shulker_box: #18, 8(0%)
minecraft.mined.white_concrete: #18, 278(0%)
minecraft.used.nether_bricks: #18, 38(0%)
minecraft.dropped.flowering_azalea: #18, 3(0%)
minecraft.picked_up.egg: #18, 74(0%)
minecraft.dropped.bone: #18, 89(0%)
minecraft.used.dark_oak_sapling: #18, 25(0%)
minecraft.dropped.smooth_basalt: #18, 7(0%)
minecraft.crafted.smooth_quartz: #18, 66(0%)
minecraft.used.white_concrete_powder: #18, 263(0%)
minecraft.picked_up.netherite_axe: #18, 1(0%)
minecraft.picked_up.glow_item_frame: #18, 4(0%)
minecraft.mined.cherry_log: #18, 25(0%)
minecraft.picked_up.gold_ingot: #18, 70(0%)
minecraft.dropped.moss_carpet: #18, 32(0%)
minecraft.crafted.deepslate_brick_slab: #18, 8(0%)
minecraft.crafted.polished_granite: #18, 33(0%)
minecraft.picked_up.emerald: #18, 152(0%)
minecraft.crafted.spruce_pressure_plate: #18, 1(0%)
minecraft.dropped.name_tag: #18, 1(0%)
minecraft.used.light_gray_concrete_powder: #18, 64(0%)
minecraft.picked_up.weathered_copper: #18, 4(0%)
minecraft.mined.weathered_copper: #18, 4(0%)
minecraft.used.green_terracotta: #18, 52(0%)
minecraft.used.polished_diorite: #18, 16(0%)
minecraft.picked_up.gray_carpet: #18, 30(0%)
minecraft.picked_up.packed_mud: #18, 2(0%)
minecraft.picked_up.blue_shulker_box: #18, 4(0%)
minecraft.used.blue_shulker_box: #18, 4(0%)
minecraft.mined.light_gray_terracotta: #18, 11(0%)
minecraft.dropped.copper_ingot: #18, 1(0%)
minecraft.mined.blue_shulker_box: #18, 4(0%)
minecraft.killed.chicken: #18, 11(0%)
minecraft.crafted.tnt: #18, 64(0%)
minecraft.used.light_blue_concrete_powder: #18, 2(0%)
minecraft.picked_up.brick_slab: #18, 1(0%)
minecraft.crafted.beehive: #18, 1(0%)
