stat, rank, value, (percentage) 
minecraft.crafted.deepslate_brick_slab: #1, 1458(35%)
minecraft.used.spruce_boat: #1, 223(25%)
minecraft.crafted.polished_blackstone_brick_stairs: #1, 424(61%)
minecraft.picked_up.cobblestone_slab: #1, 3842(28%)
minecraft.dropped.glass_bottle: #1, 2001(23%)
minecraft.crafted.end_stone_brick_slab: #1, 372(80%)
minecraft.dropped.copper_ingot: #1, 416(38%)
minecraft.dropped.red_dye: #1, 364(38%)
minecraft.used.brown_wool: #1, 2984(55%)
minecraft.picked_up.stripped_spruce_log: #1, 3349(26%)
minecraft.dropped.coal_ore: #1, 1081(28%)
minecraft.picked_up.spruce_boat: #1, 230(24%)
minecraft.picked_up.spore_blossom: #1, 176(28%)
minecraft.used.milk_bucket: #1, 69(35%)
minecraft.dropped.netherite_shovel: #1, 27(50%)
minecraft.used.gold_block: #1, 2218(28%)
minecraft.crafted.red_shulker_box: #1, 165(32%)
minecraft.dropped.soul_sand: #2, 5771(40%)
minecraft.crafted.light_blue_wool: #1, 3167(77%)
minecraft.dropped.iron_shovel: #1, 33(26%)
minecraft.used.allium: #1, 79(46%)
minecraft.picked_up.gold_block: #2, 3888(33%)
minecraft.mined.cracked_deepslate_bricks: #1, 834(53%)
minecraft.dropped.coal: #2, 2230(29%)
minecraft.dropped.rotten_flesh: #2, 58567(23%)
minecraft.mined.medium_amethyst_bud: #1, 736(36%)
minecraft.dropped.dirt: #1, 18322(21%)
minecraft.mined.stripped_spruce_log: #1, 3095(25%)
minecraft.dropped.allium: #1, 111(62%)
minecraft.picked_up.netherite_pickaxe: #1, 207(23%)
minecraft.used.brewing_stand: #1, 134(26%)
minecraft.dropped.nether_bricks: #1, 610(42%)
minecraft.dropped.nether_brick: #1, 1527(61%)
minecraft.mined.polished_blackstone_brick_stairs: #1, 1523(42%)
minecraft.picked_up.golden_axe: #1, 34(74%)
minecraft.used.cod_bucket: #1, 32(60%)
minecraft.picked_up.purple_concrete: #1, 2910(39%)
minecraft.crafted.jungle_planks: #1, 29820(29%)
minecraft.picked_up.acacia_sign: #1, 174(35%)
minecraft.picked_up.crossbow: #1, 440(29%)
