stat, rank, value, (percentage) 
minecraft.used.daylight_detector: #11, 3(0%)
minecraft.mined.brick_slab: #11, 4(0%)
minecraft.used.light_blue_terracotta: #11, 43(0%)
minecraft.picked_up.red_carpet: #11, 30(0%)
minecraft.mined.green_carpet: #11, 2(0%)
minecraft.used.prismarine_wall: #11, 1(0%)
minecraft.used.blackstone_wall: #11, 4(0%)
minecraft.used.mud_brick_stairs: #11, 2(0%)
minecraft.used.polished_blackstone_pressure_plate: #11, 1(0%)
minecraft.used.cut_copper_slab: #11, 9(0%)
minecraft.used.sandstone_stairs: #11, 1(0%)
minecraft.dropped.black_wool: #11, 2(0%)
minecraft.dropped.wooden_pickaxe: #12, 1(2%)
minecraft.dropped.cooked_cod: #12, 5(3%)
minecraft.crafted.mangrove_slab: #12, 96(2%)
minecraft.picked_up.spruce_leaves: #12, 1341(2%)
minecraft.used.iron_helmet: #12, 2(2%)
minecraft.used.stone_pressure_plate: #12, 22(2%)
minecraft.picked_up.green_shulker_box: #12, 44(1%)
minecraft.used.green_shulker_box: #12, 43(1%)
minecraft.used.mangrove_sign: #12, 9(2%)
minecraft.mined.mossy_cobblestone_slab: #12, 4(2%)
minecraft.mined.mangrove_slab: #12, 13(1%)
minecraft.dropped.netherite_sword: #12, 1(2%)
minecraft.used.rose_bush: #12, 12(1%)
minecraft.dropped.netherite_axe: #12, 1(1%)
minecraft.used.totem_of_undying: #12, 8(1%)
minecraft.dropped.snow: #12, 93(1%)
minecraft.mined.oak_fence_gate: #12, 2(1%)
minecraft.crafted.black_shulker_box: #12, 3(1%)
minecraft.picked_up.white_terracotta: #12, 237(1%)
minecraft.used.mangrove_stairs: #12, 21(1%)
minecraft.picked_up.oak_fence_gate: #12, 2(1%)
minecraft.crafted.deepslate_bricks: #12, 260(1%)
minecraft.crafted.stone_pressure_plate: #12, 22(1%)
minecraft.used.spruce_wood: #12, 111(1%)
minecraft.picked_up.mangrove_fence: #12, 2(1%)
minecraft.picked_up.music_disc_blocks: #12, 1(1%)
minecraft.used.oxidized_cut_copper: #12, 17(1%)
minecraft.mined.orange_terracotta: #12, 291(0%)
minecraft.crafted.gray_wool: #12, 40(1%)
minecraft.mined.brown_terracotta: #12, 475(0%)
minecraft.picked_up.orange_terracotta: #12, 295(0%)
minecraft.crafted.spruce_pressure_plate: #12, 3(0%)
minecraft.crafted.polished_blackstone_stairs: #12, 4(1%)
minecraft.used.terracotta: #12, 127(0%)
minecraft.used.red_stained_glass_pane: #12, 10(1%)
minecraft.picked_up.light_blue_terracotta: #12, 21(0%)
minecraft.dropped.golden_sword: #12, 4(0%)
minecraft.mined.waxed_copper_block: #12, 4(0%)
minecraft.crafted.iron_hoe: #12, 1(0%)
minecraft.dropped.saddle: #12, 1(0%)
minecraft.picked_up.waxed_copper_block: #12, 4(0%)
minecraft.picked_up.cyan_bed: #12, 2(0%)
minecraft.mined.cyan_bed: #12, 2(0%)
minecraft.mined.polished_blackstone_wall: #12, 1(0%)
minecraft.used.magenta_concrete_powder: #12, 1(0%)
minecraft.crafted.polished_blackstone_pressure_plate: #12, 1(0%)
minecraft.used.polished_blackstone_wall: #12, 6(0%)
minecraft.used.stripped_acacia_log: #12, 1(0%)
minecraft.dropped.bricks: #12, 1(0%)
minecraft.mined.sweet_berry_bush: #13, 11(3%)
minecraft.dropped.diamond_shovel: #13, 4(2%)
minecraft.used.soul_lantern: #13, 46(2%)
minecraft.mined.spruce_leaves: #13, 1481(1%)
minecraft.picked_up.music_disc_otherside: #13, 4(2%)
minecraft.mined.note_block: #13, 13(1%)
minecraft.used.big_dripleaf: #13, 11(1%)
minecraft.dropped.oak_log: #13, 132(1%)
minecraft.picked_up.oak_stairs: #13, 25(1%)
minecraft.crafted.acacia_slab: #13, 30(1%)
minecraft.crafted.raw_iron: #13, 306(1%)
minecraft.crafted.brick: #13, 896(1%)
minecraft.dropped.totem_of_undying: #13, 7(1%)
minecraft.picked_up.netherite_ingot: #13, 1(1%)
minecraft.crafted.stone_button: #13, 157(1%)
minecraft.crafted.smooth_quartz_slab: #13, 72(1%)
minecraft.used.sculk_sensor: #13, 3(1%)
minecraft.used.stripped_dark_oak_log: #13, 32(1%)
minecraft.picked_up.clay_ball: #13, 896(0%)
minecraft.used.orange_terracotta: #13, 61(1%)
minecraft.used.mangrove_log: #13, 86(0%)
minecraft.picked_up.acacia_boat: #13, 1(1%)
minecraft.used.red_banner: #13, 7(1%)
minecraft.picked_up.brown_terracotta: #13, 430(0%)
minecraft.used.lily_of_the_valley: #13, 1(1%)
minecraft.picked_up.black_dye: #13, 16(0%)
minecraft.used.packed_mud: #13, 51(0%)
minecraft.used.acacia_sign: #13, 4(1%)
minecraft.picked_up.acacia_planks: #13, 12(0%)
minecraft.mined.mangrove_trapdoor: #13, 8(0%)
minecraft.mined.stripped_acacia_log: #13, 8(0%)
minecraft.picked_up.red_bed: #13, 5(0%)
minecraft.used.pumpkin: #13, 70(0%)
minecraft.picked_up.stripped_acacia_log: #13, 8(0%)
minecraft.picked_up.golden_sword: #13, 4(0%)
minecraft.dropped.snow_block: #13, 63(0%)
minecraft.used.brown_terracotta: #13, 62(0%)
minecraft.dropped.iron_bars: #13, 12(0%)
minecraft.used.light_gray_concrete: #13, 66(0%)
minecraft.mined.red_wall_banner: #13, 1(0%)
minecraft.mined.light_gray_stained_glass_pane: #13, 1(0%)
