stat, rank, value, (percentage) 
minecraft.mined.grass_block: #26, 2345(0%)
minecraft.picked_up.bow: #26, 14(0%)
minecraft.used.dirt: #26, 1546(0%)
minecraft.picked_up.spruce_sapling: #26, 58(0%)
minecraft.mined.anvil: #26, 3(0%)
minecraft.used.white_bed: #26, 7(0%)
minecraft.mined.poppy: #26, 8(0%)
minecraft.picked_up.oak_fence: #26, 5(0%)
minecraft.used.diamond_axe: #26, 2184(0%)
minecraft.custom.target_hit: #26, 6(0%)
minecraft.crafted.lantern: #26, 24(0%)
minecraft.used.diamond_sword: #26, 1533(0%)
minecraft.used.item_frame: #26, 17(0%)
minecraft.mined.oak_leaves: #26, 191(0%)
minecraft.used.bone_meal: #26, 441(0%)
minecraft.custom.interact_with_smithing_table: #26, 2(0%)
minecraft.picked_up.anvil: #26, 3(0%)
minecraft.used.oak_log: #26, 42(0%)
minecraft.used.armor_stand: #26, 4(0%)
minecraft.picked_up.lever: #26, 5(0%)
minecraft.used.grass_block: #26, 567(0%)
minecraft.picked_up.sticky_piston: #26, 6(0%)
minecraft.mined.repeater: #26, 5(0%)
minecraft.mined.cobbled_deepslate: #26, 18(0%)
minecraft.mined.observer: #26, 8(0%)
minecraft.dropped.firework_rocket: #26, 219(0%)
minecraft.mined.birch_wall_sign: #26, 1(0%)
minecraft.custom.inspect_dispenser: #26, 22(0%)
minecraft.crafted.stonecutter: #26, 1(0%)
minecraft.picked_up.deepslate_bricks: #26, 15(0%)
minecraft.picked_up.stone_slab: #26, 14(0%)
minecraft.picked_up.repeater: #26, 5(0%)
minecraft.picked_up.deepslate_tiles: #26, 6(0%)
minecraft.picked_up.oak_leaves: #26, 53(0%)
minecraft.crafted.anvil: #26, 2(0%)
minecraft.dropped.stone: #26, 115(0%)
minecraft.killed.piglin: #26, 1(0%)
minecraft.picked_up.spruce_stairs: #26, 2(0%)
minecraft.custom.interact_with_blast_furnace: #26, 2(0%)
minecraft.used.written_book: #26, 11(0%)
minecraft.used.sticky_piston: #26, 6(0%)
minecraft.crafted.quartz_block: #26, 38(0%)
minecraft.used.flint_and_steel: #26, 6(0%)
minecraft.picked_up.stone_bricks: #26, 15(0%)
minecraft.picked_up.minecart: #26, 1(0%)
minecraft.crafted.bone_meal: #26, 867(0%)
minecraft.used.copper_block: #26, 13(0%)
minecraft.crafted.bow: #26, 1(0%)
minecraft.dropped.snowball: #26, 4(0%)
minecraft.used.cobbled_deepslate_slab: #26, 5(0%)
minecraft.picked_up.basalt: #26, 33(0%)
minecraft.dropped.netherrack: #26, 72(0%)
minecraft.used.basalt: #26, 9(0%)
minecraft.mined.basalt: #26, 34(0%)
minecraft.used.egg: #26, 3(0%)
minecraft.picked_up.polished_deepslate: #26, 1(0%)
minecraft.dropped.moss_carpet: #26, 1(0%)
minecraft.dropped.arrow: #26, 5(0%)
minecraft.mined.crafting_table: #27, 33(0%)
minecraft.used.crafting_table: #27, 36(0%)
minecraft.killed_by.player: #27, 10(0%)
minecraft.custom.open_enderchest: #27, 353(0%)
minecraft.picked_up.crafting_table: #27, 29(0%)
minecraft.mined.grass: #27, 278(0%)
minecraft.crafted.stick: #27, 1192(0%)
minecraft.custom.fall_one_cm: #27, 590578(0%)
minecraft.custom.walk_one_cm: #27, 7277749(0%)
minecraft.custom.interact_with_crafting_table: #27, 261(0%)
minecraft.picked_up.shield: #27, 1(0%)
minecraft.picked_up.diamond: #27, 111(0%)
minecraft.custom.horse_one_cm: #27, 227074(0%)
minecraft.custom.damage_taken: #27, 25911(0%)
minecraft.crafted.diamond_shovel: #27, 1(0%)
minecraft.custom.sneak_time: #27, 180244(0%)
minecraft.picked_up.barrel: #27, 10(0%)
minecraft.mined.deepslate_diamond_ore: #27, 76(0%)
minecraft.picked_up.dirt: #27, 2131(0%)
minecraft.used.chest: #27, 63(0%)
minecraft.picked_up.oak_log: #27, 230(0%)
minecraft.picked_up.oak_trapdoor: #27, 3(0%)
minecraft.used.diamond_shovel: #27, 5734(0%)
minecraft.mined.dirt: #27, 1215(0%)
minecraft.picked_up.calcite: #27, 64(0%)
minecraft.crafted.chest: #27, 76(0%)
minecraft.picked_up.splash_potion: #27, 1(0%)
minecraft.mined.barrel: #27, 3(0%)
minecraft.picked_up.sweet_berries: #27, 27(0%)
minecraft.picked_up.oak_sapling: #27, 37(0%)
minecraft.dropped.wheat_seeds: #27, 64(0%)
minecraft.used.dark_oak_stairs: #27, 12(0%)
minecraft.mined.dark_oak_trapdoor: #27, 2(0%)
minecraft.used.stonecutter: #27, 2(0%)
minecraft.used.redstone_torch: #27, 11(0%)
minecraft.used.redstone: #27, 61(0%)
minecraft.picked_up.observer: #27, 8(0%)
minecraft.mined.dandelion: #27, 3(0%)
minecraft.used.bookshelf: #27, 13(0%)
minecraft.crafted.shulker_box: #27, 8(0%)
minecraft.mined.stonecutter: #27, 1(0%)
minecraft.mined.spruce_planks: #27, 10(0%)
minecraft.used.stone: #27, 368(0%)
minecraft.picked_up.stonecutter: #27, 1(0%)
minecraft.used.potion: #27, 3(0%)
minecraft.used.observer: #27, 11(0%)
minecraft.mined.vine: #27, 4(0%)
minecraft.picked_up.poppy: #27, 8(0%)
minecraft.dropped.iron_nugget: #27, 10(0%)
minecraft.mined.birch_planks: #27, 3(0%)
minecraft.picked_up.feather: #27, 6(0%)
minecraft.mined.podzol: #27, 6(0%)
minecraft.mined.andesite: #27, 40(0%)
minecraft.picked_up.andesite: #27, 34(0%)
minecraft.mined.bone_block: #27, 1(0%)
minecraft.custom.talked_to_villager: #27, 7(0%)
minecraft.mined.bamboo: #27, 2(0%)
minecraft.used.smooth_quartz: #27, 2(0%)
minecraft.dropped.deepslate: #27, 5(0%)
minecraft.picked_up.bamboo: #27, 15(0%)
minecraft.crafted.iron_block: #27, 6(0%)
minecraft.dropped.emerald: #27, 4(0%)
minecraft.used.oak_sapling: #27, 1(0%)
minecraft.picked_up.magma_block: #27, 1(0%)
minecraft.mined.magma_block: #27, 1(0%)
minecraft.picked_up.spider_eye: #27, 1(0%)
minecraft.mined.ice: #27, 3(0%)
minecraft.crafted.red_dye: #27, 1(0%)
minecraft.dropped.poppy: #27, 1(0%)
minecraft.dropped.spider_eye: #27, 1(0%)
minecraft.killed.drowned: #27, 2(0%)
minecraft.picked_up.diamond_sword: #28, 7(1%)
minecraft.crafted.diamond_pickaxe: #28, 2(1%)
minecraft.custom.sprint_one_cm: #28, 7041453(0%)
minecraft.mined.deepslate_redstone_ore: #28, 169(0%)
minecraft.mined.deepslate_lapis_ore: #28, 24(0%)
minecraft.picked_up.water_bucket: #28, 5(0%)
minecraft.custom.deaths: #28, 17(0%)
minecraft.custom.interact_with_furnace: #28, 160(0%)
minecraft.custom.jump: #28, 20091(0%)
minecraft.custom.open_shulker_box: #28, 2304(0%)
minecraft.used.ladder: #28, 22(0%)
minecraft.mined.deepslate: #28, 2971(0%)
minecraft.picked_up.spruce_planks: #28, 65(0%)
minecraft.used.tuff: #28, 93(0%)
minecraft.used.diamond_pickaxe: #28, 11021(0%)
minecraft.mined.oak_log: #28, 169(0%)
minecraft.mined.torch: #28, 33(0%)
minecraft.picked_up.stick: #28, 123(0%)
minecraft.mined.gravel: #28, 435(0%)
minecraft.mined.chest: #28, 15(0%)
minecraft.crafted.birch_planks: #28, 240(0%)
minecraft.used.ender_pearl: #28, 6(0%)
minecraft.picked_up.chest: #28, 18(0%)
minecraft.used.oak_sign: #28, 3(0%)
minecraft.picked_up.dark_oak_trapdoor: #28, 4(0%)
minecraft.picked_up.gravel: #28, 348(0%)
minecraft.crafted.birch_sign: #28, 3(0%)
minecraft.crafted.iron_ingot: #28, 379(0%)
minecraft.picked_up.diamond_block: #28, 2(0%)
minecraft.used.dark_oak_planks: #28, 13(0%)
minecraft.mined.stone: #28, 1233(0%)
minecraft.dropped.stick: #28, 21(0%)
minecraft.used.oak_slab: #28, 2(0%)
minecraft.picked_up.coal_ore: #28, 8(0%)
minecraft.picked_up.dandelion: #28, 5(0%)
minecraft.mined.oak_planks: #28, 2(0%)
minecraft.crafted.bucket: #28, 1(0%)
minecraft.mined.carrots: #28, 1(0%)
minecraft.picked_up.copper_ingot: #28, 1(0%)
minecraft.dropped.diamond_pickaxe: #29, 2(0%)
minecraft.picked_up.diamond_pickaxe: #29, 7(0%)
minecraft.picked_up.coal: #29, 721(0%)
minecraft.mined.furnace: #29, 10(0%)
minecraft.custom.walk_under_water_one_cm: #29, 447199(0%)
minecraft.picked_up.torch: #29, 240(0%)
minecraft.mined.wall_torch: #29, 22(0%)
minecraft.mined.tuff: #29, 377(0%)
minecraft.mined.coal_ore: #29, 235(0%)
minecraft.picked_up.redstone: #29, 408(0%)
minecraft.picked_up.tuff: #29, 273(0%)
minecraft.picked_up.lapis_lazuli: #29, 145(0%)
minecraft.custom.climb_one_cm: #29, 92156(0%)
minecraft.picked_up.written_book: #29, 1(0%)
minecraft.mined.nether_quartz_ore: #29, 69(0%)
minecraft.custom.crouch_one_cm: #29, 414175(0%)
minecraft.picked_up.raw_iron: #29, 88(0%)
minecraft.picked_up.item_frame: #29, 5(0%)
minecraft.picked_up.dark_oak_log: #29, 138(0%)
minecraft.mined.deepslate_iron_ore: #29, 13(0%)
minecraft.picked_up.apple: #29, 4(0%)
minecraft.used.writable_book: #29, 3(0%)
minecraft.custom.inspect_dropper: #29, 13(0%)
minecraft.mined.birch_log: #29, 44(0%)
minecraft.mined.birch_leaves: #29, 32(0%)
minecraft.crafted.redstone: #29, 135(0%)
minecraft.custom.damage_dealt: #29, 20328(0%)
minecraft.picked_up.white_wool: #29, 5(0%)
minecraft.mined.redstone_wire: #29, 4(0%)
minecraft.custom.interact_with_stonecutter: #29, 2(0%)
minecraft.picked_up.shulker_box: #29, 12(0%)
minecraft.picked_up.stone: #29, 427(0%)
minecraft.picked_up.bone: #29, 11(0%)
minecraft.picked_up.netherrack: #29, 122(0%)
minecraft.mined.shulker_box: #29, 8(0%)
minecraft.dropped.flint: #29, 1(0%)
minecraft.killed.zombie: #29, 15(0%)
minecraft.dropped.rotten_flesh: #29, 15(0%)
minecraft.picked_up.string: #29, 6(0%)
minecraft.killed.creeper: #29, 5(0%)
minecraft.killed.skeleton: #29, 5(0%)
minecraft.picked_up.bone_block: #29, 1(0%)
minecraft.mined.netherrack: #29, 21(0%)
minecraft.picked_up.ice: #29, 2(0%)
minecraft.used.furnace: #30, 12(0%)
minecraft.crafted.torch: #30, 364(0%)
minecraft.used.cobblestone: #30, 134(0%)
minecraft.mined.deepslate_gold_ore: #30, 24(0%)
minecraft.used.torch: #30, 234(0%)
minecraft.mined.iron_ore: #30, 35(0%)
minecraft.picked_up.oak_sign: #30, 1(0%)
minecraft.used.birch_sign: #30, 2(0%)
minecraft.picked_up.rotten_flesh: #30, 21(0%)
minecraft.crafted.diamond: #30, 9(0%)
minecraft.used.spruce_planks: #30, 9(0%)
minecraft.used.shulker_box: #30, 8(0%)
minecraft.used.bucket: #30, 9(0%)
minecraft.picked_up.birch_sapling: #30, 2(0%)
minecraft.used.iron_sword: #30, 1(0%)
minecraft.mined.dark_oak_log: #30, 12(0%)
minecraft.picked_up.carrot: #30, 5(0%)
minecraft.picked_up.paper: #30, 4(0%)
minecraft.picked_up.furnace: #31, 10(0%)
minecraft.dropped.cobblestone: #31, 42(0%)
minecraft.picked_up.cobblestone: #31, 551(0%)
minecraft.picked_up.birch_planks: #31, 8(0%)
minecraft.picked_up.birch_log: #31, 44(0%)
minecraft.picked_up.arrow: #31, 26(0%)
minecraft.picked_up.flint: #31, 3(0%)
minecraft.picked_up.emerald: #31, 13(0%)
minecraft.used.diorite: #31, 1(0%)
minecraft.used.water_bucket: #31, 3(0%)
minecraft.picked_up.book: #31, 1(0%)
minecraft.picked_up.granite: #31, 1(0%)
minecraft.mined.granite: #31, 1(0%)
minecraft.killed_by.ravager: #32, 1(0%)
minecraft.killed.spider: #32, 1(0%)
minecraft.picked_up.cobbled_deepslate: #32, 14(0%)
minecraft.picked_up.raw_copper: #32, 3(0%)
minecraft.picked_up.compass: #33, 1(0%)
minecraft.used.cooked_porkchop: #33, 8(0%)
minecraft.mined.fire: #33, 2(0%)
minecraft.custom.inspect_hopper: #33, 1(0%)
minecraft.custom.minecart_one_cm: #33, 232(0%)
minecraft.mined.cobblestone: #34, 18(0%)
minecraft.picked_up.iron_nugget: #34, 7(0%)
minecraft.mined.diorite: #34, 1(0%)
minecraft.custom.swim_one_cm: #35, 37231(0%)
minecraft.custom.boat_one_cm: #35, 102856(0%)
minecraft.picked_up.diorite: #35, 1(0%)
minecraft.custom.leave_game: #38, 87(0%)
minecraft.custom.walk_on_water_one_cm: #42, 45929(0%)
minecraft.custom.play_time: #44, 3626302(0%)
minecraft.custom.total_world_time: #44, 3626302(0%)
minecraft.custom.fly_one_cm: #44, 4543331(0%)
