stat, rank, value, (percentage) 
minecraft.dropped.stick: #35, 2(0%)
minecraft.custom.inspect_hopper: #35, 1(0%)
minecraft.used.water_bucket: #35, 1(0%)
minecraft.picked_up.diamond_leggings: #36, 1(0%)
minecraft.custom.jump: #36, 3250(0%)
minecraft.picked_up.player_head: #36, 6(0%)
minecraft.crafted.stick: #36, 52(0%)
minecraft.used.bucket: #36, 1(0%)
minecraft.custom.mob_kills: #36, 10(0%)
minecraft.custom.damage_taken: #37, 3885(0%)
minecraft.custom.interact_with_lectern: #37, 3(0%)
minecraft.custom.climb_one_cm: #37, 15365(0%)
minecraft.custom.open_barrel: #37, 24(0%)
minecraft.picked_up.bow: #37, 1(0%)
minecraft.picked_up.torch: #37, 3(0%)
minecraft.custom.damage_resisted: #37, 4(0%)
minecraft.picked_up.emerald: #37, 1(0%)
minecraft.custom.deaths: #38, 4(0%)
minecraft.custom.sprint_one_cm: #38, 638467(0%)
minecraft.custom.aviate_one_cm: #38, 3220229(0%)
minecraft.custom.crouch_one_cm: #38, 59708(0%)
minecraft.custom.sleep_in_bed: #38, 2(0%)
minecraft.picked_up.paper: #38, 1(0%)
minecraft.killed.zombie: #38, 1(0%)
minecraft.killed_by.player: #39, 1(0%)
minecraft.custom.walk_one_cm: #39, 656998(0%)
minecraft.custom.interact_with_anvil: #40, 1(0%)
minecraft.used.firework_rocket: #41, 67(0%)
minecraft.picked_up.rotten_flesh: #41, 1(0%)
minecraft.custom.open_enderchest: #47, 1(0%)
minecraft.custom.sneak_time: #51, 23763(0%)
minecraft.custom.leave_game: #52, 16(0%)
minecraft.custom.walk_under_water_one_cm: #53, 25812(0%)
minecraft.custom.time_since_rest: #53, 6108(0%)
minecraft.custom.play_time: #57, 519174(0%)
minecraft.custom.total_world_time: #57, 519174(0%)
minecraft.custom.walk_on_water_one_cm: #57, 5917(0%)
minecraft.custom.fly_one_cm: #58, 326494(0%)
minecraft.custom.time_since_death: #61, 6061(0%)
