stat, rank, value, (percentage) 
minecraft.used.brown_stained_glass_pane: #2, 34(12%)
minecraft.broken.golden_shovel: #2, 1(17%)
minecraft.used.white_candle: #3, 23(17%)
minecraft.used.music_disc_far: #2, 11(14%)
minecraft.broken.stone_pickaxe: #3, 8(11%)
minecraft.used.waxed_weathered_cut_copper_stairs: #2, 159(7%)
minecraft.mined.brown_concrete_powder: #3, 19(14%)
minecraft.crafted.lightning_rod: #3, 281(8%)
minecraft.crafted.warped_fence_gate: #3, 51(16%)
minecraft.used.mossy_stone_bricks: #3, 338(8%)
minecraft.picked_up.beef: #4, 1458(9%)
minecraft.crafted.brown_stained_glass_pane: #2, 40(10%)
minecraft.used.granite_stairs: #3, 47(15%)
minecraft.used.chainmail_helmet: #2, 8(22%)
minecraft.used.warped_fence_gate: #3, 55(18%)
minecraft.picked_up.smoker: #3, 12(14%)
minecraft.dropped.spider_eye: #4, 12450(9%)
minecraft.dropped.dark_oak_stairs: #2, 73(5%)
minecraft.dropped.polished_diorite: #3, 129(11%)
minecraft.used.jungle_wood: #3, 175(11%)
minecraft.mined.jungle_fence_gate: #3, 6(14%)
minecraft.broken.stone_shovel: #2, 6(5%)
minecraft.picked_up.stone_stairs: #3, 357(6%)
minecraft.used.seagrass: #3, 70(13%)
minecraft.used.birch_leaves: #4, 3153(9%)
minecraft.dropped.diorite_slab: #3, 8(24%)
minecraft.picked_up.clay: #4, 5173(10%)
minecraft.used.granite: #4, 1972(8%)
minecraft.used.gray_banner: #3, 30(14%)
minecraft.mined.mud: #4, 10275(9%)
minecraft.picked_up.diorite_stairs: #3, 27(13%)
minecraft.dropped.oxidized_copper: #2, 46(6%)
minecraft.used.oxidized_cut_copper: #4, 349(13%)
minecraft.picked_up.stripped_spruce_log: #4, 1071(8%)
minecraft.used.oak_fence: #4, 412(8%)
minecraft.mined.jungle_hanging_sign: #2, 1(11%)
minecraft.used.birch_fence: #4, 520(10%)
minecraft.mined.prismarine_brick_stairs: #2, 2(5%)
minecraft.mined.acacia_sapling: #3, 43(10%)
minecraft.picked_up.hay_block: #4, 542(9%)
minecraft.mined.acacia_button: #3, 3(13%)
minecraft.used.stripped_oak_log: #2, 190(1%)
minecraft.mined.nether_brick_slab: #3, 60(16%)
minecraft.picked_up.nether_bricks: #4, 1992(8%)
minecraft.dropped.dark_oak_sapling: #4, 191(9%)
minecraft.picked_up.diamond_sword: #4, 76(6%)
minecraft.used.stone_pickaxe: #4, 1048(7%)
minecraft.dropped.mangrove_roots: #2, 180(0%)
minecraft.crafted.spruce_trapdoor: #4, 1668(6%)
