stat, rank, value, (percentage) 
minecraft.dropped.black_shulker_box: #9, 1(2%)
minecraft.used.nether_wart: #9, 126(1%)
minecraft.picked_up.barrel: #10, 163(4%)
minecraft.dropped.spruce_button: #9, 5(2%)
minecraft.dropped.sugar: #9, 96(2%)
minecraft.dropped.crossbow: #9, 27(1%)
minecraft.picked_up.sandstone_stairs: #9, 9(2%)
minecraft.used.dark_oak_boat: #9, 7(1%)
minecraft.crafted.light_gray_banner: #9, 6(2%)
minecraft.crafted.glass_bottle: #9, 936(1%)
minecraft.picked_up.redstone_lamp: #10, 81(5%)
minecraft.crafted.granite_stairs: #9, 4(2%)
minecraft.used.chiseled_quartz_block: #9, 19(2%)
minecraft.picked_up.mangrove_leaves: #9, 680(1%)
minecraft.used.grass_block: #10, 21767(4%)
minecraft.picked_up.gold_ingot: #9, 272(1%)
minecraft.dropped.cooked_mutton: #9, 1(2%)
minecraft.crafted.oxidized_cut_copper_slab: #9, 30(1%)
minecraft.crafted.beehive: #9, 24(1%)
minecraft.crafted.mangrove_fence_gate: #9, 2(2%)
minecraft.dropped.white_wool: #9, 37(1%)
minecraft.picked_up.golden_sword: #9, 10(1%)
minecraft.dropped.polished_andesite: #9, 33(1%)
minecraft.dropped.cookie: #9, 18(1%)
minecraft.crafted.leather_boots: #9, 10(1%)
minecraft.used.smithing_table: #9, 17(1%)
minecraft.picked_up.gray_carpet: #9, 198(1%)
minecraft.used.quartz_bricks: #9, 22(1%)
minecraft.crafted.acacia_wood: #9, 63(1%)
minecraft.used.acacia_slab: #9, 12(1%)
minecraft.used.golden_pickaxe: #9, 8(1%)
minecraft.crafted.chain: #10, 501(4%)
minecraft.mined.spruce_sign: #10, 5(5%)
minecraft.dropped.golden_sword: #9, 9(1%)
minecraft.mined.oak_trapdoor: #10, 50(4%)
minecraft.used.light_blue_bed: #9, 2(1%)
minecraft.mined.chiseled_deepslate: #9, 3(1%)
minecraft.dropped.stone_pressure_plate: #9, 4(1%)
minecraft.crafted.jungle_stairs: #9, 16(1%)
minecraft.used.jungle_stairs: #9, 13(1%)
minecraft.used.small_dripleaf: #9, 1(1%)
minecraft.used.warped_fungus: #9, 37(1%)
minecraft.used.melon_seeds: #9, 2(1%)
minecraft.picked_up.stripped_mangrove_wood: #9, 5(1%)
minecraft.mined.stripped_mangrove_wood: #9, 5(1%)
minecraft.used.stripped_warped_hyphae: #9, 12(0%)
minecraft.mined.stripped_warped_hyphae: #9, 13(1%)
minecraft.crafted.cyan_wool: #9, 17(1%)
minecraft.picked_up.diamond_block: #10, 172(3%)
minecraft.dropped.packed_mud: #9, 2(1%)
minecraft.picked_up.hopper_minecart: #9, 14(0%)
minecraft.mined.dark_oak_trapdoor: #10, 82(4%)
minecraft.used.acacia_stairs: #9, 2(1%)
minecraft.crafted.slime_block: #9, 167(0%)
minecraft.crafted.cyan_stained_glass: #9, 56(0%)
minecraft.mined.white_concrete_powder: #9, 33(0%)
minecraft.crafted.chiseled_quartz_block: #9, 3(0%)
minecraft.crafted.polished_diorite_slab: #9, 4(0%)
minecraft.used.dried_kelp_block: #9, 2(0%)
minecraft.crafted.dried_kelp_block: #9, 8(0%)
minecraft.crafted.light_blue_wool: #9, 6(0%)
minecraft.picked_up.white_tulip: #9, 2(0%)
minecraft.crafted.sandstone_slab: #9, 2(0%)
minecraft.crafted.spruce_fence: #10, 789(4%)
minecraft.picked_up.birch_sapling: #10, 848(3%)
minecraft.mined.chipped_anvil: #10, 15(4%)
minecraft.used.polished_deepslate_wall: #10, 738(4%)
minecraft.used.sunflower: #10, 11(4%)
minecraft.killed.salmon: #10, 61(4%)
minecraft.picked_up.warped_wart_block: #10, 2157(4%)
minecraft.picked_up.spruce_trapdoor: #10, 259(3%)
minecraft.used.calcite: #10, 765(4%)
minecraft.used.polished_andesite: #10, 1406(3%)
minecraft.custom.open_enderchest: #11, 4734(4%)
minecraft.crafted.iron_axe: #10, 9(3%)
minecraft.dropped.dandelion: #10, 68(3%)
minecraft.used.dandelion: #10, 15(3%)
minecraft.used.stone_axe: #10, 246(3%)
minecraft.mined.big_dripleaf_stem: #10, 12(4%)
minecraft.crafted.dark_oak_fence: #10, 405(3%)
minecraft.dropped.glow_ink_sac: #10, 45(4%)
minecraft.crafted.golden_helmet: #10, 3(4%)
minecraft.mined.jungle_log: #10, 1333(3%)
minecraft.dropped.podzol: #10, 17(4%)
minecraft.crafted.warped_trapdoor: #10, 146(3%)
minecraft.picked_up.smooth_stone_slab: #10, 108(3%)
minecraft.dropped.ender_chest: #10, 8(3%)
minecraft.picked_up.birch_fence: #10, 71(3%)
minecraft.used.dark_oak_trapdoor: #10, 388(2%)
minecraft.mined.exposed_copper: #10, 61(3%)
minecraft.custom.sneak_time: #12, 5196908(4%)
minecraft.used.warped_sign: #10, 44(3%)
minecraft.crafted.white_concrete_powder: #10, 2368(3%)
minecraft.crafted.jungle_planks: #10, 2404(2%)
minecraft.picked_up.orange_shulker_box: #10, 84(2%)
minecraft.used.iron_boots: #10, 2(3%)
minecraft.used.orange_shulker_box: #10, 83(2%)
minecraft.mined.orange_shulker_box: #10, 84(2%)
minecraft.mined.iron_trapdoor: #10, 25(2%)
minecraft.used.flint_and_steel: #10, 320(2%)
minecraft.crafted.acacia_trapdoor: #10, 296(3%)
minecraft.used.warped_fence: #10, 57(3%)
minecraft.picked_up.campfire: #10, 33(2%)
minecraft.mined.stone_pressure_plate: #10, 7(2%)
minecraft.picked_up.blue_shulker_box: #10, 95(2%)
minecraft.used.blue_shulker_box: #10, 94(2%)
minecraft.crafted.end_crystal: #10, 4(4%)
minecraft.used.oxidized_copper: #10, 351(2%)
minecraft.mined.blue_shulker_box: #10, 94(2%)
minecraft.mined.cobbled_deepslate_wall: #10, 9(3%)
minecraft.dropped.spruce_leaves: #10, 64(2%)
minecraft.killed.horse: #10, 4(2%)
minecraft.used.golden_apple: #10, 5(2%)
minecraft.used.polished_andesite_slab: #10, 403(2%)
minecraft.used.warped_stem: #10, 697(2%)
minecraft.crafted.light_gray_concrete_powder: #10, 1064(2%)
minecraft.crafted.stone_button: #10, 379(1%)
minecraft.used.dark_oak_fence_gate: #10, 41(2%)
minecraft.crafted.brown_terracotta: #10, 96(2%)
minecraft.mined.warped_button: #10, 2(2%)
minecraft.killed.spider: #11, 117(4%)
minecraft.mined.orange_wool: #10, 34(2%)
minecraft.mined.nether_wart: #10, 124(1%)
minecraft.mined.oak_fence_gate: #10, 3(2%)
minecraft.picked_up.stripped_spruce_wood: #10, 43(2%)
minecraft.used.prismarine_bricks: #10, 152(1%)
minecraft.dropped.chainmail_leggings: #10, 2(2%)
minecraft.used.cookie: #10, 9(2%)
minecraft.used.lily_of_the_valley: #10, 3(2%)
minecraft.crafted.yellow_wool: #10, 50(2%)
minecraft.dropped.netherite_shovel: #10, 1(2%)
minecraft.crafted.jungle_slab: #10, 120(1%)
minecraft.mined.warped_stem: #10, 316(1%)
minecraft.picked_up.mangrove_roots: #10, 453(1%)
minecraft.picked_up.string: #11, 3824(4%)
minecraft.used.lime_terracotta: #10, 537(1%)
minecraft.dropped.stone_hoe: #10, 1(2%)
minecraft.dropped.chorus_fruit: #10, 29(1%)
minecraft.used.orange_terracotta: #10, 103(1%)
minecraft.mined.polished_andesite_slab: #10, 36(1%)
minecraft.picked_up.dark_oak_fence_gate: #10, 10(1%)
minecraft.mined.red_sand: #10, 392(1%)
minecraft.picked_up.red_sand: #10, 391(1%)
minecraft.used.beehive: #10, 27(1%)
minecraft.picked_up.mangrove_button: #10, 1(2%)
minecraft.dropped.elytra: #11, 12(3%)
minecraft.mined.quartz_bricks: #10, 4(1%)
minecraft.used.cobblestone: #11, 3440(3%)
minecraft.picked_up.nether_brick_stairs: #10, 2(1%)
minecraft.crafted.stone_shovel: #10, 5(1%)
minecraft.dropped.composter: #10, 1(1%)
minecraft.crafted.soul_campfire: #10, 14(1%)
minecraft.crafted.wooden_sword: #10, 14(1%)
minecraft.dropped.flowering_azalea_leaves: #10, 13(1%)
minecraft.used.bone_block: #10, 240(0%)
minecraft.dropped.piston: #10, 6(1%)
minecraft.mined.detector_rail: #10, 2(1%)
minecraft.used.light_gray_carpet: #10, 83(0%)
minecraft.dropped.deepslate_tile_slab: #10, 5(1%)
minecraft.used.gray_stained_glass_pane: #10, 18(1%)
minecraft.mined.pumpkin_stem: #10, 1(1%)
minecraft.picked_up.magenta_glazed_terracotta: #10, 10(1%)
minecraft.crafted.cobbled_deepslate_wall: #10, 8(1%)
minecraft.crafted.detector_rail: #10, 6(1%)
minecraft.picked_up.bamboo_planks: #10, 2(1%)
minecraft.dropped.spruce_stairs: #10, 3(1%)
minecraft.crafted.bamboo_slab: #10, 12(1%)
minecraft.picked_up.copper_ingot: #10, 168(0%)
minecraft.dropped.nether_gold_ore: #10, 3(1%)
minecraft.used.air: #10, 18(0%)
minecraft.crafted.nether_brick: #10, 113(1%)
minecraft.mined.sandstone_wall: #10, 4(0%)
minecraft.used.golden_axe: #10, 6(1%)
minecraft.picked_up.stripped_warped_hyphae: #10, 13(0%)
minecraft.picked_up.muddy_mangrove_roots: #10, 31(0%)
minecraft.crafted.barrel: #11, 285(4%)
minecraft.picked_up.chiseled_deepslate: #10, 4(0%)
minecraft.picked_up.smooth_basalt: #11, 940(4%)
minecraft.mined.crimson_fence: #10, 1(0%)
minecraft.picked_up.light_gray_dye: #10, 6(0%)
minecraft.dropped.dark_oak_door: #10, 1(0%)
minecraft.mined.smooth_sandstone_stairs: #10, 4(0%)
minecraft.picked_up.smooth_sandstone_stairs: #10, 4(0%)
minecraft.mined.yellow_carpet: #10, 4(0%)
minecraft.custom.interact_with_campfire: #10, 1(0%)
minecraft.mined.grass_block: #11, 26942(3%)
minecraft.dropped.cobbled_deepslate_stairs: #10, 1(0%)
minecraft.mined.pink_terracotta: #10, 2(0%)
minecraft.dropped.white_stained_glass_pane: #10, 1(0%)
minecraft.picked_up.jungle_stairs: #10, 2(0%)
minecraft.used.prismarine_brick_slab: #10, 17(0%)
minecraft.picked_up.stripped_cherry_log: #10, 2(0%)
minecraft.mined.stripped_cherry_log: #10, 2(0%)
minecraft.mined.smooth_basalt: #11, 811(4%)
minecraft.dropped.cornflower: #10, 5(0%)
minecraft.mined.black_glazed_terracotta: #10, 1(0%)
minecraft.used.smooth_sandstone_stairs: #10, 8(0%)
minecraft.crafted.polished_granite_slab: #10, 2(0%)
minecraft.picked_up.lime_stained_glass_pane: #10, 1(0%)
minecraft.custom.use_cauldron: #10, 3(0%)
minecraft.used.sandstone_slab: #10, 2(0%)
minecraft.dropped.diamond_boots: #11, 7(4%)
minecraft.mined.spruce_slab: #11, 329(4%)
minecraft.used.spruce_log: #11, 1465(3%)
minecraft.mined.barrel: #11, 104(3%)
minecraft.killed_by.vex: #11, 8(4%)
minecraft.mined.player_head: #11, 36(3%)
minecraft.used.snowball: #11, 207(3%)
minecraft.picked_up.cyan_shulker_box: #11, 196(3%)
minecraft.mined.cyan_shulker_box: #11, 194(3%)
minecraft.mined.grindstone: #11, 16(3%)
minecraft.used.andesite: #11, 1796(3%)
minecraft.picked_up.dark_oak_sapling: #11, 573(3%)
minecraft.used.stone_bricks: #11, 3975(3%)
minecraft.picked_up.dark_oak_stairs: #11, 114(3%)
minecraft.picked_up.goat_horn: #11, 7(2%)
minecraft.picked_up.raw_copper: #11, 5732(2%)
minecraft.mined.lever: #11, 35(2%)
minecraft.used.poppy: #11, 15(2%)
minecraft.dropped.red_mushroom: #11, 31(3%)
minecraft.used.polished_deepslate: #11, 1585(2%)
minecraft.mined.spruce_log: #11, 4666(2%)
minecraft.crafted.clock: #11, 8(3%)
minecraft.picked_up.flowering_azalea_leaves: #11, 626(2%)
minecraft.crafted.stone_hoe: #11, 3(3%)
minecraft.picked_up.copper_block: #11, 273(2%)
minecraft.mined.lily_of_the_valley: #11, 9(3%)
minecraft.used.armor_stand: #11, 70(2%)
minecraft.used.deepslate_bricks: #11, 2173(2%)
minecraft.used.shroomlight: #11, 80(2%)
minecraft.used.diamond_ore: #11, 6(4%)
minecraft.used.polished_andesite_stairs: #11, 281(2%)
minecraft.mined.dark_oak_fence: #11, 52(2%)
minecraft.used.gray_concrete: #11, 1001(3%)
minecraft.picked_up.polished_deepslate_wall: #11, 89(2%)
minecraft.used.jungle_log: #11, 181(2%)
minecraft.used.stone_brick_slab: #11, 436(2%)
minecraft.mined.stone_brick_wall: #11, 16(2%)
minecraft.custom.pig_one_cm: #11, 63242(3%)
minecraft.picked_up.big_dripleaf: #11, 86(2%)
minecraft.crafted.lead: #11, 20(2%)
minecraft.crafted.armor_stand: #11, 52(2%)
minecraft.picked_up.dark_oak_slab: #11, 155(2%)
minecraft.used.lilac: #11, 14(2%)
minecraft.crafted.brewing_stand: #11, 11(2%)
minecraft.used.cobblestone_slab: #11, 283(2%)
minecraft.picked_up.golden_pickaxe: #11, 1(3%)
minecraft.crafted.warped_sign: #11, 36(2%)
minecraft.picked_up.gray_wool: #11, 196(2%)
minecraft.crafted.dark_oak_door: #11, 9(2%)
minecraft.mined.mangrove_log: #11, 214(2%)
minecraft.custom.interact_with_brewingstand: #11, 154(1%)
minecraft.mined.warped_nylium: #11, 108(2%)
minecraft.picked_up.polished_deepslate_stairs: #11, 70(2%)
minecraft.dropped.lever: #11, 8(2%)
minecraft.mined.light_blue_concrete: #11, 67(2%)
minecraft.picked_up.polished_andesite_slab: #11, 90(1%)
minecraft.mined.spruce_fence_gate: #11, 16(2%)
minecraft.picked_up.light_blue_concrete: #11, 67(2%)
minecraft.dropped.mossy_cobblestone: #11, 24(2%)
minecraft.used.light_gray_stained_glass_pane: #11, 51(2%)
minecraft.mined.hay_block: #11, 48(1%)
minecraft.picked_up.flower_pot: #11, 33(1%)
minecraft.mined.polished_blackstone_slab: #11, 35(2%)
minecraft.used.light_blue_concrete_powder: #11, 65(2%)
minecraft.crafted.polished_basalt: #11, 352(2%)
minecraft.mined.mangrove_slab: #11, 15(1%)
minecraft.dropped.diamond_chestplate: #11, 1(2%)
minecraft.mined.warped_wall_sign: #11, 5(2%)
minecraft.picked_up.cobbled_deepslate_stairs: #11, 20(1%)
minecraft.crafted.hopper_minecart: #11, 52(1%)
minecraft.picked_up.bricks: #11, 132(1%)
minecraft.mined.acacia_sign: #11, 1(2%)
minecraft.mined.red_tulip: #11, 3(2%)
minecraft.used.quartz_pillar: #11, 129(1%)
minecraft.used.ochre_froglight: #11, 129(1%)
minecraft.mined.polished_deepslate_wall: #11, 19(1%)
minecraft.used.warped_button: #11, 10(1%)
minecraft.crafted.dark_oak_fence_gate: #11, 31(1%)
minecraft.used.cauldron: #11, 41(1%)
minecraft.dropped.wooden_sword: #11, 7(1%)
minecraft.used.smooth_basalt: #11, 219(1%)
minecraft.used.lime_stained_glass: #11, 174(1%)
minecraft.used.red_dye: #11, 6(1%)
minecraft.crafted.lime_stained_glass: #11, 200(1%)
minecraft.dropped.rabbit_hide: #11, 1(1%)
minecraft.crafted.cut_copper_slab: #11, 10(1%)
minecraft.picked_up.spruce_door: #12, 19(4%)
minecraft.picked_up.clay_ball: #11, 1184(1%)
minecraft.dropped.snowball: #11, 135(1%)
minecraft.used.stone: #12, 32233(3%)
minecraft.used.acacia_sign: #11, 7(1%)
minecraft.custom.pot_flower: #12, 65(4%)
minecraft.picked_up.acacia_sign: #11, 4(1%)
minecraft.used.warped_stairs: #11, 54(1%)
minecraft.used.deepslate_tile_wall: #11, 76(1%)
minecraft.mined.warped_fence: #11, 5(1%)
minecraft.dropped.raw_copper: #11, 72(1%)
minecraft.dropped.observer: #11, 9(1%)
minecraft.mined.andesite_wall: #11, 10(1%)
minecraft.used.crimson_door: #11, 1(1%)
minecraft.mined.raw_copper_block: #11, 5(1%)
minecraft.mined.acacia_leaves: #11, 196(1%)
minecraft.crafted.orange_stained_glass_pane: #11, 16(1%)
minecraft.used.green_concrete: #11, 94(1%)
minecraft.used.light_blue_wool: #11, 55(0%)
minecraft.mined.crimson_nylium: #11, 99(0%)
minecraft.used.warped_wart_block: #11, 87(0%)
minecraft.used.cracked_stone_bricks: #11, 42(0%)
minecraft.used.red_candle: #11, 10(1%)
minecraft.picked_up.brown_wool: #11, 35(1%)
minecraft.used.wither_skeleton_skull: #11, 10(1%)
minecraft.used.green_terracotta: #11, 230(0%)
minecraft.crafted.cracked_stone_bricks: #11, 49(1%)
minecraft.picked_up.acacia_leaves: #11, 71(1%)
minecraft.used.decorated_pot: #11, 4(1%)
minecraft.mined.lime_stained_glass: #11, 15(0%)
minecraft.used.mangrove_roots: #11, 28(0%)
minecraft.crafted.decorated_pot: #11, 3(0%)
minecraft.picked_up.jungle_slab: #11, 10(1%)
minecraft.picked_up.sculk_vein: #11, 56(0%)
minecraft.used.brain_coral: #11, 1(0%)
minecraft.used.cherry_log: #11, 8(0%)
minecraft.crafted.pink_terracotta: #11, 40(0%)
minecraft.used.orange_stained_glass_pane: #11, 4(0%)
minecraft.used.blue_stained_glass: #11, 3(0%)
minecraft.picked_up.red_tulip: #11, 5(0%)
minecraft.mined.oak_wood: #11, 2(0%)
minecraft.used.magenta_terracotta: #11, 7(0%)
minecraft.dropped.jungle_sapling: #11, 1(0%)
minecraft.mined.muddy_mangrove_roots: #11, 11(0%)
minecraft.picked_up.crimson_fence: #11, 1(0%)
minecraft.crafted.polished_diorite_stairs: #11, 1(0%)
minecraft.mined.light_blue_stained_glass_pane: #11, 1(0%)
minecraft.used.flower_pot: #12, 78(4%)
minecraft.picked_up.orange_dye: #11, 1(0%)
minecraft.mined.lime_stained_glass_pane: #11, 1(0%)
minecraft.used.pink_stained_glass: #11, 7(0%)
minecraft.picked_up.green_carpet: #11, 9(0%)
minecraft.picked_up.black_glazed_terracotta: #11, 1(0%)
minecraft.crafted.magenta_stained_glass: #11, 8(0%)
minecraft.crafted.sandstone_wall: #11, 1(0%)
minecraft.used.magenta_stained_glass: #11, 3(0%)
minecraft.used.blue_ice: #11, 5(0%)
minecraft.used.cut_sandstone: #11, 13(0%)
minecraft.crafted.black_carpet: #11, 12(0%)
minecraft.used.tuff: #12, 1588(3%)
minecraft.used.spruce_stairs: #12, 622(3%)
minecraft.picked_up.chipped_anvil: #12, 15(4%)
minecraft.picked_up.cobblestone: #12, 33849(2%)
minecraft.dropped.golden_carrot: #12, 246(2%)
minecraft.dropped.cyan_shulker_box: #12, 3(3%)
minecraft.picked_up.deepslate: #12, 11659(3%)
minecraft.used.wooden_pickaxe: #12, 15(3%)
minecraft.picked_up.gray_concrete: #12, 983(3%)
minecraft.mined.rose_bush: #12, 12(3%)
minecraft.mined.oak_sign: #12, 6(3%)
minecraft.dropped.written_book: #12, 4(2%)
minecraft.picked_up.azalea_leaves: #12, 1825(2%)
minecraft.used.dark_oak_sign: #12, 45(2%)
minecraft.mined.dark_oak_sapling: #12, 10(3%)
minecraft.mined.oak_leaves: #12, 2347(2%)
minecraft.used.wooden_axe: #12, 22(3%)
minecraft.used.birch_sign: #12, 97(2%)
minecraft.picked_up.spruce_sapling: #12, 453(2%)
minecraft.mined.red_terracotta: #12, 774(2%)
minecraft.used.birch_trapdoor: #12, 50(2%)
minecraft.picked_up.exposed_copper: #12, 61(2%)
minecraft.picked_up.golden_apple: #12, 19(2%)
minecraft.used.dark_oak_stairs: #12, 232(2%)
minecraft.crafted.mangrove_door: #12, 3(3%)
minecraft.used.dark_oak_log: #12, 887(2%)
minecraft.custom.inspect_dropper: #12, 475(1%)
minecraft.mined.acacia_log: #12, 458(2%)
minecraft.crafted.lapis_block: #12, 171(2%)
minecraft.dropped.chest: #12, 24(2%)
minecraft.used.tripwire_hook: #12, 12(2%)
minecraft.crafted.dark_oak_trapdoor: #12, 306(1%)
minecraft.used.gray_concrete_powder: #12, 1023(2%)
minecraft.used.birch_log: #12, 379(1%)
minecraft.mined.crimson_trapdoor: #12, 9(2%)
minecraft.used.spruce_sapling: #12, 280(1%)
minecraft.used.potion: #12, 100(1%)
minecraft.dropped.stone_slab: #12, 121(2%)
minecraft.used.oak_log: #12, 420(1%)
minecraft.custom.tune_noteblock: #12, 393(1%)
minecraft.picked_up.suspicious_stew: #12, 4(2%)
minecraft.crafted.cyan_terracotta: #12, 880(1%)
minecraft.picked_up.acacia_log: #12, 457(1%)
minecraft.dropped.andesite: #12, 277(1%)
minecraft.picked_up.iron_trapdoor: #12, 25(2%)
minecraft.crafted.flower_pot: #12, 76(1%)
minecraft.picked_up.brown_concrete_powder: #12, 19(2%)
minecraft.crafted.light_gray_stained_glass_pane: #12, 72(2%)
minecraft.used.yellow_wool: #12, 160(1%)
minecraft.used.honey_block: #12, 113(1%)
minecraft.picked_up.melon_seeds: #12, 6(1%)
minecraft.mined.jungle_leaves: #12, 406(1%)
minecraft.used.white_dye: #12, 21(1%)
minecraft.crafted.warped_door: #12, 3(2%)
minecraft.picked_up.stone_pressure_plate: #12, 7(1%)
minecraft.picked_up.warped_stem: #12, 316(1%)
minecraft.picked_up.spruce_pressure_plate: #12, 3(2%)
minecraft.used.birch_sapling: #12, 189(1%)
minecraft.dropped.white_dye: #12, 41(1%)
minecraft.dropped.gravel: #12, 515(1%)
minecraft.picked_up.nether_wart: #12, 365(1%)
minecraft.used.target: #12, 25(1%)
minecraft.picked_up.mud: #12, 744(1%)
minecraft.used.cooked_salmon: #12, 11(1%)
minecraft.killed.bat: #12, 3(1%)
minecraft.crafted.gray_stained_glass_pane: #12, 40(1%)
minecraft.picked_up.green_concrete: #12, 94(1%)
minecraft.used.orange_wool: #12, 115(1%)
minecraft.crafted.light_gray_carpet: #12, 84(1%)
minecraft.used.clay: #12, 231(1%)
minecraft.dropped.azure_bluet: #12, 6(1%)
minecraft.picked_up.light_blue_wool: #12, 60(1%)
minecraft.picked_up.black_banner: #12, 4(1%)
minecraft.picked_up.polished_basalt: #12, 56(1%)
minecraft.picked_up.fern: #12, 88(1%)
minecraft.crafted.warped_stairs: #12, 52(1%)
minecraft.crafted.bamboo_block: #12, 125(1%)
minecraft.used.mushroom_stem: #12, 188(1%)
minecraft.mined.mossy_stone_brick_slab: #12, 1(1%)
minecraft.crafted.oak_pressure_plate: #12, 1(1%)
minecraft.picked_up.warped_fungus: #12, 55(1%)
minecraft.mined.polished_blackstone_button: #12, 3(1%)
minecraft.picked_up.stone: #13, 102804(3%)
minecraft.used.red_terracotta: #12, 276(1%)
minecraft.picked_up.brick: #12, 28(1%)
minecraft.used.mangrove_fence: #12, 14(1%)
minecraft.used.warped_door: #12, 1(1%)
minecraft.crafted.acacia_sign: #12, 6(1%)
minecraft.used.mangrove_button: #12, 1(1%)
minecraft.mined.mangrove_fence: #12, 2(1%)
minecraft.mined.green_concrete: #12, 94(0%)
minecraft.dropped.string: #12, 274(0%)
minecraft.dropped.cocoa_beans: #12, 3(1%)
minecraft.picked_up.rabbit_hide: #12, 2(1%)
minecraft.crafted.red_carpet: #12, 66(0%)
minecraft.picked_up.wooden_shovel: #12, 1(1%)
minecraft.killed.rabbit: #12, 1(1%)
minecraft.mined.acacia_wood: #12, 2(0%)
minecraft.used.mangrove_leaves: #12, 41(0%)
minecraft.used.detector_rail: #12, 3(0%)
minecraft.mined.water_cauldron: #12, 1(1%)
minecraft.crafted.cake: #12, 1(1%)
minecraft.mined.quartz_pillar: #12, 7(0%)
minecraft.used.tube_coral: #12, 1(1%)
minecraft.crafted.sandstone: #12, 133(0%)
minecraft.picked_up.andesite_wall: #12, 10(0%)
minecraft.dropped.vine: #12, 2(0%)
minecraft.picked_up.light_gray_concrete_powder: #12, 64(0%)
minecraft.picked_up.orange_bed: #12, 2(0%)
minecraft.crafted.mud_brick_wall: #12, 3(0%)
minecraft.used.green_dye: #12, 1(0%)
minecraft.crafted.mud_brick_slab: #12, 8(0%)
minecraft.picked_up.sandstone_wall: #12, 4(0%)
minecraft.picked_up.gray_concrete_powder: #12, 39(0%)
minecraft.used.mud_brick_wall: #12, 5(0%)
minecraft.crafted.acacia_stairs: #12, 4(0%)
minecraft.dropped.anvil: #12, 1(0%)
minecraft.used.oxidized_cut_copper_slab: #12, 31(0%)
minecraft.mined.beehive: #12, 3(0%)
minecraft.picked_up.oxeye_daisy: #12, 23(0%)
minecraft.mined.cherry_leaves: #12, 75(0%)
minecraft.picked_up.beehive: #12, 3(0%)
minecraft.picked_up.brick_slab: #12, 5(0%)
minecraft.picked_up.decorated_pot: #12, 1(0%)
minecraft.used.green_carpet: #12, 26(0%)
minecraft.crafted.polished_andesite_stairs: #12, 4(0%)
minecraft.crafted.diorite_wall: #12, 2(0%)
minecraft.used.jungle_planks: #12, 15(0%)
minecraft.used.mud_brick_stairs: #12, 2(0%)
minecraft.crafted.blue_ice: #12, 5(0%)
minecraft.used.blackstone_stairs: #12, 1(0%)
minecraft.dropped.paper: #12, 18(0%)
minecraft.dropped.black_concrete: #12, 1(0%)
minecraft.dropped.polished_basalt: #12, 1(0%)
minecraft.used.cut_copper_slab: #12, 3(0%)
minecraft.picked_up.yellow_carpet: #12, 4(0%)
minecraft.crafted.brick_slab: #12, 2(0%)
minecraft.used.diamond_pickaxe: #13, 192457(2%)
minecraft.used.spruce_sign: #13, 76(3%)
minecraft.picked_up.granite: #13, 6771(3%)
minecraft.used.shears: #13, 6703(3%)
minecraft.mined.redstone_ore: #13, 58(3%)
minecraft.killed.glow_squid: #13, 51(3%)
minecraft.picked_up.pointed_dripstone: #13, 511(3%)
minecraft.picked_up.coal_ore: #13, 1355(3%)
minecraft.crafted.spruce_stairs: #13, 560(3%)
minecraft.mined.wheat: #13, 836(2%)
minecraft.mined.lapis_ore: #13, 124(3%)
minecraft.used.coal_ore: #13, 641(2%)
minecraft.picked_up.dark_oak_log: #13, 4904(2%)
minecraft.killed.player: #13, 43(2%)
minecraft.crafted.item_frame: #13, 199(3%)
minecraft.picked_up.spruce_log: #13, 5175(2%)
minecraft.mined.gray_concrete: #13, 977(2%)
minecraft.crafted.dark_oak_sign: #13, 48(3%)
minecraft.dropped.netherite_boots: #13, 2(3%)
minecraft.used.wheat_seeds: #13, 1159(2%)
minecraft.used.cobbled_deepslate: #13, 1972(2%)
minecraft.used.diamond_hoe: #13, 10588(2%)
minecraft.mined.copper_block: #13, 92(2%)
minecraft.picked_up.written_book: #13, 12(2%)
minecraft.mined.dark_oak_stairs: #13, 44(2%)
minecraft.used.elytra: #13, 19(1%)
minecraft.used.crimson_trapdoor: #13, 80(2%)
minecraft.picked_up.diamond_ore: #13, 9(3%)
minecraft.used.iron_door: #13, 13(2%)
minecraft.picked_up.leather_helmet: #13, 5(2%)
minecraft.used.stone_pressure_plate: #13, 22(2%)
minecraft.mined.birch_sign: #13, 7(2%)
minecraft.dropped.chain: #13, 33(3%)
minecraft.used.spruce_boat: #13, 14(2%)
minecraft.crafted.birch_sign: #13, 60(1%)
minecraft.crafted.acacia_planks: #13, 1048(2%)
minecraft.used.repeater: #13, 304(2%)
minecraft.mined.moss_block: #13, 1851(1%)
minecraft.mined.cobblestone_stairs: #13, 22(2%)
minecraft.crafted.crimson_trapdoor: #13, 72(2%)
minecraft.used.cyan_terracotta: #13, 865(1%)
minecraft.crafted.birch_trapdoor: #13, 48(2%)
minecraft.dropped.netherite_helmet: #13, 1(2%)
minecraft.used.mangrove_trapdoor: #13, 54(2%)
minecraft.picked_up.grindstone: #13, 15(1%)
minecraft.mined.seagrass: #13, 86(1%)
minecraft.crafted.spruce_boat: #13, 5(2%)
minecraft.picked_up.smooth_stone: #13, 194(1%)
minecraft.picked_up.warped_sign: #13, 9(2%)
minecraft.used.copper_ore: #13, 237(1%)
minecraft.dropped.barrel: #13, 4(1%)
minecraft.used.sugar_cane: #13, 145(1%)
minecraft.picked_up.dirt: #14, 40882(3%)
minecraft.crafted.gray_concrete_powder: #13, 928(2%)
