stat, rank, value, (percentage) 
minecraft.crafted.gray_carpet: #15, 129(0%)
minecraft.used.axolotl_bucket: #15, 3(1%)
minecraft.used.ochre_froglight: #15, 49(1%)
minecraft.mined.infested_stone: #15, 1(0%)
minecraft.used.gray_carpet: #15, 134(0%)
minecraft.mined.ice: #15, 585(0%)
minecraft.dropped.oxeye_daisy: #15, 1(0%)
minecraft.picked_up.quartz_stairs: #15, 2(0%)
minecraft.used.wither_skeleton_skull: #15, 4(0%)
minecraft.used.azure_bluet: #15, 2(0%)
minecraft.used.magenta_shulker_box: #15, 3(0%)
minecraft.picked_up.magenta_shulker_box: #15, 3(0%)
minecraft.mined.stripped_warped_stem: #15, 16(0%)
minecraft.mined.quartz_block: #15, 9(0%)
minecraft.used.light_blue_stained_glass: #15, 2(0%)
minecraft.used.diamond_pickaxe: #16, 164784(2%)
minecraft.picked_up.iron_ore: #16, 461(2%)
minecraft.dropped.cobbled_deepslate: #16, 603(1%)
minecraft.used.iron_boots: #16, 1(1%)
minecraft.used.diamond_boots: #16, 2(1%)
minecraft.used.ender_chest: #16, 128(1%)
minecraft.picked_up.cyan_terracotta: #16, 114(1%)
minecraft.used.dark_oak_boat: #16, 4(1%)
minecraft.used.mangrove_trapdoor: #16, 19(1%)
minecraft.mined.light_blue_shulker_box: #16, 59(0%)
minecraft.crafted.pink_shulker_box: #16, 1(1%)
minecraft.used.light_blue_shulker_box: #16, 59(0%)
minecraft.used.nether_quartz_ore: #16, 61(0%)
minecraft.mined.quartz_stairs: #16, 2(0%)
minecraft.used.written_book: #16, 82(0%)
minecraft.picked_up.bricks: #16, 35(0%)
minecraft.used.music_disc_cat: #16, 1(0%)
minecraft.picked_up.mangrove_trapdoor: #16, 7(0%)
minecraft.used.prismarine_bricks: #16, 34(0%)
minecraft.crafted.cooked_porkchop: #16, 3(0%)
minecraft.used.verdant_froglight: #16, 21(0%)
minecraft.crafted.white_terracotta: #16, 32(0%)
minecraft.used.polished_deepslate_wall: #16, 36(0%)
minecraft.crafted.black_stained_glass: #16, 304(0%)
minecraft.picked_up.nether_star: #16, 1(0%)
minecraft.crafted.quartz_stairs: #16, 2(0%)
minecraft.dropped.carrot: #16, 34(0%)
minecraft.picked_up.stripped_warped_stem: #16, 16(0%)
minecraft.crafted.deepslate_tiles: #16, 14(0%)
minecraft.dropped.iron_axe: #16, 1(0%)
minecraft.mined.verdant_froglight: #16, 1(0%)
minecraft.picked_up.brick: #16, 2(0%)
minecraft.dropped.soul_sand: #16, 6(0%)
minecraft.used.mangrove_wood: #16, 3(0%)
minecraft.picked_up.yellow_stained_glass: #16, 1(0%)
minecraft.crafted.air: #16, 0(0%)
minecraft.picked_up.oak_slab: #17, 60(2%)
minecraft.picked_up.ender_pearl: #17, 5183(1%)
minecraft.picked_up.phantom_membrane: #17, 15(1%)
minecraft.used.oak_slab: #17, 107(1%)
minecraft.mined.stone_button: #17, 8(1%)
minecraft.used.iron_helmet: #17, 1(1%)
minecraft.killed_by.zombie: #17, 1(1%)
minecraft.picked_up.ender_chest: #17, 128(1%)
minecraft.used.diamond_leggings: #17, 2(1%)
minecraft.used.dark_oak_planks: #17, 238(1%)
minecraft.mined.polished_andesite_stairs: #17, 17(1%)
minecraft.mined.ender_chest: #17, 126(1%)
minecraft.picked_up.saddle: #17, 3(1%)
minecraft.picked_up.polished_andesite_stairs: #17, 17(1%)
minecraft.used.dark_oak_log: #17, 271(0%)
minecraft.crafted.polished_andesite_slab: #17, 40(1%)
minecraft.crafted.redstone_lamp: #17, 26(0%)
minecraft.picked_up.light_blue_shulker_box: #17, 59(0%)
minecraft.used.nether_bricks: #17, 47(0%)
minecraft.picked_up.dark_oak_boat: #17, 3(0%)
minecraft.picked_up.netherite_sword: #17, 1(0%)
minecraft.picked_up.netherite_axe: #17, 1(0%)
minecraft.used.white_terracotta: #17, 56(0%)
minecraft.picked_up.nautilus_shell: #17, 1(0%)
minecraft.dropped.azure_bluet: #17, 2(0%)
minecraft.killed.hoglin: #17, 1(0%)
minecraft.crafted.dark_oak_boat: #17, 1(0%)
minecraft.used.cyan_concrete_powder: #17, 53(0%)
minecraft.picked_up.ice: #17, 265(0%)
minecraft.crafted.light_blue_shulker_box: #17, 2(0%)
minecraft.custom.interact_with_smoker: #17, 1(0%)
minecraft.mined.red_stained_glass: #17, 2(0%)
minecraft.used.dark_oak_button: #17, 2(0%)
minecraft.crafted.dark_oak_button: #17, 2(0%)
minecraft.mined.black_stained_glass: #17, 3(0%)
minecraft.mined.ochre_froglight: #17, 1(0%)
minecraft.crafted.mangrove_wood: #17, 3(0%)
minecraft.picked_up.wither_skeleton_skull: #17, 1(0%)
minecraft.dropped.gold_ingot: #17, 6(0%)
minecraft.used.red_stained_glass: #17, 2(0%)
minecraft.picked_up.red_concrete_powder: #17, 1(0%)
minecraft.mined.powder_snow: #18, 25(1%)
minecraft.killed.enderman: #18, 12720(1%)
minecraft.crafted.diamond_helmet: #18, 2(2%)
minecraft.crafted.wooden_pickaxe: #18, 1(2%)
minecraft.crafted.enchanting_table: #18, 1(2%)
minecraft.used.dandelion: #18, 5(1%)
minecraft.picked_up.flint: #18, 166(1%)
minecraft.picked_up.redstone_block: #18, 146(1%)
minecraft.mined.redstone_wall_torch: #18, 11(1%)
minecraft.picked_up.netherite_hoe: #18, 1(1%)
minecraft.mined.deepslate_tiles: #18, 52(1%)
minecraft.mined.dropper: #18, 17(1%)
minecraft.crafted.note_block: #18, 32(1%)
minecraft.mined.dark_oak_fence: #18, 14(1%)
minecraft.picked_up.deepslate_tile_slab: #18, 25(1%)
minecraft.used.calcite: #18, 115(1%)
minecraft.killed.silverfish: #18, 2(1%)
minecraft.crafted.fishing_rod: #18, 1(1%)
minecraft.crafted.orange_shulker_box: #18, 1(1%)
minecraft.mined.polished_deepslate_wall: #18, 8(0%)
minecraft.used.deepslate_tile_slab: #18, 97(0%)
minecraft.dropped.dandelion: #18, 8(0%)
minecraft.mined.spruce_sapling: #18, 3(0%)
minecraft.crafted.lapis_lazuli: #18, 171(0%)
minecraft.crafted.mangrove_trapdoor: #18, 16(0%)
minecraft.dropped.tropical_fish: #18, 6(0%)
minecraft.used.deepslate_lapis_ore: #18, 4(0%)
minecraft.dropped.phantom_membrane: #18, 1(0%)
minecraft.dropped.iron_leggings: #18, 1(0%)
minecraft.mined.pearlescent_froglight: #18, 2(0%)
minecraft.picked_up.lily_pad: #18, 1(0%)
minecraft.crafted.bricks: #18, 37(0%)
minecraft.used.netherite_pickaxe: #18, 6210(0%)
minecraft.dropped.cobblestone_slab: #18, 1(0%)
minecraft.picked_up.verdant_froglight: #18, 1(0%)
minecraft.picked_up.red_stained_glass: #18, 2(0%)
minecraft.crafted.emerald_block: #18, 13(0%)
minecraft.mined.crafting_table: #19, 126(2%)
minecraft.picked_up.coal_ore: #19, 879(2%)
minecraft.picked_up.dark_oak_planks: #19, 290(2%)
minecraft.mined.nether_quartz_ore: #19, 930(1%)
minecraft.custom.interact_with_grindstone: #19, 20(1%)
minecraft.crafted.diamond_boots: #19, 2(1%)
minecraft.mined.lilac: #19, 7(1%)
minecraft.used.iron_leggings: #19, 1(1%)
minecraft.used.enchanting_table: #19, 1(1%)
minecraft.mined.dark_oak_stairs: #19, 17(1%)
minecraft.killed.ghast: #19, 11(1%)
minecraft.picked_up.potion: #19, 20(1%)
minecraft.crafted.shield: #19, 2(1%)
minecraft.used.note_block: #19, 27(1%)
minecraft.picked_up.smooth_quartz_stairs: #19, 8(0%)
minecraft.used.obsidian: #19, 152(0%)
minecraft.crafted.lead: #19, 4(0%)
minecraft.mined.comparator: #19, 6(0%)
minecraft.used.polished_andesite_slab: #19, 58(0%)
minecraft.picked_up.slime_block: #19, 42(0%)
minecraft.mined.polished_andesite_slab: #19, 9(0%)
minecraft.used.stone_shovel: #19, 31(0%)
minecraft.used.deepslate_tile_wall: #19, 15(0%)
minecraft.picked_up.spectral_arrow: #19, 17(0%)
minecraft.mined.gray_carpet: #19, 7(0%)
minecraft.crafted.book: #19, 2(0%)
minecraft.dropped.golden_sword: #19, 1(0%)
minecraft.used.coal_block: #19, 3(0%)
minecraft.dropped.cooked_beef: #19, 1(0%)
minecraft.crafted.polished_deepslate_slab: #19, 6(0%)
minecraft.used.light_gray_terracotta: #19, 3(0%)
minecraft.dropped.cactus: #19, 1(0%)
minecraft.picked_up.crafting_table: #20, 131(2%)
minecraft.picked_up.quartz: #20, 1979(2%)
minecraft.mined.coal_ore: #20, 2002(2%)
minecraft.mined.iron_ore: #20, 850(1%)
minecraft.crafted.diamond_axe: #20, 2(1%)
minecraft.picked_up.lead: #20, 38(1%)
minecraft.used.shulker_box: #20, 568(1%)
minecraft.mined.oak_slab: #20, 17(1%)
minecraft.mined.shulker_box: #20, 560(1%)
minecraft.picked_up.shulker_box: #20, 563(1%)
minecraft.dropped.cobblestone: #20, 479(1%)
minecraft.crafted.diamond_leggings: #20, 2(1%)
minecraft.crafted.mangrove_planks: #20, 184(1%)
minecraft.picked_up.dropper: #20, 17(0%)
minecraft.mined.cobweb: #20, 25(0%)
minecraft.mined.sticky_piston: #20, 15(0%)
minecraft.picked_up.netherite_pickaxe: #20, 3(0%)
minecraft.picked_up.dark_oak_stairs: #20, 15(0%)
minecraft.used.oak_stairs: #20, 11(0%)
minecraft.mined.scaffolding: #20, 324(0%)
minecraft.mined.oak_stairs: #20, 5(0%)
minecraft.mined.emerald_block: #20, 43(0%)
minecraft.dropped.shulker_box: #20, 3(0%)
minecraft.killed.piglin: #20, 6(0%)
minecraft.mined.smithing_table: #20, 1(0%)
minecraft.used.chorus_fruit: #20, 1(0%)
minecraft.used.scaffolding: #20, 593(0%)
minecraft.crafted.cooked_mutton: #20, 2(0%)
minecraft.used.honey_bottle: #20, 2(0%)
minecraft.used.snow: #20, 128(0%)
minecraft.dropped.coal_ore: #20, 7(0%)
minecraft.mined.spruce_fence_gate: #20, 2(0%)
minecraft.used.iron_ore: #20, 19(0%)
minecraft.picked_up.polished_andesite_slab: #20, 11(0%)
minecraft.mined.bricks: #20, 6(0%)
minecraft.custom.mob_kills: #20, 13004(0%)
minecraft.crafted.black_terracotta: #20, 32(0%)
minecraft.mined.red_concrete: #20, 31(0%)
minecraft.killed.slime: #20, 23(0%)
minecraft.used.polished_deepslate_slab: #20, 37(0%)
minecraft.crafted.deepslate_tile_stairs: #20, 2(0%)
minecraft.mined.slime_block: #20, 9(0%)
minecraft.used.chiseled_stone_bricks: #20, 4(0%)
minecraft.mined.quartz_pillar: #20, 1(0%)
minecraft.used.bricks: #20, 6(0%)
minecraft.picked_up.chiseled_stone_bricks: #20, 4(0%)
minecraft.used.red_concrete_powder: #20, 11(0%)
minecraft.crafted.deepslate_bricks: #20, 12(0%)
minecraft.crafted.chiseled_stone_bricks: #20, 4(0%)
minecraft.used.powder_snow_bucket: #20, 2(0%)
minecraft.mined.prismarine: #20, 1(0%)
minecraft.crafted.golden_carrot: #20, 6(0%)
minecraft.custom.interact_with_furnace: #21, 765(2%)
minecraft.picked_up.coal: #21, 2230(1%)
minecraft.crafted.diamond_sword: #21, 2(1%)
minecraft.picked_up.goat_horn: #21, 2(1%)
minecraft.picked_up.spruce_log: #21, 1408(1%)
minecraft.picked_up.ghast_tear: #21, 4(1%)
minecraft.mined.cornflower: #21, 3(1%)
minecraft.crafted.lapis_block: #21, 49(1%)
minecraft.picked_up.deepslate_tiles: #21, 49(0%)
minecraft.crafted.smooth_stone: #21, 65(0%)
minecraft.picked_up.oak_trapdoor: #21, 7(0%)
minecraft.crafted.armor_stand: #21, 13(0%)
minecraft.mined.observer: #21, 36(0%)
minecraft.mined.redstone_ore: #21, 7(0%)
minecraft.dropped.crafting_table: #21, 3(0%)
minecraft.crafted.black_dye: #21, 384(0%)
minecraft.used.deepslate_tiles: #21, 210(0%)
minecraft.crafted.green_shulker_box: #21, 1(0%)
minecraft.crafted.stonecutter: #21, 4(0%)
minecraft.picked_up.sticky_piston: #21, 15(0%)
minecraft.picked_up.salmon: #21, 6(0%)
minecraft.dropped.gravel: #21, 151(0%)
minecraft.dropped.iron_ore: #21, 7(0%)
minecraft.used.emerald_block: #21, 43(0%)
minecraft.mined.campfire: #21, 2(0%)
