stat, rank, value, (percentage) 
minecraft.killed.mooshroom: #1, 573(69%)
minecraft.picked_up.yellow_terracotta: #2, 3123(17%)
minecraft.used.oak_boat: #2, 178(16%)
minecraft.mined.acacia_sapling: #1, 120(28%)
minecraft.picked_up.brown_mushroom_block: #2, 9505(22%)
minecraft.crafted.light_gray_glazed_terracotta: #1, 1279(56%)
minecraft.picked_up.stripped_spruce_wood: #2, 641(23%)
minecraft.used.ice: #2, 7540(18%)
minecraft.picked_up.pumpkin_pie: #2, 2068(13%)
minecraft.crafted.exposed_cut_copper_slab: #1, 64(47%)
minecraft.used.white_concrete: #2, 10986(15%)
minecraft.picked_up.mossy_cobblestone_stairs: #1, 54(25%)
minecraft.picked_up.oak_boat: #2, 188(15%)
minecraft.used.spruce_sapling: #2, 3095(15%)
minecraft.used.exposed_cut_copper_slab: #1, 79(41%)
minecraft.picked_up.cobbled_deepslate_stairs: #2, 301(18%)
minecraft.mined.sunflower: #2, 84(16%)
minecraft.dropped.dark_oak_button: #1, 168(27%)
minecraft.crafted.globe_banner_pattern: #1, 24(63%)
minecraft.picked_up.orange_terracotta: #2, 11920(17%)
minecraft.dropped.granite_slab: #1, 136(45%)
minecraft.dropped.brown_mushroom: #2, 230(22%)
minecraft.mined.pitcher_plant: #1, 17(26%)
minecraft.picked_up.jack_o_lantern: #2, 751(26%)
minecraft.used.cherry_boat: #1, 50(44%)
minecraft.picked_up.decorated_pot: #1, 71(22%)
minecraft.used.dark_oak_boat: #2, 110(17%)
minecraft.dropped.gray_wool: #2, 579(24%)
minecraft.crafted.quartz_pillar: #2, 5011(21%)
minecraft.dropped.stripped_dark_oak_wood: #1, 64(60%)
minecraft.used.golden_sword: #1, 25(37%)
minecraft.mined.yellow_terracotta: #2, 2587(17%)
minecraft.used.orange_concrete_powder: #2, 3799(25%)
minecraft.crafted.jack_o_lantern: #2, 4721(33%)
minecraft.crafted.polished_andesite: #2, 8192(15%)
minecraft.mined.orange_concrete: #2, 2608(19%)
minecraft.crafted.book: #2, 459(18%)
minecraft.used.lilac: #2, 122(17%)
minecraft.mined.magenta_wool: #1, 77(24%)
minecraft.used.orange_stained_glass_pane: #2, 307(26%)
minecraft.picked_up.dark_oak_boat: #2, 114(17%)
minecraft.dropped.purpur_slab: #1, 22(19%)
minecraft.picked_up.brown_terracotta: #2, 16423(16%)
minecraft.mined.gray_bed: #1, 22(35%)
minecraft.used.redstone_ore: #1, 50(16%)
