stat, rank, value, (percentage) 
minecraft.dropped.cod: #4, 21(0%)
minecraft.picked_up.black_bed: #5, 44(6%)
minecraft.used.music_disc_stal: #4, 1(1%)
minecraft.dropped.polished_blackstone_brick_stairs: #4, 6(1%)
minecraft.crafted.iron_door: #5, 27(4%)
minecraft.dropped.melon_slice: #4, 30(0%)
minecraft.dropped.beef: #5, 68(5%)
minecraft.crafted.light_blue_carpet: #4, 30(0%)
minecraft.picked_up.magenta_carpet: #4, 13(0%)
minecraft.dropped.dragon_egg: #4, 4(0%)
minecraft.picked_up.acacia_sign: #5, 27(5%)
minecraft.used.light_blue_carpet: #4, 26(0%)
minecraft.mined.light_blue_carpet: #4, 2(0%)
minecraft.mined.light_gray_concrete: #6, 2428(9%)
minecraft.mined.black_bed: #5, 43(6%)
minecraft.used.spruce_slab: #6, 3234(7%)
minecraft.crafted.quartz_slab: #5, 270(6%)
minecraft.crafted.crossbow: #5, 12(8%)
minecraft.picked_up.composter: #6, 159(8%)
minecraft.mined.bamboo_sapling: #5, 8(5%)
minecraft.crafted.dark_oak_boat: #5, 20(5%)
minecraft.used.bone_block: #5, 1804(3%)
minecraft.used.polished_andesite_slab: #5, 1034(4%)
minecraft.dropped.mushroom_stem: #5, 23(9%)
minecraft.dropped.snow: #6, 906(8%)
minecraft.used.wooden_pickaxe: #5, 20(4%)
minecraft.crafted.spruce_slab: #6, 4638(7%)
minecraft.used.rooted_dirt: #5, 344(4%)
minecraft.used.orange_dye: #5, 16(6%)
minecraft.dropped.gray_concrete: #5, 49(8%)
minecraft.dropped.feather: #5, 172(4%)
minecraft.used.leather_helmet: #5, 2(7%)
minecraft.picked_up.lightning_rod: #6, 117(8%)
minecraft.picked_up.light_blue_stained_glass_pane: #5, 85(5%)
minecraft.used.polished_deepslate_slab: #6, 3149(8%)
minecraft.mined.chiseled_sandstone: #5, 9(6%)
minecraft.picked_up.crimson_slab: #5, 203(4%)
minecraft.dropped.crafting_table: #6, 57(7%)
minecraft.picked_up.ladder: #6, 432(7%)
minecraft.crafted.red_carpet: #5, 618(3%)
minecraft.dropped.spider_eye: #6, 8878(7%)
minecraft.used.acacia_sign: #5, 36(5%)
minecraft.mined.infested_stone: #5, 11(5%)
minecraft.picked_up.experience_bottle: #5, 111(4%)
minecraft.used.spruce_planks: #6, 3967(6%)
minecraft.crafted.lime_terracotta: #5, 2111(4%)
minecraft.picked_up.mossy_stone_brick_stairs: #5, 11(7%)
minecraft.used.chiseled_bookshelf: #5, 48(6%)
minecraft.used.mangrove_planks: #5, 142(4%)
minecraft.crafted.dark_oak_pressure_plate: #5, 12(5%)
minecraft.mined.crimson_slab: #5, 98(4%)
minecraft.used.green_glazed_terracotta: #5, 26(8%)
minecraft.mined.polished_basalt: #5, 123(3%)
minecraft.picked_up.daylight_detector: #5, 19(7%)
minecraft.used.end_stone_bricks: #5, 107(5%)
minecraft.used.mossy_cobblestone_stairs: #5, 74(5%)
minecraft.picked_up.deepslate: #6, 27357(6%)
minecraft.dropped.chainmail_boots: #5, 7(5%)
minecraft.picked_up.spruce_leaves: #6, 4677(6%)
minecraft.mined.cobbled_deepslate_slab: #5, 234(3%)
minecraft.dropped.chorus_fruit: #5, 96(3%)
minecraft.mined.dark_oak_wood: #5, 28(5%)
minecraft.dropped.polished_blackstone_bricks: #5, 227(5%)
minecraft.mined.stripped_birch_wood: #5, 70(5%)
minecraft.crafted.mangrove_button: #5, 11(4%)
minecraft.used.pink_dye: #5, 8(5%)
minecraft.crafted.pumpkin_seeds: #5, 64(6%)
minecraft.crafted.chiseled_bookshelf: #5, 42(5%)
minecraft.dropped.melon_seeds: #5, 6(6%)
minecraft.mined.player_wall_head: #6, 43(6%)
minecraft.used.gray_concrete_powder: #6, 3961(8%)
minecraft.mined.polished_diorite_stairs: #5, 7(6%)
minecraft.picked_up.grindstone: #6, 71(7%)
minecraft.used.elytra: #6, 58(5%)
minecraft.crafted.soul_campfire: #5, 60(5%)
minecraft.mined.chiseled_deepslate: #5, 15(5%)
minecraft.dropped.brown_mushroom_block: #5, 140(4%)
minecraft.dropped.axolotl_bucket: #5, 1(7%)
minecraft.crafted.acacia_sign: #5, 30(4%)
minecraft.killed.shulker: #6, 275(8%)
minecraft.used.mangrove_leaves: #5, 298(3%)
minecraft.mined.crimson_stem: #6, 1757(6%)
minecraft.crafted.moss_carpet: #6, 642(6%)
minecraft.mined.soul_campfire: #5, 5(6%)
minecraft.mined.yellow_stained_glass: #5, 55(4%)
minecraft.dropped.dandelion: #6, 122(6%)
minecraft.dropped.netherite_hoe: #5, 1(4%)
minecraft.mined.oak_log: #6, 4855(4%)
minecraft.dropped.cookie: #5, 63(3%)
minecraft.used.mushroom_stem: #5, 732(3%)
minecraft.picked_up.snow: #6, 2865(5%)
minecraft.used.torchflower: #5, 6(5%)
minecraft.picked_up.stripped_birch_wood: #5, 68(4%)
minecraft.used.cherry_log: #5, 73(3%)
minecraft.used.black_stained_glass: #5, 3323(2%)
minecraft.picked_up.sea_pickle: #6, 529(6%)
minecraft.dropped.golden_pickaxe: #5, 1(7%)
minecraft.crafted.spruce_stairs: #6, 1096(6%)
minecraft.used.light_blue_bed: #5, 8(4%)
minecraft.crafted.light_gray_banner: #5, 12(4%)
minecraft.picked_up.porkchop: #6, 127(5%)
minecraft.mined.gray_wool: #5, 143(2%)
minecraft.picked_up.diamond_hoe: #6, 22(8%)
minecraft.custom.aviate_one_cm: #7, 1254527383(5%)
minecraft.picked_up.jungle_log: #6, 3759(7%)
minecraft.used.magenta_dye: #5, 2(4%)
minecraft.dropped.polished_granite: #5, 49(3%)
minecraft.dropped.quartz: #5, 194(2%)
minecraft.used.music_disc_mall: #5, 2(5%)
minecraft.mined.yellow_concrete_powder: #5, 61(4%)
minecraft.picked_up.dark_oak_stairs: #6, 219(5%)
minecraft.dropped.dark_oak_leaves: #6, 60(8%)
minecraft.crafted.light_weighted_pressure_plate: #5, 200(3%)
minecraft.picked_up.enchanted_golden_apple: #5, 3(4%)
minecraft.picked_up.netherite_upgrade_smithing_template: #5, 1(6%)
minecraft.broken.stone_sword: #5, 1(4%)
minecraft.mined.mossy_stone_brick_stairs: #5, 3(3%)
minecraft.dropped.polished_deepslate_stairs: #5, 40(4%)
minecraft.picked_up.quartz_slab: #6, 219(6%)
minecraft.custom.interact_with_beacon: #6, 56(5%)
minecraft.mined.small_amethyst_bud: #5, 126(2%)
minecraft.used.light_gray_dye: #5, 6(3%)
minecraft.mined.stonecutter: #6, 97(5%)
minecraft.used.cooked_mutton: #6, 49(6%)
minecraft.mined.birch_log: #6, 4964(4%)
minecraft.used.cut_copper_stairs: #5, 98(2%)
minecraft.crafted.iron_chestplate: #5, 7(1%)
minecraft.dropped.gray_stained_glass: #5, 11(3%)
minecraft.killed.hoglin: #6, 26(6%)
minecraft.mined.mangrove_pressure_plate: #5, 1(5%)
minecraft.picked_up.stonecutter: #6, 98(5%)
minecraft.picked_up.deepslate_brick_stairs: #6, 287(6%)
minecraft.killed.magma_cube: #6, 562(5%)
minecraft.picked_up.music_disc_ward: #5, 2(3%)
minecraft.picked_up.light_gray_stained_glass_pane: #6, 69(6%)
minecraft.mined.red_concrete_powder: #5, 26(2%)
minecraft.used.wooden_hoe: #5, 25(4%)
minecraft.mined.dragon_wall_head: #6, 7(7%)
minecraft.used.bamboo_sign: #5, 4(4%)
minecraft.used.glass: #6, 3872(4%)
minecraft.dropped.jungle_boat: #5, 1(3%)
minecraft.dropped.music_disc_wait: #5, 1(2%)
minecraft.crafted.wooden_pickaxe: #6, 3(5%)
minecraft.dropped.blue_carpet: #5, 3(3%)
minecraft.custom.target_hit: #6, 121(4%)
minecraft.mined.light_blue_stained_glass_pane: #5, 19(2%)
minecraft.picked_up.ender_pearl: #7, 22099(6%)
minecraft.killed.rabbit: #6, 15(9%)
minecraft.picked_up.light_weighted_pressure_plate: #5, 128(2%)
minecraft.dropped.loom: #5, 1(3%)
minecraft.dropped.acacia_sign: #5, 3(2%)
minecraft.crafted.birch_wood: #6, 282(6%)
minecraft.dropped.music_disc_blocks: #5, 1(2%)
minecraft.used.quartz_stairs: #6, 235(7%)
minecraft.used.brain_coral: #5, 3(1%)
minecraft.mined.dried_kelp_block: #5, 5(3%)
minecraft.used.white_shulker_box: #6, 270(4%)
minecraft.dropped.blue_dye: #5, 6(2%)
minecraft.picked_up.purpur_slab: #6, 24(6%)
minecraft.crafted.stone_pickaxe: #6, 8(4%)
minecraft.dropped.glow_item_frame: #5, 2(3%)
minecraft.dropped.tinted_glass: #5, 59(3%)
minecraft.picked_up.red_carpet: #5, 119(1%)
minecraft.dropped.cobbled_deepslate_wall: #5, 8(2%)
minecraft.used.music_disc_wait: #5, 2(2%)
minecraft.picked_up.nether_sprouts: #5, 10(1%)
minecraft.picked_up.music_disc_pigstep: #5, 1(2%)
minecraft.dropped.magma_cream: #6, 30(7%)
minecraft.used.red_banner: #6, 75(6%)
minecraft.dropped.deepslate_brick_slab: #5, 8(1%)
minecraft.crafted.cooked_mutton: #6, 40(5%)
minecraft.dropped.acacia_wood: #5, 2(1%)
minecraft.dropped.light_gray_carpet: #5, 5(1%)
minecraft.mined.sculk_catalyst: #5, 66(1%)
minecraft.picked_up.dead_tube_coral_fan: #5, 4(1%)
minecraft.used.music_disc_far: #5, 1(1%)
minecraft.dropped.stripped_mangrove_log: #5, 1(1%)
minecraft.dropped.birch_stairs: #5, 1(1%)
minecraft.crafted.tnt: #6, 6013(5%)
minecraft.picked_up.rabbit_hide: #6, 23(7%)
minecraft.used.blue_carpet: #5, 14(0%)
minecraft.dropped.lime_concrete_powder: #5, 2(1%)
minecraft.picked_up.gold_nugget: #5, 4781(0%)
minecraft.mined.exposed_cut_copper_stairs: #5, 3(1%)
minecraft.crafted.red_concrete_powder: #6, 1744(5%)
minecraft.dropped.diorite: #6, 933(4%)
minecraft.picked_up.polished_granite: #6, 289(5%)
minecraft.picked_up.blue_carpet: #5, 11(0%)
minecraft.dropped.dark_oak_stairs: #5, 5(0%)
minecraft.dropped.dark_oak_fence_gate: #5, 2(1%)
minecraft.crafted.cherry_wood: #5, 6(0%)
minecraft.dropped.blue_ice: #5, 3(0%)
minecraft.dropped.chiseled_deepslate: #5, 1(0%)
minecraft.dropped.smithing_table: #5, 1(0%)
minecraft.crafted.waxed_oxidized_copper: #5, 9(0%)
minecraft.dropped.wooden_pickaxe: #6, 2(4%)
minecraft.dropped.end_rod: #6, 40(7%)
minecraft.used.jungle_button: #5, 1(0%)
minecraft.mined.torch: #7, 1516(5%)
minecraft.dropped.fire_charge: #5, 2(0%)
minecraft.mined.lapis_block: #5, 6(0%)
minecraft.dropped.mangrove_roots: #5, 25(0%)
minecraft.mined.bamboo: #6, 953(4%)
minecraft.crafted.air: #5, 0(0%)
minecraft.crafted.orange_shulker_box: #6, 9(5%)
minecraft.dropped.mossy_cobblestone: #6, 66(4%)
minecraft.picked_up.diamond_shovel: #7, 59(6%)
minecraft.used.black_bed: #6, 47(6%)
minecraft.picked_up.polished_basalt: #6, 338(4%)
minecraft.used.birch_log: #6, 868(3%)
minecraft.picked_up.iron_trapdoor: #6, 72(4%)
minecraft.used.hay_block: #6, 45(4%)
minecraft.used.mossy_cobblestone: #6, 650(4%)
minecraft.mined.orange_stained_glass_pane: #6, 13(10%)
minecraft.picked_up.white_stained_glass: #6, 522(4%)
minecraft.picked_up.pearlescent_froglight: #6, 84(4%)
minecraft.mined.light_gray_wool: #6, 108(5%)
minecraft.picked_up.polished_blackstone_slab: #6, 183(4%)
minecraft.used.red_concrete: #6, 899(3%)
minecraft.mined.light_gray_terracotta: #6, 540(3%)
minecraft.picked_up.stone_hoe: #6, 3(5%)
minecraft.picked_up.golden_pickaxe: #6, 2(6%)
minecraft.dropped.diamond_hoe: #6, 3(5%)
minecraft.picked_up.cobbled_deepslate_slab: #6, 365(3%)
minecraft.crafted.light_blue_stained_glass_pane: #6, 128(5%)
minecraft.picked_up.polished_andesite_stairs: #7, 181(7%)
minecraft.used.polished_granite: #6, 502(4%)
minecraft.picked_up.mud_brick_slab: #6, 47(5%)
minecraft.picked_up.acacia_boat: #6, 7(4%)
minecraft.used.torch: #7, 9924(5%)
minecraft.used.spruce_pressure_plate: #6, 17(4%)
minecraft.dropped.stone_axe: #6, 4(3%)
minecraft.broken.diamond_pickaxe: #6, 2(5%)
minecraft.mined.dandelion: #7, 272(6%)
minecraft.dropped.chainmail_leggings: #6, 5(5%)
minecraft.used.deepslate_copper_ore: #6, 42(4%)
minecraft.picked_up.cyan_dye: #6, 78(6%)
minecraft.used.light_gray_stained_glass_pane: #6, 111(4%)
minecraft.dropped.dark_oak_fence: #6, 56(5%)
minecraft.picked_up.sugar_cane: #6, 4564(2%)
minecraft.picked_up.brick_slab: #6, 77(4%)
minecraft.dropped.flint: #6, 249(2%)
minecraft.picked_up.jungle_slab: #6, 93(5%)
minecraft.picked_up.spyglass: #6, 4(3%)
minecraft.dropped.azalea_leaves: #6, 136(4%)
minecraft.mined.dark_oak_slab: #7, 174(6%)
minecraft.picked_up.brown_dye: #6, 50(6%)
minecraft.dropped.lapis_lazuli: #6, 128(3%)
minecraft.used.grindstone: #7, 82(6%)
minecraft.used.crimson_fence: #6, 89(4%)
minecraft.dropped.poisonous_potato: #6, 2(4%)
minecraft.used.iron_sword: #7, 720(5%)
minecraft.crafted.white_banner: #6, 56(4%)
minecraft.custom.traded_with_villager: #7, 40135(6%)
minecraft.dropped.snow_block: #6, 571(2%)
minecraft.picked_up.spruce_wood: #7, 244(7%)
minecraft.crafted.brown_wool: #6, 54(6%)
minecraft.dropped.weeping_vines: #6, 24(3%)
minecraft.picked_up.tropical_fish: #6, 130(2%)
minecraft.used.iron_axe: #7, 1771(5%)
minecraft.dropped.red_concrete: #6, 22(6%)
minecraft.dropped.nether_gold_ore: #6, 21(4%)
minecraft.picked_up.black_terracotta: #6, 345(3%)
minecraft.used.mangrove_log: #6, 375(2%)
minecraft.picked_up.diamond_boots: #7, 40(4%)
minecraft.used.jungle_boat: #6, 5(5%)
minecraft.picked_up.gilded_blackstone: #6, 29(3%)
minecraft.dropped.stonecutter: #6, 2(4%)
minecraft.picked_up.conduit: #6, 2(6%)
minecraft.used.cooked_beef: #7, 578(6%)
minecraft.crafted.lime_concrete_powder: #6, 448(3%)
minecraft.custom.open_barrel: #8, 9471(6%)
minecraft.picked_up.azalea: #7, 755(5%)
minecraft.picked_up.music_disc_mall: #6, 3(4%)
minecraft.used.player_head: #7, 147(4%)
minecraft.used.brown_mushroom_block: #7, 415(7%)
minecraft.mined.barrel: #7, 159(5%)
minecraft.dropped.lily_of_the_valley: #6, 4(5%)
minecraft.used.cyan_concrete: #6, 355(2%)
minecraft.dropped.splash_potion: #6, 17(3%)
minecraft.used.mangrove_button: #6, 4(4%)
minecraft.mined.dark_oak_fence: #7, 138(6%)
minecraft.picked_up.spruce_planks: #7, 1576(5%)
minecraft.killed.bee: #6, 4(3%)
minecraft.crafted.yellow_dye: #7, 2853(6%)
minecraft.dropped.deepslate_tile_stairs: #6, 11(3%)
minecraft.dropped.saddle: #6, 9(3%)
minecraft.used.purpur_block: #6, 32(3%)
minecraft.crafted.wooden_hoe: #6, 2(4%)
minecraft.dropped.bone_block: #6, 104(3%)
minecraft.used.chain: #7, 578(5%)
minecraft.used.polished_deepslate_wall: #7, 1081(6%)
minecraft.crafted.crimson_hyphae: #6, 138(3%)
minecraft.picked_up.oak_fence: #7, 106(5%)
minecraft.picked_up.crimson_door: #6, 1(4%)
minecraft.mined.crimson_nylium: #6, 345(2%)
minecraft.mined.mangrove_button: #6, 1(5%)
minecraft.dropped.wooden_sword: #6, 11(2%)
minecraft.picked_up.ender_eye: #6, 4(3%)
minecraft.crafted.polished_blackstone_button: #6, 66(2%)
minecraft.crafted.mangrove_fence_gate: #6, 4(3%)
minecraft.picked_up.birch_log: #7, 5231(4%)
minecraft.picked_up.light_gray_wool: #7, 712(6%)
minecraft.mined.conduit: #6, 1(4%)
minecraft.picked_up.music_disc_relic: #6, 1(4%)
minecraft.used.netherite_pickaxe: #7, 307415(5%)
minecraft.mined.lime_wool: #6, 24(2%)
minecraft.dropped.orange_terracotta: #7, 55(7%)
minecraft.dropped.porkchop: #6, 12(2%)
minecraft.mined.skeleton_skull: #6, 2(5%)
minecraft.mined.green_glazed_terracotta: #6, 7(3%)
minecraft.picked_up.skeleton_skull: #6, 2(4%)
minecraft.picked_up.polished_blackstone_brick_stairs: #6, 86(2%)
minecraft.mined.jungle_slab: #6, 14(3%)
minecraft.crafted.composter: #7, 263(5%)
minecraft.used.glowstone: #7, 497(5%)
minecraft.dropped.smooth_stone: #6, 64(2%)
minecraft.used.totem_of_undying: #7, 49(5%)
minecraft.picked_up.oak_log: #7, 5583(3%)
minecraft.used.stonecutter: #7, 105(4%)
minecraft.used.cherry_leaves: #6, 159(2%)
minecraft.used.music_disc_5: #6, 1(3%)
minecraft.picked_up.magma_cream: #7, 233(5%)
minecraft.picked_up.cracked_deepslate_bricks: #6, 62(2%)
minecraft.mined.cherry_sapling: #6, 7(2%)
minecraft.dropped.cracked_polished_blackstone_bricks: #6, 33(2%)
minecraft.crafted.pink_wool: #6, 65(2%)
minecraft.used.moss_carpet: #7, 891(4%)
minecraft.mined.granite: #7, 10907(4%)
minecraft.crafted.scaffolding: #7, 4760(6%)
minecraft.dropped.black_terracotta: #6, 34(2%)
minecraft.picked_up.dripstone_block: #7, 759(5%)
minecraft.crafted.painting: #7, 34(5%)
minecraft.dropped.black_banner: #6, 2(3%)
minecraft.used.shield: #7, 248(5%)
minecraft.used.tropical_fish_bucket: #6, 5(2%)
minecraft.crafted.yellow_concrete: #6, 24(2%)
minecraft.picked_up.polished_blackstone: #7, 294(5%)
minecraft.used.chipped_anvil: #7, 13(5%)
minecraft.custom.swim_one_cm: #8, 6888530(5%)
minecraft.crafted.mangrove_boat: #6, 1(3%)
minecraft.mined.crimson_fence_gate: #6, 2(2%)
minecraft.dropped.cauldron: #6, 1(2%)
minecraft.dropped.acacia_leaves: #6, 14(1%)
minecraft.dropped.spruce_fence_gate: #6, 2(2%)
minecraft.dropped.stick: #7, 3104(3%)
minecraft.mined.hanging_roots: #6, 55(1%)
minecraft.picked_up.deepslate_gold_ore: #7, 275(5%)
minecraft.picked_up.jungle_trapdoor: #6, 81(1%)
minecraft.picked_up.chipped_anvil: #7, 19(5%)
minecraft.used.jungle_log: #7, 393(5%)
minecraft.mined.spruce_planks: #7, 834(4%)
minecraft.used.deepslate: #7, 6530(4%)
minecraft.used.dark_oak_door: #7, 16(6%)
minecraft.mined.crimson_fence: #6, 2(1%)
minecraft.dropped.beetroot_seeds: #6, 7(1%)
minecraft.picked_up.glowstone: #7, 537(4%)
minecraft.dropped.stripped_spruce_wood: #6, 1(1%)
minecraft.dropped.birch_planks: #7, 98(4%)
minecraft.used.writable_book: #7, 222(3%)
minecraft.used.dried_kelp_block: #6, 5(1%)
minecraft.dropped.orange_concrete: #6, 3(1%)
minecraft.mined.exposed_cut_copper_slab: #6, 2(1%)
minecraft.crafted.crimson_fence_gate: #6, 11(1%)
minecraft.picked_up.green_glazed_terracotta: #6, 7(1%)
minecraft.dropped.cherry_leaves: #6, 2(1%)
minecraft.dropped.deepslate_brick_wall: #6, 8(1%)
minecraft.used.dispenser: #7, 266(4%)
minecraft.crafted.mud_brick_stairs: #6, 4(1%)
minecraft.picked_up.shulker_shell: #7, 919(4%)
minecraft.picked_up.raw_iron_block: #6, 42(0%)
minecraft.dropped.paper: #6, 259(0%)
minecraft.dropped.bubble_coral_fan: #6, 1(1%)
minecraft.picked_up.honeycomb: #7, 357(5%)
minecraft.picked_up.jungle_leaves: #7, 577(6%)
minecraft.dropped.hopper_minecart: #6, 1(0%)
minecraft.used.tropical_fish: #6, 1(0%)
minecraft.picked_up.exposed_cut_copper_slab: #6, 1(0%)
minecraft.mined.soul_torch: #6, 1(0%)
minecraft.killed.cave_spider: #7, 3736(4%)
minecraft.dropped.nether_brick_fence: #6, 3(0%)
minecraft.crafted.nether_brick_stairs: #6, 4(0%)
minecraft.picked_up.dragon_egg: #6, 9(0%)
minecraft.dropped.lapis_block: #6, 1(0%)
minecraft.crafted.purple_carpet: #6, 6(0%)
minecraft.killed.zombified_piglin: #6, 1168(0%)
minecraft.crafted.powered_rail: #7, 1308(4%)
minecraft.dropped.magenta_wool: #6, 1(0%)
minecraft.picked_up.orange_carpet: #6, 4(0%)
minecraft.mined.candle: #7, 6(6%)
minecraft.crafted.black_stained_glass_pane: #7, 384(7%)
minecraft.mined.black_wool: #7, 98(4%)
minecraft.dropped.furnace: #7, 15(5%)
minecraft.picked_up.glowstone_dust: #7, 611(4%)
minecraft.picked_up.dark_oak_door: #7, 15(4%)
minecraft.mined.hopper: #7, 342(4%)
minecraft.dropped.goat_horn: #7, 4(4%)
minecraft.picked_up.brewing_stand: #7, 18(4%)
minecraft.used.deepslate_lapis_ore: #7, 54(5%)
minecraft.dropped.oak_door: #7, 3(7%)
minecraft.mined.hay_block: #7, 130(4%)
minecraft.used.black_stained_glass_pane: #7, 241(6%)
minecraft.mined.soul_lantern: #7, 24(5%)
minecraft.picked_up.diamond_pickaxe: #8, 83(4%)
minecraft.picked_up.chainmail_boots: #7, 5(4%)
minecraft.mined.tall_seagrass: #7, 172(3%)
minecraft.picked_up.oak_sapling: #7, 1098(3%)
minecraft.mined.tinted_glass: #7, 128(4%)
minecraft.custom.interact_with_cartography_table: #7, 28(4%)
minecraft.mined.white_terracotta: #7, 776(3%)
minecraft.crafted.red_wool: #7, 304(4%)
minecraft.used.orange_bed: #7, 22(5%)
minecraft.picked_up.birch_stairs: #7, 29(4%)
minecraft.picked_up.gray_stained_glass_pane: #7, 60(5%)
minecraft.picked_up.yellow_concrete: #7, 343(3%)
minecraft.mined.cobbled_deepslate_wall: #7, 16(5%)
minecraft.mined.rooted_dirt: #7, 472(3%)
minecraft.crafted.crimson_fence: #7, 126(4%)
minecraft.picked_up.gray_dye: #7, 74(6%)
minecraft.mined.cracked_stone_bricks: #7, 103(3%)
minecraft.mined.chain: #8, 139(6%)
minecraft.picked_up.chain: #8, 277(6%)
minecraft.picked_up.lime_concrete: #7, 374(3%)
minecraft.mined.mossy_cobblestone_slab: #7, 8(3%)
minecraft.picked_up.lime_concrete_powder: #7, 25(3%)
minecraft.used.medium_amethyst_bud: #7, 29(4%)
minecraft.dropped.calcite: #7, 83(3%)
minecraft.picked_up.mangrove_planks: #7, 45(3%)
minecraft.used.hanging_roots: #7, 28(4%)
minecraft.used.birch_door: #7, 3(4%)
minecraft.crafted.mossy_cobblestone: #7, 772(3%)
minecraft.used.rose_bush: #7, 29(2%)
minecraft.mined.acacia_wall_sign: #7, 6(5%)
minecraft.crafted.spruce_pressure_plate: #7, 17(3%)
minecraft.mined.gold_block: #7, 126(2%)
minecraft.mined.yellow_concrete: #7, 345(2%)
minecraft.picked_up.white_terracotta: #7, 726(2%)
minecraft.picked_up.mud_brick_wall: #7, 8(4%)
minecraft.crafted.warped_door: #7, 6(3%)
minecraft.used.polished_basalt: #7, 682(2%)
minecraft.mined.mangrove_trapdoor: #7, 47(2%)
minecraft.picked_up.gold_block: #7, 237(2%)
minecraft.picked_up.feather: #7, 663(2%)
minecraft.crafted.crimson_stairs: #7, 80(3%)
minecraft.mined.crimson_door: #7, 1(5%)
minecraft.dropped.lily_pad: #7, 6(5%)
minecraft.picked_up.cracked_stone_bricks: #7, 137(2%)
minecraft.used.chest: #8, 1733(4%)
minecraft.used.bee_nest: #7, 15(3%)
minecraft.killed.snow_golem: #7, 3(3%)
minecraft.picked_up.diorite_slab: #7, 9(4%)
minecraft.mined.shroomlight: #8, 279(5%)
minecraft.used.golden_apple: #7, 6(2%)
minecraft.dropped.spruce_leaves: #7, 75(2%)
minecraft.used.egg: #7, 514(1%)
minecraft.custom.interact_with_stonecutter: #8, 523(5%)
minecraft.used.blue_dye: #7, 2(3%)
minecraft.dropped.nether_bricks: #7, 37(3%)
minecraft.crafted.granite_slab: #7, 60(2%)
minecraft.mined.polished_andesite_slab: #7, 72(2%)
minecraft.picked_up.andesite: #8, 12190(4%)
minecraft.mined.acacia_button: #7, 1(4%)
minecraft.mined.orange_stained_glass: #7, 33(2%)
minecraft.crafted.black_wool: #7, 377(2%)
minecraft.used.andesite_wall: #7, 331(2%)
minecraft.crafted.jungle_slab: #7, 180(2%)
minecraft.dropped.lapis_ore: #7, 5(3%)
minecraft.dropped.white_shulker_box: #7, 1(3%)
minecraft.dropped.diamond_pickaxe: #8, 15(4%)
minecraft.used.stripped_oak_wood: #7, 48(2%)
minecraft.picked_up.pufferfish: #7, 8(2%)
minecraft.used.dark_oak_leaves: #7, 127(2%)
minecraft.picked_up.green_wool: #7, 169(2%)
minecraft.used.detector_rail: #7, 13(2%)
minecraft.crafted.bamboo_sign: #7, 6(4%)
minecraft.crafted.pink_shulker_box: #7, 3(2%)
minecraft.dropped.crimson_fungus: #7, 5(2%)
minecraft.crafted.cobbled_deepslate_stairs: #7, 40(2%)
minecraft.mined.oak_fence: #8, 91(5%)
minecraft.picked_up.cooked_mutton: #7, 12(2%)
minecraft.picked_up.hanging_roots: #7, 52(2%)
minecraft.mined.mud_brick_wall: #7, 3(2%)
minecraft.picked_up.black_stained_glass: #8, 343(5%)
minecraft.dropped.lime_terracotta: #7, 24(2%)
minecraft.mined.acacia_sign: #7, 1(2%)
minecraft.mined.stripped_warped_hyphae: #7, 50(2%)
minecraft.picked_up.stripped_warped_hyphae: #7, 50(2%)
minecraft.used.acacia_boat: #7, 3(2%)
minecraft.picked_up.light_gray_concrete_powder: #7, 244(1%)
minecraft.picked_up.horn_coral_fan: #7, 26(1%)
minecraft.picked_up.polished_blackstone_bricks: #7, 600(1%)
minecraft.mined.brown_carpet: #7, 27(2%)
minecraft.picked_up.jungle_sign: #7, 7(2%)
minecraft.picked_up.brain_coral_fan: #7, 26(1%)
minecraft.used.oak_fence: #8, 230(4%)
minecraft.crafted.daylight_detector: #7, 21(2%)
minecraft.dropped.dark_oak_door: #7, 6(2%)
minecraft.mined.diorite_stairs: #7, 2(2%)
minecraft.mined.polished_blackstone_bricks: #7, 461(1%)
minecraft.mined.player_head: #8, 47(4%)
minecraft.custom.damage_blocked_by_shield: #8, 12395(5%)
minecraft.used.dragon_head: #7, 1(2%)
minecraft.picked_up.magenta_wool: #7, 64(1%)
minecraft.killed.chicken: #7, 179(1%)
minecraft.mined.warped_door: #7, 1(3%)
minecraft.used.mossy_stone_brick_stairs: #7, 30(2%)
minecraft.picked_up.crimson_stem: #8, 1923(5%)
minecraft.used.cod_bucket: #7, 1(2%)
minecraft.dropped.white_bed: #7, 2(1%)
minecraft.mined.deepslate_emerald_ore: #7, 1(2%)
minecraft.dropped.crimson_planks: #7, 6(1%)
minecraft.picked_up.jungle_stairs: #7, 19(2%)
minecraft.crafted.chain: #8, 523(4%)
minecraft.picked_up.deepslate_emerald_ore: #7, 1(2%)
minecraft.crafted.jungle_trapdoor: #7, 96(1%)
minecraft.used.deepslate_gold_ore: #8, 252(6%)
minecraft.crafted.muddy_mangrove_roots: #7, 16(2%)
minecraft.mined.spruce_door: #8, 13(5%)
minecraft.mined.brain_coral_fan: #7, 4(1%)
minecraft.picked_up.light_gray_bed: #7, 14(1%)
minecraft.picked_up.music_disc_11: #7, 1(2%)
minecraft.dropped.salmon: #7, 16(1%)
minecraft.picked_up.fletching_table: #7, 2(2%)
minecraft.picked_up.acacia_stairs: #7, 2(2%)
minecraft.mined.chiseled_quartz_block: #7, 2(1%)
minecraft.picked_up.soul_campfire: #7, 1(2%)
minecraft.used.nether_gold_ore: #7, 11(1%)
minecraft.crafted.cyan_terracotta: #8, 2912(5%)
