stat, rank, value, (percentage) 
minecraft.picked_up.polished_blackstone_bricks: #2, 11735(19%)
minecraft.used.cobbled_deepslate_wall: #2, 983(28%)
minecraft.picked_up.beacon: #1, 110(16%)
minecraft.dropped.iron_axe: #2, 341(25%)
minecraft.used.bow: #2, 10077(13%)
minecraft.mined.terracotta: #2, 37048(16%)
minecraft.picked_up.waxed_cut_copper_slab: #1, 133(42%)
minecraft.used.chorus_flower: #1, 617(47%)
minecraft.mined.stone: #2, 708121(13%)
minecraft.used.sea_lantern: #2, 1831(20%)
minecraft.used.yellow_bed: #2, 245(24%)
minecraft.crafted.black_banner: #2, 535(37%)
minecraft.used.polished_blackstone_stairs: #2, 1543(22%)
minecraft.dropped.bowl: #1, 44(18%)
minecraft.used.purpur_block: #2, 345(28%)
minecraft.picked_up.shears: #2, 181(16%)
minecraft.used.cracked_deepslate_tiles: #1, 255(53%)
minecraft.picked_up.terracotta: #2, 37027(16%)
minecraft.dropped.lightning_rod: #1, 90(52%)
minecraft.mined.gray_concrete_powder: #2, 215(24%)
minecraft.mined.blackstone_wall: #1, 96(27%)
minecraft.picked_up.chiseled_quartz_block: #1, 65(25%)
minecraft.mined.stone_pressure_plate: #1, 56(19%)
minecraft.used.cyan_concrete_powder: #2, 6165(22%)
minecraft.crafted.red_shulker_box: #2, 107(20%)
minecraft.mined.smithing_table: #2, 73(20%)
minecraft.crafted.lime_wool: #1, 517(35%)
minecraft.crafted.netherite_chestplate: #1, 10(38%)
minecraft.used.yellow_stained_glass: #2, 3249(26%)
minecraft.picked_up.lightning_rod: #1, 216(16%)
minecraft.mined.yellow_stained_glass: #2, 434(32%)
minecraft.dropped.verdant_froglight: #1, 64(48%)
minecraft.mined.dark_oak_door: #1, 18(20%)
minecraft.crafted.cracked_polished_blackstone_bricks: #1, 1152(42%)
minecraft.picked_up.spruce_sign: #2, 213(14%)
minecraft.dropped.paper: #2, 18451(15%)
minecraft.used.gold_block: #2, 1376(17%)
minecraft.used.suspicious_stew: #1, 32(17%)
minecraft.picked_up.book: #2, 9878(14%)
minecraft.picked_up.ochre_froglight: #2, 616(20%)
minecraft.mined.cauldron: #2, 77(20%)
minecraft.crafted.mangrove_planks: #1, 3952(13%)
