stat, rank, value, (percentage) 
minecraft.picked_up.netherite_pickaxe: #3, 103(12%)
minecraft.used.brain_coral: #2, 38(17%)
minecraft.used.yellow_bed: #3, 170(17%)
minecraft.crafted.cooked_beef: #3, 837(14%)
minecraft.mined.blackstone_slab: #2, 88(16%)
minecraft.picked_up.birch_planks: #3, 2055(10%)
minecraft.mined.gray_wool: #3, 985(15%)
minecraft.picked_up.warped_stem: #3, 4171(13%)
minecraft.crafted.light_gray_bed: #2, 7(19%)
minecraft.used.red_tulip: #2, 14(23%)
minecraft.mined.warped_stem: #3, 4067(13%)
minecraft.mined.warped_door: #2, 10(27%)
minecraft.crafted.yellow_dye: #2, 4232(8%)
minecraft.mined.cyan_shulker_box: #3, 765(11%)
minecraft.crafted.writable_book: #2, 116(9%)
minecraft.mined.crimson_planks: #2, 248(8%)
minecraft.mined.brain_coral: #2, 48(12%)
minecraft.used.mud_bricks: #3, 1460(14%)
minecraft.used.brain_coral_fan: #2, 88(14%)
minecraft.killed.cow: #3, 705(10%)
minecraft.broken.chainmail_boots: #1, 1(100%)
minecraft.broken.wooden_axe: #1, 5(100%)
minecraft.killed_by.shulker: #1, 1(50%)
minecraft.dropped.torchflower: #1, 28(100%)
minecraft.crafted.pufferfish_bucket: #1, 1(50%)
minecraft.picked_up.blue_orchid: #2, 583(14%)
minecraft.picked_up.nether_wart_block: #3, 5663(12%)
minecraft.picked_up.brain_coral: #2, 46(13%)
minecraft.picked_up.gravel: #3, 43644(9%)
minecraft.mined.dark_prismarine_stairs: #2, 150(32%)
minecraft.used.peony: #3, 47(15%)
minecraft.crafted.white_dye: #3, 10544(10%)
minecraft.used.gray_wool: #3, 2256(12%)
minecraft.picked_up.blackstone_slab: #2, 92(13%)
minecraft.used.cyan_shulker_box: #3, 808(9%)
minecraft.picked_up.cooked_chicken: #3, 595(12%)
minecraft.picked_up.dark_prismarine_stairs: #2, 144(26%)
minecraft.mined.blackstone_stairs: #2, 42(20%)
minecraft.crafted.green_dye: #3, 2923(12%)
minecraft.dropped.spruce_slab: #2, 190(8%)
minecraft.picked_up.rose_bush: #3, 3671(9%)
minecraft.used.cornflower: #3, 48(15%)
minecraft.picked_up.dark_oak_planks: #3, 1585(8%)
minecraft.custom.interact_with_campfire: #2, 60(15%)
minecraft.mined.mud_bricks: #3, 230(12%)
minecraft.mined.crimson_stem: #3, 2990(10%)
minecraft.dropped.written_book: #3, 17(10%)
minecraft.used.mossy_stone_brick_stairs: #2, 227(16%)
minecraft.used.polished_blackstone_brick_wall: #2, 788(16%)
minecraft.mined.farmland: #3, 108(12%)
minecraft.mined.warped_slab: #2, 273(9%)
minecraft.picked_up.music_disc_relic: #2, 5(20%)
minecraft.picked_up.torchflower_seeds: #2, 244(11%)
minecraft.used.orange_tulip: #2, 13(32%)
minecraft.crafted.cyan_dye: #3, 4218(10%)
minecraft.mined.oxidized_cut_copper_slab: #3, 196(15%)
minecraft.used.bubble_coral: #2, 39(16%)
minecraft.custom.bell_ring: #3, 271(10%)
minecraft.dropped.torchflower_seeds: #2, 256(19%)
minecraft.used.loom: #3, 96(11%)
minecraft.used.horn_coral: #2, 48(15%)
minecraft.crafted.pink_stained_glass_pane: #2, 160(14%)
minecraft.used.flowering_azalea_leaves: #2, 757(6%)
minecraft.mined.blue_orchid: #3, 135(18%)
minecraft.crafted.painting: #3, 66(10%)
minecraft.crafted.magenta_dye: #3, 2514(10%)
minecraft.used.vine: #3, 119(14%)
minecraft.picked_up.mud_bricks: #3, 239(10%)
minecraft.dropped.green_candle: #2, 3(21%)
minecraft.used.wooden_shovel: #2, 825(14%)
minecraft.picked_up.blast_furnace: #3, 46(11%)
minecraft.mined.white_wool: #3, 590(9%)
minecraft.dropped.blast_furnace: #2, 20(25%)
minecraft.picked_up.oxidized_cut_copper_slab: #3, 243(12%)
minecraft.used.dark_prismarine_stairs: #2, 354(12%)
minecraft.picked_up.vine: #3, 802(10%)
minecraft.mined.light_gray_wall_banner: #2, 3(18%)
minecraft.picked_up.tropical_fish: #3, 535(8%)
minecraft.mined.mangrove_door: #2, 6(11%)
minecraft.picked_up.lilac: #4, 1553(12%)
minecraft.picked_up.bubble_coral: #3, 50(13%)
minecraft.crafted.cyan_shulker_box: #3, 36(11%)
minecraft.crafted.stripped_warped_hyphae: #2, 51(17%)
minecraft.dropped.warped_door: #2, 2(40%)
minecraft.mined.spruce_trapdoor: #3, 468(7%)
minecraft.crafted.blue_shulker_box: #3, 10(11%)
minecraft.used.smithing_table: #4, 367(13%)
minecraft.picked_up.spruce_trapdoor: #3, 617(7%)
minecraft.picked_up.leather: #4, 2249(10%)
minecraft.mined.spruce_slab: #3, 709(8%)
minecraft.crafted.warped_planks: #3, 10184(8%)
minecraft.mined.green_concrete: #2, 999(5%)
minecraft.dropped.bowl: #3, 25(10%)
minecraft.used.green_concrete: #2, 984(6%)
minecraft.mined.andesite_slab: #3, 62(11%)
minecraft.crafted.oxidized_cut_copper_stairs: #3, 136(13%)
minecraft.crafted.golden_helmet: #3, 9(11%)
minecraft.crafted.gray_concrete_powder: #3, 6240(10%)
minecraft.used.white_tulip: #2, 14(18%)
minecraft.used.fire_coral_fan: #3, 73(17%)
minecraft.used.crossbow: #3, 88(7%)
minecraft.mined.bubble_coral: #3, 50(12%)
minecraft.crafted.orange_dye: #3, 2686(9%)
minecraft.mined.spruce_stairs: #3, 283(7%)
minecraft.picked_up.green_concrete: #3, 992(8%)
minecraft.crafted.cyan_bed: #3, 6(13%)
minecraft.crafted.chiseled_polished_blackstone: #3, 50(14%)
minecraft.crafted.chest_minecart: #3, 12(12%)
minecraft.dropped.warped_wart_block: #3, 952(12%)
minecraft.crafted.red_dye: #3, 7058(7%)
minecraft.dropped.wheat_seeds: #4, 7025(9%)
minecraft.used.goat_horn: #2, 18(6%)
minecraft.dropped.lime_concrete_powder: #3, 64(32%)
minecraft.crafted.shield: #3, 23(9%)
minecraft.used.prismarine_stairs: #2, 66(22%)
minecraft.dropped.blackstone_slab: #2, 14(15%)
minecraft.used.prismarine_brick_stairs: #2, 44(15%)
minecraft.mined.mossy_stone_brick_slab: #3, 14(14%)
minecraft.used.wheat_seeds: #4, 5775(10%)
minecraft.crafted.purple_dye: #3, 2480(8%)
minecraft.used.spruce_planks: #4, 6321(9%)
minecraft.mined.polished_blackstone_brick_slab: #3, 115(18%)
minecraft.used.polished_blackstone_brick_stairs: #3, 2673(14%)
minecraft.dropped.cooked_chicken: #3, 46(11%)
minecraft.used.music_disc_relic: #2, 2(20%)
minecraft.crafted.magenta_banner: #2, 18(16%)
minecraft.picked_up.polished_blackstone_brick_slab: #3, 334(16%)
minecraft.crafted.stone_sword: #2, 13(3%)
minecraft.mined.ladder: #4, 183(10%)
minecraft.mined.dark_oak_hanging_sign: #2, 2(25%)
minecraft.picked_up.fire_coral: #3, 48(11%)
minecraft.crafted.stone: #3, 954(7%)
minecraft.dropped.crimson_stem: #3, 512(12%)
minecraft.used.tube_coral_fan: #3, 81(12%)
minecraft.picked_up.brush: #2, 2(12%)
minecraft.crafted.chiseled_bookshelf: #3, 107(13%)
minecraft.broken.stone_hoe: #3, 4(15%)
minecraft.dropped.sandstone_wall: #2, 6(17%)
minecraft.mined.magenta_wall_banner: #2, 1(33%)
minecraft.crafted.polished_blackstone_brick_wall: #3, 32(17%)
minecraft.used.mossy_stone_brick_slab: #2, 110(7%)
minecraft.picked_up.orange_tulip: #2, 109(4%)
minecraft.mined.fire_coral: #3, 49(10%)
minecraft.crafted.gray_bed: #3, 10(20%)
minecraft.used.dark_oak_slab: #3, 2143(6%)
minecraft.used.chiseled_bookshelf: #3, 100(13%)
minecraft.broken.wooden_sword: #2, 3(14%)
minecraft.picked_up.tube_coral: #3, 50(10%)
minecraft.crafted.light_gray_banner: #3, 39(13%)
minecraft.used.lime_wool: #3, 482(8%)
minecraft.crafted.smooth_sandstone: #3, 701(9%)
minecraft.used.obsidian: #4, 3930(9%)
minecraft.used.iron_hoe: #2, 2755(3%)
minecraft.mined.tube_coral: #3, 51(10%)
minecraft.picked_up.warped_slab: #3, 361(8%)
minecraft.mined.potted_torchflower: #2, 2(15%)
minecraft.dropped.quartz_slab: #3, 49(18%)
minecraft.crafted.prismarine_brick_slab: #3, 64(21%)
minecraft.mined.nether_quartz_ore: #4, 5174(8%)
minecraft.mined.polished_blackstone_brick_stairs: #3, 322(9%)
minecraft.broken.wooden_shovel: #2, 13(14%)
minecraft.used.white_concrete_powder: #4, 10070(11%)
minecraft.used.bubble_coral_fan: #3, 78(10%)
minecraft.picked_up.pink_tulip: #2, 173(3%)
minecraft.mined.lantern: #4, 93(8%)
