stat, rank, value, (percentage) 
minecraft.picked_up.bamboo: #17, 1998(1%)
minecraft.custom.damage_blocked_by_shield: #17, 2020(1%)
minecraft.used.coarse_dirt: #17, 321(1%)
minecraft.picked_up.powered_rail: #17, 110(1%)
minecraft.used.lilac: #17, 6(1%)
minecraft.picked_up.bookshelf: #17, 19(1%)
minecraft.used.oak_planks: #17, 120(1%)
minecraft.dropped.kelp: #17, 64(1%)
minecraft.crafted.dark_oak_sign: #17, 12(1%)
minecraft.used.stone_sword: #17, 27(1%)
minecraft.mined.coarse_dirt: #17, 86(0%)
minecraft.mined.lily_of_the_valley: #17, 2(1%)
minecraft.mined.stone_brick_slab: #17, 21(1%)
minecraft.used.peony: #17, 2(1%)
minecraft.crafted.oak_wood: #17, 45(1%)
minecraft.crafted.cobblestone_slab: #17, 66(0%)
minecraft.picked_up.azure_bluet: #17, 25(0%)
minecraft.picked_up.quartz_slab: #17, 17(1%)
minecraft.used.big_dripleaf: #17, 4(1%)
minecraft.used.orange_shulker_box: #17, 15(0%)
minecraft.crafted.brown_dye: #17, 37(0%)
minecraft.crafted.bread: #17, 126(0%)
minecraft.picked_up.clay_ball: #17, 509(0%)
minecraft.used.mossy_cobblestone: #17, 51(0%)
minecraft.picked_up.mangrove_planks: #17, 5(0%)
minecraft.used.ochre_froglight: #17, 29(0%)
minecraft.picked_up.cactus: #17, 247(0%)
minecraft.mined.birch_stairs: #17, 1(0%)
minecraft.used.warped_stem: #17, 92(0%)
minecraft.dropped.mossy_cobblestone: #17, 3(0%)
minecraft.crafted.book: #17, 5(0%)
minecraft.crafted.crimson_slab: #17, 60(0%)
minecraft.picked_up.orange_concrete: #17, 18(0%)
minecraft.crafted.stone_stairs: #17, 16(0%)
minecraft.picked_up.mangrove_propagule: #17, 15(0%)
minecraft.crafted.mangrove_fence: #17, 3(0%)
minecraft.picked_up.ochre_froglight: #17, 4(0%)
minecraft.used.oxidized_cut_copper_stairs: #17, 7(0%)
minecraft.used.birch_planks: #17, 141(0%)
minecraft.mined.cyan_carpet: #17, 1(0%)
minecraft.picked_up.crimson_nylium: #17, 29(0%)
minecraft.mined.twisting_vines: #17, 1(0%)
minecraft.picked_up.spruce_wood: #17, 3(0%)
minecraft.used.light_blue_wool: #17, 9(0%)
minecraft.picked_up.red_tulip: #17, 2(0%)
minecraft.crafted.andesite_slab: #17, 6(0%)
minecraft.used.brown_mushroom: #17, 4(0%)
minecraft.picked_up.cornflower: #17, 24(0%)
minecraft.used.green_carpet: #17, 4(0%)
minecraft.picked_up.cut_sandstone: #17, 2(0%)
minecraft.picked_up.black_concrete_powder: #17, 8(0%)
minecraft.mined.wall_torch: #18, 212(2%)
minecraft.picked_up.tuff: #18, 2750(2%)
minecraft.picked_up.stonecutter: #18, 35(2%)
minecraft.used.diamond_shovel: #18, 54166(1%)
minecraft.killed_by.skeleton: #18, 2(2%)
minecraft.used.chain: #18, 175(2%)
minecraft.used.birch_boat: #18, 4(1%)
minecraft.used.spruce_door: #18, 8(1%)
minecraft.crafted.bucket: #18, 106(1%)
minecraft.mined.anvil: #18, 15(1%)
minecraft.picked_up.beacon: #18, 9(1%)
minecraft.picked_up.iron_helmet: #18, 2(1%)
minecraft.picked_up.damaged_anvil: #18, 3(1%)
minecraft.used.beacon: #18, 9(1%)
minecraft.picked_up.bone: #18, 650(1%)
minecraft.mined.kelp: #18, 57(1%)
minecraft.mined.wheat: #18, 259(1%)
minecraft.picked_up.rose_bush: #18, 253(1%)
minecraft.dropped.spruce_log: #18, 65(1%)
minecraft.custom.interact_with_brewingstand: #18, 72(1%)
minecraft.used.leather_boots: #18, 1(1%)
minecraft.picked_up.rooted_dirt: #18, 120(1%)
minecraft.dropped.red_shulker_box: #18, 1(1%)
minecraft.picked_up.magma_cream: #18, 32(1%)
minecraft.mined.rooted_dirt: #18, 109(1%)
minecraft.picked_up.dark_oak_fence: #18, 24(1%)
minecraft.used.oak_trapdoor: #18, 45(1%)
minecraft.mined.podzol: #18, 195(0%)
minecraft.used.dark_oak_sign: #18, 10(1%)
minecraft.custom.target_hit: #18, 13(0%)
minecraft.mined.weeping_vines_plant: #18, 5(1%)
minecraft.picked_up.oak_stairs: #18, 14(0%)
minecraft.used.stone_brick_slab: #18, 106(0%)
minecraft.picked_up.wooden_axe: #18, 1(1%)
minecraft.dropped.iron_sword: #18, 1(1%)
minecraft.mined.lightning_rod: #18, 5(0%)
minecraft.crafted.polished_andesite_slab: #18, 32(0%)
minecraft.picked_up.sea_lantern: #18, 31(0%)
minecraft.picked_up.orange_shulker_box: #18, 15(0%)
minecraft.mined.orange_shulker_box: #18, 15(0%)
minecraft.crafted.smoker: #18, 1(0%)
minecraft.used.sea_lantern: #18, 33(0%)
minecraft.custom.animals_bred: #18, 53(0%)
minecraft.used.apple: #18, 2(0%)
minecraft.used.lava_bucket: #18, 34(0%)
minecraft.crafted.light_blue_dye: #18, 58(0%)
minecraft.picked_up.lightning_rod: #18, 5(0%)
minecraft.used.podzol: #18, 13(0%)
minecraft.mined.lime_shulker_box: #18, 9(0%)
minecraft.used.soul_sand: #18, 74(0%)
minecraft.picked_up.rabbit: #18, 1(0%)
minecraft.mined.jungle_log: #18, 119(0%)
minecraft.picked_up.nautilus_shell: #18, 1(0%)
minecraft.picked_up.warped_wart_block: #18, 128(0%)
minecraft.crafted.black_concrete_powder: #18, 416(0%)
minecraft.crafted.dark_oak_boat: #18, 1(0%)
minecraft.mined.sea_lantern: #18, 4(0%)
minecraft.mined.nether_bricks: #18, 39(0%)
minecraft.picked_up.blue_bed: #18, 1(0%)
minecraft.picked_up.nether_star: #18, 1(0%)
minecraft.picked_up.stripped_birch_log: #18, 11(0%)
minecraft.dropped.glow_berries: #18, 1(0%)
minecraft.picked_up.feather: #18, 38(0%)
minecraft.used.egg: #18, 33(0%)
minecraft.picked_up.birch_stairs: #18, 1(0%)
minecraft.dropped.stone_bricks: #18, 7(0%)
minecraft.mined.stripped_birch_log: #18, 11(0%)
minecraft.mined.light_blue_wool: #18, 2(0%)
minecraft.picked_up.brown_concrete_powder: #18, 1(0%)
minecraft.dropped.iron_axe: #18, 1(0%)
minecraft.picked_up.light_gray_bed: #18, 1(0%)
minecraft.crafted.pink_terracotta: #18, 8(0%)
minecraft.mined.light_gray_bed: #18, 1(0%)
minecraft.used.crimson_nylium: #18, 6(0%)
minecraft.used.fern: #18, 1(0%)
minecraft.picked_up.pink_terracotta: #18, 1(0%)
minecraft.picked_up.cyan_carpet: #18, 1(0%)
minecraft.used.spruce_wood: #18, 5(0%)
minecraft.used.cyan_carpet: #18, 1(0%)
minecraft.used.mangrove_leaves: #18, 2(0%)
minecraft.picked_up.gold_nugget: #18, 273(0%)
minecraft.dropped.warped_roots: #18, 1(0%)
minecraft.dropped.cod: #18, 1(0%)
minecraft.mined.stripped_mangrove_log: #18, 1(0%)
minecraft.picked_up.stripped_mangrove_log: #18, 1(0%)
minecraft.picked_up.torch: #19, 1996(2%)
minecraft.crafted.diamond_sword: #19, 3(2%)
minecraft.custom.climb_one_cm: #19, 963319(1%)
minecraft.used.spruce_stairs: #19, 331(2%)
minecraft.mined.grass_block: #19, 13065(1%)
minecraft.picked_up.iron_block: #19, 750(2%)
minecraft.picked_up.golden_carrot: #19, 400(1%)
minecraft.crafted.lectern: #19, 22(2%)
minecraft.mined.spruce_stairs: #19, 60(2%)
minecraft.used.grass_block: #19, 5559(1%)
minecraft.picked_up.spruce_trapdoor: #19, 78(1%)
minecraft.picked_up.birch_boat: #19, 3(1%)
minecraft.mined.peony: #19, 3(1%)
minecraft.picked_up.birch_sign: #19, 31(1%)
minecraft.picked_up.rotten_flesh: #19, 611(1%)
minecraft.picked_up.golden_apple: #19, 9(1%)
minecraft.mined.player_wall_head: #19, 6(1%)
minecraft.picked_up.amethyst_block: #19, 221(1%)
minecraft.mined.tall_seagrass: #19, 43(1%)
minecraft.picked_up.stone_shovel: #19, 1(1%)
minecraft.crafted.diamond_chestplate: #19, 2(1%)
minecraft.mined.moss_block: #19, 854(1%)
minecraft.used.redstone_torch: #19, 92(1%)
minecraft.crafted.stone_bricks: #19, 1012(1%)
minecraft.picked_up.deepslate: #19, 2522(1%)
minecraft.mined.brown_shulker_box: #19, 22(1%)
minecraft.dropped.spruce_sign: #19, 2(1%)
minecraft.mined.chain: #19, 12(1%)
minecraft.picked_up.deepslate_gold_ore: #19, 34(1%)
minecraft.crafted.oak_trapdoor: #19, 44(1%)
minecraft.mined.deepslate_copper_ore: #19, 16(1%)
minecraft.mined.big_dripleaf_stem: #19, 2(1%)
minecraft.used.stone_bricks: #19, 644(0%)
minecraft.mined.spruce_button: #19, 1(1%)
minecraft.mined.iron_door: #19, 3(1%)
minecraft.mined.blast_furnace: #19, 2(1%)
minecraft.used.iron_door: #19, 3(0%)
minecraft.used.potion: #19, 29(0%)
minecraft.dropped.chest: #19, 6(0%)
minecraft.crafted.polished_andesite: #19, 228(0%)
minecraft.used.spruce_fence_gate: #19, 13(0%)
minecraft.crafted.cyan_terracotta: #19, 256(0%)
minecraft.crafted.mossy_cobblestone: #19, 117(0%)
minecraft.crafted.iron_nugget: #19, 928(0%)
minecraft.crafted.lightning_rod: #19, 12(0%)
minecraft.picked_up.mangrove_log: #19, 74(0%)
minecraft.crafted.blaze_powder: #19, 24(0%)
minecraft.crafted.acacia_planks: #19, 172(0%)
minecraft.picked_up.lime_shulker_box: #19, 8(0%)
minecraft.used.lime_shulker_box: #19, 8(0%)
minecraft.dropped.spruce_fence: #19, 2(0%)
minecraft.used.honeycomb: #19, 27(0%)
minecraft.used.black_concrete_powder: #19, 424(0%)
minecraft.used.jungle_log: #19, 17(0%)
minecraft.picked_up.golden_sword: #19, 3(0%)
minecraft.picked_up.white_concrete: #19, 133(0%)
minecraft.picked_up.jungle_log: #19, 125(0%)
minecraft.crafted.white_concrete_powder: #19, 192(0%)
minecraft.mined.white_concrete: #19, 135(0%)
minecraft.picked_up.nether_bricks: #19, 39(0%)
minecraft.picked_up.nether_wart: #19, 66(0%)
minecraft.crafted.stone_brick_stairs: #19, 12(0%)
minecraft.crafted.jungle_planks: #19, 160(0%)
minecraft.crafted.mangrove_slab: #19, 6(0%)
minecraft.used.white_concrete_powder: #19, 128(0%)
minecraft.picked_up.jungle_sapling: #19, 4(0%)
minecraft.crafted.glass_bottle: #19, 81(0%)
minecraft.picked_up.lily_of_the_valley: #19, 3(0%)
minecraft.picked_up.twisting_vines: #19, 2(0%)
minecraft.used.white_stained_glass: #19, 20(0%)
minecraft.mined.gray_wool: #19, 2(0%)
minecraft.crafted.green_carpet: #19, 3(0%)
minecraft.used.sculk: #19, 8(0%)
minecraft.picked_up.light_blue_wool: #19, 2(0%)
minecraft.mined.stripped_warped_stem: #19, 4(0%)
minecraft.mined.cut_sandstone: #19, 2(0%)
minecraft.used.cut_copper: #19, 1(0%)
minecraft.used.cyan_wool: #19, 2(0%)
minecraft.dropped.bread: #19, 4(0%)
minecraft.picked_up.jungle_leaves: #19, 1(0%)
minecraft.crafted.crafting_table: #20, 61(2%)
minecraft.used.iron_pickaxe: #20, 2154(2%)
minecraft.picked_up.dirt: #20, 21160(2%)
minecraft.used.torch: #20, 3630(2%)
minecraft.mined.crafting_table: #20, 116(2%)
minecraft.used.stone_axe: #20, 156(2%)
minecraft.dropped.shield: #20, 2(2%)
minecraft.crafted.diamond_helmet: #20, 2(2%)
minecraft.used.spruce_trapdoor: #20, 358(1%)
minecraft.mined.tuff: #20, 2039(1%)
minecraft.picked_up.cobblestone: #20, 14321(1%)
minecraft.picked_up.spruce_stairs: #20, 64(1%)
minecraft.used.oak_fence: #20, 61(1%)
minecraft.mined.furnace: #20, 30(1%)
minecraft.used.bone_meal: #20, 3329(1%)
minecraft.mined.spruce_trapdoor: #20, 57(1%)
minecraft.custom.interact_with_beacon: #20, 11(1%)
minecraft.crafted.oak_sign: #20, 27(1%)
minecraft.used.oak_slab: #20, 79(1%)
minecraft.crafted.ender_chest: #20, 8(1%)
minecraft.dropped.bow: #20, 22(0%)
minecraft.mined.amethyst_block: #20, 146(1%)
minecraft.used.birch_sign: #20, 29(0%)
minecraft.picked_up.chainmail_helmet: #20, 1(1%)
minecraft.picked_up.iron_door: #20, 3(1%)
minecraft.picked_up.wheat: #20, 242(0%)
minecraft.picked_up.brown_shulker_box: #20, 21(1%)
minecraft.mined.polished_andesite: #20, 26(1%)
minecraft.used.brown_shulker_box: #20, 21(1%)
minecraft.mined.observer: #20, 45(1%)
minecraft.mined.oak_trapdoor: #20, 6(0%)
minecraft.mined.bamboo_sapling: #20, 1(1%)
minecraft.crafted.red_dye: #20, 422(0%)
minecraft.picked_up.mossy_cobblestone: #20, 45(0%)
minecraft.picked_up.cyan_terracotta: #20, 83(0%)
minecraft.dropped.granite: #20, 107(0%)
minecraft.crafted.composter: #20, 21(0%)
minecraft.picked_up.blast_furnace: #20, 2(0%)
minecraft.picked_up.terracotta: #20, 736(0%)
minecraft.used.cyan_terracotta: #20, 208(0%)
minecraft.used.ender_pearl: #20, 20(0%)
minecraft.crafted.blue_dye: #20, 213(0%)
minecraft.used.powered_rail: #20, 128(0%)
minecraft.picked_up.emerald_block: #20, 114(0%)
minecraft.used.emerald_block: #20, 63(0%)
minecraft.used.blast_furnace: #20, 3(0%)
minecraft.picked_up.flower_pot: #20, 7(0%)
minecraft.used.lightning_rod: #20, 11(0%)
minecraft.picked_up.polished_andesite: #20, 27(0%)
minecraft.crafted.lapis_lazuli: #20, 108(0%)
minecraft.dropped.furnace: #20, 1(0%)
minecraft.crafted.cyan_shulker_box: #20, 1(0%)
minecraft.picked_up.warped_button: #20, 2(0%)
minecraft.crafted.crimson_trapdoor: #20, 8(0%)
minecraft.dropped.arrow: #20, 219(0%)
minecraft.dropped.rotten_flesh: #20, 308(0%)
minecraft.used.polished_andesite_slab: #20, 44(0%)
minecraft.used.white_concrete: #20, 104(0%)
minecraft.mined.blue_bed: #20, 1(0%)
minecraft.dropped.wheat: #20, 5(0%)
minecraft.picked_up.gold_block: #20, 18(0%)
minecraft.mined.hay_block: #20, 5(0%)
minecraft.used.mangrove_planks: #20, 6(0%)
minecraft.mined.cut_copper: #20, 1(0%)
minecraft.dropped.iron_boots: #20, 1(0%)
minecraft.used.crimson_trapdoor: #20, 4(0%)
minecraft.picked_up.cut_copper: #20, 1(0%)
minecraft.crafted.blast_furnace: #20, 1(0%)
minecraft.mined.mangrove_trapdoor: #20, 2(0%)
minecraft.dropped.pointed_dripstone: #20, 2(0%)
minecraft.picked_up.mangrove_trapdoor: #20, 2(0%)
minecraft.picked_up.slime_ball: #20, 28(0%)
minecraft.used.mangrove_log: #20, 12(0%)
minecraft.mined.crimson_nylium: #20, 15(0%)
minecraft.mined.warped_stem: #20, 20(0%)
minecraft.used.rooted_dirt: #20, 6(0%)
minecraft.used.mangrove_trapdoor: #20, 2(0%)
minecraft.used.andesite_slab: #20, 6(0%)
minecraft.mined.packed_mud: #20, 1(0%)
minecraft.mined.jungle_leaves: #20, 16(0%)
minecraft.crafted.wheat: #20, 45(0%)
minecraft.crafted.spruce_wood: #20, 6(0%)
minecraft.picked_up.brown_terracotta: #20, 24(0%)
minecraft.dropped.stone_slab: #20, 1(0%)
minecraft.used.polished_blackstone_bricks: #20, 9(0%)
minecraft.used.packed_mud: #20, 1(0%)
minecraft.picked_up.fern: #20, 1(0%)
minecraft.dropped.pumpkin: #20, 1(0%)
minecraft.custom.sleep_in_bed: #21, 650(2%)
minecraft.used.crafting_table: #21, 143(2%)
minecraft.mined.dirt: #21, 14300(1%)
minecraft.dropped.wooden_pickaxe: #21, 1(2%)
minecraft.mined.gravel: #21, 6438(1%)
minecraft.picked_up.arrow: #21, 930(1%)
minecraft.mined.iron_block: #21, 346(1%)
minecraft.crafted.diamond_boots: #21, 2(1%)
minecraft.used.shears: #21, 2351(1%)
minecraft.picked_up.cobbled_deepslate: #21, 8107(1%)
minecraft.custom.enchant_item: #21, 21(1%)
minecraft.used.dandelion: #21, 4(1%)
minecraft.picked_up.moss_carpet: #21, 303(1%)
minecraft.picked_up.moss_block: #21, 916(1%)
minecraft.custom.boat_one_cm: #21, 2030111(1%)
minecraft.picked_up.wheat_seeds: #21, 1488(1%)
minecraft.dropped.redstone: #21, 97(1%)
minecraft.used.flower_pot: #21, 13(1%)
minecraft.picked_up.chainmail_boots: #21, 1(1%)
minecraft.crafted.birch_boat: #21, 1(1%)
minecraft.crafted.wooden_axe: #21, 1(1%)
minecraft.picked_up.stone_pickaxe: #21, 1(1%)
minecraft.crafted.flint_and_steel: #21, 3(1%)
minecraft.picked_up.glass: #21, 344(1%)
minecraft.picked_up.bone_block: #21, 104(0%)
minecraft.picked_up.glowstone: #21, 65(0%)
minecraft.picked_up.potion: #21, 15(0%)
minecraft.dropped.water_bucket: #21, 2(0%)
minecraft.mined.sweet_berry_bush: #21, 2(0%)
minecraft.crafted.fishing_rod: #21, 1(1%)
minecraft.crafted.hopper: #21, 139(0%)
minecraft.picked_up.observer: #21, 45(0%)
minecraft.mined.flower_pot: #21, 1(0%)
minecraft.picked_up.scaffolding: #21, 874(0%)
minecraft.picked_up.redstone_ore: #21, 3(0%)
minecraft.mined.kelp_plant: #21, 47(0%)
minecraft.mined.terracotta: #21, 656(0%)
minecraft.mined.cobweb: #21, 18(0%)
minecraft.crafted.spruce_fence_gate: #21, 8(0%)
minecraft.used.dispenser: #21, 16(0%)
minecraft.mined.cauldron: #21, 1(0%)
minecraft.custom.interact_with_blast_furnace: #21, 11(0%)
minecraft.picked_up.stone_brick_slab: #21, 20(0%)
minecraft.used.nether_bricks: #21, 21(0%)
minecraft.mined.bone_block: #21, 14(0%)
minecraft.mined.warped_fungus: #21, 3(0%)
minecraft.picked_up.copper_ore: #21, 36(0%)
minecraft.dropped.coal: #21, 10(0%)
minecraft.dropped.moss_carpet: #21, 21(0%)
minecraft.picked_up.white_terracotta: #21, 40(0%)
minecraft.picked_up.glowstone_dust: #21, 16(0%)
minecraft.mined.acacia_log: #21, 23(0%)
minecraft.mined.mud_bricks: #21, 2(0%)
minecraft.mined.mangrove_slab: #21, 1(0%)
minecraft.picked_up.mud_bricks: #21, 2(0%)
minecraft.used.gray_wool: #21, 15(0%)
minecraft.used.cobblestone_stairs: #21, 4(0%)
minecraft.killed.slime: #21, 15(0%)
minecraft.used.pearlescent_froglight: #21, 3(0%)
minecraft.crafted.mangrove_trapdoor: #21, 2(0%)
minecraft.used.cooked_chicken: #21, 1(0%)
minecraft.killed.creeper: #21, 24(0%)
minecraft.picked_up.acacia_sapling: #21, 3(0%)
minecraft.used.packed_ice: #21, 27(0%)
minecraft.crafted.mud_bricks: #21, 4(0%)
minecraft.crafted.packed_mud: #21, 5(0%)
minecraft.custom.interact_with_crafting_table: #22, 1334(1%)
minecraft.picked_up.crafting_table: #22, 116(1%)
minecraft.used.dirt: #22, 10881(2%)
minecraft.custom.swim_one_cm: #22, 1701360(1%)
minecraft.mined.grass: #22, 1014(1%)
minecraft.picked_up.gravel: #22, 6192(1%)
minecraft.used.chest: #22, 437(1%)
minecraft.crafted.oak_planks: #22, 2340(1%)
minecraft.custom.interact_with_grindstone: #22, 15(1%)
minecraft.crafted.oak_fence: #22, 54(1%)
minecraft.mined.chest: #22, 137(1%)
minecraft.mined.dandelion: #22, 40(1%)
minecraft.used.stone: #22, 6901(1%)
minecraft.mined.lapis_ore: #22, 41(1%)
minecraft.mined.lilac: #22, 5(1%)
minecraft.used.red_shulker_box: #22, 87(1%)
minecraft.used.item_frame: #22, 83(1%)
minecraft.picked_up.red_shulker_box: #22, 78(1%)
minecraft.mined.red_shulker_box: #22, 77(1%)
minecraft.mined.deepslate: #22, 9300(1%)
minecraft.crafted.diamond_leggings: #22, 2(1%)
minecraft.mined.player_head: #22, 7(1%)
minecraft.used.bucket: #22, 630(1%)
minecraft.used.iron_block: #22, 328(1%)
minecraft.picked_up.diorite: #22, 974(0%)
minecraft.picked_up.barrel: #22, 20(1%)
minecraft.picked_up.golden_leggings: #22, 2(1%)
minecraft.crafted.ender_eye: #22, 8(1%)
minecraft.dropped.flint_and_steel: #22, 1(1%)
minecraft.mined.chipped_anvil: #22, 2(1%)
minecraft.used.oak_sign: #22, 15(0%)
minecraft.picked_up.chipped_anvil: #22, 2(1%)
minecraft.mined.diorite: #22, 881(0%)
minecraft.picked_up.granite: #22, 784(0%)
minecraft.picked_up.music_disc_otherside: #22, 1(0%)
minecraft.mined.oak_wall_sign: #22, 3(0%)
minecraft.used.polished_andesite: #22, 130(0%)
minecraft.used.observer: #22, 85(0%)
minecraft.mined.granite: #22, 729(0%)
minecraft.picked_up.iron_chestplate: #22, 2(0%)
minecraft.dropped.barrel: #22, 1(0%)
minecraft.used.dark_oak_boat: #22, 2(0%)
minecraft.mined.seagrass: #22, 18(0%)
minecraft.dropped.tuff: #22, 64(0%)
minecraft.picked_up.leather_boots: #22, 4(0%)
minecraft.mined.deepslate_coal_ore: #22, 1(0%)
minecraft.used.cobblestone_slab: #22, 38(0%)
minecraft.crafted.cooked_beef: #22, 14(0%)
minecraft.mined.small_dripleaf: #22, 1(0%)
minecraft.used.comparator: #22, 22(0%)
minecraft.mined.dark_oak_wall_sign: #22, 1(0%)
minecraft.used.scaffolding: #22, 435(0%)
minecraft.killed.cow: #22, 10(0%)
minecraft.picked_up.dandelion: #22, 45(0%)
minecraft.used.rose_bush: #22, 2(0%)
minecraft.picked_up.sugar_cane: #22, 239(0%)
minecraft.used.stone_brick_stairs: #22, 10(0%)
minecraft.mined.scaffolding: #22, 94(0%)
minecraft.picked_up.white_dye: #22, 4(0%)
minecraft.mined.dead_bush: #22, 4(0%)
minecraft.crafted.raw_iron: #22, 27(0%)
minecraft.picked_up.warped_stem: #22, 20(0%)
minecraft.custom.play_time: #23, 33093305(1%)
minecraft.custom.total_world_time: #23, 33093305(1%)
minecraft.picked_up.mangrove_slab: #22, 1(0%)
minecraft.dropped.azalea: #22, 1(0%)
minecraft.crafted.compass: #22, 11(0%)
minecraft.picked_up.packed_mud: #22, 1(0%)
minecraft.used.nether_wart_block: #22, 2(0%)
minecraft.mined.warped_planks: #22, 4(0%)
minecraft.used.pumpkin: #22, 7(0%)
minecraft.dropped.scaffolding: #22, 4(0%)
minecraft.picked_up.peony: #22, 3(0%)
minecraft.used.mangrove_slab: #22, 1(0%)
minecraft.picked_up.stripped_warped_stem: #22, 4(0%)
minecraft.dropped.sweet_berries: #22, 1(0%)
minecraft.mined.gray_carpet: #22, 2(0%)
minecraft.used.mud_bricks: #22, 2(0%)
minecraft.crafted.white_wool: #22, 6(0%)
minecraft.killed.cave_spider: #22, 3(0%)
minecraft.killed.witch: #22, 1(0%)
minecraft.custom.jump: #23, 144550(1%)
minecraft.custom.sprint_one_cm: #23, 38323866(1%)
minecraft.custom.open_chest: #23, 11724(1%)
minecraft.custom.walk_one_cm: #23, 34433679(1%)
minecraft.custom.walk_on_water_one_cm: #23, 891212(1%)
minecraft.custom.walk_under_water_one_cm: #23, 1788879(1%)
minecraft.crafted.torch: #23, 2060(1%)
minecraft.crafted.diamond_pickaxe: #23, 4(1%)
minecraft.used.furnace: #23, 40(1%)
minecraft.picked_up.chest: #23, 152(1%)
minecraft.custom.interact_with_anvil: #23, 73(1%)
minecraft.crafted.chest: #23, 455(1%)
minecraft.used.water_bucket: #23, 488(1%)
minecraft.picked_up.bow: #23, 31(0%)
minecraft.picked_up.writable_book: #23, 2(1%)
minecraft.killed.phantom: #23, 6(1%)
minecraft.mined.barrel: #23, 18(1%)
minecraft.killed.spider: #23, 12(0%)
minecraft.mined.redstone_wire: #23, 73(0%)
minecraft.used.bow: #23, 276(0%)
minecraft.picked_up.glow_berries: #23, 30(0%)
minecraft.used.repeater: #23, 88(0%)
minecraft.mined.oak_fence: #23, 8(0%)
minecraft.picked_up.deepslate_lapis_ore: #23, 11(0%)
minecraft.picked_up.iron_sword: #23, 1(0%)
minecraft.picked_up.deepslate_redstone_ore: #23, 58(0%)
minecraft.picked_up.andesite: #23, 852(0%)
minecraft.picked_up.iron_leggings: #23, 2(0%)
minecraft.mined.redstone_wall_torch: #23, 6(0%)
minecraft.used.chipped_anvil: #23, 1(0%)
minecraft.crafted.white_dye: #23, 329(0%)
minecraft.crafted.mangrove_planks: #23, 108(0%)
minecraft.crafted.lever: #23, 18(0%)
minecraft.used.sunflower: #23, 1(0%)
minecraft.picked_up.poppy: #23, 78(0%)
minecraft.killed.skeleton: #23, 232(0%)
minecraft.picked_up.iron_boots: #23, 2(0%)
minecraft.mined.black_shulker_box: #23, 13(0%)
minecraft.picked_up.black_shulker_box: #23, 13(0%)
minecraft.crafted.spruce_sign: #23, 6(0%)
minecraft.crafted.oak_boat: #23, 1(0%)
minecraft.picked_up.flint_and_steel: #23, 3(0%)
minecraft.custom.inspect_dispenser: #23, 67(0%)
minecraft.crafted.stone_sword: #23, 1(0%)
minecraft.killed.piglin: #23, 5(0%)
minecraft.used.dropper: #23, 19(0%)
minecraft.picked_up.cooked_beef: #23, 11(0%)
minecraft.crafted.bone_meal: #23, 4496(0%)
minecraft.crafted.shears: #23, 15(0%)
minecraft.used.hopper_minecart: #23, 3(0%)
minecraft.mined.sugar_cane: #23, 105(0%)
minecraft.picked_up.stone_slab: #23, 26(0%)
minecraft.picked_up.lapis_ore: #23, 3(0%)
minecraft.crafted.powered_rail: #23, 42(0%)
minecraft.mined.clay: #23, 139(0%)
minecraft.used.sugar_cane: #23, 15(0%)
minecraft.used.sticky_piston: #23, 19(0%)
minecraft.picked_up.glow_ink_sac: #23, 13(0%)
minecraft.crafted.cyan_dye: #23, 44(0%)
minecraft.crafted.light_gray_dye: #23, 32(0%)
minecraft.picked_up.warped_nylium: #23, 8(0%)
minecraft.dropped.bone_meal: #23, 26(0%)
minecraft.crafted.gray_carpet: #23, 30(0%)
minecraft.mined.stone_slab: #23, 15(0%)
minecraft.crafted.flower_pot: #23, 6(0%)
minecraft.used.glow_ink_sac: #23, 3(0%)
minecraft.used.glowstone: #23, 8(0%)
minecraft.mined.stone_brick_stairs: #23, 2(0%)
minecraft.dropped.coal_ore: #23, 3(0%)
minecraft.mined.polished_blackstone_bricks: #23, 36(0%)
minecraft.crafted.hopper_minecart: #23, 3(0%)
minecraft.picked_up.gunpowder: #23, 59(0%)
minecraft.picked_up.acacia_log: #23, 21(0%)
minecraft.crafted.leather_boots: #23, 1(0%)
minecraft.used.gray_carpet: #23, 30(0%)
minecraft.killed.zombie: #23, 88(0%)
minecraft.mined.polished_andesite_slab: #23, 2(0%)
minecraft.picked_up.spider_eye: #23, 26(0%)
minecraft.picked_up.polished_blackstone_bricks: #23, 21(0%)
minecraft.mined.gold_block: #23, 2(0%)
minecraft.mined.pointed_dripstone: #23, 1(0%)
minecraft.mined.light_gray_shulker_box: #23, 1(0%)
minecraft.used.light_gray_shulker_box: #23, 1(0%)
minecraft.picked_up.light_gray_shulker_box: #23, 1(0%)
minecraft.picked_up.warped_fungus: #23, 3(0%)
minecraft.mined.gray_shulker_box: #23, 1(0%)
minecraft.picked_up.gray_shulker_box: #23, 1(0%)
minecraft.used.gray_shulker_box: #23, 1(0%)
minecraft.mined.brown_mushroom: #23, 1(0%)
minecraft.picked_up.sandstone: #23, 56(0%)
minecraft.picked_up.sculk_sensor: #23, 1(0%)
minecraft.picked_up.cooked_chicken: #23, 1(0%)
minecraft.mined.sandstone: #23, 47(0%)
minecraft.used.spruce_leaves: #23, 7(0%)
minecraft.mined.sculk_sensor: #23, 1(0%)
minecraft.dropped.poppy: #23, 10(0%)
minecraft.custom.fall_one_cm: #24, 2728259(1%)
minecraft.custom.interact_with_furnace: #24, 638(1%)
minecraft.dropped.diamond_shovel: #24, 2(1%)
