stat, rank, value, (percentage) 
minecraft.used.deepslate_tile_stairs: #6, 717(6%)
minecraft.crafted.stripped_oak_wood: #5, 21(4%)
minecraft.dropped.mangrove_fence: #5, 1(5%)
minecraft.used.waxed_exposed_cut_copper_stairs: #5, 16(2%)
minecraft.crafted.cut_copper: #6, 128(8%)
minecraft.used.axolotl_bucket: #6, 35(6%)
minecraft.picked_up.waxed_weathered_cut_copper_stairs: #5, 10(2%)
minecraft.crafted.bell: #5, 6(2%)
minecraft.mined.waxed_weathered_cut_copper_stairs: #5, 10(2%)
minecraft.picked_up.cherry_door: #5, 1(3%)
minecraft.crafted.white_terracotta: #6, 732(6%)
minecraft.used.golden_hoe: #5, 12(2%)
minecraft.crafted.cyan_glazed_terracotta: #5, 12(1%)
minecraft.dropped.pumpkin_pie: #6, 256(4%)
minecraft.dropped.light_blue_wool: #5, 64(1%)
minecraft.crafted.deepslate_tiles: #6, 962(4%)
minecraft.dropped.oak_leaves: #6, 144(4%)
minecraft.picked_up.apple: #6, 272(4%)
minecraft.dropped.mangrove_pressure_plate: #5, 1(1%)
minecraft.mined.red_mushroom_block: #6, 3174(4%)
minecraft.crafted.deepslate_tile_slab: #6, 198(5%)
minecraft.picked_up.flint: #6, 603(3%)
minecraft.dropped.iron_ingot: #6, 577(3%)
minecraft.broken.golden_pickaxe: #6, 2(11%)
minecraft.mined.crimson_fungus: #6, 64(4%)
minecraft.crafted.spruce_slab: #7, 4300(6%)
minecraft.mined.cobblestone_wall: #6, 54(3%)
minecraft.crafted.stone_brick_wall: #6, 252(4%)
minecraft.picked_up.ladder: #7, 413(6%)
minecraft.crafted.jungle_fence: #6, 102(6%)
minecraft.crafted.amethyst_block: #6, 352(6%)
minecraft.picked_up.dark_oak_planks: #7, 995(5%)
minecraft.broken.stone_pickaxe: #6, 3(4%)
minecraft.used.medium_amethyst_bud: #6, 33(4%)
minecraft.mined.mossy_stone_brick_slab: #6, 5(5%)
minecraft.used.crimson_button: #6, 4(8%)
minecraft.crafted.cauldron: #6, 134(3%)
minecraft.picked_up.medium_amethyst_bud: #6, 81(4%)
minecraft.picked_up.nether_wart_block: #7, 3116(7%)
minecraft.dropped.chainmail_helmet: #6, 5(4%)
minecraft.crafted.cherry_door: #6, 3(8%)
minecraft.used.dark_oak_slab: #6, 778(2%)
minecraft.crafted.green_bed: #6, 2(4%)
minecraft.crafted.sandstone: #6, 1056(3%)
minecraft.mined.purple_stained_glass_pane: #6, 18(6%)
minecraft.killed.guardian: #6, 9(4%)
minecraft.dropped.deepslate_copper_ore: #6, 8(5%)
minecraft.picked_up.poisonous_potato: #7, 13(7%)
minecraft.used.dark_oak_leaves: #6, 205(4%)
minecraft.used.dark_oak_pressure_plate: #6, 4(6%)
minecraft.crafted.dark_oak_pressure_plate: #6, 8(3%)
minecraft.picked_up.oak_leaves: #6, 1857(2%)
minecraft.dropped.mangrove_stairs: #6, 1(8%)
minecraft.mined.prismarine_wall: #6, 2(6%)
minecraft.mined.green_terracotta: #6, 280(2%)
minecraft.crafted.acacia_button: #7, 29(8%)
minecraft.crafted.acacia_boat: #6, 3(4%)
minecraft.crafted.ender_pearl: #6, 26(6%)
minecraft.used.jungle_fence: #6, 41(4%)
minecraft.used.azure_bluet: #6, 25(2%)
