stat, rank, value, (percentage) 
minecraft.used.stripped_jungle_wood: #1, 343(39%)
minecraft.used.stripped_bamboo_block: #1, 57(61%)
minecraft.dropped.warped_sign: #1, 64(47%)
minecraft.crafted.raw_gold: #1, 1818(23%)
minecraft.picked_up.pumpkin: #2, 5128(16%)
minecraft.dropped.tube_coral_fan: #1, 64(84%)
minecraft.picked_up.mangrove_button: #1, 24(42%)
minecraft.dropped.oxeye_daisy: #1, 72(26%)
minecraft.mined.spore_blossom: #1, 75(17%)
minecraft.used.brick_wall: #1, 298(38%)
minecraft.mined.wheat: #2, 5666(17%)
minecraft.dropped.bubble_coral_fan: #1, 69(52%)
minecraft.dropped.warped_trapdoor: #1, 65(46%)
minecraft.mined.green_banner: #1, 29(69%)
minecraft.dropped.oak_slab: #1, 88(21%)
minecraft.crafted.stick: #1, 40315(11%)
minecraft.dropped.blue_concrete_powder: #1, 110(41%)
minecraft.picked_up.andesite_wall: #1, 581(28%)
minecraft.crafted.diorite_stairs: #1, 352(37%)
minecraft.picked_up.snow_block: #2, 16563(17%)
minecraft.picked_up.brain_coral_block: #1, 884(34%)
minecraft.picked_up.green_banner: #1, 60(41%)
minecraft.crafted.cobbled_deepslate_wall: #1, 384(37%)
minecraft.mined.attached_pumpkin_stem: #1, 13(37%)
minecraft.used.diamond_axe: #1, 141446(11%)
minecraft.crafted.orange_stained_glass: #1, 6272(27%)
minecraft.used.moss_block: #2, 32702(17%)
minecraft.mined.birch_stairs: #1, 80(24%)
minecraft.crafted.green_banner: #1, 280(37%)
minecraft.crafted.gray_dye: #1, 5090(15%)
minecraft.crafted.comparator: #2, 2413(20%)
minecraft.dropped.oak_trapdoor: #1, 71(27%)
minecraft.dropped.white_stained_glass_pane: #1, 172(40%)
minecraft.picked_up.black_candle: #1, 126(80%)
minecraft.picked_up.quartz_slab: #1, 643(19%)
minecraft.picked_up.goat_horn: #2, 51(18%)
minecraft.picked_up.cherry_sapling: #1, 664(20%)
minecraft.used.jungle_fence: #1, 423(40%)
minecraft.dropped.mangrove_button: #1, 31(56%)
minecraft.picked_up.gray_stained_glass: #1, 334(21%)
minecraft.crafted.granite_stairs: #1, 68(33%)
minecraft.picked_up.birch_fence: #2, 560(22%)
minecraft.picked_up.red_candle: #1, 126(26%)
minecraft.used.smooth_quartz: #2, 5696(18%)
minecraft.crafted.smooth_sandstone_slab: #1, 732(35%)
minecraft.crafted.brick_wall: #1, 259(35%)
minecraft.crafted.acacia_stairs: #1, 296(32%)
minecraft.used.mangrove_button: #1, 33(29%)
minecraft.mined.light_gray_stained_glass_pane: #2, 94(28%)
minecraft.dropped.netherite_hoe: #1, 7(29%)
minecraft.used.diorite_wall: #2, 1125(30%)
minecraft.crafted.jungle_stairs: #1, 496(34%)
