stat, rank, value, (percentage) 
minecraft.mined.big_dripleaf: #19, 4(1%)
minecraft.used.spruce_boat: #19, 8(1%)
minecraft.picked_up.yellow_shulker_box: #19, 48(1%)
minecraft.used.yellow_shulker_box: #19, 47(1%)
minecraft.broken.iron_axe: #19, 1(1%)
minecraft.mined.emerald_ore: #19, 7(1%)
minecraft.crafted.stone_hoe: #19, 1(1%)
minecraft.picked_up.chainmail_boots: #19, 1(1%)
minecraft.picked_up.big_dripleaf: #19, 22(0%)
minecraft.mined.oak_wall_sign: #19, 4(0%)
minecraft.picked_up.firework_rocket: #19, 1657(0%)
minecraft.used.oak_stairs: #19, 14(0%)
minecraft.crafted.painting: #19, 3(0%)
minecraft.used.birch_log: #19, 65(0%)
minecraft.picked_up.quartz_bricks: #19, 2(0%)
minecraft.dropped.rail: #19, 16(0%)
minecraft.picked_up.bee_nest: #19, 2(0%)
minecraft.crafted.cooked_beef: #19, 15(0%)
minecraft.used.cauldron: #19, 6(0%)
minecraft.dropped.name_tag: #19, 1(0%)
minecraft.crafted.cauldron: #19, 4(0%)
minecraft.used.deepslate_iron_ore: #19, 3(0%)
minecraft.killed.blaze: #19, 7(0%)
minecraft.picked_up.gold_nugget: #19, 220(0%)
minecraft.picked_up.iron_pickaxe: #20, 2(1%)
minecraft.picked_up.stone_pickaxe: #20, 2(1%)
minecraft.picked_up.bone: #20, 570(1%)
minecraft.picked_up.iron_sword: #20, 2(1%)
minecraft.used.spruce_slab: #20, 294(1%)
minecraft.picked_up.deepslate: #20, 2182(0%)
minecraft.mined.sugar_cane: #20, 264(0%)
minecraft.killed.magma_cube: #20, 39(0%)
minecraft.mined.spruce_wall_sign: #20, 2(0%)
minecraft.crafted.oak_stairs: #20, 16(0%)
minecraft.used.sugar_cane: #20, 37(0%)
minecraft.crafted.yellow_shulker_box: #20, 1(0%)
minecraft.picked_up.stone_sword: #20, 2(0%)
minecraft.picked_up.cauldron: #20, 2(0%)
minecraft.used.dark_oak_slab: #20, 71(0%)
minecraft.mined.small_dripleaf: #20, 1(0%)
minecraft.dropped.lever: #20, 1(0%)
minecraft.crafted.smooth_quartz: #20, 32(0%)
minecraft.mined.cobbled_deepslate_slab: #20, 7(0%)
minecraft.crafted.book: #20, 1(0%)
minecraft.crafted.red_wool: #20, 3(0%)
minecraft.used.light_gray_stained_glass: #20, 4(0%)
minecraft.crafted.wooden_pickaxe: #21, 1(2%)
minecraft.used.ladder: #21, 121(1%)
minecraft.crafted.iron_axe: #21, 4(1%)
minecraft.used.enchanting_table: #21, 1(1%)
minecraft.used.iron_axe: #21, 263(1%)
minecraft.crafted.coarse_dirt: #21, 280(1%)
minecraft.mined.peony: #21, 2(1%)
minecraft.mined.cobbled_deepslate: #21, 115(1%)
minecraft.dropped.spruce_log: #21, 51(1%)
minecraft.used.bamboo: #21, 40(0%)
minecraft.used.deepslate: #21, 550(0%)
minecraft.mined.glowstone: #21, 31(0%)
minecraft.crafted.white_bed: #21, 3(0%)
minecraft.picked_up.sugar_cane: #21, 519(0%)
minecraft.crafted.spruce_sign: #21, 6(0%)
minecraft.mined.oak_stairs: #21, 4(0%)
minecraft.mined.oak_sapling: #21, 3(0%)
minecraft.used.cobbled_deepslate_slab: #21, 41(0%)
minecraft.crafted.leather_boots: #21, 2(0%)
minecraft.used.white_dye: #21, 2(0%)
minecraft.used.podzol: #21, 4(0%)
minecraft.picked_up.allium: #21, 3(0%)
minecraft.picked_up.cobbled_deepslate_slab: #21, 8(0%)
minecraft.mined.end_stone: #21, 3(0%)
minecraft.picked_up.end_stone: #21, 3(0%)
minecraft.mined.acacia_leaves: #21, 1(0%)
minecraft.crafted.air: #21, 0(0%)
minecraft.picked_up.diamond: #22, 395(1%)
minecraft.custom.enchant_item: #22, 19(1%)
minecraft.picked_up.bow: #22, 40(1%)
minecraft.dropped.iron_pickaxe: #22, 1(1%)
minecraft.mined.nether_quartz_ore: #22, 492(1%)
minecraft.mined.spruce_stairs: #22, 29(1%)
minecraft.picked_up.oak_sign: #22, 15(1%)
minecraft.used.spruce_planks: #22, 378(1%)
minecraft.mined.rose_bush: #22, 3(1%)
minecraft.killed.sheep: #22, 6(1%)
minecraft.picked_up.oak_sapling: #22, 214(0%)
minecraft.mined.dark_oak_stairs: #22, 12(1%)
minecraft.picked_up.spruce_sapling: #22, 106(0%)
minecraft.picked_up.birch_sapling: #22, 105(0%)
minecraft.crafted.spruce_slab: #22, 288(0%)
minecraft.mined.spruce_slab: #22, 38(0%)
minecraft.picked_up.leather_leggings: #22, 2(0%)
minecraft.killed.enderman: #22, 2945(0%)
minecraft.picked_up.poppy: #22, 93(0%)
minecraft.picked_up.mutton: #22, 8(0%)
minecraft.mined.white_shulker_box: #22, 13(0%)
minecraft.picked_up.white_shulker_box: #22, 13(0%)
minecraft.picked_up.oak_stairs: #22, 4(0%)
minecraft.mined.bone_block: #22, 9(0%)
minecraft.crafted.flower_pot: #22, 6(0%)
minecraft.picked_up.campfire: #22, 1(0%)
minecraft.used.red_bed: #22, 1(0%)
minecraft.picked_up.stripped_oak_log: #22, 8(0%)
minecraft.used.yellow_wool: #22, 5(0%)
minecraft.mined.stripped_oak_log: #22, 7(0%)
minecraft.crafted.glowstone: #22, 5(0%)
minecraft.mined.sculk_sensor: #22, 1(0%)
minecraft.crafted.diamond_sword: #23, 2(1%)
minecraft.crafted.stone_pickaxe: #23, 2(1%)
minecraft.used.writable_book: #23, 47(1%)
minecraft.picked_up.cobbled_deepslate: #23, 6465(1%)
minecraft.mined.deepslate: #23, 8526(1%)
minecraft.picked_up.arrow: #23, 462(0%)
minecraft.mined.furnace: #23, 16(1%)
minecraft.used.cobbled_deepslate: #23, 572(1%)
minecraft.mined.deepslate_diamond_ore: #23, 161(0%)
minecraft.picked_up.spruce_stairs: #23, 29(0%)
minecraft.crafted.oak_sign: #23, 15(1%)
minecraft.picked_up.golden_chestplate: #23, 2(1%)
minecraft.mined.spruce_log: #23, 941(0%)
minecraft.crafted.spruce_door: #23, 3(0%)
minecraft.picked_up.leather_chestplate: #23, 3(0%)
minecraft.crafted.diamond_chestplate: #23, 1(0%)
minecraft.crafted.white_shulker_box: #23, 1(0%)
minecraft.dropped.iron_ingot: #23, 47(0%)
