stat, rank, value, (percentage) 
minecraft.picked_up.brown_terracotta: #16, 246(0%)
minecraft.used.red_bed: #16, 4(0%)
minecraft.used.bone_block: #16, 88(0%)
minecraft.mined.gray_stained_glass: #16, 2(0%)
minecraft.dropped.gunpowder: #16, 76(0%)
minecraft.crafted.brown_terracotta: #16, 12(0%)
minecraft.mined.oxidized_cut_copper: #16, 1(0%)
minecraft.picked_up.blue_shulker_box: #16, 8(0%)
minecraft.used.blue_shulker_box: #16, 8(0%)
minecraft.mined.blue_shulker_box: #16, 8(0%)
minecraft.picked_up.orange_concrete: #16, 18(0%)
minecraft.used.light_gray_terracotta: #16, 16(0%)
minecraft.used.light_blue_wool: #16, 17(0%)
minecraft.picked_up.lily_of_the_valley: #16, 5(0%)
minecraft.dropped.raw_copper: #16, 12(0%)
minecraft.dropped.snow_block: #16, 19(0%)
minecraft.dropped.cobblestone_slab: #16, 2(0%)
minecraft.picked_up.brown_concrete: #16, 3(0%)
minecraft.picked_up.stripped_dark_oak_wood: #16, 2(0%)
minecraft.picked_up.paper: #16, 40(0%)
minecraft.used.brown_carpet: #16, 8(0%)
minecraft.crafted.quartz_pillar: #16, 12(0%)
minecraft.picked_up.medium_amethyst_bud: #16, 1(0%)
minecraft.crafted.black_wool: #16, 7(0%)
minecraft.used.stripped_warped_hyphae: #16, 1(0%)
minecraft.dropped.slime_block: #16, 1(0%)
minecraft.dropped.ice: #16, 1(0%)
minecraft.used.dirt: #17, 14868(2%)
minecraft.custom.open_enderchest: #17, 1841(2%)
minecraft.custom.interact_with_stonecutter: #17, 211(2%)
minecraft.dropped.diamond_boots: #17, 4(2%)
minecraft.picked_up.diamond_sword: #17, 20(1%)
minecraft.mined.dark_oak_log: #17, 3161(2%)
minecraft.mined.deepslate_redstone_ore: #17, 616(2%)
minecraft.used.sunflower: #17, 5(2%)
minecraft.used.coal_ore: #17, 368(1%)
minecraft.used.brewing_stand: #17, 8(2%)
minecraft.dropped.golden_carrot: #17, 113(1%)
minecraft.picked_up.glow_ink_sac: #17, 170(1%)
minecraft.mined.black_shulker_box: #17, 61(1%)
minecraft.picked_up.black_shulker_box: #17, 62(1%)
minecraft.used.stone_brick_stairs: #17, 131(1%)
minecraft.used.diamond_hoe: #17, 6317(1%)
minecraft.picked_up.netherrack: #17, 10180(1%)
minecraft.used.black_shulker_box: #17, 61(1%)
minecraft.picked_up.acacia_button: #17, 1(2%)
minecraft.picked_up.wheat: #17, 479(1%)
minecraft.crafted.armor_stand: #17, 33(1%)
minecraft.used.iron_ore: #17, 121(1%)
minecraft.used.wheat_seeds: #17, 556(1%)
minecraft.mined.shroomlight: #17, 51(1%)
minecraft.picked_up.white_shulker_box: #17, 59(1%)
minecraft.mined.white_shulker_box: #17, 57(1%)
minecraft.used.white_shulker_box: #17, 57(1%)
minecraft.mined.lime_shulker_box: #17, 30(1%)
minecraft.picked_up.lime_shulker_box: #17, 30(1%)
minecraft.used.lime_shulker_box: #17, 29(1%)
minecraft.picked_up.deepslate_gold_ore: #17, 55(1%)
minecraft.crafted.lapis_block: #17, 80(1%)
minecraft.picked_up.campfire: #17, 15(1%)
minecraft.mined.observer: #17, 63(1%)
minecraft.used.jungle_log: #17, 64(1%)
minecraft.picked_up.amethyst_shard: #17, 1061(1%)
minecraft.dropped.red_shulker_box: #17, 1(1%)
minecraft.dropped.tuff: #17, 157(1%)
minecraft.mined.candle: #17, 1(1%)
minecraft.dropped.shulker_box: #17, 7(1%)
minecraft.picked_up.gray_concrete: #17, 222(1%)
minecraft.picked_up.soul_soil: #17, 175(1%)
minecraft.crafted.shears: #17, 54(0%)
minecraft.used.dark_oak_stairs: #17, 66(0%)
minecraft.mined.gray_concrete: #17, 219(1%)
minecraft.mined.soul_soil: #17, 181(1%)
minecraft.used.white_concrete: #17, 342(0%)
minecraft.crafted.lightning_rod: #17, 21(1%)
minecraft.picked_up.mangrove_sign: #17, 1(1%)
minecraft.used.gray_concrete: #17, 176(0%)
minecraft.used.stone_button: #17, 62(0%)
minecraft.crafted.gray_concrete_powder: #17, 256(0%)
minecraft.crafted.polished_deepslate_stairs: #17, 12(0%)
minecraft.mined.bookshelf: #17, 60(0%)
minecraft.used.snow_block: #17, 429(0%)
minecraft.crafted.polished_granite: #17, 64(0%)
minecraft.dropped.brown_terracotta: #17, 3(0%)
minecraft.picked_up.stone_brick_wall: #17, 5(0%)
minecraft.used.cornflower: #17, 1(0%)
minecraft.dropped.dark_oak_sapling: #17, 5(0%)
minecraft.mined.light_gray_stained_glass_pane: #17, 1(0%)
minecraft.crafted.acacia_button: #17, 1(0%)
minecraft.used.gray_wool: #17, 39(0%)
minecraft.crafted.jungle_planks: #17, 208(0%)
minecraft.mined.acacia_wood: #17, 1(0%)
minecraft.mined.gray_carpet: #17, 16(0%)
minecraft.picked_up.light_gray_stained_glass_pane: #17, 2(0%)
minecraft.mined.soul_lantern: #17, 1(0%)
minecraft.crafted.yellow_concrete_powder: #17, 24(0%)
minecraft.mined.cyan_concrete: #17, 16(0%)
minecraft.used.light_gray_wool: #17, 25(0%)
minecraft.mined.stripped_spruce_wood: #17, 2(0%)
minecraft.used.light_gray_stained_glass_pane: #17, 2(0%)
minecraft.crafted.map: #17, 12(0%)
minecraft.picked_up.red_stained_glass: #17, 3(0%)
minecraft.picked_up.lime_stained_glass: #17, 2(0%)
minecraft.dropped.soul_soil: #17, 1(0%)
minecraft.dropped.paper: #17, 12(0%)
minecraft.picked_up.coal_ore: #18, 900(2%)
minecraft.picked_up.lapis_lazuli: #18, 1291(1%)
minecraft.mined.furnace: #18, 37(1%)
minecraft.mined.vine: #18, 174(1%)
minecraft.mined.iron_block: #18, 411(1%)
minecraft.picked_up.flowering_azalea: #18, 104(1%)
minecraft.custom.bell_ring: #18, 37(1%)
minecraft.picked_up.composter: #18, 26(1%)
minecraft.mined.dark_oak_slab: #18, 31(1%)
minecraft.custom.inspect_dispenser: #18, 312(1%)
minecraft.dropped.dirt: #18, 755(1%)
minecraft.picked_up.carved_pumpkin: #18, 161(1%)
minecraft.picked_up.shroomlight: #18, 50(1%)
minecraft.crafted.spruce_boat: #18, 3(1%)
minecraft.mined.grindstone: #18, 4(1%)
minecraft.mined.netherrack: #18, 10578(1%)
minecraft.used.acacia_button: #18, 2(1%)
minecraft.crafted.dark_oak_stairs: #18, 76(1%)
minecraft.picked_up.observer: #18, 63(1%)
minecraft.crafted.birch_slab: #18, 48(1%)
minecraft.picked_up.polished_andesite_stairs: #18, 14(1%)
minecraft.used.cake: #18, 1(1%)
minecraft.picked_up.dandelion: #18, 152(0%)
minecraft.crafted.oak_wood: #18, 42(1%)
minecraft.picked_up.nether_wart_block: #18, 209(0%)
minecraft.picked_up.oak_button: #18, 1(1%)
minecraft.used.cobblestone_wall: #18, 30(0%)
minecraft.used.armor_stand: #18, 10(0%)
minecraft.crafted.gray_carpet: #18, 96(0%)
minecraft.crafted.acacia_slab: #18, 12(0%)
minecraft.picked_up.cartography_table: #18, 1(0%)
minecraft.picked_up.netherite_helmet: #18, 1(0%)
minecraft.used.gray_concrete_powder: #18, 152(0%)
minecraft.picked_up.netherite_sword: #18, 1(0%)
minecraft.picked_up.bread: #18, 32(0%)
minecraft.picked_up.mangrove_trapdoor: #18, 6(0%)
minecraft.dropped.birch_log: #18, 7(0%)
minecraft.mined.yellow_concrete: #18, 31(0%)
minecraft.used.yellow_concrete_powder: #18, 40(0%)
minecraft.picked_up.glass_pane: #18, 5(0%)
minecraft.mined.chiseled_stone_bricks: #18, 3(0%)
minecraft.used.white_stained_glass: #18, 62(0%)
minecraft.picked_up.oxidized_cut_copper: #18, 1(0%)
minecraft.custom.interact_with_cartography_table: #18, 1(0%)
minecraft.picked_up.cyan_concrete: #18, 16(0%)
minecraft.crafted.wheat: #18, 117(0%)
minecraft.used.black_concrete: #18, 116(0%)
minecraft.dropped.spruce_leaves: #18, 4(0%)
minecraft.mined.white_stained_glass: #18, 8(0%)
minecraft.crafted.gray_stained_glass: #18, 40(0%)
minecraft.picked_up.black_wool: #18, 17(0%)
minecraft.crafted.yellow_terracotta: #18, 12(0%)
minecraft.used.azure_bluet: #18, 1(0%)
minecraft.mined.light_gray_carpet: #18, 3(0%)
minecraft.mined.large_amethyst_bud: #18, 1(0%)
minecraft.dropped.quartz: #18, 6(0%)
minecraft.used.oxidized_copper: #18, 10(0%)
minecraft.picked_up.cobweb: #18, 3(0%)
minecraft.picked_up.orange_stained_glass: #18, 2(0%)
minecraft.mined.medium_amethyst_bud: #18, 1(0%)
minecraft.used.dark_oak_wood: #18, 3(0%)
minecraft.used.soul_soil: #18, 5(0%)
minecraft.picked_up.green_wool: #18, 3(0%)
minecraft.dropped.gold_nugget: #18, 6(0%)
minecraft.dropped.pumpkin: #18, 2(0%)
minecraft.custom.deaths: #19, 128(2%)
minecraft.dropped.elytra: #19, 8(2%)
minecraft.custom.aviate_one_cm: #19, 372165674(2%)
minecraft.custom.damage_taken: #19, 165884(1%)
minecraft.mined.torch: #19, 473(2%)
minecraft.used.diamond_pickaxe: #19, 114740(1%)
minecraft.picked_up.stone: #19, 49499(2%)
minecraft.crafted.diamond_axe: #19, 3(2%)
minecraft.crafted.iron_ingot: #19, 6722(1%)
minecraft.dropped.redstone_block: #19, 35(1%)
minecraft.dropped.netherite_leggings: #19, 1(2%)
minecraft.mined.birch_log: #19, 1146(1%)
minecraft.dropped.grass_block: #19, 323(1%)
minecraft.killed.wandering_trader: #19, 2(1%)
minecraft.picked_up.written_book: #19, 6(1%)
minecraft.mined.spruce_slab: #19, 91(1%)
minecraft.mined.dark_oak_planks: #19, 73(1%)
minecraft.mined.budding_amethyst: #19, 4(1%)
minecraft.used.elytra: #19, 8(1%)
minecraft.picked_up.music_disc_cat: #19, 4(1%)
minecraft.picked_up.spruce_slab: #19, 96(1%)
minecraft.crafted.spruce_slab: #19, 492(1%)
minecraft.mined.redstone_wire: #19, 109(1%)
minecraft.mined.smooth_basalt: #19, 161(1%)
minecraft.used.composter: #19, 37(1%)
minecraft.picked_up.deepslate_lapis_ore: #19, 18(1%)
minecraft.mined.stone_brick_stairs: #19, 18(1%)
minecraft.mined.repeater: #19, 30(1%)
minecraft.dropped.ender_chest: #19, 2(1%)
minecraft.picked_up.ender_chest: #19, 85(0%)
minecraft.dropped.writable_book: #19, 1(1%)
minecraft.crafted.iron_chestplate: #19, 3(0%)
minecraft.used.grindstone: #19, 7(0%)
minecraft.mined.ender_chest: #19, 80(0%)
minecraft.picked_up.bucket: #19, 9(0%)
minecraft.mined.stone_stairs: #19, 13(1%)
minecraft.used.red_wool: #19, 57(1%)
minecraft.dropped.water_bucket: #19, 2(0%)
minecraft.dropped.lead: #19, 2(0%)
minecraft.picked_up.stone_brick_stairs: #19, 18(1%)
minecraft.mined.brewing_stand: #19, 2(1%)
minecraft.used.glow_item_frame: #19, 13(1%)
minecraft.crafted.pink_shulker_box: #19, 1(1%)
minecraft.crafted.composter: #19, 22(0%)
minecraft.crafted.light_gray_shulker_box: #19, 1(0%)
minecraft.dropped.birch_sapling: #19, 7(0%)
minecraft.mined.birch_sapling: #19, 2(0%)
minecraft.picked_up.nether_gold_ore: #19, 16(0%)
minecraft.dropped.gravel: #19, 183(0%)
minecraft.picked_up.spore_blossom: #19, 2(0%)
minecraft.crafted.light_gray_dye: #19, 94(0%)
minecraft.mined.weeping_vines_plant: #19, 3(0%)
minecraft.used.dark_oak_slab: #19, 96(0%)
minecraft.picked_up.polished_deepslate_stairs: #19, 13(0%)
minecraft.mined.weeping_vines: #19, 4(0%)
minecraft.picked_up.yellow_concrete: #19, 31(0%)
minecraft.dropped.raw_iron: #19, 5(0%)
minecraft.crafted.moss_carpet: #19, 24(0%)
minecraft.used.spore_blossom: #19, 1(0%)
minecraft.picked_up.glow_item_frame: #19, 4(0%)
minecraft.picked_up.candle: #19, 2(0%)
minecraft.picked_up.tropical_fish: #19, 11(0%)
minecraft.crafted.flower_pot: #19, 11(0%)
minecraft.mined.piston_head: #19, 1(0%)
minecraft.crafted.brick: #19, 193(0%)
minecraft.picked_up.acacia_sign: #19, 1(0%)
minecraft.picked_up.bone_meal: #19, 348(0%)
minecraft.dropped.oak_sign: #19, 1(0%)
minecraft.used.stone_brick_slab: #19, 30(0%)
minecraft.dropped.spruce_sapling: #19, 4(0%)
minecraft.picked_up.gray_stained_glass: #19, 2(0%)
minecraft.used.candle: #19, 2(0%)
minecraft.crafted.target: #19, 3(0%)
minecraft.picked_up.acacia_wood: #19, 1(0%)
minecraft.dropped.spruce_slab: #19, 2(0%)
minecraft.dropped.blackstone: #19, 29(0%)
minecraft.used.green_bed: #19, 1(0%)
minecraft.used.warped_nylium: #19, 3(0%)
minecraft.mined.polished_granite_slab: #19, 1(0%)
minecraft.dropped.sugar_cane: #19, 5(0%)
minecraft.killed.chicken: #19, 9(0%)
minecraft.dropped.carrot: #19, 13(0%)
minecraft.mined.light_blue_wool: #19, 1(0%)
minecraft.used.magenta_shulker_box: #19, 1(0%)
minecraft.used.crimson_nylium: #19, 1(0%)
minecraft.picked_up.elytra: #20, 28(2%)
minecraft.dropped.diamond_axe: #20, 4(2%)
minecraft.mined.grass: #20, 1106(1%)
minecraft.picked_up.white_wool: #20, 251(1%)
minecraft.mined.deepslate: #20, 15996(1%)
minecraft.mined.deepslate_lapis_ore: #20, 65(1%)
minecraft.crafted.lectern: #20, 16(1%)
minecraft.used.diamond_shovel: #20, 36056(1%)
minecraft.mined.spruce_fence: #20, 38(1%)
minecraft.dropped.netherite_boots: #20, 1(1%)
minecraft.killed.trader_llama: #20, 4(1%)
minecraft.picked_up.writable_book: #20, 3(1%)
minecraft.used.iron_block: #20, 471(1%)
minecraft.mined.flowering_azalea: #20, 20(1%)
minecraft.custom.pot_flower: #20, 13(1%)
minecraft.picked_up.wheat_seeds: #20, 1825(1%)
minecraft.picked_up.glass: #20, 459(1%)
minecraft.mined.birch_sign: #20, 3(1%)
minecraft.crafted.gray_shulker_box: #20, 2(1%)
minecraft.crafted.item_frame: #20, 52(1%)
minecraft.mined.campfire: #20, 7(1%)
minecraft.mined.cobbled_deepslate: #20, 126(1%)
minecraft.used.flower_pot: #20, 13(1%)
minecraft.used.ender_chest: #20, 98(1%)
minecraft.picked_up.bone_block: #20, 122(1%)
minecraft.mined.cave_vines: #20, 13(1%)
minecraft.picked_up.dark_oak_trapdoor: #20, 26(1%)
minecraft.picked_up.soul_sand: #20, 328(1%)
minecraft.mined.sand: #20, 8671(1%)
minecraft.crafted.smooth_stone: #20, 84(1%)
minecraft.used.dispenser: #20, 36(1%)
minecraft.crafted.stone_bricks: #20, 896(1%)
minecraft.used.diamond_sword: #20, 3905(0%)
minecraft.used.note_block: #20, 26(0%)
minecraft.picked_up.repeater: #20, 42(1%)
minecraft.mined.glass: #20, 90(0%)
minecraft.dropped.crafting_table: #20, 4(0%)
minecraft.killed.squid: #20, 34(0%)
minecraft.dropped.scaffolding: #20, 69(1%)
minecraft.used.deepslate_gold_ore: #20, 25(1%)
minecraft.used.glass: #20, 338(0%)
minecraft.used.basalt: #20, 297(0%)
minecraft.picked_up.brewing_stand: #20, 2(0%)
minecraft.mined.seagrass: #20, 25(0%)
minecraft.picked_up.magma_cream: #20, 18(0%)
minecraft.mined.nether_gold_ore: #20, 30(0%)
minecraft.dropped.totem_of_undying: #20, 4(0%)
minecraft.mined.terracotta: #20, 656(0%)
minecraft.picked_up.nether_quartz_ore: #20, 63(0%)
minecraft.dropped.stone: #20, 801(0%)
minecraft.mined.red_terracotta: #20, 116(0%)
minecraft.crafted.polished_deepslate: #20, 256(0%)
minecraft.used.birch_log: #20, 64(0%)
minecraft.picked_up.netherite_axe: #20, 1(0%)
minecraft.picked_up.mossy_stone_bricks: #20, 5(0%)
minecraft.used.stone_brick_wall: #20, 21(0%)
minecraft.used.copper_ore: #20, 40(0%)
minecraft.crafted.brown_dye: #20, 26(0%)
minecraft.mined.comparator: #20, 5(0%)
minecraft.mined.birch_planks: #20, 29(0%)
minecraft.dropped.leather_leggings: #20, 1(0%)
minecraft.picked_up.spruce_leaves: #20, 140(0%)
minecraft.picked_up.white_concrete: #20, 130(0%)
minecraft.crafted.copper_block: #20, 136(0%)
minecraft.crafted.stone_button: #20, 48(0%)
minecraft.picked_up.white_dye: #20, 8(0%)
minecraft.mined.white_concrete: #20, 131(0%)
minecraft.mined.smooth_stone: #20, 12(0%)
minecraft.picked_up.yellow_wool: #20, 11(0%)
minecraft.dropped.moss_carpet: #20, 21(0%)
minecraft.crafted.pink_dye: #20, 40(0%)
minecraft.mined.oxidized_copper: #20, 38(0%)
minecraft.picked_up.oxidized_copper: #20, 38(0%)
minecraft.mined.crimson_planks: #20, 3(0%)
minecraft.used.smooth_stone: #20, 26(0%)
minecraft.dropped.snow: #20, 11(0%)
minecraft.mined.gray_shulker_box: #20, 3(0%)
minecraft.picked_up.gray_shulker_box: #20, 3(0%)
minecraft.mined.iron_trapdoor: #20, 1(0%)
minecraft.picked_up.green_bed: #20, 1(0%)
minecraft.mined.warped_roots: #20, 4(0%)
minecraft.picked_up.feather: #20, 23(0%)
minecraft.picked_up.chicken: #20, 25(0%)
minecraft.dropped.coarse_dirt: #20, 2(0%)
minecraft.mined.nether_sprouts: #20, 2(0%)
minecraft.picked_up.white_stained_glass: #20, 6(0%)
minecraft.crafted.bone_block: #20, 86(0%)
minecraft.used.blackstone: #20, 51(0%)
minecraft.mined.crimson_stem: #20, 10(0%)
minecraft.crafted.light_gray_carpet: #20, 3(0%)
minecraft.used.light_gray_carpet: #20, 3(0%)
minecraft.picked_up.light_blue_wool: #20, 1(0%)
minecraft.dropped.soul_sand: #20, 1(0%)
minecraft.custom.open_shulker_box: #21, 14923(1%)
minecraft.picked_up.torch: #21, 1844(2%)
minecraft.dropped.diamond_pickaxe: #21, 6(1%)
minecraft.mined.stone: #21, 59877(1%)
minecraft.picked_up.stick: #21, 1479(1%)
minecraft.mined.tall_grass: #21, 203(1%)
minecraft.mined.tuff: #21, 1997(1%)
minecraft.custom.climb_one_cm: #21, 680729(1%)
minecraft.mined.oak_log: #21, 1161(1%)
minecraft.custom.drop: #21, 3426(1%)
minecraft.picked_up.birch_log: #21, 1136(1%)
minecraft.picked_up.furnace: #21, 28(1%)
minecraft.picked_up.red_shulker_box: #21, 95(1%)
minecraft.picked_up.player_head: #21, 204(1%)
minecraft.mined.red_shulker_box: #21, 93(1%)
minecraft.used.red_shulker_box: #21, 95(1%)
minecraft.used.cobbled_deepslate: #21, 692(1%)
minecraft.killed.ghast: #21, 10(1%)
minecraft.used.spruce_planks: #21, 407(1%)
minecraft.used.gravel: #21, 197(1%)
minecraft.picked_up.spruce_fence: #21, 37(1%)
minecraft.mined.dirt_path: #21, 39(1%)
minecraft.used.spruce_slab: #21, 267(1%)
minecraft.picked_up.sand: #21, 8714(0%)
minecraft.picked_up.spruce_sapling: #21, 115(0%)
minecraft.crafted.white_dye: #21, 494(0%)
minecraft.mined.spruce_planks: #21, 98(0%)
minecraft.picked_up.birch_sapling: #21, 106(0%)
minecraft.picked_up.firework_rocket: #21, 1482(0%)
minecraft.picked_up.netherite_pickaxe: #21, 3(0%)
minecraft.picked_up.dark_oak_slab: #21, 30(0%)
minecraft.mined.coarse_dirt: #21, 55(0%)
minecraft.picked_up.terracotta: #21, 652(0%)
minecraft.picked_up.totem_of_undying: #21, 5(0%)
minecraft.crafted.brown_shulker_box: #21, 1(0%)
minecraft.picked_up.red_terracotta: #21, 113(0%)
minecraft.used.dark_oak_trapdoor: #21, 44(0%)
minecraft.mined.mossy_stone_bricks: #21, 5(0%)
minecraft.used.white_wool: #21, 75(0%)
minecraft.picked_up.ink_sac: #21, 110(0%)
minecraft.dropped.netherrack: #21, 1176(0%)
minecraft.crafted.glass: #21, 610(0%)
minecraft.picked_up.netherite_leggings: #21, 1(0%)
minecraft.dropped.sand: #21, 67(0%)
minecraft.mined.redstone_lamp: #21, 2(0%)
minecraft.mined.small_dripleaf: #21, 1(0%)
minecraft.picked_up.tripwire_hook: #21, 1(0%)
minecraft.picked_up.netherite_boots: #21, 1(0%)
minecraft.killed.magma_cube: #21, 22(0%)
minecraft.used.stone_bricks: #21, 233(0%)
minecraft.crafted.lapis_lazuli: #21, 72(0%)
minecraft.crafted.white_wool: #21, 111(0%)
minecraft.used.stone_slab: #21, 118(0%)
minecraft.picked_up.comparator: #21, 7(0%)
minecraft.picked_up.golden_sword: #21, 2(0%)
minecraft.dropped.moss_block: #21, 12(0%)
minecraft.dropped.bone: #21, 35(0%)
minecraft.used.written_book: #21, 29(0%)
minecraft.crafted.white_stained_glass: #21, 56(0%)
minecraft.used.gray_shulker_box: #21, 3(0%)
minecraft.mined.green_bed: #21, 1(0%)
minecraft.picked_up.iron_trapdoor: #21, 1(0%)
minecraft.dropped.egg: #21, 6(0%)
minecraft.crafted.compass: #21, 12(0%)
minecraft.mined.yellow_terracotta: #21, 7(0%)
minecraft.picked_up.copper_ingot: #21, 23(0%)
minecraft.dropped.basalt: #21, 9(0%)
minecraft.picked_up.warped_roots: #21, 9(0%)
minecraft.picked_up.crimson_stem: #21, 10(0%)
minecraft.used.polished_deepslate_wall: #21, 4(0%)
minecraft.dropped.sandstone: #21, 2(0%)
minecraft.crafted.crimson_slab: #21, 6(0%)
minecraft.used.nether_quartz_ore: #21, 2(0%)
minecraft.mined.polished_deepslate_slab: #21, 1(0%)
minecraft.picked_up.gold_nugget: #21, 126(0%)
minecraft.killed.witch: #21, 1(0%)
minecraft.used.netherite_pickaxe: #21, 4(0%)
minecraft.custom.sprint_one_cm: #22, 38848353(1%)
minecraft.used.torch: #22, 3450(2%)
minecraft.custom.sleep_in_bed: #22, 513(1%)
minecraft.dropped.diamond_shovel: #22, 3(2%)
minecraft.picked_up.dirt: #22, 13697(1%)
minecraft.used.furnace: #22, 53(1%)
minecraft.mined.stonecutter: #22, 25(1%)
minecraft.picked_up.dark_oak_planks: #22, 182(1%)
minecraft.mined.cobblestone: #22, 480(1%)
minecraft.mined.sunflower: #22, 5(1%)
minecraft.picked_up.oak_log: #22, 1070(1%)
minecraft.picked_up.shulker_box: #22, 472(1%)
minecraft.mined.shulker_box: #22, 460(1%)
minecraft.mined.white_bed: #22, 15(1%)
minecraft.custom.inspect_hopper: #22, 277(1%)
minecraft.picked_up.smooth_basalt: #22, 160(1%)
minecraft.picked_up.white_bed: #22, 14(1%)
minecraft.dropped.spruce_log: #22, 42(0%)
minecraft.used.grass_block: #22, 2062(0%)
minecraft.mined.lever: #22, 6(0%)
minecraft.mined.cornflower: #22, 2(0%)
minecraft.picked_up.basalt: #22, 712(0%)
minecraft.dropped.leather_helmet: #22, 1(0%)
minecraft.crafted.green_shulker_box: #22, 1(0%)
minecraft.crafted.black_dye: #22, 340(0%)
minecraft.picked_up.yellow_shulker_box: #22, 15(0%)
minecraft.used.splash_potion: #22, 3(0%)
minecraft.mined.sticky_piston: #22, 11(0%)
minecraft.mined.basalt: #22, 776(0%)
minecraft.mined.spruce_sapling: #22, 2(0%)
minecraft.used.chorus_fruit: #22, 1(0%)
minecraft.picked_up.weeping_vines: #22, 9(0%)
minecraft.mined.spore_blossom: #22, 1(0%)
minecraft.crafted.gray_dye: #22, 66(0%)
minecraft.dropped.potion: #22, 5(0%)
minecraft.dropped.shears: #22, 2(0%)
minecraft.mined.sugar_cane: #22, 111(0%)
minecraft.crafted.blue_dye: #22, 106(0%)
minecraft.crafted.paper: #22, 768(0%)
minecraft.dropped.golden_boots: #22, 1(0%)
minecraft.crafted.cobblestone_slab: #22, 20(0%)
minecraft.picked_up.bee_nest: #22, 1(0%)
minecraft.mined.stone_brick_wall: #22, 1(0%)
minecraft.mined.bee_nest: #22, 1(0%)
minecraft.dropped.kelp: #22, 12(0%)
minecraft.used.redstone_block: #22, 20(0%)
minecraft.picked_up.black_concrete: #22, 49(0%)
minecraft.crafted.sticky_piston: #22, 12(0%)
minecraft.mined.red_wool: #22, 4(0%)
minecraft.picked_up.smooth_stone: #22, 12(0%)
minecraft.mined.black_concrete: #22, 54(0%)
minecraft.used.gray_carpet: #22, 37(0%)
minecraft.mined.polished_deepslate_wall: #22, 1(0%)
minecraft.mined.acacia_log: #22, 11(0%)
minecraft.used.polished_deepslate_slab: #22, 17(0%)
minecraft.picked_up.yellow_terracotta: #22, 6(0%)
minecraft.crafted.black_concrete_powder: #22, 64(0%)
minecraft.mined.crimson_nylium: #22, 7(0%)
minecraft.mined.carved_pumpkin: #22, 5(0%)
minecraft.mined.fern: #22, 3(0%)
minecraft.crafted.slime_ball: #22, 9(0%)
minecraft.picked_up.polished_deepslate_wall: #22, 1(0%)
minecraft.crafted.magenta_dye: #22, 5(0%)
minecraft.custom.leave_game: #23, 466(1%)
minecraft.custom.fall_one_cm: #23, 3419222(1%)
minecraft.dropped.diamond_sword: #23, 3(2%)
minecraft.custom.sneak_time: #23, 848013(1%)
minecraft.mined.grass_block: #23, 9342(1%)
minecraft.picked_up.redstone: #23, 2296(1%)
minecraft.picked_up.stonecutter: #23, 25(1%)
minecraft.picked_up.diamond_leggings: #23, 9(1%)
minecraft.used.stonecutter: #23, 25(1%)
minecraft.picked_up.tuff: #23, 1589(1%)
minecraft.custom.swim_one_cm: #23, 919467(1%)
minecraft.mined.deepslate_gold_ore: #23, 134(1%)
minecraft.picked_up.item_frame: #23, 46(1%)
minecraft.dropped.shield: #23, 1(1%)
minecraft.custom.crouch_one_cm: #23, 3161058(0%)
minecraft.mined.lapis_ore: #23, 37(1%)
minecraft.used.shulker_box: #23, 446(1%)
minecraft.mined.gravel: #23, 2837(1%)
minecraft.picked_up.goat_horn: #23, 2(1%)
minecraft.picked_up.gravel: #23, 2522(1%)
minecraft.mined.beacon: #23, 3(1%)
minecraft.mined.dark_oak_stairs: #23, 11(0%)
minecraft.mined.end_rod: #23, 11(0%)
minecraft.crafted.repeater: #23, 69(0%)
minecraft.mined.stone_button: #23, 3(0%)
minecraft.used.moss_carpet: #23, 60(0%)
minecraft.picked_up.potion: #23, 9(0%)
minecraft.picked_up.deepslate: #23, 1246(0%)
minecraft.picked_up.shears: #23, 3(0%)
minecraft.used.spruce_fence: #23, 56(0%)
minecraft.crafted.redstone: #23, 984(0%)
minecraft.picked_up.coarse_dirt: #23, 55(0%)
minecraft.used.yellow_shulker_box: #23, 13(0%)
minecraft.crafted.spruce_fence: #23, 51(0%)
minecraft.dropped.bow: #23, 8(0%)
minecraft.mined.smithing_table: #23, 1(0%)
minecraft.mined.obsidian: #23, 129(0%)
minecraft.picked_up.sticky_piston: #23, 12(0%)
minecraft.picked_up.blue_concrete_powder: #23, 3(0%)
minecraft.mined.calcite: #23, 79(0%)
minecraft.mined.redstone_torch: #23, 5(0%)
minecraft.crafted.redstone_torch: #23, 128(0%)
minecraft.mined.spruce_wall_sign: #23, 1(0%)
minecraft.picked_up.music_disc_13: #23, 1(0%)
minecraft.picked_up.jukebox: #23, 1(0%)
minecraft.mined.jukebox: #23, 1(0%)
minecraft.used.andesite: #23, 95(0%)
minecraft.picked_up.cobblestone_wall: #23, 5(0%)
minecraft.crafted.yellow_dye: #23, 74(0%)
minecraft.custom.damage_dealt: #23, 70775(0%)
minecraft.custom.trigger_trapped_chest: #23, 1(0%)
minecraft.crafted.coal_block: #23, 29(0%)
minecraft.picked_up.smithing_table: #23, 1(0%)
minecraft.crafted.stone_slab: #23, 48(0%)
minecraft.used.moss_block: #23, 157(0%)
minecraft.picked_up.glowstone_dust: #23, 15(0%)
minecraft.crafted.orange_dye: #23, 30(0%)
minecraft.mined.cobblestone_slab: #23, 6(0%)
minecraft.used.stripped_spruce_log: #23, 8(0%)
minecraft.mined.snow: #23, 389(0%)
minecraft.used.lectern: #23, 6(0%)
