stat, rank, value, (percentage) 
minecraft.used.purple_dye: #4, 7(11%)
minecraft.mined.exposed_cut_copper_slab: #3, 6(3%)
minecraft.dropped.barrel: #4, 16(6%)
minecraft.used.loom: #4, 48(6%)
minecraft.picked_up.gray_banner: #4, 16(14%)
minecraft.crafted.red_carpet: #4, 864(5%)
minecraft.crafted.stripped_birch_wood: #3, 48(4%)
minecraft.mined.cobbled_deepslate_stairs: #4, 42(5%)
minecraft.used.mangrove_button: #4, 9(8%)
minecraft.killed_by.piglin: #4, 2(8%)
minecraft.dropped.milk_bucket: #4, 9(13%)
minecraft.picked_up.light_blue_stained_glass_pane: #4, 104(6%)
minecraft.killed.axolotl: #3, 4(0%)
minecraft.picked_up.polished_blackstone: #5, 494(9%)
minecraft.mined.azalea_leaves: #5, 5823(7%)
minecraft.used.mangrove_fence: #4, 100(6%)
minecraft.picked_up.grindstone: #5, 81(8%)
minecraft.dropped.vine: #5, 55(13%)
minecraft.crafted.golden_chestplate: #4, 6(8%)
minecraft.mined.flowering_azalea_leaves: #5, 1983(7%)
minecraft.picked_up.music_disc_chirp: #4, 8(6%)
minecraft.used.light_gray_banner: #4, 8(8%)
minecraft.dropped.dark_oak_fence: #4, 65(5%)
minecraft.used.polished_blackstone: #5, 2521(8%)
minecraft.dropped.spruce_button: #4, 15(5%)
minecraft.crafted.diamond_boots: #5, 11(7%)
minecraft.crafted.polished_blackstone_button: #4, 150(4%)
minecraft.custom.enchant_item: #5, 132(6%)
minecraft.picked_up.carrot: #5, 5189(5%)
minecraft.mined.mangrove_button: #4, 2(9%)
minecraft.used.exposed_cut_copper_slab: #4, 17(9%)
minecraft.mined.chiseled_polished_blackstone: #4, 20(5%)
minecraft.mined.cracked_deepslate_tiles: #4, 7(9%)
minecraft.mined.dark_oak_fence: #5, 157(7%)
minecraft.used.stripped_oak_wood: #4, 93(4%)
minecraft.dropped.black_banner: #4, 6(8%)
minecraft.picked_up.weathered_copper: #5, 247(7%)
minecraft.picked_up.mossy_stone_brick_wall: #4, 10(7%)
minecraft.dropped.black_shulker_box: #4, 2(4%)
minecraft.picked_up.music_disc_ward: #4, 4(6%)
minecraft.mined.weathered_copper: #5, 246(7%)
minecraft.crafted.light_weighted_pressure_plate: #4, 274(4%)
minecraft.dropped.lapis_block: #4, 35(7%)
minecraft.picked_up.music_disc_11: #4, 3(6%)
minecraft.used.cracked_deepslate_tiles: #4, 30(6%)
minecraft.crafted.light_blue_shulker_box: #4, 26(2%)
minecraft.crafted.chainmail_helmet: #4, 3(7%)
minecraft.mined.red_wall_banner: #5, 26(9%)
minecraft.crafted.stripped_jungle_wood: #4, 48(7%)
minecraft.mined.birch_door: #4, 1(7%)
minecraft.dropped.iron_ore: #5, 164(6%)
minecraft.dropped.polished_blackstone: #4, 56(3%)
minecraft.picked_up.red_carpet: #4, 187(1%)
minecraft.crafted.orange_concrete: #4, 48(4%)
minecraft.crafted.red_concrete_powder: #5, 2048(6%)
minecraft.used.dark_oak_sign: #6, 165(9%)
minecraft.picked_up.exposed_cut_copper_slab: #4, 6(3%)
minecraft.used.chiseled_polished_blackstone: #4, 48(1%)
minecraft.used.light_weighted_pressure_plate: #4, 202(2%)
minecraft.dropped.music_disc_ward: #4, 1(4%)
minecraft.picked_up.light_gray_candle: #4, 5(2%)
minecraft.dropped.crying_obsidian: #4, 26(1%)
minecraft.used.mossy_cobblestone_wall: #5, 56(9%)
minecraft.mined.light_weighted_pressure_plate: #4, 37(1%)
minecraft.crafted.diamond_chestplate: #5, 11(4%)
minecraft.crafted.mossy_stone_bricks: #5, 561(5%)
minecraft.crafted.diamond_leggings: #5, 11(4%)
minecraft.mined.waxed_exposed_cut_copper_stairs: #5, 15(10%)
minecraft.mined.dark_oak_sign: #5, 4(6%)
minecraft.used.flowering_azalea_leaves: #5, 481(4%)
minecraft.crafted.light_blue_banner: #5, 8(11%)
minecraft.crafted.dark_oak_sign: #6, 153(8%)
minecraft.dropped.lava_bucket: #5, 6(6%)
minecraft.used.light_blue_candle: #5, 15(10%)
minecraft.used.polished_blackstone_stairs: #5, 261(4%)
minecraft.crafted.chainmail_boots: #5, 4(10%)
minecraft.picked_up.spruce_chest_boat: #5, 2(10%)
minecraft.picked_up.waxed_exposed_cut_copper_stairs: #5, 15(7%)
minecraft.dropped.yellow_shulker_box: #5, 2(7%)
minecraft.used.dark_oak_button: #5, 108(4%)
minecraft.picked_up.mangrove_button: #5, 4(7%)
minecraft.used.enchanted_golden_apple: #5, 2(8%)
minecraft.used.weathered_cut_copper_slab: #5, 24(7%)
minecraft.used.anvil: #6, 190(5%)
minecraft.used.red_carpet: #5, 589(2%)
minecraft.dropped.diamond_block: #6, 153(6%)
minecraft.dropped.waxed_weathered_cut_copper_slab: #5, 1(10%)
minecraft.dropped.deepslate_brick_stairs: #5, 48(5%)
minecraft.mined.cut_copper_stairs: #6, 45(8%)
minecraft.picked_up.deepslate_tiles: #6, 584(5%)
minecraft.crafted.white_concrete: #5, 112(7%)
minecraft.mined.red_carpet: #5, 64(2%)
minecraft.picked_up.tnt: #5, 1265(2%)
minecraft.used.red_nether_bricks: #5, 58(6%)
minecraft.crafted.golden_carrot: #6, 4320(6%)
minecraft.mined.brown_shulker_box: #6, 195(6%)
minecraft.picked_up.brown_shulker_box: #6, 195(6%)
minecraft.crafted.black_concrete: #5, 128(6%)
minecraft.mined.red_banner: #5, 1(7%)
minecraft.picked_up.dark_oak_fence: #6, 204(5%)
minecraft.dropped.stripped_oak_wood: #5, 2(4%)
minecraft.picked_up.chiseled_polished_blackstone: #5, 26(2%)
minecraft.used.deepslate_diamond_ore: #6, 1106(5%)
minecraft.killed_by.enderman: #6, 2(8%)
minecraft.mined.deepslate_tile_wall: #6, 60(6%)
minecraft.used.pumpkin_pie: #6, 1118(4%)
minecraft.crafted.cracked_deepslate_bricks: #5, 136(2%)
minecraft.picked_up.music_disc_stal: #5, 3(2%)
minecraft.used.stripped_birch_wood: #5, 48(2%)
minecraft.dropped.deepslate_tile_slab: #6, 55(7%)
minecraft.used.cracked_deepslate_bricks: #5, 125(1%)
minecraft.crafted.gray_concrete: #5, 16(2%)
minecraft.picked_up.mangrove_stairs: #6, 19(7%)
minecraft.dropped.gray_stained_glass_pane: #5, 2(1%)
minecraft.used.jack_o_lantern: #5, 51(0%)
minecraft.dropped.chiseled_polished_blackstone: #5, 6(1%)
minecraft.crafted.golden_boots: #6, 8(7%)
minecraft.used.magenta_glazed_terracotta: #5, 32(0%)
minecraft.dropped.polished_blackstone_wall: #5, 2(0%)
minecraft.picked_up.stripped_oak_wood: #6, 123(5%)
minecraft.picked_up.flint_and_steel: #6, 45(4%)
minecraft.mined.deepslate_brick_stairs: #6, 140(4%)
minecraft.crafted.deepslate_brick_stairs: #6, 81(4%)
minecraft.mined.enchanting_table: #6, 3(6%)
minecraft.dropped.brown_shulker_box: #6, 1(12%)
minecraft.used.emerald_ore: #6, 14(6%)
minecraft.crafted.red_stained_glass_pane: #6, 192(6%)
minecraft.used.cut_copper: #6, 216(5%)
minecraft.dropped.diamond: #6, 228(3%)
minecraft.crafted.redstone_lamp: #6, 195(3%)
minecraft.used.stripped_mangrove_wood: #6, 119(9%)
minecraft.picked_up.enchanting_table: #6, 3(6%)
minecraft.picked_up.spruce_button: #6, 18(3%)
minecraft.custom.interact_with_anvil: #7, 616(4%)
minecraft.used.ender_pearl: #7, 416(5%)
minecraft.used.white_bed: #7, 188(6%)
minecraft.picked_up.cut_copper_stairs: #7, 45(7%)
minecraft.killed_by.spider: #6, 1(12%)
minecraft.dropped.white_shulker_box: #6, 2(6%)
minecraft.picked_up.charcoal: #6, 228(3%)
minecraft.crafted.lantern: #7, 722(6%)
minecraft.mined.stripped_oak_wood: #6, 81(3%)
minecraft.mined.player_wall_head: #7, 42(6%)
minecraft.used.orange_dye: #6, 11(4%)
minecraft.mined.polished_blackstone_stairs: #6, 40(4%)
minecraft.used.polished_blackstone_button: #6, 80(3%)
minecraft.used.stripped_jungle_wood: #6, 45(5%)
minecraft.picked_up.light_blue_stained_glass: #6, 54(3%)
minecraft.used.black_terracotta: #6, 536(3%)
minecraft.mined.cyan_stained_glass: #6, 16(3%)
minecraft.used.glow_berries: #7, 204(5%)
minecraft.used.mangrove_wood: #6, 144(2%)
minecraft.used.yellow_banner: #6, 8(3%)
minecraft.picked_up.cake: #6, 3(4%)
minecraft.picked_up.rose_bush: #7, 1822(5%)
minecraft.used.brown_shulker_box: #7, 201(6%)
minecraft.crafted.deepslate: #6, 72(3%)
minecraft.mined.cake: #6, 2(3%)
minecraft.picked_up.red_banner: #7, 28(7%)
minecraft.mined.mossy_stone_brick_wall: #6, 3(4%)
minecraft.mined.player_head: #7, 49(4%)
minecraft.crafted.iron_leggings: #6, 6(1%)
minecraft.used.cut_copper_stairs: #6, 78(1%)
minecraft.killed.player: #7, 77(4%)
minecraft.used.gold_block: #7, 393(5%)
minecraft.picked_up.cracked_deepslate_tiles: #6, 13(2%)
minecraft.mined.snow_block: #7, 4254(4%)
minecraft.used.waxed_exposed_cut_copper_stairs: #6, 13(2%)
minecraft.used.yellow_candle: #6, 19(2%)
minecraft.picked_up.deepslate_tile_stairs: #7, 190(5%)
minecraft.dropped.acacia_sign: #6, 2(1%)
minecraft.picked_up.deepslate_tile_wall: #7, 118(5%)
minecraft.used.small_amethyst_bud: #6, 30(1%)
minecraft.used.deepslate_brick_slab: #7, 1178(5%)
minecraft.crafted.diamond_helmet: #7, 5(4%)
minecraft.mined.red_nether_bricks: #6, 2(1%)
minecraft.used.mossy_stone_bricks: #7, 204(5%)
minecraft.used.netherite_block: #6, 3(1%)
minecraft.picked_up.dark_oak_sign: #7, 43(4%)
minecraft.dropped.andesite_wall: #6, 2(1%)
minecraft.dropped.small_amethyst_bud: #6, 1(1%)
minecraft.crafted.red_dye: #7, 3737(4%)
minecraft.crafted.iron_door: #7, 27(4%)
minecraft.dropped.green_dye: #6, 21(0%)
minecraft.crafted.gray_stained_glass_pane: #7, 208(6%)
minecraft.used.dead_horn_coral_block: #6, 1(0%)
minecraft.picked_up.cookie: #7, 63(4%)
minecraft.mined.light_gray_shulker_box: #7, 128(4%)
minecraft.picked_up.deepslate_brick_stairs: #7, 211(4%)
minecraft.used.light_gray_shulker_box: #7, 128(4%)
minecraft.mined.fire: #8, 1301(6%)
minecraft.picked_up.light_gray_shulker_box: #7, 129(4%)
minecraft.picked_up.andesite_stairs: #7, 36(5%)
minecraft.used.deepslate_redstone_ore: #7, 291(4%)
minecraft.mined.deepslate_brick_slab: #7, 108(4%)
minecraft.dropped.dark_oak_leaves: #7, 36(5%)
minecraft.picked_up.black_banner: #7, 21(6%)
minecraft.dropped.ender_pearl: #8, 17567(5%)
minecraft.picked_up.deepslate_diamond_ore: #7, 610(3%)
minecraft.crafted.dark_oak_button: #7, 112(3%)
minecraft.used.lime_dye: #7, 10(5%)
minecraft.dropped.chain: #7, 49(4%)
minecraft.picked_up.music_disc_mellohi: #7, 4(5%)
minecraft.mined.stripped_acacia_log: #7, 64(3%)
minecraft.used.brown_concrete: #7, 61(4%)
minecraft.picked_up.diamond: #8, 1684(4%)
minecraft.picked_up.acacia_fence: #7, 4(4%)
minecraft.picked_up.mangrove_propagule: #7, 271(3%)
minecraft.picked_up.stripped_acacia_log: #7, 64(3%)
minecraft.picked_up.black_terracotta: #7, 338(3%)
minecraft.crafted.diamond_sword: #8, 7(5%)
minecraft.crafted.mangrove_button: #7, 8(3%)
minecraft.picked_up.black_stained_glass_pane: #7, 30(3%)
minecraft.dropped.chorus_fruit: #7, 64(2%)
minecraft.dropped.composter: #7, 3(3%)
minecraft.mined.poppy: #8, 174(5%)
minecraft.used.jungle_wood: #7, 48(3%)
minecraft.crafted.yellow_wool: #7, 74(3%)
minecraft.crafted.netherite_chestplate: #7, 1(4%)
minecraft.mined.polished_blackstone_button: #7, 8(2%)
minecraft.crafted.deepslate_brick_slab: #7, 64(2%)
minecraft.picked_up.music_disc_mall: #7, 2(3%)
minecraft.crafted.snow: #7, 636(2%)
minecraft.used.potato: #8, 383(5%)
minecraft.picked_up.music_disc_far: #7, 3(3%)
minecraft.used.stripped_dark_oak_wood: #7, 50(2%)
minecraft.used.waxed_exposed_copper: #7, 19(2%)
minecraft.mined.muddy_mangrove_roots: #7, 108(2%)
minecraft.picked_up.music_disc_wait: #7, 3(2%)
minecraft.crafted.chiseled_deepslate: #7, 7(2%)
minecraft.dropped.gold_ingot: #7, 289(1%)
minecraft.picked_up.waxed_exposed_copper: #7, 23(2%)
minecraft.picked_up.copper_block: #8, 558(5%)
minecraft.used.brown_wool: #7, 93(2%)
minecraft.picked_up.stripped_jungle_log: #7, 64(1%)
minecraft.mined.waxed_exposed_copper: #7, 23(2%)
minecraft.picked_up.anvil: #8, 98(4%)
minecraft.dropped.mangrove_trapdoor: #7, 1(2%)
minecraft.picked_up.jack_o_lantern: #7, 34(1%)
minecraft.crafted.yellow_banner: #7, 8(2%)
minecraft.killed_by.creeper: #8, 5(4%)
minecraft.crafted.brown_wool: #7, 16(2%)
minecraft.picked_up.birch_door: #7, 1(1%)
minecraft.mined.jack_o_lantern: #7, 14(1%)
minecraft.used.dark_oak_fence: #8, 518(4%)
minecraft.mined.cracked_deepslate_bricks: #7, 8(1%)
minecraft.used.spruce_door: #8, 24(4%)
minecraft.mined.netherite_block: #7, 2(1%)
minecraft.used.lapis_block: #7, 26(0%)
minecraft.picked_up.netherite_block: #7, 2(0%)
minecraft.dropped.dandelion: #8, 81(4%)
minecraft.dropped.ink_sac: #7, 29(0%)
minecraft.used.wooden_hoe: #7, 1(0%)
minecraft.used.iron_door: #8, 26(4%)
minecraft.picked_up.dead_horn_coral_block: #7, 1(0%)
minecraft.crafted.dark_oak_fence: #8, 543(4%)
minecraft.picked_up.orange_shulker_box: #8, 151(4%)
minecraft.used.orange_shulker_box: #8, 151(3%)
minecraft.mined.orange_shulker_box: #8, 151(4%)
minecraft.used.cobbled_deepslate_stairs: #8, 184(4%)
minecraft.killed.endermite: #8, 7(5%)
minecraft.mined.magma_block: #8, 1497(3%)
minecraft.mined.deepslate_diamond_ore: #8, 920(3%)
minecraft.mined.dark_oak_wall_sign: #8, 18(4%)
minecraft.picked_up.emerald_ore: #8, 30(4%)
minecraft.used.spruce_button: #8, 39(3%)
minecraft.picked_up.ender_pearl: #9, 18174(5%)
minecraft.used.soul_lantern: #8, 88(3%)
minecraft.crafted.mangrove_slab: #8, 144(4%)
minecraft.crafted.bread: #8, 1152(3%)
minecraft.crafted.netherite_sword: #8, 1(7%)
minecraft.mined.light_blue_concrete: #8, 129(4%)
minecraft.used.deepslate_lapis_ore: #8, 42(4%)
minecraft.used.campfire: #8, 91(3%)
minecraft.picked_up.light_blue_concrete: #8, 129(4%)
minecraft.dropped.cobbled_deepslate_slab: #8, 36(4%)
minecraft.used.azalea: #8, 132(2%)
minecraft.dropped.stick: #8, 1738(2%)
minecraft.used.nether_wart_block: #8, 121(3%)
minecraft.dropped.brown_mushroom: #8, 32(3%)
minecraft.picked_up.polished_blackstone_slab: #8, 118(3%)
minecraft.mined.crying_obsidian: #8, 19(3%)
minecraft.picked_up.bookshelf: #8, 58(2%)
minecraft.dropped.dark_oak_log: #8, 197(2%)
minecraft.crafted.iron_nugget: #8, 6606(2%)
minecraft.dropped.bone_meal: #8, 537(2%)
minecraft.used.rooted_dirt: #8, 195(2%)
minecraft.used.magenta_dye: #8, 2(4%)
minecraft.dropped.bread: #8, 680(2%)
minecraft.picked_up.chain: #9, 236(5%)
