stat, rank, value, (percentage) 
minecraft.killed.horse: #16, 1(0%)
minecraft.picked_up.green_terracotta: #16, 64(0%)
minecraft.used.quartz_slab: #16, 51(0%)
minecraft.dropped.quartz: #16, 32(0%)
minecraft.used.cooked_salmon: #16, 3(0%)
minecraft.used.powder_snow_bucket: #16, 9(0%)
minecraft.dropped.cobbled_deepslate_slab: #16, 1(0%)
minecraft.mined.light_gray_stained_glass: #16, 7(0%)
minecraft.mined.sculk_sensor: #16, 2(0%)
minecraft.picked_up.lantern: #17, 68(1%)
minecraft.picked_up.golden_chestplate: #17, 3(1%)
minecraft.used.dark_oak_sign: #17, 10(1%)
minecraft.picked_up.red_mushroom_block: #17, 293(1%)
minecraft.used.carrot: #17, 104(0%)
minecraft.picked_up.spruce_fence_gate: #17, 6(0%)
minecraft.used.snow: #17, 246(0%)
minecraft.picked_up.suspicious_stew: #17, 1(0%)
minecraft.dropped.golden_helmet: #17, 2(0%)
minecraft.dropped.red_mushroom: #17, 4(0%)
minecraft.mined.sea_lantern: #17, 5(0%)
minecraft.used.birch_leaves: #17, 64(0%)
minecraft.picked_up.lime_terracotta: #17, 19(0%)
minecraft.mined.warped_planks: #17, 12(0%)
minecraft.dropped.lantern: #17, 3(0%)
minecraft.mined.green_bed: #17, 1(0%)
minecraft.killed_by.player: #18, 30(1%)
minecraft.picked_up.spruce_sign: #18, 14(1%)
minecraft.picked_up.totem_of_undying: #18, 15(1%)
minecraft.picked_up.golden_helmet: #18, 4(1%)
minecraft.crafted.dark_oak_fence: #18, 117(1%)
minecraft.used.dark_oak_stairs: #18, 56(0%)
minecraft.mined.damaged_anvil: #18, 1(0%)
minecraft.crafted.dark_oak_sign: #18, 9(0%)
minecraft.used.milk_bucket: #18, 1(1%)
minecraft.picked_up.cooked_porkchop: #18, 240(0%)
minecraft.picked_up.spruce_button: #18, 2(0%)
minecraft.used.spruce_sign: #18, 7(0%)
minecraft.picked_up.mangrove_log: #18, 79(0%)
minecraft.dropped.snowball: #18, 37(0%)
minecraft.dropped.snow: #18, 17(0%)
minecraft.picked_up.warped_fence: #18, 1(0%)
minecraft.picked_up.light_gray_stained_glass: #18, 6(0%)
minecraft.dropped.chorus_fruit: #18, 1(0%)
minecraft.used.light_gray_stained_glass: #18, 6(0%)
minecraft.mined.oak_sign: #19, 3(1%)
minecraft.killed_by.skeleton: #19, 1(1%)
minecraft.used.dark_oak_fence: #19, 102(1%)
minecraft.crafted.dark_oak_stairs: #19, 64(0%)
minecraft.picked_up.red_terracotta: #19, 192(0%)
minecraft.picked_up.spruce_leaves: #19, 279(0%)
minecraft.dropped.spruce_trapdoor: #19, 4(0%)
minecraft.picked_up.iron_boots: #19, 2(0%)
minecraft.used.smooth_quartz_slab: #19, 46(0%)
minecraft.used.cooked_porkchop: #19, 72(0%)
minecraft.used.smooth_quartz_stairs: #19, 24(0%)
minecraft.used.sea_lantern: #19, 23(0%)
minecraft.picked_up.comparator: #19, 8(0%)
minecraft.picked_up.glass_bottle: #19, 20(0%)
minecraft.used.written_book: #19, 35(0%)
minecraft.custom.trigger_trapped_chest: #19, 1(0%)
minecraft.picked_up.white_banner: #19, 3(0%)
minecraft.dropped.elytra: #20, 7(2%)
minecraft.mined.lantern: #20, 11(1%)
minecraft.crafted.dark_oak_slab: #20, 312(1%)
minecraft.picked_up.rose_bush: #20, 224(1%)
minecraft.custom.bell_ring: #20, 15(1%)
minecraft.picked_up.redstone_block: #20, 103(0%)
minecraft.picked_up.note_block: #20, 9(1%)
minecraft.crafted.birch_sign: #20, 15(0%)
minecraft.picked_up.stripped_dark_oak_log: #20, 30(0%)
minecraft.broken.iron_shovel: #20, 1(0%)
minecraft.picked_up.carrot: #20, 246(0%)
