stat, rank, value, (percentage) 
minecraft.dropped.cyan_banner: #1, 8(73%)
minecraft.dropped.black_stained_glass: #2, 255(29%)
minecraft.picked_up.tube_coral: #2, 101(21%)
minecraft.picked_up.jungle_fence_gate: #2, 75(32%)
minecraft.crafted.stripped_warped_hyphae: #1, 90(31%)
minecraft.picked_up.light_gray_dye: #2, 399(22%)
minecraft.dropped.chest: #2, 168(12%)
minecraft.dropped.prismarine_shard: #2, 2044(28%)
minecraft.dropped.honey_block: #1, 286(23%)
minecraft.mined.bricks: #3, 572(17%)
minecraft.used.stone: #2, 85569(9%)
minecraft.mined.suspicious_sand: #2, 46(34%)
minecraft.mined.stripped_jungle_log: #3, 924(21%)
minecraft.used.dirt: #2, 59305(8%)
minecraft.crafted.chiseled_deepslate: #2, 91(22%)
minecraft.picked_up.blue_stained_glass: #2, 193(23%)
minecraft.dropped.purple_concrete: #1, 263(67%)
minecraft.dropped.chorus_flower: #1, 12(67%)
minecraft.dropped.iron_horse_armor: #1, 3(33%)
minecraft.dropped.birch_hanging_sign: #1, 22(67%)
minecraft.dropped.cyan_wool: #1, 255(40%)
minecraft.used.purple_glazed_terracotta: #1, 717(50%)
minecraft.mined.tube_coral: #2, 101(20%)
minecraft.dropped.green_stained_glass_pane: #1, 45(65%)
minecraft.dropped.magenta_stained_glass_pane: #1, 30(65%)
minecraft.dropped.red_candle: #2, 59(30%)
minecraft.used.polished_basalt: #3, 5330(17%)
minecraft.used.yellow_stained_glass_pane: #2, 346(21%)
minecraft.dropped.prismarine_brick_slab: #1, 30(97%)
minecraft.dropped.blue_stained_glass_pane: #1, 15(38%)
minecraft.dropped.granite_stairs: #1, 24(96%)
minecraft.used.lantern: #3, 1023(12%)
minecraft.custom.interact_with_loom: #2, 87(12%)
minecraft.dropped.dragon_head: #1, 3(38%)
minecraft.picked_up.light_blue_stained_glass: #2, 327(19%)
minecraft.dropped.granite_slab: #2, 125(41%)
minecraft.dropped.orange_stained_glass_pane: #1, 136(93%)
minecraft.used.writable_book: #3, 779(12%)
minecraft.dropped.amethyst_block: #2, 246(18%)
minecraft.dropped.light_blue_stained_glass: #1, 46(26%)
minecraft.crafted.dark_oak_trapdoor: #3, 2646(13%)
minecraft.dropped.pink_stained_glass_pane: #1, 15(45%)
minecraft.crafted.kelp: #1, 10(91%)
