stat, rank, value, (percentage) 
minecraft.crafted.waxed_oxidized_cut_copper_stairs: #4, 12(2%)
minecraft.dropped.red_terracotta: #5, 138(5%)
minecraft.mined.suspicious_gravel: #5, 26(9%)
minecraft.mined.light_gray_terracotta: #5, 641(4%)
minecraft.mined.crimson_hyphae: #4, 5(0%)
minecraft.dropped.oxidized_copper: #4, 1(0%)
minecraft.used.dark_prismarine: #5, 641(5%)
minecraft.mined.tube_coral_wall_fan: #5, 115(5%)
minecraft.crafted.furnace: #6, 234(6%)
minecraft.picked_up.purple_stained_glass: #5, 170(6%)
minecraft.mined.coarse_dirt: #5, 620(3%)
minecraft.mined.infested_deepslate: #5, 19(6%)
minecraft.picked_up.cauldron: #5, 32(4%)
minecraft.crafted.polished_deepslate_slab: #5, 846(5%)
minecraft.picked_up.flower_pot: #5, 97(3%)
minecraft.used.furnace: #6, 268(6%)
minecraft.used.purple_dye: #5, 5(8%)
minecraft.used.grindstone: #6, 96(7%)
minecraft.crafted.andesite_wall: #5, 318(6%)
minecraft.picked_up.jungle_boat: #5, 8(7%)
minecraft.crafted.white_banner: #5, 86(6%)
minecraft.dropped.spruce_sign: #6, 26(8%)
minecraft.used.golden_chestplate: #5, 1(14%)
minecraft.dropped.blue_shulker_box: #5, 1(14%)
minecraft.mined.podzol: #5, 1187(3%)
minecraft.crafted.deepslate_brick_slab: #5, 168(4%)
minecraft.dropped.flint: #5, 310(3%)
minecraft.mined.mossy_cobblestone_slab: #5, 11(4%)
minecraft.picked_up.stripped_jungle_wood: #5, 36(6%)
minecraft.picked_up.birch_sign: #6, 229(6%)
minecraft.used.lily_of_the_valley: #5, 9(6%)
minecraft.dropped.yellow_terracotta: #5, 30(5%)
minecraft.dropped.gravel: #6, 4129(6%)
minecraft.crafted.lever: #6, 362(6%)
minecraft.picked_up.raiser_armor_trim_smithing_template: #5, 2(10%)
minecraft.picked_up.blackstone: #6, 10959(6%)
minecraft.used.stripped_jungle_wood: #5, 62(7%)
minecraft.picked_up.white_terracotta: #5, 1019(3%)
minecraft.mined.pink_concrete: #5, 324(5%)
minecraft.dropped.birch_boat: #5, 2(8%)
minecraft.dropped.lime_shulker_box: #5, 1(12%)
minecraft.used.chainmail_chestplate: #5, 1(12%)
minecraft.crafted.sea_lantern: #5, 1244(7%)
minecraft.crafted.black_stained_glass: #5, 5440(4%)
minecraft.dropped.written_book: #6, 11(6%)
minecraft.crafted.writable_book: #5, 39(3%)
minecraft.mined.stone_brick_slab: #5, 118(3%)
minecraft.picked_up.brick_slab: #5, 80(4%)
minecraft.mined.potted_spruce_sapling: #5, 1(14%)
minecraft.dropped.lily_of_the_valley: #5, 6(7%)
minecraft.used.golden_carrot: #7, 3339(6%)
minecraft.used.warped_fungus: #5, 248(4%)
minecraft.picked_up.mourner_pottery_sherd: #5, 4(10%)
minecraft.dropped.vine: #6, 50(12%)
minecraft.mined.stripped_acacia_log: #5, 77(4%)
minecraft.picked_up.chorus_flower: #5, 53(4%)
minecraft.picked_up.writable_book: #6, 19(6%)
minecraft.dropped.crimson_slab: #6, 63(12%)
minecraft.used.cyan_shulker_box: #6, 475(5%)
minecraft.picked_up.birch_boat: #6, 19(6%)
minecraft.picked_up.cocoa_beans: #6, 2132(7%)
minecraft.mined.magenta_glazed_terracotta: #5, 33(4%)
minecraft.used.red_tulip: #5, 4(6%)
minecraft.used.iron_leggings: #6, 6(6%)
minecraft.crafted.flower_pot: #5, 150(2%)
minecraft.picked_up.pointed_dripstone: #6, 1037(6%)
minecraft.used.iron_sword: #6, 725(5%)
minecraft.dropped.warped_nylium: #5, 16(5%)
minecraft.picked_up.polished_blackstone_brick_wall: #5, 56(7%)
minecraft.picked_up.amethyst_shard: #6, 9419(6%)
minecraft.dropped.nether_gold_ore: #5, 23(4%)
minecraft.used.terracotta: #5, 829(2%)
minecraft.dropped.diamond_horse_armor: #5, 2(6%)
minecraft.dropped.birch_log: #6, 187(7%)
minecraft.mined.beacon: #6, 31(7%)
minecraft.crafted.red_nether_bricks: #5, 103(5%)
minecraft.used.bookshelf: #6, 1144(5%)
minecraft.dropped.diamond_helmet: #6, 7(6%)
minecraft.picked_up.black_terracotta: #5, 355(3%)
minecraft.dropped.enchanted_golden_apple: #5, 1(9%)
minecraft.picked_up.brown_stained_glass: #5, 61(8%)
minecraft.used.black_banner: #5, 23(5%)
minecraft.mined.dark_oak_fence: #6, 145(6%)
minecraft.used.dark_oak_door: #6, 22(8%)
minecraft.crafted.cracked_stone_bricks: #5, 300(3%)
minecraft.picked_up.black_stained_glass: #6, 407(6%)
minecraft.used.dark_oak_pressure_plate: #5, 4(6%)
minecraft.mined.brown_concrete_powder: #6, 16(12%)
minecraft.dropped.mud_brick_slab: #5, 8(6%)
minecraft.used.oak_sapling: #5, 628(2%)
minecraft.used.shears: #6, 11497(5%)
minecraft.used.white_wool: #6, 1765(5%)
minecraft.dropped.orange_wool: #5, 89(5%)
minecraft.dropped.egg: #6, 723(5%)
minecraft.used.ice: #6, 2560(6%)
minecraft.crafted.nether_brick: #5, 717(4%)
minecraft.crafted.cherry_stairs: #5, 12(6%)
minecraft.crafted.orange_stained_glass_pane: #5, 64(4%)
minecraft.dropped.light_gray_bed: #5, 1(7%)
minecraft.dropped.warped_sign: #5, 7(5%)
minecraft.dropped.bone_block: #5, 114(3%)
minecraft.crafted.granite_stairs: #5, 8(4%)
minecraft.crafted.polished_andesite: #6, 3060(6%)
minecraft.crafted.polished_deepslate_wall: #5, 60(3%)
minecraft.dropped.brewing_stand: #5, 1(9%)
minecraft.dropped.birch_fence: #5, 14(3%)
minecraft.mined.dark_oak_leaves: #6, 3017(6%)
minecraft.mined.blackstone: #6, 8009(6%)
minecraft.used.cherry_boat: #5, 7(6%)
minecraft.crafted.vex_armor_trim_smithing_template: #5, 4(7%)
minecraft.picked_up.jungle_planks: #5, 214(2%)
minecraft.dropped.chainmail_chestplate: #5, 3(3%)
minecraft.dropped.light_blue_dye: #5, 4(4%)
minecraft.dropped.nautilus_shell: #5, 3(4%)
minecraft.crafted.raiser_armor_trim_smithing_template: #5, 2(8%)
minecraft.picked_up.music_disc_far: #5, 4(3%)
minecraft.dropped.leather: #5, 101(2%)
minecraft.mined.dragon_head: #5, 1(6%)
minecraft.used.purple_banner: #5, 1(6%)
minecraft.crafted.cooked_salmon: #5, 24(3%)
minecraft.picked_up.warped_roots: #6, 1747(5%)
minecraft.picked_up.lime_stained_glass_pane: #5, 42(3%)
minecraft.picked_up.clay_ball: #5, 2383(1%)
minecraft.crafted.clay: #5, 375(2%)
minecraft.mined.large_fern: #6, 209(6%)
minecraft.used.stripped_crimson_stem: #6, 65(5%)
minecraft.picked_up.stripped_dark_oak_log: #6, 385(5%)
minecraft.picked_up.small_dripleaf: #5, 10(3%)
minecraft.used.iron_block: #6, 2591(5%)
minecraft.dropped.nether_wart: #5, 38(3%)
minecraft.mined.green_stained_glass: #5, 29(2%)
minecraft.dropped.white_carpet: #5, 21(2%)
minecraft.used.cherry_door: #5, 2(4%)
minecraft.crafted.black_banner: #5, 34(2%)
minecraft.picked_up.chiseled_bookshelf: #5, 5(4%)
minecraft.mined.black_carpet: #5, 202(2%)
minecraft.picked_up.pink_concrete_powder: #5, 128(2%)
minecraft.dropped.yellow_dye: #5, 13(2%)
minecraft.picked_up.brown_banner: #5, 2(4%)
minecraft.used.waxed_oxidized_copper: #5, 37(2%)
minecraft.dropped.crimson_hyphae: #5, 8(3%)
minecraft.crafted.enchanting_table: #6, 4(6%)
minecraft.used.nether_quartz_ore: #6, 802(6%)
minecraft.crafted.acacia_door: #5, 6(2%)
minecraft.crafted.heavy_weighted_pressure_plate: #5, 50(1%)
minecraft.picked_up.dripstone_block: #6, 760(5%)
minecraft.picked_up.purple_banner: #5, 1(3%)
minecraft.picked_up.soul_torch: #6, 124(7%)
minecraft.used.powder_snow_bucket: #5, 93(1%)
minecraft.dropped.stripped_spruce_wood: #5, 2(2%)
minecraft.crafted.waxed_copper_block: #5, 64(3%)
minecraft.dropped.sculk: #5, 64(2%)
minecraft.dropped.golden_axe: #5, 1(3%)
minecraft.picked_up.saddle: #6, 19(4%)
minecraft.used.golden_axe: #5, 15(2%)
minecraft.crafted.waxed_weathered_cut_copper: #5, 15(3%)
minecraft.used.blue_stained_glass: #6, 83(9%)
minecraft.dropped.gray_terracotta: #5, 20(2%)
minecraft.used.white_dye: #6, 89(5%)
minecraft.crafted.brown_dye: #6, 539(5%)
minecraft.dropped.orange_concrete: #5, 5(2%)
minecraft.dropped.magenta_glazed_terracotta: #5, 28(2%)
minecraft.picked_up.prismarine: #6, 567(5%)
minecraft.used.orange_banner: #5, 1(2%)
minecraft.dropped.armor_stand: #6, 16(10%)
minecraft.picked_up.light_blue_concrete_powder: #6, 48(8%)
minecraft.used.dried_kelp: #5, 7(1%)
minecraft.picked_up.black_glazed_terracotta: #5, 17(1%)
minecraft.used.black_concrete: #6, 5182(4%)
minecraft.mined.stripped_dark_oak_log: #6, 327(4%)
minecraft.dropped.coal_block: #6, 30(8%)
minecraft.dropped.peony: #5, 10(1%)
minecraft.dropped.red_mushroom: #6, 55(5%)
minecraft.crafted.waxed_oxidized_cut_copper: #5, 11(2%)
minecraft.picked_up.mossy_cobblestone_slab: #6, 36(5%)
minecraft.mined.red_nether_bricks: #5, 3(1%)
minecraft.dropped.player_head: #6, 400(3%)
minecraft.mined.granite_slab: #6, 83(7%)
minecraft.dropped.stone_pickaxe: #6, 5(4%)
minecraft.dropped.furnace: #6, 17(5%)
minecraft.picked_up.bamboo_raft: #6, 15(6%)
minecraft.dropped.brown_wool: #5, 20(1%)
minecraft.used.waxed_oxidized_cut_copper: #5, 8(1%)
minecraft.picked_up.purple_carpet: #5, 102(1%)
minecraft.dropped.podzol: #6, 27(6%)
minecraft.picked_up.pink_tulip: #5, 17(0%)
minecraft.used.lava_bucket: #6, 426(4%)
minecraft.used.heavy_weighted_pressure_plate: #5, 15(0%)
minecraft.dropped.light_blue_terracotta: #5, 6(1%)
minecraft.mined.black_wool: #6, 105(5%)
minecraft.picked_up.phantom_membrane: #6, 47(4%)
minecraft.dropped.torch: #7, 747(6%)
minecraft.crafted.terracotta: #5, 4(0%)
minecraft.used.light_blue_carpet: #5, 10(0%)
minecraft.dropped.phantom_membrane: #6, 15(5%)
minecraft.used.cocoa_beans: #6, 465(5%)
minecraft.picked_up.gray_stained_glass_pane: #6, 78(7%)
minecraft.used.mangrove_door: #6, 9(7%)
minecraft.custom.leave_game: #8, 1495(4%)
minecraft.crafted.item_frame: #7, 569(7%)
minecraft.mined.white_stained_glass: #6, 344(4%)
minecraft.crafted.dark_oak_boat: #6, 19(5%)
minecraft.custom.boat_one_cm: #7, 19962045(5%)
minecraft.used.grass: #6, 431(5%)
minecraft.mined.wall_torch: #7, 577(5%)
minecraft.used.diamond_pickaxe: #7, 366279(5%)
minecraft.dropped.diamond_sword: #7, 11(6%)
minecraft.used.spruce_slab: #7, 2998(6%)
minecraft.picked_up.pink_petals: #6, 352(4%)
minecraft.custom.interact_with_cartography_table: #6, 30(4%)
minecraft.mined.white_terracotta: #6, 835(3%)
minecraft.mined.cobbled_deepslate_stairs: #6, 32(4%)
minecraft.used.polished_deepslate_slab: #7, 3130(8%)
minecraft.dropped.brick: #6, 189(6%)
minecraft.crafted.warped_stairs: #6, 292(4%)
minecraft.dropped.apple: #6, 56(3%)
minecraft.used.andesite: #7, 4270(6%)
minecraft.killed.cod: #6, 46(4%)
minecraft.dropped.azalea: #6, 67(4%)
minecraft.crafted.blaze_powder: #6, 256(3%)
minecraft.used.spruce_sign: #7, 147(5%)
minecraft.mined.powder_snow: #7, 100(6%)
minecraft.custom.pot_flower: #7, 98(6%)
minecraft.crafted.green_dye: #6, 774(3%)
minecraft.crafted.dark_oak_button: #6, 114(4%)
minecraft.crafted.weathered_cut_copper: #6, 16(8%)
minecraft.picked_up.acacia_slab: #6, 31(5%)
minecraft.used.diamond_chestplate: #6, 6(5%)
minecraft.used.cooked_cod: #6, 34(4%)
minecraft.used.azalea: #6, 145(3%)
minecraft.dropped.flowering_azalea: #6, 28(3%)
minecraft.dropped.amethyst_shard: #6, 258(4%)
minecraft.mined.black_stained_glass_pane: #6, 24(5%)
minecraft.crafted.emerald: #7, 35690(7%)
minecraft.crafted.soul_lantern: #6, 159(3%)
minecraft.dropped.book: #6, 22(4%)
minecraft.dropped.white_stained_glass_pane: #6, 30(7%)
minecraft.crafted.iron_nugget: #6, 8237(2%)
minecraft.dropped.andesite_slab: #6, 11(8%)
minecraft.mined.pink_stained_glass: #6, 21(5%)
minecraft.picked_up.iron_leggings: #6, 14(2%)
minecraft.dropped.melon_seeds: #6, 6(6%)
minecraft.crafted.oxidized_cut_copper_slab: #6, 108(5%)
minecraft.picked_up.enchanted_book: #7, 109(6%)
minecraft.crafted.chiseled_bookshelf: #6, 41(5%)
minecraft.picked_up.polished_blackstone_wall: #6, 80(5%)
minecraft.picked_up.waxed_copper_block: #6, 55(4%)
minecraft.dropped.gold_ore: #6, 6(5%)
minecraft.picked_up.stripped_warped_hyphae: #6, 122(5%)
minecraft.used.warped_wart_block: #6, 539(3%)
minecraft.mined.attached_pumpkin_stem: #6, 2(6%)
minecraft.mined.waxed_copper_block: #6, 46(4%)
minecraft.used.waxed_copper_block: #6, 103(4%)
minecraft.mined.chorus_plant: #6, 20(4%)
minecraft.picked_up.cut_copper_slab: #6, 32(4%)
minecraft.used.warped_stairs: #6, 217(3%)
minecraft.used.diamond_boots: #7, 13(7%)
minecraft.dropped.gray_concrete: #6, 33(5%)
minecraft.dropped.acacia_log: #6, 65(4%)
minecraft.mined.diorite_wall: #6, 10(5%)
minecraft.picked_up.polished_blackstone_stairs: #6, 96(3%)
minecraft.dropped.big_dripleaf: #6, 15(3%)
minecraft.crafted.birch_door: #6, 6(4%)
minecraft.picked_up.iron_helmet: #7, 10(6%)
minecraft.mined.acacia_sign: #6, 2(4%)
minecraft.used.small_dripleaf: #6, 5(5%)
minecraft.mined.spruce_wood: #6, 64(3%)
minecraft.dropped.lily_pad: #6, 7(5%)
minecraft.mined.stripped_warped_hyphae: #6, 100(4%)
minecraft.dropped.crimson_stem: #6, 157(4%)
minecraft.crafted.acacia_sign: #6, 27(3%)
minecraft.used.golden_apple: #6, 7(3%)
minecraft.used.nether_wart: #6, 235(2%)
minecraft.dropped.oak_log: #6, 251(2%)
minecraft.killed.tropical_fish: #6, 9(3%)
minecraft.picked_up.nether_wart: #6, 766(2%)
minecraft.used.iron_helmet: #7, 6(7%)
minecraft.used.ender_eye: #6, 8(6%)
minecraft.dropped.dripstone_block: #6, 64(2%)
minecraft.crafted.cooked_cod: #6, 36(4%)
minecraft.dropped.wooden_axe: #6, 2(3%)
minecraft.dropped.sea_pickle: #6, 46(4%)
minecraft.dropped.green_candle: #6, 1(7%)
minecraft.dropped.mud_bricks: #6, 27(4%)
minecraft.used.mud_brick_wall: #6, 40(3%)
minecraft.used.flower_pot: #7, 109(5%)
minecraft.mined.nether_wart: #6, 164(2%)
minecraft.picked_up.green_wool: #6, 191(2%)
minecraft.picked_up.lime_shulker_box: #7, 171(6%)
minecraft.mined.lime_shulker_box: #7, 169(6%)
minecraft.picked_up.sheaf_pottery_sherd: #6, 1(4%)
minecraft.used.oxeye_daisy: #6, 2(3%)
minecraft.picked_up.lingering_potion: #6, 1(5%)
minecraft.dropped.crimson_nylium: #6, 19(2%)
minecraft.crafted.polished_blackstone_bricks: #6, 200(2%)
minecraft.picked_up.dried_kelp_block: #6, 16(4%)
minecraft.picked_up.mangrove_button: #6, 2(4%)
minecraft.crafted.mud_brick_slab: #6, 48(2%)
minecraft.used.lime_shulker_box: #7, 169(6%)
minecraft.picked_up.host_armor_trim_smithing_template: #6, 1(5%)
minecraft.used.diorite_stairs: #6, 31(3%)
minecraft.crafted.iron_chestplate: #6, 7(1%)
minecraft.crafted.light_gray_bed: #6, 1(3%)
minecraft.picked_up.spruce_stairs: #7, 256(4%)
minecraft.mined.red_glazed_terracotta: #6, 6(3%)
minecraft.used.golden_boots: #6, 1(5%)
minecraft.picked_up.red_tulip: #6, 37(2%)
minecraft.picked_up.stripped_mangrove_log: #6, 182(2%)
minecraft.picked_up.grindstone: #7, 56(5%)
minecraft.used.grass_block: #7, 23268(4%)
minecraft.dropped.acacia_boat: #6, 1(4%)
minecraft.crafted.magenta_stained_glass_pane: #6, 16(3%)
minecraft.dropped.stripped_spruce_log: #6, 7(3%)
minecraft.used.waxed_cut_copper: #6, 20(3%)
minecraft.crafted.waxed_cut_copper: #6, 20(4%)
minecraft.dropped.pink_dye: #6, 8(3%)
minecraft.mined.yellow_stained_glass_pane: #6, 9(2%)
minecraft.picked_up.crimson_fence_gate: #6, 3(3%)
minecraft.used.air: #6, 60(1%)
minecraft.dropped.clay: #6, 129(1%)
minecraft.crafted.waxed_cut_copper_stairs: #6, 16(4%)
minecraft.mined.light_gray_concrete_powder: #6, 65(2%)
minecraft.dropped.iron_hoe: #6, 1(3%)
minecraft.mined.stripped_mangrove_log: #6, 131(1%)
minecraft.used.polished_granite_stairs: #6, 28(3%)
minecraft.mined.cracked_deepslate_tiles: #6, 2(2%)
minecraft.mined.black_glazed_terracotta: #6, 14(2%)
minecraft.dropped.birch_door: #6, 2(3%)
minecraft.dropped.dandelion: #7, 93(4%)
minecraft.picked_up.cherry_stairs: #6, 1(3%)
minecraft.picked_up.birch_door: #6, 2(2%)
minecraft.mined.granite_wall: #6, 4(2%)
minecraft.picked_up.lily_of_the_valley: #6, 28(1%)
minecraft.used.polished_blackstone_wall: #6, 116(1%)
minecraft.dropped.shield: #7, 5(5%)
minecraft.used.polished_blackstone_brick_slab: #6, 109(2%)
minecraft.used.crimson_hyphae: #6, 78(1%)
minecraft.picked_up.flowering_azalea_leaves: #7, 1162(4%)
minecraft.mined.jack_o_lantern: #6, 22(1%)
minecraft.crafted.black_concrete_powder: #7, 9168(5%)
minecraft.used.spruce_stairs: #7, 738(4%)
minecraft.used.sunflower: #7, 13(5%)
minecraft.used.warped_planks: #7, 1397(5%)
minecraft.dropped.quartz_block: #6, 61(1%)
minecraft.used.chorus_flower: #6, 17(1%)
minecraft.picked_up.echo_shard: #6, 2(1%)
minecraft.dropped.deepslate_brick_stairs: #6, 10(1%)
minecraft.crafted.prismarine_bricks: #6, 220(1%)
minecraft.crafted.light_blue_shulker_box: #6, 6(0%)
minecraft.dropped.green_stained_glass: #6, 1(1%)
minecraft.crafted.bell: #6, 3(1%)
minecraft.mined.black_concrete_powder: #6, 66(0%)
minecraft.dropped.light_blue_wool: #6, 56(1%)
minecraft.dropped.stripped_crimson_stem: #6, 1(1%)
minecraft.used.melon_slice: #6, 4(1%)
minecraft.used.stripped_acacia_log: #6, 10(1%)
minecraft.dropped.birch_trapdoor: #6, 2(1%)
minecraft.used.prismarine_brick_slab: #6, 75(1%)
minecraft.picked_up.black_carpet: #6, 411(0%)
minecraft.used.cracked_deepslate_tiles: #6, 5(1%)
minecraft.mined.birch_sign: #7, 16(4%)
minecraft.crafted.smooth_basalt: #6, 65(1%)
minecraft.used.crimson_fence_gate: #6, 9(1%)
minecraft.picked_up.heavy_weighted_pressure_plate: #6, 35(0%)
minecraft.mined.gray_terracotta: #6, 77(0%)
minecraft.used.blue_carpet: #6, 10(0%)
minecraft.mined.warped_wart_block: #7, 2374(5%)
minecraft.picked_up.crimson_hyphae: #6, 21(0%)
minecraft.used.waxed_oxidized_cut_copper_stairs: #6, 8(0%)
minecraft.picked_up.red_mushroom: #7, 362(4%)
minecraft.crafted.light_blue_carpet: #6, 24(0%)
minecraft.dropped.blaze_powder: #6, 4(0%)
minecraft.used.netherrack: #7, 6169(4%)
minecraft.picked_up.prismarine_brick_slab: #6, 16(0%)
minecraft.used.black_concrete_powder: #7, 8585(4%)
minecraft.dropped.cracked_deepslate_bricks: #6, 2(0%)
minecraft.dropped.diorite: #7, 898(4%)
minecraft.crafted.charcoal: #7, 610(5%)
minecraft.dropped.water_bucket: #7, 16(3%)
minecraft.used.stone_pickaxe: #7, 506(3%)
minecraft.picked_up.light_blue_carpet: #6, 6(0%)
minecraft.mined.birch_leaves: #7, 2804(3%)
minecraft.picked_up.chainmail_chestplate: #7, 6(6%)
minecraft.picked_up.fern: #7, 577(5%)
minecraft.mined.andesite_stairs: #7, 21(5%)
minecraft.dropped.birch_sapling: #7, 73(4%)
minecraft.dropped.dark_oak_boat: #7, 5(7%)
minecraft.used.axolotl_bucket: #7, 27(5%)
minecraft.mined.dark_oak_door: #7, 5(5%)
minecraft.mined.spruce_wall_sign: #7, 21(4%)
minecraft.used.smooth_quartz: #7, 1076(3%)
minecraft.used.stripped_dark_oak_log: #7, 211(4%)
minecraft.picked_up.grass: #7, 514(4%)
minecraft.picked_up.stone: #8, 171946(6%)
minecraft.used.andesite_stairs: #7, 139(5%)
minecraft.used.hay_block: #7, 43(4%)
minecraft.used.acacia_log: #7, 447(4%)
minecraft.picked_up.acacia_log: #7, 1140(3%)
minecraft.picked_up.iron_trapdoor: #7, 66(4%)
minecraft.dropped.enchanted_book: #7, 55(4%)
minecraft.crafted.warped_sign: #7, 72(4%)
minecraft.crafted.brown_carpet: #7, 177(4%)
minecraft.picked_up.warped_stairs: #7, 54(4%)
minecraft.mined.pink_petals: #7, 104(4%)
minecraft.mined.cartography_table: #7, 7(4%)
minecraft.used.honey_block: #7, 317(3%)
minecraft.used.polished_blackstone_bricks: #7, 2531(4%)
minecraft.dropped.sunflower: #7, 50(4%)
minecraft.used.cartography_table: #7, 11(5%)
minecraft.used.wooden_pickaxe: #7, 17(3%)
minecraft.picked_up.spruce_sign: #8, 87(6%)
minecraft.crafted.spruce_boat: #7, 11(3%)
minecraft.crafted.dripstone_block: #7, 640(5%)
minecraft.used.stone_pressure_plate: #7, 34(3%)
minecraft.crafted.light_gray_stained_glass_pane: #7, 176(4%)
minecraft.used.exposed_copper: #7, 47(4%)
minecraft.crafted.cyan_shulker_box: #7, 12(4%)
minecraft.used.soul_campfire: #7, 17(6%)
minecraft.mined.pitcher_plant: #7, 4(6%)
minecraft.picked_up.purple_terracotta: #7, 171(5%)
minecraft.dropped.smooth_basalt: #7, 76(3%)
minecraft.used.candle: #7, 62(4%)
minecraft.dropped.wheat: #7, 91(3%)
minecraft.dropped.basalt: #7, 789(3%)
minecraft.picked_up.beef: #8, 900(6%)
minecraft.picked_up.polished_blackstone_slab: #7, 140(3%)
minecraft.picked_up.torch: #8, 5030(4%)
minecraft.mined.infested_stone: #7, 9(4%)
minecraft.crafted.polished_diorite: #7, 664(3%)
minecraft.used.polished_diorite: #7, 457(3%)
minecraft.used.pitcher_plant: #7, 10(6%)
minecraft.used.acacia_sign: #7, 28(4%)
minecraft.used.torch: #8, 9196(4%)
minecraft.used.flowering_azalea_leaves: #7, 329(2%)
minecraft.dropped.axolotl_bucket: #7, 1(7%)
minecraft.dropped.copper_ingot: #7, 34(3%)
minecraft.used.cracked_stone_bricks: #7, 244(3%)
minecraft.dropped.rabbit: #7, 2(4%)
minecraft.used.birch_boat: #8, 16(5%)
minecraft.crafted.blue_terracotta: #7, 784(4%)
minecraft.used.pink_concrete_powder: #7, 320(3%)
minecraft.dropped.potion: #7, 56(2%)
minecraft.crafted.soul_torch: #7, 276(3%)
minecraft.dropped.moss_carpet: #7, 331(2%)
minecraft.picked_up.dark_oak_wood: #7, 43(4%)
minecraft.mined.crimson_slab: #7, 66(3%)
minecraft.dropped.slime_block: #7, 96(3%)
minecraft.dropped.stonecutter: #7, 2(4%)
minecraft.crafted.pink_concrete_powder: #7, 512(4%)
minecraft.mined.polished_blackstone_slab: #7, 55(3%)
minecraft.dropped.splash_potion: #7, 17(3%)
minecraft.crafted.blue_bed: #7, 1(4%)
minecraft.used.red_terracotta: #7, 995(2%)
minecraft.picked_up.iron_block: #8, 2269(5%)
minecraft.dropped.glow_berries: #7, 16(2%)
minecraft.picked_up.light_blue_dye: #7, 21(4%)
minecraft.dropped.saddle: #7, 9(3%)
minecraft.used.cooked_salmon: #7, 23(2%)
minecraft.mined.crimson_roots: #7, 150(2%)
minecraft.crafted.spruce_sign: #8, 123(5%)
minecraft.used.dark_oak_button: #7, 55(2%)
minecraft.dropped.quartz_bricks: #7, 2(5%)
minecraft.used.chain: #8, 566(5%)
minecraft.dropped.music_disc_otherside: #7, 1(6%)
minecraft.picked_up.crimson_slab: #7, 95(2%)
minecraft.crafted.oak_sign: #8, 141(5%)
minecraft.crafted.glass_bottle: #7, 1482(2%)
minecraft.mined.oak_sapling: #7, 18(2%)
minecraft.crafted.magenta_dye: #7, 400(2%)
minecraft.used.stone_brick_wall: #8, 492(6%)
minecraft.used.torchflower: #7, 4(4%)
minecraft.picked_up.wooden_axe: #7, 3(2%)
minecraft.mined.pitcher_crop: #7, 6(3%)
minecraft.dropped.bamboo_raft: #7, 1(4%)
minecraft.dropped.glowstone: #7, 57(3%)
minecraft.used.cauldron: #7, 59(1%)
minecraft.picked_up.danger_pottery_sherd: #7, 1(4%)
minecraft.used.waxed_cut_copper_stairs: #7, 17(4%)
minecraft.picked_up.acacia_wood: #7, 15(2%)
minecraft.dropped.purpur_block: #7, 12(2%)
minecraft.dropped.stone_button: #7, 80(2%)
minecraft.used.blue_terracotta: #7, 402(2%)
minecraft.picked_up.smooth_quartz: #8, 457(5%)
minecraft.dropped.diamond_boots: #8, 9(5%)
minecraft.picked_up.name_tag: #7, 31(1%)
minecraft.crafted.acacia_stairs: #7, 20(2%)
minecraft.picked_up.enchanted_golden_apple: #7, 2(3%)
minecraft.picked_up.iron_shovel: #8, 9(5%)
minecraft.mined.polished_blackstone_stairs: #7, 16(1%)
minecraft.crafted.stone_sword: #7, 4(1%)
minecraft.dropped.redstone_lamp: #7, 4(2%)
minecraft.used.iron_shovel: #8, 3812(4%)
minecraft.picked_up.polished_deepslate_stairs: #8, 220(5%)
minecraft.mined.polished_blackstone_brick_stairs: #7, 50(1%)
minecraft.used.red_mushroom_block: #7, 91(1%)
minecraft.dropped.hay_block: #7, 14(2%)
minecraft.picked_up.mangrove_wood: #7, 11(2%)
minecraft.picked_up.nether_quartz_ore: #8, 915(5%)
minecraft.used.lime_wool: #7, 65(1%)
minecraft.picked_up.brown_wool: #7, 73(1%)
minecraft.dropped.crimson_roots: #7, 47(1%)
minecraft.dropped.amethyst_cluster: #7, 12(2%)
minecraft.crafted.dried_kelp: #7, 159(2%)
minecraft.picked_up.cherry_boat: #7, 2(2%)
minecraft.picked_up.chiseled_polished_blackstone: #7, 18(1%)
minecraft.mined.chiseled_bookshelf: #7, 3(3%)
minecraft.mined.purple_wool: #7, 10(1%)
minecraft.used.waxed_weathered_cut_copper: #7, 14(2%)
minecraft.mined.light_blue_stained_glass: #7, 12(1%)
minecraft.mined.crimson_fence_gate: #7, 2(2%)
minecraft.picked_up.dispenser: #8, 163(4%)
minecraft.dropped.blue_carpet: #7, 2(2%)
minecraft.dropped.tuff: #8, 1054(4%)
minecraft.picked_up.waxed_cut_copper_stairs: #7, 3(2%)
minecraft.dropped.jungle_leaves: #7, 6(2%)
minecraft.used.red_nether_bricks: #7, 20(2%)
minecraft.used.acacia_door: #7, 1(2%)
minecraft.dropped.nether_wart_block: #7, 47(1%)
minecraft.picked_up.warped_planks: #8, 504(4%)
minecraft.picked_up.lilac: #8, 544(4%)
minecraft.killed.wither: #7, 2(1%)
minecraft.used.shield: #8, 231(5%)
minecraft.crafted.waxed_cut_copper_slab: #7, 8(2%)
minecraft.picked_up.written_book: #8, 24(4%)
minecraft.dropped.name_tag: #7, 4(1%)
minecraft.crafted.iron_hoe: #7, 2(1%)
minecraft.picked_up.diamond_chestplate: #8, 14(5%)
minecraft.used.waxed_cut_copper_slab: #7, 8(1%)
