stat, rank, value, (percentage) 
minecraft.custom.play_time: #3, 162203428(7%)
minecraft.custom.total_world_time: #3, 162203428(7%)
minecraft.mined.white_shulker_box: #2, 874(15%)
minecraft.used.cocoa_beans: #2, 1830(18%)
minecraft.used.crimson_trapdoor: #2, 600(18%)
minecraft.used.black_concrete: #2, 18199(16%)
minecraft.dropped.comparator: #2, 217(28%)
minecraft.dropped.totem_of_undying: #3, 222(20%)
minecraft.picked_up.white_shulker_box: #2, 877(14%)
minecraft.picked_up.blue_glazed_terracotta: #1, 131(96%)
minecraft.used.furnace: #2, 537(11%)
minecraft.dropped.crimson_sign: #1, 11(48%)
minecraft.mined.chest: #2, 2049(11%)
minecraft.mined.sniffer_egg: #1, 12(57%)
minecraft.crafted.mangrove_fence: #2, 402(20%)
minecraft.picked_up.cut_sandstone_slab: #1, 440(47%)
minecraft.crafted.red_sandstone_slab: #1, 68(57%)
minecraft.killed.snow_golem: #2, 25(23%)
minecraft.dropped.lead: #2, 62(15%)
minecraft.used.white_shulker_box: #2, 876(14%)
minecraft.mined.smooth_stone: #2, 1093(17%)
minecraft.picked_up.glass_bottle: #3, 2997(15%)
minecraft.used.light_blue_stained_glass: #2, 1276(25%)
minecraft.used.orange_stained_glass: #2, 3703(23%)
minecraft.dropped.hopper: #2, 209(22%)
minecraft.picked_up.bone: #3, 12077(14%)
minecraft.mined.stone_slab: #2, 2199(14%)
minecraft.used.sniffer_egg: #2, 34(25%)
minecraft.mined.green_stained_glass: #2, 350(28%)
minecraft.used.nether_brick_slab: #1, 621(30%)
minecraft.picked_up.waxed_cut_copper_slab: #2, 128(41%)
minecraft.picked_up.prismarine_brick_stairs: #1, 31(66%)
minecraft.picked_up.purple_concrete_powder: #2, 211(33%)
minecraft.picked_up.ender_chest: #2, 2021(11%)
minecraft.picked_up.blue_concrete_powder: #2, 186(14%)
minecraft.picked_up.rotten_flesh: #3, 11584(11%)
minecraft.crafted.red_nether_brick_slab: #1, 110(65%)
minecraft.used.nether_wart: #2, 1663(15%)
minecraft.mined.sandstone_wall: #2, 194(24%)
minecraft.used.warped_stem: #2, 6473(16%)
minecraft.mined.crimson_trapdoor: #2, 77(18%)
minecraft.mined.red_stained_glass: #2, 290(18%)
minecraft.crafted.oak_door: #1, 18(11%)
minecraft.mined.ender_chest: #2, 1989(12%)
minecraft.picked_up.music_disc_cat: #2, 64(14%)
minecraft.picked_up.rabbit: #2, 51(19%)
minecraft.crafted.white_shulker_box: #2, 47(15%)
minecraft.mined.crafting_table: #2, 635(9%)
minecraft.mined.green_bed: #2, 168(15%)
minecraft.used.ender_chest: #2, 2022(12%)
minecraft.crafted.redstone_lamp: #2, 785(14%)
minecraft.custom.boat_one_cm: #2, 34141551(9%)
minecraft.crafted.bamboo_pressure_plate: #1, 4(57%)
minecraft.used.cornflower: #2, 58(18%)
minecraft.killed_by.phantom: #1, 3(25%)
minecraft.custom.inspect_hopper: #2, 4778(9%)
minecraft.used.mangrove_slab: #2, 538(15%)
minecraft.used.ladder: #2, 955(10%)
minecraft.used.red_sandstone_slab: #1, 67(74%)
minecraft.crafted.black_wool: #2, 3157(19%)
minecraft.picked_up.green_bed: #2, 171(15%)
minecraft.mined.cut_sandstone: #2, 1214(17%)
minecraft.used.white_stained_glass_pane: #3, 1540(20%)
minecraft.picked_up.crafting_table: #2, 650(8%)
minecraft.used.crafting_table: #2, 690(8%)
minecraft.used.comparator: #2, 1393(12%)
minecraft.picked_up.chainmail_leggings: #2, 17(16%)
minecraft.broken.iron_shovel: #2, 36(13%)
minecraft.crafted.stone_button: #2, 3211(11%)
minecraft.crafted.gold_block: #2, 6374(13%)
minecraft.used.golden_apple: #3, 54(20%)
minecraft.used.stone_sword: #2, 598(14%)
minecraft.used.crimson_hyphae: #2, 1674(23%)
minecraft.used.blue_glazed_terracotta: #1, 593(99%)
minecraft.used.warped_trapdoor: #2, 599(15%)
minecraft.mined.blue_glazed_terracotta: #1, 131(97%)
minecraft.used.crying_obsidian: #2, 2176(20%)
minecraft.mined.wall_torch: #2, 891(8%)
minecraft.used.iron_block: #2, 5746(10%)
minecraft.crafted.warped_trapdoor: #2, 660(14%)
minecraft.crafted.bamboo_mosaic_slab: #1, 228(95%)
minecraft.crafted.oak_planks: #3, 29084(10%)
minecraft.used.crimson_stairs: #2, 454(16%)
minecraft.picked_up.bamboo_mosaic_slab: #1, 75(94%)
minecraft.used.bamboo_planks: #1, 20(17%)
minecraft.used.honeycomb: #2, 1383(12%)
minecraft.used.acacia_fence: #2, 130(24%)
minecraft.mined.infested_stone: #2, 39(18%)
minecraft.mined.brown_shulker_box: #2, 401(13%)
minecraft.picked_up.brown_shulker_box: #2, 404(13%)
minecraft.crafted.red_nether_bricks: #2, 512(23%)
minecraft.used.stone_slab: #3, 11255(14%)
minecraft.used.oak_log: #2, 3130(8%)
minecraft.used.mangrove_stairs: #2, 327(18%)
minecraft.used.brown_shulker_box: #2, 404(12%)
minecraft.picked_up.suspicious_stew: #2, 30(13%)
minecraft.mined.dead_bubble_coral_wall_fan: #1, 5(83%)
minecraft.crafted.conduit: #1, 3(17%)
minecraft.mined.copper_block: #3, 600(14%)
minecraft.used.waxed_cut_copper: #2, 194(26%)
minecraft.mined.red_nether_brick_stairs: #1, 32(82%)
minecraft.dropped.jungle_stairs: #1, 6(55%)
minecraft.picked_up.red_nether_brick_stairs: #1, 31(82%)
minecraft.used.gold_block: #3, 1156(15%)
minecraft.used.deepslate_iron_ore: #2, 413(12%)
minecraft.crafted.chiseled_sandstone: #2, 98(37%)
minecraft.picked_up.leather_leggings: #2, 48(10%)
minecraft.used.beetroot: #1, 4(80%)
minecraft.dropped.brown_banner: #1, 8(53%)
minecraft.used.warped_stairs: #3, 1304(18%)
minecraft.picked_up.black_stained_glass: #2, 684(11%)
minecraft.crafted.mangrove_sign: #2, 87(18%)
minecraft.used.gold_ore: #2, 119(13%)
minecraft.killed_by.stray: #1, 2(15%)
minecraft.picked_up.waxed_exposed_copper: #2, 255(19%)
minecraft.killed.allay: #1, 2(50%)
minecraft.mined.light_gray_shulker_box: #3, 471(15%)
minecraft.crafted.warped_stairs: #3, 1272(17%)
minecraft.used.dispenser: #2, 617(10%)
minecraft.picked_up.cut_sandstone: #2, 1182(15%)
minecraft.mined.chiseled_sandstone: #2, 27(18%)
minecraft.picked_up.yellow_shulker_box: #3, 684(12%)
minecraft.picked_up.chest: #3, 2469(10%)
minecraft.picked_up.iron_ore: #2, 2107(8%)
minecraft.used.yellow_shulker_box: #3, 697(13%)
minecraft.mined.yellow_shulker_box: #3, 683(13%)
minecraft.picked_up.cocoa_beans: #3, 4422(14%)
minecraft.used.light_gray_shulker_box: #3, 471(15%)
minecraft.picked_up.light_gray_shulker_box: #3, 475(15%)
minecraft.mined.tall_seagrass: #2, 518(10%)
minecraft.crafted.hopper: #3, 4303(13%)
minecraft.mined.waxed_exposed_copper: #2, 256(22%)
minecraft.mined.waxed_copper_block: #3, 257(21%)
minecraft.crafted.black_dye: #3, 14161(13%)
minecraft.mined.redstone_wall_torch: #2, 150(9%)
minecraft.picked_up.beetroot: #2, 400(18%)
minecraft.mined.dead_horn_coral_fan: #1, 2(22%)
minecraft.picked_up.bow: #3, 544(9%)
minecraft.picked_up.crimson_trapdoor: #2, 72(12%)
minecraft.mined.blue_stained_glass: #2, 70(26%)
minecraft.crafted.hay_block: #2, 1837(10%)
minecraft.crafted.bread: #2, 3678(10%)
minecraft.custom.minecart_one_cm: #2, 5543060(7%)
minecraft.crafted.crimson_trapdoor: #3, 604(14%)
minecraft.mined.smooth_sandstone_slab: #2, 149(21%)
minecraft.crafted.waxed_copper_block: #2, 735(32%)
minecraft.crafted.orange_stained_glass: #2, 3496(15%)
minecraft.used.amethyst_block: #2, 1484(10%)
minecraft.picked_up.sniffer_egg: #2, 19(13%)
minecraft.crafted.white_stained_glass_pane: #3, 1584(16%)
minecraft.dropped.iron_helmet: #2, 13(12%)
minecraft.picked_up.red_sandstone_slab: #1, 3(30%)
minecraft.crafted.enchanting_table: #2, 7(11%)
minecraft.crafted.comparator: #3, 1528(13%)
minecraft.picked_up.oak_door: #2, 16(10%)
minecraft.mined.fire: #3, 2119(9%)
minecraft.used.oak_planks: #3, 2371(11%)
minecraft.mined.red_sandstone_slab: #1, 3(38%)
minecraft.custom.damage_resisted: #3, 17142(8%)
minecraft.dropped.raw_iron_block: #2, 48(26%)
minecraft.used.crimson_fence: #3, 440(21%)
minecraft.used.shulker_box: #3, 6971(9%)
minecraft.picked_up.glass: #3, 7095(11%)
minecraft.mined.bamboo_wall_hanging_sign: #1, 8(36%)
minecraft.crafted.sea_lantern: #2, 3520(21%)
minecraft.mined.stonecutter: #3, 221(11%)
minecraft.crafted.orange_dye: #2, 2710(9%)
minecraft.picked_up.shulker_box: #3, 7029(9%)
minecraft.mined.shulker_box: #3, 6920(9%)
minecraft.crafted.redstone_torch: #3, 8711(10%)
minecraft.picked_up.red_nether_brick_slab: #1, 102(100%)
minecraft.picked_up.dead_bubble_coral: #1, 1(25%)
minecraft.used.poisonous_potato: #1, 1(100%)
minecraft.used.bamboo_pressure_plate: #1, 4(100%)
minecraft.used.dead_bubble_coral_fan: #1, 5(100%)
minecraft.used.rabbit_stew: #1, 1(20%)
minecraft.used.pufferfish: #1, 1(100%)
minecraft.used.bamboo_mosaic_slab: #1, 274(100%)
minecraft.crafted.magma_block: #1, 465(100%)
minecraft.mined.bamboo_mosaic_slab: #1, 71(100%)
minecraft.mined.dead_fire_coral_fan: #1, 1(50%)
minecraft.mined.red_nether_brick_slab: #1, 91(100%)
minecraft.mined.dead_bubble_coral_fan: #1, 1(25%)
minecraft.dropped.mangrove_boat: #1, 1(25%)
minecraft.dropped.yellow_banner: #1, 1(100%)
minecraft.dropped.tadpole_bucket: #1, 4(100%)
minecraft.used.rabbit: #1, 1(33%)
minecraft.mined.blue_candle: #1, 2(33%)
minecraft.dropped.bone_block: #2, 489(14%)
minecraft.used.polished_blackstone_stairs: #3, 962(14%)
minecraft.used.cobweb: #2, 200(12%)
minecraft.mined.stone_stairs: #3, 295(12%)
minecraft.used.cut_sandstone: #2, 5993(11%)
minecraft.used.raw_copper_block: #3, 325(20%)
minecraft.used.mangrove_pressure_plate: #2, 75(24%)
minecraft.used.green_bed: #3, 168(15%)
minecraft.crafted.quartz_slab: #3, 800(17%)
minecraft.crafted.mushroom_stew: #2, 47(27%)
minecraft.dropped.iron_nugget: #2, 3328(5%)
minecraft.used.magma_block: #3, 3271(12%)
minecraft.crafted.scaffolding: #3, 11326(13%)
minecraft.picked_up.stonecutter: #3, 221(10%)
minecraft.picked_up.beetroot_seeds: #3, 860(14%)
minecraft.picked_up.crimson_door: #2, 5(21%)
minecraft.used.brown_dye: #2, 8(27%)
minecraft.crafted.brown_dye: #4, 1810(15%)
minecraft.used.dropper: #3, 1020(11%)
minecraft.used.smooth_basalt: #3, 2884(13%)
minecraft.crafted.wheat: #2, 8273(9%)
minecraft.picked_up.crimson_planks: #2, 338(7%)
minecraft.mined.stone_bricks: #2, 2950(7%)
minecraft.dropped.oak_sapling: #3, 317(10%)
minecraft.picked_up.waxed_copper_block: #3, 240(18%)
minecraft.mined.acacia_fence: #2, 11(16%)
minecraft.mined.activator_rail: #2, 93(15%)
minecraft.picked_up.glow_lichen: #3, 4342(11%)
minecraft.used.glow_lichen: #3, 4376(11%)
minecraft.used.exposed_copper: #3, 175(13%)
minecraft.mined.mangrove_stairs: #2, 27(12%)
minecraft.dropped.amethyst_shard: #3, 997(15%)
minecraft.picked_up.warped_roots: #3, 3494(11%)
