stat, rank, value, (percentage) 
minecraft.dropped.quartz: #22, 1(0%)
minecraft.dropped.blackstone: #22, 3(0%)
minecraft.used.amethyst_block: #22, 1(0%)
minecraft.dropped.gold_nugget: #22, 3(0%)
minecraft.custom.sleep_in_bed: #23, 503(1%)
minecraft.custom.aviate_one_cm: #23, 255182677(1%)
minecraft.crafted.wooden_pickaxe: #23, 1(2%)
minecraft.crafted.diamond_axe: #23, 2(1%)
minecraft.custom.open_shulker_box: #23, 7949(1%)
minecraft.used.firework_rocket: #23, 5319(1%)
minecraft.mined.tuff: #23, 1375(1%)
minecraft.picked_up.cobblestone: #23, 9544(1%)
minecraft.picked_up.cyan_shulker_box: #23, 56(1%)
minecraft.crafted.iron_ingot: #23, 4351(1%)
minecraft.killed_by.creeper: #23, 1(1%)
minecraft.mined.cyan_shulker_box: #23, 54(1%)
minecraft.picked_up.oak_fence: #23, 17(1%)
minecraft.killed_by.skeleton: #23, 1(1%)
minecraft.used.cyan_shulker_box: #23, 57(1%)
minecraft.picked_up.leather_helmet: #23, 2(1%)
minecraft.picked_up.oak_sign: #23, 15(1%)
minecraft.picked_up.red_shulker_box: #23, 63(1%)
minecraft.dropped.diamond: #23, 47(1%)
minecraft.picked_up.beacon: #23, 5(1%)
minecraft.mined.red_shulker_box: #23, 61(1%)
minecraft.used.red_shulker_box: #23, 65(1%)
minecraft.dropped.wheat_seeds: #23, 404(1%)
minecraft.mined.white_bed: #23, 13(1%)
minecraft.used.iron_axe: #23, 181(1%)
minecraft.custom.interact_with_stonecutter: #23, 56(1%)
minecraft.picked_up.white_bed: #23, 13(1%)
minecraft.used.beacon: #23, 4(0%)
minecraft.picked_up.oak_slab: #23, 13(0%)
minecraft.mined.oak_slab: #23, 8(0%)
minecraft.dropped.netherite_pickaxe: #23, 1(0%)
minecraft.custom.play_record: #23, 5(0%)
minecraft.crafted.flint_and_steel: #23, 2(0%)
minecraft.picked_up.flowering_azalea: #23, 30(0%)
minecraft.mined.flowering_azalea: #23, 8(0%)
minecraft.mined.azalea: #23, 13(0%)
minecraft.mined.lever: #23, 5(0%)
minecraft.picked_up.hopper: #23, 37(0%)
minecraft.mined.moss_block: #23, 369(0%)
minecraft.used.black_shulker_box: #23, 14(0%)
minecraft.dropped.spruce_sign: #23, 1(0%)
minecraft.used.birch_log: #23, 57(0%)
minecraft.mined.flowering_azalea_leaves: #23, 62(0%)
minecraft.crafted.bucket: #23, 17(0%)
minecraft.picked_up.beef: #23, 26(0%)
minecraft.mined.birch_sapling: #23, 1(0%)
minecraft.mined.rail: #23, 69(0%)
minecraft.crafted.oak_stairs: #23, 8(0%)
minecraft.picked_up.stone_sword: #23, 1(0%)
minecraft.crafted.blaze_powder: #23, 10(0%)
minecraft.custom.mob_kills: #23, 10360(0%)
minecraft.used.minecart: #23, 3(0%)
minecraft.mined.smooth_basalt: #23, 23(0%)
minecraft.dropped.coal: #23, 8(0%)
minecraft.picked_up.string: #23, 86(0%)
minecraft.used.lava_bucket: #23, 10(0%)
minecraft.dropped.moss_block: #23, 8(0%)
minecraft.used.wooden_sword: #23, 3(0%)
minecraft.mined.snow_block: #23, 61(0%)
minecraft.dropped.birch_log: #23, 2(0%)
minecraft.mined.cocoa: #23, 4(0%)
minecraft.killed.salmon: #23, 1(0%)
minecraft.picked_up.gold_ore: #23, 1(0%)
minecraft.picked_up.painting: #23, 1(0%)
minecraft.picked_up.slime_ball: #23, 19(0%)
minecraft.killed.slime: #23, 13(0%)
minecraft.mined.chain: #23, 1(0%)
minecraft.crafted.paper: #23, 237(0%)
minecraft.used.birch_planks: #23, 63(0%)
minecraft.dropped.bone: #23, 13(0%)
minecraft.mined.cobbled_deepslate_slab: #23, 3(0%)
minecraft.dropped.dark_oak_log: #23, 3(0%)
minecraft.mined.ancient_debris: #23, 3(0%)
minecraft.picked_up.ancient_debris: #23, 3(0%)
minecraft.mined.yellow_terracotta: #23, 4(0%)
minecraft.picked_up.cod: #23, 1(0%)
minecraft.killed.blaze: #23, 4(0%)
minecraft.used.cactus: #23, 1(0%)
minecraft.crafted.hay_block: #23, 4(0%)
minecraft.picked_up.gold_block: #23, 2(0%)
minecraft.used.oak_leaves: #23, 12(0%)
minecraft.picked_up.gold_ingot: #23, 5(0%)
minecraft.dropped.gunpowder: #23, 6(0%)
minecraft.dropped.sugar_cane: #23, 1(0%)
minecraft.crafted.magenta_dye: #23, 2(0%)
minecraft.used.black_concrete: #23, 4(0%)
minecraft.used.black_concrete_powder: #23, 1(0%)
minecraft.killed.pillager: #23, 6(0%)
minecraft.custom.walk_one_cm: #24, 27376236(1%)
minecraft.custom.interact_with_crafting_table: #24, 872(1%)
minecraft.mined.oak_log: #24, 945(1%)
minecraft.custom.open_enderchest: #24, 730(1%)
minecraft.picked_up.diamond_sword: #24, 10(1%)
minecraft.mined.wall_torch: #24, 80(1%)
minecraft.picked_up.tuff: #24, 1113(1%)
minecraft.picked_up.oak_log: #24, 880(1%)
minecraft.custom.interact_with_anvil: #24, 63(0%)
minecraft.custom.damage_taken: #24, 43455(0%)
minecraft.dropped.torch: #24, 61(0%)
minecraft.killed.spider: #24, 11(0%)
minecraft.used.redstone_torch: #24, 62(0%)
minecraft.crafted.iron_sword: #24, 1(0%)
minecraft.custom.drop: #24, 1060(0%)
minecraft.dropped.carved_pumpkin: #24, 7(0%)
minecraft.used.stone_axe: #24, 29(0%)
minecraft.used.oak_slab: #24, 30(0%)
minecraft.picked_up.moss_block: #24, 374(0%)
minecraft.picked_up.spruce_sign: #24, 4(0%)
minecraft.picked_up.rose_bush: #24, 107(0%)
minecraft.picked_up.yellow_shulker_box: #24, 14(0%)
minecraft.mined.black_shulker_box: #24, 12(0%)
minecraft.picked_up.black_shulker_box: #24, 12(0%)
minecraft.used.diamond_sword: #24, 1720(0%)
minecraft.mined.ender_chest: #24, 35(0%)
minecraft.mined.redstone_ore: #24, 4(0%)
minecraft.used.observer: #24, 59(0%)
minecraft.mined.diorite: #24, 403(0%)
minecraft.picked_up.iron_door: #24, 1(0%)
minecraft.picked_up.flowering_azalea_leaves: #24, 48(0%)
minecraft.picked_up.netherrack: #24, 1263(0%)
minecraft.crafted.stonecutter: #24, 2(0%)
minecraft.used.potion: #24, 10(0%)
minecraft.dropped.player_head: #24, 14(0%)
minecraft.picked_up.rail: #24, 71(0%)
minecraft.picked_up.minecart: #24, 4(0%)
minecraft.mined.kelp: #24, 7(0%)
minecraft.used.deepslate: #24, 169(0%)
minecraft.crafted.item_frame: #24, 8(0%)
minecraft.mined.redstone_torch: #24, 3(0%)
minecraft.picked_up.wooden_sword: #24, 1(0%)
minecraft.mined.vine: #24, 10(0%)
minecraft.dropped.netherrack: #24, 448(0%)
minecraft.used.deepslate_tile_slab: #24, 20(0%)
minecraft.mined.netherrack: #24, 1316(0%)
minecraft.mined.seagrass: #24, 5(0%)
minecraft.crafted.lectern: #24, 1(0%)
minecraft.used.smooth_quartz_stairs: #24, 7(0%)
minecraft.mined.oak_stairs: #24, 1(0%)
minecraft.picked_up.egg: #24, 16(0%)
minecraft.dropped.stone: #24, 133(0%)
minecraft.used.painting: #24, 1(0%)
minecraft.killed.zombie: #24, 78(0%)
minecraft.mined.mossy_cobblestone: #24, 3(0%)
minecraft.crafted.iron_block: #24, 54(0%)
minecraft.picked_up.cocoa_beans: #24, 12(0%)
minecraft.picked_up.cooked_beef: #24, 2(0%)
minecraft.dropped.rotten_flesh: #24, 62(0%)
minecraft.crafted.gold_ingot: #24, 225(0%)
minecraft.crafted.acacia_planks: #24, 16(0%)
minecraft.picked_up.lily_of_the_valley: #24, 1(0%)
minecraft.crafted.light_blue_dye: #24, 4(0%)
minecraft.custom.animals_bred: #24, 3(0%)
minecraft.picked_up.black_concrete: #24, 10(0%)
minecraft.mined.black_concrete: #24, 10(0%)
minecraft.dropped.emerald: #24, 8(0%)
minecraft.picked_up.grass: #24, 1(0%)
minecraft.crafted.bone_block: #24, 6(0%)
minecraft.mined.orange_terracotta: #24, 1(0%)
minecraft.crafted.air: #24, 0(0%)
minecraft.custom.leave_game: #25, 398(1%)
minecraft.custom.jump: #25, 93763(1%)
minecraft.custom.fall_one_cm: #25, 2460867(1%)
minecraft.custom.sprint_one_cm: #25, 18187789(1%)
minecraft.custom.walk_under_water_one_cm: #25, 1435661(0%)
minecraft.used.torch: #25, 1581(1%)
minecraft.crafted.iron_shovel: #25, 3(1%)
minecraft.custom.deaths: #25, 26(0%)
minecraft.crafted.stone_axe: #25, 1(1%)
minecraft.picked_up.iron_helmet: #25, 1(1%)
minecraft.custom.inspect_hopper: #25, 199(0%)
minecraft.picked_up.lead: #25, 16(0%)
minecraft.broken.shears: #25, 2(0%)
minecraft.picked_up.oak_sapling: #25, 164(0%)
minecraft.mined.chest: #25, 59(0%)
minecraft.used.bone_meal: #25, 1185(0%)
minecraft.crafted.diamond_chestplate: #25, 1(0%)
minecraft.picked_up.birch_boat: #25, 1(0%)
minecraft.mined.peony: #25, 1(0%)
minecraft.used.bow: #25, 159(0%)
minecraft.mined.moss_carpet: #25, 26(0%)
minecraft.mined.cobbled_deepslate: #25, 54(0%)
minecraft.used.shulker_box: #25, 156(0%)
minecraft.picked_up.deepslate: #25, 1029(0%)
minecraft.mined.birch_leaves: #25, 177(0%)
minecraft.mined.wheat: #25, 69(0%)
minecraft.picked_up.birch_sapling: #25, 53(0%)
minecraft.picked_up.moss_carpet: #25, 86(0%)
minecraft.picked_up.diorite: #25, 373(0%)
minecraft.mined.dark_oak_planks: #25, 16(0%)
minecraft.picked_up.azalea: #25, 29(0%)
minecraft.picked_up.pumpkin: #25, 49(0%)
minecraft.picked_up.wheat: #25, 75(0%)
minecraft.used.poppy: #25, 1(0%)
minecraft.used.netherrack: #25, 245(0%)
minecraft.mined.observer: #25, 13(0%)
minecraft.picked_up.rotten_flesh: #25, 99(0%)
minecraft.picked_up.shulker_box: #25, 90(0%)
minecraft.mined.shulker_box: #25, 85(0%)
minecraft.crafted.dark_oak_stairs: #25, 16(0%)
minecraft.used.wheat_seeds: #25, 57(0%)
minecraft.picked_up.blaze_rod: #25, 5(0%)
minecraft.mined.polished_andesite_stairs: #25, 2(0%)
minecraft.crafted.anvil: #25, 4(0%)
minecraft.picked_up.ink_sac: #25, 43(0%)
minecraft.crafted.note_block: #25, 5(0%)
minecraft.used.oak_trapdoor: #25, 7(0%)
minecraft.killed.magma_cube: #25, 10(0%)
minecraft.used.dark_oak_planks: #25, 24(0%)
minecraft.mined.smooth_quartz_stairs: #25, 1(0%)
minecraft.dropped.stick: #25, 57(0%)
minecraft.mined.note_block: #25, 1(0%)
minecraft.picked_up.white_terracotta: #25, 28(0%)
minecraft.mined.birch_planks: #25, 11(0%)
minecraft.crafted.writable_book: #25, 1(0%)
minecraft.crafted.chain: #25, 8(0%)
minecraft.crafted.bone_meal: #25, 1908(0%)
minecraft.picked_up.white_dye: #25, 3(0%)
minecraft.dropped.flint: #25, 6(0%)
minecraft.picked_up.note_block: #25, 1(0%)
minecraft.mined.composter: #25, 1(0%)
minecraft.picked_up.deepslate_diamond_ore: #25, 11(0%)
minecraft.used.dark_oak_log: #25, 24(0%)
minecraft.crafted.brown_dye: #25, 6(0%)
minecraft.picked_up.composter: #25, 1(0%)
minecraft.mined.podzol: #25, 14(0%)
minecraft.picked_up.oak_stairs: #25, 1(0%)
minecraft.picked_up.bone_meal: #25, 66(0%)
minecraft.picked_up.cobbled_deepslate_slab: #25, 3(0%)
minecraft.used.birch_sapling: #25, 5(0%)
minecraft.used.gold_block: #25, 2(0%)
minecraft.used.dark_oak_fence: #25, 3(0%)
minecraft.dropped.egg: #25, 3(0%)
minecraft.killed.creeper: #25, 16(0%)
minecraft.crafted.dark_oak_fence: #25, 3(0%)
minecraft.used.snow_block: #25, 32(0%)
minecraft.picked_up.magma_cream: #25, 1(0%)
minecraft.mined.stripped_oak_log: #25, 4(0%)
minecraft.picked_up.white_banner: #25, 1(0%)
minecraft.picked_up.stripped_oak_log: #25, 4(0%)
minecraft.used.azalea: #25, 1(0%)
minecraft.mined.acacia_log: #25, 4(0%)
minecraft.mined.red_terracotta: #25, 6(0%)
minecraft.used.polished_andesite_stairs: #25, 2(0%)
minecraft.mined.white_wool: #25, 1(0%)
minecraft.dropped.moss_carpet: #25, 2(0%)
minecraft.used.soul_sand: #25, 3(0%)
minecraft.picked_up.peony: #25, 1(0%)
minecraft.picked_up.green_concrete: #25, 1(0%)
minecraft.picked_up.rooted_dirt: #25, 1(0%)
minecraft.picked_up.copper_ingot: #25, 3(0%)
minecraft.mined.amethyst_block: #25, 1(0%)
minecraft.crafted.white_wool: #25, 3(0%)
minecraft.picked_up.amethyst_block: #25, 1(0%)
minecraft.picked_up.gold_nugget: #25, 16(0%)
minecraft.crafted.stick: #26, 2525(1%)
minecraft.used.crafting_table: #26, 53(1%)
minecraft.custom.player_kills: #26, 6(1%)
minecraft.mined.crafting_table: #26, 38(1%)
minecraft.picked_up.crafting_table: #26, 41(1%)
minecraft.custom.interact_with_lectern: #26, 51(0%)
minecraft.picked_up.torch: #26, 550(0%)
minecraft.dropped.written_book: #26, 1(1%)
minecraft.used.writable_book: #26, 29(0%)
minecraft.picked_up.lapis_lazuli: #26, 396(0%)
minecraft.mined.grass: #26, 300(0%)
minecraft.used.birch_boat: #26, 1(0%)
minecraft.crafted.iron_axe: #26, 1(0%)
minecraft.killed.zombie_villager: #26, 1(0%)
minecraft.mined.stone: #26, 12755(0%)
minecraft.picked_up.chest: #26, 60(0%)
minecraft.custom.interact_with_grindstone: #26, 4(0%)
minecraft.used.coal_ore: #26, 69(0%)
minecraft.picked_up.wheat_seeds: #26, 588(0%)
minecraft.used.shears: #26, 549(0%)
minecraft.picked_up.firework_rocket: #26, 1011(0%)
minecraft.mined.gravel: #26, 969(0%)
minecraft.custom.swim_one_cm: #26, 191475(0%)
minecraft.dropped.iron_ingot: #26, 40(0%)
minecraft.used.stonecutter: #26, 4(0%)
minecraft.picked_up.arrow: #26, 120(0%)
minecraft.mined.lapis_ore: #26, 8(0%)
minecraft.picked_up.stone: #26, 4159(0%)
minecraft.picked_up.flint: #26, 29(0%)
minecraft.mined.stonecutter: #26, 3(0%)
minecraft.picked_up.stonecutter: #26, 3(0%)
minecraft.picked_up.coal_ore: #26, 67(0%)
minecraft.picked_up.iron_boots: #26, 1(0%)
minecraft.mined.shroomlight: #26, 6(0%)
minecraft.used.water_bucket: #26, 78(0%)
minecraft.picked_up.poppy: #26, 28(0%)
minecraft.custom.damage_dealt: #26, 55483(0%)
minecraft.killed.phantom: #26, 1(0%)
minecraft.used.bucket: #26, 93(0%)
minecraft.picked_up.iron_ore: #26, 23(0%)
minecraft.dropped.oak_sapling: #26, 3(0%)
minecraft.picked_up.shroomlight: #26, 6(0%)
minecraft.mined.cave_vines_plant: #26, 2(0%)
minecraft.used.stone: #26, 725(0%)
minecraft.custom.minecart_one_cm: #26, 60368(0%)
minecraft.mined.azalea_leaves: #26, 75(0%)
minecraft.mined.coarse_dirt: #26, 15(0%)
minecraft.picked_up.sugar_cane: #26, 152(0%)
minecraft.picked_up.flint_and_steel: #26, 1(0%)
minecraft.picked_up.pointed_dripstone: #26, 14(0%)
minecraft.picked_up.observer: #26, 9(0%)
minecraft.picked_up.iron_nugget: #26, 51(0%)
minecraft.picked_up.phantom_membrane: #26, 1(0%)
minecraft.dropped.dark_oak_planks: #26, 3(0%)
minecraft.picked_up.polished_andesite_stairs: #26, 2(0%)
minecraft.killed.ghast: #26, 1(0%)
minecraft.crafted.oak_trapdoor: #26, 6(0%)
minecraft.picked_up.granite: #26, 126(0%)
minecraft.crafted.shears: #26, 6(0%)
minecraft.picked_up.glass: #26, 37(0%)
minecraft.mined.granite: #26, 141(0%)
minecraft.picked_up.azalea_leaves: #26, 43(0%)
minecraft.dropped.birch_sapling: #26, 1(0%)
minecraft.picked_up.lime_terracotta: #26, 6(0%)
minecraft.used.chain: #26, 5(0%)
minecraft.used.dispenser: #26, 3(0%)
minecraft.killed.skeleton: #26, 35(0%)
minecraft.crafted.coarse_dirt: #26, 16(0%)
minecraft.mined.nether_gold_ore: #26, 3(0%)
minecraft.picked_up.red_mushroom: #26, 3(0%)
minecraft.picked_up.coarse_dirt: #26, 6(0%)
minecraft.crafted.white_dye: #26, 25(0%)
minecraft.picked_up.mossy_cobblestone: #26, 2(0%)
minecraft.picked_up.deepslate_iron_ore: #26, 1(0%)
minecraft.picked_up.feather: #26, 7(0%)
minecraft.mined.calcite: #26, 7(0%)
minecraft.dropped.bone_meal: #26, 4(0%)
minecraft.mined.gold_ore: #26, 1(0%)
minecraft.picked_up.red_terracotta: #26, 6(0%)
minecraft.picked_up.acacia_log: #26, 4(0%)
minecraft.crafted.light_gray_dye: #26, 3(0%)
minecraft.used.azalea_leaves: #26, 3(0%)
minecraft.crafted.gray_dye: #26, 2(0%)
minecraft.used.terracotta: #26, 2(0%)
minecraft.picked_up.black_wool: #26, 1(0%)
minecraft.dropped.filled_map: #26, 2(0%)
minecraft.dropped.diamond_sword: #27, 2(1%)
minecraft.picked_up.diamond_axe: #27, 8(1%)
minecraft.custom.walk_on_water_one_cm: #27, 502146(0%)
minecraft.crafted.stone_pickaxe: #27, 1(1%)
minecraft.picked_up.diamond_helmet: #27, 2(0%)
minecraft.custom.open_barrel: #27, 423(0%)
minecraft.mined.tall_grass: #27, 36(0%)
minecraft.picked_up.carved_pumpkin: #27, 40(0%)
minecraft.mined.torch: #27, 42(0%)
minecraft.picked_up.gravel: #27, 774(0%)
minecraft.picked_up.stick: #27, 190(0%)
minecraft.crafted.iron_leggings: #27, 1(0%)
minecraft.used.item_frame: #27, 16(0%)
minecraft.mined.nether_quartz_ore: #27, 84(0%)
minecraft.mined.fire: #27, 24(0%)
minecraft.mined.azure_bluet: #27, 1(0%)
minecraft.picked_up.dark_oak_planks: #27, 16(0%)
minecraft.used.gravel: #27, 29(0%)
minecraft.picked_up.shears: #27, 1(0%)
minecraft.used.armor_stand: #27, 3(0%)
minecraft.used.anvil: #27, 3(0%)
minecraft.used.crossbow: #27, 1(0%)
minecraft.crafted.lantern: #27, 9(0%)
minecraft.used.grindstone: #27, 1(0%)
minecraft.mined.sugar_cane: #27, 50(0%)
minecraft.crafted.armor_stand: #27, 2(0%)
minecraft.mined.dirt_path: #27, 4(0%)
minecraft.picked_up.white_wool: #27, 11(0%)
minecraft.mined.poppy: #27, 2(0%)
minecraft.used.note_block: #27, 3(0%)
minecraft.crafted.black_dye: #27, 65(0%)
minecraft.custom.inspect_dispenser: #27, 16(0%)
minecraft.picked_up.bone: #27, 35(0%)
minecraft.picked_up.armor_stand: #27, 1(0%)
minecraft.used.moss_block: #27, 75(0%)
minecraft.killed.piglin: #27, 1(0%)
minecraft.mined.dark_oak_log: #27, 45(0%)
minecraft.picked_up.birch_leaves: #27, 15(0%)
minecraft.picked_up.snow: #27, 12(0%)
minecraft.mined.soul_sand: #27, 11(0%)
minecraft.picked_up.chain: #27, 1(0%)
minecraft.picked_up.soul_sand: #27, 11(0%)
minecraft.picked_up.book: #27, 7(0%)
minecraft.used.lectern: #27, 1(0%)
minecraft.mined.carved_pumpkin: #27, 2(0%)
minecraft.picked_up.glowstone: #27, 1(0%)
minecraft.mined.emerald_block: #27, 1(0%)
minecraft.used.stone_stairs: #27, 1(0%)
minecraft.mined.stone_slab: #27, 1(0%)
minecraft.crafted.blue_dye: #27, 4(0%)
minecraft.mined.clay: #27, 4(0%)
minecraft.picked_up.emerald_block: #27, 1(0%)
minecraft.used.stone_slab: #27, 2(0%)
minecraft.custom.play_time: #28, 20086674(1%)
minecraft.custom.total_world_time: #28, 20086674(1%)
minecraft.dropped.elytra: #28, 3(1%)
minecraft.picked_up.elytra: #28, 12(1%)
minecraft.mined.player_head: #28, 3(0%)
minecraft.custom.climb_one_cm: #28, 135849(0%)
minecraft.dropped.water_bucket: #28, 1(0%)
minecraft.picked_up.player_head: #28, 38(0%)
minecraft.picked_up.bow: #28, 8(0%)
minecraft.crafted.iron_chestplate: #28, 1(0%)
minecraft.used.lantern: #28, 11(0%)
minecraft.crafted.oak_slab: #28, 36(0%)
minecraft.picked_up.netherite_pickaxe: #28, 1(0%)
minecraft.dropped.crafting_table: #28, 1(0%)
minecraft.picked_up.iron_ingot: #28, 58(0%)
minecraft.mined.oak_trapdoor: #28, 1(0%)
minecraft.picked_up.apple: #28, 5(0%)
minecraft.mined.dandelion: #28, 3(0%)
minecraft.picked_up.leather: #28, 13(0%)
minecraft.used.moss_carpet: #28, 12(0%)
minecraft.picked_up.leather_boots: #28, 1(0%)
minecraft.picked_up.snow_block: #28, 48(0%)
minecraft.used.granite: #28, 9(0%)
minecraft.crafted.bow: #28, 1(0%)
minecraft.custom.interact_with_blast_furnace: #28, 1(0%)
minecraft.picked_up.glass_bottle: #28, 3(0%)
minecraft.picked_up.calcite: #28, 7(0%)
minecraft.dropped.iron_nugget: #28, 6(0%)
minecraft.used.coarse_dirt: #28, 4(0%)
minecraft.picked_up.clay_ball: #28, 16(0%)
minecraft.custom.talked_to_villager: #28, 5(0%)
minecraft.picked_up.stone_slab: #28, 1(0%)
minecraft.used.white_wool: #28, 1(0%)
minecraft.picked_up.spider_eye: #28, 1(0%)
minecraft.killed_by.ravager: #29, 3(0%)
minecraft.custom.enchant_item: #29, 4(0%)
minecraft.picked_up.quartz: #29, 155(0%)
minecraft.mined.cave_vines: #29, 3(0%)
minecraft.custom.boat_one_cm: #29, 292870(0%)
minecraft.used.tuff: #29, 32(0%)
minecraft.picked_up.oak_trapdoor: #29, 1(0%)
minecraft.mined.spruce_trapdoor: #29, 3(0%)
minecraft.used.oak_log: #29, 16(0%)
minecraft.picked_up.glow_berries: #29, 2(0%)
minecraft.custom.play_noteblock: #29, 1(0%)
minecraft.crafted.quartz_block: #29, 17(0%)
minecraft.picked_up.stripped_birch_log: #29, 1(0%)
minecraft.picked_up.snowball: #29, 44(0%)
minecraft.mined.stripped_birch_log: #29, 1(0%)
minecraft.custom.horse_one_cm: #29, 2816(0%)
minecraft.mined.terracotta: #29, 4(0%)
minecraft.picked_up.terracotta: #29, 4(0%)
minecraft.dropped.arrow: #29, 2(0%)
minecraft.dropped.paper: #29, 1(0%)
minecraft.used.carved_pumpkin: #30, 2(0%)
minecraft.killed.player: #30, 3(0%)
minecraft.picked_up.item_frame: #30, 5(0%)
minecraft.custom.damage_resisted: #30, 89(0%)
minecraft.picked_up.spruce_trapdoor: #30, 3(0%)
minecraft.used.cooked_porkchop: #30, 11(0%)
minecraft.picked_up.dark_oak_log: #30, 45(0%)
minecraft.used.written_book: #30, 6(0%)
minecraft.picked_up.emerald: #30, 16(0%)
minecraft.mined.spruce_leaves: #30, 8(0%)
minecraft.mined.snow: #30, 10(0%)
minecraft.mined.spruce_log: #30, 1(0%)
minecraft.picked_up.written_book: #31, 1(0%)
minecraft.used.spruce_sign: #31, 2(0%)
minecraft.custom.interact_with_smithing_table: #31, 1(0%)
minecraft.used.snowball: #31, 4(0%)
minecraft.picked_up.filled_map: #31, 4(0%)
minecraft.mined.spruce_planks: #31, 1(0%)
minecraft.killed_by.player: #32, 4(0%)
minecraft.picked_up.water_bucket: #32, 1(0%)
minecraft.used.player_head: #32, 1(0%)
minecraft.picked_up.lantern: #32, 2(0%)
minecraft.dropped.firework_rocket: #32, 73(0%)
minecraft.crafted.dark_oak_planks: #32, 68(0%)
minecraft.dropped.glass_bottle: #32, 1(0%)
minecraft.used.spruce_trapdoor: #32, 3(0%)
minecraft.picked_up.chorus_fruit: #32, 1(0%)
minecraft.dropped.golden_carrot: #33, 3(0%)
minecraft.dropped.bow: #33, 1(0%)
minecraft.crafted.spruce_planks: #33, 28(0%)
minecraft.custom.fly_one_cm: #35, 19130948(1%)
minecraft.used.elytra: #35, 1(0%)
minecraft.used.ender_pearl: #35, 1(0%)
minecraft.custom.time_since_death: #37, 117712(0%)
minecraft.picked_up.cooked_porkchop: #37, 7(0%)
minecraft.custom.time_since_rest: #63, 1567(0%)
