stat, rank, value, (percentage) 
minecraft.mined.mud_bricks: #9, 91(5%)
minecraft.used.lime_glazed_terracotta: #8, 3(1%)
minecraft.mined.light_blue_concrete_powder: #8, 1(0%)
minecraft.used.cherry_leaves: #8, 17(0%)
minecraft.crafted.warped_pressure_plate: #8, 1(0%)
minecraft.crafted.sea_lantern: #8, 13(0%)
minecraft.dropped.torchflower_seeds: #8, 1(0%)
minecraft.crafted.diamond_block: #9, 210(4%)
minecraft.picked_up.stone_pickaxe: #9, 6(4%)
minecraft.mined.magma_block: #9, 1407(3%)
minecraft.picked_up.black_stained_glass: #9, 222(3%)
minecraft.picked_up.deepslate_tile_stairs: #9, 130(4%)
minecraft.crafted.red_concrete_powder: #9, 1280(4%)
minecraft.used.soul_lantern: #9, 80(3%)
minecraft.used.pumpkin_pie: #9, 658(2%)
minecraft.mined.dirt: #10, 42894(4%)
minecraft.mined.exposed_copper: #9, 69(3%)
minecraft.picked_up.tinted_glass: #9, 177(3%)
minecraft.picked_up.cyan_terracotta: #9, 391(2%)
minecraft.crafted.magenta_shulker_box: #9, 2(3%)
minecraft.used.redstone_block: #9, 406(2%)
minecraft.picked_up.wayfinder_armor_trim_smithing_template: #9, 1(5%)
minecraft.dropped.diamond_pickaxe: #10, 15(4%)
minecraft.dropped.oxeye_daisy: #9, 5(2%)
minecraft.picked_up.cooked_salmon: #9, 10(2%)
minecraft.dropped.ladder: #9, 18(2%)
minecraft.mined.yellow_glazed_terracotta: #9, 4(2%)
minecraft.crafted.light_blue_bed: #9, 1(1%)
minecraft.used.waxed_exposed_copper: #9, 11(1%)
minecraft.picked_up.cracked_deepslate_bricks: #9, 31(1%)
minecraft.dropped.deepslate_tile_stairs: #9, 3(1%)
minecraft.dropped.tnt: #9, 262(1%)
minecraft.crafted.iron_hoe: #9, 2(1%)
minecraft.picked_up.cherry_planks: #9, 3(1%)
minecraft.dropped.cobblestone_wall: #9, 5(0%)
minecraft.mined.deepslate: #10, 46533(3%)
minecraft.dropped.warped_planks: #9, 4(0%)
minecraft.used.cyan_stained_glass: #9, 26(0%)
minecraft.dropped.chiseled_deepslate: #9, 1(0%)
minecraft.dropped.wooden_pickaxe: #10, 2(4%)
minecraft.mined.exposed_cut_copper_stairs: #9, 1(0%)
minecraft.crafted.dark_prismarine: #9, 39(0%)
minecraft.dropped.quartz_block: #9, 5(0%)
minecraft.used.dragon_egg: #9, 1(0%)
minecraft.dropped.shield: #10, 4(4%)
minecraft.crafted.diamond_pickaxe: #10, 10(3%)
minecraft.dropped.iron_pickaxe: #10, 3(3%)
minecraft.picked_up.deepslate_tile_wall: #10, 66(3%)
minecraft.picked_up.exposed_copper: #10, 69(3%)
minecraft.used.polished_deepslate_stairs: #10, 314(3%)
minecraft.picked_up.birch_sign: #10, 71(2%)
minecraft.mined.sunflower: #10, 11(2%)
minecraft.picked_up.oak_door: #10, 4(3%)
minecraft.mined.tinted_glass: #10, 81(2%)
minecraft.mined.bamboo_sapling: #10, 4(2%)
minecraft.crafted.raw_iron_block: #10, 121(2%)
minecraft.picked_up.soul_torch: #10, 39(2%)
minecraft.crafted.oak_button: #10, 12(2%)
minecraft.used.lime_concrete_powder: #10, 256(2%)
minecraft.crafted.soul_lantern: #10, 83(2%)
minecraft.picked_up.carrot_on_a_stick: #10, 1(2%)
minecraft.dropped.stone_shovel: #10, 2(1%)
minecraft.used.pink_dye: #10, 3(2%)
minecraft.used.cooked_salmon: #10, 13(1%)
minecraft.used.smooth_basalt: #10, 235(1%)
minecraft.mined.oxidized_cut_copper: #10, 6(1%)
minecraft.picked_up.oxidized_cut_copper: #10, 6(1%)
minecraft.mined.warped_fence: #10, 6(1%)
minecraft.dropped.lapis_ore: #10, 2(1%)
minecraft.dropped.lily_of_the_valley: #10, 1(1%)
minecraft.used.soul_torch: #10, 7(1%)
minecraft.picked_up.waxed_exposed_copper: #10, 11(1%)
minecraft.used.dried_kelp: #10, 3(0%)
minecraft.dropped.deepslate_brick_slab: #10, 4(0%)
minecraft.dropped.blue_terracotta: #10, 1(0%)
minecraft.used.stripped_warped_stem: #10, 25(0%)
minecraft.picked_up.exposed_cut_copper_stairs: #10, 1(0%)
minecraft.used.sculk_vein: #10, 5(0%)
minecraft.used.grass_block: #11, 17378(3%)
minecraft.mined.dark_prismarine: #11, 60(4%)
minecraft.dropped.dandelion: #11, 64(3%)
minecraft.used.rail: #11, 1961(3%)
minecraft.dropped.cobbled_deepslate: #11, 1136(3%)
minecraft.picked_up.wooden_pickaxe: #11, 2(4%)
minecraft.dropped.redstone: #11, 339(2%)
minecraft.crafted.stone: #11, 342(2%)
minecraft.picked_up.mud_bricks: #11, 64(3%)
minecraft.used.birch_sign: #11, 101(2%)
minecraft.dropped.netherite_hoe: #11, 1(4%)
minecraft.mined.oxidized_copper: #11, 655(2%)
minecraft.picked_up.sniffer_egg: #11, 4(3%)
minecraft.picked_up.polished_deepslate_slab: #11, 115(2%)
minecraft.mined.brick_stairs: #11, 5(2%)
minecraft.used.weathered_copper: #11, 21(2%)
minecraft.used.stone_sword: #11, 68(2%)
minecraft.mined.bricks: #11, 47(1%)
minecraft.picked_up.polished_blackstone: #11, 80(1%)
minecraft.crafted.slime_ball: #11, 468(1%)
minecraft.mined.polished_deepslate_stairs: #11, 30(1%)
minecraft.dropped.netherite_shovel: #11, 1(2%)
minecraft.mined.target: #11, 7(1%)
minecraft.mined.bamboo_planks: #11, 1(2%)
minecraft.dropped.stone_bricks: #11, 66(1%)
minecraft.picked_up.cooked_cod: #11, 8(1%)
minecraft.crafted.soul_torch: #11, 116(1%)
minecraft.used.cooked_mutton: #11, 8(1%)
minecraft.dropped.oak_sign: #11, 6(1%)
minecraft.used.furnace: #12, 168(3%)
minecraft.dropped.cooked_mutton: #11, 1(2%)
minecraft.mined.nether_sprouts: #11, 35(1%)
minecraft.picked_up.ice: #11, 1187(1%)
minecraft.used.iron_pickaxe: #12, 3374(4%)
minecraft.picked_up.iron_axe: #11, 6(1%)
minecraft.used.oxidized_cut_copper: #11, 22(1%)
minecraft.mined.ice: #11, 1328(1%)
minecraft.dropped.iron_bars: #11, 26(1%)
minecraft.picked_up.purple_stained_glass_pane: #11, 4(1%)
minecraft.mined.decorated_pot: #11, 2(1%)
minecraft.dropped.gray_wool: #11, 14(1%)
minecraft.dropped.stripped_birch_log: #11, 1(1%)
minecraft.dropped.deepslate_bricks: #11, 15(0%)
minecraft.mined.suspicious_gravel: #11, 2(1%)
minecraft.mined.blue_terracotta: #11, 19(0%)
minecraft.mined.stripped_warped_stem: #11, 56(0%)
minecraft.dropped.slime_block: #11, 13(0%)
minecraft.used.light_blue_bed: #11, 1(1%)
minecraft.dropped.twisting_vines: #11, 1(1%)
minecraft.picked_up.chiseled_deepslate: #11, 4(0%)
minecraft.crafted.cooked_salmon: #11, 3(0%)
minecraft.used.warped_roots: #11, 3(0%)
minecraft.picked_up.cherry_leaves: #11, 33(0%)
minecraft.dropped.cornflower: #11, 5(0%)
minecraft.picked_up.grass_block: #12, 20448(3%)
minecraft.picked_up.stone_axe: #12, 3(4%)
minecraft.dropped.diamond_shovel: #12, 5(3%)
minecraft.used.cyan_terracotta: #12, 1445(2%)
minecraft.picked_up.pumpkin_pie: #12, 275(2%)
minecraft.dropped.stone_axe: #12, 3(2%)
minecraft.picked_up.dark_prismarine: #12, 105(2%)
minecraft.dropped.kelp: #12, 199(2%)
minecraft.used.copper_block: #12, 774(2%)
minecraft.picked_up.deepslate_bricks: #12, 350(2%)
minecraft.crafted.cherry_planks: #12, 104(2%)
minecraft.mined.oak_pressure_plate: #12, 1(3%)
minecraft.picked_up.glowstone_dust: #12, 275(2%)
minecraft.picked_up.stone_shovel: #12, 2(2%)
minecraft.crafted.warped_sign: #12, 33(2%)
minecraft.mined.deepslate_bricks: #12, 205(1%)
minecraft.picked_up.dirt: #13, 41740(4%)
minecraft.used.hopper_minecart: #12, 25(1%)
minecraft.used.smooth_stone: #12, 297(1%)
minecraft.dropped.basalt: #12, 311(1%)
minecraft.dropped.flowering_azalea: #12, 10(1%)
minecraft.crafted.pink_shulker_box: #12, 2(1%)
minecraft.picked_up.azure_bluet: #12, 49(1%)
minecraft.used.sculk: #12, 307(1%)
minecraft.mined.warped_roots: #12, 47(1%)
minecraft.mined.blue_bed: #12, 5(1%)
minecraft.picked_up.blue_bed: #12, 5(1%)
minecraft.crafted.cooked_mutton: #12, 7(1%)
minecraft.mined.quartz_stairs: #12, 5(1%)
minecraft.crafted.polished_blackstone_slab: #12, 18(1%)
minecraft.dropped.composter: #12, 1(1%)
minecraft.used.blue_bed: #12, 4(1%)
minecraft.picked_up.sculk: #12, 283(1%)
minecraft.crafted.crossbow: #12, 1(1%)
minecraft.dropped.dropper: #12, 2(1%)
minecraft.picked_up.stripped_warped_stem: #12, 47(0%)
minecraft.mined.detector_rail: #12, 1(0%)
minecraft.picked_up.light_blue_concrete_powder: #12, 2(0%)
minecraft.dropped.warped_button: #12, 1(0%)
minecraft.mined.warped_slab: #12, 5(0%)
minecraft.picked_up.torchflower_seeds: #12, 4(0%)
