stat, rank, value, (percentage) 
minecraft.dropped.emerald_ore: #4, 5(7%)
minecraft.mined.deepslate_redstone_ore: #5, 2234(6%)
minecraft.custom.interact_with_blast_furnace: #6, 534(10%)
minecraft.picked_up.birch_log: #5, 6493(5%)
minecraft.picked_up.purple_candle: #4, 12(7%)
minecraft.picked_up.poppy: #5, 1517(5%)
minecraft.mined.red_candle: #4, 6(7%)
minecraft.picked_up.cornflower: #5, 4441(6%)
minecraft.mined.potted_dead_bush: #4, 1(10%)
minecraft.picked_up.spruce_stairs: #5, 307(5%)
minecraft.dropped.beetroot_seeds: #4, 36(4%)
minecraft.dropped.iron_leggings: #4, 11(2%)
minecraft.picked_up.blue_candle: #4, 8(7%)
minecraft.custom.damage_blocked_by_shield: #5, 14738(6%)
minecraft.mined.spruce_wood: #5, 167(9%)
minecraft.crafted.purple_dye: #5, 1872(6%)
minecraft.mined.white_shulker_box: #5, 310(5%)
minecraft.crafted.stone_bricks: #5, 8752(5%)
minecraft.picked_up.white_shulker_box: #5, 310(5%)
minecraft.dropped.peony: #4, 36(3%)
minecraft.dropped.rabbit_foot: #4, 1(9%)
minecraft.used.white_shulker_box: #5, 311(5%)
minecraft.crafted.stonecutter: #5, 66(5%)
minecraft.crafted.minecart: #5, 325(5%)
minecraft.mined.spruce_button: #5, 11(7%)
minecraft.dropped.cornflower: #4, 94(2%)
minecraft.mined.chiseled_nether_bricks: #4, 1(5%)
minecraft.picked_up.light_blue_candle: #4, 12(5%)
minecraft.dropped.spruce_log: #6, 769(9%)
minecraft.picked_up.turtle_helmet: #4, 1(5%)
minecraft.used.diamond_pickaxe: #6, 429384(5%)
minecraft.dropped.beacon: #4, 3(3%)
minecraft.dropped.cooked_porkchop: #4, 373(1%)
minecraft.dropped.iron_helmet: #5, 7(7%)
minecraft.dropped.mossy_cobblestone: #5, 79(5%)
minecraft.picked_up.bone: #6, 5520(6%)
minecraft.mined.red_tulip: #5, 13(7%)
minecraft.picked_up.black_candle: #4, 4(3%)
minecraft.picked_up.brown_candle: #4, 4(1%)
minecraft.crafted.stone_brick_wall: #5, 378(5%)
minecraft.picked_up.sweet_berries: #6, 2101(6%)
minecraft.mined.crafting_table: #6, 396(6%)
minecraft.picked_up.dirt: #6, 65336(6%)
minecraft.dropped.spruce_boat: #5, 9(6%)
minecraft.used.black_candle: #4, 8(2%)
minecraft.picked_up.orange_candle: #4, 8(2%)
minecraft.dropped.orange_stained_glass: #4, 6(1%)
minecraft.crafted.oak_pressure_plate: #5, 8(7%)
minecraft.dropped.netherite_block: #4, 1(1%)
minecraft.used.wither_rose: #4, 34(0%)
minecraft.used.cornflower: #5, 18(6%)
minecraft.used.crafting_table: #6, 445(5%)
minecraft.crafted.shears: #6, 741(7%)
minecraft.dropped.chicken: #5, 1108(4%)
minecraft.mined.sand: #6, 106893(6%)
minecraft.used.spruce_wood: #5, 796(4%)
minecraft.dropped.pufferfish: #5, 7(9%)
minecraft.dropped.powered_rail: #5, 56(5%)
minecraft.custom.play_noteblock: #5, 172(3%)
minecraft.crafted.orange_dye: #6, 2436(8%)
minecraft.dropped.glow_berries: #5, 30(4%)
minecraft.picked_up.shulker_box: #6, 4139(5%)
minecraft.picked_up.deepslate_redstone_ore: #6, 1012(7%)
minecraft.picked_up.sand: #6, 107750(6%)
minecraft.picked_up.birch_sapling: #6, 1506(6%)
minecraft.picked_up.rabbit_foot: #5, 3(6%)
minecraft.mined.amethyst_block: #6, 1489(7%)
minecraft.used.glass_pane: #5, 187(3%)
minecraft.crafted.yellow_dye: #6, 3279(6%)
minecraft.dropped.slime_block: #5, 128(4%)
minecraft.dropped.iron_horse_armor: #5, 1(11%)
minecraft.mined.red_stained_glass_pane: #5, 19(7%)
minecraft.used.deepslate_bricks: #6, 6224(6%)
minecraft.crafted.raw_iron_block: #6, 445(7%)
minecraft.crafted.black_wool: #5, 640(4%)
minecraft.crafted.end_stone_bricks: #5, 216(8%)
minecraft.crafted.white_dye: #6, 5876(6%)
minecraft.crafted.netherite_helmet: #5, 2(5%)
minecraft.crafted.magenta_dye: #6, 1732(7%)
minecraft.dropped.purpur_pillar: #5, 9(4%)
minecraft.used.tnt: #5, 1801(3%)
minecraft.picked_up.gold_ore: #6, 108(7%)
minecraft.used.lingering_potion: #5, 2(5%)
minecraft.used.oak_fence: #6, 274(5%)
minecraft.picked_up.melon_seeds: #6, 31(7%)
minecraft.crafted.book: #6, 172(7%)
minecraft.used.birch_sapling: #6, 1110(6%)
minecraft.used.spruce_fence: #6, 1031(5%)
minecraft.mined.lilac: #6, 31(6%)
minecraft.used.lapis_ore: #6, 60(8%)
minecraft.picked_up.deepslate_lapis_ore: #6, 138(6%)
minecraft.crafted.pink_dye: #6, 1798(6%)
minecraft.dropped.black_concrete_powder: #5, 416(4%)
minecraft.used.stone_slab: #6, 4073(5%)
minecraft.used.orange_candle: #5, 12(5%)
minecraft.crafted.chest: #7, 5167(7%)
minecraft.dropped.bow: #6, 170(4%)
minecraft.crafted.red_dye: #6, 4642(5%)
minecraft.used.wooden_axe: #6, 52(6%)
minecraft.used.redstone_lamp: #6, 200(5%)
minecraft.mined.glowstone: #6, 421(5%)
minecraft.dropped.crimson_sign: #5, 1(4%)
minecraft.picked_up.chiseled_nether_bricks: #5, 1(4%)
minecraft.dropped.iron_ore: #6, 152(5%)
minecraft.picked_up.glow_ink_sac: #6, 559(4%)
minecraft.used.black_wool: #6, 564(5%)
minecraft.picked_up.sunflower: #7, 1680(8%)
minecraft.used.cyan_candle: #5, 12(2%)
minecraft.crafted.wooden_sword: #6, 114(6%)
minecraft.used.end_stone: #5, 413(1%)
minecraft.mined.light_gray_candle: #5, 1(3%)
minecraft.mined.brown_candle: #5, 1(3%)
minecraft.dropped.bone_meal: #6, 1119(4%)
minecraft.crafted.silence_armor_trim_smithing_template: #5, 4(1%)
minecraft.used.brown_candle: #5, 8(2%)
minecraft.picked_up.light_gray_candle: #5, 4(1%)
minecraft.dropped.sugar: #6, 407(7%)
minecraft.picked_up.slime_block: #6, 850(4%)
minecraft.picked_up.rabbit: #6, 16(6%)
minecraft.mined.stripped_crimson_stem: #6, 152(4%)
minecraft.crafted.stripped_jungle_wood: #5, 6(1%)
minecraft.dropped.sugar_cane: #6, 434(4%)
minecraft.dropped.ancient_debris: #5, 2(0%)
minecraft.crafted.lime_dye: #6, 1668(4%)
minecraft.killed.skeleton: #6, 2694(3%)
minecraft.mined.deepslate_brick_slab: #6, 115(5%)
minecraft.used.stripped_spruce_log: #6, 379(4%)
minecraft.picked_up.milk_bucket: #6, 4(6%)
minecraft.used.oak_log: #6, 959(3%)
minecraft.picked_up.stone_slab: #7, 1339(7%)
minecraft.picked_up.orange_stained_glass: #6, 152(4%)
minecraft.dropped.crafting_table: #7, 56(6%)
minecraft.mined.birch_sapling: #6, 17(3%)
minecraft.used.diamond_shovel: #7, 208357(5%)
minecraft.used.sugar_cane: #6, 339(3%)
minecraft.mined.deepslate_lapis_ore: #7, 323(5%)
minecraft.picked_up.stripped_spruce_wood: #6, 101(4%)
