stat, rank, value, (percentage) 
minecraft.used.smithing_table: #1, 880(31%)
minecraft.dropped.deepslate_brick_slab: #1, 584(63%)
minecraft.picked_up.stripped_warped_hyphae: #1, 1462(54%)
minecraft.picked_up.moss_block: #1, 33950(21%)
minecraft.used.nether_brick_fence: #1, 2119(76%)
minecraft.mined.note_block: #1, 359(30%)
minecraft.used.polished_blackstone_pressure_plate: #1, 629(63%)
minecraft.picked_up.nether_brick: #1, 6320(50%)
minecraft.picked_up.lime_wool: #1, 1545(34%)
minecraft.used.activator_rail: #1, 1232(62%)
minecraft.used.cracked_polished_blackstone_bricks: #1, 3430(53%)
minecraft.used.cyan_wool: #2, 4522(40%)
minecraft.used.iron_block: #1, 14554(26%)
minecraft.used.red_wool: #1, 3328(32%)
minecraft.used.comparator: #1, 3274(27%)
minecraft.mined.cobbled_deepslate_stairs: #1, 285(33%)
minecraft.crafted.beacon: #1, 204(46%)
minecraft.mined.activator_rail: #1, 383(61%)
minecraft.mined.tripwire: #1, 692(29%)
minecraft.dropped.deepslate_tiles: #1, 352(48%)
minecraft.dropped.flint_and_steel: #1, 51(31%)
minecraft.crafted.packed_ice: #1, 10396(60%)
minecraft.dropped.blackstone: #2, 13337(37%)
minecraft.dropped.comparator: #1, 400(51%)
minecraft.picked_up.stone_pressure_plate: #1, 203(34%)
minecraft.used.soul_lantern: #1, 766(30%)
minecraft.dropped.glow_lichen: #1, 649(45%)
minecraft.mined.lime_wool: #1, 544(40%)
minecraft.used.warped_stem: #1, 13366(32%)
minecraft.used.repeater: #1, 5290(26%)
minecraft.mined.polished_blackstone_stairs: #1, 469(42%)
minecraft.picked_up.sculk_shrieker: #1, 484(34%)
minecraft.picked_up.bread: #1, 3779(34%)
minecraft.used.redstone_torch: #1, 3746(24%)
minecraft.dropped.saddle: #1, 145(47%)
minecraft.used.deepslate_brick_stairs: #1, 5303(29%)
minecraft.picked_up.music_disc_stal: #1, 105(78%)
minecraft.crafted.crimson_stairs: #1, 1173(37%)
minecraft.used.polished_blackstone_brick_wall: #1, 3420(70%)
minecraft.dropped.iron_bars: #1, 1382(47%)
minecraft.picked_up.magma_block: #1, 10973(25%)
minecraft.used.warped_pressure_plate: #1, 530(87%)
minecraft.dropped.spruce_sapling: #1, 958(29%)
minecraft.crafted.blast_furnace: #1, 292(35%)
minecraft.custom.inspect_hopper: #1, 10320(20%)
minecraft.mined.magma_block: #1, 11561(25%)
minecraft.used.cyan_candle: #1, 524(87%)
minecraft.dropped.stone_pressure_plate: #1, 226(41%)
minecraft.dropped.note_block: #1, 133(77%)
minecraft.used.polished_basalt: #1, 9329(30%)
minecraft.crafted.mossy_cobblestone_slab: #1, 702(36%)
minecraft.mined.twisting_vines_plant: #1, 248(38%)
minecraft.used.blackstone_slab: #1, 1990(45%)
minecraft.picked_up.deepslate_brick_stairs: #1, 1517(30%)
minecraft.mined.sculk_shrieker: #1, 421(34%)
minecraft.picked_up.polished_blackstone_brick_stairs: #1, 1955(42%)
