stat, rank, value, (percentage) 
minecraft.used.warped_trapdoor: #3, 466(13%)
minecraft.dropped.purple_wool: #2, 192(15%)
minecraft.used.chorus_flower: #2, 1022(17%)
minecraft.picked_up.chest: #3, 2690(10%)
minecraft.used.golden_carrot: #3, 7710(10%)
minecraft.killed.ender_dragon: #2, 3(23%)
minecraft.killed.bee: #3, 55(16%)
minecraft.picked_up.blackstone_wall: #2, 176(8%)
minecraft.mined.redstone_wire: #3, 1757(9%)
minecraft.mined.purple_concrete: #3, 613(12%)
minecraft.picked_up.blue_ice: #2, 657(10%)
minecraft.used.purple_glazed_terracotta: #2, 46(34%)
minecraft.mined.fire_coral: #2, 72(13%)
minecraft.dropped.birch_pressure_plate: #2, 4(19%)
minecraft.dropped.tube_coral_fan: #2, 2(22%)
minecraft.dropped.filled_map: #3, 117(11%)
minecraft.dropped.cartography_table: #2, 2(33%)
minecraft.dropped.mossy_stone_brick_wall: #2, 6(33%)
minecraft.dropped.white_terracotta: #3, 209(12%)
minecraft.crafted.iron_chestplate: #3, 16(11%)
minecraft.mined.cartography_table: #3, 19(12%)
minecraft.crafted.blue_carpet: #3, 906(19%)
minecraft.mined.brown_mushroom_block: #3, 5507(10%)
minecraft.used.end_stone_brick_slab: #2, 653(19%)
minecraft.mined.smooth_sandstone: #3, 2406(11%)
minecraft.mined.sea_lantern: #3, 1275(10%)
minecraft.mined.brain_coral: #2, 50(10%)
minecraft.used.warped_hyphae: #3, 1675(18%)
minecraft.dropped.stonecutter: #2, 15(18%)
minecraft.picked_up.purple_stained_glass: #3, 487(15%)
minecraft.picked_up.string: #3, 5083(9%)
minecraft.picked_up.basalt: #3, 12405(9%)
minecraft.dropped.stripped_birch_wood: #2, 6(32%)
minecraft.picked_up.redstone_block: #3, 1068(9%)
minecraft.dropped.written_book: #3, 79(10%)
minecraft.dropped.polished_blackstone_button: #2, 55(18%)
minecraft.dropped.slime_block: #2, 264(8%)
minecraft.used.comparator: #3, 882(9%)
minecraft.mined.mossy_stone_bricks: #3, 156(11%)
minecraft.picked_up.music_disc_strad: #2, 6(15%)
minecraft.picked_up.polished_granite_stairs: #3, 53(22%)
minecraft.used.compass: #2, 122(20%)
minecraft.dropped.end_stone_bricks: #3, 133(14%)
minecraft.picked_up.crimson_slab: #3, 240(15%)
minecraft.dropped.jungle_stairs: #2, 11(13%)
minecraft.picked_up.leather_helmet: #3, 140(10%)
minecraft.dropped.birch_slab: #3, 109(14%)
minecraft.dropped.stone_bricks: #3, 1516(11%)
minecraft.dropped.torch: #3, 2073(10%)
minecraft.picked_up.birch_planks: #3, 1516(10%)
minecraft.picked_up.polished_blackstone_pressure_plate: #3, 55(16%)
minecraft.crafted.chiseled_red_sandstone: #2, 19(30%)
minecraft.used.mushroom_stem: #3, 841(12%)
minecraft.mined.cracked_polished_blackstone_bricks: #3, 1794(10%)
minecraft.mined.repeater: #3, 509(9%)
minecraft.picked_up.nether_brick_fence: #3, 161(11%)
minecraft.mined.fern: #4, 859(13%)
minecraft.crafted.brick_stairs: #2, 144(11%)
minecraft.crafted.chain: #3, 1517(9%)
minecraft.picked_up.totem_of_undying: #3, 53(9%)
minecraft.dropped.purple_bed: #2, 2(17%)
minecraft.dropped.clay: #3, 92(17%)
minecraft.crafted.end_stone_brick_slab: #2, 630(17%)
minecraft.picked_up.chorus_fruit: #3, 2768(10%)
minecraft.picked_up.acacia_planks: #3, 240(12%)
minecraft.dropped.fermented_spider_eye: #2, 25(38%)
minecraft.used.lily_of_the_valley: #2, 16(10%)
minecraft.dropped.crimson_sign: #2, 9(16%)
minecraft.mined.potted_crimson_fungus: #2, 2(29%)
minecraft.dropped.honeycomb: #2, 330(28%)
minecraft.dropped.light_gray_shulker_box: #2, 19(18%)
minecraft.crafted.redstone: #3, 24986(9%)
minecraft.picked_up.golden_boots: #3, 42(9%)
minecraft.picked_up.redstone_ore: #3, 3808(9%)
minecraft.mined.chorus_flower: #2, 581(10%)
minecraft.used.dispenser: #3, 355(9%)
minecraft.dropped.red_bed: #2, 2(18%)
minecraft.dropped.crimson_fence: #2, 10(22%)
minecraft.crafted.baked_potato: #3, 336(19%)
minecraft.dropped.white_concrete: #3, 321(10%)
minecraft.custom.interact_with_loom: #3, 87(9%)
minecraft.picked_up.brick_stairs: #3, 125(14%)
minecraft.dropped.stone_stairs: #2, 293(8%)
minecraft.picked_up.jungle_fence: #3, 99(11%)
minecraft.dropped.birch_boat: #3, 10(15%)
minecraft.mined.dark_oak_fence: #3, 157(10%)
minecraft.picked_up.lantern: #4, 1285(13%)
minecraft.dropped.birch_log: #3, 252(11%)
minecraft.dropped.warped_stem: #2, 87(9%)
minecraft.dropped.firework_star: #2, 35(35%)
minecraft.dropped.lime_banner: #2, 20(26%)
minecraft.used.dark_prismarine_stairs: #3, 399(23%)
minecraft.picked_up.quartz_bricks: #2, 357(7%)
minecraft.dropped.magenta_wool: #2, 53(17%)
minecraft.picked_up.golden_helmet: #3, 53(8%)
minecraft.mined.redstone_wall_torch: #3, 153(8%)
minecraft.mined.oak_trapdoor: #3, 187(9%)
minecraft.dropped.dried_kelp_block: #2, 497(34%)
minecraft.dropped.blackstone_wall: #2, 192(13%)
minecraft.picked_up.bone_block: #3, 1258(9%)
minecraft.dropped.light_blue_carpet: #2, 80(11%)
minecraft.used.stripped_crimson_hyphae: #2, 17(17%)
minecraft.mined.stripped_crimson_hyphae: #2, 20(14%)
minecraft.picked_up.turtle_helmet: #2, 1(50%)
minecraft.mined.orange_banner: #2, 3(25%)
minecraft.dropped.light_blue_banner: #2, 3(20%)
minecraft.crafted.blackstone_wall: #3, 288(12%)
minecraft.picked_up.stripped_crimson_hyphae: #2, 20(14%)
minecraft.crafted.creeper_banner_pattern: #2, 1(25%)
minecraft.mined.crimson_button: #2, 4(20%)
minecraft.broken.iron_leggings: #2, 1(25%)
minecraft.mined.creeper_head: #2, 1(50%)
minecraft.dropped.carrot_on_a_stick: #2, 1(50%)
minecraft.used.music_disc_11: #2, 2(25%)
minecraft.mined.potted_warped_fungus: #2, 1(50%)
minecraft.used.purple_banner: #2, 4(25%)
minecraft.dropped.netherite_chestplate: #2, 1(50%)
minecraft.mined.enchanting_table: #3, 10(12%)
minecraft.used.light_weighted_pressure_plate: #2, 980(7%)
minecraft.dropped.blue_concrete: #2, 190(12%)
minecraft.picked_up.birch_button: #3, 18(12%)
minecraft.mined.red_nether_bricks: #3, 221(18%)
minecraft.mined.dark_prismarine: #3, 519(10%)
minecraft.picked_up.crimson_stairs: #3, 142(14%)
minecraft.picked_up.slime_block: #3, 1253(9%)
minecraft.dropped.green_stained_glass_pane: #2, 46(32%)
minecraft.dropped.netherite_shovel: #3, 8(12%)
minecraft.picked_up.item_frame: #3, 588(8%)
minecraft.mined.loom: #3, 33(11%)
minecraft.mined.white_tulip: #3, 82(12%)
minecraft.mined.wither_rose: #3, 128(11%)
minecraft.dropped.sand: #3, 5605(9%)
minecraft.picked_up.stripped_acacia_log: #3, 62(14%)
minecraft.dropped.lapis_ore: #3, 77(15%)
minecraft.crafted.warped_trapdoor: #3, 426(11%)
minecraft.mined.orange_shulker_box: #3, 482(9%)
minecraft.dropped.iron_chestplate: #3, 15(13%)
minecraft.crafted.quartz_slab: #3, 2502(9%)
minecraft.crafted.written_book: #2, 182(7%)
minecraft.picked_up.dropper: #4, 487(12%)
minecraft.picked_up.chipped_anvil: #3, 43(8%)
minecraft.picked_up.orange_shulker_box: #3, 484(9%)
minecraft.used.nether_brick_wall: #3, 568(13%)
minecraft.picked_up.light_blue_dye: #3, 131(13%)
minecraft.dropped.compass: #3, 80(9%)
minecraft.used.note_block: #3, 445(10%)
minecraft.picked_up.dispenser: #3, 201(8%)
minecraft.mined.bubble_coral: #2, 36(8%)
minecraft.custom.walk_on_water_one_cm: #4, 10796737(6%)
minecraft.used.tube_coral_fan: #3, 12(14%)
minecraft.used.jungle_leaves: #3, 2330(8%)
minecraft.used.netherite_axe: #3, 53716(10%)
minecraft.crafted.lime_stained_glass: #3, 3776(10%)
minecraft.dropped.ghast_tear: #3, 53(12%)
minecraft.crafted.lime_dye: #3, 2234(9%)
minecraft.used.stone_brick_wall: #4, 2023(15%)
minecraft.mined.gray_terracotta: #3, 651(17%)
minecraft.picked_up.warped_planks: #3, 143(10%)
minecraft.mined.daylight_detector: #3, 21(9%)
minecraft.picked_up.mossy_stone_bricks: #3, 139(8%)
minecraft.used.red_tulip: #2, 55(9%)
minecraft.dropped.redstone_torch: #3, 103(10%)
minecraft.dropped.scute: #2, 13(42%)
minecraft.dropped.dark_prismarine: #3, 238(15%)
minecraft.dropped.light_blue_concrete_powder: #2, 97(16%)
minecraft.mined.dead_brain_coral_fan: #2, 3(27%)
minecraft.dropped.soul_soil: #3, 341(10%)
minecraft.dropped.crafting_table: #3, 49(9%)
minecraft.dropped.light_gray_concrete_powder: #2, 206(7%)
minecraft.crafted.prismarine_wall: #2, 132(16%)
minecraft.crafted.trapped_chest: #2, 6(12%)
minecraft.mined.polished_basalt: #3, 593(8%)
minecraft.dropped.bucket: #3, 93(9%)
minecraft.used.dark_prismarine: #3, 3166(9%)
minecraft.mined.purple_glazed_terracotta: #2, 22(20%)
minecraft.dropped.smooth_stone_slab: #3, 530(9%)
minecraft.used.warped_fungus_on_a_stick: #2, 23(13%)
minecraft.used.orange_shulker_box: #3, 479(8%)
minecraft.used.blue_bed: #2, 71(9%)
minecraft.crafted.prismarine_stairs: #2, 120(13%)
minecraft.dropped.twisting_vines: #3, 66(13%)
minecraft.dropped.chiseled_quartz_block: #2, 12(15%)
minecraft.mined.quartz_bricks: #2, 292(5%)
minecraft.mined.stripped_jungle_log: #3, 73(10%)
minecraft.dropped.dark_oak_pressure_plate: #2, 7(19%)
minecraft.picked_up.lodestone: #2, 17(15%)
minecraft.mined.lodestone: #2, 17(15%)
minecraft.broken.fishing_rod: #3, 5(12%)
minecraft.mined.dead_tube_coral: #2, 3(38%)
minecraft.picked_up.dead_tube_coral: #2, 3(38%)
minecraft.crafted.target: #3, 321(11%)
minecraft.dropped.rabbit_hide: #3, 29(12%)
minecraft.used.bee_nest: #3, 66(15%)
minecraft.crafted.honey_bottle: #2, 20(19%)
minecraft.used.trapped_chest: #2, 6(11%)
minecraft.used.lava_bucket: #3, 1680(8%)
minecraft.crafted.granite_slab: #3, 90(19%)
minecraft.picked_up.diamond_ore: #4, 2802(12%)
minecraft.dropped.nether_brick_wall: #2, 155(12%)
minecraft.dropped.light_gray_concrete: #3, 128(11%)
minecraft.crafted.quartz_bricks: #3, 1491(13%)
minecraft.used.black_shulker_box: #4, 610(12%)
minecraft.crafted.writable_book: #3, 240(7%)
minecraft.dropped.nether_brick_stairs: #3, 42(21%)
minecraft.dropped.honey_bottle: #3, 18(19%)
minecraft.dropped.nether_brick_fence: #3, 45(11%)
minecraft.dropped.polished_diorite: #3, 215(19%)
minecraft.picked_up.cauldron: #3, 62(8%)
minecraft.dropped.stone_brick_slab: #2, 337(4%)
minecraft.mined.dead_fire_coral_fan: #2, 3(23%)
minecraft.custom.pig_one_cm: #2, 27113(17%)
minecraft.used.white_terracotta: #3, 1690(9%)
minecraft.picked_up.blue_bed: #2, 62(8%)
minecraft.used.soul_sand: #3, 1674(7%)
minecraft.used.purple_shulker_box: #3, 78(13%)
minecraft.crafted.carrot_on_a_stick: #2, 1(33%)
minecraft.dropped.end_stone_brick_stairs: #2, 1(33%)
minecraft.picked_up.blue_shulker_box: #4, 270(14%)
minecraft.used.quartz_slab: #3, 1885(8%)
minecraft.crafted.warped_hyphae: #3, 1497(15%)
minecraft.crafted.ender_pearl: #2, 12(8%)
minecraft.used.blast_furnace: #3, 104(8%)
minecraft.picked_up.blast_furnace: #3, 50(7%)
minecraft.used.cartography_table: #3, 25(10%)
minecraft.dropped.black_concrete: #3, 357(12%)
minecraft.used.light_blue_stained_glass: #2, 1369(4%)
minecraft.crafted.red_stained_glass: #3, 3200(9%)
minecraft.used.acacia_pressure_plate: #2, 5(12%)
minecraft.mined.oak_pressure_plate: #3, 6(11%)
minecraft.crafted.popped_chorus_fruit: #2, 27(7%)
minecraft.mined.fire_coral_fan: #2, 22(5%)
minecraft.used.blue_shulker_box: #4, 265(14%)
minecraft.picked_up.mutton: #4, 612(11%)
minecraft.dropped.crimson_nylium: #3, 88(11%)
minecraft.used.crossbow: #4, 486(12%)
minecraft.dropped.blaze_powder: #2, 44(10%)
minecraft.dropped.horn_coral_fan: #2, 2(10%)
minecraft.mined.red_shulker_box: #4, 885(10%)
minecraft.crafted.blackstone_slab: #3, 980(9%)
minecraft.picked_up.red_mushroom_block: #3, 2942(9%)
minecraft.crafted.nether_bricks: #4, 6496(12%)
minecraft.picked_up.cyan_glazed_terracotta: #3, 66(31%)
minecraft.dropped.red_mushroom_block: #2, 144(6%)
minecraft.picked_up.brick_slab: #3, 97(14%)
minecraft.picked_up.red_shulker_box: #4, 893(10%)
minecraft.picked_up.purple_glazed_terracotta: #2, 22(14%)
minecraft.crafted.white_wool: #3, 2946(8%)
minecraft.picked_up.purple_shulker_box: #3, 77(13%)
minecraft.mined.blue_bed: #2, 62(8%)
minecraft.picked_up.light_gray_bed: #2, 25(6%)
minecraft.picked_up.bowl: #3, 16(11%)
minecraft.dropped.brewing_stand: #2, 11(7%)
minecraft.mined.blue_shulker_box: #4, 268(14%)
minecraft.dropped.spruce_boat: #3, 6(13%)
minecraft.used.polished_granite_stairs: #3, 116(14%)
minecraft.used.red_sandstone: #3, 43(15%)
minecraft.dropped.brown_wool: #2, 193(4%)
minecraft.used.red_shulker_box: #4, 881(10%)
minecraft.dropped.chain: #3, 368(8%)
minecraft.dropped.glass_pane: #2, 112(4%)
minecraft.crafted.globe_banner_pattern: #2, 1(25%)
minecraft.crafted.acacia_pressure_plate: #2, 11(12%)
minecraft.dropped.orange_bed: #2, 2(17%)
minecraft.mined.brown_banner: #2, 1(17%)
minecraft.crafted.diamond_leggings: #3, 8(7%)
minecraft.used.warped_wart_block: #4, 1772(12%)
minecraft.mined.light_gray_bed: #2, 25(6%)
minecraft.crafted.shield: #3, 21(8%)
minecraft.dropped.stripped_warped_hyphae: #2, 19(11%)
minecraft.mined.chiseled_red_sandstone: #2, 9(11%)
minecraft.picked_up.lily_pad: #3, 224(7%)
minecraft.dropped.yellow_wool: #3, 178(12%)
minecraft.mined.purple_shulker_box: #3, 77(13%)
minecraft.dropped.cut_sandstone_slab: #3, 95(20%)
minecraft.mined.campfire: #3, 101(6%)
minecraft.picked_up.prismarine: #3, 2193(8%)
minecraft.used.campfire: #3, 209(6%)
minecraft.used.bamboo: #4, 1443(10%)
minecraft.dropped.black_wool: #3, 338(9%)
minecraft.picked_up.smooth_quartz_stairs: #4, 635(11%)
minecraft.dropped.jungle_planks: #4, 268(12%)
minecraft.killed.rabbit: #2, 49(2%)
minecraft.crafted.gold_nugget: #3, 13587(7%)
minecraft.dropped.trident: #3, 6(11%)
minecraft.crafted.pumpkin_pie: #3, 1792(8%)
minecraft.dropped.stripped_oak_wood: #2, 12(8%)
minecraft.used.redstone: #4, 7493(9%)
minecraft.mined.smooth_quartz_stairs: #4, 530(11%)
minecraft.mined.glass: #4, 2144(10%)
minecraft.crafted.light_gray_stained_glass_pane: #3, 2256(8%)
minecraft.picked_up.stripped_birch_wood: #3, 113(11%)
minecraft.used.music_disc_blocks: #2, 1(9%)
minecraft.used.cod: #2, 64(3%)
minecraft.mined.stripped_birch_wood: #3, 113(10%)
minecraft.used.blackstone_wall: #3, 560(7%)
minecraft.dropped.dark_oak_fence: #2, 53(3%)
minecraft.used.lingering_potion: #2, 2(12%)
minecraft.dropped.end_stone_brick_slab: #2, 27(17%)
minecraft.dropped.dark_prismarine_slab: #2, 134(5%)
minecraft.picked_up.nether_brick_wall: #3, 268(8%)
minecraft.custom.deaths: #4, 275(8%)
minecraft.picked_up.brick_wall: #3, 187(11%)
minecraft.mined.jungle_trapdoor: #3, 73(8%)
minecraft.picked_up.light_blue_banner: #3, 27(15%)
minecraft.mined.end_stone_brick_slab: #2, 65(5%)
minecraft.picked_up.jungle_stairs: #3, 177(7%)
minecraft.used.purpur_slab: #3, 165(12%)
minecraft.used.horn_coral_block: #3, 23(12%)
minecraft.used.soul_torch: #3, 97(12%)
minecraft.crafted.bucket: #4, 591(10%)
minecraft.crafted.leather_chestplate: #3, 93(6%)
minecraft.used.granite_slab: #3, 101(13%)
minecraft.custom.raid_win: #2, 7(3%)
minecraft.dropped.lime_concrete_powder: #2, 12(4%)
minecraft.dropped.acacia_pressure_plate: #2, 3(15%)
minecraft.dropped.pink_stained_glass: #2, 7(5%)
minecraft.picked_up.soul_soil: #4, 3296(10%)
minecraft.used.red_glazed_terracotta: #3, 246(21%)
minecraft.dropped.yellow_terracotta: #3, 115(8%)
minecraft.dropped.popped_chorus_fruit: #2, 20(14%)
minecraft.crafted.wooden_axe: #3, 2(11%)
minecraft.broken.shield: #3, 4(21%)
minecraft.picked_up.jungle_planks: #4, 677(10%)
minecraft.picked_up.granite_slab: #3, 19(16%)
minecraft.picked_up.redstone_torch: #4, 949(9%)
minecraft.used.glass_bottle: #3, 763(5%)
minecraft.dropped.warped_fence: #2, 3(5%)
minecraft.crafted.end_crystal: #3, 167(16%)
minecraft.crafted.crimson_fence: #3, 201(11%)
minecraft.used.tube_coral_block: #3, 49(14%)
minecraft.dropped.light_gray_carpet: #3, 104(7%)
minecraft.crafted.diorite_wall: #3, 180(11%)
minecraft.dropped.mushroom_stem: #2, 166(2%)
minecraft.picked_up.cactus: #4, 2285(9%)
minecraft.crafted.birch_button: #3, 56(9%)
minecraft.dropped.light_gray_glazed_terracotta: #2, 2(11%)
minecraft.crafted.polished_blackstone: #4, 10128(10%)
minecraft.used.purpur_stairs: #3, 237(10%)
minecraft.picked_up.wooden_hoe: #3, 2(13%)
minecraft.killed.pillager: #2, 311(1%)
minecraft.picked_up.white_stained_glass_pane: #3, 324(5%)
minecraft.mined.dead_horn_coral_fan: #2, 3(9%)
minecraft.picked_up.polished_blackstone_brick_wall: #4, 68(14%)
minecraft.crafted.map: #3, 205(6%)
minecraft.used.lime_stained_glass: #4, 3803(11%)
minecraft.used.red_concrete: #4, 3328(10%)
minecraft.dropped.comparator: #3, 55(11%)
minecraft.used.stripped_birch_wood: #3, 133(10%)
minecraft.used.mushroom_stew: #2, 11(2%)
minecraft.mined.beehive: #3, 57(8%)
minecraft.dropped.crimson_slab: #3, 61(23%)
minecraft.picked_up.creeper_head: #3, 3(23%)
minecraft.dropped.cooked_mutton: #3, 65(8%)
minecraft.dropped.totem_of_undying: #3, 8(7%)
minecraft.custom.inspect_hopper: #4, 4526(8%)
minecraft.crafted.chainmail_leggings: #3, 7(19%)
minecraft.used.music_disc_wait: #2, 1(7%)
minecraft.mined.brewing_stand: #4, 54(10%)
minecraft.picked_up.lever: #4, 460(9%)
minecraft.crafted.smooth_quartz_slab: #4, 3540(13%)
minecraft.picked_up.cracked_polished_blackstone_bricks: #4, 1664(10%)
minecraft.used.polished_andesite: #4, 7816(9%)
minecraft.picked_up.quartz_pillar: #4, 552(11%)
minecraft.used.painting: #4, 372(9%)
minecraft.dropped.light_gray_terracotta: #4, 169(12%)
minecraft.crafted.leather_helmet: #3, 56(7%)
minecraft.custom.raid_trigger: #2, 10(1%)
minecraft.mined.red_terracotta: #4, 6479(10%)
minecraft.used.porkchop: #2, 1(3%)
minecraft.crafted.polished_granite_stairs: #3, 72(14%)
minecraft.used.cobweb: #3, 153(5%)
minecraft.used.jungle_trapdoor: #3, 326(6%)
minecraft.mined.bookshelf: #3, 508(5%)
minecraft.mined.granite_slab: #3, 16(14%)
minecraft.mined.spruce_pressure_plate: #3, 25(8%)
minecraft.picked_up.smoker: #4, 60(13%)
minecraft.mined.chiseled_stone_bricks: #3, 117(6%)
minecraft.dropped.blue_concrete_powder: #2, 4(1%)
minecraft.crafted.stripped_oak_wood: #2, 9(3%)
minecraft.picked_up.red_terracotta: #4, 6728(9%)
minecraft.killed.silverfish: #4, 96(11%)
minecraft.dropped.red_nether_brick_stairs: #2, 5(3%)
minecraft.used.pink_bed: #3, 18(8%)
minecraft.dropped.diamond_block: #4, 264(10%)
minecraft.killed.vindicator: #2, 89(0%)
minecraft.crafted.jungle_slab: #4, 2888(10%)
minecraft.used.gray_terracotta: #3, 1364(9%)
minecraft.killed.evoker: #2, 18(0%)
minecraft.crafted.soul_lantern: #3, 404(6%)
minecraft.crafted.red_sandstone_slab: #3, 66(17%)
minecraft.mined.gray_carpet: #4, 429(10%)
minecraft.picked_up.stone_bricks: #4, 7574(8%)
minecraft.picked_up.magenta_dye: #3, 92(17%)
minecraft.mined.red_glazed_terracotta: #3, 124(17%)
minecraft.crafted.turtle_helmet: #2, 1(0%)
minecraft.dropped.polished_granite: #3, 96(8%)
minecraft.used.tube_coral: #3, 5(12%)
minecraft.killed_by.husk: #3, 1(33%)
minecraft.used.music_disc_mall: #3, 1(20%)
minecraft.mined.acacia_pressure_plate: #3, 1(33%)
minecraft.mined.dark_oak_stairs: #4, 425(9%)
minecraft.picked_up.lily_of_the_valley: #3, 309(5%)
minecraft.picked_up.vine: #4, 1380(9%)
minecraft.used.stonecutter: #4, 265(9%)
minecraft.picked_up.red_sandstone: #3, 44(9%)
minecraft.dropped.diamond_shovel: #4, 24(10%)
minecraft.dropped.hopper: #4, 62(11%)
minecraft.picked_up.iron_axe: #3, 16(6%)
minecraft.crafted.crimson_sign: #3, 30(7%)
minecraft.picked_up.oak_boat: #4, 116(8%)
minecraft.mined.twisting_vines: #4, 87(12%)
minecraft.mined.black_terracotta: #4, 913(13%)
minecraft.used.sugar_cane: #4, 1234(8%)
minecraft.crafted.stone_stairs: #4, 680(10%)
minecraft.mined.stone_bricks: #4, 6248(8%)
minecraft.used.end_stone: #4, 1456(12%)
minecraft.used.music_disc_chirp: #3, 3(14%)
minecraft.used.polished_blackstone_button: #4, 157(11%)
minecraft.dropped.warped_fungus: #3, 37(6%)
minecraft.mined.brain_coral_block: #3, 136(9%)
minecraft.picked_up.diamond_shovel: #4, 78(8%)
minecraft.used.light_blue_carpet: #3, 377(5%)
minecraft.picked_up.ghast_tear: #4, 180(9%)
minecraft.used.red_stained_glass: #4, 3168(10%)
minecraft.mined.warped_planks: #4, 101(11%)
minecraft.picked_up.brain_coral_block: #3, 132(8%)
minecraft.used.spruce_planks: #4, 5303(8%)
minecraft.picked_up.mycelium: #4, 17519(8%)
minecraft.dropped.bricks: #3, 440(9%)
minecraft.mined.dead_bubble_coral_fan: #3, 3(23%)
minecraft.picked_up.polished_blackstone_stairs: #4, 223(10%)
minecraft.picked_up.honey_bottle: #3, 50(6%)
minecraft.used.red_stained_glass_pane: #4, 348(15%)
minecraft.used.quartz_pillar: #4, 2254(10%)
minecraft.dropped.acacia_log: #4, 129(11%)
minecraft.dropped.polished_granite_stairs: #3, 13(13%)
minecraft.picked_up.hopper: #4, 1179(8%)
minecraft.picked_up.orange_banner: #3, 5(13%)
minecraft.crafted.jungle_button: #4, 84(12%)
minecraft.crafted.chainmail_chestplate: #3, 4(15%)
minecraft.dropped.granite_slab: #3, 12(15%)
minecraft.used.shield: #3, 81(10%)
minecraft.crafted.diamond_block: #4, 874(8%)
minecraft.used.brown_mushroom: #4, 145(9%)
minecraft.mined.blast_furnace: #4, 51(9%)
minecraft.dropped.ender_pearl: #4, 31995(8%)
minecraft.crafted.light_weighted_pressure_plate: #3, 780(6%)
minecraft.mined.lime_concrete_powder: #3, 85(8%)
minecraft.dropped.dropper: #3, 21(10%)
minecraft.crafted.honey_block: #3, 1449(9%)
minecraft.dropped.gray_stained_glass: #3, 86(8%)
minecraft.mined.chiseled_quartz_block: #4, 154(11%)
minecraft.picked_up.pink_tulip: #3, 257(5%)
minecraft.used.item_frame: #4, 754(7%)
minecraft.mined.potted_red_mushroom: #3, 1(17%)
minecraft.used.dark_oak_button: #3, 104(5%)
minecraft.picked_up.dark_prismarine_slab: #3, 340(8%)
minecraft.dropped.crimson_fungus: #3, 39(6%)
minecraft.dropped.rose_bush: #3, 343(4%)
minecraft.mined.cracked_nether_bricks: #3, 55(16%)
minecraft.killed.magma_cube: #3, 1180(4%)
minecraft.mined.jungle_planks: #4, 333(9%)
minecraft.used.stone_button: #4, 4441(8%)
minecraft.picked_up.painting: #4, 288(8%)
minecraft.used.yellow_concrete_powder: #4, 2983(10%)
minecraft.mined.piston: #4, 351(8%)
minecraft.crafted.ladder: #4, 894(7%)
minecraft.dropped.iron_axe: #3, 12(5%)
minecraft.dropped.wheat: #4, 512(9%)
minecraft.dropped.emerald: #4, 646(10%)
minecraft.picked_up.glass: #4, 6012(7%)
minecraft.used.baked_potato: #4, 277(15%)
minecraft.used.crimson_fence_gate: #3, 14(7%)
minecraft.used.polished_blackstone_brick_wall: #4, 138(10%)
minecraft.mined.player_head: #4, 109(8%)
minecraft.mined.oak_sign: #4, 51(7%)
minecraft.mined.cobblestone_wall: #4, 173(8%)
minecraft.dropped.magenta_stained_glass: #3, 7(6%)
minecraft.picked_up.black_concrete: #4, 3392(8%)
minecraft.mined.brick_wall: #3, 65(6%)
minecraft.crafted.crimson_fence_gate: #3, 20(7%)
minecraft.dropped.brick_wall: #3, 75(15%)
minecraft.crafted.lever: #4, 395(7%)
minecraft.dropped.spruce_stairs: #3, 103(6%)
minecraft.dropped.mutton: #4, 75(10%)
minecraft.mined.polished_blackstone_pressure_plate: #3, 13(6%)
minecraft.picked_up.compass: #4, 81(8%)
minecraft.picked_up.fire_charge: #4, 204(12%)
minecraft.dropped.redstone: #4, 909(8%)
minecraft.killed_by.ender_dragon: #3, 2(18%)
minecraft.mined.orange_wall_banner: #3, 2(18%)
minecraft.dropped.dark_oak_slab: #3, 283(6%)
minecraft.dropped.lime_concrete: #4, 98(12%)
minecraft.mined.crimson_fence_gate: #3, 7(8%)
minecraft.mined.yellow_carpet: #4, 160(10%)
minecraft.mined.wall_torch: #4, 1183(7%)
minecraft.used.music_disc_stal: #3, 7(18%)
minecraft.mined.mushroom_stem: #4, 874(7%)
minecraft.dropped.campfire: #3, 58(8%)
minecraft.picked_up.nether_brick: #4, 865(10%)
minecraft.used.red_banner: #3, 20(5%)
minecraft.dropped.lava_bucket: #3, 7(8%)
minecraft.picked_up.repeater: #4, 698(7%)
minecraft.dropped.orange_tulip: #3, 19(14%)
minecraft.picked_up.dead_fire_coral_fan: #3, 3(14%)
minecraft.used.brick_wall: #4, 366(15%)
minecraft.dropped.black_concrete_powder: #3, 189(6%)
minecraft.picked_up.cartography_table: #4, 19(9%)
minecraft.mined.cyan_carpet: #4, 96(9%)
minecraft.used.jungle_sign: #4, 110(9%)
minecraft.picked_up.diamond_block: #4, 798(7%)
minecraft.used.sea_lantern: #4, 4436(7%)
minecraft.mined.soul_sand: #4, 3818(7%)
minecraft.mined.prismarine: #3, 1043(4%)
minecraft.used.prismarine_bricks: #3, 1408(4%)
minecraft.picked_up.arrow: #4, 6008(6%)
minecraft.dropped.piston: #4, 80(16%)
minecraft.dropped.bone_block: #4, 247(10%)
minecraft.crafted.cake: #3, 24(4%)
minecraft.crafted.red_nether_brick_slab: #3, 192(7%)
minecraft.picked_up.netherite_hoe: #4, 19(12%)
minecraft.picked_up.brown_bed: #4, 24(10%)
minecraft.used.red_bed: #4, 46(10%)
minecraft.dropped.acacia_door: #3, 2(15%)
minecraft.killed.cod: #4, 170(9%)
minecraft.picked_up.acacia_pressure_plate: #3, 1(20%)
minecraft.picked_up.piston: #4, 481(7%)
minecraft.picked_up.music_disc_mellohi: #3, 4(9%)
minecraft.dropped.crimson_stairs: #3, 68(15%)
minecraft.mined.brown_bed: #4, 24(10%)
minecraft.used.polished_granite: #4, 838(8%)
minecraft.used.crimson_stairs: #4, 191(10%)
