stat, rank, value, (percentage) 
minecraft.mined.stripped_birch_log: #1, 1360(25%)
minecraft.picked_up.crying_obsidian: #1, 557(22%)
minecraft.mined.gilded_blackstone: #1, 294(28%)
minecraft.used.light_gray_stained_glass_pane: #1, 2275(25%)
minecraft.used.chiseled_polished_blackstone: #1, 1243(28%)
minecraft.picked_up.orange_glazed_terracotta: #1, 614(83%)
minecraft.mined.lantern: #1, 546(22%)
minecraft.picked_up.emerald_block: #2, 2596(24%)
minecraft.used.target: #1, 691(33%)
minecraft.used.crying_obsidian: #1, 4782(31%)
minecraft.picked_up.spruce_trapdoor: #1, 4508(21%)
minecraft.mined.infested_stone_bricks: #1, 29(41%)
minecraft.picked_up.gray_shulker_box: #1, 975(21%)
minecraft.picked_up.netherrack: #1, 225547(20%)
minecraft.picked_up.warped_hyphae: #1, 339(44%)
minecraft.mined.orange_wool: #1, 701(37%)
minecraft.picked_up.fire_coral_block: #1, 949(41%)
minecraft.mined.iron_door: #1, 86(29%)
minecraft.mined.emerald_block: #2, 2452(24%)
minecraft.dropped.oak_trapdoor: #1, 174(27%)
minecraft.mined.orange_glazed_terracotta: #1, 238(80%)
minecraft.mined.crimson_stem: #1, 3666(21%)
minecraft.dropped.acacia_planks: #1, 194(28%)
minecraft.mined.dead_horn_coral_block: #1, 27(79%)
minecraft.mined.yellow_glazed_terracotta: #1, 533(48%)
minecraft.dropped.experience_bottle: #1, 1415(68%)
minecraft.crafted.black_stained_glass_pane: #1, 5208(25%)
minecraft.picked_up.jungle_boat: #1, 127(24%)
minecraft.dropped.iron_trapdoor: #1, 359(32%)
minecraft.crafted.flint_and_steel: #1, 65(21%)
minecraft.used.brown_glazed_terracotta: #1, 1028(95%)
minecraft.picked_up.stripped_birch_log: #1, 1199(24%)
minecraft.dropped.red_sand: #1, 798(28%)
minecraft.mined.jungle_wood: #1, 557(39%)
minecraft.crafted.blue_stained_glass_pane: #1, 576(52%)
minecraft.mined.blue_concrete: #1, 3871(22%)
minecraft.custom.strider_one_cm: #1, 357206(33%)
minecraft.dropped.red_shulker_box: #1, 16(39%)
minecraft.mined.cut_sandstone_slab: #1, 320(33%)
minecraft.mined.polished_blackstone_button: #1, 52(31%)
minecraft.dropped.bubble_coral_fan: #1, 20(67%)
minecraft.used.granite_wall: #1, 1552(58%)
minecraft.used.honey_bottle: #1, 284(52%)
minecraft.picked_up.iron_door: #1, 121(22%)
minecraft.dropped.pumpkin_pie: #1, 357(27%)
minecraft.dropped.honey_block: #1, 540(39%)
minecraft.used.sandstone_stairs: #2, 5894(31%)
minecraft.mined.red_stained_glass_pane: #1, 260(42%)
minecraft.crafted.sticky_piston: #1, 1764(20%)
minecraft.mined.polished_blackstone_wall: #2, 482(25%)
minecraft.picked_up.brown_glazed_terracotta: #1, 1026(92%)
minecraft.mined.gray_shulker_box: #1, 968(22%)
minecraft.picked_up.crimson_fungus: #2, 1210(27%)
minecraft.mined.fire_coral_block: #1, 959(41%)
minecraft.mined.stripped_crimson_stem: #1, 259(41%)
minecraft.custom.walk_one_cm: #1, 410736167(10%)
minecraft.dropped.warped_hyphae: #1, 112(90%)
minecraft.mined.crafting_table: #1, 1281(19%)
minecraft.crafted.spruce_boat: #1, 50(26%)
minecraft.used.sandstone_slab: #2, 13415(32%)
minecraft.mined.sandstone_slab: #1, 2141(28%)
minecraft.used.yellow_stained_glass: #1, 2945(30%)
minecraft.used.gray_shulker_box: #1, 970(21%)
minecraft.mined.shroomlight: #1, 1719(20%)
minecraft.mined.kelp: #1, 2031(19%)
minecraft.crafted.blue_stained_glass: #1, 5520(32%)
minecraft.mined.note_block: #1, 268(23%)
minecraft.dropped.smooth_sandstone_stairs: #1, 366(49%)
minecraft.dropped.green_stained_glass: #1, 137(88%)
minecraft.picked_up.light_blue_glazed_terracotta: #1, 159(63%)
minecraft.mined.blue_stained_glass: #1, 554(31%)
minecraft.mined.cauldron: #1, 58(22%)
minecraft.mined.peony: #1, 64(26%)
minecraft.dropped.warped_nylium: #1, 95(29%)
minecraft.dropped.crimson_planks: #1, 335(31%)
minecraft.picked_up.yellow_concrete: #1, 3619(20%)
minecraft.mined.light_gray_glazed_terracotta: #1, 295(72%)
minecraft.mined.granite_wall: #1, 244(48%)
minecraft.used.yellow_banner: #1, 85(62%)
minecraft.used.cake: #1, 52(29%)
minecraft.mined.blue_stained_glass_pane: #1, 111(54%)
minecraft.used.bubble_coral_block: #1, 386(72%)
minecraft.mined.warped_hyphae: #1, 242(48%)
minecraft.dropped.bubble_coral: #1, 55(86%)
minecraft.picked_up.acacia_boat: #1, 36(33%)
minecraft.dropped.crying_obsidian: #1, 327(54%)
minecraft.dropped.bowl: #1, 22(29%)
minecraft.dropped.birch_button: #1, 40(48%)
minecraft.used.observer: #1, 4212(19%)
minecraft.used.green_carpet: #1, 2206(19%)
minecraft.crafted.green_stained_glass: #1, 3544(27%)
minecraft.used.light_blue_glazed_terracotta: #1, 242(53%)
minecraft.dropped.lever: #1, 221(21%)
minecraft.mined.turtle_egg: #2, 1167(35%)
minecraft.picked_up.crafting_table: #1, 1340(18%)
minecraft.dropped.sea_lantern: #1, 579(26%)
minecraft.picked_up.dead_horn_coral_block: #1, 19(70%)
minecraft.dropped.mycelium: #1, 6062(20%)
minecraft.mined.hay_block: #1, 326(19%)
minecraft.used.brown_carpet: #1, 1316(21%)
minecraft.mined.crimson_planks: #1, 604(25%)
minecraft.picked_up.stripped_crimson_stem: #1, 226(38%)
minecraft.mined.brown_terracotta: #1, 5805(23%)
minecraft.picked_up.red_concrete: #1, 3458(18%)
minecraft.picked_up.smooth_sandstone: #2, 9165(24%)
minecraft.used.polished_blackstone_brick_slab: #1, 5217(21%)
minecraft.crafted.nether_brick_wall: #1, 1648(32%)
minecraft.mined.yellow_stained_glass: #1, 555(30%)
minecraft.used.golden_apple: #1, 47(26%)
minecraft.killed.husk: #1, 154(21%)
minecraft.picked_up.yellow_glazed_terracotta: #1, 537(38%)
minecraft.custom.sprint_one_cm: #1, 339634769(12%)
minecraft.picked_up.gold_ingot: #1, 2470(17%)
minecraft.picked_up.blue_stained_glass_pane: #1, 104(51%)
minecraft.used.cooked_rabbit: #1, 40(59%)
minecraft.mined.dried_kelp_block: #1, 1617(82%)
minecraft.dropped.green_concrete_powder: #1, 1049(59%)
minecraft.picked_up.lime_banner: #1, 150(34%)
minecraft.dropped.chest: #1, 308(20%)
minecraft.custom.open_enderchest: #1, 16339(16%)
minecraft.mined.sandstone_stairs: #2, 1425(30%)
minecraft.used.netherite_pickaxe: #1, 1197375(19%)
minecraft.mined.warped_button: #1, 17(68%)
minecraft.picked_up.trident: #1, 95(21%)
minecraft.mined.black_stained_glass_pane: #2, 587(27%)
minecraft.used.crafting_table: #1, 1371(17%)
minecraft.dropped.gravel: #1, 5783(17%)
minecraft.picked_up.brown_terracotta: #1, 7455(22%)
minecraft.picked_up.sandstone_stairs: #2, 1460(28%)
minecraft.mined.smooth_sandstone_slab: #2, 1493(26%)
minecraft.used.jungle_fence: #1, 391(24%)
minecraft.used.blue_concrete: #2, 3645(24%)
minecraft.dropped.black_shulker_box: #1, 20(36%)
minecraft.broken.flint_and_steel: #1, 18(29%)
minecraft.used.cut_sandstone_slab: #1, 1320(31%)
minecraft.crafted.chiseled_nether_bricks: #1, 433(40%)
minecraft.picked_up.honey_block: #2, 1573(23%)
minecraft.used.purple_carpet: #2, 1251(25%)
minecraft.dropped.granite_wall: #1, 289(66%)
minecraft.dropped.red_sandstone: #1, 256(78%)
minecraft.mined.brown_glazed_terracotta: #1, 194(78%)
minecraft.mined.torch: #1, 8756(16%)
minecraft.dropped.brain_coral: #1, 32(78%)
minecraft.used.nether_quartz_ore: #1, 4067(18%)
minecraft.dropped.red_glazed_terracotta: #1, 90(78%)
minecraft.mined.lime_carpet: #1, 387(23%)
minecraft.used.fire_charge: #1, 96(77%)
minecraft.picked_up.light_gray_glazed_terracotta: #1, 291(64%)
minecraft.dropped.obsidian: #2, 643(27%)
minecraft.used.blue_stained_glass: #2, 5102(35%)
minecraft.used.dead_bush: #1, 252(24%)
minecraft.dropped.brown_shulker_box: #1, 11(42%)
minecraft.used.stripped_birch_log: #1, 608(22%)
minecraft.picked_up.tube_coral: #1, 60(32%)
minecraft.used.acacia_boat: #1, 37(29%)
minecraft.used.smoker: #1, 130(24%)
minecraft.picked_up.smooth_sandstone_slab: #2, 1767(25%)
minecraft.picked_up.cyan_carpet: #1, 441(20%)
minecraft.dropped.blue_terracotta: #1, 806(47%)
minecraft.picked_up.milk_bucket: #1, 43(20%)
minecraft.mined.white_glazed_terracotta: #1, 130(53%)
minecraft.picked_up.warped_button: #1, 23(62%)
minecraft.dropped.ladder: #1, 225(20%)
minecraft.used.green_stained_glass_pane: #1, 295(53%)
minecraft.dropped.chiseled_polished_blackstone: #1, 47(53%)
minecraft.mined.pink_bed: #1, 19(28%)
minecraft.custom.drop: #1, 34681(13%)
minecraft.picked_up.glowstone: #2, 2632(19%)
minecraft.used.emerald_ore: #1, 42(41%)
minecraft.crafted.wheat: #1, 4212(18%)
minecraft.dropped.honeycomb_block: #1, 824(91%)
minecraft.used.netherite_block: #1, 82(51%)
minecraft.picked_up.pink_bed: #1, 19(28%)
minecraft.picked_up.purple_carpet: #2, 436(24%)
minecraft.used.peony: #2, 84(24%)
minecraft.dropped.redstone_block: #1, 381(20%)
minecraft.dropped.horn_coral: #1, 33(89%)
minecraft.dropped.podzol: #2, 1448(38%)
minecraft.used.dark_oak_pressure_plate: #1, 19(30%)
minecraft.dropped.ancient_debris: #1, 140(30%)
minecraft.mined.dark_prismarine_stairs: #1, 169(44%)
minecraft.dropped.purple_stained_glass: #1, 79(89%)
minecraft.dropped.snow: #2, 3530(28%)
minecraft.picked_up.dark_prismarine_stairs: #1, 165(44%)
minecraft.used.jungle_wood: #2, 3185(32%)
minecraft.dropped.blue_shulker_box: #1, 12(71%)
minecraft.picked_up.sugar: #2, 1099(27%)
minecraft.used.scaffolding: #1, 34504(15%)
minecraft.killed_by.player: #1, 181(14%)
minecraft.mined.dead_fire_coral_block: #1, 22(88%)
minecraft.used.brain_coral_block: #1, 107(39%)
minecraft.picked_up.crimson_fence: #2, 133(28%)
minecraft.mined.light_blue_glazed_terracotta: #1, 111(58%)
minecraft.crafted.warped_door: #1, 27(29%)
minecraft.picked_up.cut_sandstone_slab: #1, 358(25%)
minecraft.mined.emerald_ore: #1, 126(25%)
minecraft.dropped.basalt: #2, 1931(21%)
minecraft.dropped.blue_wool: #1, 361(38%)
minecraft.used.pink_shulker_box: #1, 276(16%)
minecraft.picked_up.scaffolding: #1, 34605(15%)
minecraft.mined.jungle_fence: #1, 100(20%)
minecraft.dropped.blackstone: #2, 3063(21%)
minecraft.used.stripped_crimson_stem: #1, 205(49%)
minecraft.dropped.brick_stairs: #1, 98(49%)
minecraft.crafted.netherite_block: #1, 36(57%)
minecraft.crafted.lodestone: #2, 50(44%)
minecraft.picked_up.crimson_door: #1, 14(31%)
minecraft.picked_up.shroomlight: #1, 1722(16%)
minecraft.mined.blue_terracotta: #1, 997(38%)
minecraft.picked_up.nether_quartz_ore: #1, 5344(15%)
minecraft.crafted.birch_boat: #1, 31(21%)
minecraft.used.torch: #1, 47329(13%)
minecraft.mined.chiseled_polished_blackstone: #2, 241(26%)
minecraft.used.jungle_planks: #2, 2698(21%)
minecraft.crafted.cooked_rabbit: #1, 23(68%)
minecraft.mined.smoker: #1, 97(24%)
minecraft.used.sunflower: #1, 28(21%)
minecraft.crafted.polished_diorite: #2, 4556(20%)
minecraft.used.green_concrete_powder: #2, 11674(22%)
minecraft.used.emerald_block: #2, 3131(26%)
minecraft.picked_up.fire_coral: #1, 70(33%)
minecraft.picked_up.pink_shulker_box: #1, 282(17%)
minecraft.used.cyan_glazed_terracotta: #1, 122(42%)
minecraft.picked_up.oak_slab: #1, 1078(15%)
minecraft.picked_up.lime_carpet: #2, 767(26%)
minecraft.used.end_crystal: #1, 172(37%)
minecraft.mined.white_banner: #1, 20(24%)
minecraft.mined.stripped_jungle_wood: #1, 208(67%)
minecraft.picked_up.sea_lantern: #2, 4057(19%)
minecraft.picked_up.spider_eye: #2, 5453(18%)
minecraft.picked_up.stripped_jungle_wood: #1, 209(66%)
minecraft.mined.warped_door: #1, 14(37%)
minecraft.used.birch_wood: #1, 496(28%)
minecraft.crafted.acacia_door: #1, 108(37%)
minecraft.dropped.orange_concrete_powder: #1, 57(83%)
minecraft.dropped.warped_button: #1, 33(82%)
minecraft.killed.creeper: #1, 1313(13%)
minecraft.dropped.iron_door: #2, 29(36%)
minecraft.used.lime_carpet: #1, 2029(18%)
minecraft.dropped.magenta_shulker_box: #1, 6(55%)
minecraft.used.birch_sign: #2, 1405(19%)
minecraft.killed.cave_spider: #2, 7331(19%)
minecraft.picked_up.bookshelf: #1, 437(15%)
minecraft.picked_up.mossy_cobblestone_slab: #1, 66(27%)
minecraft.mined.lilac: #1, 34(18%)
minecraft.custom.interact_with_cartography_table: #1, 80(18%)
minecraft.crafted.tnt: #1, 15485(15%)
minecraft.crafted.torch: #1, 35417(13%)
minecraft.used.lime_banner: #1, 121(40%)
minecraft.mined.lime_banner: #1, 22(40%)
minecraft.picked_up.blue_banner: #1, 16(46%)
minecraft.mined.pink_shulker_box: #1, 277(17%)
minecraft.used.soul_soil: #2, 4017(23%)
minecraft.dropped.packed_ice: #2, 831(25%)
minecraft.picked_up.bubble_coral_block: #2, 725(30%)
minecraft.mined.stone_brick_wall: #2, 591(23%)
minecraft.dropped.terracotta: #2, 1235(22%)
minecraft.picked_up.clock: #2, 52(28%)
minecraft.mined.magenta_carpet: #2, 151(29%)
minecraft.used.dried_kelp_block: #1, 12183(62%)
minecraft.mined.honey_block: #2, 947(19%)
minecraft.used.activator_rail: #1, 24(22%)
minecraft.picked_up.glowstone_dust: #2, 2032(17%)
minecraft.crafted.crimson_door: #1, 21(28%)
minecraft.used.soul_lantern: #1, 482(14%)
minecraft.crafted.jungle_fence: #1, 366(19%)
minecraft.dropped.stone: #2, 53851(18%)
minecraft.mined.dark_oak_pressure_plate: #1, 16(76%)
minecraft.dropped.fire_coral_block: #1, 60(76%)
minecraft.killed.llama: #1, 126(51%)
minecraft.dropped.stripped_dark_oak_log: #1, 28(38%)
minecraft.used.honey_block: #2, 2792(19%)
minecraft.mined.yellow_concrete: #1, 3252(16%)
minecraft.mined.blackstone: #2, 47061(17%)
minecraft.dropped.pink_shulker_box: #1, 6(50%)
minecraft.dropped.lime_shulker_box: #1, 12(50%)
minecraft.custom.interact_with_lectern: #2, 1685(17%)
minecraft.used.warped_pressure_plate: #1, 44(33%)
minecraft.picked_up.activator_rail: #2, 55(26%)
minecraft.crafted.ender_chest: #2, 153(18%)
minecraft.picked_up.white_glazed_terracotta: #1, 130(49%)
minecraft.picked_up.sandstone_slab: #2, 2371(22%)
minecraft.picked_up.green_stained_glass_pane: #1, 67(74%)
minecraft.dropped.lime_carpet: #2, 403(39%)
minecraft.picked_up.soul_torch: #2, 184(23%)
minecraft.dropped.purple_stained_glass_pane: #1, 349(73%)
minecraft.picked_up.chiseled_polished_blackstone: #2, 229(23%)
minecraft.killed_by.vindicator: #1, 9(26%)
