stat, rank, value, (percentage) 
minecraft.crafted.quartz_pillar: #2, 12417(29%)
minecraft.crafted.white_bed: #1, 83(15%)
minecraft.picked_up.loom: #1, 82(20%)
minecraft.dropped.purpur_pillar: #1, 68(24%)
minecraft.mined.blue_concrete: #2, 3729(22%)
minecraft.crafted.red_sandstone_wall: #1, 168(88%)
minecraft.used.diorite: #2, 4323(18%)
minecraft.used.red_sandstone_slab: #1, 109(87%)
minecraft.crafted.acacia_wood: #1, 2981(38%)
minecraft.crafted.green_shulker_box: #1, 24(23%)
minecraft.mined.birch_trapdoor: #1, 184(17%)
minecraft.crafted.acacia_trapdoor: #1, 1820(20%)
minecraft.used.seagrass: #1, 133(31%)
minecraft.crafted.birch_planks: #1, 29144(14%)
minecraft.custom.talked_to_villager: #2, 21015(17%)
minecraft.dropped.dirt: #1, 13498(13%)
minecraft.crafted.dark_prismarine_slab: #1, 2035(30%)
minecraft.dropped.gray_wool: #1, 414(24%)
minecraft.picked_up.chiseled_red_sandstone: #1, 61(66%)
minecraft.picked_up.white_concrete_powder: #2, 38649(18%)
minecraft.dropped.chiseled_quartz_block: #1, 51(65%)
minecraft.picked_up.stripped_birch_log: #2, 1081(21%)
minecraft.crafted.granite_stairs: #1, 256(32%)
minecraft.mined.gray_concrete: #2, 34942(19%)
minecraft.used.spruce_fence: #2, 4334(18%)
minecraft.mined.potted_dead_bush: #1, 11(39%)
minecraft.used.acacia_wood: #2, 2522(38%)
minecraft.mined.acacia_wood: #1, 208(35%)
minecraft.dropped.suspicious_stew: #1, 70(52%)
minecraft.mined.chiseled_red_sandstone: #1, 62(78%)
minecraft.crafted.acacia_planks: #1, 9440(13%)
minecraft.used.brick_stairs: #2, 894(27%)
minecraft.crafted.spruce_fence: #2, 4260(18%)
minecraft.used.quartz_stairs: #2, 5767(19%)
minecraft.used.dark_oak_wood: #2, 1556(29%)
minecraft.dropped.cooked_mutton: #2, 227(29%)
minecraft.mined.oak_wall_sign: #1, 191(13%)
minecraft.mined.stripped_birch_log: #2, 1080(20%)
minecraft.used.cake: #2, 48(27%)
minecraft.crafted.diamond: #1, 7677(12%)
minecraft.crafted.light_gray_dye: #1, 4286(13%)
minecraft.used.totem_of_undying: #2, 58(21%)
minecraft.mined.lily_of_the_valley: #2, 168(22%)
minecraft.crafted.stripped_dark_oak_wood: #1, 42(48%)
minecraft.dropped.poppy: #3, 28829(21%)
minecraft.dropped.gray_banner: #1, 10(71%)
minecraft.used.oak_door: #2, 88(19%)
minecraft.dropped.acacia_log: #1, 193(17%)
minecraft.mined.red_sandstone_stairs: #1, 75(57%)
minecraft.crafted.stone_slab: #1, 8066(12%)
minecraft.picked_up.diamond_ore: #2, 3918(17%)
minecraft.crafted.oak_slab: #2, 4092(17%)
minecraft.dropped.cake: #1, 19(46%)
minecraft.crafted.dark_oak_pressure_plate: #1, 15(20%)
minecraft.crafted.red_sandstone_stairs: #1, 156(69%)
minecraft.dropped.totem_of_undying: #2, 26(23%)
minecraft.crafted.cyan_shulker_box: #2, 35(23%)
minecraft.picked_up.compass: #2, 169(17%)
