stat, rank, value, (percentage) 
minecraft.picked_up.tall_grass: #1, 2(100%)
minecraft.killed_by.elder_guardian: #1, 1(100%)
minecraft.used.orange_stained_glass_pane: #3, 753(21%)
minecraft.crafted.dispenser: #3, 531(13%)
minecraft.mined.white_wall_banner: #2, 21(12%)
minecraft.crafted.white_stained_glass_pane: #3, 2160(14%)
minecraft.used.chiseled_polished_blackstone: #3, 721(16%)
minecraft.used.stone_brick_wall: #3, 2041(15%)
minecraft.picked_up.polished_blackstone_brick_stairs: #3, 356(13%)
minecraft.mined.blackstone_slab: #3, 570(15%)
minecraft.picked_up.nether_quartz_ore: #3, 4445(12%)
minecraft.used.warped_slab: #3, 886(15%)
minecraft.picked_up.coarse_dirt: #3, 6176(12%)
minecraft.mined.acacia_wood: #2, 117(20%)
minecraft.mined.diorite_slab: #2, 238(19%)
minecraft.crafted.granite_slab: #2, 90(19%)
minecraft.dropped.crimson_roots: #3, 302(12%)
minecraft.mined.mycelium: #3, 28034(12%)
minecraft.dropped.golden_sword: #3, 479(13%)
minecraft.mined.diorite_wall: #2, 113(14%)
minecraft.mined.blue_concrete_powder: #2, 35(19%)
minecraft.picked_up.golden_shovel: #3, 22(16%)
minecraft.picked_up.blackstone_slab: #3, 720(14%)
minecraft.dropped.cyan_stained_glass_pane: #2, 64(18%)
minecraft.mined.brick_wall: #2, 136(13%)
minecraft.picked_up.prismarine_slab: #2, 253(18%)
minecraft.mined.polished_blackstone_slab: #3, 623(12%)
minecraft.mined.yellow_concrete_powder: #2, 49(12%)
minecraft.used.stone_brick_slab: #3, 6905(12%)
minecraft.mined.warped_slab: #3, 130(13%)
minecraft.mined.dandelion: #3, 544(11%)
minecraft.mined.granite_slab: #2, 22(19%)
minecraft.picked_up.diorite_slab: #2, 255(17%)
minecraft.used.grass_block: #3, 38061(10%)
minecraft.mined.nether_brick_fence: #3, 140(12%)
minecraft.picked_up.granite_slab: #2, 22(18%)
minecraft.mined.prismarine_brick_stairs: #2, 120(16%)
minecraft.crafted.warped_slab: #3, 840(13%)
minecraft.picked_up.spruce_stairs: #3, 672(10%)
minecraft.dropped.acacia_sapling: #3, 122(18%)
minecraft.used.seagrass: #2, 54(12%)
minecraft.mined.birch_stairs: #3, 186(14%)
minecraft.mined.polished_blackstone_brick_stairs: #3, 299(11%)
minecraft.mined.polished_granite: #3, 372(12%)
minecraft.dropped.poppy: #4, 19495(14%)
