stat, rank, value, (percentage) 
minecraft.mined.andesite_stairs: #8, 20(4%)
minecraft.crafted.pink_shulker_box: #8, 3(4%)
minecraft.used.polished_andesite_stairs: #8, 561(3%)
minecraft.mined.horn_coral_wall_fan: #8, 39(4%)
minecraft.used.diorite_wall: #8, 94(5%)
minecraft.picked_up.horn_coral_fan: #8, 34(4%)
minecraft.picked_up.cobblestone_wall: #8, 128(3%)
minecraft.used.oak_boat: #9, 88(6%)
minecraft.mined.diorite_wall: #8, 34(4%)
minecraft.mined.fire_coral_wall_fan: #8, 29(3%)
minecraft.used.lava_bucket: #8, 467(2%)
minecraft.crafted.brown_concrete_powder: #8, 896(3%)
minecraft.used.cornflower: #8, 9(3%)
minecraft.crafted.golden_carrot: #8, 3640(2%)
minecraft.used.target: #8, 58(3%)
minecraft.used.terracotta: #8, 745(2%)
minecraft.crafted.melon_seeds: #8, 59(3%)
minecraft.picked_up.brain_coral_fan: #8, 23(3%)
minecraft.used.dark_oak_pressure_plate: #8, 2(3%)
minecraft.picked_up.fire_coral_fan: #8, 21(2%)
minecraft.dropped.carved_pumpkin: #8, 3(3%)
minecraft.crafted.emerald: #8, 11161(1%)
minecraft.broken.leather_leggings: #8, 1(4%)
minecraft.picked_up.bubble_coral: #8, 5(3%)
minecraft.picked_up.music_disc_cat: #8, 4(2%)
minecraft.mined.tube_coral_wall_fan: #8, 13(2%)
minecraft.picked_up.heart_of_the_sea: #8, 3(2%)
minecraft.picked_up.emerald_ore: #8, 10(2%)
minecraft.mined.dark_oak_button: #8, 1(2%)
minecraft.crafted.orange_stained_glass_pane: #8, 80(2%)
minecraft.used.melon_slice: #8, 17(2%)
minecraft.mined.dark_oak_leaves: #8, 693(1%)
minecraft.dropped.spruce_slab: #8, 86(2%)
minecraft.picked_up.tube_coral_fan: #8, 12(2%)
minecraft.picked_up.iron_hoe: #8, 1(2%)
minecraft.picked_up.tube_coral: #8, 4(2%)
minecraft.mined.chiseled_stone_bricks: #8, 26(1%)
minecraft.mined.brain_coral_fan: #8, 8(2%)
