stat, rank, value, (percentage) 
minecraft.crafted.magenta_glazed_terracotta: #3, 64(7%)
minecraft.dropped.pumpkin: #4, 1072(8%)
minecraft.crafted.blaze_powder: #3, 1048(2%)
minecraft.picked_up.yellow_stained_glass: #4, 265(9%)
minecraft.picked_up.warped_roots: #4, 2095(6%)
minecraft.picked_up.blue_dye: #3, 202(2%)
minecraft.dropped.warped_fence: #3, 3(5%)
minecraft.dropped.gray_concrete_powder: #4, 321(8%)
minecraft.picked_up.cobblestone_stairs: #5, 203(11%)
minecraft.dropped.red_carpet: #4, 49(8%)
minecraft.picked_up.wooden_hoe: #4, 2(13%)
minecraft.dropped.dead_horn_coral_block: #3, 1(7%)
minecraft.mined.magenta_concrete: #4, 591(8%)
minecraft.dropped.red_shulker_box: #4, 4(10%)
minecraft.used.warped_stairs: #4, 161(6%)
minecraft.picked_up.melon: #4, 954(6%)
minecraft.picked_up.green_concrete_powder: #4, 1109(7%)
minecraft.mined.blue_banner: #3, 1(5%)
minecraft.crafted.blue_stained_glass: #4, 1416(8%)
minecraft.picked_up.lime_dye: #4, 175(7%)
minecraft.crafted.clock: #4, 10(7%)
minecraft.dropped.magenta_wool: #3, 4(1%)
minecraft.dropped.light_gray_terracotta: #5, 165(11%)
minecraft.dropped.blue_dye: #3, 48(1%)
minecraft.picked_up.warped_fungus: #4, 415(5%)
minecraft.used.purple_concrete: #4, 298(6%)
minecraft.used.birch_leaves: #4, 2379(4%)
minecraft.crafted.magenta_terracotta: #4, 512(8%)
minecraft.mined.cracked_stone_bricks: #5, 161(8%)
minecraft.dropped.cyan_stained_glass: #4, 25(8%)
minecraft.used.spruce_button: #4, 123(4%)
minecraft.mined.potted_allium: #4, 4(21%)
minecraft.used.lime_bed: #4, 35(6%)
minecraft.killed.skeleton: #4, 5518(3%)
minecraft.picked_up.nether_wart_block: #5, 5156(8%)
minecraft.picked_up.light_gray_concrete_powder: #4, 1425(4%)
minecraft.picked_up.dead_tube_coral_fan: #4, 2(20%)
minecraft.mined.bookshelf: #4, 367(3%)
minecraft.picked_up.lime_bed: #4, 35(5%)
minecraft.used.magenta_terracotta: #4, 107(11%)
minecraft.mined.lime_bed: #4, 34(6%)
minecraft.used.cyan_stained_glass: #4, 2961(3%)
minecraft.picked_up.black_concrete: #5, 3265(7%)
minecraft.mined.white_concrete: #5, 14900(7%)
minecraft.mined.pink_stained_glass_pane: #4, 14(11%)
minecraft.picked_up.light_blue_concrete: #5, 1553(7%)
minecraft.picked_up.red_dye: #4, 134(4%)
minecraft.used.birch_log: #5, 1351(7%)
minecraft.dropped.white_concrete: #5, 244(8%)
minecraft.used.crimson_planks: #5, 919(9%)
minecraft.dropped.magenta_shulker_box: #4, 1(9%)
minecraft.mined.purple_concrete: #5, 400(8%)
minecraft.crafted.stone_hoe: #5, 27(8%)
minecraft.dropped.painting: #4, 13(5%)
minecraft.used.nether_brick_fence: #4, 67(3%)
minecraft.mined.crimson_planks: #5, 216(9%)
minecraft.crafted.jungle_button: #5, 66(9%)
minecraft.dropped.melon: #4, 143(3%)
minecraft.mined.soul_torch: #4, 17(6%)
minecraft.crafted.mossy_stone_bricks: #5, 361(9%)
minecraft.crafted.chain: #5, 1027(6%)
minecraft.mined.light_blue_concrete: #5, 1613(7%)
minecraft.crafted.melon_seeds: #5, 226(10%)
minecraft.crafted.oak_slab: #5, 1572(6%)
minecraft.crafted.black_wool: #5, 379(8%)
minecraft.crafted.birch_stairs: #5, 488(8%)
minecraft.picked_up.dark_oak_slab: #5, 844(7%)
minecraft.used.purple_bed: #5, 52(11%)
minecraft.dropped.rose_bush: #4, 167(2%)
minecraft.mined.magenta_terracotta: #4, 14(6%)
minecraft.picked_up.chainmail_chestplate: #5, 9(7%)
minecraft.crafted.cobblestone_stairs: #5, 264(7%)
minecraft.crafted.pumpkin_pie: #4, 416(2%)
minecraft.dropped.flower_pot: #4, 40(3%)
minecraft.used.diamond_axe: #5, 38265(5%)
minecraft.crafted.glass_bottle: #5, 1770(6%)
minecraft.picked_up.crimson_button: #4, 2(4%)
minecraft.mined.soul_wall_torch: #4, 4(3%)
minecraft.crafted.light_gray_wool: #4, 108(2%)
minecraft.crafted.green_concrete_powder: #5, 3784(6%)
minecraft.picked_up.jungle_sapling: #5, 338(6%)
minecraft.crafted.horn_coral_block: #4, 1(6%)
minecraft.crafted.crimson_stairs: #5, 188(8%)
minecraft.used.green_concrete_powder: #5, 3220(6%)
minecraft.used.seagrass: #5, 47(11%)
minecraft.mined.green_concrete_powder: #5, 511(7%)
minecraft.crafted.stripped_birch_wood: #4, 15(3%)
