stat, rank, value, (percentage) 
minecraft.picked_up.shroomlight: #12, 243(2%)
minecraft.mined.cobblestone_stairs: #12, 30(2%)
minecraft.crafted.dispenser: #12, 77(2%)
minecraft.crafted.oak_boat: #12, 7(2%)
minecraft.used.coarse_dirt: #12, 1541(2%)
minecraft.picked_up.cake: #12, 1(3%)
minecraft.picked_up.jungle_sign: #12, 16(2%)
minecraft.used.pumpkin_seeds: #12, 38(2%)
minecraft.crafted.stone_brick_stairs: #12, 196(2%)
minecraft.picked_up.oak_door: #12, 11(2%)
minecraft.used.shears: #12, 11774(2%)
minecraft.picked_up.oak_leaves: #12, 12417(2%)
minecraft.picked_up.black_stained_glass: #12, 139(2%)
minecraft.used.cyan_terracotta: #12, 3422(1%)
minecraft.crafted.bone_meal: #12, 35842(1%)
minecraft.mined.brown_mushroom_block: #12, 729(1%)
minecraft.crafted.cobblestone_slab: #12, 384(1%)
minecraft.crafted.light_blue_bed: #12, 1(2%)
minecraft.crafted.cauldron: #12, 25(1%)
minecraft.mined.sea_lantern: #12, 154(1%)
minecraft.mined.light_gray_stained_glass_pane: #12, 23(1%)
minecraft.killed.cod: #12, 28(1%)
minecraft.crafted.jungle_slab: #12, 372(1%)
minecraft.crafted.brown_dye: #12, 176(1%)
minecraft.used.warped_slab: #12, 79(1%)
minecraft.used.cobweb: #12, 34(1%)
minecraft.dropped.spruce_log: #12, 148(1%)
minecraft.crafted.lime_dye: #12, 264(1%)
minecraft.broken.iron_sword: #12, 1(2%)
minecraft.picked_up.wet_sponge: #12, 141(1%)
minecraft.dropped.birch_boat: #12, 1(1%)
minecraft.used.lime_stained_glass: #12, 358(1%)
minecraft.crafted.leather_chestplate: #12, 14(1%)
minecraft.picked_up.warped_door: #12, 1(2%)
minecraft.crafted.birch_door: #12, 6(1%)
minecraft.picked_up.brown_carpet: #12, 26(1%)
minecraft.mined.infested_stone_bricks: #12, 1(1%)
minecraft.crafted.jungle_sign: #12, 12(1%)
minecraft.crafted.gold_nugget: #12, 1546(1%)
minecraft.picked_up.bee_nest: #12, 4(1%)
minecraft.used.jungle_sign: #12, 9(1%)
minecraft.crafted.green_terracotta: #12, 128(1%)
minecraft.used.cocoa_beans: #12, 132(1%)
minecraft.used.clay: #12, 55(1%)
minecraft.crafted.yellow_concrete_powder: #12, 256(1%)
minecraft.picked_up.seagrass: #12, 68(1%)
minecraft.crafted.orange_shulker_box: #12, 2(1%)
minecraft.mined.white_concrete_powder: #12, 35(1%)
minecraft.dropped.magenta_stained_glass: #12, 1(1%)
minecraft.crafted.spruce_wood: #12, 51(1%)
minecraft.dropped.soul_torch: #12, 1(1%)
minecraft.used.cooked_cod: #12, 9(1%)
minecraft.dropped.oak_button: #12, 2(1%)
minecraft.dropped.sugar_cane: #12, 160(0%)
minecraft.used.nether_wart_block: #12, 64(0%)
minecraft.picked_up.blaze_powder: #12, 11(0%)
minecraft.crafted.stone_button: #12, 220(0%)
minecraft.dropped.iron_nugget: #12, 66(0%)
minecraft.dropped.jungle_sapling: #12, 2(1%)
minecraft.mined.green_wool: #12, 6(0%)
minecraft.used.brown_mushroom_block: #12, 49(0%)
minecraft.crafted.brown_concrete_powder: #12, 128(0%)
minecraft.crafted.yellow_wool: #12, 6(0%)
minecraft.mined.yellow_carpet: #12, 6(0%)
minecraft.dropped.crimson_fungus: #12, 3(0%)
minecraft.dropped.saddle: #12, 1(0%)
minecraft.used.fern: #12, 13(0%)
minecraft.crafted.smooth_sandstone: #12, 92(0%)
minecraft.dropped.anvil: #12, 2(0%)
minecraft.mined.cyan_stained_glass_pane: #12, 4(0%)
minecraft.mined.dark_oak_wood: #12, 2(0%)
minecraft.picked_up.light_blue_wool: #12, 25(0%)
minecraft.crafted.gray_bed: #12, 1(0%)
minecraft.mined.beetroots: #12, 3(0%)
minecraft.picked_up.jungle_wood: #12, 3(0%)
minecraft.killed.ocelot: #12, 1(0%)
minecraft.picked_up.dark_oak_wood: #12, 2(0%)
minecraft.crafted.warped_fence_gate: #12, 1(0%)
minecraft.picked_up.gray_bed: #12, 2(0%)
minecraft.picked_up.beetroot: #12, 2(0%)
minecraft.crafted.smooth_sandstone_stairs: #12, 8(0%)
minecraft.crafted.oak_wood: #12, 36(0%)
minecraft.dropped.light_gray_wool: #12, 6(0%)
minecraft.picked_up.red_nether_bricks: #12, 1(0%)
minecraft.used.red_nether_bricks: #12, 1(0%)
minecraft.picked_up.leather_leggings: #13, 16(3%)
minecraft.used.crafting_table: #13, 273(3%)
minecraft.picked_up.torch: #13, 5480(3%)
minecraft.custom.swim_one_cm: #13, 3353250(3%)
minecraft.mined.oak_sign: #13, 20(3%)
minecraft.used.stone_bricks: #13, 6999(3%)
minecraft.mined.dirt: #13, 32051(3%)
minecraft.mined.furnace: #13, 88(3%)
minecraft.mined.gravel: #13, 22397(2%)
minecraft.picked_up.bone_meal: #13, 1234(3%)
minecraft.mined.white_bed: #13, 83(2%)
minecraft.used.damaged_anvil: #13, 5(3%)
minecraft.picked_up.comparator: #13, 111(2%)
minecraft.crafted.cooked_beef: #13, 347(2%)
minecraft.picked_up.red_mushroom: #13, 122(2%)
minecraft.crafted.iron_sword: #13, 8(2%)
minecraft.crafted.hopper: #13, 665(2%)
minecraft.mined.lime_shulker_box: #13, 57(2%)
minecraft.used.yellow_shulker_box: #13, 109(2%)
minecraft.picked_up.lime_shulker_box: #13, 57(2%)
minecraft.used.diorite: #13, 446(2%)
minecraft.crafted.minecart: #13, 85(2%)
minecraft.crafted.iron_pickaxe: #13, 12(2%)
minecraft.mined.birch_log: #13, 1455(2%)
minecraft.used.lime_shulker_box: #13, 57(2%)
minecraft.picked_up.oak_sapling: #13, 1144(2%)
minecraft.picked_up.birch_log: #13, 1557(2%)
minecraft.mined.white_shulker_box: #13, 101(2%)
minecraft.picked_up.iron_horse_armor: #13, 1(3%)
minecraft.picked_up.white_shulker_box: #13, 101(2%)
minecraft.used.white_shulker_box: #13, 101(2%)
minecraft.used.oak_door: #13, 9(2%)
minecraft.used.stone_pressure_plate: #13, 38(2%)
minecraft.dropped.iron_hoe: #13, 1(3%)
minecraft.killed.cow: #13, 167(2%)
minecraft.picked_up.nether_brick_fence: #13, 27(2%)
minecraft.picked_up.bamboo: #13, 2960(2%)
minecraft.picked_up.basalt: #13, 1925(1%)
minecraft.picked_up.birch_sign: #13, 75(2%)
minecraft.mined.dropper: #13, 39(1%)
minecraft.mined.spruce_sign: #13, 4(2%)
minecraft.mined.soul_lantern: #13, 8(1%)
minecraft.picked_up.note_block: #13, 37(2%)
minecraft.dropped.diamond_hoe: #13, 1(2%)
minecraft.mined.iron_trapdoor: #13, 71(1%)
minecraft.mined.warped_stem: #13, 476(1%)
minecraft.custom.fill_cauldron: #13, 3(1%)
minecraft.dropped.oak_sapling: #13, 88(1%)
minecraft.crafted.black_shulker_box: #13, 3(1%)
minecraft.used.golden_apple: #13, 3(2%)
minecraft.crafted.brown_carpet: #13, 102(1%)
minecraft.picked_up.warped_stem: #13, 476(1%)
minecraft.picked_up.jungle_leaves: #13, 638(1%)
minecraft.mined.dark_oak_trapdoor: #13, 34(1%)
minecraft.picked_up.dark_oak_log: #13, 1024(1%)
minecraft.crafted.purple_dye: #13, 256(1%)
minecraft.dropped.shears: #13, 8(1%)
minecraft.used.light_blue_shulker_box: #13, 56(1%)
minecraft.picked_up.light_blue_shulker_box: #13, 56(1%)
minecraft.used.warped_stem: #13, 217(1%)
minecraft.mined.light_blue_shulker_box: #13, 56(1%)
minecraft.crafted.brown_shulker_box: #13, 2(1%)
minecraft.used.blue_concrete_powder: #13, 192(1%)
minecraft.crafted.gray_concrete_powder: #13, 2928(1%)
minecraft.picked_up.warped_fence: #13, 4(1%)
minecraft.crafted.warped_slab: #13, 66(1%)
minecraft.mined.lime_stained_glass: #13, 35(1%)
minecraft.used.gray_concrete_powder: #13, 2279(1%)
minecraft.dropped.enchanted_book: #13, 22(1%)
minecraft.crafted.blue_shulker_box: #13, 1(1%)
minecraft.dropped.white_bed: #13, 1(1%)
minecraft.dropped.stone_bricks: #13, 116(1%)
minecraft.crafted.nether_brick_slab: #13, 96(1%)
minecraft.picked_up.dark_oak_door: #13, 5(1%)
minecraft.used.tube_coral_fan: #13, 1(1%)
minecraft.used.nether_brick_slab: #13, 135(1%)
minecraft.crafted.filled_map: #13, 24(1%)
minecraft.dropped.ender_chest: #13, 2(1%)
minecraft.crafted.charcoal: #13, 31(1%)
minecraft.crafted.stonecutter: #13, 10(1%)
minecraft.crafted.soul_torch: #13, 60(1%)
minecraft.picked_up.polished_granite: #13, 32(1%)
minecraft.dropped.lapis_lazuli: #13, 21(1%)
minecraft.crafted.crimson_sign: #13, 3(1%)
minecraft.dropped.lever: #13, 5(0%)
minecraft.used.warped_fungus: #13, 39(1%)
minecraft.used.cyan_stained_glass_pane: #13, 15(1%)
minecraft.crafted.polished_blackstone_brick_slab: #13, 42(1%)
minecraft.used.warped_sign: #13, 2(1%)
minecraft.dropped.fern: #13, 3(1%)
minecraft.dropped.red_terracotta: #13, 8(0%)
minecraft.dropped.clay_ball: #13, 4(1%)
minecraft.custom.play_noteblock: #13, 38(0%)
minecraft.mined.red_sand: #13, 573(0%)
minecraft.used.apple: #13, 3(0%)
minecraft.mined.orange_tulip: #13, 3(0%)
minecraft.crafted.smooth_sandstone_slab: #13, 72(0%)
minecraft.used.mossy_cobblestone_stairs: #13, 1(0%)
minecraft.mined.purple_wool: #13, 3(0%)
minecraft.crafted.loom: #13, 3(0%)
minecraft.picked_up.snow: #13, 112(0%)
minecraft.picked_up.cyan_stained_glass_pane: #13, 4(0%)
minecraft.crafted.yellow_carpet: #13, 30(0%)
minecraft.used.yellow_carpet: #13, 27(0%)
minecraft.mined.light_blue_stained_glass: #13, 10(0%)
minecraft.picked_up.rabbit: #13, 3(0%)
minecraft.picked_up.red_tulip: #13, 7(0%)
minecraft.crafted.cooked_porkchop: #13, 7(0%)
minecraft.mined.packed_ice: #13, 73(0%)
minecraft.used.crimson_fence: #13, 1(0%)
minecraft.crafted.jungle_wood: #13, 6(0%)
minecraft.picked_up.yellow_carpet: #13, 6(0%)
minecraft.crafted.jack_o_lantern: #13, 1(0%)
minecraft.dropped.nether_brick_slab: #13, 1(0%)
minecraft.used.crimson_hyphae: #13, 1(0%)
minecraft.used.oak_boat: #14, 49(3%)
minecraft.mined.oak_fence: #14, 210(3%)
minecraft.crafted.ladder: #14, 405(3%)
minecraft.picked_up.oak_boat: #14, 47(3%)
minecraft.picked_up.leather_boots: #14, 15(3%)
minecraft.used.ladder: #14, 328(3%)
minecraft.used.diamond_shovel: #14, 105804(3%)
minecraft.mined.red_shulker_box: #14, 217(3%)
minecraft.picked_up.red_shulker_box: #14, 219(3%)
minecraft.used.red_shulker_box: #14, 214(2%)
minecraft.picked_up.leather_chestplate: #14, 12(3%)
minecraft.mined.oak_planks: #14, 270(2%)
minecraft.used.diamond_pickaxe: #14, 206030(2%)
minecraft.picked_up.white_bed: #14, 85(2%)
minecraft.crafted.diamond_sword: #14, 4(2%)
minecraft.picked_up.diamond_leggings: #14, 11(2%)
minecraft.used.golden_carrot: #14, 1594(2%)
minecraft.killed_by.ravager: #14, 3(3%)
minecraft.picked_up.observer: #14, 176(2%)
minecraft.crafted.oak_planks: #14, 6988(2%)
minecraft.crafted.furnace: #14, 164(2%)
minecraft.picked_up.apple: #14, 140(2%)
minecraft.dropped.oak_log: #14, 90(2%)
minecraft.crafted.iron_bars: #14, 592(2%)
minecraft.used.dark_oak_sign: #14, 18(2%)
minecraft.mined.obsidian: #14, 611(2%)
minecraft.crafted.stone_slab: #14, 1038(2%)
minecraft.crafted.stone_pressure_plate: #14, 48(2%)
minecraft.picked_up.piston: #14, 106(1%)
minecraft.dropped.stick: #14, 718(1%)
minecraft.crafted.book: #14, 168(2%)
minecraft.mined.redstone_block: #14, 59(1%)
minecraft.mined.clay: #14, 344(1%)
minecraft.crafted.stone_brick_slab: #14, 666(1%)
minecraft.killed_by.piglin: #14, 1(2%)
minecraft.used.note_block: #14, 69(2%)
minecraft.picked_up.pumpkin_pie: #14, 47(1%)
minecraft.mined.white_wool: #14, 53(1%)
minecraft.picked_up.lava_bucket: #14, 3(1%)
minecraft.picked_up.lily_pad: #14, 42(1%)
minecraft.used.poppy: #14, 6(1%)
minecraft.picked_up.iron_trapdoor: #14, 79(1%)
minecraft.dropped.cooked_beef: #14, 41(1%)
minecraft.dropped.netherite_boots: #14, 1(2%)
minecraft.used.bread: #14, 48(1%)
minecraft.picked_up.dropper: #14, 39(1%)
minecraft.mined.oak_fence_gate: #14, 10(1%)
minecraft.mined.smithing_table: #14, 8(1%)
minecraft.dropped.chest: #14, 17(1%)
minecraft.mined.mushroom_stem: #14, 114(1%)
minecraft.dropped.flint_and_steel: #14, 2(1%)
minecraft.used.nether_bricks: #14, 317(1%)
minecraft.used.birch_trapdoor: #14, 69(1%)
minecraft.crafted.dark_oak_fence: #14, 84(1%)
minecraft.crafted.birch_fence: #14, 36(1%)
minecraft.mined.orange_shulker_box: #14, 44(1%)
minecraft.mined.white_terracotta: #14, 455(1%)
minecraft.picked_up.cobblestone_slab: #14, 78(1%)
minecraft.dropped.mutton: #14, 7(1%)
minecraft.picked_up.black_stained_glass_pane: #14, 29(1%)
minecraft.crafted.stone_stairs: #14, 56(1%)
minecraft.mined.bee_nest: #14, 4(1%)
minecraft.crafted.spruce_fence: #14, 156(1%)
minecraft.picked_up.coarse_dirt: #14, 328(1%)
minecraft.dropped.birch_sapling: #14, 10(1%)
minecraft.crafted.cyan_stained_glass_pane: #14, 32(1%)
minecraft.crafted.cobblestone_wall: #14, 66(1%)
minecraft.picked_up.netherite_ingot: #14, 1(1%)
minecraft.picked_up.iron_nugget: #14, 101(1%)
minecraft.mined.grass_path: #14, 90(0%)
minecraft.dropped.jungle_log: #14, 12(1%)
minecraft.mined.polished_granite: #14, 16(1%)
minecraft.dropped.ladder: #14, 6(1%)
minecraft.crafted.sandstone: #14, 92(0%)
minecraft.dropped.blackstone: #14, 66(0%)
minecraft.dropped.nether_gold_ore: #14, 6(0%)
minecraft.picked_up.paper: #14, 503(0%)
minecraft.picked_up.mushroom_stem: #14, 88(0%)
minecraft.used.jungle_button: #14, 3(0%)
minecraft.used.andesite_stairs: #14, 9(0%)
minecraft.mined.red_tulip: #14, 3(0%)
minecraft.crafted.light_blue_shulker_box: #14, 1(0%)
minecraft.picked_up.crimson_sign: #14, 1(0%)
minecraft.picked_up.cyan_wool: #14, 24(0%)
minecraft.picked_up.blue_wool: #14, 31(0%)
minecraft.used.jungle_trapdoor: #14, 17(0%)
minecraft.picked_up.green_wool: #14, 46(0%)
minecraft.dropped.cactus: #14, 22(0%)
minecraft.picked_up.pink_wool: #14, 28(0%)
minecraft.used.cooked_mutton: #14, 10(0%)
minecraft.used.orange_concrete_powder: #14, 64(0%)
minecraft.dropped.item_frame: #14, 2(0%)
minecraft.crafted.orange_concrete_powder: #14, 64(0%)
minecraft.picked_up.dark_oak_button: #14, 2(0%)
minecraft.crafted.soul_lantern: #14, 16(0%)
minecraft.picked_up.yellow_wool: #14, 27(0%)
minecraft.picked_up.bread: #14, 22(0%)
minecraft.crafted.leather_helmet: #14, 2(0%)
minecraft.dropped.slime_block: #14, 8(0%)
minecraft.used.rose_bush: #14, 6(0%)
minecraft.dropped.oxeye_daisy: #14, 5(0%)
minecraft.crafted.mossy_cobblestone: #14, 11(0%)
minecraft.picked_up.beetroot_seeds: #14, 11(0%)
minecraft.mined.gray_stained_glass: #14, 7(0%)
minecraft.used.warped_roots: #14, 2(0%)
minecraft.picked_up.crimson_stairs: #14, 2(0%)
minecraft.crafted.white_banner: #14, 2(0%)
minecraft.picked_up.packed_ice: #14, 198(0%)
minecraft.dropped.light_gray_carpet: #14, 2(0%)
minecraft.used.light_blue_carpet: #14, 8(0%)
minecraft.used.lime_carpet: #14, 12(0%)
minecraft.crafted.lime_carpet: #14, 12(0%)
minecraft.mined.black_carpet: #14, 34(0%)
minecraft.crafted.cartography_table: #14, 1(0%)
minecraft.mined.oak_wood: #14, 3(0%)
minecraft.picked_up.oak_wood: #14, 3(0%)
minecraft.mined.turtle_egg: #14, 3(0%)
minecraft.crafted.light_blue_carpet: #14, 6(0%)
minecraft.crafted.nether_brick: #14, 32(0%)
minecraft.used.jungle_wood: #14, 4(0%)
minecraft.used.snow: #14, 14(0%)
minecraft.used.jack_o_lantern: #14, 1(0%)
minecraft.dropped.stone_stairs: #14, 1(0%)
minecraft.dropped.green_dye: #14, 1(0%)
minecraft.custom.interact_with_crafting_table: #15, 3202(3%)
minecraft.picked_up.diorite: #15, 11042(3%)
minecraft.mined.cobblestone: #15, 1750(3%)
minecraft.crafted.lever: #15, 137(3%)
minecraft.crafted.diamond_pickaxe: #15, 12(2%)
minecraft.used.furnace: #15, 158(2%)
minecraft.mined.chest: #15, 437(2%)
minecraft.mined.brown_mushroom: #15, 48(2%)
minecraft.dropped.diorite: #15, 1501(2%)
minecraft.picked_up.redstone_block: #15, 222(2%)
minecraft.mined.damaged_anvil: #15, 5(2%)
minecraft.mined.beacon: #15, 20(2%)
minecraft.picked_up.furnace: #15, 96(2%)
minecraft.picked_up.nether_bricks: #15, 703(2%)
minecraft.picked_up.diamond_helmet: #15, 8(2%)
minecraft.dropped.netherrack: #15, 6040(2%)
minecraft.picked_up.compass: #15, 18(2%)
minecraft.picked_up.grass_block: #15, 9831(1%)
minecraft.used.redstone_block: #15, 161(2%)
minecraft.used.chipped_anvil: #15, 6(2%)
minecraft.mined.gray_carpet: #15, 75(2%)
minecraft.picked_up.beef: #15, 401(1%)
minecraft.used.grass_block: #15, 5131(1%)
minecraft.mined.farmland: #15, 46(1%)
minecraft.used.redstone_ore: #15, 338(1%)
minecraft.mined.basalt: #15, 2323(1%)
minecraft.crafted.red_shulker_box: #15, 3(1%)
minecraft.crafted.green_carpet: #15, 147(1%)
minecraft.used.potion: #15, 25(1%)
minecraft.used.stone_slab: #15, 663(1%)
minecraft.mined.sticky_piston: #15, 42(1%)
minecraft.used.light_gray_concrete: #15, 675(1%)
minecraft.used.ice: #15, 408(1%)
minecraft.mined.detector_rail: #15, 3(1%)
minecraft.killed.endermite: #15, 3(1%)
minecraft.used.cobblestone_slab: #15, 205(1%)
minecraft.dropped.iron_ore: #15, 77(1%)
minecraft.used.gray_concrete: #15, 1854(1%)
minecraft.picked_up.orange_shulker_box: #15, 44(1%)
minecraft.picked_up.mutton: #15, 40(1%)
minecraft.picked_up.blue_shulker_box: #15, 17(1%)
minecraft.crafted.blue_concrete_powder: #15, 192(1%)
minecraft.used.blue_shulker_box: #15, 17(1%)
minecraft.picked_up.oak_fence_gate: #15, 10(1%)
minecraft.used.orange_shulker_box: #15, 44(1%)
minecraft.dropped.lilac: #15, 1(1%)
minecraft.mined.blue_shulker_box: #15, 17(1%)
minecraft.used.gray_carpet: #15, 280(1%)
minecraft.crafted.lead: #15, 8(1%)
minecraft.used.spruce_fence: #15, 158(1%)
minecraft.used.birch_boat: #15, 3(1%)
minecraft.picked_up.stone_pickaxe: #15, 1(1%)
minecraft.picked_up.white_terracotta: #15, 462(1%)
minecraft.dropped.oak_fence: #15, 6(1%)
minecraft.crafted.gray_carpet: #15, 249(1%)
minecraft.picked_up.daylight_detector: #15, 2(1%)
minecraft.used.stone_brick_stairs: #15, 94(1%)
minecraft.picked_up.dark_oak_trapdoor: #15, 33(1%)
minecraft.picked_up.lime_concrete: #15, 68(1%)
minecraft.mined.light_gray_terracotta: #15, 312(1%)
minecraft.mined.lime_concrete: #15, 79(1%)
minecraft.used.dark_oak_fence: #15, 44(1%)
minecraft.mined.white_tulip: #15, 4(1%)
minecraft.crafted.player_head: #15, 55(0%)
minecraft.custom.walk_on_water_one_cm: #16, 4117693(2%)
minecraft.used.cake: #15, 1(1%)
minecraft.crafted.warped_sign: #15, 3(1%)
minecraft.picked_up.clock: #15, 1(1%)
minecraft.dropped.book: #15, 3(0%)
minecraft.used.cartography_table: #15, 1(0%)
minecraft.picked_up.fern: #15, 25(0%)
minecraft.mined.birch_sapling: #15, 2(0%)
minecraft.killed.wither: #15, 1(0%)
minecraft.picked_up.nether_brick: #15, 27(0%)
minecraft.used.brown_concrete_powder: #15, 53(0%)
minecraft.crafted.stone_shovel: #15, 2(0%)
minecraft.crafted.white_wool: #15, 93(0%)
minecraft.mined.warped_fence: #15, 1(0%)
minecraft.used.stone_shovel: #15, 105(0%)
minecraft.picked_up.tube_coral_fan: #15, 2(0%)
minecraft.dropped.furnace: #15, 1(0%)
minecraft.used.cyan_concrete: #15, 59(0%)
minecraft.crafted.jungle_trapdoor: #15, 14(0%)
minecraft.used.stone_button: #15, 95(0%)
minecraft.crafted.slime_block: #15, 98(0%)
minecraft.used.crimson_sign: #15, 1(0%)
minecraft.picked_up.brick: #15, 4(0%)
minecraft.crafted.leather_leggings: #15, 2(0%)
minecraft.crafted.lime_concrete_powder: #15, 64(0%)
minecraft.crafted.warped_fence: #15, 3(0%)
minecraft.picked_up.horn_coral_fan: #15, 1(0%)
minecraft.mined.brain_coral_wall_fan: #15, 1(0%)
minecraft.crafted.brick: #15, 292(0%)
minecraft.dropped.splash_potion: #15, 1(0%)
minecraft.dropped.iron_trapdoor: #15, 1(0%)
minecraft.used.warped_fence: #15, 1(0%)
minecraft.picked_up.turtle_egg: #15, 3(0%)
minecraft.dropped.dark_oak_trapdoor: #15, 1(0%)
minecraft.dropped.cocoa_beans: #15, 3(0%)
minecraft.used.oak_wood: #15, 5(0%)
minecraft.picked_up.stone: #16, 108954(3%)
minecraft.picked_up.andesite: #16, 11792(3%)
minecraft.used.stone: #16, 22898(2%)
minecraft.picked_up.granite: #16, 9394(3%)
minecraft.picked_up.dirt: #16, 36256(2%)
minecraft.picked_up.obsidian: #16, 641(2%)
minecraft.used.black_shulker_box: #16, 122(2%)
minecraft.used.stone_axe: #16, 138(2%)
minecraft.crafted.chest: #16, 1401(2%)
minecraft.used.cobblestone: #16, 3930(2%)
minecraft.custom.interact_with_beacon: #16, 32(2%)
minecraft.crafted.diamond_shovel: #16, 7(2%)
minecraft.picked_up.beacon: #16, 24(2%)
minecraft.dropped.diamond_sword: #16, 5(2%)
minecraft.mined.sand: #16, 35794(2%)
minecraft.picked_up.damaged_anvil: #16, 5(2%)
minecraft.used.beacon: #16, 23(2%)
minecraft.mined.oak_log: #16, 2483(2%)
minecraft.used.firework_rocket: #16, 331(1%)
minecraft.dropped.stone: #16, 4144(1%)
minecraft.dropped.compass: #16, 13(1%)
minecraft.used.netherite_pickaxe: #16, 86205(1%)
minecraft.picked_up.redstone_ore: #16, 530(1%)
minecraft.used.iron_bars: #16, 351(1%)
minecraft.dropped.gravel: #16, 400(1%)
minecraft.picked_up.white_wool: #16, 283(1%)
minecraft.picked_up.crying_obsidian: #16, 29(1%)
minecraft.mined.cactus: #16, 26(1%)
minecraft.picked_up.spruce_slab: #16, 227(1%)
minecraft.crafted.acacia_planks: #16, 764(1%)
minecraft.used.sunflower: #16, 2(2%)
minecraft.killed.sheep: #16, 26(1%)
minecraft.crafted.lapis_lazuli: #16, 617(1%)
minecraft.mined.stone_pressure_plate: #16, 6(1%)
minecraft.mined.stone_brick_slab: #16, 124(1%)
minecraft.crafted.dark_oak_trapdoor: #16, 116(1%)
minecraft.used.campfire: #16, 32(1%)
minecraft.mined.crimson_nylium: #16, 93(1%)
minecraft.picked_up.leather_helmet: #16, 13(1%)
minecraft.mined.soul_fire: #16, 13(1%)
minecraft.used.sea_lantern: #16, 540(1%)
minecraft.dropped.pufferfish: #16, 2(1%)
minecraft.mined.stone_brick_stairs: #16, 45(1%)
minecraft.mined.stone_slab: #16, 109(1%)
minecraft.picked_up.sticky_piston: #16, 44(1%)
minecraft.picked_up.cobweb: #16, 49(1%)
minecraft.mined.daylight_detector: #16, 2(1%)
minecraft.mined.stripped_oak_log: #16, 43(1%)
minecraft.picked_up.porkchop: #16, 16(1%)
minecraft.picked_up.smithing_table: #16, 8(1%)
minecraft.picked_up.stripped_oak_log: #16, 41(1%)
minecraft.mined.soul_soil: #16, 279(1%)
minecraft.used.nether_quartz_ore: #16, 162(1%)
minecraft.mined.spruce_door: #16, 1(1%)
minecraft.picked_up.birch_boat: #16, 3(1%)
minecraft.used.white_carpet: #16, 248(1%)
minecraft.used.brown_shulker_box: #16, 27(1%)
minecraft.picked_up.pumpkin_seeds: #16, 183(1%)
minecraft.picked_up.brown_shulker_box: #16, 26(1%)
minecraft.picked_up.bookshelf: #16, 19(1%)
minecraft.dropped.chainmail_helmet: #16, 1(1%)
minecraft.mined.brown_shulker_box: #16, 25(1%)
minecraft.picked_up.stone_hoe: #16, 1(1%)
minecraft.picked_up.light_gray_terracotta: #16, 424(1%)
minecraft.picked_up.campfire: #16, 17(1%)
minecraft.picked_up.loom: #16, 3(1%)
minecraft.used.smithing_table: #16, 9(1%)
minecraft.picked_up.clay_ball: #16, 224(1%)
minecraft.mined.loom: #16, 2(1%)
minecraft.picked_up.tropical_fish: #16, 12(0%)
minecraft.used.soul_lantern: #16, 18(1%)
minecraft.broken.shears: #16, 13(0%)
minecraft.picked_up.mycelium: #16, 998(0%)
minecraft.dropped.redstone: #16, 55(0%)
minecraft.crafted.cyan_shulker_box: #16, 1(1%)
minecraft.picked_up.egg: #16, 90(0%)
minecraft.used.iron_trapdoor: #16, 124(0%)
minecraft.crafted.birch_trapdoor: #16, 36(0%)
minecraft.used.quartz_slab: #16, 99(0%)
minecraft.used.crimson_roots: #16, 1(0%)
minecraft.mined.birch_fence: #16, 6(0%)
minecraft.used.light_gray_carpet: #16, 176(0%)
minecraft.mined.quartz_pillar: #16, 14(0%)
minecraft.dropped.dark_oak_planks: #16, 9(0%)
minecraft.used.warped_trapdoor: #16, 12(0%)
minecraft.picked_up.pink_tulip: #16, 18(0%)
minecraft.picked_up.oxeye_daisy: #16, 49(0%)
minecraft.mined.jungle_trapdoor: #16, 3(0%)
minecraft.mined.crimson_fence: #16, 1(0%)
minecraft.picked_up.quartz_pillar: #16, 14(0%)
minecraft.used.warped_nylium: #16, 10(0%)
minecraft.picked_up.brown_wool: #16, 37(0%)
minecraft.dropped.warped_roots: #16, 7(0%)
minecraft.used.birch_fence: #16, 8(0%)
minecraft.used.tnt: #16, 112(0%)
minecraft.mined.light_blue_carpet: #16, 2(0%)
minecraft.mined.gray_wool: #16, 8(0%)
minecraft.used.stripped_oak_log: #16, 7(0%)
minecraft.dropped.tnt: #16, 7(0%)
minecraft.crafted.beacon: #16, 1(0%)
minecraft.picked_up.crimson_fence: #16, 1(0%)
minecraft.used.polished_blackstone_brick_slab: #16, 38(0%)
minecraft.dropped.obsidian: #16, 4(0%)
minecraft.used.light_blue_concrete_powder: #16, 64(0%)
minecraft.used.lime_concrete_powder: #16, 64(0%)
minecraft.picked_up.jungle_trapdoor: #16, 3(0%)
minecraft.picked_up.chiseled_nether_bricks: #16, 1(0%)
minecraft.dropped.weeping_vines: #16, 2(0%)
minecraft.picked_up.orange_carpet: #16, 2(0%)
minecraft.used.terracotta: #16, 37(0%)
minecraft.dropped.white_wool: #16, 8(0%)
minecraft.mined.orange_carpet: #16, 1(0%)
minecraft.used.lime_concrete: #16, 18(0%)
minecraft.used.podzol: #16, 31(0%)
minecraft.used.stone_sword: #16, 2(0%)
minecraft.dropped.chorus_fruit: #16, 2(0%)
minecraft.dropped.chicken: #16, 3(0%)
minecraft.picked_up.stripped_warped_stem: #16, 1(0%)
minecraft.mined.stripped_warped_stem: #16, 1(0%)
minecraft.killed.cave_spider: #16, 7(0%)
minecraft.used.orange_carpet: #16, 2(0%)
minecraft.used.smooth_sandstone_stairs: #16, 9(0%)
minecraft.custom.open_chest: #17, 23751(3%)
