stat, rank, value, (percentage) 
minecraft.crafted.end_rod: #2, 5280(38%)
minecraft.used.brown_terracotta: #2, 7850(25%)
minecraft.mined.black_wall_banner: #1, 79(25%)
minecraft.killed.ocelot: #2, 161(35%)
minecraft.used.golden_carrot: #1, 10379(13%)
minecraft.picked_up.granite: #1, 45702(13%)
minecraft.picked_up.respawn_anchor: #1, 33(32%)
minecraft.picked_up.spruce_sign: #2, 522(17%)
minecraft.picked_up.gray_bed: #2, 457(32%)
minecraft.picked_up.stripped_spruce_wood: #1, 323(32%)
minecraft.mined.stripped_spruce_wood: #1, 294(31%)
minecraft.picked_up.golden_chestplate: #1, 58(13%)
minecraft.mined.gravel: #2, 147662(16%)
minecraft.used.black_glazed_terracotta: #1, 392(35%)
minecraft.used.netherite_axe: #1, 89958(16%)
minecraft.dropped.end_rod: #2, 602(22%)
minecraft.used.tnt: #2, 11707(19%)
minecraft.dropped.gray_concrete_powder: #2, 1067(27%)
minecraft.dropped.netherite_pickaxe: #1, 26(15%)
minecraft.used.experience_bottle: #2, 1685(29%)
minecraft.picked_up.soul_lantern: #2, 484(17%)
minecraft.picked_up.acacia_log: #2, 6930(18%)
minecraft.used.light_gray_stained_glass_pane: #2, 1824(20%)
minecraft.picked_up.diorite: #1, 44016(12%)
minecraft.mined.dark_prismarine_slab: #1, 272(30%)
minecraft.mined.light_blue_wool: #1, 205(20%)
minecraft.dropped.birch_pressure_plate: #1, 9(43%)
minecraft.crafted.gray_stained_glass_pane: #1, 1381(21%)
minecraft.picked_up.quartz_pillar: #2, 1036(20%)
minecraft.picked_up.pumpkin: #2, 5307(16%)
minecraft.dropped.coal: #1, 781(13%)
minecraft.used.magma_block: #2, 10757(18%)
minecraft.picked_up.dark_oak_slab: #2, 2280(18%)
minecraft.picked_up.red_terracotta: #1, 9417(13%)
minecraft.dropped.shulker_box: #2, 288(16%)
minecraft.picked_up.lime_stained_glass: #2, 1238(22%)
minecraft.picked_up.black_concrete: #2, 7443(17%)
minecraft.dropped.chainmail_leggings: #2, 25(20%)
minecraft.crafted.stripped_warped_hyphae: #1, 321(47%)
minecraft.used.stripped_spruce_wood: #1, 269(32%)
minecraft.broken.golden_shovel: #1, 20(20%)
minecraft.used.polished_andesite_stairs: #2, 3277(20%)
minecraft.picked_up.diamond_boots: #1, 106(11%)
minecraft.dropped.cut_sandstone_slab: #1, 185(40%)
