stat, rank, value, (percentage) 
minecraft.mined.dark_oak_button: #5, 5(11%)
minecraft.crafted.black_concrete_powder: #5, 9776(6%)
minecraft.picked_up.baked_potato: #5, 79(10%)
minecraft.dropped.emerald_block: #4, 7(4%)
minecraft.picked_up.brown_bed: #5, 20(8%)
minecraft.dropped.brick: #4, 55(4%)
minecraft.used.magenta_shulker_box: #5, 97(8%)
minecraft.killed.rabbit: #4, 41(2%)
minecraft.mined.chain: #5, 163(6%)
minecraft.dropped.acacia_door: #4, 1(8%)
minecraft.mined.granite_wall: #4, 17(3%)
minecraft.picked_up.music_disc_mellohi: #4, 2(4%)
minecraft.dropped.warped_stairs: #4, 9(6%)
minecraft.picked_up.redstone_lamp: #5, 141(6%)
minecraft.used.light_gray_concrete: #5, 3974(6%)
minecraft.mined.purple_concrete_powder: #5, 11(11%)
minecraft.crafted.respawn_anchor: #4, 26(4%)
minecraft.crafted.iron_boots: #5, 12(6%)
minecraft.picked_up.granite_wall: #4, 17(3%)
minecraft.killed.llama: #4, 11(4%)
minecraft.crafted.birch_sign: #5, 357(5%)
minecraft.broken.stone_hoe: #4, 1(3%)
minecraft.used.bamboo: #5, 749(5%)
minecraft.crafted.white_shulker_box: #5, 15(6%)
minecraft.dropped.nether_star: #4, 1(5%)
minecraft.crafted.flint_and_steel: #5, 17(5%)
minecraft.dropped.experience_bottle: #4, 70(3%)
minecraft.mined.smooth_quartz_slab: #5, 538(6%)
minecraft.picked_up.cooked_porkchop: #5, 664(5%)
minecraft.dropped.diamond_boots: #5, 11(6%)
minecraft.picked_up.fermented_spider_eye: #4, 6(3%)
minecraft.dropped.polished_andesite: #5, 465(6%)
minecraft.mined.red_nether_brick_slab: #4, 24(2%)
minecraft.mined.light_gray_wall_banner: #4, 1(3%)
minecraft.picked_up.note_block: #5, 143(6%)
minecraft.dropped.black_banner: #4, 11(2%)
minecraft.dropped.bell: #4, 3(2%)
minecraft.mined.light_gray_bed: #4, 9(2%)
minecraft.crafted.spruce_boat: #5, 13(7%)
minecraft.mined.note_block: #5, 70(6%)
minecraft.picked_up.iron_ingot: #4, 5648(1%)
minecraft.dropped.netherite_helmet: #5, 4(10%)
minecraft.picked_up.bow: #6, 564(8%)
minecraft.picked_up.cooked_beef: #6, 2079(8%)
minecraft.picked_up.apple: #5, 382(5%)
minecraft.mined.brown_bed: #5, 17(7%)
minecraft.picked_up.pumpkin_pie: #5, 182(5%)
minecraft.crafted.mossy_cobblestone_wall: #4, 12(1%)
minecraft.broken.stone_axe: #5, 2(9%)
minecraft.picked_up.music_disc_far: #4, 1(2%)
minecraft.used.cod: #4, 13(1%)
minecraft.used.stone_pickaxe: #5, 1539(5%)
minecraft.picked_up.firework_star: #4, 4(2%)
minecraft.mined.nether_gold_ore: #5, 438(5%)
minecraft.mined.mossy_cobblestone_wall: #4, 1(1%)
minecraft.dropped.jungle_sign: #5, 18(8%)
minecraft.dropped.blue_terracotta: #4, 10(1%)
minecraft.dropped.granite_wall: #4, 3(1%)
minecraft.used.compass: #4, 4(1%)
minecraft.dropped.oak_pressure_plate: #5, 3(12%)
minecraft.used.stone_slab: #6, 5842(8%)
minecraft.dropped.red_tulip: #4, 6(0%)
minecraft.crafted.spruce_fence_gate: #5, 144(5%)
minecraft.crafted.honeycomb_block: #4, 50(0%)
minecraft.crafted.smooth_quartz_slab: #5, 1690(6%)
minecraft.used.red_terracotta: #5, 1312(5%)
minecraft.picked_up.crimson_trapdoor: #5, 103(6%)
minecraft.dropped.powered_rail: #5, 76(5%)
minecraft.used.crimson_hyphae: #5, 298(8%)
minecraft.dropped.slime_ball: #5, 294(5%)
minecraft.picked_up.acacia_door: #5, 13(11%)
minecraft.picked_up.purple_carpet: #5, 91(5%)
minecraft.mined.soul_campfire: #5, 7(9%)
minecraft.used.melon_seeds: #5, 96(5%)
minecraft.mined.respawn_anchor: #5, 8(11%)
minecraft.dropped.birch_sign: #5, 58(4%)
minecraft.killed_by.skeleton: #5, 5(4%)
minecraft.mined.black_concrete_powder: #5, 289(5%)
minecraft.picked_up.dark_oak_trapdoor: #6, 519(9%)
minecraft.dropped.light_gray_stained_glass_pane: #5, 520(4%)
minecraft.killed_by.piglin: #5, 3(6%)
minecraft.picked_up.snow: #5, 2999(4%)
minecraft.crafted.smooth_quartz_stairs: #5, 800(6%)
minecraft.crafted.jungle_sign: #5, 64(5%)
minecraft.crafted.redstone: #6, 22013(8%)
minecraft.picked_up.iron_horse_armor: #5, 2(6%)
minecraft.broken.stone_pickaxe: #5, 12(6%)
minecraft.dropped.iron_nugget: #5, 682(4%)
minecraft.picked_up.brown_mushroom_block: #5, 2145(5%)
minecraft.dropped.iron_hoe: #5, 2(6%)
minecraft.broken.leather_chestplate: #5, 2(11%)
minecraft.picked_up.tnt: #5, 699(3%)
minecraft.crafted.wooden_hoe: #5, 2(7%)
minecraft.crafted.light_gray_shulker_box: #5, 11(4%)
minecraft.picked_up.nether_gold_ore: #5, 235(3%)
minecraft.picked_up.shulker_box: #6, 5441(7%)
minecraft.crafted.gray_terracotta: #5, 1431(5%)
minecraft.dropped.leather: #5, 384(4%)
minecraft.used.cobweb: #5, 104(4%)
minecraft.used.brick_slab: #5, 180(7%)
minecraft.crafted.mossy_cobblestone: #5, 255(5%)
minecraft.used.spruce_stairs: #6, 1061(7%)
minecraft.picked_up.oak_door: #6, 48(8%)
minecraft.mined.blue_terracotta: #5, 214(8%)
minecraft.crafted.jungle_trapdoor: #5, 260(5%)
minecraft.mined.soul_lantern: #6, 44(8%)
minecraft.mined.white_terracotta: #6, 4589(8%)
minecraft.mined.player_wall_head: #6, 57(7%)
minecraft.used.dark_oak_button: #5, 87(4%)
minecraft.dropped.smoker: #5, 1(8%)
minecraft.dropped.iron_ingot: #5, 1205(3%)
minecraft.mined.brown_stained_glass: #5, 22(6%)
minecraft.dropped.cobblestone_wall: #5, 116(4%)
minecraft.used.shulker_box: #6, 5306(7%)
minecraft.dropped.mutton: #5, 29(4%)
minecraft.dropped.pumpkin_seeds: #5, 446(3%)
minecraft.dropped.stripped_dark_oak_log: #5, 6(8%)
minecraft.mined.light_blue_terracotta: #5, 58(5%)
minecraft.picked_up.experience_bottle: #5, 69(6%)
minecraft.mined.gray_carpet: #6, 348(8%)
minecraft.picked_up.stone_shovel: #5, 5(5%)
minecraft.mined.stone_slab: #6, 925(7%)
minecraft.picked_up.crimson_nylium: #6, 668(7%)
minecraft.dropped.glowstone: #5, 117(4%)
minecraft.picked_up.birch_door: #5, 15(5%)
minecraft.picked_up.crimson_fence_gate: #5, 6(6%)
minecraft.dropped.bone: #6, 2858(7%)
minecraft.mined.wither_skeleton_skull: #5, 2(7%)
minecraft.mined.cartography_table: #6, 13(8%)
minecraft.dropped.purple_bed: #5, 1(8%)
minecraft.dropped.dark_oak_button: #5, 35(5%)
minecraft.dropped.carved_pumpkin: #5, 5(4%)
minecraft.picked_up.brown_wool: #5, 417(3%)
minecraft.dropped.enchanted_book: #5, 74(3%)
minecraft.used.purple_wool: #5, 66(3%)
minecraft.used.gray_terracotta: #5, 747(5%)
minecraft.mined.brown_wool: #5, 47(3%)
minecraft.crafted.light_gray_terracotta: #5, 952(4%)
minecraft.mined.smooth_sandstone_stairs: #5, 256(3%)
minecraft.picked_up.quartz_block: #6, 1371(7%)
minecraft.crafted.cobblestone_wall: #6, 804(7%)
minecraft.picked_up.writable_book: #6, 28(7%)
minecraft.dropped.stone_bricks: #6, 1060(8%)
minecraft.mined.potatoes: #6, 347(9%)
minecraft.dropped.spruce_sapling: #6, 81(8%)
minecraft.dropped.bricks: #5, 247(5%)
minecraft.mined.polished_andesite: #6, 1254(7%)
minecraft.mined.chest: #6, 1261(6%)
minecraft.picked_up.lime_bed: #5, 23(4%)
minecraft.killed.blaze: #5, 987(2%)
minecraft.killed.horse: #5, 7(5%)
minecraft.dropped.nether_brick: #5, 193(4%)
minecraft.crafted.conduit: #5, 1(6%)
minecraft.picked_up.golden_helmet: #6, 39(6%)
minecraft.picked_up.jungle_fence_gate: #5, 15(4%)
minecraft.picked_up.iron_axe: #5, 8(3%)
minecraft.used.oak_sapling: #5, 944(2%)
minecraft.mined.polished_granite_slab: #5, 6(4%)
minecraft.crafted.enchanted_book: #5, 205(2%)
minecraft.crafted.repeater: #6, 1021(6%)
minecraft.dropped.ink_sac: #5, 89(2%)
minecraft.crafted.blue_terracotta: #5, 748(5%)
minecraft.dropped.iron_axe: #5, 7(3%)
minecraft.used.rotten_flesh: #5, 22(3%)
minecraft.mined.gray_concrete: #6, 12144(7%)
minecraft.dropped.netherrack: #6, 22725(6%)
minecraft.picked_up.netherrack: #6, 67162(6%)
minecraft.dropped.smooth_sandstone_slab: #5, 26(4%)
minecraft.dropped.white_concrete_powder: #5, 306(3%)
minecraft.dropped.lime_dye: #5, 67(4%)
minecraft.mined.shroomlight: #6, 559(7%)
minecraft.dropped.black_terracotta: #5, 71(5%)
minecraft.crafted.spruce_fence: #6, 1497(6%)
minecraft.mined.cobblestone: #6, 3876(6%)
minecraft.mined.stripped_spruce_log: #6, 226(6%)
minecraft.picked_up.powered_rail: #6, 998(6%)
minecraft.mined.birch_sapling: #6, 49(8%)
minecraft.crafted.red_nether_brick_slab: #5, 128(5%)
minecraft.crafted.stripped_dark_oak_wood: #5, 6(7%)
minecraft.used.cobblestone: #6, 11608(6%)
minecraft.used.end_rod: #6, 880(6%)
minecraft.killed.stray: #5, 4(5%)
minecraft.picked_up.gray_carpet: #6, 759(6%)
minecraft.used.brown_carpet: #6, 432(7%)
minecraft.dropped.light_blue_shulker_box: #5, 3(4%)
minecraft.dropped.lapis_block: #5, 75(5%)
minecraft.crafted.apple: #5, 220(3%)
minecraft.picked_up.cooked_chicken: #6, 185(6%)
minecraft.dropped.stripped_birch_log: #5, 7(3%)
minecraft.crafted.white_dye: #6, 8819(6%)
minecraft.picked_up.bamboo: #6, 11026(6%)
minecraft.used.terracotta: #6, 2550(6%)
minecraft.crafted.torch: #6, 14591(5%)
minecraft.dropped.dispenser: #5, 21(3%)
minecraft.dropped.rose_bush: #5, 127(2%)
minecraft.mined.stripped_crimson_hyphae: #5, 6(4%)
minecraft.used.warped_fence_gate: #5, 8(2%)
minecraft.picked_up.stripped_crimson_hyphae: #5, 6(4%)
minecraft.crafted.cooked_cod: #5, 66(2%)
minecraft.mined.jungle_stairs: #6, 88(7%)
minecraft.picked_up.honey_bottle: #5, 16(2%)
minecraft.used.stone_shovel: #5, 661(2%)
minecraft.dropped.brown_terracotta: #5, 105(3%)
minecraft.crafted.shulker_box: #6, 367(5%)
minecraft.crafted.gray_wool: #5, 64(2%)
minecraft.dropped.crimson_door: #5, 1(5%)
minecraft.mined.yellow_terracotta: #6, 4790(6%)
minecraft.used.stone_brick_stairs: #6, 983(6%)
minecraft.mined.nether_bricks: #6, 1872(5%)
minecraft.dropped.acacia_log: #6, 85(7%)
minecraft.dropped.sugar: #5, 159(2%)
minecraft.dropped.lever: #6, 65(6%)
minecraft.mined.light_gray_banner: #5, 1(4%)
minecraft.used.light_gray_bed: #5, 12(2%)
minecraft.dropped.light_weighted_pressure_plate: #5, 7(3%)
minecraft.picked_up.smooth_quartz_slab: #6, 790(6%)
minecraft.mined.loom: #6, 21(7%)
minecraft.dropped.iron_leggings: #6, 12(8%)
minecraft.dropped.cauldron: #5, 5(2%)
minecraft.crafted.bell: #5, 19(2%)
minecraft.used.wheat_seeds: #6, 4529(5%)
minecraft.dropped.coal_ore: #6, 454(6%)
minecraft.broken.stone_shovel: #5, 5(2%)
minecraft.dropped.green_wool: #5, 53(2%)
minecraft.dropped.cracked_polished_blackstone_bricks: #5, 10(2%)
minecraft.killed.zombie_villager: #6, 24(5%)
minecraft.crafted.black_dye: #6, 6446(5%)
minecraft.mined.red_sandstone: #5, 3(2%)
minecraft.dropped.brewing_stand: #5, 4(2%)
minecraft.used.mossy_cobblestone_wall: #5, 9(2%)
minecraft.dropped.warped_sign: #5, 2(2%)
minecraft.crafted.warped_fence_gate: #5, 7(1%)
minecraft.used.end_crystal: #5, 9(2%)
minecraft.crafted.blaze_powder: #5, 520(1%)
minecraft.dropped.oak_fence_gate: #5, 4(2%)
minecraft.picked_up.redstone: #6, 20368(5%)
minecraft.used.smooth_quartz_stairs: #6, 1075(6%)
minecraft.dropped.campfire: #5, 13(2%)
minecraft.used.tnt_minecart: #5, 6(3%)
minecraft.crafted.tnt_minecart: #5, 6(3%)
minecraft.used.diamond_hoe: #6, 8549(5%)
minecraft.picked_up.rabbit_hide: #5, 31(1%)
minecraft.killed_by.creeper: #6, 8(5%)
minecraft.mined.spruce_fence: #6, 238(5%)
minecraft.dropped.white_terracotta: #6, 103(6%)
minecraft.dropped.light_gray_concrete_powder: #5, 37(1%)
minecraft.dropped.birch_stairs: #5, 7(2%)
minecraft.mined.blue_bed: #5, 15(2%)
minecraft.dropped.saddle: #5, 2(1%)
minecraft.picked_up.red_nether_brick_slab: #5, 33(1%)
minecraft.mined.redstone_torch: #6, 107(5%)
minecraft.used.crimson_stairs: #6, 136(7%)
minecraft.dropped.glass_pane: #5, 23(1%)
minecraft.dropped.snowball: #6, 445(6%)
minecraft.mined.smooth_quartz: #6, 402(5%)
minecraft.picked_up.rabbit_foot: #5, 4(1%)
minecraft.dropped.dark_oak_fence: #5, 14(1%)
minecraft.dropped.redstone_lamp: #5, 1(2%)
minecraft.dropped.lime_terracotta: #5, 12(1%)
minecraft.dropped.light_blue_carpet: #5, 7(1%)
minecraft.dropped.prismarine_shard: #5, 132(1%)
minecraft.crafted.white_concrete_powder: #6, 14830(5%)
minecraft.picked_up.blue_ice: #5, 42(1%)
minecraft.custom.raid_win: #5, 2(1%)
minecraft.dropped.pink_stained_glass: #5, 2(1%)
minecraft.crafted.wooden_pickaxe: #6, 2(5%)
minecraft.mined.oak_pressure_plate: #6, 4(7%)
minecraft.mined.poppy: #6, 307(4%)
minecraft.crafted.bucket: #6, 273(4%)
minecraft.used.stone_axe: #6, 283(5%)
minecraft.killed.trader_llama: #6, 24(5%)
minecraft.picked_up.diamond_chestplate: #6, 12(5%)
minecraft.dropped.nether_brick_wall: #5, 12(1%)
minecraft.picked_up.lodestone: #5, 1(1%)
minecraft.mined.lodestone: #5, 1(1%)
minecraft.dropped.gray_terracotta: #5, 9(1%)
minecraft.dropped.magenta_wool: #5, 2(1%)
minecraft.mined.stripped_jungle_wood: #5, 2(1%)
minecraft.picked_up.stripped_jungle_wood: #5, 2(1%)
minecraft.crafted.crimson_slab: #6, 354(6%)
minecraft.dropped.mushroom_stem: #5, 13(0%)
minecraft.crafted.oak_pressure_plate: #6, 8(5%)
minecraft.picked_up.scute: #5, 1(0%)
minecraft.mined.white_banner: #6, 6(7%)
minecraft.mined.kelp_plant: #6, 941(4%)
minecraft.picked_up.crimson_stairs: #6, 71(7%)
minecraft.used.oak_planks: #6, 674(4%)
minecraft.crafted.melon_seeds: #6, 148(6%)
minecraft.picked_up.bucket: #6, 99(4%)
minecraft.mined.red_mushroom: #6, 39(4%)
minecraft.dropped.wheat: #6, 259(5%)
minecraft.crafted.warped_sign: #6, 33(6%)
minecraft.used.warped_hyphae: #6, 661(7%)
minecraft.picked_up.brown_carpet: #6, 137(5%)
minecraft.picked_up.blue_concrete: #6, 519(4%)
minecraft.used.warped_sign: #6, 21(6%)
minecraft.crafted.cobblestone_stairs: #6, 176(4%)
minecraft.custom.damage_resisted: #6, 11981(4%)
minecraft.crafted.light_blue_bed: #6, 3(7%)
minecraft.mined.jungle_leaves: #6, 3658(4%)
minecraft.dropped.basalt: #6, 369(4%)
minecraft.dropped.gold_nugget: #6, 726(4%)
minecraft.mined.birch_leaves: #6, 4715(4%)
minecraft.killed.player: #6, 4(8%)
minecraft.used.smooth_quartz_slab: #6, 1921(4%)
minecraft.crafted.loom: #6, 67(4%)
minecraft.crafted.golden_boots: #6, 6(5%)
minecraft.dropped.gray_concrete: #6, 246(4%)
minecraft.custom.eat_cake_slice: #6, 10(4%)
minecraft.mined.brick_slab: #6, 33(7%)
minecraft.used.golden_apple: #6, 9(5%)
minecraft.picked_up.blackstone_wall: #6, 102(4%)
minecraft.picked_up.light_blue_terracotta: #6, 105(7%)
minecraft.picked_up.black_stained_glass_pane: #6, 140(4%)
minecraft.picked_up.iron_hoe: #6, 3(6%)
minecraft.picked_up.mushroom_stem: #6, 812(4%)
minecraft.dropped.light_gray_carpet: #6, 65(5%)
minecraft.picked_up.gunpowder: #6, 5075(3%)
minecraft.dropped.book: #6, 33(4%)
minecraft.used.note_block: #6, 182(4%)
minecraft.used.peony: #6, 14(4%)
minecraft.picked_up.enchanted_book: #6, 71(3%)
minecraft.crafted.purple_dye: #6, 896(4%)
minecraft.picked_up.stone_axe: #6, 3(5%)
minecraft.crafted.jungle_button: #6, 33(5%)
minecraft.mined.lime_stained_glass: #6, 140(4%)
minecraft.dropped.charcoal: #6, 4(6%)
minecraft.crafted.warped_hyphae: #6, 663(7%)
minecraft.used.obsidian: #6, 1060(3%)
minecraft.picked_up.light_gray_concrete: #6, 1686(3%)
minecraft.crafted.crimson_hyphae: #6, 330(7%)
minecraft.mined.oak_button: #6, 6(5%)
minecraft.used.wooden_hoe: #6, 36(5%)
minecraft.crafted.light_blue_terracotta: #6, 640(5%)
minecraft.mined.end_rod: #6, 426(3%)
minecraft.picked_up.gray_concrete_powder: #6, 4020(3%)
minecraft.used.pink_terracotta: #6, 83(7%)
minecraft.used.blue_wool: #6, 82(4%)
minecraft.used.light_gray_terracotta: #6, 1183(4%)
minecraft.broken.leather_boots: #6, 2(10%)
minecraft.crafted.iron_shovel: #6, 22(3%)
minecraft.picked_up.spruce_leaves: #6, 3924(3%)
minecraft.used.jungle_stairs: #6, 139(4%)
minecraft.picked_up.birch_slab: #6, 152(3%)
minecraft.mined.crimson_stairs: #6, 13(5%)
minecraft.mined.seagrass: #6, 796(3%)
minecraft.dropped.vine: #6, 29(6%)
minecraft.crafted.sponge: #6, 325(5%)
minecraft.dropped.lily_of_the_valley: #6, 4(4%)
minecraft.crafted.chiseled_stone_bricks: #6, 457(4%)
minecraft.used.blue_concrete: #6, 403(3%)
minecraft.crafted.spruce_door: #6, 36(3%)
minecraft.picked_up.observer: #7, 561(7%)
minecraft.dropped.warped_planks: #6, 9(4%)
minecraft.used.netherite_hoe: #6, 23361(4%)
minecraft.picked_up.oak_sign: #7, 296(6%)
minecraft.picked_up.jungle_trapdoor: #6, 66(3%)
minecraft.mined.shulker_box: #7, 4893(6%)
minecraft.picked_up.andesite_slab: #6, 331(3%)
minecraft.used.lime_concrete: #6, 554(2%)
minecraft.used.stripped_jungle_log: #6, 14(4%)
minecraft.dropped.writable_book: #7, 14(7%)
minecraft.dropped.crimson_roots: #7, 162(7%)
minecraft.killed.mooshroom: #6, 57(4%)
minecraft.crafted.smoker: #6, 32(3%)
minecraft.killed_by.drowned: #6, 1(6%)
minecraft.dropped.cooked_mutton: #6, 25(3%)
minecraft.crafted.lime_terracotta: #6, 396(3%)
minecraft.killed.salmon: #6, 20(2%)
minecraft.dropped.golden_apple: #6, 12(3%)
minecraft.crafted.red_terracotta: #6, 510(3%)
minecraft.crafted.light_gray_carpet: #6, 853(2%)
minecraft.picked_up.sandstone_stairs: #6, 120(2%)
minecraft.dropped.stone_brick_slab: #6, 201(2%)
minecraft.crafted.prismarine_brick_stairs: #6, 72(4%)
minecraft.dropped.brown_mushroom: #7, 185(7%)
minecraft.picked_up.lime_wool: #6, 242(2%)
minecraft.picked_up.glass: #7, 4708(6%)
minecraft.picked_up.tropical_fish: #6, 41(2%)
minecraft.mined.warped_wall_sign: #6, 3(4%)
minecraft.picked_up.blaze_powder: #6, 49(2%)
minecraft.picked_up.pink_terracotta: #6, 76(3%)
minecraft.picked_up.red_concrete_powder: #6, 459(2%)
minecraft.dropped.nether_wart: #6, 67(3%)
minecraft.used.light_gray_wool: #6, 434(2%)
minecraft.dropped.nether_wart_block: #6, 161(2%)
minecraft.dropped.black_dye: #6, 31(3%)
minecraft.dropped.acacia_trapdoor: #6, 15(3%)
minecraft.used.coal_block: #6, 94(2%)
minecraft.dropped.clock: #6, 3(3%)
minecraft.picked_up.orange_dye: #6, 64(2%)
minecraft.used.item_frame: #7, 553(5%)
minecraft.killed.bee: #6, 8(2%)
minecraft.used.netherrack: #7, 14671(6%)
minecraft.picked_up.smooth_quartz_stairs: #7, 355(6%)
minecraft.crafted.blue_dye: #7, 3491(6%)
minecraft.picked_up.oxeye_daisy: #6, 282(2%)
minecraft.dropped.smooth_stone: #7, 196(7%)
minecraft.used.conduit: #6, 2(5%)
minecraft.crafted.andesite_slab: #6, 364(2%)
minecraft.mined.rose_bush: #7, 73(6%)
minecraft.dropped.soul_torch: #6, 3(2%)
minecraft.picked_up.green_stained_glass: #6, 62(2%)
minecraft.mined.light_gray_wool: #6, 54(2%)
minecraft.dropped.smooth_quartz: #6, 31(2%)
minecraft.dropped.spectral_arrow: #6, 63(2%)
minecraft.killed.sheep: #7, 143(6%)
minecraft.used.smooth_red_sandstone_slab: #6, 16(4%)
minecraft.dropped.stripped_oak_log: #6, 4(2%)
minecraft.crafted.birch_planks: #7, 10874(5%)
minecraft.crafted.stone_brick_stairs: #7, 604(6%)
minecraft.dropped.cooked_chicken: #7, 59(6%)
minecraft.dropped.crossbow: #6, 23(1%)
minecraft.picked_up.cartography_table: #7, 14(6%)
minecraft.dropped.prismarine_crystals: #6, 253(1%)
minecraft.used.lever: #7, 351(5%)
minecraft.mined.grass: #7, 4119(5%)
minecraft.mined.white_stained_glass_pane: #7, 121(5%)
minecraft.picked_up.stone_bricks: #7, 4485(5%)
minecraft.dropped.polished_blackstone_brick_stairs: #6, 3(2%)
minecraft.used.cobblestone_wall: #7, 529(5%)
minecraft.picked_up.blue_bed: #6, 17(2%)
minecraft.dropped.cooked_porkchop: #6, 236(1%)
minecraft.custom.play_one_minute: #8, 101752815(4%)
minecraft.dropped.black_concrete_powder: #6, 51(2%)
minecraft.picked_up.nether_quartz_ore: #7, 1850(5%)
minecraft.picked_up.iron_chestplate: #7, 11(5%)
minecraft.killed.hoglin: #6, 67(1%)
minecraft.dropped.diamond_pickaxe: #7, 17(5%)
minecraft.dropped.brown_mushroom_block: #6, 62(2%)
minecraft.used.sweet_berries: #6, 142(1%)
minecraft.used.cod_bucket: #6, 1(2%)
minecraft.custom.walk_under_water_one_cm: #8, 15516889(4%)
minecraft.mined.stripped_dark_oak_wood: #6, 12(1%)
minecraft.crafted.smooth_stone_slab: #7, 5873(5%)
minecraft.mined.gray_terracotta: #6, 50(1%)
minecraft.mined.light_blue_wall_banner: #6, 1(2%)
minecraft.dropped.note_block: #6, 7(2%)
minecraft.crafted.red_dye: #7, 2525(5%)
minecraft.picked_up.stripped_dark_oak_wood: #6, 10(1%)
minecraft.used.blue_bed: #6, 12(1%)
minecraft.used.spruce_leaves: #6, 403(1%)
minecraft.picked_up.brown_concrete_powder: #6, 73(1%)
minecraft.dropped.crimson_trapdoor: #6, 10(1%)
minecraft.used.stripped_crimson_hyphae: #6, 2(2%)
minecraft.mined.lime_wall_banner: #6, 1(2%)
minecraft.mined.jungle_wall_sign: #7, 17(8%)
minecraft.used.acacia_wood: #6, 71(1%)
minecraft.mined.birch_trapdoor: #7, 60(6%)
minecraft.dropped.sandstone_slab: #6, 24(1%)
minecraft.picked_up.blue_terracotta: #7, 415(9%)
minecraft.picked_up.mutton: #7, 261(5%)
minecraft.used.light_blue_banner: #6, 4(1%)
minecraft.mined.blue_ice: #6, 15(1%)
minecraft.picked_up.light_gray_bed: #6, 4(1%)
minecraft.crafted.redstone_block: #7, 2291(4%)
minecraft.dropped.brick_stairs: #6, 2(1%)
minecraft.crafted.light_blue_banner: #6, 3(1%)
minecraft.used.lodestone: #6, 2(1%)
minecraft.crafted.end_crystal: #6, 9(1%)
minecraft.dropped.brown_dye: #6, 6(1%)
minecraft.crafted.packed_ice: #6, 86(0%)
minecraft.dropped.acacia_stairs: #6, 1(1%)
minecraft.dropped.cobweb: #6, 2(1%)
minecraft.crafted.acacia_wood: #6, 48(1%)
minecraft.mined.stripped_acacia_wood: #6, 1(1%)
minecraft.dropped.light_gray_concrete: #7, 78(7%)
minecraft.picked_up.honeycomb: #6, 84(0%)
minecraft.used.potato: #7, 361(5%)
minecraft.mined.stone_brick_stairs: #7, 234(5%)
minecraft.crafted.brown_carpet: #7, 399(5%)
minecraft.used.jungle_door: #6, 2(0%)
minecraft.used.crafting_table: #7, 343(4%)
minecraft.killed.vindicator: #6, 13(0%)
minecraft.picked_up.birch_stairs: #7, 84(6%)
minecraft.crafted.sea_lantern: #6, 12(0%)
minecraft.mined.fire: #7, 624(4%)
minecraft.picked_up.shulker_shell: #7, 1008(5%)
minecraft.mined.cauldron: #7, 13(5%)
minecraft.picked_up.pumpkin_seeds: #7, 1237(4%)
minecraft.dropped.red_terracotta: #7, 94(5%)
minecraft.crafted.lime_dye: #7, 1152(5%)
minecraft.picked_up.loom: #7, 22(5%)
minecraft.dropped.iron_ore: #7, 413(5%)
minecraft.picked_up.smooth_stone: #7, 1766(4%)
minecraft.dropped.diamond_helmet: #7, 6(5%)
minecraft.crafted.lime_carpet: #7, 576(5%)
minecraft.dropped.item_frame: #7, 41(5%)
minecraft.picked_up.saddle: #7, 16(5%)
minecraft.dropped.furnace: #7, 20(6%)
minecraft.mined.oak_sapling: #7, 28(4%)
minecraft.picked_up.jungle_fence: #7, 42(5%)
minecraft.crafted.red_wool: #7, 131(5%)
minecraft.used.stonecutter: #7, 115(4%)
minecraft.crafted.composter: #7, 113(4%)
minecraft.picked_up.flint_and_steel: #7, 13(4%)
minecraft.picked_up.gray_stained_glass: #7, 330(6%)
minecraft.mined.lily_of_the_valley: #7, 35(5%)
minecraft.picked_up.nether_brick_slab: #7, 303(4%)
minecraft.used.lime_carpet: #7, 505(5%)
minecraft.picked_up.stonecutter: #7, 99(4%)
minecraft.dropped.scaffolding: #7, 424(4%)
minecraft.mined.jungle_planks: #7, 144(4%)
minecraft.dropped.redstone_torch: #7, 44(4%)
minecraft.picked_up.red_mushroom_block: #7, 1469(4%)
minecraft.crafted.gold_ingot: #7, 29614(3%)
minecraft.used.spruce_fence: #7, 806(3%)
minecraft.picked_up.smooth_quartz: #7, 499(4%)
minecraft.picked_up.nether_brick_wall: #7, 152(5%)
minecraft.mined.red_mushroom_block: #7, 1263(3%)
minecraft.dropped.milk_bucket: #7, 4(6%)
minecraft.crafted.smooth_sandstone: #7, 1374(5%)
minecraft.used.smooth_quartz: #7, 1249(4%)
minecraft.picked_up.yellow_dye: #7, 69(5%)
minecraft.picked_up.lava_bucket: #7, 8(4%)
minecraft.used.cactus: #7, 274(3%)
minecraft.dropped.bucket: #7, 37(4%)
minecraft.picked_up.bell: #7, 24(3%)
minecraft.picked_up.ink_sac: #7, 1368(3%)
minecraft.mined.stripped_jungle_log: #7, 29(4%)
minecraft.dropped.red_sand: #7, 118(4%)
minecraft.used.crimson_slab: #7, 245(4%)
minecraft.picked_up.white_stained_glass_pane: #7, 186(3%)
minecraft.crafted.minecart: #7, 123(3%)
minecraft.custom.crouch_one_cm: #8, 17712356(5%)
minecraft.dropped.polished_blackstone_bricks: #7, 88(5%)
minecraft.picked_up.jungle_stairs: #7, 88(4%)
minecraft.mined.stripped_birch_wood: #7, 54(5%)
minecraft.broken.leather_leggings: #7, 2(8%)
minecraft.dropped.flint_and_steel: #7, 6(3%)
minecraft.crafted.crimson_trapdoor: #7, 142(4%)
minecraft.mined.blue_concrete: #7, 519(3%)
minecraft.mined.smooth_sandstone: #7, 654(3%)
minecraft.broken.diamond_pickaxe: #7, 2(3%)
minecraft.picked_up.stripped_birch_wood: #7, 50(5%)
minecraft.used.warped_slab: #7, 185(3%)
