stat, rank, value, (percentage) 
minecraft.picked_up.dead_bush: #2, 753(22%)
minecraft.picked_up.dark_oak_log: #2, 17289(17%)
minecraft.dropped.milk_bucket: #1, 15(22%)
minecraft.crafted.activator_rail: #1, 60(26%)
minecraft.mined.jungle_sapling: #1, 149(46%)
minecraft.picked_up.light_blue_dye: #1, 193(20%)
minecraft.dropped.crimson_hyphae: #1, 142(92%)
minecraft.crafted.oak_boat: #2, 61(17%)
minecraft.picked_up.fishing_rod: #2, 49(20%)
minecraft.used.smooth_sandstone_slab: #2, 5305(19%)
minecraft.used.red_concrete: #2, 5672(18%)
minecraft.used.polished_blackstone_brick_stairs: #2, 1383(18%)
minecraft.picked_up.red_concrete_powder: #2, 4484(22%)
minecraft.dropped.wither_skeleton_skull: #1, 40(44%)
minecraft.dropped.netherite_boots: #1, 11(18%)
minecraft.picked_up.light_blue_shulker_box: #2, 1012(17%)
minecraft.dropped.nether_wart_block: #2, 1561(19%)
minecraft.used.light_blue_shulker_box: #2, 995(16%)
minecraft.used.grindstone: #2, 694(16%)
minecraft.picked_up.milk_bucket: #2, 41(19%)
minecraft.dropped.netherite_leggings: #1, 7(21%)
minecraft.crafted.light_blue_shulker_box: #2, 53(24%)
minecraft.dropped.oak_button: #2, 70(23%)
minecraft.mined.light_blue_concrete: #2, 3830(17%)
minecraft.crafted.polished_blackstone: #2, 15860(16%)
minecraft.mined.light_blue_shulker_box: #2, 973(16%)
minecraft.mined.spruce_fence_gate: #2, 74(19%)
minecraft.used.warped_sign: #2, 81(21%)
minecraft.used.red_stained_glass: #2, 5586(18%)
minecraft.picked_up.gray_dye: #2, 718(24%)
minecraft.dropped.spruce_wood: #1, 15(33%)
minecraft.mined.dark_oak_fence: #2, 254(17%)
minecraft.crafted.birch_door: #2, 108(24%)
minecraft.crafted.stone: #2, 7766(15%)
minecraft.dropped.brown_concrete: #1, 45(56%)
minecraft.dropped.peony: #1, 19(16%)
minecraft.crafted.netherite_helmet: #1, 3(20%)
minecraft.mined.oak_leaves: #3, 156834(17%)
minecraft.crafted.white_stained_glass_pane: #2, 2336(15%)
minecraft.used.furnace_minecart: #1, 10(36%)
minecraft.crafted.smooth_sandstone_slab: #2, 3936(22%)
minecraft.dropped.birch_leaves: #2, 982(16%)
minecraft.dropped.black_concrete: #2, 680(22%)
minecraft.crafted.acacia_trapdoor: #2, 1654(18%)
minecraft.crafted.netherite_axe: #1, 3(23%)
minecraft.crafted.crimson_trapdoor: #2, 692(20%)
minecraft.crafted.furnace_minecart: #1, 10(34%)
minecraft.crafted.dark_oak_stairs: #2, 2076(15%)
minecraft.crafted.netherite_leggings: #1, 3(16%)
minecraft.crafted.warped_sign: #2, 111(20%)
minecraft.mined.grindstone: #2, 169(14%)
minecraft.mined.black_shulker_box: #2, 658(13%)
minecraft.dropped.wooden_axe: #1, 4(29%)
minecraft.picked_up.black_shulker_box: #2, 677(13%)
minecraft.used.wooden_sword: #2, 67(16%)
minecraft.used.diamond_axe: #2, 86993(12%)
minecraft.broken.iron_axe: #2, 18(15%)
minecraft.mined.redstone_wire: #2, 2189(12%)
minecraft.dropped.acacia_sapling: #2, 150(22%)
minecraft.picked_up.ladder: #2, 930(12%)
minecraft.mined.dead_brain_coral_fan: #1, 7(64%)
minecraft.crafted.clay: #2, 806(22%)
minecraft.dropped.red_mushroom: #2, 144(14%)
minecraft.mined.weeping_vines: #2, 119(15%)
minecraft.used.oak_planks: #3, 2671(16%)
minecraft.mined.blast_furnace: #2, 76(13%)
minecraft.used.gray_terracotta: #2, 3660(23%)
minecraft.crafted.polished_blackstone_stairs: #2, 1080(20%)
minecraft.killed.polar_bear: #1, 8(89%)
minecraft.crafted.nether_brick_wall: #2, 1092(21%)
minecraft.dropped.brown_bed: #1, 3(25%)
minecraft.dropped.weeping_vines: #2, 251(16%)
minecraft.used.spruce_planks: #2, 7488(12%)
minecraft.dropped.oak_sapling: #2, 875(13%)
minecraft.mined.soul_sand: #2, 6262(12%)
minecraft.crafted.wooden_pickaxe: #2, 5(13%)
minecraft.killed.endermite: #2, 40(14%)
minecraft.used.ender_pearl: #3, 2509(15%)
minecraft.mined.acacia_sapling: #2, 80(24%)
minecraft.picked_up.blast_furnace: #2, 81(12%)
minecraft.used.wet_sponge: #2, 971(18%)
minecraft.dropped.netherite_pickaxe: #2, 22(12%)
minecraft.used.dark_oak_fence: #3, 1490(17%)
minecraft.mined.crimson_fungus: #2, 119(12%)
minecraft.crafted.coal: #2, 12514(11%)
minecraft.used.dark_oak_stairs: #2, 1880(12%)
minecraft.crafted.black_bed: #2, 29(23%)
minecraft.dropped.soul_soil: #2, 471(14%)
minecraft.killed_by.vex: #2, 9(15%)
minecraft.crafted.netherite_hoe: #1, 3(50%)
minecraft.dropped.black_bed: #1, 2(50%)
minecraft.crafted.smooth_sandstone_stairs: #2, 1636(18%)
minecraft.crafted.birch_stairs: #2, 840(14%)
minecraft.picked_up.birch_stairs: #2, 208(15%)
minecraft.crafted.dark_oak_planks: #2, 21410(11%)
minecraft.picked_up.oak_leaves: #3, 123548(15%)
minecraft.picked_up.netherite_pickaxe: #2, 106(11%)
minecraft.picked_up.red_concrete: #3, 2849(15%)
minecraft.dropped.polished_blackstone_bricks: #2, 322(19%)
minecraft.crafted.sand: #1, 64(47%)
minecraft.mined.birch_stairs: #2, 187(14%)
minecraft.mined.weeping_vines_plant: #3, 218(16%)
minecraft.crafted.ladder: #2, 1170(10%)
minecraft.mined.sandstone_slab: #3, 1608(21%)
minecraft.picked_up.iron_hoe: #2, 9(18%)
minecraft.crafted.stripped_crimson_hyphae: #1, 6(67%)
minecraft.picked_up.oak_fence: #2, 651(9%)
minecraft.used.dragon_head: #2, 6(16%)
minecraft.mined.sponge: #2, 786(14%)
minecraft.killed_by.vindicator: #2, 7(21%)
minecraft.picked_up.sandstone_slab: #3, 1943(18%)
minecraft.mined.dark_oak_fence_gate: #3, 177(18%)
minecraft.mined.dark_oak_wood: #2, 107(16%)
minecraft.crafted.diamond_helmet: #2, 14(10%)
minecraft.crafted.nether_wart_block: #2, 21(24%)
minecraft.crafted.black_dye: #2, 11487(9%)
minecraft.picked_up.dark_oak_fence: #3, 650(15%)
minecraft.picked_up.gray_concrete_powder: #3, 17788(14%)
minecraft.picked_up.light_blue_concrete_powder: #2, 1792(18%)
minecraft.used.birch_stairs: #2, 658(12%)
minecraft.mined.iron_block: #2, 6320(9%)
minecraft.crafted.polished_blackstone_slab: #3, 3728(17%)
minecraft.mined.oak_planks: #3, 1421(13%)
minecraft.used.oak_log: #2, 4753(8%)
minecraft.used.sand: #3, 46532(12%)
minecraft.used.dead_horn_coral: #1, 1(100%)
minecraft.crafted.red_sand: #1, 24(33%)
minecraft.broken.diamond_axe: #1, 1(33%)
minecraft.killed_by.witch: #1, 1(33%)
minecraft.mined.spruce_leaves: #2, 12945(9%)
minecraft.dropped.crimson_nylium: #2, 111(13%)
minecraft.mined.spruce_slab: #3, 1764(13%)
minecraft.crafted.grindstone: #3, 592(13%)
minecraft.picked_up.dark_oak_wood: #2, 153(14%)
minecraft.used.birch_log: #3, 2440(13%)
minecraft.mined.dark_oak_button: #2, 7(16%)
minecraft.used.light_blue_concrete: #3, 5271(15%)
minecraft.crafted.wooden_axe: #2, 3(16%)
minecraft.killed_by.zombie: #2, 7(9%)
minecraft.used.stripped_birch_log: #3, 463(17%)
minecraft.dropped.light_blue_shulker_box: #2, 15(21%)
minecraft.picked_up.lava_bucket: #3, 32(14%)
minecraft.used.daylight_detector: #3, 164(14%)
minecraft.custom.fish_caught: #2, 724(11%)
minecraft.killed.turtle: #2, 8(18%)
minecraft.dropped.nautilus_shell: #2, 15(16%)
minecraft.picked_up.mossy_cobblestone_slab: #2, 36(15%)
minecraft.picked_up.dark_oak_planks: #2, 1455(8%)
minecraft.mined.oak_stairs: #3, 232(12%)
minecraft.dropped.firework_rocket: #3, 3531(11%)
minecraft.mined.smooth_sandstone_stairs: #2, 791(9%)
minecraft.used.snowball: #2, 1039(9%)
minecraft.picked_up.birch_log: #3, 9823(11%)
minecraft.picked_up.cake: #2, 4(13%)
minecraft.mined.oak_slab: #3, 573(12%)
minecraft.picked_up.wooden_pickaxe: #2, 3(17%)
minecraft.dropped.oak_fence: #2, 73(8%)
minecraft.used.cooked_salmon: #2, 148(12%)
minecraft.mined.spruce_fence: #3, 546(11%)
minecraft.picked_up.smooth_sandstone_stairs: #2, 838(8%)
minecraft.used.dark_oak_planks: #3, 4452(12%)
minecraft.dropped.beef: #3, 145(17%)
minecraft.mined.birch_log: #3, 8328(11%)
minecraft.mined.yellow_terracotta: #3, 9379(12%)
minecraft.picked_up.netherite_boots: #3, 61(11%)
minecraft.mined.spruce_log: #3, 14434(10%)
minecraft.picked_up.pufferfish: #3, 84(10%)
minecraft.crafted.spruce_pressure_plate: #3, 95(15%)
minecraft.picked_up.netherite_sword: #3, 56(11%)
minecraft.crafted.acacia_planks: #3, 7480(11%)
minecraft.used.dead_bush: #3, 160(15%)
minecraft.mined.dragon_head: #2, 2(29%)
minecraft.dropped.name_tag: #3, 68(11%)
minecraft.dropped.diamond_boots: #3, 22(12%)
minecraft.picked_up.yellow_terracotta: #3, 9346(11%)
minecraft.used.dark_oak_slab: #3, 3958(11%)
minecraft.used.iron_axe: #3, 5143(10%)
minecraft.crafted.dark_oak_slab: #3, 3886(10%)
minecraft.mined.dark_oak_planks: #3, 1036(10%)
minecraft.mined.birch_door: #2, 4(17%)
minecraft.picked_up.oak_slab: #3, 752(10%)
minecraft.picked_up.iron_trapdoor: #3, 698(11%)
minecraft.picked_up.wooden_axe: #2, 3(21%)
minecraft.mined.potted_fern: #2, 3(14%)
minecraft.used.bone_block: #3, 4588(11%)
minecraft.mined.light_gray_shulker_box: #3, 292(12%)
minecraft.picked_up.weeping_vines: #3, 499(10%)
minecraft.crafted.spruce_sign: #3, 249(10%)
minecraft.picked_up.stripped_birch_log: #3, 570(11%)
minecraft.picked_up.magma_block: #3, 8203(10%)
minecraft.dropped.dark_oak_sapling: #2, 64(12%)
minecraft.used.light_gray_shulker_box: #3, 301(12%)
minecraft.used.lantern: #3, 1208(9%)
minecraft.crafted.smooth_red_sandstone_slab: #2, 84(24%)
minecraft.picked_up.netherite_shovel: #3, 51(10%)
minecraft.picked_up.sponge: #3, 842(13%)
minecraft.used.spruce_fence: #4, 3258(14%)
minecraft.dropped.purpur_block: #3, 142(13%)
minecraft.used.red_concrete_powder: #3, 4677(11%)
minecraft.dropped.warped_nylium: #3, 46(14%)
minecraft.picked_up.red_sandstone: #2, 49(10%)
minecraft.dropped.light_weighted_pressure_plate: #3, 61(23%)
minecraft.picked_up.dark_oak_slab: #3, 1225(10%)
minecraft.used.crimson_nylium: #3, 363(10%)
minecraft.crafted.red_sandstone_stairs: #2, 60(26%)
minecraft.crafted.terracotta: #2, 791(18%)
minecraft.mined.oak_fence: #3, 523(9%)
minecraft.crafted.cut_sandstone: #2, 1796(7%)
minecraft.crafted.spruce_fence: #4, 3153(13%)
minecraft.crafted.red_concrete_powder: #3, 4672(10%)
minecraft.killed_by.slime: #2, 1(20%)
minecraft.picked_up.dead_horn_coral: #2, 2(33%)
minecraft.mined.dead_horn_coral: #2, 2(33%)
minecraft.killed.cave_spider: #3, 3446(9%)
minecraft.used.red_sandstone_stairs: #2, 56(17%)
minecraft.picked_up.ender_pearl: #3, 35184(8%)
minecraft.picked_up.fire_charge: #3, 233(13%)
minecraft.picked_up.oak_boat: #3, 116(8%)
minecraft.mined.attached_melon_stem: #2, 8(12%)
minecraft.dropped.leather_leggings: #3, 33(9%)
minecraft.used.brown_terracotta: #3, 3624(11%)
minecraft.crafted.sandstone_slab: #3, 4914(11%)
minecraft.crafted.wooden_sword: #2, 12(5%)
minecraft.dropped.acacia_log: #3, 130(11%)
minecraft.used.sandstone_slab: #3, 4688(11%)
minecraft.mined.brown_bed: #3, 29(13%)
minecraft.picked_up.netherite_axe: #3, 46(9%)
minecraft.dropped.mossy_cobblestone_slab: #2, 14(22%)
minecraft.used.nether_bricks: #4, 4463(13%)
minecraft.killed.vex: #3, 27(17%)
minecraft.killed.ghast: #3, 276(8%)
minecraft.used.beef: #2, 4(29%)
minecraft.used.brown_shulker_box: #4, 525(14%)
minecraft.picked_up.nether_brick: #3, 946(11%)
minecraft.picked_up.netherite_helmet: #3, 39(8%)
minecraft.picked_up.brown_bed: #3, 27(11%)
minecraft.mined.spruce_sapling: #3, 81(10%)
minecraft.custom.inspect_dispenser: #3, 1327(8%)
minecraft.dropped.redstone_block: #3, 192(10%)
minecraft.killed_by.wither_skeleton: #2, 1(10%)
minecraft.used.warped_fungus: #3, 741(10%)
minecraft.used.chest: #3, 3256(7%)
minecraft.mined.birch_fence: #3, 141(9%)
minecraft.mined.red_mushroom_block: #3, 2948(8%)
minecraft.dropped.acacia_fence: #2, 16(15%)
minecraft.mined.red_sandstone_stairs: #2, 20(15%)
minecraft.mined.brown_shulker_box: #4, 495(13%)
minecraft.mined.red_banner: #2, 1(25%)
minecraft.crafted.gray_terracotta: #3, 3344(12%)
minecraft.mined.sandstone: #4, 56753(12%)
minecraft.crafted.black_wool: #3, 452(9%)
minecraft.picked_up.sandstone: #4, 56994(12%)
minecraft.picked_up.bucket: #3, 180(8%)
minecraft.picked_up.brown_shulker_box: #4, 494(13%)
minecraft.mined.jungle_log: #4, 16250(12%)
minecraft.dropped.bubble_coral_fan: #2, 3(10%)
minecraft.picked_up.jungle_log: #4, 16602(12%)
minecraft.picked_up.crimson_fungus: #3, 368(8%)
minecraft.used.red_mushroom: #3, 73(9%)
minecraft.picked_up.magenta_shulker_box: #3, 118(10%)
minecraft.picked_up.chiseled_red_sandstone: #2, 12(13%)
minecraft.mined.magenta_shulker_box: #3, 117(10%)
minecraft.mined.red_concrete: #4, 2567(12%)
minecraft.used.magenta_shulker_box: #3, 117(10%)
minecraft.mined.soul_campfire: #3, 12(16%)
minecraft.picked_up.iron_block: #3, 6648(7%)
minecraft.dropped.magenta_shulker_box: #2, 1(9%)
minecraft.used.dried_kelp: #3, 177(13%)
minecraft.crafted.polished_basalt: #4, 2837(12%)
minecraft.picked_up.crimson_pressure_plate: #3, 5(22%)
minecraft.crafted.cut_sandstone_slab: #3, 492(15%)
minecraft.picked_up.dead_fire_coral: #2, 1(25%)
minecraft.mined.dead_fire_coral: #2, 1(25%)
minecraft.mined.white_bed: #3, 217(6%)
minecraft.killed_by.piglin: #3, 5(10%)
minecraft.picked_up.white_bed: #3, 223(6%)
minecraft.killed_by.pillager: #2, 1(9%)
minecraft.crafted.bone_meal: #3, 167824(6%)
minecraft.crafted.spruce_planks: #4, 59535(10%)
minecraft.picked_up.dark_oak_fence_gate: #4, 248(14%)
minecraft.dropped.netherite_helmet: #3, 5(12%)
minecraft.picked_up.spruce_sapling: #4, 1826(10%)
minecraft.dropped.black_shulker_box: #3, 7(13%)
minecraft.crafted.brown_dye: #4, 1615(12%)
minecraft.used.white_bed: #3, 225(6%)
minecraft.dropped.netherite_hoe: #3, 4(15%)
minecraft.used.white_wool: #3, 2243(6%)
minecraft.mined.black_glazed_terracotta: #3, 69(15%)
minecraft.broken.golden_leggings: #2, 1(7%)
minecraft.used.spruce_fence_gate: #4, 266(11%)
minecraft.broken.iron_sword: #3, 6(10%)
minecraft.used.smooth_red_sandstone_slab: #3, 76(18%)
minecraft.used.iron_sword: #3, 2393(5%)
minecraft.used.warped_fence: #3, 146(9%)
minecraft.picked_up.spruce_log: #4, 19538(9%)
minecraft.dropped.yellow_banner: #2, 1(3%)
minecraft.crafted.chiseled_sandstone: #2, 157(3%)
minecraft.crafted.polished_blackstone_pressure_plate: #3, 97(10%)
minecraft.crafted.crimson_pressure_plate: #3, 24(15%)
minecraft.used.white_stained_glass_pane: #4, 1256(11%)
minecraft.picked_up.orange_concrete_powder: #3, 1472(11%)
minecraft.picked_up.warped_wart_block: #4, 9629(10%)
minecraft.used.warped_nylium: #4, 414(11%)
minecraft.killed.ravager: #3, 4(13%)
minecraft.used.birch_door: #3, 44(9%)
minecraft.mined.gold_block: #3, 394(5%)
minecraft.mined.iron_trapdoor: #4, 532(10%)
minecraft.picked_up.orange_concrete: #4, 1122(10%)
minecraft.used.fishing_rod: #3, 1085(5%)
minecraft.used.black_glazed_terracotta: #3, 140(12%)
minecraft.picked_up.light_gray_shulker_box: #4, 295(11%)
minecraft.used.oak_slab: #4, 1488(9%)
minecraft.mined.gray_shulker_box: #4, 432(10%)
minecraft.mined.warped_wall_sign: #3, 8(11%)
minecraft.mined.crimson_roots: #4, 329(9%)
minecraft.picked_up.wet_sponge: #4, 1335(10%)
minecraft.picked_up.netherite_leggings: #4, 39(9%)
minecraft.picked_up.jungle_pressure_plate: #3, 2(12%)
minecraft.mined.dark_oak_slab: #4, 630(9%)
minecraft.used.polished_blackstone_slab: #4, 3783(9%)
minecraft.picked_up.basalt: #4, 10870(8%)
minecraft.picked_up.melon_seeds: #4, 85(9%)
minecraft.mined.warped_nylium: #4, 754(9%)
minecraft.crafted.gray_shulker_box: #4, 25(10%)
minecraft.picked_up.comparator: #4, 402(8%)
minecraft.used.birch_slab: #4, 1026(9%)
minecraft.mined.jungle_pressure_plate: #3, 2(13%)
minecraft.picked_up.grindstone: #4, 210(8%)
minecraft.mined.stripped_birch_log: #4, 512(10%)
minecraft.picked_up.red_stained_glass: #4, 509(9%)
minecraft.killed.skeleton: #3, 5942(3%)
minecraft.crafted.cooked_cod: #3, 195(5%)
minecraft.mined.cut_sandstone_slab: #4, 127(13%)
minecraft.mined.cocoa: #4, 666(9%)
minecraft.picked_up.orange_terracotta: #4, 12143(8%)
minecraft.crafted.iron_axe: #4, 22(8%)
minecraft.crafted.spruce_fence_gate: #4, 255(9%)
minecraft.mined.bone_block: #4, 653(9%)
minecraft.used.netherite_pickaxe: #4, 528867(8%)
minecraft.used.wooden_pickaxe: #4, 51(8%)
minecraft.picked_up.warped_nylium: #4, 719(8%)
minecraft.dropped.sandstone_stairs: #3, 30(10%)
minecraft.dropped.sandstone: #4, 1200(8%)
minecraft.picked_up.bamboo: #5, 22742(12%)
minecraft.custom.boat_one_cm: #5, 29288886(11%)
minecraft.crafted.chiseled_red_sandstone: #3, 12(19%)
minecraft.mined.lantern: #4, 189(8%)
minecraft.dropped.red_sand: #4, 292(10%)
minecraft.crafted.light_gray_shulker_box: #4, 25(10%)
minecraft.picked_up.red_mushroom: #4, 396(7%)
